02-GioPonSpiz-industry,05-MalPatSaj-industry,06-MarScoToc-industry
technology,consumer services,
industrials,telecommunications,
industrials,industrials,
telecommunications,transport,
oil & gas,financials,
consumer services,financials,
consumer goods,consumer goods,
consumer goods,financials,
consumer services,consumer services,
consumer goods,basic materials,
industrials,consumer goods,
consumer goods,industrials,
health care,consumer goods,
industrials,industrials,
telecommunications,industrials,
industrials,financials,
consumer goods,financials,
consumer goods,consumer services,
consumer goods,consumer goods,
consumer services,consumer goods,
consumer services,consumer services,
financials,technology,
consumer services,consumer services,
financials,technology,
consumer services,real estate,
industrials,industrials,
technology,consumer services,
industrials,consumer goods,
industrials,industrials,
consumer services,industrials,
industrials,consumer goods,
industrials,consumer goods,
industrials,health care,
telecommunications,technology,
consumer services,consumer services,
consumer goods,consumer services,
consumer goods,technology,
technology,financials,
consumer services,consumer goods,
consumer services,industrials,
industrials,consumer goods,
utilities,oil & gas,
industrials,industrials,
financials,consumer goods,
industrials,technology,
telecommunications,consumer goods,
industrials,oil & gas,
technology,consumer goods,
oil & gas,consumer goods,
technology,technology,
industrials,consumer services,
industrials,consumer services,
technology,industrials,
consumer services,consumer services,
oil & gas,financials,
industrials,technology,
consumer goods,telecommunications,
consumer services,consumer goods,
consumer goods,technology,
consumer goods,consumer services,
consumer goods,industrials,
industrials,telecommunications,
industrials,consumer goods,
consumer services,consumer services,
industrials,utilities,
consumer goods,consumer goods,
consumer goods,consumer services,
industrials,industrials,
consumer services,consumer goods,
consumer services,consumer goods,
consumer services,utilities,
technology,technology,
basic materials,technology,
consumer goods,consumer goods,
utilities,consumer goods,
health care,industrials,
industrials,technology,
consumer goods,consumer services,
financials,financials,
financials,industrials,
consumer goods,industrials,
industrials,industrials,
consumer services,industrials,
consumer goods,industrials,
financials,industrials,
consumer services,oil & gas,
industrials,consumer goods,
telecommunications,industrials,
consumer goods,consumer goods,
consumer services,consumer goods,
industrials,industrials,
industrials,consumer services,
consumer services,telecommunications,
industrials,telecommunications,
industrials,industrials,
consumer goods,industrials,
consumer goods,industrials,
consumer services,technology,
financials,consumer goods,
financials,consumer services,
consumer goods,financials,
industrials,technology,
consumer services,consumer services,
consumer goods,consumer goods,
industrials,industrials,
industrials,consumer goods,
basic materials,industrials,
consumer goods,telecommunications,
consumer services,consumer services,
industrials,energy,
consumer services,telecommunications,
consumer services,industrials,
consumer services,industrials,
technology,consumer goods,
telecommunications,technology,
consumer services,industrials,
financials,consumer goods,
consumer services,technology,
financials,consumer goods,
oil & gas,basic materials,
financials,consumer goods and services,
financials,consumer services,
industrials,financials,
industrials,consumer goods,
consumer goods,technology,
industrials,financials,
financials,financials,
conglomerates,consumer goods,
consumer services,basic materials,
basic materials,consumer services,
consumer services,consumer goods,
financials,basic materials,
financials,basic materials,
consumer services,automotive industry,
consumer services,technology,
consumer services,consumer goods,
consumer services,consumer goods,
consumer services,technology,
financials,chemical industry,
financials,technology,
technology,consumer services,
consumer services,consumer products,
consumer services,consumer goods,
financials,industrials,
consumer goods,utilities,
consumer goods,technology,
consumer services,consumer services,
industrials,industrials,
basic materials,consumer goods,
consumer services,consumer goods,
consumer goods,industrials,
telecommunications,industrials,
conglomerates,basic materials,
industrials,utilities,
oil & gas,basic materials,
utilities,chemical industry,
telecommunications,oil & gas,
technology,basic materials,
technology,basic materials,
oil & gas,consumer goods,
oil & gas,financials,
consumer goods,consumer goods,
basic materials,consumer services,
consumer services,consumer services,
financials,consumer services,
consumer goods,basic materials,
consumer services,industrials,
telecommunications,basic materials,
industrials,consumer services,
financials,basic materials,
financials,consumer goods,
financials,basic materials,
financials,consumer goods,
industrials,industrials,
consumer goods,technology,
telecommunications,consumer services,
industrials,consumer services,
consumer services,food,
health care,consumer services,
conglomerates,telecommunications,
industrials,consumer goods,
financials,technology,
financials,telecommunications,
technology,industrials,
industrials,oil & gas,
technology,oil & gas,
consumer goods,telecommunications,
consumer goods,telecommunications,
utilities,consumer services,
utilities,consumer services,
industrials,industrials,
consumer goods,consumer services,
consumer goods,utilities,
industrials,industrials,
technology,financials,
industrials,financials,
consumer goods,consumer goods,
financials,consumer services,
basic materials,consumer services,
consumer services,utilities,
financials,food products,
industrials,technology,
consumer services,consumer services,
financials,industrials,
basic materials,technology,
basic materials,industrials,
consumer goods,consumer services,
consumer goods,telecommunications,
industrials,consumer services,
financials,consumer services,
consumer services,consumer services,
industrials,consumer goods,
consumer goods,automotive inductry,
consumer services,consumer goods,
basic materials,consumer services,
consumer goods,automotive industry,
industrials,consumer services,
consumer services,industrials,
consumer goods,consumer goods,
consumer goods,consumer goods,
financials,basic materials,
consumer goods,industrials,
health care,financials,
technology,health care,
technology,financials,
oil and gas,consumer services,
basic materials,consumer goods,
financials,technology,
consumer goods,wine making,
consumer services,technology,
industrials,industrials,
consumer goods,consumer goods,
technology,consumer services,
consumer goods,consumer services,
health care,consumer goods,
industrials,consumer services,
health care,basic materials,
industrials,technology,
industrials,industrials,
financials,consumer goods,
financials,industrials,
consumer services,utilities,
technology,industrials,
consumer goods,utilities,
consumer services,technology,
technology,conglomerates,
technology,industrials,
basic materials,consumer services,
consumer goods,consumer services,
industrials,consumer goods,
consumer services,industrials,
industrials,industrials,
basic materials,consumer services,
technology,health care,
consumer services,telecommunications,
telecommunications,financials,
telecommunications,industrials,
financials,technology,
basic materials,telecommunications,
financials,technology,
consumer goods,financials,
consumer goods,consumer services,
consumer goods,consumer services,
consumer goods,telecommunications,
industrials,technology,
financials,consumer services,
basic materials,utilities,
basic materials,basic materials,
consumer goods,telecommunications,
telecommunications,industrials,
industrials,industrials,
industrials,industrials,
consumer services,consumer services,
health care,industrials,
health care,conglomerates,
industrials,consumer goods,
industrials,consumer goods,
consumer services,consumer goods,
health care,consumer services,
consumer services,consumer services,
basic materials,basic materials,
industrials,financials,
basic materials,consumer services,
industrials,industrials,
industrials,consumer goods,
financials,technology,
consumer goods,conglomerates,
industrials,consumer goods,
industrials,consumer services,
consumer services,consumer services,
consumer goods,health care,
financials,consumer goods,
technology,consumer goods,
consumer goods,consumer goods,
industrials,financials,
industrials,financials,
consumer goods,consumer services,
technology,financials,
industrials,industrials,
consumer goods,consumer services,
consumer goods,consumer services,
industrials,consumer goods,
financials,consumer goods,
consumer services,consumer goods,
industrials,technology,
financials,industrials,
consumer services,consumer services,
financials,consumer goods,
consumer goods,industrials,
consumer services,consumer services,
consumer services,consumer services,
basic materials,consumer services,
basic materials,consumer goods,
consumer goods,telecommunications,
financials,oil & gas,
consumer services,oil & gas,
technology,industrials,
basic materials,financials,
industrials,telecommunications,
consumer goods,consumer services,
industrials,consumer services,
consumer goods,industrials,
consumer services,oil & gas,
financials,industrials,
technology,telecommunications,
consumer goods,technology,
technology,technology,
industrials,technology,
technology,consumer services,
consumer goods,consumer goods,
industrials,telecommunications,
consumer goods,health care,
consumer goods,conglomerates,
consumer goods,industrials,
technology,technology,
consumer goods,technology,
consumer goods,telecommunications,
consumer goods,consumer goods,
basic materials,conglomerates,
industrials,telecommunications,
consumer services,health care,
consumer goods,consumer services,
industrials,industrials,
industrials,industrials,
consumer services,industrials,
consumer goods,technology,
consumer goods,consumer goods,
industrials,financials,
oil & gas,financials,
health care,real estate,
financials,industrials,
logistics,financials,
industrials,consumer goods,
consumer goods,basic materials,
consumer goods,telecommunications,
basic materials,financials,
consumer goods,financials,
financials,consumer goods,
consumer goods,consumer services,
industrials,telecommunications,
industrials,basic materials,
industrials,consumer services,
technology,industrials,
basic materials,financials,
industrials,utilities,
industrials,oil & gas,
industrials,oil & gas,
consumer goods,technology,
industrials,financials,
consumer goods,telecommunications,
consumer goods,consumer goods,
robotics,oil & gas,
telecommunications,basic materials,
consumer services,industrials,
consumer goods,industrials,
financials,consumer goods,
utilities,technology,
financials,consumer services,
basic materials,consumer goods,
industrials,consumer goods,
industrials,consumer goods,
,technology,
,telecommunications,
,consumer services,
,consumer goods,
,consumer goods,
,consumer goods,
,industrials,
,conglomerates,
,health care,
,industrials,
,industrials,
,consumer services,
,telecommunications,
,consumer services,
,industrials,
,industrials,
,industrials,
,industrials,
,consumer services,
,consumer goods,
,technology,
,technology,
,technology,
,conglomerates,
,conglomerates,
,industrials,
,basic materials,
,industrials,
,consumer services,
,technology,
,health care,
,technology,
,industrials,
,consumer services,
,consumer goods,
,financials,
,financials,
,financials,
,financials,
,financials,
,financials,
,consumer goods,
,financials,
,consumer services,
,consumer services,
,consumer goods,
,industrials,
,consumer goods,
,consumer goods,
,industrials,
,oil & gas,
,utilities,
,industrials,
,industrials,
,industrials,
,industrials,
,consumer services,
,consumer goods,
,health care,
,consumer goods,
,consumer services,
,consumer goods,
,consumer goods,
,consumer services,
,utilities,
,utilities,
,consumer services,
,telecommunications,
,consumer goods,
,industrials,
,consumer goods,
,conglomerates,
,industrials,
,oil & gas,
,utilities,
,conglomerates,
,technology,
,utilities,
,consumer goods,
,consumer goods,
,utilities,
,consumer goods,
,industrials,
,consumer goods,
,consumer services,
,utilities,
,consumer services,
,technology,
,consumer goods,
,consumer services,
,industrials,
,financials,
,industrials,
,consumer goods,
,consumer services,
,financials,
,consumer services,
,consumer goods,
,consumer goods,
,consumer goods,
,consumer goods,
,consumer goods,
,consumer services,
,financials,
,technology,
,consumer services,
,consumer services,
,consumer services,
,conglomerates,
,financials,
,industrials,
,conglomerates,
,industrials,
,consumer services,
,industrials,
,industrials,
,consumer goods,
,consumer services,
,consumer goods,
,consumer services,
,industrials,
,consumer services,
,consumer services,
,industrials,
,technology,
,utilities,
,consumer services,
,oil & gas,
,consumer services,
,consumer services,
,industrials,
,consumer goods,
,consumer goods,
,industrials,
,industrials,
,industrials,
,oil & gas,
,telecommunications,
,consumer services,
,technology,
,industrials,
,consumer goods,
,consumer goods,
,telecommunications,
,consumer services,
,consumer services,
,consumer services,
,health care,
,consumer goods,
,consumer goods,
,consumer goods,
,technology,
,technology,
,consumer goods,
,industrials,
,oil & gas,
,consumer services,
,industrials,
,industrials,
,industrials,
,health care,
,telecommunications,
,industrials,
,industrials,
,industrials,
,industrials,
,health care,
,industrials,
,industrials,
,industrials,
,technology,
,financials,
,conglomerates,
,conglomerates,
,consumer services,
,technology,
,industrials,
,industrials,
,telecommunications,
,consumer goods,
,industrials,
,consumer services,
,health care,
,basic materials,
,industrials,
,health care,
,consumer goods,
,industrials,
,industrials,
,basic materials,
,industrials,
,industrials,
,consumer services,
,consumer services,
,telecommunications,
,consumer goods,
,financials,
,industrials,
,financials,
,consumer services,
,health care,
,consumer goods,
,consumer services,
,consumer goods,
,consumer goods,
,technology,
,telecommunications,
,telecommunications,
,consumer services,
,financials,
,telecommunications,
,industrials,
,industrials,
,consumer services,
,health care,
,industrials,
,basic materials,
,technology,
,technology,
,technology,
,industrials,
,consumer goods,
,health care,
,consumer goods,
,consumer goods,
,consumer services,
,technology,
,technology,
,technology,
,technology,
,industrials,
,utilities,
,industrials,
,industrials,
,industrials,
,technology,
,consumer goods,
,consumer goods,
,industrials,
,financials,
,financials,
,technology,
,consumer goods,
,consumer goods,
,consumer services,
,health care,
,industrials,
,industrials,
,conglomerates,
,industrials,
,consumer services,
,consumer goods,
,consumer goods,
,consumer goods,
,consumer goods,
,financials,
,consumer goods,
,consumer services,
,consumer goods,
,industrials,
,telecommunications,
,basic materials,
,basic materials,
,consumer goods,
,industrials,
,industrials,
,technology,
,consumer services,
,technology,
,financials,
,technology,
,industrials,
,technology,
,technology,
,financials,
,financials,
,financials,
,consumer goods,
,technology,
,consumer goods,
,technology,
,industrials,
,consumer goods,
,industrials,
,financials,
,consumer services,
,industrials,
,consumer goods,
,consumer services,
,consumer goods,
,industrials,
,consumer goods,
,consumer goods,
,financials,
,financials,
,financials,
,consumer goods,
,consumer services,
,consumer services,
,consumer services,
,basic materials,
,industrials,
,oil & gas,
,consumer goods,
,technology,
,utilities,
,consumer services,
,technology,
,technology,
,health care,
,basic materials,
,consumer services,
,technology,
,health care,
,consumer goods,
,technology,
,consumer goods,
,technology,
,financials,
,industrials,
,consumer services,
,telecommunications,
,consumer services,
,consumer goods,
,consumer services,
,industrials,
,consumer services,
,conglomerates,
,industrials,
,consumer goods,
,basic materials,
,technology,
,oil & gas,
,consumer goods,
,consumer goods,
,consumer services,
,health care,
,consumer goods,
,industrials,
,industrials,
,basic materials,
,consumer goods,
,technology,
,industrials,
,technology,
,health care,
,health care,
,consumer goods,
,industrials,
,industrials,
,consumer goods,
,consumer goods,
,industrials,
,health care,
,industrials,
,financials,
,technology,
,health care,
,consumer services,
,technology,
,financials,
,consumer goods,
,industrials,
,technology,
,industrials,
,consumer services,
,basic materials,
,technology,
,consumer services,
,consumer goods,
,technology,
,financials,
,technology,
,industrials,
,industrials,
,industrials,
,consumer services,
,consumer services,
,consumer goods,
,technology,
,consumer services,
,financials,
,financials,
,industrials,
,utilities,
,industrials,
,technology,
,technology,
,basic materials,
,industrial,
,consumer goods,
,technology,
,consumer services,
,basic materials,
,technology,
,consumer services,
,conglomerates,
,consumer goods,
,financials,
,financials,
,utilities,
,consumer services,
,industrials,
,financials,
,consumer goods,
,livestock,
,health care,
,industrials,
,industrials,
,telecommunications,
,industrials,
,technology,
,technology,
,telecommunications,
,technology,
,telecommunications,
,consumer services,
,telecommunications,
,industrials,
,consumer goods,
,technology,
,telecommunications,
,industrials,
,telecommunications,
,technology,
,financials,
,consumer services,
,basic materials,
,utilities,
,consumer goods,
,consumer goods,
,industrials,
,utilities,
,basic materials,
,industrials,
,industrials,
,financials,
,consumer goods,
,industrials,
,consumer goods,
,industrials,
,consumer goods,
,consumer services,
,consumer goods,
,consumer services,
,technology,
,consumer services,
