04-iGMM-selectinvestors,01-DDD-investors
"institutional venture partners, crv, sequoia capital","china culture industrial investment fund, we capital, china minsheng investment group"
"bmw i ventures, bhp ventures","hv capital, softbank group, blackrock"
rhone capital,"localglobe, balderton capital, target global"
"faw group, tencent holdings, tus holdings","glory ventures, maniv mobility"
"coatue managemeny, trinity ventures, matrix partners","auriga, galeo ventures, highland europe"
"accel, tiger global management, nexus venture partners","thrive capital, khosla ventures, tiger global management"
"warburg pincus, the rise fund, harbourvest partners","kkr, towerbrook capital partners"
"aspect ventures, singtel innov8, greylock partners",the carlyle group
"warburg pincus, general catalyst","accelm scania growth capital, lakestar"
"crv, accel, google ventures","tiantu capital, saif partners china, newsion venture capital"
"accel, bain capital ventures, insight partners","ardian, tiger global management, kkr"
"sequoia capital india, kae capital, accel","mithril, inovia capital, foundry group"
"chiratae ventures, march capital partners, national grid partners","opus capital, genesis partners, battery ventures"
"the blue venture fund, flare capital partners, longitude capital","spark capital, highland europe, sunstone capital"
"fabric ventures, airtree ventures, temasek","upfront ventures, accel, industry ventures"
"stripes group, neuberger berman","redpoint ventures, prologis ventures, madrona venture group"
"sutter hill ventures, osage university partners, spark capital","lightspeed venture partners, khosla ventures, munich re ventures"
"tiger global management, the raine group, malabar investments","china reform fund, gaopeng capital, jinhui xingye"
"greycroft, loeb.nyc, dst global","ant group, lazada, sinar mas indonesia"
"gic. apis partners, insight partners","draper fisher jurtson, qualcomm ventures, alibaba group"
"bessemer venture partners, pitango venture capital, d1 capital partners","artiman ventures, pitango venture capital, valo ventures"
"bessemer venture partners, eight roads ventures, battery ventures","forestay capital, alumni ventures, ntt docomo ventures"
"soros fund management, ribbit capital, monashees+","general catalyst, bling capital, felicis ventures"
"sequoia capital india, rtp global, go-ventures","pelion venture partners, foundation capital, thoma bravo"
"softbank group, crv, spark capital","venrock, innovation endeavors, insights partners"
"shunwei capital partners, china media group, guangzhou huiyin aofeng equity investment fund","firstmark capital, anthemis, cmfg ventures"
"shunwei capital partners, china media group, guangzhou huiyin aofeng equity investment fund","goodwater capital, floodgate, founders fund"
"romulus capital, insight partners, redbird capital partners","breakthrough energy ventures, material impact, 3x5 special opportunity partners"
"google ventures, sequoia capital, wakefield group","qiming venture partners, yaxia automobile, far east horizon"
"square peg capital, tdm growth partners, tiger global management","source code capital, global logistic properties, k2vc"
"info edge, softbank capital","sequoia capital china, qiming venture partners, tencent holdings"
"liberty city ventures, rre ventures, mithril capital management","weber investissements, schibsted growth"
"norwest venture partners, aspect ventures, lightspeed venture partners",advent international
"menlo ventures, ggv capital, flybridge capital partners","kleiner perkins caufield & byers, afore capital, founders fund"
"t. rowe price, dragoneer investment group, blackrock","russia-china investment fund, tencent holdings, sequoia capital china"
"t. rowe price, lockheed martin ventures, fidelity investment","pelion venture partners, foundation capital, thoma bravo"
"norwest venture partners, hillsven capital, aleph",cdib capital
"the rise fund, fidelity investments. redbird capital partners",cvc capital partners
"emergence capital partners, 8vc, chicago ventures","bessemer venture partners, g squared, insight partners"
"andreessen horowitz, data collective, roche venture fund","accel, better tomorrow ventures, flourish ventures"
"octopus ventures, munich re ventures, commerzventures","mendacre, brv capital management, liquid 2 ventures"
"kibo ventures, softbank group, atomico","paradigm, andreessen horowitz, jump capital"
"imm investment, nxc","matrix partners, lightspeed venture partners, verizon ventures"
"v fund, idg capital, green pine capital partners","jungle ventures, helion venture partners, ingka investments"
"tencent holdings, goldman sachs","firstmark capital, tiger global management, ftx venture"
"revolution, new enterprise associates, caterpillar","vision plus capital, 	source code capital, lightspeed venture partners"
"google ventures, index ventures, scale venture partners","norwest venture partners, investcorp, blackstone"
"relay ventures, ttv capital, canapi ventures","advent international, battery ventures, sequoia capital israel"
"temasek, google ventures, general catalyst","kleiner perkins caufield & byers, crv, threshold ventures"
"summit partners, noshaq, sofinnova partners","softbank latin america fund, advent international, balderton capital"
"goodwater capital, warburg pincus, gs growth","ggv capital, tiger global management, greycroft"
"softbank group, ame cloud ventures, signalfire","mayfield, madrona venture group, tiger global management"
"accel, alven capital, storm ventures","sequoia capital india, hummingbird ventures, epiq capital"
"knox lane, ainge advisory, carlson private capital partners","craft ventures, caffeinated capital, operator collective"
"founders fund, meritech capital partners, gs growth","qualcomm ventures, accel, canaan partners"
general atlantic,"polaris partners, insight partners, norwest venture partners"
sequoia capital,"insight partners, salesforce ventures, perpetual investors"
"expa, qed investors, foundation capital","ia ventures, khosla ventures, ame cloud ventures"
"pantera capital, qed investors, coinbase ventures","idg capital, zhenfund, sequoia capital china"
"general atlantic, softbank group, atomico","partech partners, index ventures, quadrille capital"
"andreessen horowitz, google ventures, section 32","newpath partners, google ventures, f-prime capital"
"eastern bell capital 32, sdic cmc investment management, trustbridge partners","version one ventures, bessemer venture partners, firstmark capital"
"bain capital ventures, sixth street growth, lightspeed venture partners","sequoia capital china, lenovo capital and incubator, group gsr ventures"
"general atlantic, breakthrough energy ventures, viking global investors","source code capital, xvc venture capital, hillhouse capital management"
"zhangjiang haocheng venture capital, walden international, intel capital","madrona venture group, kleiner perkins caufield & byers, highland capital partners"
"deer park road, altamont capital partners, eldridge","alibaba group, kkr, goldman sachs"
"lightspeed china partners, baidu ventures, qiming venture partners","georgian partners, silver lake, presidio ventures"
"sequoia capital china, banyan capital","creditease fintech investment fund, bmw i ventures, softbank group"
"8vc, d1 capital partners, sway ventures",icg
"8vc, menlo ventures, tiger global management","	crv, tiger global management, y combinator"
"eight roads ventures, one peak partners, creandum","the column group, alexandria venture investments, lux capital"
"plug and play ventures, valor capital group, dst global","cool japan fund, jafco, the carlyle group"
"polychain capital, coinbase ventures, jump capital","wamda capital, endeavor, riverwood capital"
"softbank group, saif partners india, valiant capital partners","l'occitane, trifecta capital, bessemer venture partners"
"foundation capital, institutional venture partners, general catalyst","pantera capital, polychain capital, lightspeed venture partners"
"vy capital, accel, elevation capital","accel, greylock partners, meritech capital partners"
"iconiq growth, bain capital ventures, summit partners","swan & legend ventures, revolution growth, invus group"
"lightspeed venture partners, sapphire ventures, kleiner perkins caufield & byers","rpm ventures, inspiration ventures, carrick capital partners"
"gsr ventures, sapphire ventures, streamlined ventures","sequoia capital india, hillhouse capital management, sunley house capital management"
"accel, passion capital, balderton capital","forerunner ventures, institutional venture partners, thrive capital"
"cherry ventures, northzone ventures, global founders capital","index ventures, sequoia capital, bezos expeditions"
"tencent holdings, crv, clocktower technology ventures","accel, founder collective, brainchild holdings"
"dragonfly capital, bai capital, 10t fund","tencent holdings, delta capital, redpoint ventures china"
"molten ventures, contrarian ventures, hitachi ventures","madrona venture group, banner ventures, fj labs"
l capital partners,"g squared, uipath ventures, general catalyst"
"andreessen horowitz, coinbase ventures, circle ventures","javelin venture partners, struck capital, alumni ventures group"
"rre ventures, tiger global, august capital","dila capital, framework ventures, 3l"
"sequoia capital china, matrix partners china, 58.com","trane technologies, honeywell"
"accel partners, index ventures, insight venture partners","sequoia capital china, cmc capital partners, tencent holdings"
"zheshang venture capital, gp capital, western capital management","passion capital, hedosophia, outrun ventures"
"y combinator, matrix partners, benchmark","sequoia capital, y combinator, accel"
"toyota motor corporation, mizuho financial group, fanuc","tencent holdings, utrust venture capital, gf xinde investment management co."
"pitango venture capital, dfj growth fund, foundry group","general catalyst, unkork capital, tencent holdings"
"sequoia capital china, china construction bank, bank of china","tencent holdings, tiger global management, global founders capital"
"insight venture partners, tpg growth, sound ventures",nordic capital
"insight partners, tpg alternative & renewable technologies, ireland strategic investment fund","tsg consumer partners, crowdcube"
"qiming venture partners, capital today, general atlantic","idg capital, yuanda venture investment, primitive forest holdings group"
"nexus venture partners, tenaya capital, sequoia capital","idg capital, gaocheng capital, chuanrong capital"
"ggv capital, idg capital, linear venture","leta capital, insight partners, general catalyst"
"magma venture partners, pitango venture capital, qumra capital","nextech invest, casdin capital, google ventures"
"bertelsmann asia investments, ggv capital, morningside venture capital","dynamo vc, susa ventures, founders fund"
"viola ventures, dell technologies capital, bain capital ventures","andreessen horowitz, prosus ventures, thrive capital"
"matrix partners china, eastern bell capital, hongtai capital holdings","dark horse technology group, hopu investment management, kefa capital"
"blackrock, capitalg, world lab innovation","mitsubishi corporation, mayfair equity partners"
"caffeinated capital, obvious ventures, venrock","firstmark capital, tiger global management"
blackstone,qiming venture partners
"jerusalem venture partners, israel growth partners, insight partners","caffeinated capital, initialized capital, y combinator"
"tiantu capital, cmb international capital, vision knight capital","andreessen horowitz, bessemer venture partners, coatue management"
"highland capital partners, oak hc/ft partners, emergence capital partners","boldstart ventures, sap.io fund, scale venture partners"
"tomales bay capital, bain & company, general catalyst","chromo invest, maersk growth, blackrock"
"index ventures, creandum, accel","general atlantic, cvs health, massmutual ventures"
"meritech capital partners, tiger global management, spectrum equity","insight partners, b capital group, 	lightspeed venture partners"
"sequoia capital, google ventures, accel","initialized capital, general catalyst, kraken ventures"
"accel, frst, kima ventures","liberty city ventures, soros fund management, summer capital"
"matrix partners china, sequoia capital china, genesis capital","bessemer venture partners, insight partners, pitango venture capital"
"next47, mac venture capital, finvc","left lane capital, walden venture capital"
"crv, blue cloud ventures, index ventures","unity ventures, qiming venture partners, ggv capital"
undisclosed,"insight partners, silversmith capital partners, spotify"
"alta ventures mexico, general atlantic, softbank group","lightspeed venture partners, dell technologies capital, wipro ventures"
"qualcomm ventures, softbank group. monashees+","coatue management, h capital, capital today"
"insight partners, tiger global management, gradient ventures","zeev ventures, gsv ventures"
"a&nn, rusnano","signalfire, glp capital partners, google ventures"
"tencent holdings, 5y capital, sequoia capital china","airtree ventures, insight partners, index ventures"
"andreessen horowitz, caffeinated capital, scifi vc","york capital management, ge healthcare, koch disruptive technologies"
"upfront ventures, tao capital partners, andreessen horowitz","bessemer venture partners, menlo ventures, anthermis"
"sequoia capital china, source code capital, redpoint ventures china","bluecross blueshield venture partners, us venture partners"
"ignition partners, formation 8, crv","kaszek ventures, qed investors, international finance corporation"
"japan post capital, globis capital partners, atomico","highland capital partners, next coast ventures, sogal ventures"
"accel, d1 capita partners, greenoaks capital management","n5 capital, cr capital mgmt, jd digits"
"rethink impact, work-bench, rre ventures",innoventures capital partners
"northern light venture capital, xiaomi, futurex capital","localglobe, kinnevik, felix capital"
"vision plus capital, gsr ventures, zhenfund","arch venture partners, ally bridge group"
"benchmark, altimeter capital, quiet capital","bertelsmann india investments, march capital partners, tribe capital, nirvana venture advisors"
"obvious ventures, qualcomm ventures, andreessen horowitz","advantech capital, temasek holdings ltd., tiantu capital co."
"northzone ventures, white star capital, novator partners",goldman sachs
"lightspeed venture partners, almaz capital partners, altimeter capital","kleiner perkins caufield & byers, comcast ventures, insight partners"
"insight partners, warburg pincus, ayala corporation","qiming venture partners, china internet investment fund, qualcomm ventures"
"k9 ventures, menlo ventures, andreessen horowitz","sc.holdings, not boring capital, bolt ventures"
"gauss ventures, ventura capital, dmg ventures","atinum investment, company k partners, gic"
"claltech, vertex ventures, oryzn capital","green pine capital partners, ivy capital, dcm ventures"
"sequoia capital, paradigm, pantera capital","8vc, bedrock capital, broom ventures"
"andreessen horowitz, kleiner perkins caufield & byers, eqt ventures","tencent holdings, glory ventures, shenzhen capital group"
"khosla ventures, green innovations, founders fund","menlo ventures, resolute ventures, ia ventures"
"softbank group, maverick capital","marchmont ventures, bmw i ventures, index ventures"
"hopu investment management, boyu capital, dc thomson ventures","desun capital, yunfeng capital, meridian capital"
"breega capital, iris capital, 360 capital partners","sequoia capital china, goldman sachs, matrix partners china"
"lightspeed venture partners, redpoint ventures, norwest venture partners","propel venture partners, monashees+, bbva"
"dcm ventures, idg capital, siam commercial bank","innovation endeavors, s28 capital, lightspeed venture partners"
"blackstone, bessemer venture partners","sequoia capital, four rivers group, dag ventures"
"seed capital, greyhound capital, socii capital","contour venture partners, intel capital, silver lake"
"qualcomm ventures, accel, canaan partners","lightspeed venture partners, access industries, eldridge"
"matrix partners, north bridge venture partners, venrock","blackrock, tengelmann ventures, holtzbrinck ventures"
"tiger global management, lightspeed venture partners, hillhouse capital management","simon equity partners, wavemaker partners, anthem venture partners"
"sequoia capital china, idg capital, qiming venture partners","y combinator, s capital, tenaya capital"
"betaworks ventures, addition, lux capital","refactor capital, andreessen horowitz, fifty years fund"
"insight partners, kibo ventures, bessemer venture partners","signal peak ventures, owl ventures, jump capital"
"porsche, 	investindustrial, softbank group","sierra ventures, axa venture partners, sigma prime ventures"
"volcanics ventures, vertex ventures china, warburg pincus","goodwater capital, entree capital, valar ventures"
"quiet ventures, etfs capital, collab+currency","sequoia capital india, hummingbird ventures, matrix partners india"
"fifty years fund, refactor capital, temasek","greylock partners, general catalyst, khosla ventures"
"black pearl ventures, stonebridge ventures, yuanta investment korea","qualcomm ventures, fireside ventures"
"global founders capital, aglae ventures, alven capital","durable capital partners, cercano management, 	t. rowe price"
"trustbridge partners, hony capital, idg capital","notion capital, kindred capital, bgf ventures"
"firstmark capital, tiger global management, iconiq capital","sequoia capital india, lightbox ventures, coatue management"
"k2vc, lightspeed china partners, sky9 capital","kkr, aspenwood ventures, spark capital"
"point72 ventures, pelion venture partners, commerce ventures","imm investment, mirae asset capital, bond"
"venrock, cvf capital partners, arch venture partners","bessemer venture partners, vintage investment partners, blumberg capital"
"tiger global management, sequoia capital india, ribbit capital",undisclosed
"e.ventures, bain capital ventures, greycroft","tlv partners, zeev ventures, bessemer venture partners"
"khosla ventures, bain capital ventures, lightspeed venture partners","seaya ventures, otter rock capital, rakuten"
"benchmark, sequoia capital, tpg capital","andreessen horowitz, initialized capital, triplepoint capital"
"sixth street partners, declaration partners, maverick ventures israel","new enterprise associates, tiger global management, tencent"
"bain capital ventures, softbank group, fifth wall ventures","new enterprise associates, crv, index ventures"
"btov partners, geely, intel capital","global founders capital, comcast ventures, forerunner ventures"
automobile industry guidance fund,"bnp paribas, goldman sachs, google"
"salesforce ventures, atp investment, kt investment","eastern bell capital, sf holding co, sto express"
"the carlyle group, cvc capital partners","phoenix new media, tianjin haihe industry fund"
"founders fund, khosla ventures, goldman sachs","eqt partners, blackstone"
"fashion tech lab, fidelity investments, vast ventures","newion partners, smartfin capital, omers ventures"
"google ventures, kleiner perkins caufield & byers, stripes group","initialized capital, canaan partners, sound ventures"
"viola ventures, insight partners, claltech, goldman sachs","mayfield, accel, norwest venture partners"
"sosv, khosla ventures, lerer hippeau","march capital partners, temasek, doha venture capital"
"gunosy capital, blume ventures, das capital","kickstart fund, general catalyst, drive capital"
"future ventures, apeiron investment group, moore capital management","bonfire ventures, two sigma ventures, fj labs"
"jiangsu sha steel group, shanghai puyin industry, funa yuanchuang technology",taigang venture capital
"blumberg capital, american express ventures, bdc venture capital","left lane capital, clocktower technology ventures, jump capital"
"general catalyst, eleation capital, avenir growth capital","index ventures, thrive capital, bain capital ventures"
"bain capital ventures, founders fund, winklevoss capital","trinity ventures, fifth wall ventures, openview venture partners"
"yl ventures, redpoint ventures, ggv capital","slow ventures, andreessen horowitz, softbank group"
"redpoint ventures, qiming venture partners, chengwei capital","eastern bell capital, capital today, longzhu capital"
"viking global investors, gs growth, blackrock","sequoia capital china, china life investment holding company, qiming venture partners"
"thrive capital, tiger global management, temasek","china grand prosperity investment, csc group"
"tao capital partners, global asset capital, tiger global management","marathon venture partners, huagai capital, china creation ventures"
"alta partners, questa capital, echo health ventures","boxgroup, energy impact partners, camber creek"
"liberty global ventures, sageview capital, blue cloud ventures","viking global investors, riverwood capital, lightrock"
"lightspeed venture partners, google ventures, general catalyst","defi technologies, hypersphere ventures, m13"
"sequoia capital, uncork capital, salesforce ventures","general catalyst, origin ventures, fontinalis partners"
"general catalyst, samsung next, cvs health partners","bessemer venture partners, builders vc, general catalyst"
"altitude life science ventures, softbank group, alaska permanent fund","amplify partners, addition, madrona venture group"
"a16z crypto, variant fund, paradigm","kalaari capital, norwest venture partners, prosus ventures"
"jungle ventures, square peg capital, openspace ventures","ding xiang capital, new hope fund, sino-ocean capital"
"insight partners, sequoia capital, index ventures","global emerging markets, sram & mram group, marshland capital"
"threshold ventures, baseline ventures, harrison metal","baidu, tencent holdings"
"stripe, founders fund, partech partners","bmw i ventures, metaplanet, maersk growth"
"eurazeo, idinvest partners, balderton capital","temasek,	build capital partners, 	northzone ventures"
"datatribe, energy impact partners, allegiscyber capital",general atlantic
"crosslink capital, .406 ventures, sapphire ventures","redpoint ventures, norwest venture partners, sierra ventures"
"nexus venture partners, transamerica ventures, crane venture partners","new enterprise associates, matrix partmers, susa ventures"
"greycroft, lerer hippeau, geekdom fund","accel, institutional venture partners, tiger global management"
"gobi partners, 500 startups, ondine capital","sodexo ventures, softbank group"
"index ventures, kleiner perkins caufield & byers, bessemer venture partners","index ventures, eight roads ventures, general atlantic"
"softbank group, access industries, crossbeam venture partners","l catterton, franklin templeton, first light capital group"
"paradigm, huobi ventures, andreessen horowitz","accel, benchmark, sv angel"
"obvious ventures, andreessen horowitz, nfx","samsung ventures, singulariteam, bp ventures"
"boxin capital, dt capital partners, idg capital","sequoia capital, general catalyst, 	human capital"
"alta partners, general catalyst, jove equity partners","redpoint e.ventures, valor capital group, softbank latin america fund"
"alpha wave global, matrix partners india, tiger global management","chiratae ventures, accel, kalaari capital"
"cybernaut growth fund, idg capital","psg, ion crossover partners"
"yabeo capital, sbi investment, vulcan capital","accomplice, polychain capital, goldentree asset management"
"crosslink capital, meritech capital partners, lightspeed venture partners","insight partners, softbank group, connect ventures"
"tpg growth, goldman sachs","brighton park capital, blue cloud ventures, workday ventures"
gam holding,"nyca partners, index ventures, technology crossover ventures"
"people electrical appliance group china, zhongrong international trust","ant group, charoen pokphand group, bow wave capital"
"sequoia capital, bain capital ventures, enaya capital","spark capital, google ventures, cre venture capital"
"mayfield fund, shasta ventures, l catterton","vgames, lakestar, galaxy interactive"
"omers private equity, t. rowe price, technology crossover ventures","scale venture partners, sapphire ventures, battery ventures"
"blackbird ventures, indexventures, tiger global management","coatue management, index ventures, founders fund"
"ggv capital, accel, redpoint ventures","felicis ventures, index ventures, blackbird ventures"
"andreessen horowitz, greylock partners, sequoia capital","insight partners, coinbase ventures, paypal ventures"
"greatpoint ventures, meritech capital partners, paypal ventures","global founders capital, shea ventures, greycroft"
"altitude life science ventures. t. rowe price, morningside venture partners","redpoint ventures, providence equity partners, silversmith capital partners"
"technology crossover ventures, accel, aker","source code capital, coatue management, dcm ventures"
"march capital partners, hof capital, emergence capital partners","kaszek ventures, sosv, tiger global management"
"beenext, world innovation lab, light street capital","amiti ventures, playground global, aleph"
"andreessen horowitz, coatue management, clocktower technology ventures","sequoia capital, y combinator, f-prime capital"
"zeev ventures, menlo ventures,crosslink capital","mayfield fund, insight partners, rembrandt venture partners"
"initialized capital, sound ventures, ti platform management","deciens capital, bezos expeditions, 500 startups"
"insight venture partners, iconiq capital, launchpad venture group","moonshots capital, boxgroup, blu venture investors"
"qed investors, dst global, left lane capital","rubicon technology partners, max ventures, inclusive capital partners"
"sequoia capital, index ventures, s capital","max ventures, mangrove capital partners, 14w"
"general catalyst, baltcap, novator partners","jackson square ventures, madrone capital partners, sequoia capital"
"craft ventures, sequoia capital, verissimo ventures","norwest venture partners, accel, tiger global management"
"sequoia capital, lightspeed venture partners, paradigm","digital currency group, draper esprit, korelya capital"
"y combinator, 	andreessen horowitz, bessemer venture partners","new enterprise associates, founders fund, google ventures"
"ifc, ajinomoto","source code capital, meituan dianping, tencent holdings"
"shunwei capital partners, 5y capital, legend capital","alibaba group, china everbright investment management, yinxinggu capital"
"moderne ventures, oakhouse partners, bjarke ingels group",softbank group
"guiyang venture capital, longfor capital, caogenzhiben group","morningside ventures, capital today, joy capital"
"bessemer venture partners, eniac ventures, canapi ventures","legend capital, cdh investments, sequoia capital china"
"guozhong venture capital management, shenzhen capital group, oriental fortune capital","trustbridge partners, idg capital, sequoia capital china"
"centurium capital, cedarlake capital, unicom innovation venture capital","ggv capital, qiming venture partnersl"
"sequoia capital china, warburg pincus, idg capital","sequoia capital, general atlantic"
"ce-ventures, beco capital, nordstar","volkswagen, access industries, vostok new ventures"
"kleiner perkins caufield & byers, sequoia capital, general catalyst","warburg pincus, aviation industry corporation of china"
"china creation ventures, sierra ventures, xingwang investment management","mpm capital, astellas venture management, f2 ventures"
"alibaba group,co-stone venture capital, buhuo venture capital",anglo american
"idg capital, puluo capital, midea capital","clocktower technology ventures, dila capital, kaszek ventures"
"insight partners, altair capital, norma investments","insight partners, altair capital, norma investments"
"mundi ventures, doqling capital partners, activant capital","alibaba group,co-stone venture capital, buhuo venture capital"
"camber creek, kairos hq, fifth wall ventures","foundation capital, institutional venture partners, founders capital"
"sequoia capital, general atlantic","camber creek, kairos hq, fifth wall ventures"
"clocktower technology ventures, dila capital, kaszek ventures","sequoia capital china, warburg pincus, idg capital"
"foundation capital, institutional venture partners, founders capital","guiyang venture capital, longfor capital, caogenzhiben group"
"mpm capital, astellas venture management, f2 ventures","guozhong venture capital management, shenzhen capital group, oriental fortune capital"
"ggv capital, qiming venture partnersl","kleiner perkins caufield & byers, sequoia capital, general catalyst"
"warburg pincus, aviation industry corporation of china","moderne ventures, oakhouse partners, bjarke ingels group"
"volkswagen, access industries, vostok new ventures","china creation ventures, sierra ventures, xingwang investment management"
"alibaba group, china everbright investment management, yinxinggu capital","shunwei capital partners, 5y capital, legend capital"
"trustbridge partners, idg capital, sequoia capital china","centurium capital, cedarlake capital, unicom innovation venture capital"
"morningside ventures, capital today, joy capital","bessemer venture partners, eniac ventures, canapi ventures"
"legend capital, cdh investments, sequoia capital china","ifc, ajinomoto"
"source code capital, meituan dianping, tencent holdings","general catalyst, baltcap, novator partners"
softbank group,"y combinator, 	andreessen horowitz, bessemer venture partners"
"new enterprise associates, founders fund, google ventures","ce-ventures, beco capital, nordstar"
"jackson square ventures, madrone capital partners, sequoia capital","craft ventures, sequoia capital, verissimo ventures"
"norwest venture partners, accel, tiger global management","initialized capital, sound ventures, ti platform management"
"max ventures, mangrove capital partners, 14w","qed investors, dst global, left lane capital"
"rubicon technology partners, max ventures, inclusive capital partners","andreessen horowitz, coatue management, clocktower technology ventures"
"moonshots capital, boxgroup, blu venture investors","march capital partners, hof capital, emergence capital partners"
"sequoia capital, y combinator, f-prime capital","altitude life science ventures. t. rowe price, morningside venture partners"
"deciens capital, bezos expeditions, 500 startups","sequoia capital, lightspeed venture partners, paradigm"
"digital currency group, draper esprit, korelya capital","insight venture partners, iconiq capital, launchpad venture group"
"amiti ventures, playground global, aleph","zeev ventures, menlo ventures,crosslink capital"
"source code capital, coatue management, dcm ventures","beenext, world innovation lab, light street capital"
"redpoint ventures, providence equity partners, silversmith capital partners","technology crossover ventures, accel, aker"
"mayfield fund, insight partners, rembrandt venture partners","andreessen horowitz, greylock partners, sequoia capital"
"kaszek ventures, sosv, tiger global management","greatpoint ventures, meritech capital partners, paypal ventures"
"felicis ventures, index ventures, blackbird ventures","omers private equity, t. rowe price, technology crossover ventures"
"insight partners, coinbase ventures, paypal ventures","blackbird ventures, indexventures, tiger global management"
"global founders capital, shea ventures, greycroft","ggv capital, accel, redpoint ventures"
"vgames, lakestar, galaxy interactive","sequoia capital, index ventures, s capital"
"scale venture partners, sapphire ventures, battery ventures","sequoia capital, bain capital ventures, enaya capital"
"coatue management, index ventures, founders fund","people electrical appliance group china, zhongrong international trust"
"ant group, charoen pokphand group, bow wave capital",gam holding
"spark capital, google ventures, cre venture capital","tpg growth, goldman sachs"
"nyca partners, index ventures, technology crossover ventures","mayfield fund, shasta ventures, l catterton"
"insight partners, softbank group, connect ventures","alpha wave global, matrix partners india, tiger global management"
"accomplice, polychain capital, goldentree asset management","alta partners, general catalyst, jove equity partners"
"psg, ion crossover partners","yabeo capital, sbi investment, vulcan capital"
"chiratae ventures, accel, kalaari capital","boxin capital, dt capital partners, idg capital"
"redpoint e.ventures, valor capital group, softbank latin america fund","paradigm, huobi ventures, andreessen horowitz"
"brighton park capital, blue cloud ventures, workday ventures","softbank group, access industries, crossbeam venture partners"
"accel, benchmark, sv angel","greycroft, lerer hippeau, geekdom fund"
"samsung ventures, singulariteam, bp ventures","nexus venture partners, transamerica ventures, crane venture partners"
"l catterton, franklin templeton, first light capital group","crosslink capital, .406 ventures, sapphire ventures"
"index ventures, eight roads ventures, general atlantic","threshold ventures, baseline ventures, harrison metal"
"accel, institutional venture partners, tiger global management","datatribe, energy impact partners, allegiscyber capital"
"sequoia capital, general catalyst, 	human capital","jungle ventures, square peg capital, openspace ventures"
"kalaari capital, norwest venture partners, prosus ventures","general catalyst, samsung next, cvs health partners"
"general catalyst, origin ventures, fontinalis partners","lightspeed venture partners, google ventures, general catalyst"
"amplify partners, addition, madrona venture group","cybernaut growth fund, idg capital"
"redpoint ventures, norwest venture partners, sierra ventures","sequoia capital, uncork capital, salesforce ventures"
"sodexo ventures, softbank group","insight partners, sequoia capital, index ventures"
"defi technologies, hypersphere ventures, m13","obvious ventures, andreessen horowitz, nfx"
"bessemer venture partners, builders vc, general catalyst","tao capital partners, global asset capital, tiger global management"
"new enterprise associates, matrix partmers, susa ventures","alta partners, questa capital, echo health ventures"
"viking global investors, riverwood capital, lightrock","gobi partners, 500 startups, ondine capital"
"bmw i ventures, metaplanet, maersk growth","thrive capital, tiger global management, temasek"
"global emerging markets, sram & mram group, marshland capital","viking global investors, gs growth, blackrock"
"eastern bell capital, capital today, longzhu capital","bain capital ventures, founders fund, winklevoss capital"
"china grand prosperity investment, csc group","yl ventures, redpoint ventures, ggv capital"
"boxgroup, energy impact partners, camber creek","stripe, founders fund, partech partners"
"marathon venture partners, huagai capital, china creation ventures","a16z crypto, variant fund, paradigm"
"baidu, tencent holdings","index ventures, kleiner perkins caufield & byers, bessemer venture partners"
"ding xiang capital, new hope fund, sino-ocean capital","altitude life science ventures, softbank group, alaska permanent fund"
taigang venture capital,"blumberg capital, american express ventures, bdc venture capital"
general atlantic,"eurazeo, idinvest partners, balderton capital"
"left lane capital, clocktower technology ventures, jump capital","general catalyst, eleation capital, avenir growth capital"
"slow ventures, andreessen horowitz, softbank group","future ventures, apeiron investment group, moore capital management"
"temasek,	build capital partners, 	northzone ventures","jiangsu sha steel group, shanghai puyin industry, funa yuanchuang technology"
"index ventures, thrive capital, bain capital ventures","crosslink capital, meritech capital partners, lightspeed venture partners"
"sequoia capital china, china life investment holding company, qiming venture partners","google ventures, kleiner perkins caufield & byers, stripes group"
"kickstart fund, general catalyst, drive capital","gunosy capital, blume ventures, das capital"
"mayfield, accel, norwest venture partners","salesforce ventures, atp investment, kt investment"
"initialized capital, canaan partners, sound ventures","bain capital ventures, softbank group, fifth wall ventures"
"bonfire ventures, two sigma ventures, fj labs","fashion tech lab, fidelity investments, vast ventures"
"andreessen horowitz, initialized capital, triplepoint capital","founders fund, khosla ventures, goldman sachs"
"newion partners, smartfin capital, omers ventures","e.ventures, bain capital ventures, greycroft"
"march capital partners, temasek, doha venture capital","tiger global management, sequoia capital india, ribbit capital"
"tlv partners, zeev ventures, bessemer venture partners","k2vc, lightspeed china partners, sky9 capital"
"new enterprise associates, tiger global management, tencent","point72 ventures, pelion venture partners, commerce ventures"
"bnp paribas, goldman sachs, google","sixth street partners, declaration partners, maverick ventures israel"
"phoenix new media, tianjin haihe industry fund","global founders capital, aglae ventures, alven capital"
"seaya ventures, otter rock capital, rakuten","fifty years fund, refactor capital, temasek"
"eastern bell capital, sf holding co, sto express","volcanics ventures, vertex ventures china, warburg pincus"
"global founders capital, comcast ventures, forerunner ventures","porsche, 	investindustrial, softbank group"
"new enterprise associates, crv, index ventures","betaworks ventures, addition, lux capital"
"eqt partners, blackstone","sequoia capital china, idg capital, qiming venture partners"
"bessemer venture partners, vintage investment partners, blumberg capital","qualcomm ventures, accel, canaan partners"
"sequoia capital india, lightbox ventures, coatue management","sosv, khosla ventures, lerer hippeau"
