sector,founded,area_served,notes,name,headquarters,industry
commercial vehicles & trucks,1995,,,škoda transportation,plzeň,industrials
diversified industrials,1859,,,škoda works,plzeň,industrials
mobile telecommunications,2007,,,skylink,prague,telecommunications
travel & tourism,1996,,,student agency,brno,consumer services
broadcasting & entertainment,1932,,,supraphon,prague,consumer services
commercial vehicles & trucks,1850,,,tatra,kopřivnice,industrials
fixed line telecommunications,1995,,,telekom austria czech republic,prague,telecommunications
automobiles,2002,,,toyota peugeot citroën automobile czech,kolín,consumer goods
iron & steel,1836,,,trinec iron and steel works,třinec,basic materials
banks,2006,,,unicredit bank czech republic and slovakia,prague,financials
specialty chemicals,2002,,,via chem group,české budějovice,basic materials
mobile telecommunications,1982,,,vodafone czech republic,prague,telecommunications
industrial machinery,1911,,,walter aircraft engines,prague,industrials
commercial vehicles & trucks,1946,,,zetor,brno,industrials
banks,1868,,,živnostenská banka,prague,financials
sports,1948,,,ac omonia,nicosia,consumer services
sports,1994,,,aek larnaca fc,larnaca,consumer services
sports,1930,,,ael f.c.,limassol,consumer services
business support services,1999,,,allbiz,nicosia,industrials
sports,1911,,,anorthosis f.c.,larnaca,consumer services
sports,1947,,,apoel b.c.,nicosia,consumer services
sports,1926,,,apoel fc,nicosia,consumer services
sports,1928,,,apoel v.c.,nicosia,consumer services
sports,1954,,,apollon limassol,limassol,consumer services
publishing,1997,,,armida publications,nicosia,consumer services
computer hardware,1990,,,asbis,limassol,technology
marine transportation,1991,,,austrian lloyd ship management,limassol,industrials
banks,1899,,,bank of cyprus,nicosia,financials
travel & tourism,1986,,,celestyal cruises,limassol,consumer services
banks,1963,,,central bank of cyprus,nicosia,financials
travel & leisure,2016,,,charlie airlines,larnaca,consumer services
broadcasting,1953,,,cyprus broadcasting corporation,nicosia,consumer services
air traffic management,1955,,,cyprus civil aviation authority,nicosia,consumer services
education,1961,,,cyprus college,nicosia,consumer services
education,1969,,,cyprus college of art,paphos,consumer services
banks,1963,,,cyprus development bank,nicosia,financials
education,1978,,,cyprus institute of marketing,nicosia,consumer services
research,2004,,,cyprus int. instit. for environ. & public health,limassol,technology
fixed line telecom,1999,,,cyprus internet exchange,nicosia,telecommunications
publishing,1945,,,cyprus mail,nicosia,consumer services
general mining,1916,,,cyprus mines corporation,nicosia,basic materials
research,1991,,,cyprus neuroscience and technology institute,nicosia,technology
media,1976,,,cyprus news agency,nicosia,consumer services
ship traffic management,1973,,,cyprus ports authority,nicosia,consumer services
delivery services,-,,,cyprus postal services,nicosia,industrials
general retailers,1968,,,cyprus state fairs authority,nicosia,consumer services
investment services,1996,,,cyprus stock exchange,nicosia,financials
education,2004,,,cyprus university of technology,limassol,consumer services
publishing,1979,,,cyprus weekly,nicosia,consumer services
fixed line telecom,1961,,,cyta,nicosia,telecommunications
sports,1954,,,doxa katokopias fc,peristerona,consumer services
conventional electricity,1952,,,electricity authority of cyprus,nicosia,utilities
legal,2017,,,elias neocleous & co llc,limassol,consumer services
electricity,2017,,,euroafrica interconnector,nicosia,utilities
electricity,2010,,,euroasia interconnector,nicosia,utilities
education,1961,,,european university cyprus,nicosia,consumer services
publishing,1993,,,financial mirror,nicosia,consumer services
education,1965,,,frederick university,limassol,consumer services
heavy construction,1961,,,joannou & paraskevaides,guernsey,industrials
full line insurance,-,,,health insurance organisation,nicosia,financials
banks,1976,,,hellenic bank,nicosia,financials
real estate development,2003,,,imperio properties,limassol,financials
investment services,2010,,,ironfx,limassol,financials
soft drinks,1927,,,keo,limassol,consumer goods
travel & leisure,1975,,,larnaca international airport,larnaca,consumer services
brewers,1937,,,leon beer,nicosia,consumer goods
real estate development,1960,,,leptos estates,paphos,financials
heavy construction,1977,,,lois builders,nicosia,industrials
pharmaceuticals,1976,,,medochemie,limassol,health care
food retailers & wholesalers,1982,,,metro foods trading,nicosia,consumer services
publishing,1967,,,moufflon publications,nicosia,consumer services
education,2007,,,neapolis university paphos,paphos,consumer services
media,2004,,,nova cyprus,nicosia,consumer services
media,1992,,,omega tv cyprus,nicosia,consumer services
education,2002,,,open university of cyprus,nicosia,consumer services
sports,2014,,,pafos fc,pafos,consumer services
health,1992,,,paphos general hospital,paphos,consumer services
travel & leisure,2008,,,paphos international airport,paphos,consumer services
exploration & production,1959,,,petrolina,larnaca,oil & gas
investment services,2008,,,pevex management,nicosia,financials
industrial transportation,1956,,,port of limassol,limassol,industrials
fixed line telecom,2003,,,primetel plc,nicosia,telecommunications
banks,1995,,,rcb bank,limassol,financials
industrial metals & mining,2007,,,rusal,nicosia,basic materials
broadcasting & entertainment,1995,,,sat-7,nicosia,consumer services
fixed line telecom,2002,,,telepassport telecommunications,nicosia,telecommunications
health,1999,,,the american heart institute,strovolos,consumer services
research,2005,,,the cyprus institute,nicosia,technology
research,1987,,,the muscular dystropy research foundation,nicosia,technology
research,1990,,,the cyprus institute of neurology and genetics,nicosia,technology
hospitality,1979,,,tsokkos,ayia napa,consumer services
travel & leisure,2015,,,tus airways,larnaca,consumer services
life insurance,1970,,,universal life,nicosia,financials
education,1989,,,university of cyprus,nicosia,consumer services
education,1980,,,university of nicosia,nicosia,consumer services
software,1998,,,wargaming,nicosia,technology
broadline retailers,1950,,,woolworths,nicosia,consumer services
software,2007,,,xhamster,nicosia,technology
commercial vehicles & trucks,1892,,,3. maj,rijeka,industrials
business support services,1994,,,3lhd,zagreb,industrials
mobile telecommunications,1999,,,a1 hrvatska,zagreb,telecommunications
exploration & production,2013,,,lng hrvatska,omišalj,oil & gas
travel & tourism,1983,,,adriatic croatia international club,opatija,consumer services
tobacco,2003,,,adris grupa,rovinj,consumer goods
food products,1976,,,agrokor,zagreb,consumer goods
broadcasting & entertainment,1995,,,aquarius records,zagreb,consumer services
food products,1991,,,atlantic grupa,zagreb,consumer goods
marine transportation,1955,,,atlantska plovidba,dubrovnik,industrials
distillers & vintners,1862,,,badel 1862,zagreb,consumer goods
pharmaceuticals,1990,,,biognost,zagreb,health care
marine transportation,2003,,,blue line international,split,industrials
mobile telecommunications,2010,,,bonbon,zagreb,telecommunications
commercial vehicles & trucks,1922,,,brodosplit,split,industrials
food products,1893,,,čakovečki mlinovi,čakovec,consumer goods
brewers,2004,,,carlsberg croatia,koprivnica,consumer goods
soft drinks,1929,,,cedevita,zagreb,consumer goods
airlines,1989,,,croatia airlines,zagreb,consumer services
broadcasting & entertainment,1946,,,croatia film,zagreb,consumer services
full line insurance,1884,,,croatia osiguranje,zagreb,financials
broadcasting & entertainment,1947,,,croatia records,zagreb,consumer services
banks,1990,,,croatian national bank,zagreb,financials
broadcasting & entertainment,1926,,,croatian radiotelevision,zagreb,consumer services
railroads,1991,,,croatian railways,zagreb,industrials
software,1993,,,croteam,zagreb,technology
commercial vehicles & trucks,1994,,,crotram,zagreb,industrials
electrical components & equipment,1949,,,dalekovod,zagreb,industrials
broadcasting & entertainment,1994,,,dallas records,zagreb,consumer services
electronic equipment,1971,,,digitron,buje,industrials
diversified industrials,1992,,,dok-ing,zagreb,industrials
diversified industrials,1991,,,ðuro ðaković,slavonski brod,industrials
mobile telecommunications,1949,,,ericsson nikola tesla,zagreb,telecommunications
airlines,2000,,,european coastal airlines,split,consumer services
food products,2019,,,fortenova group,zagreb,consumer goods
soft drinks,1892,,,franck,zagreb,consumer goods
software,1993,,,geofoto,zagreb,technology
publishing,1990,,,hanza media,zagreb,consumer services
broadcasting & entertainment,2003,,,hit records,zagreb,consumer services
business support services,1889,,,hönigsberg & deutsch,zagreb,industrials
conventional electricity,1895,,,hrvatska elektroprivreda,zagreb,utilities
delivery services,1999,,,hrvatska pošta,zagreb,industrials
banks,1991,,,hrvatska poštanska banka,zagreb,financials
transportation services,2001,,,hrvatske autoceste,zagreb,industrials
fixed line telecommunications,1998,,,hrvatski telekom,zagreb,telecommunications
defense,1991,,,hs produkt,ozalj,industrials
software,1992,,,in2,zagreb,technology
exploration & production,1964,,,ina,zagreb,oil & gas
software,2006,,,infobip,vodnjan,technology
heavy construction,1955,,,ingra,zagreb,industrials
heavy construction,1949,,,institut igh,zagreb,industrials
internet,1997,,,iskon internet,zagreb,technology
broadcasting & entertainment,1946,,,jadran film,zagreb,consumer services
pipelines,1974,,,jadranski naftovod,zagreb,oil & gas
marine transportation,1947,,,jadrolinija,rijeka,industrials
soft drinks,1828,,,jamnica,zagreb,consumer goods
broadcasting & entertainment,1947,,,jugoton,zagreb,consumer services
brewers,1854,,,karlovačka pivovara,karlovac,consumer goods
food products,1920,,,kandit,osijek,consumer goods
food products,1905,,,koestlin,bjelovar,consumer goods
electronic equipment,1921,,,končar group,zagreb,industrials
heavy construction,1945,,,konstruktor-split,split,industrials
food retailers & wholesalers,1957,,,konzum,zagreb,consumer services
commercial vehicles & trucks,1729,,,kraljevica shipyard,kraljevica,industrials
food products,1950,,,kraš,zagreb,consumer goods
food products,1958,,,ledo,zagreb,consumer goods
transportation services,1952,,,luka ploče,ploče,industrials
publishing,1842,,,matica hrvatska,zagreb,consumer services
broadcasting & entertainment,1994,,,menart records,zagreb,consumer services
broadline retailers,2008,,,narodni trgovački lanac,zagreb,consumer services
internet,2001,,,odašiljači i veze,zagreb,technology
commodity chemicals,1968,,,petrokemija,kutina,basic materials
brewers,1997,,,pivovara ličanka,gospić,consumer goods
gas distribution,2001,,,plinacro,zagreb,utilities
pharmaceuticals,1921,,,pliva,zagreb,health care
transportation services,1992,,,plovput,split,industrials
food products,1934,,,podravka,koprivnica,consumer goods
banks,2001,,,primorska banka,rijeka,financials
banks,1966,,,privredna banka zagreb,zagreb,financials
automobiles,2009,,,rimac automobili,sveta nedelja,consumer goods
electronic equipment,1948,,,riz,zagreb,industrials
publishing,1950,,,školska knjiga,zagreb,consumer services
durable household products,1921,,,sljeme,zagreb,consumer goods
banks,1965,,,splitska banka,split,financials
broadcasting & entertainment,1972,,,suzy,zagreb,consumer services
business support services,1947,,,tehnika,zagreb,industrials
mobile telecommunications,2006,,,tomato,zagreb,telecommunications
nondurable household products,1937,,,toz penkala,zagreb,consumer goods
airlines,1994,,,trade air,zagreb,consumer services
commercial vehicles & trucks,1894,,,tžv gredelj,zagreb,industrials
commercial vehicles & trucks,1856,,,uljanik,pula,industrials
publishing,1991,,,v.b.z.,zagreb,consumer services
transportation services,1947,,,viadukt,zagreb,industrials
commercial vehicles & trucks,1896,,,viktor lenac shipyard,rijeka,industrials
food products,1959,,,vindija,varaždin,consumer goods
food products,2002,,,viro,virovitica,consumer goods
broadcasting & entertainment,1953,,,zagreb film,zagreb,consumer services
financial services,1991,,,zagreb stock exchange,zagreb,financials
banks,1914,,,zagrebačka banka,zagreb,financials
brewers,1892,,,zagrebačka pivovara,zagreb,consumer goods
transportation services,1891,,,zagrebački električni tramvaj,zagreb,industrials
airlines,1990,,,air via,sofia,consumer services
brewers,1884,,,ariana brewery,sofia,consumer goods
defense,1992,,,armimex,sofia,industrials
defense,1878,,,arsenal ad,kazanlak,industrials
nonferrous metals,1964,,,asarel medet,panagyurishte,basic materials
brewers,1980,,,astika brewery,pazardzhik,consumer goods
broadline retailers,2007,,,aukro.bg,sofia,consumer services
construction & materials,1994,,,balkanstroy,sofia,industrials
travel & tourism,1948,,,balkantourist,sofia,consumer services
record label,1952,,,balkanton,sofia,consumer services
airlines,2001,,,bh air,sofia,consumer services
software,2001,,,black sea studios,sofia,technology
fixed line telecommunications,2010,,,blizoo,sofia,telecommunications
airlines,2002,,,bulgaria air,sofia,consumer services
banks,1969,,,bulgarian agricultural and commercial bank,sofia,financials
airlines,2000,,,bulgarian air charter,sofia,consumer services
banks,1999,,,bulgarian development bank,sofia,financials
exploration & production,2008,,,bulgarian energy holding,sofia,oil & gas
banks,1879,,,bulgarian national bank,sofia,financials
banks,1991,,,bulgarian postbank,sofia,financials
delivery services,1879,,,bulgarian posts,sofia,industrials
railroads,1885,,,bulgarian state railways,sofia,industrials
tobacco,1947,,,bulgartabac,sofia,consumer goods
delivery services,2007,,,cargoair,sofia,industrials
banks,1991,,,central cooperative bank,sofia,financials
-,1947,,,chimimport,sofia,conglomerates
specialty retailers,1960,,,corecom,sofia,consumer services
nonferrous metals,1932,,,cumerio med,pirdop,basic materials
broadcasting & entertainment,1999,,,diema,sofia,consumer services
banks,1951,,,dsk bank,sofia,financials
full line insurance,1946,,,dzi,sofia,financials
publishing,1993,,,economedia,sofia,consumer services
publishing,1991,,,egmont bulgaria,sofia,consumer services
publishing,1996,,,era,sofia,consumer services
gambling,1990,,,eurofootball,sofia,consumer services
food retailers & wholesalers,1991,,,fantastico,sofia,consumer services
banks,1993,,,first investment bank,sofia,financials
banks,1881,,,girdap,ruse,financials
software,1997,,,haemimont games,sofia,technology
airlines,1990,,,heli air services,sofia,consumer services
hotels,1979,,,hotel rodina,sofia,consumer services
banks,1986,,,hvb bank biochim,sofia,financials
brewers,1881,,,kamenitza,plovdiv,consumer goods
brewers,2002,,,karlsberg bulgaria ad,shumen,consumer goods
broadcasting & entertainment,2011,,,kino nova,sofia,consumer services
defense,1966,,,kintex,sofia,industrials
iron & steel,1963,,,kremikovtzi ad,sofia,basic materials
broadcasting & entertainment,1994,,,"m3 communications group, inc",sofia,consumer services
recreational products,1996,,,maxeurope,plovdiv,consumer goods
mobile telecommunications,1994,,,mtel,sofia,telecommunications
-,1989,,,multigroup,sofia,conglomerates
marine transportation,1892,,,navibulgar,varna,industrials
exploration & production,1961,,,lukoil neftochim burgas,burgas,oil & gas
conventional electricity,1991,,,nek ead,sofia,utilities
fixed line telecommunications,1996,,,neterra,sofia,telecommunications
software,2009,,,nimero,sofia,technology
software,2000,,,ontotext,sofia,technology
pipelines,1991,,,overgas,sofia,oil & gas
pipelines,1932,,,petrol ad,sofia,oil & gas
brewers,1969,,,pirinsko pivo,blagoevgrad,consumer goods
specialty chemicals,1993,,,prista oil,ruse,basic materials
publishing,1945,,,prosveta publishing house,sofia,consumer services
banks,1994,,,raiffeisen bulgaria,sofia,financials
food products,1897,,,sucreries raffineries bulgares,sofia,consumer goods
consumer electronics,1992,,,technomarket,sofia,consumer services
mobile telecommunications,2001,,,telenor bulgaria,sofia,telecommunications
defense,1963,,,terem,sofia,industrials
banks,1992,,,texim bank,sofia,financials
banks,1964,,,unicredit bulbank,sofia,financials
banks,1991,,,unionbank,sofia,financials
banks,1992,,,united bulgarian bank,sofia,financials
shipbuilding,1907,,,varna shipyard,varna,industrials
food products,2006,,,vitta foods,svilengrad,consumer goods
fixed line telecommunications,1992,,,vivacom,sofia,telecommunications
commercial vehicles & trucks,1964,,,vrz karlovo,karlovo,industrials
airlines,1964,,,abelag aviation,zaventem,consumer services
biotechnology,2001,,,ablynx,ghent,health care
-,1876,,,ackermans & van haaren,antwerp,conglomerates
industrial engineering,1870,,,af compressors,liege,industrials
real estate holding and development,1824,,,ag real estate,brussels,financials
consumer finance,1990,,,ageas,brussels,financials
computer services,1867,,,agfa-gevaert,mortsel,technology
business support services,1946,,,agoria,brussels,industrials
computer services,1994,,,aim productions,hove,technology
food products,1980,,,alpro,ghent,consumer goods
brewers,2008,,,anheuser-busch inbev,leuven,consumer goods
water,1880,,,antwerp water works,antwerp,utilities
water,1990,,,aquafin,antwerp,utilities
delivery services,1999,,,asl airlines belgium,liège,industrials
clothing and accessories,1964,,,associated weavers,ronse,consumer goods
farming and fishing,1890,,,aveve,aalter,consumer goods
delivery services,1949,,,aviapartner,brussels,industrials
computer hardware,1934,,,barco,kortrijk,technology
business support services,1993,,,base,brussels,industrials
clothing and accessories,1959,,,beaulieu international group,wielsbeke,consumer goods
real estate holding and development,1995,,,befimmo,brussels,financials
specialty chemicals,1880,,,bekaert,kortrijk,basic materials
restaurants and bars,1998,,,belgian beer café,leuven,consumer services
specialty finance,2001,,,belgian investment company for developing countries,brussels,financials
delivery services,2000,,,bpost,brussels,industrials
airlines,2006,,,brussels airlines,brussels,consumer services
specialty finance,1984,,,brussels regional investment company,brussels,financials
iron and steel,1817,,,cockerill sambre,seraing,basic materials
general mining,1860,,,carmeuse,louvain-la-neuve,basic materials
toys,1970,,,cartamundi,turnhout,consumer goods
food products,1996,,,cavalier chocolate,eeklo,consumer goods
commercial vehicles and trucks,1906,,,claeys,zedelgem,industrials
real estate services,1983,,,cofinimmo,brussels,financials
food retailers and wholesalers,1925,,,colruyt group,halle,consumer services
marine transportation,1895,,,compagnie maritime belge,antwerp,industrials
food products,1925,,,confiserie roodthooft,antwerp,consumer goods
travel and tourism,1991,,,de lijn,mechelen,consumer services
commodity chemicals,1937,,,deceuninck,hooglede,basic materials
food products,1867,,,delhaize group,brussels,consumer goods
heavy construction,1991,,,deme,zwijndrecht,industrials
specialized consumer services,1805,,,d'ieteren,brussels,consumer services
clothing and accessories,1992,,,domo group,ghent,consumer goods
nondurable household products,1979,,,ecover,malle,consumer goods
financial services,2005,,,effortel,brussels,financials
building materials and fixtures,1949,,,etap lighting,malle,consumer goods
biotechnology,1985,,,eurogentec,seraing,health care
telecommunications equipment,1994,,,evs broadcast equipment,liège,technology
computer hardware,1976,,,ferranti computer systems,antwerp,technology
exploration and production,2001,,,fluxys,brussels,oil and gas
general mining,1922,,,forrest group,wavre,basic materials
equity investment instruments,1980,,,gimv,brussels,financials
food products,1926,,,godiva chocolatier,brussels,consumer goods
publishing,1935,,,group joos,turnhout,consumer services
diversified industrials,1902,,,groupe bruxelles lambert,brussels,industrials
food products,1960,,,guylian,sint-niklaas,consumer goods
computer services,1984,,,imec,leuven,technology
automobiles,1906,,,imperia automobiles,liège,consumer goods
biotechnology,1985,,,innogenetics,ghent,health care
building materials and fixtures,1938,,,jan de nul,aalst,industrials
pharmaceuticals,1953,,,janssen pharmaceutica,beerse,health care
commercial vehicles and trucks,1881,,,jonckheere,roeselare,industrials
delivery services,1854,,,katoen natie,antwerp,industrials
banks,1985,,,kbc bank,brussels,financials
investment services,1998,,,keytrade bank,brussels,financials
recreational services,1997,,,kinepolis,ghent,consumer services
software,1996,,,larian studios,ghent,technology
clothing and accessories,1997,,,libeco-lagae,meulebeke,consumer goods
food retailers and wholesalers,1875,,,louis delhaize group,charleroi,consumer services
computer services,1999,,,luciad nv,leuven,technology
computer services,1990,,,materialise nv,leuven,technology
nonferrous metals,1919,,,metallo-chimique,beerse,basic materials
consumer electronics,1990,,,mutoh europe nv,ostend,consumer goods
business support services,1987,,,namahn,brussels,industrials
rail transport,1926,,,national railway company of belgium,brussels,consumer services
diversified industrials,1981,,,compagnie nationale à portefeuille,gerpinnes,industrials
general mining,2007,,,nyrstar,balen,basic materials
computer hardware,1986,,,option n.v.,leuven,technology
publishing,1913,,,proost,turnhout,consumer services
mobile telecommunications,1994,,,proximus,brussels,telecommunications
fixed line telecommunications,1930,,,proximus group,brussels,telecommunications
investment services,1979,,,regional investment company of wallonia,liège,financials
aluminum,1965,,,reynaers aluminium,duffel,basic materials
asset managers,1786,,,rhj international,brussels,financials
recreational products,1997,,,ridley bikes,paal,consumer goods
recreational products,1923,,,saluc,péruwelz,consumer goods
consumer electronics,2000,,,septentrio,leuven,consumer goods
clothing and accessories,1908,,,seyntex,oostrozebeke,consumer goods
aerospace,1989,,,skytech,brussels,industrials
equity investment instruments,1898,,,sofina,brussels,financials
specialty chemicals,1863,,,solvay s.a.,brussels,basic materials
specialty chemicals,1966,,,soudal,turnhout,basic materials
food products,1836,,,sugar refinery of tienen,tienen,consumer goods
fixed line telecommunications,1996,,,telenet,mechelen,telecommunications
delivery services,1985,,,teleroute,brussels,industrials
commercial vehicles and trucks,1969,,,thermote & vanhalst,waregem,industrials
airlines,2001,,,thomas cook airlines belgium,zaventem,consumer services
pharmaceuticals,1994,,,tibotec,mechelen,health care
biotechnology,2000,,,tigenix,leuven,health care
business support services,1986,,,tractebel,brussels,industrials
business support services,1968,,,truvo,antwerp,industrials
airlines,2003,,,tuifly belgium,zaventem,consumer services
pharmaceuticals,1928,,,ucb,brussels,health care
broadcasting and entertainment,2010,,,umedia,brussels,consumer services
general mining,1989,,,umicore,brussels,basic materials
containers and packaging,1939,,,unibind,brussels,industrials
general mining,1906,,,union minière du haut katanga,brussels,basic materials
containers and packaging,1833,,,van genechten packaging,turnhout,industrials
commercial vehicles and trucks,1947,,,van hool,koningshooikt,industrials
life insurance,1937,,,vanbreda international,antwerp,financials
food products,1889,,,vanparys,brussels,consumer goods
electronic equipment,1975,,,velleman,gavere,industrials
business support services,1873,,,vinçotte,brussels,industrials
airlines,1992,,,vlm airlines,antwerp,consumer services
automobiles,1965,,,volvo car gent,ghent,consumer goods
specialty finance,2002,,,walloon sme finance and guarantee company,liège,financials
technology hardware,1984,,,zetes,brussels,technology
food products,1988,,,agrana,vienna,consumer goods
industrial machinery,1479,,,pewag group,klagenfurt,industrials
electronic equipment,1983,,,aht cooling systems,rottenmann,industrials
durable household products,1763,,,ammerer bed company,ried im innkreis,consumer goods
semiconductors,1981,,,ams ag,premstätten,technology
industrial machinery,1852,,,andritz,graz,industrials
recreational products,1955,,,atomic skis,altenmarkt im pongau,consumer goods
durable household products,1923,,,augarten porcelain,vienna,consumer goods
diversified industrials,1938,,,amag austria metall ag,braunau am inn,industrials
banks,1954,,,austria wirtschaftsservice gesellschaft,vienna,financials
airlines,1957,,,austrian airlines,schwechat,consumer services
electronic equipment,1979,,,b&r,eggelsberg,industrials
banks,1855,,,bank austria,vienna,financials
home improvement retailers,1976,,,baumax,klosterneuburg,consumer services
banks,1922,,,bawag,vienna,financials
furnishings,1790,,,bene ag,waidhofen an der ybbs,consumer goods
specialized consumer services,1907,,,bestattung wien,vienna,consumer services
food retailers & wholesalers,1953,,,billa,wiener neudorf,consumer services
iron & steel,1991,,,böhler-uddeholm,vienna,basic materials
commodity chemicals,1994,,,borealis,vienna,basic materials
recreational products,1828,,,bösendorfer,vienna,consumer goods
real estate holding & development,1992,,,bundesimmobiliengesellschaft,vienna,financials
recreational services,1993,,,cineplexx cinemas,vienna,consumer services
semiconductors,1999,,,cisc semiconductor,klagenfurt,technology
paper,2006,,,delfortgroup,traun,basic materials
business support services,1999,,,dependeq,vienna,industrials
aerospace,1981,,,diamond aircraft industries,wiener neustadt,consumer goods
heavy construction,1868,,,doka group,amstetten,industrials
recreational products,1892,,,doppelmayr garaventa group,wolfurt,consumer goods
specialized consumer services,1707,,,dorotheum,vienna,consumer services
banks,2008,,,erste bank,vienna,financials
software,1988,,,fabasoft,linz,technology
recreational products,1924,,,fischer,ried im innkreis,consumer goods
telecommunications equipment,1947,,,frequentis,vienna,technology
industrial machinery,1959,,,ge jenbacher,jenbach,industrials
computer hardware,1990,,,gericom,linz,technology
distillers & vintners,1777,,,gessler,vienna,consumer goods
defense,1963,,,glock ges.m.b.h.,deutsch-wagram,industrials
durable household products,1885,,,goldscheider ceramics,vienna,consumer goods
furnishings,1952,,,julius blum,höchst,consumer goods
beverages,1862,,,julius meinl,vienna,consumer goods
telecommunications equipment,1892,,,kapsch,vienna,technology
furnishings,1973,,,kika,vienna,consumer goods
nondurable household products,1887,,,kores,vienna,consumer goods
automobiles,1934,,,ktm,mattighofen,consumer goods
commodity chemicals,1938,,,lenzing ag,lenzing,basic materials
industrial machinery,1738,,,löblich & co.,vienna,industrials
specialized consumer services,2003,,,lyoness,graz,consumer services
automobiles,2001,,,magna steyr,graz,consumer goods
containers & packaging,1950,,,mayr-melnhof,vienna,industrials
business training & employment agencies,1971,,,neumann international,vienna,industrials
airlines,2003,,,niki,schwechat,consumer services
computer hardware,2005,,,noctua,vienna,consumer goods
automobiles,1907,,,öaf,floridsdorf,consumer goods
railroads,1923,,,öbb,vienna,industrials
exploration & production,1956,,,omv,vienna,oil & gas
biotechnology,2005,,,onepharm,vienna,health care
asset managers,1967,,,österreichische industrieholding ag,vienna,financials
delivery services,1999,,,österreichische post,vienna,logistics
commercial vehicles & trucks,1932,,,palfinger,salzburg,industrials
beverages,1856,,,pfanner,lauterach,consumer goods
recreational products,1824,,,piatnik & söhne,vienna,consumer goods
commodity chemicals,1921,,,plansee group,breitenwang,basic materials
automobiles,1899,,,puch,graz,consumer goods
banks,1927,,,raiffeisen,vienna,financials
beverages,1987,,,red bull gmbh,fuschl am see,consumer goods
industrial suppliers,1834,,,rhi ag,vienna,industrials
commercial vehicles & trucks,1866,,,rosenbauer,leonding,industrials
auto components,1920,,,rotax,gunskirchen,industrials
software,2009,,,runtastic,pasching,technology
commodity chemicals,1824,,,semperit,vienna,basic materials
electronic equipment,1977,,,skidata,grödig,industrials
defense,1864,,,steyr mannlicher,sankt ulrich bei steyr,industrials
auto components,2001,,,steyr motors gmbh,sankt ulrich bei steyr,industrials
automobiles,1907,,,steyr tractor,floridsdorf,consumer goods
heavy construction,1835,,,strabag,vienna,industrials
distillers & vintners,1832,,,stroh,klagenfurt,consumer goods
clothing & accessories,1895,,,swarovski,wattens,consumer goods
autonomous robots,2010,,,taurob,vienna,robotics
fixed line telecommunications,1998,,,telekom austria,vienna,telecommunications
travel & tourism,2010,,,tourradar,vienna,consumer services
automobiles,2012,,,tushek&spigel supercars,graz,consumer goods
full line insurance,1922,,,uniqa,vienna,financials
alternative electricity,1947,,,verbund,vienna,utilities
full line insurance,1824,,,vienna insurance group,vienna,financials
iron & steel,1938,,,voestalpine,linz,basic materials
building materials & fixtures,1819,,,wienerberger,vienna,industrials
building materials & fixtures,1950,,,zumtobel lighting group,dornbirn,industrials
food products,1988,,"sugar, starch, fruit juice concentrates and fruit preparation",agrana,vienna,consumer goods
industrial machinery,1479,,chain manufacturer,pewag group,klagenfurt,industrials
electronic equipment,1983,,cooling and refrigeration,aht cooling systems,rottenmann,industrials
durable household products,1763,,,ammerer bed company,ried im innkreis,consumer goods
semiconductors,1981,,semiconductors,ams ag,premstätten,technology
industrial machinery,1852,,plant engineering,andritz,graz,industrials
recreational products,1955,,"skis, part of amer sports (finland)",atomic skis,altenmarkt im pongau,consumer goods
durable household products,1923,,,augarten porcelain,vienna,consumer goods
diversified industrials,1938,,general manufacturing,amag austria metall ag,braunau am inn,industrials
banks,1954,,development and financing bank,austria wirtschaftsservice gesellschaft (aws),vienna,financials
airlines,1957,,flag carrier airline. part of lufthansa (germany),austrian airlines,schwechat,consumer services
business support services,1948,,automotive engineering,avl,graz,industrials
electronic equipment,1979,,automation and process control,b&r,eggelsberg,industrials
banks,1855,,banking,bank austria,vienna,financials
home improvement retailers,1976,,defunct 2015,baumax,klosterneuburg,consumer services
banks,1922,,banking,bawag,vienna,financials
furnishings,1790,,office furniture,bene ag,waidhofen an der ybbs,consumer goods
specialized consumer services,1907,,funeral director,bestattung wien,vienna,consumer services
food retailers & wholesalers,1953,,supermarkets,billa,wiener neudorf,consumer services
iron & steel,1991,,steel,böhler-uddeholm,vienna,basic materials
commodity chemicals,1994,,polyethylene,borealis,vienna,basic materials
recreational products,1828,,"pianos, now part of yamaha corporation (japan)",bösendorfer,vienna,consumer goods
real estate holding & development,1992,,government real estate,bundesimmobiliengesellschaft (big),vienna,financials
recreational services,1993,,cinemas,cineplexx cinemas,vienna,consumer services
semiconductors,1999,,,cisc semiconductor,klagenfurt,technology
paper,2006,,paper,delfortgroup,traun,basic materials
business support services,1999,,metallurgical plants,dependeq,vienna,industrials
aerospace,1981,,aircraft manufacturer,diamond aircraft industries,wiener neustadt,consumer goods
heavy construction,1868,,formwork,doka group,amstetten,industrials
recreational products,1892,,commercial ski equipment,doppelmayr garaventa group,wolfurt,consumer goods
specialized consumer services,1707,,auction house,dorotheum,vienna,consumer services
banks,2008,,banking,erste bank,vienna,financials
software,1988,,software,fabasoft,linz,technology
recreational products,1924,,skis and aircraft parts,fischer,ried im innkreis,consumer goods
telecommunications equipment,1947,,communications technology,frequentis,vienna,technology
industrial machinery,1959,,engines,ge jenbacher,jenbach,industrials
computer hardware,1990,,"computer equipment, defunct 2008",gericom,linz,technology
