00-avengers-headquarters_continent,02-GioPonSpiz-country,07-silvestri-country,08-slytherin-country
asia,canada,,china
asia,japan,,usa
oceania,china,,china
asia,china,,japan
asia,australia,,china
asia,japan,,australia
americas,japan,,japan
asia,china,,switzerland
americas,usa,,usa
asia,switzerland,,usa
asia,usa,,switzerland
europe,japan,,japan
asia,netherlands,,china
americas,usa,,indonesia
europe,china,,china
asia,switzerland,,netherlands
americas,china,,china
europe,china,,china
asia,indonesia,,poland
asia,china,,usa
americas,usa,,uk
europe,china,,usa
americas,uk,,china
americas,usa,,sweden
europe,usa,,usa
asia,sweden,,usa
americas,usa,,china
asia,china,,china
europe,poland,,south africa
americas,china,,india
europe,portugal,,belgium
asia,uk,,japan
asia,belgium,,uk
asia,china,,portugal
europe,japan,,china
europe,india,,france
europe,usa,,usa
asia,france,,usa
africa,south africa,,china
europe,usa,,china
asia,china,,japan
europe,usa,,uk
asia,japan,,usa
americas,usa,,sweden
asia,hong kong,,hong kong
americas,sweden,,usa
asia,china,,usa
americas,uk,,india
americas,usa,,france
americas,india,,usa
americas,japan,,china
americas,china,,mexico
europe,belgium,,japan
americas,mexico,,china
europe,uk,,usa
asia,usa,,usa
asia,usa,,uk
asia,usa,,belgium
asia,china,,japan
asia,france,,usa
europe,usa,,singapore
asia,usa,,usa
americas,japan,,usa
asia,japan,,usa
asia,usa,,greece
americas,south korea,,japan
americas,greece,,india
europe,india,,south korea
asia,singapore,,luxembourg
asia,usa,,china
asia,luxembourg,,china
oceania,usa,,finland
europe,finland,,czech republic
americas,usa,,usa
europe,czech republic,,usa
americas,australia,,japan
europe,china,,australia
americas,japan,,usa
americas,usa,,japan
americas,china,,italy
europe,australia,,usa
asia,uk,,china
americas,usa,,uk
asia,china,,china
americas,usa,,usa
europe,china,,australia
oceania,italy,,chile
asia,chile,,usa
americas,usa,,taiwan
asia,japan,,usa
asia,germany,,china
asia,usa,,germany
asia,brazil,,brazil
asia,china,,usa
americas,china,,china
americas,taiwan,,germany
europe,china,,south korea
asia,south korea,,china
asia,usa,,belgium
americas,germany,,usa
americas,belgium,,india
asia,switzerland,,usa
americas,india,,china
asia,usa,,china
europe,china,,usa
europe,usa,,switzerland
europe,usa,,india
americas,india,,hong kong
asia,hong kong,,thailand
asia,china,,usa
americas,france,,china
asia,usa,,france
americas,china,,south korea
asia,usa,,usa
americas,thailand,,usa
europe,usa,,china
asia,china,,usa
asia,south korea,,usa
americas,usa,,japan
europe,usa,,china
europe,china,,china
asia,brazil,,brazil
asia,china,,china
asia,china,,hong kong
americas,hong kong,,usa
asia,japan,,germany
asia,russia,,usa
americas,germany,,russia
americas,usa,,israel
europe,usa,,usa
americas,ireland,,ireland
europe,taiwan,,south korea
asia,israel,,taiwan
americas,usa,,usa
asia,south korea,,usa
asia,uk,,luxembourg
europe,usa,,uk
americas,luxembourg,,israel
americas,usa,,china
europe,israel,,netherlands
europe,netherlands,,usa
europe,china,,uk
americas,china,,saudi arabia
asia,singapore,,singapore
asia,usa,,usa
asia,uk,,china
europe,ireland,,poland
asia,poland,,ireland
asia,saudi arabia,,china
americas,usa,,new zealand
asia,india,,usa
asia,usa,,china
oceania,china,,japan
europe,czech republic,,japan
asia,new zealand,,czech republic
americas,china,,usa
asia,japan,,china
americas,usa,,india
asia,china,,china
oceania,japan,,hong kong
europe,netherlands,,usa
asia,netherlands,,netherlands
americas,china,,netherlands
asia,thailand,,thailand
asia,usa,,usa
europe,japan,,japan
europe,hong kong,,india
asia,australia,,australia
americas,usa,,switzerland
europe,india,,switzerland
asia,denmark,,denmark
americas,india,,india
europe,japan,,japan
europe,switzerland,,usa
asia,norway,,china
asia,usa,,usa
europe,japan,,japan
asia,switzerland,,norway
asia,china,,canada
americas,usa,,india
asia,india,,china
americas,china,,malaysia
europe,canada,,ireland
asia,china,,china
americas,ireland,,usa
asia,canada,,china
asia,china,,canada
americas,canada,,canada
asia,malaysia,,south africa
asia,usa,,usa
asia,south africa,,china
americas,usa,,china
asia,italy,,indonesia
americas,usa,,usa
europe,japan,,usa
americas,usa,,japan
africa,china,,italy
americas,china,,china
asia,china,,japan
asia,indonesia,,usa
oceania,usa,,sweden
asia,china,,japan
americas,sweden,,china
oceania,australia,,usa
europe,usa,,australia
asia,japan,,norway
americas,australia,,usa
asia,japan,,australia
americas,usa,,china
asia,norway,,usa
americas,usa,,usa
americas,hong kong,,japan
americas,sweden,,japan
americas,canada,,japan
asia,usa,,hong kong
europe,usa,,canada
americas,usa,,usa
europe,japan,,usa
asia,japan,,japan
asia,japan,,china
asia,china,,china
asia,uk,,uk
americas,japan,,japan
africa,south africa,,usa
asia,usa,,japan
europe,japan,,uk
asia,china,,south africa
asia,china,,japan
europe,uk,,usa
asia,japan,,china
americas,japan,,usa
oceania,usa,,usa
asia,japan,,usa
asia,south korea,,australia
asia,thailand,,south korea
americas,australia,,japan
asia,usa,,china
asia,china,,thailand
americas,usa,,china
asia,usa,,usa
europe,china,,usa
asia,france,,uk
asia,china,,usa
americas,usa,,south korea
asia,china,,china
europe,south korea,,china
asia,uk,,france
americas,china,,israel
americas,usa,,philippines
oceania,usa,,australia
asia,israel,,usa
europe,china,,germany
asia,usa,,switzerland
europe,germany,,australia
americas,taiwan,,uk
asia,uk,,taiwan
asia,philippines,,germany
americas,australia,,china
europe,switzerland,,usa
asia,australia,,qatar
americas,germany,,india
americas,canada,,india
asia,usa,,taiwan
oceania,australia,,australia
americas,taiwan,,usa
americas,usa,,brazil
europe,brazil,,canada
oceania,india,,usa
asia,india,,south korea
americas,usa,,china
asia,qatar,,usa
asia,china,,japan
americas,japan,,japan
asia,china,,china
asia,canada,,china
asia,japan,,usa
asia,china,,china
americas,usa,,canada
asia,china,,china
asia,usa,,china
asia,south korea,,new zealand
europe,china,,india
europe,usa,,cyprus
asia,india,,bermuda
americas,switzerland,,china
asia,france,,france
asia,cyprus,,usa
americas,china,,switzerland
asia,china,,denmark
americas,new zealand,,japan
americas,bermuda,,china
americas,japan,,usa
americas,usa,,usa
americas,usa,,usa
americas,usa,,usa
asia,usa,,usa
americas,usa,,usa
oceania,usa,,usa
europe,denmark,,japan
asia,china,,china
asia,usa,,usa
oceania,china,,usa
europe,japan,,sweden
oceania,australia,,japan
asia,sweden,,china
asia,australia,,australia
americas,japan,,australia
asia,china,,canada
americas,usa,,usa
africa,usa,,thailand
asia,canada,,south africa
americas,uk,,singapore
asia,china,,china
asia,mexico,,qatar
americas,usa,,mexico
europe,singapore,,uk
americas,thailand,,usa
americas,south africa,,usa
asia,qatar,,china
asia,usa,,uk
asia,usa,,china
asia,china,,usa
asia,uk,,south korea
americas,usa,,uk
europe,china,,china
asia,china,,china
americas,south korea,,usa
americas,china,,usa
americas,usa,,usa
americas,usa,,china
americas,uk,,china
americas,france,,chile
asia,china,,taiwan
asia,taiwan,,france
asia,china,,china
europe,usa,,china
europe,usa,,japan
americas,chile,,sweden
asia,china,,uk
oceania,sweden,,australia
asia,china,,usa
asia,japan,,japan
americas,usa,,japan
americas,usa,,usa
americas,usa,,usa
asia,japan,,uk
asia,japan,,usa
europe,australia,,china
europe,uk,,taiwan
asia,usa,,usa
asia,china,,usa
americas,uk,,usa
europe,usa,,turkey
asia,taiwan,,denmark
americas,switzerland,,switzerland
europe,usa,,china
asia,south korea,,south korea
americas,china,,china
asia,turkey,,russia
americas,usa,,usa
europe,china,,usa
oceania,denmark,,australia
oceania,italy,,australia
americas,usa,,italy
europe,australia,,japan
europe,australia,,usa
asia,russia,,brazil
americas,usa,,germany
americas,usa,,china
europe,germany,,taiwan
americas,brazil,,colombia
americas,japan,,mexico
europe,china,,italy
americas,mexico,,usa
asia,germany,,germany
asia,usa,,usa
americas,usa,,germany
europe,italy,,usa
europe,germany,,usa
europe,usa,,israel
asia,taiwan,,usa
americas,colombia,,switzerland
asia,usa,,japan
oceania,australia,,usa
americas,malaysia,,uk
americas,usa,,malaysia
asia,japan,,usa
americas,uk,,australia
europe,switzerland,,usa
asia,israel,,usa
americas,usa,,netherlands
americas,usa,,germany
americas,netherlands,,italy
americas,usa,,usa
europe,usa,,usa
americas,canada,,france
americas,usa,,canada
asia,thailand,,thailand
europe,france,,germany
europe,usa,,japan
europe,italy,,usa
europe,germany,,mexico
americas,mexico,,china
europe,italy,,uk
americas,usa,,italy
europe,uk,,switzerland
europe,germany,,brazil
americas,switzerland,,japan
asia,japan,,china
asia,brazil,,uk
americas,china,,china
asia,japan,,china
asia,uk,,japan
asia,japan,,usa
europe,south korea,,south korea
asia,china,,indonesia
asia,usa,,china
americas,china,,uk
europe,uk,,japan
asia,indonesia,,china
americas,china,,spain
europe,china,,japan
asia,germany,,china
americas,usa,,usa
europe,china,,usa
asia,spain,,australia
asia,usa,,china
asia,japan,,germany
asia,japan,,malaysia
asia,china,,poland
americas,china,,usa
asia,australia,,china
americas,poland,,china
europe,spain,,usa
europe,usa,,taiwan
oceania,china,,china
asia,usa,,usa
asia,china,,spain
asia,taiwan,,usa
americas,malaysia,,india
asia,china,,japan
americas,usa,,usa
europe,usa,,china
asia,japan,,russia
americas,russia,,usa
americas,usa,,ireland
asia,china,,japan
asia,usa,,usa
asia,japan,,taiwan
americas,ireland,,singapore
asia,india,,usa
africa,usa,,usa
oceania,taiwan,,australia
asia,australia,,hong kong
americas,south africa,,usa
asia,hong kong,,australia
europe,usa,,south africa
asia,japan,,japan
americas,usa,,luxembourg
oceania,usa,,indonesia
asia,singapore,,australia
asia,australia,,china
europe,uk,,uk
europe,uk,,thailand
europe,luxembourg,,usa
oceania,china,,australia
asia,thailand,,thailand
americas,australia,,uk
americas,usa,,sweden
asia,australia,,china
europe,indonesia,,russia
europe,thailand,,norway
americas,china,,brazil
europe,uk,,israel
asia,mexico,,uk
asia,norway,,china
asia,russia,,mexico
oceania,japan,,japan
americas,brazil,,india
asia,sweden,,thailand
asia,israel,,usa
americas,china,,usa
asia,thailand,,switzerland
americas,usa,,usa
asia,india,,india
asia,usa,,usa
asia,india,,sweden
europe,india,,india
americas,usa,,china
americas,sweden,,china
asia,switzerland,,usa
asia,usa,,russia
asia,australia,,china
americas,usa,,japan
oceania,china,,japan
americas,china,,japan
europe,japan,,usa
europe,usa,,australia
asia,japan,,australia
americas,russia,,usa
asia,japan,,china
asia,china,,china
asia,india,,china
asia,china,,saudi arabia
asia,israel,,china
asia,china,,israel
asia,usa,,china
europe,china,,india
asia,china,,uk
asia,saudi arabia,,usa
americas,australia,,canada
europe,china,,austria
asia,uk,,china
americas,usa,,china
europe,china,,china
asia,austria,,singapore
oceania,usa,,singapore
asia,singapore,,usa
asia,singapore,,japan
asia,china,,canada
asia,china,,uk
europe,canada,,brazil
europe,japan,,australia
americas,usa,,italy
asia,uk,,china
americas,sweden,,sweden
asia,china,,usa
asia,china,,china
americas,canada,,china
asia,brazil,,canada
americas,italy,,china
asia,australia,,india
asia,china,,india
americas,usa,,japan
asia,japan,,india
oceania,india,,netherlands
europe,canada,,canada
americas,india,,usa
asia,china,,usa
oceania,india,,egypt
americas,netherlands,,usa
asia,canada,,japan
americas,egypt,,taiwan
americas,usa,,france
africa,mexico,,india
americas,japan,,taiwan
europe,usa,,australia
asia,australia,,mexico
asia,india,,china
americas,france,,taiwan
asia,taiwan,,usa
americas,taiwan,,israel
americas,taiwan,,uk
americas,usa,,usa
asia,usa,,usa
asia,usa,,usa
asia,china,,canada
europe,usa,,france
europe,uk,,china
europe,france,,usa
asia,canada,,switzerland
asia,israel,,usa
europe,usa,,luxembourg
europe,switzerland,,taiwan
americas,switzerland,,china
asia,india,,india
americas,china,,switzerland
europe,luxembourg,,usa
asia,china,,uk
asia,taiwan,,india
europe,usa,,japan
europe,usa,,france
asia,japan,,denmark
americas,usa,,china
asia,china,,south korea
americas,denmark,,usa
americas,france,,china
asia,india,,japan
asia,south korea,,brazil
americas,china,,mexico
americas,japan,,china
americas,uk,,australia
americas,south korea,,canada
americas,usa,,usa
asia,mexico,,usa
europe,usa,,usa
asia,usa,,south korea
asia,canada,,usa
oceania,australia,,china
americas,brazil,,china
americas,usa,,usa
europe,china,,usa
europe,china,,china
asia,india,,usa
asia,uk,,usa
asia,switzerland,,switzerland
americas,usa,,uk
americas,usa,,india
americas,usa,,japan
americas,china,,france
asia,usa,,china
americas,china,,china
europe,japan,,india
asia,china,,usa
asia,france,,canada
asia,usa,,usa
americas,china,,china
asia,usa,,switzerland
europe,switzerland,,usa
europe,canada,,uk
europe,india,,spain
asia,china,,china
americas,china,,china
americas,usa,,usa
asia,usa,,usa
asia,china,,uk
asia,spain,,france
americas,uk,,germany
europe,uk,,china
asia,france,,canada
asia,germany,,usa
asia,usa,,japan
americas,china,,usa
americas,usa,,usa
asia,usa,,usa
americas,japan,,japan
europe,japan,,china
europe,india,,india
asia,china,,china
asia,usa,,belgium
asia,usa,,usa
americas,canada,,china
americas,usa,,usa
europe,netherlands,,usa
americas,usa,,china
americas,usa,,netherlands
americas,china,,turkey
americas,turkey,,usa
europe,belgium,,usa
americas,china,,china
asia,usa,,usa
americas,china,,canada
asia,usa,,china
africa,south africa,,usa
americas,china,,china
asia,canada,,israel
americas,china,,china
asia,usa,,south africa
asia,china,,usa
europe,china,,china
americas,israel,,new zealand
asia,usa,,thailand
oceania,usa,,china
asia,south korea,,netherlands
americas,australia,,uk
americas,china,,usa
asia,usa,,australia
asia,netherlands,,south korea
europe,uk,,uae
asia,china,,australia
americas,new zealand,,switzerland
asia,thailand,,japan
americas,uae,,japan
americas,usa,,france
asia,usa,,usa
asia,china,,china
oceania,usa,,usa
asia,japan,,usa
europe,france,,india
americas,japan,,usa
europe,switzerland,,china
americas,australia,,usa
asia,india,,finland
asia,saudi arabia,,usa
asia,china,,canada
oceania,usa,,usa
europe,finland,,china
asia,usa,,saudi arabia
americas,canada,,mexico
americas,china,,uk
asia,usa,,usa
americas,usa,,singapore
americas,mexico,,china
asia,china,,brazil
americas,usa,,usa
americas,usa,,usa
americas,singapore,,china
asia,usa,,usa
americas,usa,,china
asia,uk,,usa
asia,china,,usa
americas,brazil,,japan
asia,usa,,usa
americas,usa,,india
americas,usa,,china
americas,japan,,brazil
asia,china,,china
europe,china,,india
asia,china,,nigeria
,brazil,,japan
asia,india,,taiwan
asia,india,,china
asia,china,,india
asia,india,,china
asia,taiwan,,china
asia,china,,china
asia,china,,france
americas,nigeria,,sweden
asia,japan,,china
americas,sweden,,qatar
asia,france,,usa
americas,china,,uk
americas,usa,,brazil
europe,uk,,singapore
americas,usa,,usa
asia,usa,,china
europe,china,,usa
europe,brazil,,usa
americas,usa,,belgium
asia,qatar,,china
americas,china,,uk
americas,singapore,,saudi arabia
europe,china,,japan
americas,usa,,japan
asia,belgium,,canada
asia,canada,,usa
asia,usa,,switzerland
asia,japan,,usa
asia,china,,netherlands
asia,japan,,usa
americas,china,,usa
europe,usa,,china
asia,usa,,usa
asia,china,,uk
europe,china,,china
europe,japan,,china
europe,india,,india
asia,china,,japan
asia,china,,taiwan
asia,saudi arabia,,china
asia,uk,,china
asia,switzerland,,china
asia,netherlands,,india
asia,japan,,japan
asia,india,,china
americas,uk,,uk
americas,usa,,japan
asia,china,,china
asia,japan,,south korea
asia,china,,china
asia,taiwan,,india
asia,uk,,india
asia,india,,china
asia,china,,japan
asia,japan,,japan
europe,japan,,denmark
asia,china,,china
asia,china,,china
asia,south korea,,uk
europe,china,,switzerland
americas,india,,spain
asia,denmark,,usa
europe,uk,,usa
americas,usa,,usa
europe,spain,,japan
europe,china,,china
asia,usa,,usa
asia,switzerland,,usa
americas,usa,,uk
americas,japan,,usa
asia,usa,,usa
europe,usa,,usa
asia,uk,,china
asia,china,,china
europe,china,,belgium
americas,belgium,,hong kong
americas,china,,canada
asia,canada,,china
asia,hong kong,,china
europe,usa,,indonesia
asia,usa,,usa
americas,usa,,sweden
asia,japan,,south africa
americas,usa,,china
asia,china,,japan
americas,usa,,china
americas,china,,usa
americas,sweden,,china
asia,china,,japan
asia,south africa,,japan
americas,indonesia,,usa
asia,china,,china
asia,japan,,usa
asia,china,,usa
asia,china,,china
asia,turkey,,china
asia,usa,,china
africa,japan,,turkey
americas,usa,,china
asia,china,,hong kong
americas,china,,china
asia,usa,,hong kong
asia,china,,singapore
asia,china,,china
asia,china,,china
americas,indonesia,,indonesia
asia,usa,,china
asia,hong kong,,usa
asia,china,,india
americas,china,,taiwan
americas,hong kong,,turkey
europe,singapore,,japan
europe,india,,luxembourg
asia,japan,,usa
asia,uk,,usa
asia,luxembourg,,uk
asia,usa,,usa
asia,usa,,usa
asia,turkey,,japan
americas,usa,,usa
americas,taiwan,,norway
asia,usa,,china
europe,usa,,china
asia,china,,japan
americas,norway,,china
americas,china,,italy
asia,usa,,usa
americas,usa,,usa
asia,china,,spain
americas,japan,,china
europe,japan,,south korea
americas,italy,,china
asia,usa,,usa
americas,usa,,usa
americas,south korea,,china
europe,usa,,usa
asia,spain,,usa
asia,usa,,china
asia,china,,south korea
asia,china,,india
americas,china,,usa
americas,china,,usa
americas,usa,,usa
asia,south korea,,usa
americas,usa,,india
asia,usa,,british virgin islands
asia,british virgin islands,,usa
asia,china,,china
americas,usa,,south korea
asia,india,,usa
americas,india,,usa
americas,usa,,china
asia,canada,,japan
asia,japan,,norway
americas,china,,usa
americas,usa,,china
asia,usa,,canada
asia,china,,china
europe,norway,,usa
europe,usa,,uk
americas,south korea,,china
europe,china,,cyprus
asia,usa,,usa
americas,usa,,france
americas,japan,,new zealand
asia,france,,uk
asia,usa,,usa
americas,uk,,japan
asia,cyprus,,usa
asia,uk,,finland
asia,china,,japan
europe,new zealand,,usa
asia,finland,,china
americas,usa,,china
europe,china,,japan
asia,germany,,sweden
europe,japan,,china
oceania,china,,germany
asia,japan,,austria
asia,sweden,,south korea
asia,usa,,hong kong
asia,china,,china
asia,china,,china
asia,hong kong,,china
asia,china,,china
asia,south korea,,india
americas,india,,china
europe,china,,uk
asia,china,,australia
americas,uk,,usa
asia,austria,,italy
americas,china,,china
americas,hong kong,,china
americas,usa,,usa
asia,canada,,canada
asia,china,,usa
europe,china,,hong kong
europe,usa,,china
oceania,australia,,usa
asia,china,,indonesia
americas,china,,brazil
americas,italy,,usa
asia,usa,,malaysia
asia,singapore,,south africa
americas,india,,indonesia
europe,brazil,,singapore
asia,usa,,germany
asia,malaysia,,india
africa,south africa,,china
europe,germany,,usa
asia,indonesia,,china
asia,indonesia,,china
asia,usa,,china
asia,china,,china
americas,china,,australia
asia,china,,france
asia,china,,uk
europe,uk,,china
europe,france,,germany
europe,australia,,italy
europe,china,,south korea
asia,china,,sweden
asia,usa,,india
europe,italy,,china
americas,south korea,,usa
asia,india,,china
asia,sweden,,japan
oceania,germany,,india
asia,india,,canada
americas,china,,india
europe,japan,,usa
europe,china,,usa
americas,canada,,germany
asia,india,,brazil
americas,brazil,,usa
asia,germany,,usa
asia,france,,france
asia,usa,,germany
americas,usa,,china
americas,germany,,china
europe,usa,,netherlands
oceania,usa,,china
asia,netherlands,,usa
asia,china,,china
europe,china,,canada
americas,australia,,switzerland
americas,germany,,germany
europe,usa,,australia
americas,canada,,sweden
americas,china,,usa
europe,china,,colombia
asia,switzerland,,thailand
asia,usa,,usa
oceania,australia,,russia
americas,china,,india
europe,china,,china
asia,sweden,,australia
asia,usa,,china
europe,russia,,china
oceania,colombia,,new zealand
europe,india,,usa
americas,thailand,,belgium
europe,france,,australia
americas,usa,,china
europe,finland,,usa
asia,usa,,finland
asia,belgium,,france
americas,australia,,usa
asia,china,,taiwan
asia,usa,,china
asia,new zealand,,india
americas,china,,india
asia,china,,usa
asia,taiwan,,india
asia,china,,china
asia,usa,,japan
oceania,india,,china
americas,india,,china
asia,china,,usa
americas,japan,,china
americas,india,,mexico
americas,china,,taiwan
europe,usa,,usa
asia,china,,luxembourg
americas,luxembourg,,canada
asia,usa,,usa
asia,usa,,usa
asia,mexico,,denmark
americas,canada,,china
asia,taiwan,,argentina
asia,usa,,india
americas,denmark,,china
asia,usa,,sweden
asia,thailand,,thailand
americas,china,,usa
europe,usa,,usa
americas,china,,usa
asia,china,,china
asia,india,,switzerland
europe,usa,,china
europe,sweden,,usa
asia,argentina,,india
asia,usa,,canada
asia,japan,,luxembourg
americas,india,,france
americas,china,,usa
europe,france,,india
americas,luxembourg,,japan
americas,canada,,malaysia
europe,switzerland,,usa
asia,usa,,usa
americas,india,,china
asia,malaysia,,china
asia,india,,germany
asia,china,,japan
asia,usa,,germany
americas,japan,,taiwan
europe,germany,,india
americas,usa,,indonesia
americas,china,,taiwan
americas,taiwan,,austria
asia,germany,,taiwan
europe,taiwan,,canada
asia,china,,thailand
asia,austria,,usa
europe,taiwan,,china
asia,canada,,japan
asia,usa,,taiwan
asia,taiwan,,cayman islands
asia,indonesia,,south korea
europe,japan,,china
asia,thailand,,sweden
asia,cayman islands,,japan
asia,china,,china
americas,china,,germany
asia,south korea,,uk
asia,uk,,china
asia,china,,china
europe,germany,,usa
asia,japan,,china
americas,sweden,,china
asia,china,,ireland
europe,usa,,usa
asia,china,,china
americas,germany,,china
asia,china,,taiwan
europe,usa,,china
asia,china,,germany
asia,china,,finland
europe,china,,usa
asia,ireland,,uk
americas,taiwan,,usa
americas,usa,,usa
americas,usa,,usa
americas,usa,,japan
asia,usa,,china
europe,china,,usa
asia,uk,,uk
europe,finland,,china
asia,uk,,japan
asia,japan,,china
europe,usa,,brazil
europe,china,,usa
asia,china,,uk
asia,germany,,usa
americas,uk,,germany
asia,india,,india
europe,japan,,china
asia,china,,belgium
americas,usa,,china
americas,brazil,,china
asia,usa,,brazil
americas,belgium,,china
americas,usa,,canada
europe,usa,,switzerland
americas,china,,china
americas,canada,,usa
americas,brazil,,usa
asia,china,,india
americas,china,,indonesia
americas,switzerland,,china
europe,china,,poland
asia,indonesia,,usa
asia,china,,mexico
asia,india,,usa
asia,poland,,china
europe,usa,,india
asia,mexico,,usa
americas,usa,,china
asia,china,,china
asia,india,,china
asia,usa,,china
asia,china,,usa
europe,uk,,china
asia,china,,uk
americas,china,,china
asia,china,,china
asia,japan,,japan
asia,china,,china
americas,usa,,china
europe,china,,china
asia,china,,usa
asia,south africa,,denmark
asia,china,,china
africa,china,,south africa
asia,japan,,australia
asia,denmark,,china
americas,usa,,japan
asia,china,,china
asia,china,,china
americas,china,,usa
asia,australia,,china
asia,japan,,japan
americas,usa,,usa
asia,china,,italy
oceania,china,,usa
asia,usa,,japan
asia,china,,usa
asia,japan,,china
americas,usa,,china
americas,italy,,usa
americas,usa,,usa
asia,china,,usa
asia,china,,usa
asia,japan,,austria
americas,usa,,china
europe,usa,,china
americas,usa,,japan
americas,usa,,hong kong
americas,china,,china
europe,china,,china
americas,austria,,switzerland
europe,china,,bermuda
asia,south korea,,south korea
asia,italy,,usa
europe,usa,,usa
asia,switzerland,,italy
asia,usa,,usa
americas,usa,,sweden
asia,hong kong,,china
europe,china,,uk
americas,bermuda,,uk
europe,taiwan,,china
asia,china,,taiwan
asia,uk,,china
americas,usa,,china
asia,sweden,,hong kong
asia,china,,usa
europe,uk,,indonesia
asia,china,,usa
americas,hong kong,,france
europe,china,,china
americas,china,,china
asia,china,,usa
asia,usa,,usa
asia,france,,usa
asia,usa,,india
asia,indonesia,,usa
americas,usa,,taiwan
asia,usa,,china
asia,india,,uk
asia,usa,,canada
americas,china,,china
europe,uk,,china
asia,taiwan,,china
americas,canada,,taiwan
asia,taiwan,,usa
americas,china,,greece
asia,china,,china
asia,greece,,usa
americas,china,,canada
asia,usa,,usa
americas,china,,india
americas,brazil,,singapore
asia,canada,,china
americas,china,,brazil
asia,usa,,hong kong
europe,hong kong,,india
asia,india,,hong kong
asia,usa,,china
asia,india,,china
americas,singapore,,sweden
asia,china,,switzerland
europe,spain,,spain
asia,australia,,china
americas,usa,,australia
oceania,hong kong,,brazil
europe,switzerland,,usa
americas,china,,usa
americas,brazil,,china
americas,sweden,,usa
americas,china,,usa
americas,china,,china
asia,usa,,usa
asia,usa,,usa
europe,usa,,usa
americas,usa,,usa
asia,usa,,usa
americas,usa,,usa
asia,usa,,austria
asia,usa,,usa
asia,china,,china
asia,usa,,china
americas,usa,,china
americas,china,,china
asia,china,,south korea
americas,china,,india
americas,china,,china
asia,south korea,,uk
americas,china,,usa
europe,austria,,poland
europe,india,,australia
americas,china,,china
oceania,australia,,australia
asia,usa,,usa
asia,poland,,germany
europe,uk,,india
asia,usa,,usa
asia,india,,denmark
asia,australia,,hong kong
americas,usa,,china
americas,germany,,japan
americas,hong kong,,usa
europe,denmark,,turkey
asia,usa,,usa
europe,usa,,usa
americas,usa,,usa
oceania,turkey,,usa
asia,china,,poland
asia,usa,,usa
europe,japan,,poland
asia,usa,,china
asia,poland,,qatar
americas,usa,,philippines
europe,saudi arabia,,usa
americas,china,,saudi arabia
asia,switzerland,,switzerland
americas,philippines,,qatar
asia,qatar,,usa
europe,usa,,japan
americas,qatar,,germany
europe,poland,,india
europe,usa,,spain
asia,china,,usa
americas,iceland,,china
europe,spain,,iceland
asia,usa,,china
americas,germany,,usa
asia,japan,,china
asia,china,,usa
americas,india,,china
asia,usa,,usa
americas,usa,,usa
asia,china,,south korea
americas,usa,,china
americas,china,,china
asia,usa,,usa
asia,china,,usa
asia,south korea,,usa
asia,usa,,hong kong
americas,uk,,canada
americas,usa,,china
americas,china,,usa
asia,hong kong,,china
asia,usa,,usa
americas,canada,,usa
europe,usa,,china
americas,china,,usa
americas,usa,,south africa
europe,usa,,usa
asia,china,,hong kong
africa,usa,,luxembourg
americas,china,,uk
europe,luxembourg,,china
asia,usa,,china
americas,south africa,,usa
asia,japan,,belgium
americas,belgium,,japan
asia,china,,usa
asia,usa,,uk
americas,china,,chile
americas,hong kong,,usa
americas,uk,,china
asia,china,,japan
europe,usa,,usa
asia,canada,,canada
asia,usa,,usa
americas,japan,,usa
americas,usa,,china
asia,uk,,china
asia,usa,,usa
asia,chile,,china
asia,usa,,taiwan
europe,hungary,,usa
americas,china,,china
americas,china,,hungary
americas,china,,india
europe,china,,china
americas,usa,,china
asia,usa,,brazil
americas,india,,usa
asia,china,,usa
americas,taiwan,,china
americas,brazil,,japan
asia,usa,,usa
asia,china,,hong kong
asia,usa,,spain
americas,japan,,japan
americas,usa,,switzerland
asia,china,,taiwan
americas,hong kong,,australia
asia,japan,,china
asia,spain,,china
oceania,australia,,brazil
europe,china,,usa
asia,taiwan,,bermuda
asia,usa,,usa
asia,china,,china
americas,brazil,,spain
asia,switzerland,,india
europe,china,,usa
americas,bermuda,,uk
asia,usa,,indonesia
europe,uk,,usa
americas,indonesia,,sweden
americas,usa,,usa
asia,sweden,,saudi arabia
europe,saudi arabia,,china
asia,india,,italy
americas,china,,ireland
oceania,usa,,norway
europe,usa,,china
asia,spain,,south korea
asia,china,,usa
europe,south korea,,usa
americas,italy,,usa
americas,australia,,usa
asia,usa,,australia
asia,usa,,japan
americas,usa,,taiwan
europe,norway,,china
europe,ireland,,china
americas,usa,,india
americas,china,,usa
asia,china,,qatar
asia,qatar,,india
asia,india,,australia
asia,japan,,denmark
europe,denmark,,uk
americas,australia,,hong kong
europe,india,,china
asia,usa,,usa
asia,taiwan,,usa
asia,china,,usa
asia,hong kong,,switzerland
americas,italy,,china
asia,usa,,usa
oceania,china,,italy
europe,switzerland,,china
europe,usa,,japan
asia,usa,,usa
asia,usa,,hong kong
asia,uk,,usa
americas,usa,,usa
europe,china,,usa
americas,china,,china
americas,japan,,france
americas,france,,china
asia,china,,china
asia,usa,,japan
asia,usa,,china
asia,usa,,south korea
europe,hong kong,,china
americas,usa,,switzerland
asia,switzerland,,usa
americas,china,,usa
americas,china,,china
americas,china,,japan
asia,china,,usa
americas,usa,,china
americas,japan,,usa
asia,south korea,,italy
americas,japan,,usa
americas,usa,,china
asia,usa,,usa
