,ceo,country,market_value_jan_2020,market_value_jan_2021,market_value_jan_2022,name,employees_2022,revenue_2022,sector
214,,germany,doll_26.75 m,doll_29.98 m,doll_21.98 m,continental ag,"236,386",doll_33.755 m,consumer cyclical
215,pavel sergeevich grachev,russia,doll_22.77 m,doll_27.86 m,doll_21.98 m,pjsc polyus,"20,000",doll_3.287 m,basic materials
216,sigve brekke,norway,doll_25.46 m,doll_23.67 m,doll_21.97 m,telenor asa,"18,000",doll_12.347 m,communication services
217,,uk,doll_12.97 m,doll_15.44 m,doll_21.95 m,segro,355,715 million usd,real estate
218,ignacio madridejos fernandez,spain,doll_22.22 m,doll_20.17 m,doll_21.93 m,ferrovial,"18,515",doll_7.469 m,industries
219,ester baiget,denmark,doll_13.8 m,doll_16.0 m,doll_21.91 m,novozymes a/s,"6,527",doll_2.213 m,healthcare
220,scott w. wine,uk,doll_15.32 m,doll_17.35 m,doll_21.87 m,cnh industrial,"64,016",doll_19.474 m,industries
221,gilles g. martin,luxembourg,doll_10.13 m,doll_15.94 m,doll_21.55 m,eurofins scientific se,"55,000",doll_7.402 m,healthcare
222,,spain,doll_10.16 m,doll_24.46 m,doll_21.29 m,edp renovaveis,"1,566",doll_1.936 m,utilities
223,stefan bomhard,uk,doll_23.87 m,doll_19.87 m,doll_21.14 m,imperial brands,"30,300",doll_42.923 m,consumer defensive
224,jussi pesonen,finland,doll_18.59 m,0,doll_20.97 m,upm-kymmene oyj,"17,512",doll_10.815 m,basic materials
225,paolo bertoluzzo,italy,doll_9.2 m,doll_12.49 m,doll_20.9 m,nexi,"1,996",doll_3.084 m,technology
226,thierry vanlancker,netherlands,doll_22.07 m,doll_20.39 m,doll_20.74 m,akzo nobel,"32,200",doll_10.565 m,basic materials
227,jean-christophe tellier,belgium,doll_15.04 m,doll_19.46 m,doll_20.61 m,ucb sa,"8,006",doll_6.366 m,healthcare
228,oliver hughes,russia,doll_4.85 m,doll_4.62 m,doll_20.61 m,tcs group holding,"528,748",0 million usd,financial services
229,joao manuel brito martins,portugal,doll_15.77 m,doll_24.77 m,doll_20.44 m,edp - energias de portugal,"12,236",doll_16.511 m,utilities
230,bill winters,uk,doll_30.74 m,doll_20.11 m,doll_20.38 m,standard chartered,"84,740",0 million usd,financial services
231,john elkann,netherlands,doll_18.07 m,doll_18.68 m,doll_20.37 m,exor,"268,979",doll_33.607 m,financial services
232,alfred stern,austria,doll_18.42 m,doll_13.14 m,doll_20.21 m,omv group,"25,391",doll_39.182 m,energy
233,daniel benes,czech republic,doll_12.05 m,doll_12.81 m,doll_20.16 m,cez a. s,"27,200",doll_9.595 m,utilities
234,bernhard spalt,austria,doll_15.61 m,doll_12.32 m,doll_19.93 m,erste group bank ag,"44,596",doll_7.597 m,financial services
235,patrick frost,switzerland,doll_15.92 m,doll_14.95 m,doll_19.92 m,swiss life holding ag,"9,823",doll_22.872 m,financial services
236,heinz-juergen bertram,germany,doll_13.64 m,doll_17.88 m,doll_19.8 m,symrise ag,"10,531",doll_4.215 m,basic materials
237,benjamin loh,netherlands,doll_5.6 m,doll_10.62 m,doll_19.79 m,asm international nv,"2,583",doll_1.905 m,technology
238,arkady volozh,russia,doll_14.49 m,doll_24.52 m,doll_19.59 m,yandex,"11,864",doll_3.206 m,communication services
239,marco alvera,italy,doll_17.35 m,doll_18.32 m,doll_19.23 m,snam,"3,388",doll_3.284 m,utilities
240,david schneider,germany,doll_12.79 m,doll_27.58 m,doll_19.1 m,zalando se,"14,194",doll_11.410 m,consumer cyclical
241,rice powell,germany,doll_22.2 m,doll_24.32 m,doll_18.81 m,fresenius medical care ag & co. kgaa,"125,364",doll_19.416 m,healthcare
242,remo ruffini,italy,doll_11.47 m,doll_15.43 m,doll_18.76 m,moncler,"4,561",doll_2.255 m,consumer cyclical
243,patrice caine,france,doll_22.33 m,doll_19.41 m,doll_18.76 m,thales,"80,702",doll_17.844 m,industries
244,fabien simon,netherlands,0,0,doll_18.58 m,jde peet's n.v.,"19,000",doll_7.715 m,consumer defensive
245,steve foots,uk,doll_8.74 m,doll_12.54 m,doll_18.58 m,croda international,"4,000",doll_2.473 m,basic materials
246,christian bruch,germany,0,doll_26.23 m,doll_18.49 m,siemens energy,"91,000",doll_31.387 m,engineering products
247,vladimir bogdanov,russia,doll_34.56 m,doll_17.6 m,doll_18.44 m,surgutneftegas,"116,000",doll_17.669 m,energy
248,mark read,uk,doll_17.6 m,doll_13.4 m,doll_18.27 m,wpp plc,"100,000",doll_16.757 m,communication services
249,vivek badrinath,germany,0,0,doll_18.16 m,vantage towers ag,327,doll_1.023 m,industries
250,josu jon imaz,spain,doll_23.06 m,doll_15.35 m,doll_18.16 m,repsol,"23,739",doll_54.819 m,energy
251,ivan arriagada,uk,doll_11.85 m,doll_19.42 m,doll_18.13 m,antofagasta,"23,248",doll_7.470 m,basic materials
252,aleksandr shevelev,russia,doll_12.84 m,doll_14.93 m,doll_17.53 m,pao severstal,"52,200",doll_6.870 m,basic materials
253,bjorn gulden,germany,doll_11.31 m,doll_16.98 m,doll_17.49 m,puma se,"14,374",doll_7.499 m,consumer cyclical
254,markus weber,germany,doll_11.39 m,doll_11.86 m,doll_17.3 m,carl zeiss meditec ag,"3,000",doll_1.814 m,healthcare
255,arthur sadoun,france,doll_10.82 m,doll_12.18 m,doll_17.22 m,publicis groupe,"79,051",doll_12.935 m,communication services
256,david knibbe,netherlands,doll_12.99 m,doll_14.07 m,doll_17.1 m,nn group,"15,417",doll_25.930 m,financial services
257,matteo del fante,italy,doll_14.85 m,doll_13.18 m,doll_17.08 m,poste italiane spa,"118,523",doll_31.629 m,industries
258,stephane dedeyan,france,doll_13.8 m,doll_11.01 m,doll_17.02 m,cnp assurances sa,"5,353",doll_48.298 m,financial services
259,grigory vitalevich fedorishin,russia,doll_14.07 m,doll_17.08 m,doll_16.92 m,novolipetsk steel,"52,800",doll_16.196 m,basic materials
260,klaus-dieter maubach,germany,doll_12.18 m,doll_12.58 m,doll_16.89 m,uniper se,"11,644",doll_180.700 m,utilities
261,rolv erik ryssdal,norway,doll_8.27 m,doll_11.35 m,doll_16.68 m,adevinta asa,"4,700",doll_1.139 m,communication services
262,ian gallienne,belgium,doll_16.52 m,doll_15.34 m,doll_16.68 m,groupe bruxelles lambert sa,"59,000",doll_8.495 m,financial services
263,aengus kelly,ireland,doll_8.2 m,doll_5.91 m,doll_16.58 m,aercap holdings,376,doll_4.587 m,industries
264,valerie baudson,france,doll_15.95 m,doll_16.38 m,doll_16.57 m,amundi,"4,700",doll_3.531 m,financial services
265,jack truong,ireland,doll_13.9 m,doll_16.98 m,doll_16.5 m,james hardie industries,"4,861",doll_3.613 m,basic materials
266,tom erixon,sweden,doll_11.12 m,doll_11.48 m,doll_16.5 m,alfa laval ab (publ),"17,883",doll_4.296 m,industries
267,hilde merete aasheim,norway,doll_7.53 m,doll_9.47 m,doll_16.45 m,norsk hydro asa,"34,240",doll_15.410 m,basic materials
268,morten hubbe,denmark,doll_8.9 m,doll_9.52 m,doll_16.44 m,tryg a/s,"4,000",doll_3.691 m,financial services
269,gilles grapinet,france,doll_13.16 m,doll_26.85 m,doll_16.38 m,worldline,"20,000",doll_3.688 m,technology
270,tim hauwermeiren,netherlands,doll_6.93 m,doll_14.02 m,doll_16.13 m,argenx se,336,497 million usd,healthcare
271,dr. jan michael mrosik,germany,doll_16.83 m,doll_21.8 m,doll_16.12 m,knorr-bremse,"29,000",doll_6.703 m,consumer cyclical
272,,france,doll_13.43 m,doll_13.95 m,doll_16.11 m,carrefour sa,"322,164",doll_81.863 m,consumer defensive
273,,france,doll_13.1 m,doll_12.07 m,doll_16.01 m,bollore,"79,207",doll_19.765 m,communication services
274,harold boel,belgium,doll_7.32 m,doll_11.38 m,doll_16.0 m,sofina societe anonyme,,doll_2.650 m,financial services
275,tim steiner,uk,doll_11.89 m,doll_23.41 m,doll_15.93 m,ocado group,"17,121",doll_3.270 m,consumer defensive
276,allison kirkby,sweden,doll_18.38 m,doll_16.8 m,doll_15.86 m,telia company ab (publ),"20,700",doll_9.276 m,communication services
277,roland diggelmann,uk,doll_21.05 m,doll_18.52 m,doll_15.69 m,smith & nephew,"17,500",doll_5.212 m,healthcare
278,jerre stead,uk,doll_5.22 m,doll_18.0 m,doll_15.69 m,clarivate plc,"8,300",doll_1.876 m,technology
279,stefano antonio donnarumma,italy,doll_13.4 m,doll_15.29 m,doll_15.65 m,terna s.p.a. ,"4,735",doll_2.462 m,utilities
280,carlo bertazzo,italy,doll_19.04 m,doll_14.66 m,doll_15.61 m,atlantia,"30,745",doll_7.043 m,industries
281,andrew williams,uk,doll_10.91 m,doll_12.67 m,doll_15.58 m,halma,"7,120",doll_1.796 m,industries
282,andreas nauen,spain,doll_11.97 m,doll_27.38 m,doll_15.52 m,siemens gamesa renewable energy,"24,500",doll_11.237 m,industries
283,robert kunze-concewitz,italy,doll_10.54 m,doll_12.79 m,doll_15.49 m,davide campari-milano,"4,000",doll_2.394 m,consumer defensive
284,christian kullmann,germany,doll_14.32 m,doll_15.14 m,doll_15.42 m,evonik industries ag,"33,004",doll_16.480 m,basic materials
285,carsten rasch egeriis,denmark,doll_14.29 m,doll_14.09 m,doll_15.41 m,danske bank a/s,"21,754",0 million usd,financial services
286,,russia,doll_20.54 m,doll_13.97 m,doll_15.31 m,transneft,"115,900",doll_15.816 m,energy
287,alexandre merieux,france,doll_10.57 m,doll_16.8 m,doll_15.28 m,biomerieux,"12,000",doll_3.720 m,healthcare
288,michael zahn,germany,doll_14.83 m,doll_18.29 m,doll_15.25 m,deutsche wohnen se,"1,339",doll_2.271 m,real estate
289,nicholas j. anderson,uk,doll_10.53 m,doll_11.79 m,doll_15.25 m,spirax-sarco engineering,85,doll_1.759 m,industries
290,miuccia prada,italy,doll_12.54 m,doll_16.9 m,doll_15.14 m,prada,"13,331",doll_3.708 m,consumer cyclical
291,annica bresky,finland,doll_12.36 m,doll_15.01 m,doll_15.06 m,stora enso oyj,"22,094",doll_11.201 m,basic materials
292,robert swaak,netherlands,doll_17.4 m,doll_9.18 m,doll_15.06 m,abn amro bank,"17,813",0 million usd,financial services
293,mike fries,uk,doll_14.02 m,doll_13.9 m,doll_15.02 m,liberty global,"11,200",doll_10.311 m,communication services
294,peter cowgill,uk,doll_10.57 m,doll_11.45 m,doll_15.0 m,jd sports fashion,"61,053",doll_10.086 m,consumer cyclical
295,evgenii nikitin,russia,doll_7.37 m,doll_7.33 m,doll_14.97 m,united company rusal,,doll_11.994 m,basic materials
296,sasndor csanyi,hungary,doll_14.82 m,doll_12.28 m,doll_14.75 m,otp bank nyrt,"38,626",0 million usd,financial services
297,philipp rickenbacher,switzerland,doll_11.25 m,doll_12.71 m,doll_14.73 m,julius bar gruppe ag,"6,606",0 million usd,financial services
298,,russia,doll_29.34 m,doll_29.59 m,doll_14.69 m,pjsc tatneft,"60,000",doll_11.843 m,energy
299,pedro manuel de castro soares dos santos,portugal,doll_10.5 m,doll_10.58 m,doll_14.68 m,jeronimo martins sgps,"123,458",doll_23.020 m,consumer defensive
300,anthony smurfit,ireland,doll_9.38 m,doll_12.11 m,doll_14.6 m,smurfit kappa group,"46,000",doll_11.138 m,consumer cyclical
301,iwona duda,poland,doll_10.98 m,doll_10.02 m,doll_14.48 m,pko bank polski en,"23,693",,financial services
302,warren east,uk,doll_17.25 m,doll_12.73 m,doll_14.46 m,rolls-royce holdings,"50,000",doll_14.684 m,industries
303,didier michaud-daniel,france,doll_11.82 m,doll_11.9 m,doll_14.43 m,bureau veritas sa,"78,395",doll_5.489 m,industries
304,bertrand camus,france,doll_9.47 m,doll_12.41 m,doll_14.42 m,suez sa,"86,195",doll_20.307 m,utilities
305,,monaco,doll_13.66 m,doll_12.16 m,doll_14.24 m,hal trust,"51,397",doll_7.311 m,financial services
306,arnaud de puyfontaine,france,doll_34.41 m,doll_35.07 m,doll_14.13 m,vivendi,"42,800",doll_10.548 m,communication services
307,rob smith,germany,doll_8.5 m,doll_11.36 m,doll_14.11 m,kion group ag,"39,602",doll_11.344 m,industries
308,simon wolfson,uk,doll_12.11 m,doll_12.88 m,doll_14.07 m,next plc,"25,491",doll_5.447 m,consumer cyclical
309,dominik von achten,germany,doll_14.6 m,doll_15.24 m,doll_14.04 m,heidelberg cement ag,"51,209",doll_18.713 m,basic materials
310,christian kohlpaintner,germany,doll_8.47 m,doll_11.92 m,doll_13.93 m,brenntag ag,"17,237",doll_15.849 m,basic materials
311,martin bouygues,france,doll_16.36 m,doll_15.6 m,doll_13.91 m,bouygues sa,"129,000",doll_41.423 m,industries
312,henri poupart-lafarge,france,doll_10.84 m,doll_16.91 m,doll_13.86 m,alstom sa,"75,000",doll_15.466 m,industries
313,bracken p. darrell,switzerland,doll_7.95 m,doll_16.64 m,doll_13.77 m,logitech international,"9,000",doll_5.691 m,technology
314,michael allison,switzerland,doll_5.05 m,doll_7.41 m,doll_13.76 m,vat group ag,,958 million usd,industries
315,andy ransom,uk,doll_10.98 m,doll_12.92 m,doll_13.74 m,rentokil initial,"44,500",doll_3.869 m,industries
316,helena stjernholm,sweden,doll_10.82 m,doll_14.26 m,doll_13.7 m,ab industrivarden (publ),15,doll_2.820 m,financial services
317,augustin de romanet,france,doll_19.58 m,doll_12.78 m,doll_13.57 m,aeroports de paris sa,"22,448",doll_3.060 m,industries
318,fredrik lundberg,sweden,doll_11.42 m,doll_13.22 m,doll_13.45 m,l e lundbergforetagen ab (publ),"3,287",doll_2.607 m,financial services
319,denis machuel,france,doll_17.26 m,doll_12.31 m,doll_13.31 m,sodexo,"412,088",doll_19.206 m,industries
320,paolo rocca,luxembourg,doll_13.63 m,doll_9.62 m,doll_13.23 m,tenaris,"19,399",doll_6.521 m,energy
321,jette nygaard-andersen,uk,0,doll_9.49 m,doll_13.23 m,entain plc,,doll_5.013 m,casinos
322,axel wachtmeister,sweden,doll_6.2 m,doll_8.67 m,doll_13.17 m,lifco ab (publ),"6,265",doll_1.835 m,industries
323,,uk,0,0,doll_13.13 m,wise plc,"2,243",658 million usd,digital payment solution services
324,,norway,doll_11.27 m,doll_10.86 m,doll_13.13 m,yara international asa,"16,818",doll_16.617 m,basic materials
325,,switzerland,doll_12.06 m,doll_13.19 m,doll_13.02 m,barry callebaut ag,"12,783",doll_7.661 m,consumer defensive
326,,netherlands,doll_12.76 m,doll_12.73 m,doll_13.01 m,kpn,"10,102",doll_5.792 m,communication services
327,,switzerland,doll_12.24 m,doll_11.84 m,doll_13.0 m,coca-cola hbc ag,"26,000",doll_7.899 m,consumer defensive
328,,germany,doll_13.72 m,doll_13.69 m,doll_12.9 m,traton se,"82,600",doll_30.611 m,industries
329,,sweden,doll_7.61 m,doll_12.21 m,doll_12.78 m,svenska cellulosa aktiebolaget sca (publ),"4,253",doll_1.976 m,basic materials
330,,netherlands,doll_11.26 m,doll_12.09 m,doll_12.76 m,randstad,"34,680",doll_27.148 m,industries
331,,sweden,doll_8.9 m,doll_12.32 m,doll_12.75 m,swedish match ab (publ),"6,735",doll_1.941 m,consumer defensive
332,,sweden,doll_8.77 m,doll_9.34 m,doll_12.74 m,fastighets ab balder (publ),784,940 million usd,real estate
333,,italy,doll_8.65 m,doll_11.36 m,doll_12.71 m,recordati industria chimica e farmaceutica,"4,362",doll_1.580 m,healthcare
334,,uk,doll_9.39 m,doll_11.26 m,doll_12.68 m,bunzl,"19,853",doll_13.463 m,consumer defensive
335,,germany,doll_8.78 m,doll_11.9 m,doll_12.62 m,covestro ag,"17,883",doll_17.525 m,basic materials
336,,uk,doll_14.23 m,doll_12.08 m,doll_12.61 m,schroders,"5,500",doll_3.873 m,financial services
337,,finland,doll_6.85 m,doll_10.22 m,doll_12.58 m,kesko oyj,"17,650",doll_12.453 m,consumer defensive
338,,uk,doll_12.54 m,doll_11.68 m,doll_12.58 m,intercontinental hotels group,"350,000",doll_2.907 m,consumer cyclical
339,,uk,doll_9.81 m,doll_12.58 m,doll_12.58 m,aveva group,"6,250",doll_1.396 m,technology
340,,uk,doll_8.89 m,doll_11.79 m,doll_12.55 m,admiral group,"11,445",doll_2.029 m,financial services
341,,uk,doll_11.29 m,doll_11.42 m,doll_12.46 m,mondi,"26,000",doll_8.511 m,basic materials
342,,belgium,doll_12.15 m,doll_12.32 m,doll_12.46 m,solvay sa,,doll_12.601 m,basic materials
343,,belgium,doll_11.85 m,doll_12.2 m,doll_12.46 m,umicore sa,,doll_26.508 m,industries
344,,germany,doll_12.58 m,doll_9.78 m,doll_12.44 m,talanx ag,"23,527",doll_43.116 m,financial services
345,,uk,doll_12.38 m,doll_12.46 m,doll_12.32 m,intertek group,"43,800",doll_3.647 m,industries
346,,germany,doll_8.01 m,doll_8.49 m,doll_12.31 m,nemetschek se,"3,300",681 million usd,technology
347,,uk,doll_8.25 m,doll_8.33 m,doll_12.26 m,st. james's place,"2,014",doll_23.498 m,financial services
348,,norway,doll_13.4 m,doll_11.45 m,doll_12.26 m,mowi asa,"11,684",doll_4.631 m,consumer defensive
349,,uk,doll_7.31 m,doll_9.4 m,doll_12.14 m,evraz,"69,619",doll_13.486 m,basic materials
350,,uk,doll_11.43 m,doll_12.07 m,doll_12.12 m,persimmon,"5,000",doll_4.725 m,consumer cyclical
351,,france,doll_12.62 m,doll_13.9 m,doll_12.1 m,edenred sa,"10,000",doll_1.793 m,financial services
352,,norway,doll_10.43 m,doll_11.09 m,doll_12.08 m,gjensidige forsikring asa,"3,700",doll_3.661 m,financial services
353,,denmark,doll_7.68 m,doll_9.51 m,doll_12.07 m,demant a/s,"15,000",doll_2.726 m,healthcare
354,,sweden,doll_9.72 m,doll_10.0 m,doll_11.91 m,ica gruppen ab (publ),"24,043",doll_15.154 m,consumer defensive
355,,denmark,doll_4.15 m,doll_11.14 m,doll_11.81 m,pandora a/s,"22,236",doll_3.462 m,consumer cyclical
356,,germany,doll_3.57 m,doll_13.44 m,doll_11.71 m,hellofresh se,"4,477",doll_6.604 m,consumer cyclical
357,,norway,doll_11.81 m,doll_8.96 m,doll_11.62 m,aker bp asa,"1,742",doll_5.639 m,energy
358,,sweden,doll_9.65 m,doll_11.76 m,doll_11.6 m,ab skf (publ),"42,602",doll_8.582 m,industries
359,,germany,doll_15.01 m,doll_13.78 m,doll_11.58 m,mtu aero engines ag,"10,313",doll_4.187 m,industries
360,,switzerland,doll_11.8 m,doll_9.74 m,doll_11.55 m,vifor pharma ag,"2,384",doll_1.865 m,healthcare
361,,germany,doll_7.68 m,doll_12.09 m,doll_11.46 m,qiagen,"5,610",doll_2.251 m,healthcare
362,,uk,doll_10.71 m,doll_8.72 m,doll_11.45 m,sage group,"11,785",doll_2.416 m,technology
363,,uk,0,0,doll_11.39 m,allfunds group plc,,doll_3.142 m,financial services
364,,russia,doll_9.52 m,doll_9.66 m,doll_11.36 m,alrosa,"32,475",doll_2.988 m,basic materials
365,,ireland,doll_11.58 m,doll_10.71 m,doll_11.36 m,allegion,"11,000",doll_2.867 m,industries
366,,netherlands,doll_4.61 m,doll_7.22 m,doll_11.33 m,imcd,"3,049",doll_3.785 m,basic materials
367,,netherlands,doll_1.39 m,doll_0.93 m,doll_11.32 m,eurocommercial properties,,237 million usd,real estate
368,,france,doll_14.13 m,doll_12.64 m,doll_11.29 m,renault sa,"179,565",doll_50.927 m,consumer cyclical
369,,france,doll_6.15 m,doll_9.32 m,doll_11.24 m,remy cointreau sa,"1,832",doll_1.312 m,consumer defensive
370,,germany,doll_8.34 m,doll_8.02 m,doll_11.19 m,commerzbank ag,"46,724",0 million usd,financial services
371,,netherlands,doll_9.27 m,doll_8.07 m,doll_11.15 m,aegon,"22,322",doll_46.124 m,financial services
372,,italy,doll_6.43 m,doll_9.3 m,doll_11.13 m,amplifon spa,"11,265",doll_2.147 m,healthcare
373,,uk,doll_14.48 m,doll_11.28 m,doll_11.09 m,informa plc,"11,000",doll_2.354 m,communication services
374,,germany,doll_9.25 m,doll_10.54 m,doll_11.07 m,rational ag,"2,216",779 million usd,industries
375,,spain,doll_21.15 m,doll_17.42 m,doll_11.02 m,grifols,"23,668",doll_5.436 m,healthcare
376,,sweden,doll_2.43 m,doll_5.26 m,doll_11.01 m,samhallsbyggnadsbolaget i norden ab (publ),,623 million usd,real estate
377,,spain,doll_10.94 m,doll_11.01 m,doll_10.99 m,red electrica corporacion,"2,051",doll_2.151 m,utilities
378,,sweden,doll_4.5 m,doll_7.75 m,doll_10.98 m,indutrade ab (publ),"7,000",doll_2.280 m,industries
379,,italy,doll_5.84 m,doll_11.61 m,doll_10.96 m,infrastrutture wireless italiane,,865 million usd,communication services
380,,france,doll_8.07 m,doll_8.73 m,doll_10.94 m,arkema,"19,794",doll_10.490 m,basic materials
381,,uk,doll_3.42 m,doll_21.69 m,doll_10.91 m,farfetch,"5,441",doll_2.256 m,consumer cyclical
382,,uk,doll_16.83 m,doll_10.85 m,doll_10.86 m,international consolidated airlines group,"64,734",doll_9.312 m,industries
383,,sweden,doll_5.63 m,doll_6.33 m,doll_10.83 m,getinge ab,"10,818",doll_2.840 m,healthcare
384,,italy,doll_13.13 m,doll_10.08 m,doll_10.82 m,telecom italia,"52,347",doll_15.311 m,communication services
385,,sweden,doll_2.55 m,doll_10.06 m,doll_10.81 m,embracer group ab (publ),"5,500",doll_1.606 m,communication services
386,,italy,doll_7.45 m,doll_9.93 m,doll_10.81 m,finecobank banca fineco,"1,225",0 million usd,financial services
387,,netherlands,doll_7.95 m,doll_16.73 m,doll_10.71 m,just eat takeaway.com,"5,423",doll_4.953 m,retail
388,,germany,doll_10.11 m,doll_10.51 m,doll_10.66 m,kabel deutschland holding ag,"4,081",doll_2.630 m,communication services
389,,sweden,doll_10.23 m,doll_10.45 m,doll_10.6 m,skanska ab (publ),"31,517",doll_15.106 m,industries
390,,belgium,doll_11.24 m,doll_9.92 m,doll_10.56 m,ageas sa/nv,"10,045",doll_13.033 m,financial services
391,,sweden,doll_9.85 m,doll_7.65 m,doll_10.56 m,lundin energy ab (publ),,0 million usd,energy
392,,russia,doll_7.5 m,doll_8.5 m,doll_10.49 m,magnitogorsk iron & steel works (mmk),"17,887",doll_11.869 m,basic materials
393,,denmark,doll_10.51 m,doll_13.54 m,doll_10.44 m,chr. hansen holding a/s,"3,700",doll_1.187 m,basic materials
394,,sweden,doll_5.27 m,doll_6.99 m,doll_10.39 m,ab sagax (publ),77,326 million usd,real estate
395,,france,doll_22.19 m,doll_10.89 m,doll_10.39 m,unibail-rodamco-westfield,"3,495",doll_2.776 m,real estate
396,,netherlands,doll_5.8 m,doll_7.66 m,doll_10.38 m,euronext,"1,400",doll_1.430 m,financial services
397,,uk,doll_10.01 m,doll_9.3 m,doll_10.25 m,barratt developments,"6,655",doll_5.667 m,consumer cyclical
398,,spain,doll_5.69 m,doll_7.75 m,doll_10.24 m,acciona,"38,967",doll_8.931 m,industries
399,,switzerland,0,0,doll_10.21 m,on holding ag,883,768 million usd,
400,,france,doll_13.21 m,doll_11.31 m,doll_10.2 m,gecina sa,504,676 million usd,real estate
401,,italy,doll_9.74 m,doll_7.9 m,doll_10.18 m,mediobanca banca di credito finanziario,,doll_2.584 m,financial services
402,,belgium,doll_3.78 m,doll_4.4 m,doll_10.15 m,d'ieteren sa,,doll_3.703 m,consumer cyclical
403,,germany,doll_8.21 m,doll_11.16 m,doll_10.14 m,leg immobilien ag,"1,400",doll_1.058 m,real estate
404,,sweden,doll_10.77 m,doll_9.05 m,doll_10.06 m,tele2 ab (publ),"9,000",doll_2.813 m,communication services
405,,austria,doll_8.48 m,doll_6.67 m,doll_10.04 m,raiffeisen bank international ag,,0 million usd,financial services
406,,uk,doll_15.33 m,doll_11.83 m,doll_10.03 m,melrose industries,"55,621",doll_9.010 m,industries
407,,norway,doll_4.76 m,doll_7.18 m,doll_9.99 m,tomra systems asa,"4,530",doll_1.222 m,industries
408,,uk,doll_8.67 m,doll_8.3 m,doll_9.97 m,sensata technologies holding,"19,200",doll_3.820 m,technology
409,,uk,doll_8.88 m,doll_8.32 m,doll_9.91 m,united utilities group,"5,354",doll_2.193 m,utilities
410,,uk,doll_8.05 m,doll_7.48 m,doll_9.91 m,severn trent,"6,800",doll_2.289 m,utilities
411,,italy,doll_6.39 m,doll_9.32 m,doll_9.9 m,prysmian,"28,000",doll_14.035 m,industries
412,,france,doll_11.26 m,doll_9.53 m,doll_9.9 m,eiffage sa,"72,500",doll_21.155 m,industries
413,,russia,doll_5.08 m,doll_5.47 m,doll_9.86 m,pjsc phosagro,,doll_3.784 m,basic materials
414,,uk,doll_6.31 m,doll_7.8 m,doll_9.86 m,kingfisher,"78,000",doll_15.527 m,consumer cyclical
415,,sweden,doll_7.33 m,doll_5.95 m,doll_9.85 m,ssab ab (publ),"14,500",doll_10.069 m,basic materials
416,,finland,doll_8.83 m,doll_8.75 m,doll_9.81 m,elisa oyj,,doll_2.201 m,communication services
417,,russia,doll_4.14 m,doll_5.27 m,doll_9.78 m,pik group,,doll_8.016 m,real estate
418,,france,doll_11.05 m,doll_9.08 m,doll_9.76 m,dassault aviation sa,"12,757",doll_7.985 m,industries
419,,luxembourg,0,0,doll_9.75 m,allegro.eu sa,,doll_1.258 m,consumer cyclical
420,,uk,doll_11.87 m,doll_9.9 m,doll_9.75 m,burberry group,"9,892",doll_3.329 m,consumer cyclical
421,,norway,doll_10.46 m,doll_10.09 m,doll_9.74 m,orkla asa,"18,110",doll_5.649 m,consumer defensive
422,,finland,0,0,doll_9.7 m,metso outotec oyj,,doll_4.668 m,industries
423,,switzerland,doll_11.43 m,doll_10.19 m,doll_9.64 m,temenos ag,"7,500",967 million usd,technology
424,,italy,doll_7.12 m,doll_11.35 m,doll_9.62 m,diasorin,"2,024",doll_1.237 m,healthcare
425,,germany,doll_9.05 m,doll_7.56 m,doll_9.6 m,deutsche lufthansa ag,"138,353",doll_18.526 m,industries
426,,luxembourg,doll_4.81 m,doll_7.09 m,doll_9.57 m,ternium,"20,173",doll_16.090 m,basic materials
427,,germany,doll_6.1 m,doll_6.44 m,doll_9.5 m,gea group,"18,232",doll_5.182 m,industries
428,,sweden,doll_7.38 m,doll_14.02 m,doll_9.33 m,kinnevik ab,40,177 million usd,financial services
429,,sweden,doll_7.63 m,doll_8.04 m,doll_9.24 m,autoliv,"61,000",doll_8.230 m,consumer cyclical
430,,poland,doll_8.37 m,doll_5.12 m,doll_9.22 m,santander bank polska,,0 million usd,financial services
431,,uk,doll_7.05 m,doll_7.87 m,doll_9.21 m,auto trader group,909,509 million usd,ecommerce
432,,france,doll_12.67 m,doll_9.42 m,doll_9.11 m,accor sa,"260,000",doll_2.429 m,consumer cyclical
433,,uk,doll_7.08 m,doll_9.57 m,doll_9.1 m,phoenix group holdings,"5,752",doll_32.010 m,financial services
434,,switzerland,doll_2.17 m,doll_6.19 m,doll_9.01 m,bachem holding ag,,522 million usd,basic materials
435,,poland,doll_5.91 m,doll_8.46 m,doll_9.0 m,polskie gornictwo naftowe i gazownictwo,"24,608",doll_14.692 m,energy
436,,sweden,doll_6.69 m,doll_7.0 m,doll_8.93 m,castellum ab (publ),,667 million usd,real estate
437,,switzerland,doll_5.1 m,doll_7.36 m,doll_8.86 m,sig combibloc group ag,,doll_2.271 m,consumer cyclical
438,,uk,doll_12.01 m,doll_9.89 m,doll_8.84 m,hargreaves lansdown,"1,610",687 million usd,financial services
439,,sweden,doll_4.92 m,doll_7.38 m,doll_8.83 m,husqvarna ab (publ),,doll_4.941 m,industries
440,,poland,0,0,doll_8.82 m,dino polska s.a.,,doll_3.140 m,consumer defensive
441,,portugal,doll_13.91 m,doll_8.84 m,doll_8.81 m,galp energia sgps,"6,114",doll_18.119 m,energy
442,,uk,doll_7.42 m,doll_7.77 m,doll_8.8 m,rightmove,650,398 million usd,communication services
