02-GioPonSpiz-country,07-silvestri-country,08-slytherin-country,00-avengers-headquarters_country,03-gren-headquarters_country,04-iGMM-headquarters_country
usa,france,usa,usa,usa,usa
usa,switzerland,taiwan,taiwan,usa,usa
saudi arabia,switzerland,usa,usa,saudi arabia,saudi arabia
usa,netherlands,usa,usa,usa,usa
usa,netherlands,usa,usa,usa,usa
usa,france,saudi arabia,usa,usa,usa
usa,ireland,usa,usa,usa,usa
usa,denmark,usa,usa,usa,usa
usa,switzerland,usa,saudi arabia,usa,usa
taiwan,netherlands,usa,usa,taiwan,taiwan
japan,uk,south korea,usa,china,china
usa,france,usa,usa,usa,usa
usa,uk,usa,france,usa,usa
usa,germany,france,usa,usa,usa
netherlands,france,usa,usa,south korea,south korea
china,ireland,usa,south korea,usa,usa
france,germany,usa,usa,usa,usa
usa,france,usa,usa,france,france
usa,netherlands,usa,usa,usa,usa
usa,germany,china,china,usa,usa
china,uk,usa,usa,usa,usa
usa,france,usa,usa,china,china
usa,uk,china,usa,switzerland,switzerland
usa,uk,china,netherlands,usa,usa
south korea,uk,switzerland,usa,switzerland,switzerland
usa,belgium,netherlands,china,china,china
usa,russia,switzerland,switzerland,usa,usa
france,france,usa,usa,netherlands,netherlands
usa,netherlands,usa,switzerland,usa,usa
usa,germany,usa,china,usa,usa
usa,germany,usa,usa,japan,japan
china,france,france,usa,usa,usa
switzerland,spain,usa,usa,usa,usa
usa,uk,usa,france,usa,usa
switzerland,germany,netherlands,china,netherlands,netherlands
china,france,china,netherlands,china,china
usa,norway,usa,usa,france,france
netherlands,uk,usa,usa,usa,usa
usa,germany,japan,usa,usa,usa
usa,france,usa,japan,usa,usa
usa,switzerland,usa,usa,usa,usa
switzerland,switzerland,usa,ireland,usa,usa
china,switzerland,usa,usa,usa,usa
usa,france,usa,usa,usa,usa
china,russia,india,usa,india,india
india,germany,usa,india,usa,usa
usa,italy,ireland,usa,usa,usa
usa,germany,usa,usa,usa,usa
usa,sweden,usa,usa,ireland,ireland
china,sweden,usa,usa,usa,usa
netherlands,switzerland,denmark,denmark,denmark,denmark
uk,russia,usa,usa,usa,usa
usa,netherlands,usa,usa,usa,usa
france,france,usa,usa,usa,usa
uk,spain,usa,usa,india,india
usa,france,india,usa,usa,usa
usa,switzerland,usa,india,usa,usa
usa,germany,usa,usa,usa,usa
usa,russia,usa,usa,usa,usa
australia,germany,usa,usa,usa,usa
usa,denmark,china,china,usa,usa
usa,switzerland,china,usa,switzerland,switzerland
usa,ireland,usa,usa,china,china
usa,switzerland,switzerland,usa,usa,usa
india,netherlands,usa,india,china,china
usa,italy,china,china,india,india
usa,uk,usa,usa,usa,usa
usa,spain,india,china,usa,usa
ireland,sweden,usa,switzerland,usa,usa
usa,france,usa,usa,china,china
germany,france,australia,usa,netherlands,netherlands
canada,uk,usa,uk,uk,uk
china,germany,uk,netherlands,usa,usa
france,russia,uk,australia,france,france
china,netherlands,france,usa,uk ireland,uk
usa,uk,usa,usa,usa,usa
china,switzerland,netherlands,usa,usa,usa
canada,netherlands,usa,usa,usa,usa
usa,germany,usa,"['uk', 'ireland']",usa,usa
japan,austria,usa,france,australia,australia
usa,switzerland,china,usa,germany,germany
china,russia,japan,china,china,china
usa,germany,usa,usa,usa,usa
canada,germany,usa,japan,china,china
japan,france,china,usa,canada,canada
ireland,italy,canada,canada,usa,usa
usa,uk,usa,china,japan,japan
germany,denmark,china,usa,usa,usa
france,uk,germany,china,china,china
usa,switzerland,usa,germany,usa,usa
denmark,italy,canada,usa,canada,canada
usa,germany,japan,france,china,china
usa,uk,china,germany,france,france
usa,uk,france,usa,canada,canada
india,finland,france,ireland,japan,japan
usa,uk,usa,japan,ireland,ireland
usa,sweden,usa,canada,usa,usa
usa,uk,ireland,france,germany,germany
usa,uk,canada,china,france,france
usa,uk,germany,canada,usa,usa
netherlands,russia,china,"['netherlands', 'uk']",netherlands uk,netherlands
usa,denmark,germany,uk,usa,usa
china,france,usa,usa,china,china
usa,switzerland,uk,germany,usa,usa
germany,ireland,germany,usa,germany,germany
usa,switzerland,usa,usa,usa,usa
usa,ireland,netherlands,germany,usa,usa
germany,germany,usa,usa,germany,germany
usa,uk,usa,china,usa,usa
uk,sweden,usa,usa,uk,uk
usa,ireland,usa,usa,usa,usa
china,germany,china,france,china,china
usa,spain,usa,usa,usa,usa
china,uk,usa,usa,china,china
usa,ireland,france,usa,usa,usa
usa,switzerland,china,usa,usa,usa
usa,sweden,usa,china,usa,usa
usa,switzerland,usa,usa,usa,usa
france,switzerland,usa,china,france,france
usa,finland,usa,usa,usa,usa
australia,france,australia,india,australia,australia
hong kong,germany,uk,usa,hong kong,hong kong
uk,france,hong kong,usa,uk,uk
usa,uk,india,uk,usa,usa
usa,switzerland,usa,usa,usa,usa
usa,belgium,usa,usa,usa,usa
uk,uk,usa,usa,uk,uk
usa,sweden,usa,uk,usa,usa
usa,netherlands,uk,hong kong,usa,usa
india,france,usa,australia,india,india
usa,finland,belgium,usa,usa,usa
usa,uk,usa,russia,usa,usa
usa,norway,china,usa,usa,usa
usa,france,usa,belgium,usa,usa
uk,germany,russia,china,uk,uk
china,italy,usa,uk,china,china
belgium,finland,uk,usa,belgium,belgium
usa,sweden,usa,usa,usa,usa
russia,netherlands,usa,usa,russia,russia
usa,germany,usa,usa,usa,usa
france,denmark,usa,usa,france,france
usa,spain,usa,netherlands,usa,usa
usa,sweden,france,usa,usa,usa
usa,netherlands,usa,usa,usa,usa
china,italy,netherlands,usa,china,china
usa,netherlands,usa,china,usa,usa
usa,germany,usa,usa,usa,usa
usa,switzerland,usa,usa,usa,usa
netherlands,sweden,usa,usa,netherlands,netherlands
usa,spain,china,france,usa,usa
china,luxembourg,germany,usa,china,china
singapore,switzerland,singapore,france,singapore,singapore
usa,germany,china,japan,usa,usa
germany,france,japan,japan,germany,germany
india,spain,japan,germany,india,india
germany,france,germany,india,germany,germany
japan,france,usa,germany,japan,japan
japan,switzerland,france,usa,japan,japan
france,sweden,usa,singapore,france,france
usa,germany,india,china,usa,usa
usa,uk,spain,usa,usa,usa
usa,sweden,australia,germany,usa,usa
usa,switzerland,germany,saudi arabia,usa,usa
usa,germany,usa,australia,usa,usa
spain,sweden,saudi arabia,uk,spain,spain
usa,switzerland,usa,usa,usa,usa
uk,uk,usa,spain,uk,uk
australia,switzerland,usa,usa,australia,australia
saudi arabia,netherlands,uk,usa,saudi arabia,saudi arabia
germany,france,usa,usa,germany,germany
usa,denmark,usa,uk,usa,usa
saudi arabia,switzerland,uk,germany,saudi arabia,saudi arabia
usa,sweden,china,usa,usa,usa
usa,finland,germany,usa,usa,usa
china,ireland,usa,germany,china,china
germany,germany,usa,china,germany,germany
usa,ireland,saudi arabia,usa,usa,usa
usa,netherlands,usa,usa,usa,usa
germany,germany,usa,saudi arabia,germany,germany
uk,uk,germany,usa,uk,uk
france,ireland,france,usa,france,france
usa,finland,usa,germany,usa,usa
usa,france,japan,uk,usa,usa
usa,switzerland,canada,norway,usa,usa
japan,france,usa,canada,japan,japan
canada,spain,usa,japan,canada,canada
norway,ireland,norway,usa,norway,norway
uk,uk,usa,usa,uk,uk
germany,spain,uk,usa,germany,germany
usa,denmark,germany,france,usa,usa
france,switzerland,france,usa,france,france
usa,germany,canada,usa,usa,usa
usa,switzerland,switzerland,canada,usa,usa
canada,ireland,usa,japan,canada,canada
japan,sweden,usa,canada,japan,japan
canada,spain,usa,usa,canada,canada
usa,uk,canada,usa,usa,usa
usa,uk,usa,france,usa,usa
switzerland,denmark,japan,switzerland,switzerland,switzerland
switzerland,germany,switzerland,switzerland,switzerland,switzerland
china,uk,uk,ireland,china,china
usa,uk,france,usa,usa,usa
uk,ireland,china,usa,uk,uk
switzerland,spain,switzerland,russia,switzerland,switzerland
france,germany,usa,usa,france,france
usa,germany,ireland,france,usa,usa
russia,switzerland,usa,switzerland,russia,russia
usa,sweden,usa,uk,usa,usa
usa,sweden,russia,usa,usa,usa
ireland,ireland,usa,china,ireland,ireland
usa,ireland,usa,india,usa,usa
usa,uk,usa,saudi arabia,usa,usa
canada,sweden,saudi arabia,usa,canada,canada
japan,uk,india,usa,japan,japan
germany,germany,germany,usa,germany,germany
usa,russia,usa,germany,usa,usa
usa,norway,usa,japan,usa,usa
usa,uk,japan,canada,usa,usa
saudi arabia,spain,canada,usa,saudi arabia,saudi arabia
india,denmark,usa,usa,india,india
italy,uk,germany,sweden,italy,italy
china,luxembourg,japan,china,china,china
china,spain,china,sweden,china,china
japan,uk,sweden,usa,japan,japan
germany,finland,india,india,germany,germany
india,italy,sweden,germany,india,india
usa,netherlands,china,japan,usa,usa
sweden,belgium,usa,china,sweden,sweden
china,russia,china,china,china,china
sweden,portugal,italy,italy,sweden,sweden
usa,uk,india,usa,usa,usa
usa,netherlands,australia,india,usa,usa
australia,austria,usa,usa,australia,australia
usa,czech republic,switzerland,australia,usa,usa
india,austria,usa,usa,india,india
usa,switzerland,usa,usa,usa,usa
switzerland,germany,russia,usa,switzerland,switzerland
russia,netherlands,usa,netherlands,russia,russia
netherlands,russia,usa,russia,netherlands,netherlands
usa,italy,netherlands,switzerland,usa,usa
france,germany,canada,china,france,france
canada,germany,france,usa,canada,canada
india,italy,hong kong,usa,india,india
hong kong,france,usa,usa,hong kong,hong kong
china,netherlands,south korea,south korea,china,china
south korea,uk,china,china,south korea,south korea
usa,germany,usa,hong kong,usa,usa
usa,russia,china,india,usa,usa
usa,uk,usa,canada,usa,usa
china,germany,india,france,china,china
spain,spain,spain,canada,spain,spain
usa,uk,france,germany,usa,usa
brazil,russia,switzerland,switzerland,brazil,brazil
usa,germany,brazil,usa,usa,usa
japan,germany,usa,france,japan,japan
france,france,japan,japan,france,france
usa,netherlands,usa,usa,usa,usa
switzerland,italy,canada,brazil,switzerland,switzerland
germany,france,germany,usa,germany,germany
canada,russia,usa,spain,canada,canada
uk,germany,uk,germany,uk,uk
bermuda,norway,china,australia,bermuda,bermuda
china,belgium,usa,usa,china,china
usa,ireland,russia,usa,usa,usa
usa,france,germany,russia,usa,usa
russia,ireland,usa,usa,russia,russia
usa,sweden,usa,usa,usa,usa
usa,norway,australia,china,usa,usa
australia,denmark,usa,bermuda,australia,australia
germany,france,bermuda,uk,germany,germany
denmark,netherlands,denmark,china,denmark,denmark
brazil,germany,japan,ireland,brazil,brazil
germany,france,germany,china,germany,germany
japan,france,usa,usa,japan,japan
china,belgium,switzerland,switzerland,china,china
switzerland,uk,china,china,switzerland,switzerland
usa,sweden,china,japan,usa,usa
china,uk,ireland,germany,china,china
ireland,uk,brazil,brazil,ireland,ireland
china,italy,china,denmark,china,china
japan,italy,mexico,japan,japan,japan
switzerland,uk,china,usa,switzerland,switzerland
usa,spain,japan,usa,usa,usa
china,italy,usa,usa,china,china
mexico,germany,japan,indonesia,mexico,mexico
indonesia,denmark,switzerland,mexico,indonesia,indonesia
usa,russia,usa,china,usa,usa
usa,france,indonesia,usa,usa,usa
usa,germany,usa,switzerland,usa,usa
japan,uk,usa,japan,japan,japan
japan,italy,usa,china,japan,japan
usa,finland,singapore,usa,usa,usa
singapore,netherlands,china,netherlands,singapore,singapore
usa,uk,usa,usa,usa,usa
china,uk,usa,usa,china,china
usa,russia,usa,china,usa,usa
usa,hungary,japan,usa,usa,usa
netherlands,switzerland,usa,singapore,netherlands,netherlands
usa,russia,china,usa,usa,usa
china,portugal,netherlands,japan,china,china
taiwan,ireland,usa,usa,taiwan,taiwan
usa,poland,china,india,usa,usa
usa,uk,india,usa,usa,usa
italy,france,usa,china,italy,italy
mexico,france,usa,usa,mexico,mexico
usa,monaco,mexico,mexico,usa,usa
china,france,italy,italy,china,china
usa,germany,taiwan,usa,usa,usa
india,uk,usa,usa,india,india
usa,germany,usa,taiwan,usa,usa
uk,germany,india,saudi arabia,uk,uk
india,france,uk,usa,india,india
usa,france,spain,france,usa,usa
spain,switzerland,france,france,spain,spain
usa,switzerland,france,sweden,usa,usa
sweden,uk,saudi arabia,usa,sweden,sweden
france,sweden,sweden,spain,france,france
france,france,usa,usa,france,france
usa,sweden,usa,india,usa,usa
saudi arabia,france,usa,uk,saudi arabia,saudi arabia
uk,luxembourg,china,uk,uk,uk
germany,uk,india,china,germany,germany
russia,sweden,uk,uk,russia,russia
japan,uk,usa,india,japan,japan
usa,norway,japan,netherlands,usa,usa
australia,switzerland,australia,australia,australia,australia
netherlands,netherlands,netherlands,usa,netherlands,netherlands
india,switzerland,germany,japan,india,india
uk,germany,uk,russia,uk,uk
china,sweden,russia,germany,china,china
australia,netherlands,usa,australia,australia,australia
usa,sweden,china,usa,usa,usa
usa,sweden,switzerland,usa,usa,usa
switzerland,italy,usa,australia,switzerland,switzerland
australia,uk,usa,china,australia,australia
usa,germany,australia,usa,usa,usa
china,uk,usa,australia,china,china
australia,finland,australia,switzerland,australia,australia
usa,uk,australia,usa,usa,usa
usa,uk,usa,usa,usa,usa
usa,uk,china,austria,usa,usa
china,uk,germany,canada,china,china
netherlands,belgium,china,china,netherlands,netherlands
japan,belgium,netherlands,usa,japan,japan
germany,germany,japan,canada,germany,germany
canada,uk,usa,germany,canada,canada
usa,germany,canada,japan,usa,usa
china,uk,usa,netherlands,china,china
canada,norway,canada,china,canada,canada
austria,uk,austria,usa,austria,austria
switzerland,uk,russia,argentina,switzerland,switzerland
usa,france,switzerland,china,usa,usa
russia,norway,uae,germany,russia,russia
usa,denmark,canada,canada,usa,usa
uae,sweden,germany,usa,uae,uae
usa,denmark,china,uae,usa,usa
canada,germany,argentina,usa,canada,canada
germany,norway,usa,russia,germany,germany
china,sweden,usa,usa,china,china
argentina,germany,usa,switzerland,argentina,argentina
japan,switzerland,italy,japan,japan,japan
germany,germany,india,uk,germany,germany
france,uk,china,japan,france,france
china,uk,germany,china,china,china
usa,russia,china,italy,usa,usa
india,ireland,france,india,india,india
italy,netherlands,japan,usa,italy,italy
china,netherlands,japan,china,china,china
japan,france,uk,france,japan,japan
uk,france,usa,germany,uk,uk
taiwan,germany,china,taiwan,taiwan,taiwan
china,netherlands,china,uk,china,china
japan,italy,taiwan,china,japan,japan
usa,uk,japan,denmark,usa,usa
usa,germany,china,usa,usa,usa
china,spain,usa,china,china,china
usa,sweden,uk,usa,usa,usa
denmark,spain,denmark,usa,denmark,denmark
china,sweden,usa,japan,china,china
uk,italy,usa,china,uk,uk
usa,france,india,qatar,usa,usa
switzerland,uk,germany,japan,switzerland,switzerland
italy,uk,usa,germany,italy,italy
china,sweden,china,usa,china,china
india,italy,qatar,usa,india,india
usa,sweden,italy,india,usa,usa
usa,italy,switzerland,china,usa,usa
germany,netherlands,japan,italy,germany,germany
japan,germany,usa,switzerland,japan,japan
qatar,sweden,usa,usa,qatar,qatar
usa,belgium,china,usa,usa,usa
usa,sweden,china,china,usa,usa
china,russia,japan,usa,china,china
china,denmark,japan,japan,china,china
uk,sweden,china,japan,uk,uk
japan,france,usa,uk,japan,japan
japan,netherlands,usa,china,japan,japan
usa,uk,uk,china,usa,usa
china,spain,usa,usa,china,china
usa,switzerland,usa,usa,usa,usa
japan,france,uk,japan,japan,japan
india,italy,uae,finland,india,india
usa,belgium,india,mexico,usa,usa
uk,germany,japan,uae,uk,uk
china,sweden,usa,usa,china,china
usa,austria,mexico,usa,usa,usa
usa,uk,finland,china,usa,usa
uae,norway,china,uk,uae,uae
mexico,uk,usa,usa,mexico,mexico
finland,uk,usa,india,finland,finland
uk,uk,china,usa,uk,uk
japan,italy,usa,usa,japan,japan
china,france,japan,china,china,china
usa,russia,china,usa,usa,usa
usa,uk,uk,usa,usa,usa
usa,sweden,usa,usa,usa,usa
usa,finland,usa,usa,usa,usa
china,russia,usa,china,china,china
usa,france,usa,japan,usa,usa
usa,luxembourg,usa,uk,usa,usa
usa,uk,australia,usa,usa,usa
sweden,norway,germany,usa,sweden,sweden
usa,finland,sweden,canada,usa,usa
japan,switzerland,canada,uk,japan,japan
canada,italy,usa,australia,canada,canada
germany,germany,japan,germany,germany,germany
australia,luxembourg,uk,canada,australia,australia
uk,germany,canada,japan,uk,uk
canada,sweden,usa,usa,canada,canada
usa,sweden,usa,sweden,usa,usa
uk,poland,india,india,uk,uk
russia,uk,china,russia,russia,russia
india,france,russia,uk,india,india
denmark,uk,uk,usa,denmark,denmark
usa,switzerland,usa,usa,usa,usa
usa,poland,denmark,south korea,usa,usa
china,sweden,usa,china,china,china
south korea,switzerland,south korea,usa,south korea,south korea
usa,uk,usa,usa,usa,usa
usa,sweden,usa,denmark,usa,usa
china,poland,usa,usa,china,china
france,portugal,usa,usa,france,france
usa,uk,switzerland,canada,usa,usa
switzerland,france,france,india,switzerland,switzerland
usa,sweden,china,usa,usa,usa
usa,uk,usa,usa,usa,usa
india,belgium,india,switzerland,india,india
canada,uk,usa,usa,canada,canada
usa,france,usa,france,usa,usa
usa,greece,canada,china,usa,usa
usa,luxembourg,usa,switzerland,usa,usa
japan,finland,usa,usa,japan,japan
ireland,czech republic,usa,south korea,ireland,ireland
usa,uk,usa,usa,usa,usa
usa,italy,switzerland,usa,usa,usa
usa,germany,usa,usa,usa,usa
usa,belgium,ireland,usa,usa,usa
south korea,germany,south korea,ireland,south korea,south korea
usa,switzerland,japan,japan,usa,usa
switzerland,france,usa,usa,switzerland,switzerland
usa,russia,usa,usa,usa,usa
usa,germany,australia,usa,usa,usa
australia,ireland,usa,usa,australia,australia
usa,luxembourg,usa,usa,usa,usa
usa,uk,usa,usa,usa,usa
ireland,netherlands,usa,usa,ireland,ireland
usa,uk,ireland,ireland,usa,usa
usa,ireland,usa,usa,usa,usa
usa,poland,usa,usa,usa,usa
usa,czech republic,usa,australia,usa,usa
bermuda,netherlands,indonesia,usa,bermuda,bermuda
usa,hong kong,usa,usa,usa,usa
south korea,denmark,bermuda,usa,south korea,south korea
usa,norway,usa,usa,usa,usa
indonesia,ireland,usa,usa,indonesia,indonesia
usa,italy,south korea,indonesia,usa,usa
usa,sweden,usa,usa,usa,usa
usa,norway,usa,south korea,usa,usa
usa,uk,usa,usa,usa,usa
usa,uk,usa,bermuda,usa,usa
china,france,brazil,brazil,china,china
usa,uk,china,germany,usa,usa
china,uk,china,japan,china,china
usa,germany,usa,china,usa,usa
hong kong,switzerland,japan,usa,hong kong,hong kong
usa,germany,hong kong,hong kong,usa,usa
china,france,usa,usa,china,china
japan,switzerland,usa,china,japan,japan
germany,denmark,germany,usa,germany,germany
brazil,sweden,china,china,brazil,brazil
usa,uk,ireland,usa,usa,usa
usa,france,usa,usa,usa,usa
usa,sweden,usa,ireland,usa,usa
japan,uk,usa,sweden,japan,japan
usa,uk,usa,uk,usa,usa
uk,switzerland,sweden,usa,uk,uk
sweden,italy,usa,japan,sweden,sweden
ireland,denmark,japan,usa,ireland,ireland
usa,germany,uk,usa,usa,usa
usa,russia,usa,usa,usa,usa
usa,germany,spain,usa,usa,usa
canada,italy,canada,spain,canada,canada
south korea,germany,germany,usa,south korea,south korea
japan,switzerland,japan,uk,japan,japan
germany,uk,usa,usa,germany,germany
usa,netherlands,usa,germany,usa,usa
uk,france,uk,japan,uk,uk
usa,italy,usa,south korea,usa,usa
spain,italy,south korea,canada,spain,spain
usa,germany,usa,usa,usa,usa
usa,uk,usa,usa,usa,usa
usa,switzerland,usa,india,usa,usa
usa,germany,india,uk,usa,usa
usa,uk,usa,usa,usa,usa
usa,uk,uk,japan,usa,usa
japan,germany,usa,usa,japan,japan
usa,spain,japan,usa,usa,usa
uk,poland,usa,usa,uk,uk
india,spain,usa,usa,india,india
usa,russia,usa,usa,usa,usa
ireland,ireland,south korea,sweden,ireland,ireland
south korea,uk,china,usa,south korea,south korea
japan,uk,ireland,china,japan,japan
usa,luxembourg,sweden,brazil,usa,usa
switzerland,russia,switzerland,japan,switzerland,switzerland
japan,uk,usa,switzerland,japan,japan
brazil,norway,brazil,usa,brazil,brazil
china,sweden,japan,japan,china,china
usa,switzerland,japan,south korea,usa,usa
sweden,russia,usa,ireland,sweden,sweden
switzerland,uk,usa,usa,switzerland,switzerland
usa,austria,usa,switzerland,usa,usa
usa,uk,china,usa,usa,usa
china,sweden,switzerland,usa,china,china
china,italy,usa,china,china,china
china,netherlands,usa,china,china,china
usa,france,switzerland,china,usa,usa
usa,uk,usa,usa,usa,usa
switzerland,france,china,usa,switzerland,switzerland
usa,switzerland,china,switzerland,usa,usa
canada,switzerland,canada,usa,canada,canada
china,luxembourg,usa,usa,china,china
singapore,denmark,japan,japan,singapore,singapore
canada,france,canada,japan,canada,canada
usa,uk,finland,finland,usa,usa
finland,uk,usa,usa,finland,finland
japan,switzerland,china,canada,japan,japan
japan,france,japan,singapore,japan,japan
usa,switzerland,usa,china,usa,usa
usa,france,singapore,canada,usa,usa
brazil,germany,china,usa,brazil,brazil
china,uk,usa,uk,china,china
france,netherlands,brazil,switzerland,france,france
canada,belgium,france,france,canada,canada
germany,netherlands,germany,china,germany,germany
china,uk,china,germany,china,china
france,france,uk,canada,france,france
switzerland,finland,canada,france,switzerland,switzerland
uk,sweden,france,china,uk,uk
usa,france,switzerland,brazil,usa,usa
usa,uk,india,china,usa,usa
usa,belgium,belgium,usa,usa,usa
china,uk,usa,india,china,china
usa,switzerland,usa,china,usa,usa
belgium,netherlands,china,usa,belgium,belgium
usa,uk,usa,belgium,usa,usa
china,uk,china,usa,china,china
india,switzerland,china,china,india,india
usa,denmark,usa,usa,usa,usa
china,uk,usa,usa,china,china
hong kong,belgium,hong kong,china,hong kong,hong kong
uk,sweden,china,usa,uk,uk
china,uk,china,usa,china,china
sweden,luxembourg,netherlands,china,sweden,sweden
china,norway,usa,china,china,china
china,italy,china,sweden,china,china
usa,spain,china,china,usa,usa
usa,norway,sweden,uk,usa,usa
china,france,uk,hong kong,china,china
netherlands,uk,usa,netherlands,netherlands,netherlands
usa,uk,hong kong,uk,usa,usa
usa,finland,usa,finland,usa,usa
hong kong,sweden,usa,china,hong kong,hong kong
usa,germany,finland,usa,usa,usa
germany,austria,usa,france,germany,germany
france,uk,uk,germany,france,france
usa,germany,france,usa,usa,usa
china,france,germany,hong kong,china,china
finland,uk,usa,usa,finland,finland
uk,italy,china,usa,uk,uk
china,sweden,norway,usa,china,china
norway,germany,japan,usa,norway,norway
usa,germany,hong kong,south korea,usa,usa
usa,germany,china,hong kong,usa,usa
japan,france,usa,france,japan,japan
france,netherlands,usa,japan,france,france
hong kong,germany,south korea,usa,hong kong,hong kong
south korea,switzerland,france,usa,south korea,south korea
usa,sweden,usa,norway,usa,usa
usa,russia,usa,china,usa,usa
usa,france,usa,usa,usa,usa
usa,finland,india,italy,usa,usa
india,belgium,usa,japan,india,india
canada,luxembourg,japan,india,canada,canada
usa,denmark,canada,germany,usa,usa
germany,sweden,germany,usa,germany,germany
india,france,italy,canada,india,india
japan,switzerland,usa,india,japan,japan
italy,luxembourg,india,usa,italy,italy
usa,germany,usa,usa,usa,usa
finland,germany,sweden,south korea,finland,finland
usa,austria,usa,australia,usa,usa
usa,germany,usa,usa,usa,usa
usa,uk,australia,sweden,usa,usa
usa,sweden,usa,usa,usa,usa
usa,germany,finland,usa,usa,usa
sweden,ireland,south korea,usa,sweden,sweden
usa,uk,usa,usa,usa,usa
australia,finland,usa,usa,australia,australia
south korea,uk,usa,finland,south korea,south korea
usa,uk,germany,denmark,usa,usa
netherlands,germany,usa,usa,netherlands,netherlands
singapore,belgium,singapore,brazil,singapore,singapore
hong kong,switzerland,netherlands,usa,hong kong,hong kong
germany,poland,usa,usa,germany,germany
usa,uk,brazil,germany,usa,usa
usa,denmark,usa,hong kong,usa,usa
brazil,italy,denmark,singapore,brazil,brazil
usa,austria,hong kong,netherlands,usa,usa
denmark,italy,usa,usa,denmark,denmark
mexico,switzerland,hong kong,usa,mexico,mexico
hong kong,uk,mexico,japan,hong kong,hong kong
usa,sweden,usa,usa,usa,usa
usa,uk,japan,spain,usa,usa
china,france,spain,usa,china,china
usa,uk,china,china,usa,usa
spain,greece,usa,usa,spain,spain
usa,spain,usa,usa,usa,usa
japan,sweden,usa,hong kong,japan,japan
usa,austria,usa,mexico,usa,usa
canada,switzerland,taiwan,usa,canada,canada
usa,poland,hong kong,usa,usa,usa
usa,uk,usa,usa,usa,usa
hong kong,denmark,australia,taiwan,hong kong,hong kong
australia,germany,canada,usa,australia,australia
usa,poland,usa,australia,usa,usa
taiwan,poland,usa,hong kong,taiwan,taiwan
usa,switzerland,usa,usa,usa,usa
usa,germany,usa,usa,usa,usa
usa,spain,usa,canada,usa,usa
usa,iceland,sweden,usa,usa,usa
sweden,luxembourg,usa,china,sweden,sweden
netherlands,belgium,china,usa,netherlands,netherlands
italy,uk,italy,china,italy,italy
usa,hungary,china,usa,usa,usa
usa,spain,usa,usa,usa,usa
usa,switzerland,usa,usa,usa,usa
china,uk,netherlands,italy,china,china
usa,sweden,usa,netherlands,usa,usa
china,spain,usa,sweden,china,china
usa,norway,usa,taiwan,usa,usa
thailand,ireland,china,usa,thailand,thailand
canada,denmark,usa,south africa,canada,canada
china,italy,canada,usa,china,china
usa,switzerland,taiwan,australia,usa,usa
australia,uk,thailand,usa,australia,australia
usa,france,australia,china,usa,usa
south africa,switzerland,usa,canada,south africa,south africa
usa,italy,usa,thailand,usa,usa
taiwan,uk,south africa,usa,taiwan,taiwan
australia,uk,taiwan,netherlands,australia,australia
netherlands,switzerland,usa,australia,netherlands,netherlands
usa,germany,usa,switzerland,usa,usa
usa,germany,australia,usa,usa,usa
usa,italy,usa,canada,usa,usa
usa,uk,switzerland,taiwan,usa,usa
taiwan,italy,usa,usa,taiwan,taiwan
canada,uk,canada,usa,canada,canada
usa,denmark,netherlands,usa,usa,usa
switzerland,norway,usa,usa,switzerland,switzerland
usa,france,sweden,china,usa,usa
sweden,uk,canada,usa,sweden,sweden
japan,uk,usa,usa,japan,japan
india,sweden,spain,canada,india,india
spain,sweden,japan,china,spain,spain
china,belgium,usa,spain,china,china
canada,italy,usa,india,canada,canada
usa,sweden,india,japan,usa,usa
usa,uk,china,sweden,usa,usa
china,uk,china,usa,china,china
usa,italy,usa,germany,usa,usa
luxembourg,france,china,switzerland,luxembourg,luxembourg
usa,austria,luxembourg,usa,usa,usa
usa,belgium,switzerland,usa,usa,usa
china,uk,usa,usa,china,china
usa,germany,usa,china,usa,usa
usa,uk,germany,usa,usa,usa
usa,luxembourg,usa,usa,usa,usa
switzerland,france,usa,luxembourg,switzerland,switzerland
germany,ireland,usa,usa,germany,germany
south africa,finland,china,france,south africa,south africa
china,france,china,spain,china,china
france,germany,japan,hong kong,france,france
china,belgium,usa,china,china,china
japan,uk,hong kong,usa,japan,japan
usa,germany,spain,japan,usa,usa
china,switzerland,france,china,china,china
hong kong,italy,south africa,france,hong kong,hong kong
spain,france,france,china,spain,spain
france,uk,china,south africa,france,france
france,sweden,china,usa,france,france
switzerland,uk,china,china,switzerland,switzerland
usa,russia,usa,china,usa,usa
japan,uk,france,usa,japan,japan
china,sweden,china,usa,china,china
usa,sweden,usa,china,usa,usa
usa,luxembourg,japan,japan,usa,usa
china,uk,usa,usa,china,china
china,netherlands,switzerland,switzerland,china,china
usa,uk,usa,france,usa,usa
india,austria,usa,usa,india,india
usa,russia,sweden,uk,usa,usa
sweden,uk,japan,japan,sweden,sweden
germany,uk,usa,usa,germany,germany
usa,france,china,china,usa,usa
china,italy,usa,usa,china,china
usa,france,usa,germany,usa,usa
japan,uk,uk,sweden,japan,japan
uk,uk,germany,usa,uk,uk
usa,sweden,india,india,usa,usa
china,uk,sweden,switzerland,china,china
india,luxembourg,india,kazakhstan,india,india
japan,germany,kazakhstan,china,japan,japan
china,uk,china,japan,china,china
india,uk,japan,sweden,india,india
sweden,belgium,switzerland,india,sweden,sweden
japan,austria,china,china,japan,japan
china,uk,india,japan,china,china
