,country,market_value_apr_2022,name,revenue_2022
551,united states,$59.06 B,newmont mining,$12.25 B
552,switzerland,$40.01 B,te connectivity,$15.22 B
553,ireland,$68.81 B,aon,$12.19 B
554,canada,$36.05 B,telus,$13.43 B
555,united states,$37.7 B,dollar tree,$26.32 B
556,united states,$19.06 B,keycorp,$7.45 B
557,united kingdom,$26.88 B,wtw,$9.58 B
558,china,$9 B,china zheshang bank,$15.99 B
559,australia,$40.57 B,wesfarmers,$25.35 B
560,japan,$15.39 B,suzuki motor,$32.56 B
561,united states,$20.56 B,best buy,$51.76 B
562,united states,$31.82 B,svb financial group,$6.08 B
563,united states,$142.8 B,advanced micro devices,$16.43 B
564,united states,$19.89 B,markel,$12.84 B
565,china,$44.12 B,muyuan foodstuff,$11.27 B
566,united states,$46.67 B,kimberly-clark,$19.79 B
567,sweden,$18.56 B,swedbank,$6.75 B
568,united states,$43.62 B,cognizant,$18.51 B
569,united states,$28.58 B,corning,$14.07 B
570,germany,$39.15 B,infineon technologies,$13.7 B
571,united states,$20.76 B,citizens financial group,$6.88 B
572,united states,$38.57 B,devon energy,$13.69 B
573,japan,$17.94 B,asahi group holdings,$20.35 B
574,india,$22.87 B,jsw steel,$17.1 B
575,united states,$11.16 B,lumen technologies,$19.69 B
576,united states,$20.03 B,regions financial,$6.63 B
577,sweden,$19.52 B,svenska handelsbanken,$6.34 B
578,united states,$21.49 B,raymond james financial,$10.43 B
579,china,$84.46 B,byd,$32.78 B
580,united states,$63.42 B,illinois tool works,$14.46 B
581,china,$43.53 B,pinduoduo,$14.57 B
582,united states,$61.39 B,activision blizzard,$8.8 B
583,united kingdom,$12.59 B,liberty global,$10.54 B
584,united states,$68.17 B,colgate-palmolive,$17.42 B
585,united kingdom,$24.88 B,sse,$10.33 B
586,taiwan,$23.75 B,nan ya plastics,$14.74 B
587,france,$12.95 B,vivendi,$11.31 B
588,united states,$36.77 B,baxter international,$12.78 B
589,china,$8.48 B,fosun international,$25.02 B
590,china,$12.04 B,weichai power,$31.4 B
591,united states,$11.58 B,fidelity national financial,$15.63 B
592,united states,$35.6 B,parker-hannifin,$15.29 B
593,india,$20.21 B,vedanta limited,$16.38 B
594,south korea,$9.51 B,woori financial group,$11.47 B
595,united states,$45.06 B,sysco,$60.74 B
596,australia,$34.21 B,telstra,$15.82 B
597,switzerland,$18.68 B,credit suisse group,$30.07 B
598,canada,$29.24 B,rogers communications,$11.79 B
599,united states,$31.03 B,m&t bank,$5.89 B
600,united states,$62.63 B,boston scientific,$11.89 B
601,united states,$27.27 B,edison international,$14.9 B
602,france,$5.07 B,financiere de l'odet,$23.37 B
603,japan,$11.81 B,sumitomo mitsui trust,$10.67 B
604,united states,$25.1 B,entergy,$11.71 B
605,switzerland,$30.25 B,swisscom,$12.23 B
606,germany,$25.8 B,enbw-energie baden,$38 B
607,china,$59.33 B,hikvision,$12.99 B
608,japan,$12.82 B,nippon yusen,$19.46 B
609,united states,$21.35 B,stanley black & decker,$16.83 B
610,united states,$30.94 B,oneok,$17.27 B
611,united states,$58.74 B,marriott international,$13.86 B
612,united states,$49.91 B,warner bros. discovery,$12.18 B
613,china,$36.66 B,s.f. holding,$32.05 B
614,united states,$28.01 B,delta air lines,$35.1 B
615,india,$11.16 B,bharat petroleum,$43.2 B
616,united states,$33.94 B,halliburton,$16.13 B
617,china,$5.15 B,metallurgical corp of china,$77.3 B
618,united states,$22.08 B,northern trust,$6.57 B
619,germany,$10.91 B,heidelbergcement,$22.13 B
620,taiwan,$19.81 B,china steel,$16.77 B
621,united states,$31.72 B,eversource energy,$9.86 B
622,china,$21.93 B,sany heavy industry,$17.59 B
623,france,$138.97 B,herm̬s international,$10.62 B
624,united states,$17.89 B,international paper,$21.78 B
625,turkey,$6.79 B,ko̤ holding,$38.84 B
626,japan,$40.47 B,nidec,$17.07 B
627,china,$111.43 B,meituan,$27.79 B
628,india,$44.83 B,kotak mahindra bank,$7.92 B
629,canada,$19.97 B,teck resources,$10.75 B
630,united states,$27.77 B,southwest airlines,$15.79 B
631,germany,$32.23 B,deutsche boerse,$5.26 B
632,united states,$25.02 B,labcorp,$16.12 B
633,china,$20.28 B,china tower corp.,$13.43 B
634,japan,$17.11 B,inpex,$11.32 B
635,united kingdom,$23.43 B,coca-cola european partners,$16.24 B
636,china,$98.98 B,wuliangye yibin,$8.48 B
637,hong kong,$2.14 B,shimao property holdings,$21.82 B
638,japan,$7.97 B,idemitsu kosan,$54.54 B
639,taiwan,$29.96 B,formosa petrochemical,$22.2 B
640,united states,$84.07 B,crown castle international,$6.6 B
641,united states,$26.27 B,firstenergy,$11.41 B
642,china,$21.52 B,rongsheng petrochemical,$27.22 B
643,india,$15.11 B,hindalco industries,$24.33 B
644,china,$13.96 B,bank of hangzhou,$8.7 B
645,france,$7.28 B,renault,$54.62 B
646,united arab emirates,$108.6 B,international holding company,$7.75 B
647,united states,$21.93 B,cincinnati financial,$9.63 B
648,japan,$19.04 B,mitsubishi estate,$12.14 B
649,united states,$15.18 B,cleveland-cliffs,$22.35 B
650,spain,$7.03 B,grupo acs,$32.9 B
651,china,$13.58 B,cgn power,$12.47 B
652,taiwan,$14.5 B,ase technology holding,$21.31 B
653,japan,$7.25 B,jfe holdings,$36.46 B
654,united states,$26.51 B,dte energy,$15.46 B
655,china,$12.76 B,china hongqiao group,$17.76 B
656,netherlands,$44.83 B,nxp semiconductors,$11.06 B
657,united states,$15.48 B,western digital,$18.94 B
658,united states,$90.52 B,booking holdings,$10.96 B
659,japan,$16.11 B,aeon,$78.17 B
660,united states,$28.21 B,first republic bank,$5.53 B
661,china,$13.52 B,lufax holding,$9.67 B
662,sweden,$61.42 B,atlas copco,$12.92 B
663,united states,$61.05 B,fidelity national information (fis),$13.88 B
664,japan,$8.74 B,mitsubishi chemical,$34.61 B
665,portugal,$19.63 B,edp-energias de portugal,$17.86 B
666,japan,$19.16 B,kyocera,$16.22 B
667,china,$6.02 B,xiamen c&d,$109.61 B
668,united states,$42.88 B,autozone,$15.6 B
669,hong kong,$4.36 B,china taiping insurance,$40.91 B
670,canada,$34.25 B,cenovus energy,$36.98 B
671,finland,$36.31 B,neste,$17.91 B
672,germany,$27.21 B,porsche automobil holding,$151 M
673,sweden,$22.04 B,h&m - hennes & mauritz,$23.85 B
674,united kingdom,$59.18 B,relx,$9.96 B
675,united states,$24.11 B,pg&e,$20.64 B
676,united states,$41.81 B,republic services,$11.3 B
677,united states,$36.35 B,ross stores,$18.92 B
678,united states,$32.8 B,wec energy group,$8.32 B
679,united states,$17.06 B,cardinal health,$171.29 B
680,united states,$14.61 B,carmax,$31.9 B
681,taiwan,$10.52 B,china development financial,$12.76 B
682,saudi arabia,$31.76 B,riyad bank,$3.23 B
683,united states,$49.81 B,thomson reuters,$6.35 B
684,russia,$10.13 B,transneft,$14.11 B
685,united kingdom,$29.61 B,ferguson,$22.74 B
686,united states,$43.56 B,iqvia,$13.87 B
687,hong kong,$54.13 B,hong kong exchanges,$2.69 B
688,united states,$31.37 B,ppg,$17.23 B
689,china,$2.81 B,legend holding,$75.97 B
690,united states,$50.16 B,ecolab,$12.73 B
691,china,$6.77 B,sinopharm group,$80.8 B
692,china,$31.7 B,luxshare precision industry,$23.87 B
693,china,$2.86 B,seazen group,$26.4 B
694,united states,$37.87 B,global payments,$8.52 B
695,china,$4.17 B,china energy engineering,$49.75 B
696,france,$52.26 B,safran,$17.89 B
697,united states,$131.75 B,s&p global,$8.3 B
698,united states,$19.88 B,huntington bank,$6.42 B
699,bermuda,$17.86 B,arch capital group,$8.88 B
700,united states,$3.93 B,jackson financial,$8.85 B
701,israel,$15.87 B,bank leumi,$5.82 B
702,ireland,$34.77 B,trane technologies,$14.14 B
703,france,$21.2 B,veolia environnement,$33.7 B
704,united states,$46.92 B,o'reilly automotive,$13.33 B
705,united states,$30.86 B,biogen,$10.35 B
706,france,$15.81 B,publicis groupe,$13.87 B
707,south korea,$1.7 B,hanwha,$46.14 B
708,united states,$24.17 B,the mosaic company,$12.36 B
709,india,$56.8 B,bharti airtel,$14.98 B
710,china,$16.04 B,daqin railway,$11.83 B
711,united states,$60.27 B,uber,$17.45 B
712,switzerland,$34.46 B,stmicroelectronics,$12.78 B
713,china,$9.58 B,gemdale,$14.32 B
714,belgium,$9.71 B,ageas,$14.42 B
715,taiwan,$11.13 B,quanta computer,$40.44 B
716,canada,$18.04 B,george weston,$43.37 B
717,united states,$31.02 B,weyerhaeuser,$10.2 B
718,south korea,$11.11 B,korea electric power,$52.9 B
719,united states,$21.51 B,fox,$13.59 B
720,japan,$11.58 B,mitsubishi heavy industries,$34.06 B
721,united states,$16.98 B,steel dynamics,$20.43 B
722,japan,$100.89 B,keyence,$6.43 B
723,china,$51.73 B,longi green energy technology,$11.76 B
724,united kingdom,$56.35 B,reckitt benckiser group,$18.2 B
725,india,$16.3 B,coal india,$14.03 B
726,japan,$8.21 B,aisin seiki,$35.4 B
727,united states,$42.6 B,digital realty trust,$4.77 B
728,india,$22.12 B,tata motors,$39.04 B
729,japan,$10.54 B,resona holdings,$7.46 B
730,united states,$41.33 B,simon property group,$5.12 B
731,south korea,$6.97 B,industrial bank of korea,$9.44 B
732,hong kong,$24.76 B,clp holdings,$10.8 B
733,kuwait,$25.78 B,national bank of kuwait,$3.82 B
734,singapore,$32.06 B,singtel,$11.84 B
735,united states,$28.64 B,coinbase,$7.84 B
736,united states,$20.04 B,centerpoint energy,$8.35 B
737,saudi arabia,$44.95 B,saudi arabian mining,$7.14 B
738,china,$6.47 B,china cinda asset management,$10.29 B
739,japan,$11.72 B,asahi kasei,$21.79 B
740,japan,$10.9 B,nec,$27.72 B
741,united states,$16.81 B,united airlines holdings,$28.98 B
742,united states,$17.88 B,mgm resorts,$9.68 B
743,netherlands,$28.7 B,dsm,$10.88 B
744,indonesia,$31.88 B,telkom indonesia,$10.02 B
745,poland,$7.55 B,pkn orlen,$34.07 B
746,china,$11.51 B,guotai junan securities,$6.7 B
747,norway,$19.14 B,norsk hydro,$16.89 B
748,taiwan,$23.28 B,formosa plastics,$9.79 B
749,united states,$9.18 B,nrg energy,$26.9 B
750,malaysia,$21.18 B,public bank,$4.51 B
751,china,$9.67 B,tcl,$25.27 B
752,china,$12.74 B,huatai securities,$6.04 B
753,united states,$23.53 B,kellogg,$14.18 B
754,china,$37.83 B,inner mongolia yili,$16.52 B
755,united kingdom,$14.8 B,wpp,$17.61 B
756,united states,$16.35 B,omnicom group,$14.27 B
757,japan,$11.78 B,sekisui house,$23.39 B
758,united states,$34.52 B,cheniere energy,$17.64 B
759,sweden,$26.55 B,sandvik,$11.61 B
760,thailand,$12.8 B,siam cement,$16.56 B
761,japan,$20.31 B,east japan railway,$17.67 B
762,united arab emirates,$19.45 B,abu dhabi commercial bank,$4.23 B
763,china,$4.43 B,huishang bank,$10.26 B
764,china,$13.08 B,great wall motor,$20.52 B
765,china,$9.56 B,haitong securities,$7.8 B
766,china,$6.23 B,dongfeng motor group,$17.5 B
767,china,$3.9 B,china reinsurance group,$25.39 B
768,hong kong,$20.39 B,henderson land,$3.07 B
769,south korea,$32.16 B,samsung sdi,$11.84 B
770,canada,$24.04 B,fortis (canada),$7.54 B
771,south korea,$10.82 B,sk telecom,$14.63 B
772,netherlands,$12.8 B,hal trust,$8.68 B
773,brazil,$56.14 B,banco btg pactual,$2.71 B
774,united states,$31.15 B,baker hughes company,$20.59 B
775,united states,$37.32 B,gallagher,$8.05 B
776,bermuda,$12.67 B,everest re group,$11.87 B
777,united states,$41.49 B,amphenol,$10.88 B
778,united states,$13.1 B,american airlines group,$34.77 B
779,united states,$48.87 B,kla,$8.16 B
780,japan,$29.26 B,astellas pharma,$11.84 B
781,japan,$17.87 B,otsuka holding,$13.64 B
782,china,$3.01 B,china bohai bank,$10.56 B
783,thailand,$10.82 B,kasikornbank,$8.14 B
784,israel,$12.88 B,bank hapoalim,$5.64 B
785,australia,$22.85 B,woodside petroleum,$7.01 B
786,hong kong,$33.32 B,mtr,$6.07 B
787,russia,$10.46 B,tatneft,$17.39 B
788,india,$4.1 B,power finance,$10.15 B
789,united states,$85.74 B,zoetis,$7.78 B
790,switzerland,$48.01 B,lonza group,$5.92 B
791,france,$9.86 B,eiffage,$22.69 B
792,japan,$7.08 B,sumitomo chemical,$24.41 B
793,united states,$68.84 B,vertex pharmaceuticals,$7.6 B
794,united states,$20.39 B,constellation energy,$19.65 B
795,china,$4.19 B,cifi holdings group,$16.77 B
796,austria,$3.98 B,raiffeisen bank international,$9.05 B
797,united states,$10.16 B,whirlpool,$21.98 B
798,germany,$14.43 B,siemens energy,$32.51 B
799,united states,$13.27 B,westrock,$19.3 B
800,south korea,$7.36 B,samsung fire & marine,$18.34 B
801,united states,$8.75 B,us steel,$20.45 B
802,finland,$18.74 B,upm-kymmene,$11.6 B
803,taiwan,$16.21 B,formosa chemicals,$13.1 B
804,south korea,$14.96 B,sk innovation,$40.91 B
805,sweden,$16.49 B,telia,$10.29 B
806,japan,$7.85 B,t&d holdings,$20.27 B
807,spain,$6.24 B,mapfre,$23.48 B
808,india,$39.09 B,hcl technologies,$11.19 B
809,japan,$12.58 B,sumitomo realty,$8.42 B
810,united states,$16.34 B,westlake chemical,$11.78 B
811,united states,$30.79 B,apollo global management,$4.83 B
812,united states,$22.72 B,united rentals,$9.72 B
813,united states,$23.08 B,diamondback energy,$6.8 B
814,united states,$31.04 B,otis worldwide,$14.3 B
815,china,$4.46 B,chongqing rural bank,$8.68 B
816,united states,$27.77 B,ball,$13.93 B
817,finland,$15.68 B,stora enso,$12.01 B
818,taiwan,$15.1 B,yang ming marine transport,$11.95 B
819,united kingdom,$7.93 B,phoenix group holdings,$33.53 B
820,india,$38.44 B,wipro,$10.07 B
821,india,$20.57 B,power grid of india,$5.61 B
822,south africa,$8.83 B,absa group,$9.04 B
823,russia,$12.07 B,novolipetsk steel,$16.18 B
824,japan,$8.61 B,sumitomo electric,$29.99 B
825,united kingdom,$9.31 B,st. james's place,$24.42 B
826,india,$14.77 B,grasim industries,$12.35 B
827,united kingdom,$21.23 B,segro,$751 M
828,taiwan,$19.32 B,mega financial holding,$2.62 B
829,china,$16.05 B,zhongsheng group holdings,$27.15 B
830,taiwan,$4.88 B,shin kong financial,$15.59 B
831,united states,$20.82 B,cms energy,$7.4 B
832,chile,$4.84 B,quinenco,$8.46 B
833,germany,$12.57 B,evonik industries,$18.69 B
834,china,$41.33 B,east money information,$2.13 B
835,australia,$13.04 B,qbe insurance group,$13.95 B
836,malaysia,$11.85 B,tenaga nasional,$12.7 B
837,south korea,$36.14 B,naver,$6.14 B
838,japan,$12.01 B,tdk,$16.26 B
839,japan,$12.09 B,nomura,$12.89 B
840,china,$3.73 B,jinke property group,$15.58 B
841,japan,$5.79 B,tokyo electric power,$47.93 B
842,united states,$22.9 B,cdw,$20.82 B
843,united states,$46.07 B,the hershey company,$8.97 B
844,india,$42.06 B,itc,$7.91 B
845,poland,$8.57 B,pgnig group,$18.29 B
846,south africa,$19.98 B,mtn group,$12.28 B
847,united kingdom,$39.01 B,compass group,$24.5 B
848,united states,$18.02 B,wr berkley,$9.46 B
849,united states,$59.77 B,moody's,$6.22 B
850,united states,$18.97 B,genuine parts,$19.7 B
851,china,$37.02 B,beijing-shanghai high-speed railway,$4.75 B
852,china,$9.13 B,aluminum corp of china,$41.84 B
853,japan,$8.41 B,kansai electric power,$26.01 B
854,united states,$70.56 B,public storage,$3.42 B
855,china,$53.27 B,china international travel service,$10.37 B
856,switzerland,$49.37 B,sika,$10.12 B
857,united states,$14.95 B,signature bank,$2.48 B
858,united states,$30.58 B,t rowe price,$7.67 B
859,united states,$31.74 B,international flavors & fragrances,$11.66 B
860,italy,$20.11 B,atlantia,$6.21 B
861,united states,$47.95 B,roper technologies,$6.09 B
862,china,$21.72 B,shanghai international port,$5.18 B
863,japan,$43.87 B,daiichi sankyo,$9.42 B
864,japan,$11.45 B,rakuten,$15.31 B
865,united states,$13.25 B,franklin resources,$8.72 B
866,ireland,$7.83 B,bank of ireland,$8.37 B
867,japan,$8.9 B,mitsui osk lines,$10.81 B
868,saudi arabia,$24.3 B,saudi british bank,$2.38 B
869,united states,$25 B,ameren,$6.39 B
870,taiwan,$34.87 B,chunghwa telecom,$7.54 B
871,sweden,$29.86 B,assa abloy,$11.07 B
872,china,$9.76 B,zte,$17.64 B
873,netherlands,$6.61 B,asr nederland,$11.72 B
874,united states,$17.33 B,conagra brands,$11.37 B
875,germany,$9.18 B,commerzbank,$14.84 B
876,india,$32.15 B,bajaj finserv,$8.64 B
877,south korea,$4.73 B,hyundai steel,$19.95 B
878,south korea,$5.38 B,lg display,$26.09 B
879,south korea,$6.89 B,kt,$21.74 B
880,china,$1.7 B,logan property holdings,$12.2 B
881,united states,$37.09 B,public service enterprise group,$8.73 B
882,russia,$4.47 B,en+ group international,$14.12 B
883,turkey,$3.2 B,isbank,$12.25 B
884,united states,$16.64 B,expeditors international,$16.68 B
885,luxembourg,$8.59 B,ternium,$15.98 B
886,czech republic,$23.39 B,cez group,$10.9 B
887,japan,$9.3 B,isuzu motors,$21.7 B
888,japan,$20.81 B,renesas electronics,$9.05 B
889,netherlands,$46.2 B,universal music group,$10.05 B
890,italy,$4.08 B,unipol gruppo,$16.89 B
891,japan,$5.49 B,sbi holdings,$5.58 B
892,hong kong,$26.31 B,techtronic industries,$13.2 B
893,spain,$19.21 B,ferrovial,$8.01 B
894,malaysia,$12.22 B,cimb group holdings,$5.66 B
895,finland,$25.87 B,kone,$12.43 B
896,south korea,$3.08 B,e-mart,$21.77 B
897,china,$9.87 B,gf securities,$5.85 B
898,china,$9.86 B,china merchants securities,$5.7 B
899,united states,$9.53 B,annaly capital management,$731 M
900,australia,$18.25 B,coles group,$29.38 B
901,japan,$24.77 B,central japan railway,$8.25 B
902,turkey,$2.79 B,sabanci holding,$10.51 B
903,taiwan,$11.06 B,yuanta financial holding,$5.77 B
904,chile,$3.49 B,antarchile,$24.9 B
905,south korea,$10.81 B,hmm,$12.05 B
906,ireland,$18.04 B,seagate technology,$11.97 B
907,united states,$11.24 B,alleghany,$12 B
908,china,$15.04 B,guosen securities,$3.76 B
909,united states,$16.03 B,avis budget group,$9.31 B
910,china,$5.72 B,jiangxi copper,$68.46 B
911,japan,$6.49 B,mitsubishi ufj lease,$14.05 B
912,japan,$13.03 B,sumitomo metal mining,$10.71 B
913,taiwan,$9.22 B,asustek computer,$19.16 B
914,united kingdom,$16.58 B,associated british foods,$18.99 B
915,china,$22 B,china national nuclear power,$9.6 B
916,china,$10.03 B,china international capital,$3.61 B
917,china,$11.4 B,china molybdenum,$26.77 B
918,united states,$11.77 B,equitable holdings,$11.04 B
919,germany,$8.65 B,covestro,$18.8 B
920,united kingdom,$6.99 B,m&g,$23.38 B
921,canada,$57.93 B,shopify,$4.61 B
922,china,$4.22 B,shanghai construction,$43.4 B
923,sweden,$19.43 B,essity,$14.59 B
924,united states,$25.52 B,ww grainger,$13.02 B
925,india,$5.53 B,canara bank,$12.68 B
926,united states,$12.43 B,viatris,$17.86 B
927,united states,$29.84 B,american water works,$3.93 B
928,taiwan,$20.33 B,united microelectronics,$7.63 B
929,united states,$21.23 B,vf,$11.62 B
930,united states,$90.64 B,intuitive surgical,$5.91 B
931,italy,$18.32 B,snam,$3.9 B
932,denmark,$28.23 B,vestas wind systems,$18.42 B
933,japan,$11.61 B,subaru,$25.15 B
934,china,$2.46 B,jiangsu zhongnan construction group,$14 B
935,denmark,$17.76 B,carlsberg,$10.59 B
936,united states,$10.86 B,builders firstsource,$19.89 B
937,china,$16.03 B,semiconductor manufacturing international,$5.51 B
938,poland,$10.9 B,pko bank polski,$4.45 B
939,china,$14.99 B,enn energy holdings,$14.44 B
940,hong kong,$8.86 B,wh group,$27.29 B
941,united kingdom,$17.53 B,amcor,$13.59 B
942,south korea,$2.81 B,korea gas,$24.03 B
943,united states,$7.68 B,jefferies financial,$8.64 B
944,russia,$11.5 B,severstal,$11.63 B
945,united states,$31.95 B,alexandria real estate equities,$2.11 B
946,switzerland,$10.34 B,julius baer group,$4.95 B
947,south africa,$9.09 B,sanlam,$14.42 B
948,united arab emirates,$14.07 B,emaar properties,$7.86 B
949,vietnam,$16.94 B,joint stock commercial bank for foreign trade of vietnam,$3.91 B
950,united states,$37.7 B,motorola solutions,$8.17 B
951,china,$9.28 B,shanghai rural commercial bank,$5.77 B
952,brazil,$6.76 B,braskem,$19.57 B
953,india,$7.54 B,bank of baroda,$12.06 B
954,south korea,$9.91 B,s-oil,$23.98 B
955,united states,$23.18 B,tractor supply,$12.96 B
956,australia,$10.27 B,suncorp group,$9.88 B
957,hungary,$7.08 B,mol hungarian oil,$19.64 B
958,ireland,$28.85 B,aptiv,$15.62 B
959,united states,$7.04 B,voya financial,$4.23 B
960,south korea,$3.37 B,gs holdings,$17.67 B
961,brazil,$10.16 B,gerdau (cosigua),$14.52 B
962,united states,$34.27 B,equity residential,$2.43 B
963,qatar,$16.4 B,qatar islamic bank,$1.82 B
964,united states,$29.2 B,hormel foods,$11.97 B
965,china,$5.46 B,shenwan hongyuan group,$6.81 B
966,united states,$7.59 B,reinsurance group of america,$16.65 B
967,united states,$16.16 B,quest diagnostics,$10.68 B
968,belgium,$10.12 B,solvay,$13.52 B
969,canada,$21.29 B,pembina pipeline,$6.95 B
970,saudi arabia,$17.6 B,banque saudi fransi,$2.19 B
971,japan,$33.91 B,smc,$6.4 B
972,south africa,$15.28 B,sasol,$15.54 B
973,united states,$11.66 B,molson coors brewing,$10.28 B
974,united states,$6.91 B,macy's,$25.29 B
975,colombia,$10.89 B,bancolombia,$6.08 B
976,united states,$41.75 B,cintas,$7.62 B
977,china,$5.48 B,china international marine,$25.3 B
978,china,$7.46 B,huaneng power international,$31.47 B
979,canada,$27.23 B,restaurant brands international,$5.74 B
980,poland,$6.44 B,grupa pzu,$10.1 B
981,japan,$19.19 B,kao,$12.91 B
982,china,$1.85 B,agile group holdings,$11.52 B
983,united states,$7.57 B,arrow electronics,$34.48 B
984,china,$8.54 B,shenzhen overseas,$14.88 B
985,united states,$7.98 B,tenet healthcare,$19.45 B
986,colombia,$4.78 B,grupo aval,$10.27 B
987,thailand,$17.53 B,cp all,$17.65 B
988,hong kong,$14.82 B,geely automobile holdings,$15.76 B
989,united kingdom,$5.96 B,centrica,$20.28 B
990,united arab emirates,$12.38 B,dubai islamic bank,$3.16 B
991,brazil,$14.66 B,suzano papel e celulose,$7.59 B
992,hong kong,$18.28 B,link reit,$1.47 B
993,canada,$35.28 B,yum! brands,$6.58 B
994,canada,$19.43 B,first quantum minerals,$8.29 B
995,ireland,$12.59 B,aercap holdings,$4.52 B
996,united states,$12.21 B,first horizon,$3.15 B
997,japan,$10.34 B,dentsu,$9.88 B
998,united states,$19.08 B,molina healthcare,$27.77 B
999,india,$3.62 B,union bank of india,$11.28 B
