01-DDD-investors,04-iGMM-selectinvestors
"china culture industrial investment fund, we capital, china minsheng investment group","institutional venture partners, crv, sequoia capital"
"hv capital, softbank group, blackrock","bmw i ventures, bhp ventures"
"localglobe, balderton capital, target global",rhone capital
"glory ventures, maniv mobility","faw group, tencent holdings, tus holdings"
"auriga, galeo ventures, highland europe","coatue managemeny, trinity ventures, matrix partners"
"thrive capital, khosla ventures, tiger global management","accel, tiger global management, nexus venture partners"
"kkr, towerbrook capital partners","warburg pincus, the rise fund, harbourvest partners"
the carlyle group,"aspect ventures, singtel innov8, greylock partners"
"accelm scania growth capital, lakestar","warburg pincus, general catalyst"
"tiantu capital, saif partners china, newsion venture capital","crv, accel, google ventures"
"ardian, tiger global management, kkr","accel, bain capital ventures, insight partners"
"mithril, inovia capital, foundry group","sequoia capital india, kae capital, accel"
"opus capital, genesis partners, battery ventures","chiratae ventures, march capital partners, national grid partners"
"spark capital, highland europe, sunstone capital","the blue venture fund, flare capital partners, longitude capital"
"upfront ventures, accel, industry ventures","fabric ventures, airtree ventures, temasek"
"redpoint ventures, prologis ventures, madrona venture group","stripes group, neuberger berman"
"lightspeed venture partners, khosla ventures, munich re ventures","sutter hill ventures, osage university partners, spark capital"
"china reform fund, gaopeng capital, jinhui xingye","tiger global management, the raine group, malabar investments"
"ant group, lazada, sinar mas indonesia","greycroft, loeb.nyc, dst global"
"draper fisher jurtson, qualcomm ventures, alibaba group","gic. apis partners, insight partners"
"artiman ventures, pitango venture capital, valo ventures","bessemer venture partners, pitango venture capital, d1 capital partners"
"forestay capital, alumni ventures, ntt docomo ventures","bessemer venture partners, eight roads ventures, battery ventures"
"general catalyst, bling capital, felicis ventures","soros fund management, ribbit capital, monashees+"
"pelion venture partners, foundation capital, thoma bravo","sequoia capital india, rtp global, go-ventures"
"venrock, innovation endeavors, insights partners","softbank group, crv, spark capital"
"firstmark capital, anthemis, cmfg ventures","shunwei capital partners, china media group, guangzhou huiyin aofeng equity investment fund"
"goodwater capital, floodgate, founders fund","shunwei capital partners, china media group, guangzhou huiyin aofeng equity investment fund"
"breakthrough energy ventures, material impact, 3x5 special opportunity partners","romulus capital, insight partners, redbird capital partners"
"qiming venture partners, yaxia automobile, far east horizon","google ventures, sequoia capital, wakefield group"
"source code capital, global logistic properties, k2vc","square peg capital, tdm growth partners, tiger global management"
"sequoia capital china, qiming venture partners, tencent holdings","info edge, softbank capital"
"weber investissements, schibsted growth","liberty city ventures, rre ventures, mithril capital management"
advent international,"norwest venture partners, aspect ventures, lightspeed venture partners"
"kleiner perkins caufield & byers, afore capital, founders fund","menlo ventures, ggv capital, flybridge capital partners"
"russia-china investment fund, tencent holdings, sequoia capital china","t. rowe price, dragoneer investment group, blackrock"
"pelion venture partners, foundation capital, thoma bravo","t. rowe price, lockheed martin ventures, fidelity investment"
cdib capital,"norwest venture partners, hillsven capital, aleph"
cvc capital partners,"the rise fund, fidelity investments. redbird capital partners"
"bessemer venture partners, g squared, insight partners","emergence capital partners, 8vc, chicago ventures"
"accel, better tomorrow ventures, flourish ventures","andreessen horowitz, data collective, roche venture fund"
"mendacre, brv capital management, liquid 2 ventures","octopus ventures, munich re ventures, commerzventures"
"paradigm, andreessen horowitz, jump capital","kibo ventures, softbank group, atomico"
"matrix partners, lightspeed venture partners, verizon ventures","imm investment, nxc"
"jungle ventures, helion venture partners, ingka investments","v fund, idg capital, green pine capital partners"
"firstmark capital, tiger global management, ftx venture","tencent holdings, goldman sachs"
"vision plus capital, 	source code capital, lightspeed venture partners","revolution, new enterprise associates, caterpillar"
"norwest venture partners, investcorp, blackstone","google ventures, index ventures, scale venture partners"
"advent international, battery ventures, sequoia capital israel","relay ventures, ttv capital, canapi ventures"
"kleiner perkins caufield & byers, crv, threshold ventures","temasek, google ventures, general catalyst"
"softbank latin america fund, advent international, balderton capital","summit partners, noshaq, sofinnova partners"
"ggv capital, tiger global management, greycroft","goodwater capital, warburg pincus, gs growth"
"mayfield, madrona venture group, tiger global management","softbank group, ame cloud ventures, signalfire"
"sequoia capital india, hummingbird ventures, epiq capital","accel, alven capital, storm ventures"
"craft ventures, caffeinated capital, operator collective","knox lane, ainge advisory, carlson private capital partners"
"qualcomm ventures, accel, canaan partners","founders fund, meritech capital partners, gs growth"
"polaris partners, insight partners, norwest venture partners",general atlantic
"insight partners, salesforce ventures, perpetual investors",sequoia capital
"ia ventures, khosla ventures, ame cloud ventures","expa, qed investors, foundation capital"
"idg capital, zhenfund, sequoia capital china","pantera capital, qed investors, coinbase ventures"
"partech partners, index ventures, quadrille capital","general atlantic, softbank group, atomico"
"newpath partners, google ventures, f-prime capital","andreessen horowitz, google ventures, section 32"
"version one ventures, bessemer venture partners, firstmark capital","eastern bell capital 32, sdic cmc investment management, trustbridge partners"
"sequoia capital china, lenovo capital and incubator, group gsr ventures","bain capital ventures, sixth street growth, lightspeed venture partners"
"source code capital, xvc venture capital, hillhouse capital management","general atlantic, breakthrough energy ventures, viking global investors"
"madrona venture group, kleiner perkins caufield & byers, highland capital partners","zhangjiang haocheng venture capital, walden international, intel capital"
"alibaba group, kkr, goldman sachs","deer park road, altamont capital partners, eldridge"
"georgian partners, silver lake, presidio ventures","lightspeed china partners, baidu ventures, qiming venture partners"
"creditease fintech investment fund, bmw i ventures, softbank group","sequoia capital china, banyan capital"
icg,"8vc, d1 capital partners, sway ventures"
"	crv, tiger global management, y combinator","8vc, menlo ventures, tiger global management"
"the column group, alexandria venture investments, lux capital","eight roads ventures, one peak partners, creandum"
"cool japan fund, jafco, the carlyle group","plug and play ventures, valor capital group, dst global"
"wamda capital, endeavor, riverwood capital","polychain capital, coinbase ventures, jump capital"
"l'occitane, trifecta capital, bessemer venture partners","softbank group, saif partners india, valiant capital partners"
"pantera capital, polychain capital, lightspeed venture partners","foundation capital, institutional venture partners, general catalyst"
"accel, greylock partners, meritech capital partners","vy capital, accel, elevation capital"
"swan & legend ventures, revolution growth, invus group","iconiq growth, bain capital ventures, summit partners"
"rpm ventures, inspiration ventures, carrick capital partners","lightspeed venture partners, sapphire ventures, kleiner perkins caufield & byers"
"sequoia capital india, hillhouse capital management, sunley house capital management","gsr ventures, sapphire ventures, streamlined ventures"
"forerunner ventures, institutional venture partners, thrive capital","accel, passion capital, balderton capital"
"index ventures, sequoia capital, bezos expeditions","cherry ventures, northzone ventures, global founders capital"
"accel, founder collective, brainchild holdings","tencent holdings, crv, clocktower technology ventures"
"tencent holdings, delta capital, redpoint ventures china","dragonfly capital, bai capital, 10t fund"
"madrona venture group, banner ventures, fj labs","molten ventures, contrarian ventures, hitachi ventures"
"g squared, uipath ventures, general catalyst",l capital partners
"javelin venture partners, struck capital, alumni ventures group","andreessen horowitz, coinbase ventures, circle ventures"
"dila capital, framework ventures, 3l","rre ventures, tiger global, august capital"
"trane technologies, honeywell","sequoia capital china, matrix partners china, 58.com"
"sequoia capital china, cmc capital partners, tencent holdings","accel partners, index ventures, insight venture partners"
"passion capital, hedosophia, outrun ventures","zheshang venture capital, gp capital, western capital management"
"sequoia capital, y combinator, accel","y combinator, matrix partners, benchmark"
"tencent holdings, utrust venture capital, gf xinde investment management co.","toyota motor corporation, mizuho financial group, fanuc"
"general catalyst, unkork capital, tencent holdings","pitango venture capital, dfj growth fund, foundry group"
"tencent holdings, tiger global management, global founders capital","sequoia capital china, china construction bank, bank of china"
nordic capital,"insight venture partners, tpg growth, sound ventures"
"tsg consumer partners, crowdcube","insight partners, tpg alternative & renewable technologies, ireland strategic investment fund"
"idg capital, yuanda venture investment, primitive forest holdings group","qiming venture partners, capital today, general atlantic"
"idg capital, gaocheng capital, chuanrong capital","nexus venture partners, tenaya capital, sequoia capital"
"leta capital, insight partners, general catalyst","ggv capital, idg capital, linear venture"
"nextech invest, casdin capital, google ventures","magma venture partners, pitango venture capital, qumra capital"
"dynamo vc, susa ventures, founders fund","bertelsmann asia investments, ggv capital, morningside venture capital"
"andreessen horowitz, prosus ventures, thrive capital","viola ventures, dell technologies capital, bain capital ventures"
"dark horse technology group, hopu investment management, kefa capital","matrix partners china, eastern bell capital, hongtai capital holdings"
"mitsubishi corporation, mayfair equity partners","blackrock, capitalg, world lab innovation"
"firstmark capital, tiger global management","caffeinated capital, obvious ventures, venrock"
qiming venture partners,blackstone
"caffeinated capital, initialized capital, y combinator","jerusalem venture partners, israel growth partners, insight partners"
"andreessen horowitz, bessemer venture partners, coatue management","tiantu capital, cmb international capital, vision knight capital"
"boldstart ventures, sap.io fund, scale venture partners","highland capital partners, oak hc/ft partners, emergence capital partners"
"chromo invest, maersk growth, blackrock","tomales bay capital, bain & company, general catalyst"
"general atlantic, cvs health, massmutual ventures","index ventures, creandum, accel"
"insight partners, b capital group, 	lightspeed venture partners","meritech capital partners, tiger global management, spectrum equity"
"initialized capital, general catalyst, kraken ventures","sequoia capital, google ventures, accel"
"liberty city ventures, soros fund management, summer capital","accel, frst, kima ventures"
"bessemer venture partners, insight partners, pitango venture capital","matrix partners china, sequoia capital china, genesis capital"
"left lane capital, walden venture capital","next47, mac venture capital, finvc"
"unity ventures, qiming venture partners, ggv capital","crv, blue cloud ventures, index ventures"
"insight partners, silversmith capital partners, spotify",undisclosed
"lightspeed venture partners, dell technologies capital, wipro ventures","alta ventures mexico, general atlantic, softbank group"
"coatue management, h capital, capital today","qualcomm ventures, softbank group. monashees+"
"zeev ventures, gsv ventures","insight partners, tiger global management, gradient ventures"
"signalfire, glp capital partners, google ventures","a&nn, rusnano"
"airtree ventures, insight partners, index ventures","tencent holdings, 5y capital, sequoia capital china"
"york capital management, ge healthcare, koch disruptive technologies","andreessen horowitz, caffeinated capital, scifi vc"
"bessemer venture partners, menlo ventures, anthermis","upfront ventures, tao capital partners, andreessen horowitz"
"bluecross blueshield venture partners, us venture partners","sequoia capital china, source code capital, redpoint ventures china"
"kaszek ventures, qed investors, international finance corporation","ignition partners, formation 8, crv"
"highland capital partners, next coast ventures, sogal ventures","japan post capital, globis capital partners, atomico"
"n5 capital, cr capital mgmt, jd digits","accel, d1 capita partners, greenoaks capital management"
innoventures capital partners,"rethink impact, work-bench, rre ventures"
"localglobe, kinnevik, felix capital","northern light venture capital, xiaomi, futurex capital"
"arch venture partners, ally bridge group","vision plus capital, gsr ventures, zhenfund"
"bertelsmann india investments, march capital partners, tribe capital, nirvana venture advisors","benchmark, altimeter capital, quiet capital"
"advantech capital, temasek holdings ltd., tiantu capital co.","obvious ventures, qualcomm ventures, andreessen horowitz"
goldman sachs,"northzone ventures, white star capital, novator partners"
"kleiner perkins caufield & byers, comcast ventures, insight partners","lightspeed venture partners, almaz capital partners, altimeter capital"
"qiming venture partners, china internet investment fund, qualcomm ventures","insight partners, warburg pincus, ayala corporation"
"sc.holdings, not boring capital, bolt ventures","k9 ventures, menlo ventures, andreessen horowitz"
"atinum investment, company k partners, gic","gauss ventures, ventura capital, dmg ventures"
"green pine capital partners, ivy capital, dcm ventures","claltech, vertex ventures, oryzn capital"
"8vc, bedrock capital, broom ventures","sequoia capital, paradigm, pantera capital"
"tencent holdings, glory ventures, shenzhen capital group","andreessen horowitz, kleiner perkins caufield & byers, eqt ventures"
"menlo ventures, resolute ventures, ia ventures","khosla ventures, green innovations, founders fund"
"marchmont ventures, bmw i ventures, index ventures","softbank group, maverick capital"
"desun capital, yunfeng capital, meridian capital","hopu investment management, boyu capital, dc thomson ventures"
"sequoia capital china, goldman sachs, matrix partners china","breega capital, iris capital, 360 capital partners"
"propel venture partners, monashees+, bbva","lightspeed venture partners, redpoint ventures, norwest venture partners"
"innovation endeavors, s28 capital, lightspeed venture partners","dcm ventures, idg capital, siam commercial bank"
"sequoia capital, four rivers group, dag ventures","blackstone, bessemer venture partners"
"contour venture partners, intel capital, silver lake","seed capital, greyhound capital, socii capital"
"lightspeed venture partners, access industries, eldridge","qualcomm ventures, accel, canaan partners"
"blackrock, tengelmann ventures, holtzbrinck ventures","matrix partners, north bridge venture partners, venrock"
"simon equity partners, wavemaker partners, anthem venture partners","tiger global management, lightspeed venture partners, hillhouse capital management"
"y combinator, s capital, tenaya capital","sequoia capital china, idg capital, qiming venture partners"
"refactor capital, andreessen horowitz, fifty years fund","betaworks ventures, addition, lux capital"
"signal peak ventures, owl ventures, jump capital","insight partners, kibo ventures, bessemer venture partners"
"sierra ventures, axa venture partners, sigma prime ventures","porsche, 	investindustrial, softbank group"
"goodwater capital, entree capital, valar ventures","volcanics ventures, vertex ventures china, warburg pincus"
"sequoia capital india, hummingbird ventures, matrix partners india","quiet ventures, etfs capital, collab+currency"
"greylock partners, general catalyst, khosla ventures","fifty years fund, refactor capital, temasek"
"qualcomm ventures, fireside ventures","black pearl ventures, stonebridge ventures, yuanta investment korea"
"durable capital partners, cercano management, 	t. rowe price","global founders capital, aglae ventures, alven capital"
"notion capital, kindred capital, bgf ventures","trustbridge partners, hony capital, idg capital"
"sequoia capital india, lightbox ventures, coatue management","firstmark capital, tiger global management, iconiq capital"
"kkr, aspenwood ventures, spark capital","k2vc, lightspeed china partners, sky9 capital"
"imm investment, mirae asset capital, bond","point72 ventures, pelion venture partners, commerce ventures"
"bessemer venture partners, vintage investment partners, blumberg capital","venrock, cvf capital partners, arch venture partners"
undisclosed,"tiger global management, sequoia capital india, ribbit capital"
"tlv partners, zeev ventures, bessemer venture partners","e.ventures, bain capital ventures, greycroft"
"seaya ventures, otter rock capital, rakuten","khosla ventures, bain capital ventures, lightspeed venture partners"
"andreessen horowitz, initialized capital, triplepoint capital","benchmark, sequoia capital, tpg capital"
"new enterprise associates, tiger global management, tencent","sixth street partners, declaration partners, maverick ventures israel"
"new enterprise associates, crv, index ventures","bain capital ventures, softbank group, fifth wall ventures"
"global founders capital, comcast ventures, forerunner ventures","btov partners, geely, intel capital"
"bnp paribas, goldman sachs, google",automobile industry guidance fund
"eastern bell capital, sf holding co, sto express","salesforce ventures, atp investment, kt investment"
"phoenix new media, tianjin haihe industry fund","the carlyle group, cvc capital partners"
"eqt partners, blackstone","founders fund, khosla ventures, goldman sachs"
"newion partners, smartfin capital, omers ventures","fashion tech lab, fidelity investments, vast ventures"
"initialized capital, canaan partners, sound ventures","google ventures, kleiner perkins caufield & byers, stripes group"
"mayfield, accel, norwest venture partners","viola ventures, insight partners, claltech, goldman sachs"
"march capital partners, temasek, doha venture capital","sosv, khosla ventures, lerer hippeau"
"kickstart fund, general catalyst, drive capital","gunosy capital, blume ventures, das capital"
"bonfire ventures, two sigma ventures, fj labs","future ventures, apeiron investment group, moore capital management"
taigang venture capital,"jiangsu sha steel group, shanghai puyin industry, funa yuanchuang technology"
"left lane capital, clocktower technology ventures, jump capital","blumberg capital, american express ventures, bdc venture capital"
"index ventures, thrive capital, bain capital ventures","general catalyst, eleation capital, avenir growth capital"
"trinity ventures, fifth wall ventures, openview venture partners","bain capital ventures, founders fund, winklevoss capital"
"slow ventures, andreessen horowitz, softbank group","yl ventures, redpoint ventures, ggv capital"
"eastern bell capital, capital today, longzhu capital","redpoint ventures, qiming venture partners, chengwei capital"
"sequoia capital china, china life investment holding company, qiming venture partners","viking global investors, gs growth, blackrock"
"china grand prosperity investment, csc group","thrive capital, tiger global management, temasek"
"marathon venture partners, huagai capital, china creation ventures","tao capital partners, global asset capital, tiger global management"
"boxgroup, energy impact partners, camber creek","alta partners, questa capital, echo health ventures"
"viking global investors, riverwood capital, lightrock","liberty global ventures, sageview capital, blue cloud ventures"
"defi technologies, hypersphere ventures, m13","lightspeed venture partners, google ventures, general catalyst"
"general catalyst, origin ventures, fontinalis partners","sequoia capital, uncork capital, salesforce ventures"
"bessemer venture partners, builders vc, general catalyst","general catalyst, samsung next, cvs health partners"
"amplify partners, addition, madrona venture group","altitude life science ventures, softbank group, alaska permanent fund"
"kalaari capital, norwest venture partners, prosus ventures","a16z crypto, variant fund, paradigm"
"ding xiang capital, new hope fund, sino-ocean capital","jungle ventures, square peg capital, openspace ventures"
"global emerging markets, sram & mram group, marshland capital","insight partners, sequoia capital, index ventures"
"baidu, tencent holdings","threshold ventures, baseline ventures, harrison metal"
"bmw i ventures, metaplanet, maersk growth","stripe, founders fund, partech partners"
"temasek,	build capital partners, 	northzone ventures","eurazeo, idinvest partners, balderton capital"
general atlantic,"datatribe, energy impact partners, allegiscyber capital"
"redpoint ventures, norwest venture partners, sierra ventures","crosslink capital, .406 ventures, sapphire ventures"
"new enterprise associates, matrix partmers, susa ventures","nexus venture partners, transamerica ventures, crane venture partners"
"accel, institutional venture partners, tiger global management","greycroft, lerer hippeau, geekdom fund"
"sodexo ventures, softbank group","gobi partners, 500 startups, ondine capital"
"index ventures, eight roads ventures, general atlantic","index ventures, kleiner perkins caufield & byers, bessemer venture partners"
"l catterton, franklin templeton, first light capital group","softbank group, access industries, crossbeam venture partners"
"accel, benchmark, sv angel","paradigm, huobi ventures, andreessen horowitz"
"samsung ventures, singulariteam, bp ventures","obvious ventures, andreessen horowitz, nfx"
"sequoia capital, general catalyst, 	human capital","boxin capital, dt capital partners, idg capital"
"redpoint e.ventures, valor capital group, softbank latin america fund","alta partners, general catalyst, jove equity partners"
"chiratae ventures, accel, kalaari capital","alpha wave global, matrix partners india, tiger global management"
"psg, ion crossover partners","cybernaut growth fund, idg capital"
"accomplice, polychain capital, goldentree asset management","yabeo capital, sbi investment, vulcan capital"
"insight partners, softbank group, connect ventures","crosslink capital, meritech capital partners, lightspeed venture partners"
"brighton park capital, blue cloud ventures, workday ventures","tpg growth, goldman sachs"
"nyca partners, index ventures, technology crossover ventures",gam holding
"ant group, charoen pokphand group, bow wave capital","people electrical appliance group china, zhongrong international trust"
"spark capital, google ventures, cre venture capital","sequoia capital, bain capital ventures, enaya capital"
"vgames, lakestar, galaxy interactive","mayfield fund, shasta ventures, l catterton"
"scale venture partners, sapphire ventures, battery ventures","omers private equity, t. rowe price, technology crossover ventures"
"coatue management, index ventures, founders fund","blackbird ventures, indexventures, tiger global management"
"felicis ventures, index ventures, blackbird ventures","ggv capital, accel, redpoint ventures"
"insight partners, coinbase ventures, paypal ventures","andreessen horowitz, greylock partners, sequoia capital"
"global founders capital, shea ventures, greycroft","greatpoint ventures, meritech capital partners, paypal ventures"
"redpoint ventures, providence equity partners, silversmith capital partners","altitude life science ventures. t. rowe price, morningside venture partners"
"source code capital, coatue management, dcm ventures","technology crossover ventures, accel, aker"
"kaszek ventures, sosv, tiger global management","march capital partners, hof capital, emergence capital partners"
"amiti ventures, playground global, aleph","beenext, world innovation lab, light street capital"
"sequoia capital, y combinator, f-prime capital","andreessen horowitz, coatue management, clocktower technology ventures"
"mayfield fund, insight partners, rembrandt venture partners","zeev ventures, menlo ventures,crosslink capital"
"deciens capital, bezos expeditions, 500 startups","initialized capital, sound ventures, ti platform management"
"moonshots capital, boxgroup, blu venture investors","insight venture partners, iconiq capital, launchpad venture group"
"rubicon technology partners, max ventures, inclusive capital partners","qed investors, dst global, left lane capital"
"max ventures, mangrove capital partners, 14w","sequoia capital, index ventures, s capital"
"jackson square ventures, madrone capital partners, sequoia capital","general catalyst, baltcap, novator partners"
"norwest venture partners, accel, tiger global management","craft ventures, sequoia capital, verissimo ventures"
"digital currency group, draper esprit, korelya capital","sequoia capital, lightspeed venture partners, paradigm"
"new enterprise associates, founders fund, google ventures","y combinator, 	andreessen horowitz, bessemer venture partners"
"source code capital, meituan dianping, tencent holdings","ifc, ajinomoto"
"alibaba group, china everbright investment management, yinxinggu capital","shunwei capital partners, 5y capital, legend capital"
softbank group,"moderne ventures, oakhouse partners, bjarke ingels group"
"morningside ventures, capital today, joy capital","guiyang venture capital, longfor capital, caogenzhiben group"
"legend capital, cdh investments, sequoia capital china","bessemer venture partners, eniac ventures, canapi ventures"
"trustbridge partners, idg capital, sequoia capital china","guozhong venture capital management, shenzhen capital group, oriental fortune capital"
"ggv capital, qiming venture partnersl","centurium capital, cedarlake capital, unicom innovation venture capital"
"sequoia capital, general atlantic","sequoia capital china, warburg pincus, idg capital"
"volkswagen, access industries, vostok new ventures","ce-ventures, beco capital, nordstar"
"warburg pincus, aviation industry corporation of china","kleiner perkins caufield & byers, sequoia capital, general catalyst"
"mpm capital, astellas venture management, f2 ventures","china creation ventures, sierra ventures, xingwang investment management"
anglo american,"alibaba group,co-stone venture capital, buhuo venture capital"
"clocktower technology ventures, dila capital, kaszek ventures","idg capital, puluo capital, midea capital"
"insight partners, altair capital, norma investments","insight partners, altair capital, norma investments"
"alibaba group,co-stone venture capital, buhuo venture capital","mundi ventures, doqling capital partners, activant capital"
"foundation capital, institutional venture partners, founders capital","camber creek, kairos hq, fifth wall ventures"
"camber creek, kairos hq, fifth wall ventures","sequoia capital, general atlantic"
"sequoia capital china, warburg pincus, idg capital","clocktower technology ventures, dila capital, kaszek ventures"
"guiyang venture capital, longfor capital, caogenzhiben group","foundation capital, institutional venture partners, founders capital"
"guozhong venture capital management, shenzhen capital group, oriental fortune capital","mpm capital, astellas venture management, f2 ventures"
"kleiner perkins caufield & byers, sequoia capital, general catalyst","ggv capital, qiming venture partnersl"
"moderne ventures, oakhouse partners, bjarke ingels group","warburg pincus, aviation industry corporation of china"
"china creation ventures, sierra ventures, xingwang investment management","volkswagen, access industries, vostok new ventures"
"shunwei capital partners, 5y capital, legend capital","alibaba group, china everbright investment management, yinxinggu capital"
"centurium capital, cedarlake capital, unicom innovation venture capital","trustbridge partners, idg capital, sequoia capital china"
"bessemer venture partners, eniac ventures, canapi ventures","morningside ventures, capital today, joy capital"
"ifc, ajinomoto","legend capital, cdh investments, sequoia capital china"
"general catalyst, baltcap, novator partners","source code capital, meituan dianping, tencent holdings"
"y combinator, 	andreessen horowitz, bessemer venture partners",softbank group
"ce-ventures, beco capital, nordstar","new enterprise associates, founders fund, google ventures"
"craft ventures, sequoia capital, verissimo ventures","jackson square ventures, madrone capital partners, sequoia capital"
"initialized capital, sound ventures, ti platform management","norwest venture partners, accel, tiger global management"
"qed investors, dst global, left lane capital","max ventures, mangrove capital partners, 14w"
"andreessen horowitz, coatue management, clocktower technology ventures","rubicon technology partners, max ventures, inclusive capital partners"
"march capital partners, hof capital, emergence capital partners","moonshots capital, boxgroup, blu venture investors"
"altitude life science ventures. t. rowe price, morningside venture partners","sequoia capital, y combinator, f-prime capital"
"sequoia capital, lightspeed venture partners, paradigm","deciens capital, bezos expeditions, 500 startups"
"insight venture partners, iconiq capital, launchpad venture group","digital currency group, draper esprit, korelya capital"
"zeev ventures, menlo ventures,crosslink capital","amiti ventures, playground global, aleph"
"beenext, world innovation lab, light street capital","source code capital, coatue management, dcm ventures"
"technology crossover ventures, accel, aker","redpoint ventures, providence equity partners, silversmith capital partners"
"andreessen horowitz, greylock partners, sequoia capital","mayfield fund, insight partners, rembrandt venture partners"
"greatpoint ventures, meritech capital partners, paypal ventures","kaszek ventures, sosv, tiger global management"
"omers private equity, t. rowe price, technology crossover ventures","felicis ventures, index ventures, blackbird ventures"
"blackbird ventures, indexventures, tiger global management","insight partners, coinbase ventures, paypal ventures"
"ggv capital, accel, redpoint ventures","global founders capital, shea ventures, greycroft"
"sequoia capital, index ventures, s capital","vgames, lakestar, galaxy interactive"
"sequoia capital, bain capital ventures, enaya capital","scale venture partners, sapphire ventures, battery ventures"
"people electrical appliance group china, zhongrong international trust","coatue management, index ventures, founders fund"
gam holding,"ant group, charoen pokphand group, bow wave capital"
"tpg growth, goldman sachs","spark capital, google ventures, cre venture capital"
"mayfield fund, shasta ventures, l catterton","nyca partners, index ventures, technology crossover ventures"
"alpha wave global, matrix partners india, tiger global management","insight partners, softbank group, connect ventures"
"alta partners, general catalyst, jove equity partners","accomplice, polychain capital, goldentree asset management"
"yabeo capital, sbi investment, vulcan capital","psg, ion crossover partners"
"boxin capital, dt capital partners, idg capital","chiratae ventures, accel, kalaari capital"
"paradigm, huobi ventures, andreessen horowitz","redpoint e.ventures, valor capital group, softbank latin america fund"
"softbank group, access industries, crossbeam venture partners","brighton park capital, blue cloud ventures, workday ventures"
"greycroft, lerer hippeau, geekdom fund","accel, benchmark, sv angel"
"nexus venture partners, transamerica ventures, crane venture partners","samsung ventures, singulariteam, bp ventures"
"crosslink capital, .406 ventures, sapphire ventures","l catterton, franklin templeton, first light capital group"
"threshold ventures, baseline ventures, harrison metal","index ventures, eight roads ventures, general atlantic"
"datatribe, energy impact partners, allegiscyber capital","accel, institutional venture partners, tiger global management"
"jungle ventures, square peg capital, openspace ventures","sequoia capital, general catalyst, 	human capital"
"general catalyst, samsung next, cvs health partners","kalaari capital, norwest venture partners, prosus ventures"
"lightspeed venture partners, google ventures, general catalyst","general catalyst, origin ventures, fontinalis partners"
"cybernaut growth fund, idg capital","amplify partners, addition, madrona venture group"
"sequoia capital, uncork capital, salesforce ventures","redpoint ventures, norwest venture partners, sierra ventures"
"insight partners, sequoia capital, index ventures","sodexo ventures, softbank group"
"obvious ventures, andreessen horowitz, nfx","defi technologies, hypersphere ventures, m13"
"tao capital partners, global asset capital, tiger global management","bessemer venture partners, builders vc, general catalyst"
"alta partners, questa capital, echo health ventures","new enterprise associates, matrix partmers, susa ventures"
"gobi partners, 500 startups, ondine capital","viking global investors, riverwood capital, lightrock"
"thrive capital, tiger global management, temasek","bmw i ventures, metaplanet, maersk growth"
"viking global investors, gs growth, blackrock","global emerging markets, sram & mram group, marshland capital"
"bain capital ventures, founders fund, winklevoss capital","eastern bell capital, capital today, longzhu capital"
"yl ventures, redpoint ventures, ggv capital","china grand prosperity investment, csc group"
"stripe, founders fund, partech partners","boxgroup, energy impact partners, camber creek"
"a16z crypto, variant fund, paradigm","marathon venture partners, huagai capital, china creation ventures"
"index ventures, kleiner perkins caufield & byers, bessemer venture partners","baidu, tencent holdings"
"altitude life science ventures, softbank group, alaska permanent fund","ding xiang capital, new hope fund, sino-ocean capital"
"blumberg capital, american express ventures, bdc venture capital",taigang venture capital
"eurazeo, idinvest partners, balderton capital",general atlantic
"general catalyst, eleation capital, avenir growth capital","left lane capital, clocktower technology ventures, jump capital"
"future ventures, apeiron investment group, moore capital management","slow ventures, andreessen horowitz, softbank group"
"jiangsu sha steel group, shanghai puyin industry, funa yuanchuang technology","temasek,	build capital partners, 	northzone ventures"
"crosslink capital, meritech capital partners, lightspeed venture partners","index ventures, thrive capital, bain capital ventures"
"google ventures, kleiner perkins caufield & byers, stripes group","sequoia capital china, china life investment holding company, qiming venture partners"
"gunosy capital, blume ventures, das capital","kickstart fund, general catalyst, drive capital"
"salesforce ventures, atp investment, kt investment","mayfield, accel, norwest venture partners"
"bain capital ventures, softbank group, fifth wall ventures","initialized capital, canaan partners, sound ventures"
"fashion tech lab, fidelity investments, vast ventures","bonfire ventures, two sigma ventures, fj labs"
"founders fund, khosla ventures, goldman sachs","andreessen horowitz, initialized capital, triplepoint capital"
"e.ventures, bain capital ventures, greycroft","newion partners, smartfin capital, omers ventures"
"tiger global management, sequoia capital india, ribbit capital","march capital partners, temasek, doha venture capital"
"k2vc, lightspeed china partners, sky9 capital","tlv partners, zeev ventures, bessemer venture partners"
"point72 ventures, pelion venture partners, commerce ventures","new enterprise associates, tiger global management, tencent"
"sixth street partners, declaration partners, maverick ventures israel","bnp paribas, goldman sachs, google"
"global founders capital, aglae ventures, alven capital","phoenix new media, tianjin haihe industry fund"
"fifty years fund, refactor capital, temasek","seaya ventures, otter rock capital, rakuten"
"volcanics ventures, vertex ventures china, warburg pincus","eastern bell capital, sf holding co, sto express"
"porsche, 	investindustrial, softbank group","global founders capital, comcast ventures, forerunner ventures"
"betaworks ventures, addition, lux capital","new enterprise associates, crv, index ventures"
"sequoia capital china, idg capital, qiming venture partners","eqt partners, blackstone"
"qualcomm ventures, accel, canaan partners","bessemer venture partners, vintage investment partners, blumberg capital"
"sosv, khosla ventures, lerer hippeau","sequoia capital india, lightbox ventures, coatue management"
