,name,trade_name,address_name,postalcode,city,state,country,location_type
1322,ALLIANZ GLOBAL CORPORATE & SPECIALTY NORTH AMERICA,,28 LIBERTY ST FL 24,100051400,NEW YORK,New York(NY),UNITED STATES,Single address
1323,MERRILL LYNCH INTERNATIONAL,,2 King Edward Street,              EC1A 1HQ,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1324,CHRISTIES SRL,,VIA CORTESA 12/A,46026,QUISTELLO,ITALY,ITALY,Single address
1325,BLACKSTONE REAL ESTATE SPECIAL SITUATIONS ADVISORS L.L.C.,,345 PARK AVE STE 1100,101541703,NEW YORK,New York(NY),UNITED STATES,Single address
1326,LIMELIFE BY ALCONE (UK) LTD,,Procession House 55 Ludgate Hill,              EC4M 7JW,LONDON,UNITED KINGDOM,UNITED KINGDOM,Single address
1327,FINANZIARIA REGIONALE FRIULI VENEZIA GIULIA SPA,,VIA VITTORIO LOCCHI 19,34143,TRIESTE,ITALY,ITALY,Headquarter
1328,,,,,,,,
1329,NTT EUROPE LTD.,,1 King William Street,              EC4N 7AR,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1330,ANACAP FP SRL,,VIA PIETRO PALEOCAPA 1,20121,MILANO,ITALY,ITALY,Single address
1331,FOURSIGHT CAPITAL LLC,,2783 S LEADERSHIP CT. STE 400,841208210,SALT LAKE CITY,Utah(UT),UNITED STATES,Single address
1332,,,,,,,,
1333,ZURICH ITALY BANK SPA,,VIA BENIGNO CRESPI 23,20159,MILANO,ITALY,ITALY,Single address
1334,,,,,,,,
1335,NTT LIMITED,,1 King William Street,              EC4N 7AR,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1336,INTEGRATED DEVICE TECHNOLOGY SRL,,VIALE VINCENZO LANCETTI 43,20158,MILANO,ITALY,ITALY,Single address
1337,SAN FRANCISCO STATE UNIVERSITY,,1600 HOLLOWAY AVE,941321740,SAN FRANCISCO,California(CA),UNITED STATES,Headquarter
1338,BUDGET GROUP LIMITED,Nig Skandia,Crown House 145 City Road,              EC1V 1JY,LONDON,UNITED KINGDOM,UNITED KINGDOM,
1339,CGI ITALIA SRL,,PIAZZA FILIPPO MEDA 3,20121,MILANO,ITALY,ITALY,Headquarter
1340,RECOLOGY INC.,,50 CALIFORNIA ST 24TH FL,941114796,SAN FRANCISCO,California(CA),UNITED STATES,Headquarter
1341,SUTTONS TANKERS LIMITED,,Gorsey Lane,              WA8 0GG,WIDNES,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1342,PERMASTEELISA SPA,,VIA ENRICO MATTEI 21/23,31029,VITTORIO VENETO (SAN GIACOMO ),ITALY,ITALY,Headquarter
1343,,,,,,,,
1344,ANOTECH ENERGY GLOBAL SOLUTIONS LIMITED,,1st Floor 41 Moorgate,              EC2R 6PP,LONDON,UNITED KINGDOM,UNITED KINGDOM,Single address
1345,STM PHARMA PRO SRL,,VIA XXV APRILE 56,20040,CAMBIAGO,ITALY,ITALY,Headquarter
1346,,,,,,,,
1347,ANOTECH ENERGY SERVICES LIMITED,,1st Floor 41 Moorgate,              EC2R 6PP,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1348,UNION GAS METANO SPA,,VIA DOMENICO SCARLATTI 30,20124,MILANO,ITALY,ITALY,Headquarter
1349,,,,,,,,
1350,AVIVA INSURANCE LIMITED,,Pitheavlis,              PH2 0NH,PERTH,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1351,EMERSON AUTOMATION SOLUTIONS FINAL CONTROL ITALIA SRL,,VIA PIACENZA SNC,29018,LUGAGNANO VAL D'ARDA,ITALY,ITALY,Headquarter
1352,,,,,,,,
1353,WE ARE SOCIAL LTD,,Alphabeta 14-18 Finsbury Square,              EC2A 1BR,LONDON,UNITED KINGDOM,UNITED KINGDOM,Single address
1354,EMERSON PROCESS MANAGEMENT SRL,,VIA MONTELLO 71/73,20831,SEREGNO,ITALY,ITALY,Headquarter
1355,AMERICAN EXPRESS COMPANY,,200 VESEY ST,102850002,NEW YORK,New York(NY),UNITED STATES,Headquarter
1356,ONE51 ES PLASTICS (UK) LIMITED,IPL GLOBAL,BARBOT HALL INDUSTRIAL ESTATE MANGHAM ROAD,              S61 4RJ,ROTHERHAM,UNITED KINGDOM,UNITED KINGDOM,
1357,LANSERHOF SRL,,VIALE DELLA STAZIONE 5,39100,BOLZANO,ITALY,ITALY,Single address
1358,,,,,,,,
1359,SPEYSIDE COOPERAGE LIMITED,,Dufftown Road Craigellachie,              AB38 9RS,ABERLOUR,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1360,GILBARCO SRL,,VIA DE' CATTANI 220/G,50145,FIRENZE,ITALY,ITALY,Single address
1361,AMERICAN EXPRESS CREDIT CORPORATION,AMERICAN EXPRESS,200 VESEY ST,102850002,NEW YORK,New York(NY),UNITED STATES,Headquarter
1362,ISLA COOPERAGE COMPANY LIMITED,,Isla Road,              AB55 5DQ,KEITH,UNITED KINGDOM,UNITED KINGDOM,Single address
1363,GILBARCO ITALIA SRL,,VIA DEI CATTANI 220/G,50145,FIRENZE,ITALY,ITALY,Headquarter
1364,,,,,,,,
1365,,,,,,,,
1366,ELETTROMAULE COMPONENT SRL,,VIA BORELLI 18/20,36075,MONTECCHIO MAGGIORE,ITALY,ITALY,Headquarter
1367,AMERICAN EXPRESS LIMITED,,200 VESEY ST,102850002,NEW YORK,New York(NY),UNITED STATES,Headquarter
1368,ORANO UK LIMITED,,Suite 7 Hitching Court Abingdon Business Park,              OX14 1RA,ABINGDON,UNITED KINGDOM,UNITED KINGDOM,Single address
1369,PRE GEL SPA,,VIA XI SETTEMBRE 2001 5/A,42019,SCANDIANO (ARCETO ),ITALY,ITALY,Headquarter
1370,AMERICAN EXPRESS EUROPE LLC,AMERICAN EXPRESS,200 VESEY ST,102850002,NEW YORK,New York(NY),UNITED STATES,Headquarter
1371,RAYMOND GUBBAY LIMITED,,1 Ely Place,              EC1N 6RY,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1372,THE'LIOS SPA,,ZONA INDUSTRIALE VILLANOVA 16,32013,LONGARONE,ITALY,ITALY,Headquarter
1373,,,,,,,,
1374,MARKEL EUROPE LIMITED,,20 Fenchurch Street,              EC3M 3AZ,LONDON,UNITED KINGDOM,UNITED KINGDOM,Single address
1375,OFFICINE MACCAFERRI SPA,,VIA JOHN FITZGERALD KENNEDY 10,40069,ZOLA PREDOSA,ITALY,ITALY,Headquarter
1376,,,,,,,,
1377,MARKEL CAPITAL HOLDINGS LIMITED,,20 Fenchurch Street,              EC3M 3AZ,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1378,OFFICINE MACCAFERRI ITALIA SRL,,VIA JOHN FITZGERALD KENNEDY 10,40069,ZOLA PREDOSA,ITALY,ITALY,Headquarter
1379,,,,,,,,
1380,MARKEL INTERNATIONAL SERVICES LIMITED,MARKEL,20 Fenchurch Street,              EC3M 3AZ,LONDON,UNITED KINGDOM,UNITED KINGDOM,
1381,MACCAFERRI INNOVATION CENTER SRL,,VIA IPAZIA 2,39100,BOLZANO,ITALY,ITALY,Headquarter
1382,SIGN A RAMA INC.,,2121 VISTA PKWY,334112706,WEST PALM BEACH,Florida(FL),UNITED STATES,Headquarter
1383,,,,,,,,
1384,BNP PARIBAS SECURITIES SERVICES,,PIAZZA LINA BO BARDI 3,20124,MILANO,ITALY,ITALY,Headquarter
1385,FIBERVISIONS CORPORATION,,3700 CREST WOOD PKWY STE 900,300967172,DULUTH,Georgia(GA),UNITED STATES,Headquarter
1386,CLIPPER LOGISTICS LIMITED,CLIPPER,Armitage Road,              HD6 1UJ,BRIGHOUSE,UNITED KINGDOM,UNITED KINGDOM,
1387,BIO HABITAT ITALIA SPA,,VIA SUORE 11,40050,CASTELLO D'ARGILE,ITALY,ITALY,Headquarter
1388,,,,,,,,
1389,EUROPE DOMAINS LTD,,DEPT 886 43 OWSTON ROAD CARCROFT,              DN6 8DA,DONCASTER,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1390,BASIC NET SPA,,LARGO MAURIZIO VITALE 1,10152,TORINO,ITALY,ITALY,Headquarter
1391,REUTERS NEWS & MEDIA INC.,,3 TIMES SQ 12TH FL,100366567,NEW YORK,New York(NY),UNITED STATES,Single address
1392,INTEL CORPORATION (UK) LIMITED,Intel,Pipers Way,              SN3 1RJ,SWINDON,UNITED KINGDOM,UNITED KINGDOM,
1393,WHIRLPOOL EMEA SPA,,STRADA PROVINCIALE ARCEVIESE 139/A,60044,FABRIANO (CA' MAIANO ),ITALY,ITALY,Headquarter
1394,INTERNATIONAL GAME TECHNOLOGY,,6355 S BUFFALO DR,891132133,LAS VEGAS,Nevada(NV),UNITED STATES,Headquarter
1395,CREW CLOTHING CO. LIMITED,,20 Lydden Road,              SW18 4LR,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1396,WHIRLPOOL ITALIA SRL,,VIA CARLO PISACANE 1,20016,PERO,ITALY,ITALY,Headquarter
1397,,,,,,,,
1398,OPTICAL EXPRESS (HOLDINGS) LIMITED,,5 Deerdykes Road,              G68 9HF,GLASGOW,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1399,WHIRLPOOL MANAGEMENT EMEA SRL,,VIA CARLO PISACANE 1,20016,PERO,ITALY,ITALY,Headquarter
1400,,,,,,,,
1401,NORTH WEST (AEROTOOLING) LTD.,,Victoria Road Hyde Industrial Estate,              SK16 4UP,DUKINFIELD,UNITED KINGDOM,UNITED KINGDOM,Single address
1402,BELENERGIA MEZZ FINANCE SRL,,PIAZZA VELASCA 4,20122,MILANO,ITALY,ITALY,Headquarter
1403,,,,,,,,
1404,,,,,,,,
1405,BELENERGIA SPA,,VIA GABRIO SERBELLONI 5,20122,MILANO,ITALY,ITALY,Headquarter
1406,,,,,,,,
1407,CUADRILLA RESOURCES LIMITED,,3000 Aviator Way Manchester Business Park,              M22 5TG,MANCHESTER,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1408,OTB SPA,,VIA DELL\'INDUSTRIA 2,36042,BREGANZE,ITALY,ITALY,Headquarter
1409,BRAVO MEDIA LLC,,30 ROCKEFELLER PLZ 8TH FL,101120015,NEW YORK,New York(NY),UNITED STATES,Single address
1410,,,,,,,,
1411,ISTITUTO ITALIANO DEL MARCHIO DI QUALITA' SPA,,VIA MARCO FABIO QUINTILIANO 43,20138,MILANO,ITALY,ITALY,Headquarter
1412,AUTISM SPECTRUM THERAPIES ILLINOIS LLC,,2700 PATRIOT BLVD #250,600268021,GLENVIEW,Illinois(IL),UNITED STATES,Single address
1413,TREVES UK LIMITED,,Farnham Lane Farnham,              HG5 9JR,KNARESBOROUGH,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1414,HB BOSCARINI SPA,,VIA FOGLIA 11,61026,LUNANO,ITALY,ITALY,Headquarter
1415,QUALCOMM INCORPORATED,,5775 MOREHOUSE DR,921211714,SAN DIEGO,California(CA),UNITED STATES,Headquarter
1416,CITIZENM LONDON BANKSIDE OPERATIONS B.V.,CITIZEN M HOTEL,Surrey House 20 Lavington Street,              SE1 0NZ,LONDON,UNITED KINGDOM,UNITED KINGDOM,
1417,ANTICA FARMACEUTICA LUCCHESE SRL,,VIA DELLE CORNACCHIE 960/H,55100,LUCCA (SAN VITO ),ITALY,ITALY,Single address
1418,,,,,,,,
1419,MEDIACOM UK LIMITED,,124 Theobalds Road,              WC1X 8RX,LONDON,UNITED KINGDOM,UNITED KINGDOM,Single address
1420,PHSHOP SRL,,VIA FERRANTE IMPARATO 190 PIANO SECONDO INT.37,80146,NAPOLI,ITALY,ITALY,Headquarter
1421,,,,,,,,
1422,MEDIACOM GROUP LIMITED,,124 Theobalds Road,              WC1X 8RX,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1423,COLOMION SPA,,CAMPO SMITH REG. MOLINO 18,10052,BARDONECCHIA,ITALY,ITALY,Headquarter
1424,MAPLEBEAR INC.,,50 BEALE ST STE 600,941051871,SAN FRANCISCO,California(CA),UNITED STATES,Headquarter
1425,MEDIACOM NORTH LIMITED,,1 Hardman Street,              M3 3HF,MANCHESTER,UNITED KINGDOM,UNITED KINGDOM,Single address
1426,LINIFICIO E CANAPIFICIO NAZIONALE SRL SOCIETA' BENEFIT,,VIA GHIAIE 55,24018,VILLA D'ALME',ITALY,ITALY,Headquarter
1427,INSTACART,,11751 MISSISSIPPI AVE,900256100,LOS ANGELES,California(CA),UNITED STATES,Single address
1428,RICOH EUROPE PLC,,20 Triton Street,              NW1 3BF,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1429,UNICREDIT SPA,,PIAZZA GAE AULENTI 3 TOWER A,20154,MILANO,ITALY,ITALY,Headquarter
1430,,,,,,,,
1431,RICOH EUROPE HOLDINGS PLC,,20 Triton Street,              NW1 3BF,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1432,PANINI SPA,,VIALE EMILIO PO 380,41126,MODENA,ITALY,ITALY,Headquarter
1433,PERFETTI VAN MELLE USA INC.,,3645 TURFWAY RD,410181165,ERLANGER,Kentucky(KY),UNITED STATES,Headquarter
1434,RICOH UK LIMITED,,20 Triton Street,              NW1 3BF,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1435,LCI ITALY SRL,,VIA ETRURIA 1,50026,SAN CASCIANO IN VAL DI PESA,ITALY,ITALY,Headquarter
1436,,,,,,,,
1437,RICOH EUROPE FINANCE LIMITED,,20 Triton Street,              NW1 3BF,LONDON,UNITED KINGDOM,UNITED KINGDOM,Single address
1438,GOOGLE ITALY SRL,,VIA FEDERICO CONFALONIERI 4,20124,MILANO,ITALY,ITALY,Headquarter
1439,,,,,,,,
1440,MET FILM LIMITED,,Ealing Studios Ealing Green,              W5 5EP,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1441,IRONMAN ITALY SRL,,VIA AGNELLO 8,20121,MILANO,ITALY,ITALY,Single address
1442,,,,,,,,
1443,CANVAS HOLIDAYS LIMITED,,East Port House,              KY12 7JG,DUNFERMLINE,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1444,HEXIS ITALIA SRL,,VIA MELOZZO DA FORLI' 41,20076,MEDIGLIA,ITALY,ITALY,Headquarter
1445,MASIMO CORPORATION,,52 DISCOVERY,926183105,IRVINE,California(CA),UNITED STATES,Headquarter
1446,CANVAS HOLDINGS LIMITED,Canvas Holidays,Boulevard De La Woluwe,              KY11 8PY,DUNFERMLINE,UNITED KINGDOM,UNITED KINGDOM,
1447,AIR HEX ALONTE SRL,,VIA DELLE ALBERE 5,36045,ALONTE,ITALY,ITALY,Headquarter
1448,TANK HOLDING CORP.,,6940 O ST STE 100,685102458,LINCOLN,Nebraska(NE),UNITED STATES,Headquarter
1449,INVESTEC 1 LIMITED,,2 Gresham Street,              EC2V 7QP,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1450,DEMETRA SPA,,VIA EFREM NOBILI 44,40062,MOLINELLA,ITALY,ITALY,Headquarter
1451,,,,,,,,
1452,INVESTEC BANK PLC,,30 Gresham Street,              EC2V 7QP,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1453,STATE STREET BANK INTERNATIONAL GMBH,,VIA FERRANTE APORTI 10,20125,MILANO,ITALY,ITALY,Headquarter
1454,METRO-GOLDWYN-MAYER STUDIOS INC.,,245 N BEVERLY DR,902105319,BEVERLY HILLS,California(CA),UNITED STATES,Headquarter
1455,INVESTEC GROUP INVESTMENTS (UK) LIMITED,INVESTEC,30 GRESHAM STREET,              EC2V 7QP,LONDON,UNITED KINGDOM,UNITED KINGDOM,
1456,KODAK SPA,,VIA GIACOMO MATTEOTTI 62,20092,CINISELLO BALSAMO,ITALY,ITALY,Single address
1457,METRO-GOLDWYN-MAYER PICTURES INC.,,10900 WILSHIRE BLVD STE 1500,900246529,LOS ANGELES,California(CA),UNITED STATES,Headquarter
1458,INVESTEC WEALTH & INVESTMENT LIMITED,,4TH FLOOR 5 GEORGE SQUARE,              G2 1DY,GLASGOW,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1459,WITHSECURE SRL,,VIA VITTOR PISANI 15,20124,MILANO,ITALY,ITALY,Headquarter
1460,,,,,,,,
1461,NINETY ONE UK LIMITED,,55 Gresham Street,              EC2V 7EL,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1462,BERTIN ITALIA SRL,,VIA DINO COL 6 R,16149,GENOVA ((IVI DAL 01/04/2020) ),ITALY,ITALY,Single address
1463,,,,,,,,
1464,RICHARD BAKER HARRISON LIMITED,RBH,Marsh Trees House Marsh Parade,              ST5 1BT,NEWCASTLE,UNITED KINGDOM,UNITED KINGDOM,
1465,ALTHEA SPA,,RIVA TOMMASO GULLI 12,34123,TRIESTE,ITALY,ITALY,Headquarter
1466,,,,,,,,
1467,,,,,,,,
1468,GIORGIO GORI SRL,,VIA GOFFREDO LEPORI 9,57014,COLLESALVETTI (STAGNO ),ITALY,ITALY,Headquarter
1469,,,,,,,,
1470,,,,,,,,
1471,ORDINE NAZIONALE DEI BIOLOGI DI ROMA,,VIA ICILIO 7,153,ROMA,ITALY,ITALY,Single address
1472,MSB AEROSPACE LLC,,7001 CHATHAM CENTER DRIVE STE 300,314051373,SAVANNAH,Georgia(GA),UNITED STATES,Single address
1473,FUMEX INSTALLATIONS LIMITED,,91 Seedlee Road Walton Summit Cent,              PR5 8AE,PRESTON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1474,TAORMINA HOTEL MANAGEMENT SRL,,PIAZZA SAN DOMENICO 5,98039,TAORMINA,ITALY,ITALY,Headquarter
1475,,,,,,,,
1476,CANDY KITTENS LIMITED,,7 Lyric Square,              W6 0ED,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1477,LOVATO ELECTRIC SPA,LOVATO SPA,VIA DON EMILIO MAZZA 12,24020,GORLE,ITALY,ITALY,
1478,,,,,,,,
1479,P&O FERRIES LIMITED,,Channel House Channel View Road,              CT17 9TJ,DOVER,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1480,,,,,,,,
1481,RIL USA INC.,,2050 W SAM HOUSTON PKWY S STE 1400,770423673,HOUSTON,Texas(TX),UNITED STATES,Single address
1482,BRAIDR LIMITED,,22 Charterhouse Square,              EC1M 6DX,LONDON,UNITED KINGDOM,UNITED KINGDOM,Single address
1483,TOD'S SPA,,VIA FILIPPO DELLA VALLE 1,63811,SANT'ELPIDIO A MARE (BRANCADORO ),ITALY,ITALY,Headquarter
1484,NOVELIS INC.,,3560 LENOX RD STE 2000,303264271,ATLANTA,Georgia(GA),UNITED STATES,Headquarter
1485,JOHN MILLS LIMITED,Jml,610 Chiswick High Road,              W4 5RU,LONDON,UNITED KINGDOM,UNITED KINGDOM,
1486,EDENRED ITALIA SRL,,VIA GIOVANNI BATTISTA PIRELLI 18,20124,MILANO,ITALY,ITALY,Headquarter
1487,,,,,,,,
1488,DS SMITH PLC,,350 Euston Road,              NW1 3AX,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1489,DATA 4 SERVICES ITALY SPA,,PIAZZA ELEONORA DUSE 2,20122,MILANO,ITALY,ITALY,Headquarter
1490,BARTEC US CORPORATION,,650 CENTURY PLAZA DR STE D120,770736135,HOUSTON,Texas(TX),UNITED STATES,Single address
1491,DS GD UK LIMITED,,6 Bevis Marks,              EC3A 7BA,LONDON,UNITED KINGDOM,UNITED KINGDOM,Single address
1492,TELMO PARTECIPAZIONI SRL,,VIA XX SETTEMBRE 58/C,24122,BERGAMO,ITALY,ITALY,Headquarter
1493,GANNETT MEDIA CORP.,,7950 JONES BRANCH DR,221023265,MC LEAN,Virginia(VA),UNITED STATES,Headquarter
1494,,,,,,,,
1495,BROKER NET ITALIA SRL,,VIA CIMABUE 4,59100,PRATO,ITALY,ITALY,Headquarter
1496,,,,,,,,
1497,,,,,,,,
1498,BARADINE INVEST SL,,PIAZZALE BIANCAMANO 8,20121,MILANO,ITALY,ITALY,Single address
1499,,,,,,,,
1500,GN AUDIO ITALY SRL,,VIA TORRI BIANCHE 6,20871,VIMERCATE,ITALY,ITALY,Single address
1501,CNX RESOURCES CORPORATION,,1000 CONSOL ENERGY DR STE 400,153176506,CANONSBURG,Pennsylvania(PA),UNITED STATES,Headquarter
1502,ALUMASC BUILDING PRODUCTS LIMITED,,Station Road Burton Latimer,              NN15 5JP,KETTERING,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1503,ACCENTURE SPA,,VIA NINO BONNET 10,20154,MILANO,ITALY,ITALY,Headquarter
1504,,,,,,,,
1505,GREENCELL LIMITED,,42 KINGS HILL AVENUE KINGS HILL,              ME19 4AJ,WEST MALLING,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1506,CLIVET SPA,,VIA CAMP LONC 25,32032,FELTRE (VILLAPAIERA ),ITALY,ITALY,Headquarter
1507,,,,,,,,
1508,SAFETY MANAGEMENT ADVISORY SERVICES LIMITED,,14 Fore Street Yealmpton,              PL8 2JN,PLYMOUTH,UNITED KINGDOM,UNITED KINGDOM,Single address
1509,CLIVET AIR SRL,,VIA DEL LAVORO 42,37063,ISOLA DELLA SCALA,ITALY,ITALY,Single address
1510,DIAMONDS DIRECT USA INC.,,4521 SHARON RD STE 101,282113445,CHARLOTTE,North Carolina(NC),UNITED STATES,Headquarter
1511,,,,,,,,
1512,TRUSTANDWEALTH SRL,,VIA ANDEGARI 4,20121,MILANO,ITALY,ITALY,Headquarter
1513,,,,,,,,
1514,,,,,,,,
1515,EXPRESS 6000 SRL,,VIA CHINI BATTISTA 60,23018,TALAMONA,ITALY,ITALY,Single address
1516,,,,,,,,
1517,ACCENTURE (UK) LIMITED,,30 Fenchurch Street,              EC3M 3BD,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1518,MANE ITALIA SRL,,VIA ADAMELLO 5/7,20008,BAREGGIO,ITALY,ITALY,Headquarter
1519,AMARR COMPANY,,165 CARRIAGE CT,271051326,WINSTON SALEM,North Carolina(NC),UNITED STATES,Headquarter
1520,ACCENTURE MARKETING SERVICES LTD,,30 Fenchurch Street,              EC3M 3BD,LONDON,UNITED KINGDOM,UNITED KINGDOM,Single address
1521,ENERGYLIFE SRL,,PIAZZA VICENZA 8,38122,TRENTO,ITALY,ITALY,Headquarter
1522,,,,,,,,
1523,ACCENTURE PLC,,Plantation Place 30 Fenchurch Street,              EC3M 3BD,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1524,GESTIONE CONCESSIONI SPA,,VIA GIULIO VINCENZO BONA 65,156,ROMA,ITALY,ITALY,Headquarter
1525,CHEVRON U.S.A. INC.,CHEVRON,6001 BOLLINGER CANYON RD # D1248,945835737,SAN RAMON,California(CA),UNITED STATES,Headquarter
1526,SPIRENT COMMUNICATIONS PLC,,Origin One 108 High Street,              RH10 1BD,CRAWLEY,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1527,GENERALI INVESTMENTS HOLDING SPA,,VIA NICCOLO' MACHIAVELLI 4,34132,TRIESTE,ITALY,ITALY,Headquarter
1528,CHEVRON ENERGY TECHNOLOGY COMPANY,CHEVRON,100 CHEVRON WAY,948012016,RICHMOND,California(CA),UNITED STATES,Headquarter
1529,INCLEX NO 3 LIMITED,,Origin One 108 High Street,              RH10 1BD,CRAWLEY,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1530,GENERALI INVESTMENTS PARTNERS SPA SOCIETA' DI GESTIONE DEL RISPARMIO,,VIA NICCOLO' MACHIAVELLI 4,34132,TRIESTE,ITALY,ITALY,Headquarter
1531,AMERICAN PAPER & TWINE COMPANY,,7400 COCKRILL BEND BLVD,372091047,NASHVILLE,Tennessee(TN),UNITED STATES,Headquarter
1532,INCLEX NO 7 LIMITED,,15 Enterprise Way Aviation Park Hurn,              BH23 6HH,CHRISTCHURCH,UNITED KINGDOM,UNITED KINGDOM,Single address
1533,GHELLA INVESTMENTS & PARTNERSHIPS SPA,,VIA PIETRO BORSIERI 2/A,195,ROMA,ITALY,ITALY,Headquarter
1534,,,,,,,,
1535,,,,,,,,
1536,ROTHENBERGER ITALIANA SRL,,VIA GUGLIELMO REISS ROMOLI 17,20019,SETTIMO MILANESE,ITALY,ITALY,Single address
1537,,,,,,,,
1538,,,,,,,,
1539,ENEL X INTERNATIONAL SRL,,VIALE DI TOR DI QUINTO 45/47,191,ROMA,ITALY,ITALY,Headquarter
1540,AVANADE INTERNATIONAL CORPORATION,,1191 2ND AVE STE 100,981013427,SEATTLE,Washington(WA),UNITED STATES,Headquarter
1541,KEPLER GROUP EMEA LIMITED,,7 Henrietta Street C/O Redfern Legal Llp,              WC2E 8PS,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1542,ENEL X SRL,,VIALE DI TOR DI QUINTO 45/47,191,ROMA,ITALY,ITALY,Headquarter
1543,,,,,,,,
1544,,,,,,,,
1545,TOYOTA MATERIAL HANDLING ITALIA SRL,,VIA DEL LAVORO 93/1,40033,CASALECCHIO DI RENO,ITALY,ITALY,Headquarter
1546,,,,,,,,
1547,,,,,,,,
1548,INTERPOLIMERI SPA,,VIA G.NEGRI 11,35010,LIMENA,ITALY,ITALY,Headquarter
1549,INFOSTRETCH CORPORATION,,3200 PATRICK HENRY DR STE 250,950541873,SANTA CLARA,California(CA),UNITED STATES,Headquarter
1550,,,,,,,,
1551,HUMANITAS SPA,,VIA ALESSANDRO MANZONI 113,20089,ROZZANO,ITALY,ITALY,Headquarter
1552,,,,,,,,
1553,,,,,,,,
1554,HUMANITAS MIRASOLE SPA,,VIA ALESSANDRO MANZONI 56,20089,ROZZANO,ITALY,ITALY,Headquarter
1555,,,,,,,,
1556,,,,,,,,
1557,LA FABBRICA SPA,,VIA EMILIA PONENTE 2070,48014,CASTEL BOLOGNESE,ITALY,ITALY,Headquarter
1558,,,,,,,,
1559,DIGITAL BARRIERS SERVICES LIMITED,DIGITAL BARRIERS,39 ST VINCENT PLACE,              G1 2ER,GLASGOW,UNITED KINGDOM,UNITED KINGDOM,
1560,REGGIO CHILDREN SRL,,VIA BLIGNY 1/A,42124,REGGIO NELL'EMILIA,ITALY,ITALY,Headquarter
1561,CYTEC CARBON FIBERS LLC,,2085 E TECHNOLOGY CIR ST 102,852841811,TEMPE,Arizona(AZ),UNITED STATES,Single address
1562,RIO TINTO INTERNATIONAL HOLDINGS LIMITED,,St James's Square,              SW1Y 4AD,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1563,C.W.F. CHILDREN WORLDWIDE FASHION ITALIA SRL,CWF CHILDREN WORLDWIDE FASHION,VIA ARCO 1,20121,MILANO,ITALY,ITALY,
1564,,,,,,,,
1565,INEOS SALES (UK) LIMITED,INEOS,Hawkslease Chapel Lane,              SO43 7FG,LYNDHURST,UNITED KINGDOM,UNITED KINGDOM,
1566,CLARINS ITALIA SPA,,VIA GIUSEPPE DI VITTORIO 13,40055,CASTENASO (VILLANOVA ),ITALY,ITALY,Headquarter
1567,TRADESHIFT INC.,TRADE SHIFT APS,612 HOWARD ST STE 100,941053927,SAN FRANCISCO,California(CA),UNITED STATES,Headquarter
1568,INEOS GROUP HOLDINGS LIMITED,INEOS,38 Hans Crescent,              SW1X 0LZ,LONDON,UNITED KINGDOM,UNITED KINGDOM,
1569,HDI GLOBAL SE,,VIA FRANCO RUSSOLI 5,20143,MILANO,ITALY,ITALY,Headquarter
1570,JOHN BROWN US LLC,,ONE SOUTH STATION STE 3,21102253,BOSTON,Massachusetts(MA),UNITED STATES,Single address
1571,INEOS HYGIENICS LIMITED,INEOS,School Aycliffe Lane,              DL5 6EA,NEWTON AYCLIFFE,UNITED KINGDOM,UNITED KINGDOM,
