02-GioPonSpiz-industry,05-MalPatSaj-industry,06-MarScoToc-industry,10-DeBiGa-industry
basic materials,industrials,watchmaking,['hong kong cinema']
technology,health care,food,['film & tv entertainment']
industrials,industrials,conglomerate,['chinese cinema']
consumer goods,consumer goods,"consumer electronics, navigation technology",['oil and gas']
industrials,consumer services,"toys, video games, children's products and apparel",['movie']
utilities,financials,petroleum energy,['petroleum']
industrials,industrials,professional services,['energy']
utilities,industrials,telecommunications,"['oil and gas; heavy civil engineering; air, water, and effluent systems']"
technology,industrials,electronics,['oil and gas']
conglomerates,consumer goods,steel industry,[]
industrials,industrials,automotive,['oil and gas']
consumer services,industrials,computer software,['petroleum']
consumer services,industrials,networking equipment,['oil and gasoline']
consumer goods,consumer goods,semiconductors,['oil and gas exploration']
industrials,consumer services,graphic design,['retail']
industrials,health care,transportation mobility as a service,['oil and gas industry']
consumer services,industrials,food processing,['retailing']
health care,consumer services,semiconductor foundry,['retail']
telecommunications,industrials,financial services,['hydrocarbon exploration']
financials,industrials,consumer goods,['retail']
industrials,health care,video games,['retail (grocery & discount)']
technology,industrials,information technology consulting outsourcing,['health & beauty retail']
telecommunications,consumer goods,information technology consulting outsourcing,"['conglomerate', 'holding company']"
technology,basic materials,investment management,['retail']
financials,basic materials,automotive,['conglomerate']
consumer services,industrials,real estate,['retail']
consumer services,consumer goods,"consumer electronics, home appliances, information technology",[]
telecommunications,consumer goods,electrical equipment,['coffee house']
technology,consumer goods,data analytics and risk assessment,['beverage']
consumer services,technology,electrical equipment,"['coffee roasting', 'coffee shops']"
utilities,industrials,apparel accessories,['coffee']
basic materials,consumer services,telecommunication,['restaurants']
telecommunications,industrials,apparel,['coffee']
industrials,consumer services,apparel,['coffee']
industrials,financials,telecommunications,['food processing']
industrials,industrials,conglomerate,['entertainment']
consumer services,consumer goods,"commodity, oil & gas",['film']
industrials,consumer goods,electronics,[]
conglomerates,health care,media,[]
consumer goods,industrials,"dairy products, juice",['hong kong cinema']
consumer goods,industrials,telecommunications,['film']
consumer goods,health care,mechanical engineering,['hong kong cinema']
consumer services,industrials,automotive,['entertainment']
consumer services,conglomerates,foodservice,['cinema']
basic materials,industrials,food and drink,['conglomerate']
financials,consumer services,retail,[]
consumer services,technology,media entertainment,['chinese cinema']
industrials,conglomerates,media entertainment,['film']
consumer goods,technology,convenience store gas station fast food,[]
technology,consumer goods,home appliances,['oil and gas']
conglomerates,consumer services,restaurants,"['oil', 'gas', 'power generation', 'coal mining']"
consumer goods,consumer services,conglomerate,['oil and gas']
technology,financials,financial services payment processor technology,['oil and gas']
basic materials,health care,consumer electronics computer hardware,['oil and gas']
financials,health care,sports equipment,"['energy', 'oil and gas']"
consumer goods,financials,sports equipment,['oil and gas']
technology,utilities,dairy,['oil & gas']
financials,consumer services,dairy,['retailing']
financials,health care,internet search engine mapping streaming services internet retail,['conglomerate']
basic materials,health care,manufacturing,"['energy', 'oil and gas']"
consumer services,consumer goods,automotive,['retail']
basic materials,industrials,foodservice,"['retail', 'variety', 'discount', 'retail']"
basic materials,industrials,retail,['wholesale distribution']
technology,industrials,it services,['retail']
consumer goods,utilities,beverages,['retail']
consumer goods,consumer goods,telecommunications equipment networking equipment,['technology company']
technology,consumer goods,manufacturing,['consumer staples']
technology,financials,telecommunications,['grocery retail']
consumer goods,industrials,,['retail']
industrials,financials,,['coffee']
utilities,consumer goods,,['food processing']
technology,industrials,,['coffee shop']
industrials,consumer goods,,['coffee']
consumer goods,health care,,['beverages']
consumer goods,consumer services,,['coffee']
industrials,technology,,['food processing']
industrials,telecommunications,,['appliance manufacturing']
basic materials,industrials,,['coffee roasting']
utilities,consumer goods,,"['retail ', ' & ']"
basic materials,industrials,,"['food', 'beverage']"
chemical industry,consumer goods,,"['managed healthcare', 'insurance']"
oil & gas,industrials,,['petroleum']
basic materials,industrials,,['steel']
basic materials,industrials,,['coffee roasting and coffee shops']
consumer goods,oil & gas,,['pharmaceuticals']
financials,health care,,['pharmaceuticals']
consumer services,health care,,['pharmaceuticals']
consumer services,consumer services,,['pharmaceuticals']
basic materials,consumer goods,,"['pharmaceuticals', 'healthcare']"
basic materials,consumer services,,['oil and gas']
consumer services,oil & gas,,['retailing']
basic materials,technology,,['biopharmaceutical']
consumer goods,telecommunications,,['information technology']
basic materials,consumer services,,['pharmaceutical (animal)']
consumer goods,consumer services,,['pharmaceuticals']
technology,industrials,,['software']
consumer services,technology,,['telecommunications']
consumer services,consumer services,,"['information technology', 'consulting', 'outsourcing']"
food,utilities,,"['professional services', 'information technology', 'digital engineering', 'product development']"
consumer services,utilities,,['digital it services software services\nbusiness process outsourcing']
telecommunications,industrials,,['information technology and engineering']
consumer goods,utilities,,['information technology']
technology,consumer services,,"['information technology', 'consulting', 'outsourcing']"
telecommunications,basic materials,,"['professional services', 'information technology', 'consulting']"
industrials,industrials,,[]
oil & gas,consumer services,,['system monitoring']
oil & gas,technology,,['software']
telecommunications,consumer goods,,['software']
telecommunications,consumer services,,['film']
consumer services,financials,,['film']
consumer services,consumer services,,"['film production', 'documentary']"
industrials,consumer goods,,['public utility']
consumer services,consumer goods,,['media and digital production']
utilities,consumer services,,[]
industrials,oil & gas,,['oil and gas']
financials,technology,,['oil and gas industry']
financials,consumer services,,['natural resources']
consumer goods,logistics,,"['hypermarkets', 'supermarkets', 'grocery stores']"
consumer services,consumer services,,['coffee']
consumer services,health care,,"['film production', 'television production']"
utilities,consumer goods,,['retailing']
food products,industrials,,[]
technology,consumer goods,,[]
consumer services,financials,,[]
industrials,consumer services,,['coffee shop']
industrials,consumer services,,['coffee']
consumer services,industrials,,"[' restaurants', 'restaurants', 'retail coffee']"
telecommunications,consumer services,,['real estate']
consumer services,industrials,,"['financial services', 'bank']"
consumer services,consumer services,,['financial services']
consumer services,consumer services,,"['food and beverage', 'coffeehouse']"
consumer goods,consumer goods,,"['banking', 'financial services']"
consumer goods,telecommunications,,[]
consumer services,industrials,,['construction']
consumer services,consumer services,,['holding company']
industrials,consumer services,,[]
industrials,consumer services,,['healthcare']
transport,oil & gas,,"['automotive', 'chemical', 'electronics', 'food', 'financial', 'metallurgy', 'mining', 'petroleum']"
financials,utilities,,['automotive']
financials,technology,,"['energy', 'oil and gas']"
consumer goods,basic materials,,['pharmaceutical company']
financials,financials,,['pharmaceutical']
consumer services,consumer services,,['pharmaceutical']
basic materials,consumer services,,['pharmaceuticals']
consumer goods,consumer goods,,['oil and gas']
industrials,consumer goods,,['biotechnology']
consumer goods,financials,,[]
industrials,technology,,['biotechnology']
industrials,consumer goods,,['biotechnology']
financials,industrials,,"['information technology', 'consulting', 'outsourcing']"
financials,technology,,['business services']
consumer services,telecommunications,,"['information technology', 'consulting', 'outsourcing']"
consumer goods,industrials,,"['management consulting', 'information technology consulting']"
consumer goods,consumer goods,,"['professional services', 'technology services']"
consumer services,telecommunications,,"['information technology', 'consulting', 'outsourcing']"
technology,consumer services,,"['information technology', 'consulting', 'outsourcing']"
consumer services,utilities,,"['information technology', 'consulting', 'services']"
technology,consumer services,,"['information technology', 'consulting']"
real estate,industrials,,"['information technology', 'consulting', 'outsourcing']"
industrials,consumer goods,,['professional services']
consumer services,utilities,,[]
consumer goods,technology,,['professional services']
industrials,consumer goods,,['professional services']
industrials,consumer services,,['cloud computing']
consumer goods,consumer goods,,['information security']
consumer goods,financials,,"['software', 'saas', 'hcm']"
health care,industrials,,"['it services', 'it consulting']"
technology,basic materials,,['software']
consumer services,industrials,,['software']
consumer services,consumer services,,['communications']
technology,industrials,,['software']
financials,industrials,,['telecommunications']
consumer goods,consumer services,,['computer software']
industrials,industrials,,"['software', 'cloud computing']"
consumer goods,consumer goods,,"['cloud security', 'cybersecurity', 'network security']"
oil & gas,basic materials,,['financial services']
industrials,industrials,,['electric utility']
consumer goods,oil & gas,,['wholesaling']
technology,industrials,,['steel']
consumer goods,technology,,['financial services']
oil & gas,consumer goods,,['chemicals']
consumer goods,consumer goods,,['financial services']
consumer goods,consumer goods,,['automotive']
technology,financials,,['television production']
consumer services,health care,,['film']
consumer services,basic materials,,[]
industrials,industrials,,"['animation', 'television production', 'television production']"
consumer services,industrials,,['animation']
financials,health care,,"['entertainment', 'film production', 'television production']"
technology,utilities,,['special effects']
telecommunications,consumer goods,,['oil and gas']
consumer goods,industrials,,['oil and gas industry']
technology,industrials,,['oil and gas industry']
consumer services,logistics,,['oil and gas industry']
industrials,industrials,,['oil and gas']
telecommunications,technology,,['oil and gas']
consumer goods,consumer goods,,"['energy', 'petroleum']"
consumer services,industrials,,['financial services']
utilities,technology,,[]
consumer goods,consumer services,,['cryptocurrency']
consumer services,financials,,['financial technology']
industrials,consumer services,,['hydrocarbons']
consumer goods,industrials,,['retail']
consumer goods,industrials,,['retail']
utilities,financials,,['retail']
technology,technology,,['retailing']
technology,oil & gas,,['retail']
consumer goods,industrials,,[]
consumer goods,consumer services,,['retail']
industrials,technology,,"['retail', 'wholesaling']"
technology,basic materials,,"['retail', 'grocery']"
consumer services,consumer goods,,['retail']
financials,technology,,"['restaurant', 'franchising']"
industrials,consumer goods,,['retail']
industrials,basic materials,,['retail']
industrials,technology,,[]
industrials,basic materials,,[]
industrials,basic materials,,['restaurants']
industrials,industrials,,"['food and beverage', 'coffeehouse']"
oil & gas,technology,,['coffee']
consumer goods,consumer goods,,"['delicatessen, gastronomy, vending, catering']"
industrials,consumer goods,,['coffee shop']
consumer goods,industrials,,['coffee roasting']
consumer goods,industrials,,['coffee roaster']
industrials,consumer services,,['retail']
consumer services,industrials,,['financial services']
telecommunications,industrials,,['telecommunications']
telecommunications,industrials,,['financial services']
industrials,basic materials,,['food and drink']
industrials,industrials,,['financial services']
industrials,consumer services,,['financial services']
technology,consumer services,,['automotive']
consumer goods,industrials,,['optical products and broadband communications']
consumer services,consumer services,,['food processing']
financials,consumer services,,"['media', 'entertainment']"
technology,industrials,,"['managed healthcare', 'insurance']"
consumer services,industrial,,[]
consumer goods,technology,,"['energy', 'petroleum']"
industrials,consumer goods,,['oil and gas']
consumer goods,industrials,,"['telecommunications', 'technology']"
industrials,industrials,,['financial services']
telecommunications,consumer services,,"['automotive', 'production systems']"
consumer services,industrials,,['financial services']
energy,industrials,,"['commodities', 'metals', 'mining']"
telecommunications,technology,,['financial services']
industrials,consumer services,,['financial services']
industrials,industrials,,"['petroleum', 'energy']"
consumer goods,technology,,['pharmaceutical']
technology,technology,,['pharmaceutical']
industrials,financials,,['retail']
consumer goods,technology,,['biotechnology']
consumer services,consumer services,,"['biotechnology', 'pharmaceutical']"
financials,financials,,['pharmaceutical industry']
financials,consumer goods,,['biotechnology']
financials,consumer goods,,"['pharmaceuticals', 'biotech']"
consumer goods,consumer services,,"['pharmaceuticals', 'biotherapeutics']"
telecommunications,financials,,['pharmaceuticals']
financials,consumer goods,,['professional services']
financials,financials,,"['information technology', 'consulting', 'outsourcing']"
industrials,industrials,,"['information technology', 'consulting', 'outsourcing']"
consumer services,consumer goods,,"['information technology', 'consulting', 'outsourcing']"
consumer services,telecommunications,,"['pharmaceuticals', 'chemicals', 'biotechnology', 'healthcare']"
telecommunications,conglomerates,,"['professional services', 'information technology', 'consulting']"
consumer services,industrials,,['professional services']
consumer services,consumer goods,,['conglomerate']
consumer goods,consumer services,,"['it, infocomm']"
consumer services,industrials,,"['it services', 'it consulting']"
telecommunications,consumer services,,['it services']
financials,consumer goods,,['information technology']
basic materials,consumer services,,['automotive']
basic materials,consumer goods,,"['engineering', 'consulting']"
technology,consumer goods,,['it services']
financials,consumer goods,,['computer software']
financials,consumer goods,,['financial data services']
financials,industrials,,[]
financials,technology,,"['cloud computing', 'virtualization', 'computer software']"
financials,financials,,"['internet', 'cloud computing']"
consumer goods,financials,,['software engineering']
consumer services,financials,,"['integrated circuit', 'self-driving car', 'software as a service', 'software testing', 'internet of things']"
industrials,consumer services,,"['media & entertainment', 'manufacturing & industrial', 'bioscience']"
utilities,financials,,['software']
financials,financials,,['computer software']
health care,technology,,"['business process outsourcing', 'human capital management']"
industrials,consumer goods,,"['network security', 'cybersecurity', 'cloud computing']"
consumer services,industrials,,['financial services']
financials,technology,,['automotive']
consumer services,consumer goods,,['electric utility']
financials,consumer goods,,['financial services']
conglomerates,financials,,['electric utility']
financials,consumer goods,,['financial services']
consumer goods,industrials,,['conglomerate']
financials,consumer services,,['financial services']
financials,consumer goods,,['financial services']
consumer services,utilities,,['holding company']
consumer goods,oil & gas,,"['retail', 'wholesaling']"
consumer services,utilities,,['coin mintage']
consumer services,health care,,['metalworking']
financials,telecommunications,,['refining']
financials,consumer services,,['coin']
consumer services,nuclear industries,,[]
consumer goods,telecommunications,,['coin']
financials,consumer services,,['automotive']
telecommunications,technology,,"['metals', 'mining']"
consumer services,technology,,['cinematography']
industrials,consumer services,,['precious metals']
financials,health care,,['family entertainment']
industrials,industrials,,"['motion pictures', 'animated films']"
consumer services,financials,,[]
consumer services,technology,,[]
telecommunications,consumer services,,['oil and gas']
financials,consumer services,,[]
industrials,consumer services,,[]
consumer services,consumer services,,['bitcoin exchange']
consumer services,consumer goods,,['bitcoin mining pool']
consumer services,industrials,,['food and beverage']
consumer services,telecommunications,,"['coffee', 'tea']"
industrials,industrials,,['retail']
basic materials,consumer services,,['restaurants']
consumer goods,consumer goods,,['commodity']
consumer services,industrials,,['financial services']
consumer services,health care,,['electronics']
industrials,consumer goods,,"['coffee chain, coffee roaster, franchisor']"
industrials,consumer goods,,['financial services']
industrials,industrials,,['pharmaceutical']
consumer services,consumer goods,,['healthcare']
industrials,consumer services,,"['pharmaceutics', 'biotechnology']"
consumer goods,consumer goods,,['pharmaceutical']
consumer services,consumer goods,,"['electronics', 'semiconductors', 'information technology', 'artificial intelligence', 'automation', 'home appliances', 'medical devices', 'internet of things', 'robotics']"
consumer services,consumer goods,,['medical technology']
industrials,consumer goods,,"['energy', 'petroleum']"
industrials,consumer goods,,"['information technology', 'consulting', 'outsourcing']"
consumer goods,consumer goods,,['software development']
consumer goods,technology,,['information technology']
utilities,industrials,,"['pharmaceuticals', 'biotechnology', 'healthcare']"
utilities,industrials,,"['pharmaceutical', 'biotechnology']"
consumer services,industrials,,"['information technology', 'consulting', 'outsourcing']"
consumer services,consumer goods,,"['information technology', 'consulting', 'outsourcing']"
consumer services,consumer goods,,"['pharmaceutical', 'biotechnology']"
consumer goods,technology,,"['cloud computing', 'storage device']"
consumer goods,consumer goods,,"['financial technology', 'software products']"
telecommunications,technology,,['financial technology']
financials,consumer goods,,"['cloud computing', 'enterprise software']"
consumer services,consumer services,,['enterprise software']
consumer goods,industrials,,['electric utility']
financials,health care,,['financial services']
financials,consumer goods,,[]
industrials,telecommunications,,['precious metals']
consumer services,nuclear industries,,['entertainment']
industrials,consumer goods,,['oil and gas']
industrials,industrials,,[]
financials,consumer services,,['entertainment']
financials,industrials,,['production company']
consumer services,consumer goods,,['oil and gas industry']
consumer goods,consumer goods,,"['media', 'entertainment']"
financials,consumer goods,,"['oil and gas', 'chemical', 'nuclear', 'coal tar']"
consumer goods,industrials,,['oil and gas']
consumer services,technology,,['financing oil and gas industry']
consumer goods,consumer services,,['cryptocurrency']
consumer goods,consumer goods,,['coffee shops']
technology,industrials,,['asset management']
health care,basic materials,,['distributed ledger technology']
industrials,basic materials,,[]
telecommunications,industrials,,['fairtrade beverages']
consumer goods,technology,,['coffeehouse']
telecommunications,industrials,,['conglomerate']
utilities,consumer goods,,['coffee roasting and chocolate manufacturing']
telecommunications,health care,,['financial services']
industrials,industrials,,"['energy', 'oil and gas']"
consumer goods,industrials,,['conglomerate']
oil & gas,consumer services,,"['managed healthcare', 'health insurance', 'pharmacy']"
financials,health care,,"['construction', 'construction']"
logistics,telecommunications,,['telecommunications']
consumer services,technology,,['biotechnology']
financials,consumer services,,['automotive']
health care,industrials,,"['managed healthcare', 'insurance']"
financials,consumer goods,,"['life sciences', '\nasset management']"
financials,financials,,['pharmaceuticals']
consumer services,industrials,,['automotive']
financials,technology,,"['health care', 'medical devices', 'pharmaceutical']"
consumer goods,technology,,['biotechnology']
consumer services,utilities,,['biopharmaceutical']
consumer goods,consumer services,,['pharmaceutical']
technology,industrials,,"['information technology', 'consulting', 'outsourcing']"
financials,consumer services,,"['consumer electronics', 'software services', 'online services']"
consumer goods,industrials,,"['computer hardware', 'consulting', 'cloud computing', 'telecommunications', 'data storage', 'consumer electronics']"
consumer services,industrials,,['business process management']
consumer goods,oil & gas,,['conglomerate']
industrials,technology,,['conglomerate']
utilities,utilities,,[]
consumer goods,industrials,,"['business process management', 'outsourcing', 'it consulting']"
industrials,consumer services,,['payment processing']
industrials,consumer goods,,['enterprise software']
oil & gas,consumer goods,,"['cloud computing', 'virtualization', 'computer software']"
industrials,consumer goods,,"['business services', 'software']"
consumer goods,financials,,[]
consumer services,consumer goods,,"['it services', 'it consulting']"
consumer services,consumer services,,['software']
consumer goods,financials,,['precious metal services']
industrials,consumer goods,,['financial services']
industrials,basic materials,,[]
consumer goods,consumer services,,"['petroleum', 'energy']"
consumer goods,financials,,[]
consumer services,industrials,,['technology']
financials,consumer services,,['visual effects']
consumer goods,telecommunications,,['film']
consumer goods,consumer goods,,['metalworking']
health care,consumer goods,,[]
oil & gas,consumer goods,,['cinema of argentina']
utilities,basic materials,,['oil and gas industry']
industrials,consumer goods,,['petroleum']
consumer goods,consumer services,,['oil and gas']
consumer goods,health care,,['oil and gas']
consumer goods,consumer services,,"['oil', 'gas', 'equity', 'mining', 'agriculture']"
consumer services,consumer goods,,['oil and gas industry']
consumer goods,basic materials,,['oil and gas industry']
financials,consumer services,,['financial services']
consumer goods,health care,,[]
consumer goods,consumer goods,,['cryptocurrency']
consumer services,consumer goods,,[]
industrials,technology,,['retail']
industrials,consumer goods,,['petroleum refining']
consumer goods,industrials,,['oil and gas']
consumer goods,consumer goods,,['electric utility']
consumer goods,consumer goods,,['oil and gas']
financials,technology,,"['e-commerce', 'cloud computing', 'artificial intelligence', 'consumer electronics', 'entertainment', 'digital distribution', 'self-driving cars', 'supermarket']"
financials,industrials,,['pharmaceutical industry']
financials,consumer services,,['pharmaceuticals']
financials,consumer goods,,"['information technology', 'consulting', 'outsourcing']"
financials,industrials,,"['information technology', 'consulting', 'outsourcing']"
consumer goods,consumer goods,,['conglomerate']
consumer goods,consumer goods,,"['cloud computing', 'enterprise software', 'consulting']"
consumer goods,healthcare,,['pharmaceuticals']
industrials,industrials,,"['pharmaceutical', 'biotechnology']"
consumer goods,consumer services,,"['enterprise software', 'business software', 'cloud computing', 'consulting']"
industrials,consumer goods,,"['information technology', 'consulting', 'outsourcing']"
consumer goods,health care,,[]
consumer services,industrials,,['recommerce']
industrials,consumer services,,['financial technology']
consumer goods,consumer goods,,"['enterprise software', 'business software', 'cloud computing', 'computer hardware', 'consulting']"
consumer goods,basic materials,,['information technology']
consumer goods,consumer goods,,['financial services']
consumer goods,industrials,,['bitcoin exchange']
consumer goods,industrials,,['oil and gas']
consumer goods,health care,,"['consumer electronics', 'computer hardware']"
consumer goods,health care,,[]
consumer goods,health care,,['cryptocurrency']
consumer goods,consumer services,,"['cryptocurrency', 'software']"
consumer goods,consumer services,,['financial services']
consumer goods,industrials,,[]
consumer goods,financials,,['payment processor']
consumer services,consumer services,,[]
consumer goods,industrials,,
consumer services,basic materials,,
consumer goods,consumer goods,,
consumer goods,consumer services,,
consumer goods,conglomerates,,
consumer goods,consumer services,,
consumer goods,industrials,,
consumer goods,financials,,
industrials,financials,,
consumer goods,consumer goods,,
health care,consumer services,,
industrials,financials,,
consumer goods,industrials,,
consumer goods,telecommunications,,
consumer goods,financials,,
consumer goods,industrials,,
consumer goods,industrials,,
consumer goods,industrials,,
consumer goods,industrials,,
consumer goods,industrials,,
industrials,industrials,,
consumer services,consumer goods,,
consumer goods,consumer services,,
consumer services,consumer goods,,
consumer goods,consumer services,,
financials,consumer goods,,
consumer goods,consumer goods,,
consumer goods,health care,,
consumer goods,financials,,
consumer goods,industrials,,
consumer goods,financials,,
consumer goods,utilities,,
consumer goods,consumer goods,,
industrials,industrials,,
industrials,consumer goods,,
industrials,consumer services,,
industrials,industrials,,
industrials,utilities,,
industrials,consumer goods,,
consumer services,industrials,,
consumer goods,consumer goods,,
consumer goods,telecommunications,,
consumer goods,consumer services,,
health care,basic materials,,
consumer goods,consumer goods,,
consumer goods,consumer goods,,
consumer goods,industrials,,
consumer services,industrials,,
consumer goods,consumer goods,,
consumer goods,consumer goods,,
consumer goods,industrials,,
industrials,industrials,,
consumer goods,consumer goods,,
consumer goods,consumer goods,,
consumer services,consumer goods,,
consumer services,conglomerates,,
consumer goods,industrials,,
consumer goods,telecommunications,,
consumer services,health care,,
consumer goods,health care,,
consumer goods,conglomerates,,
consumer goods,consumer goods,,
consumer goods,basic materials,,
industrials,consumer goods,,
consumer goods,industrials,,
consumer services,consumer goods,,
consumer goods,consumer services,,
consumer goods,consumer goods,,
consumer goods,industrials,,
consumer goods,industrials,,
consumer goods,industrials,,
consumer services,health care,,
consumer goods,consumer goods,,
consumer goods,consumer services,,
consumer goods,consumer goods,,
consumer goods,industrials,,
consumer goods,industrials,,
consumer goods,financials,,
industrials,industrials,,
technology,consumer goods,,
utilities,industrials,,
utilities,industrials,,
consumer goods,industrials,,
consumer goods,industrials,,
consumer goods,industrials,,
utilities,conglomerates,,
consumer goods,industrials,,
oil & gas,industrials,,
consumer goods,industrials,,
consumer goods,basic materials,,
consumer services,mining,,
consumer goods,consumer goods,,
consumer services,industrials,,
consumer goods,industrials,,
consumer services,consumer services,,
consumer goods,consumer goods,,
consumer goods,financials,,
consumer goods,financials,,
basic materials,industrials,,
industrials,basic materials,,
consumer goods,technology,,
consumer goods,consumer services,,
consumer goods,consumer goods,,
basic materials,industrials,,
consumer services,consumer goods,,
consumer goods,consumer goods,,
consumer goods,industrials,,
consumer goods,consumer goods,,
industrials,consumer goods,,
consumer services,industrials,,
consumer goods,basic materials,,
industrials,industrials,,
industrials,market,,
consumer goods,consumer services,,
financials,basic materials,,
consumer goods,financials,,
consumer goods,industrials,,
consumer goods,consumer goods,,
industrials,industrials,,
consumer goods,industrials,,
consumer goods,industrials,,
consumer goods,industrials,,
consumer goods,consumer goods,,
consumer goods,industrials,,
consumer goods,industrials,,
consumer goods,industrials,,
consumer services,consumer goods,,
consumer goods,basic materials,,
consumer goods,consumer goods,,
consumer goods,consumer goods,,
consumer services,industrials,,
consumer goods,consumer services,,
consumer goods,consumer goods,,
consumer goods,technology,,
industrials,consumer goods,,
consumer goods,consumer goods,,
consumer goods,consumer goods,,
consumer goods,industrials,,
transport & tourism,consumer services,,
consumer goods,consumer services,,
consumer goods,industrials,,
basic materials,industrials,,
telecommunications,technology,,
consumer goods,industrials,,
consumer goods,industrials,,
consumer goods,industrials,,
utilities,consumer goods,,
industrials,consumer goods,,
consumer goods,consumer goods,,
consumer goods,consumer goods,,
industrials,consumer goods,,
consumer goods,consumer goods,,
consumer goods,industrials,,
industrials,consumer goods,,
financials,consumer goods,,
consumer goods,health care,,
consumer goods,industrials,,
consumer goods,consumer services,,
consumer services,consumer goods,,
industrials,industrials,,
consumer goods,consumer goods,,
consumer goods,consumer goods,,
industrials,financials,,
consumer goods,consumer goods,,
consumer goods,technology,,
consumer goods,technology,,
consumer goods,consumer services,,
consumer goods,consumer goods,,
consumer services,consumer goods,,
consumer goods,consumer goods,,
consumer goods,industrials,,
consumer goods,industrials,,
consumer goods,consumer services,,
consumer goods,health care,,
consumer goods,consumer goods,,
consumer goods,basic materials,,
consumer goods,consumer services,,
consumer goods,industrials,,
industrials,industrials,,
consumer services,consumer services,,
consumer goods,consumer goods,,
consumer goods,consumer services,,
consumer goods,technology,,
consumer goods,consumer goods,,
consumer goods,industrials,,
consumer goods,consumer goods,,
consumer goods,industrials,,
consumer goods,consumer goods,,
consumer goods,industrials,,
consumer goods,consumer services,,
consumer goods,industrials,,
industrials,industrials,,
consumer goods,consumer goods,,
consumer goods,consumer goods,,
consumer goods,conglomerate,,
consumer goods,industrials,,
consumer goods,consumer goods,,
consumer goods,consumer services,,
consumer goods,industrials,,
consumer services,consumer goods,,
financials,utilities,,
industrials,consumer goods,,
health care,basic materials,,
consumer services,technology,,
consumer goods,mass media,,
financials,industrials,,
consumer goods,industrials,,
consumer goods,consumer goods,,
consumer goods,health care,,
consumer goods,industrials,,
consumer goods,basic materials,,
industrials,consumer goods,,
consumer goods,consumer services,,
consumer goods,health care,,
consumer goods,consumer goods,,
consumer goods,health care,,
consumer goods,consumer goods,,
consumer goods,consumer goods,,
consumer goods,industrials,,
consumer goods,basic materials,,
consumer goods,conglomerates,,
consumer goods,industrials,,
consumer goods,technology,,
consumer goods,industrials,,
consumer goods,consumer goods,,
consumer goods,technology,,
consumer goods,industrials,,
consumer services,consumer goods,,
industrials,industrials,,
consumer goods,consumer goods,,
consumer goods,consumer goods,,
consumer goods,basic materials,,
industrials,consumer goods,,
financials,personal products,,
consumer goods,financials,,
industrials,consumer services,,
technology,consumer goods,,
consumer goods,consumer services,,
consumer goods,industrials,,
consumer goods,consumer services,,
technology,basic materials,,
consumer goods,conglomerates,,
consumer goods,technology,,
industrials,industrials,,
consumer goods,technology,,
consumer goods,consumer services,,
consumer goods,consumer goods,,
consumer goods,consumer goods,,
consumer services,consumer goods,,
consumer goods,consumer goods,,
industrials,telecommunications,,
consumer goods,consumer goods,,
consumer goods,technology,,
industrials,consumer goods,,
consumer goods,industrials,,
industrials,industrials,,
industrials,consumer goods,,
consumer goods,industrials,,
consumer goods,consumer goods,,
consumer goods,consumer goods,,
industrials,financials,,
consumer goods,industrials,,
consumer goods,basic materials,,
consumer goods,industrials,,
consumer goods,industrials,,
consumer goods,consumer goods,,
consumer goods,consumer goods,,
consumer services,consumer goods,,
industrials,industrials,,
consumer goods,consumer goods,,
consumer goods,oil & gas,,
industrials,financials,,
consumer services,industrials,,
consumer goods,industrials,,
consumer goods,technology,,
consumer services,industrials,,
consumer goods,consumer goods,,
industrials,industrials,,
consumer goods,industrials,,
consumer goods,consumer services,,
consumer goods,consumer goods,,
industrials,consumer goods,,
consumer goods,utilities,,
consumer goods,consumer services,,
oil & gas,industrials,,
consumer goods,industrials,,
industrials,industrials,,
consumer goods,financials,,
consumer goods,consumer services,,
technology,consumer services,,
industrials,consumer goods,,
technology,financials,,
health care,consumer services,,
industrials,consumer services,,
consumer goods,basic materials,,
utilities,basic materials,,
industrials,consumer services,,
financials,industrials,,
consumer goods,consumer services,,
industrials,consumer services,,
consumer goods,consumer goods,,
consumer goods,industrials,,
technology,industrials,,
consumer goods,technology,,
consumer goods,financials,,
industrials,consumer services,,
conglomerates,consumer services,,
consumer goods,consumer services,,
consumer goods,consumer services,,
industrials,industrials,,
consumer goods,financials,,
consumer goods,industrials,,
consumer goods,industrials,,
financials,technology,,
financials,industrials,,
financials,financials,,
consumer goods,consumer services,,
consumer goods,consumer services,,
consumer goods,consumer services,,
consumer goods,industrials,,
industrials,consumer goods,,
consumer goods,consumer services,,
consumer goods,consumer services,,
industrials,industrials,,
consumer goods,consumer services,,
consumer goods,industrials,,
consumer goods,technology,,
consumer goods,industrials,,
industrials,food & beveradges,,
consumer goods,consumer services,,
consumer services,consumer services,,
industrials,consumer services,,
health care,industrials,,
consumer goods,telecommunications,,
consumer goods,industrials,,
consumer services,oil & gas,,
consumer services,oil & gas,,
industrials,consumer goods,,
consumer services,broadcast,,
consumer services,consumer services,,
industrials,industrials,,
consumer services,industrials,,
utilities,industrials,,
financials,industrials,,
industrials,consumer goods,,
consumer services,consumer goods,,
industrials,industrials,,
consumer services,basic materials,,
technology,industrials,,
financials,consumer services,,
consumer goods,oil & gas,,
consumer services,consumer services,,
utilities,consumer goods,,
consumer services,consumer services,,
telecommunications,basic materials,,
consumer services,financials,,
consumer goods,financials,,
