,Name,MasterCap,Country,Industry,Sector
339,VinaCapital Vietnam Opportunity Fund Limited,$1.14 B,United Kingdom,Asset Management,Financials
340,Kape Technologies plc,$1.14 B,United Kingdom,SoftwareInfrastructure,Technology
341,JPMorgan Euro Small Co. Trust plc,"(Dec. 1, 2021)",United Kingdom,Asset Management,Financials
342,Alpha FX Group plc,$1.13 B,United Kingdom,Capital Markets,Financials
343,Chemring Group plc,$1.13 B,United Kingdom,Aerospace & Defense,Industrials
344,CLS Holdings plc,$1.11 B,United Kingdom,Real Estate Services,Real Estate
345,Volution Group plc,$1.09 B,United Kingdom,Building Products & Equipment,Industrials
346,Scottish American Investment Company plc,$1.09 B,United Kingdom,Asset Management,Financials
347,PZ Cussons plc,$1.08 B,United Kingdom,Household & Personal Products,Consumer Staples
348,BlackRock Smaller Companies Trust,$1.07 B,United Kingdom,Asset Management,Financials
349,JPMorgan Japanese Investment Trust plc,$1.06 B,United Kingdom,Asset Management,Financials
350,Digital 9 Infrastructure PLC,$1.06 B,United Kingdom,Asset Management,Financials
351,Aberdeen Total Dynamic Dividend Fund,$1.06 B,United Kingdom,Asset Management,Financials
352,Standard Life Private Equity Trust plc,$1.06 B,United Kingdom,Asset Management,Financials
353,Mitie Group plc,$1.05 B,United Kingdom,Specialty Business Services,Industrials
354,ICG Enterprise Trust plc,$1.04 B,United Kingdom,Asset Management,Financials
355,4imprint Group plc,$1.04 B,United Kingdom,Advertising Agencies,Communication Services
356,SDCL Energy Efficiency Income Trust plc,$1.04 B,United Kingdom,Asset Management,Financials
357,CareTech Holdings plc,$1.04 B,United Kingdom,Medical Care Facilities,Healthcare
358,"Global Ship Lease, Inc.",$1.03 B,United Kingdom,Marine Shipping,Industrials
359,Capital Gearing Trust plc,$1.03 B,United Kingdom,Asset Management,Financials
360,Liontrust Asset Management plc,$1.02 B,United Kingdom,Asset Management,Financials
361,Bicycle Therapeutics plc,$1.02 B,United Kingdom,Biotechnology,Healthcare
362,Stock Spirits Group plc,"(Nov. 1, 2021)",United Kingdom,BeveragesWineries & Distilleries,Consumer Staples
363,Provident Financial plc,$1.01 B,United Kingdom,Credit Services,Financials
364,Baillie Gifford Japan Trust plc,$1.01 B,United Kingdom,Asset Management,Financials
365,Focusrite plc,$1.01 B,United Kingdom,Leisure,Consumer Discretionary
366,Temple Bar Investment Trust plc,$998.7 M,United Kingdom,Asset Management,Financials
367,Pantheon Resources plc,$997.0 M,United Kingdom,Oil & Gas E&P,Energy
368,CMC Markets plc,$985.2 M,United Kingdom,Capital Markets,Financials
369,Tullow Oil plc,$983.5 M,United Kingdom,Oil & Gas E&P,Energy
370,TR European Growth Trust plc,"(Jan. 1, 2022)",United Kingdom,Asset Management,Financials
371,Henderson Smaller Companies Investment Trust,$960.6 M,United Kingdom,Asset Management,Financials
372,iEnergizer Limited,$957.5 M,United Kingdom,Information Technology Services,Technology
373,Baillie Gifford US Growth Trust plc,$955.4 M,United Kingdom,Asset Management,Financials
374,Standard Life Uk Smaller Companies Trust plc,"(Dec. 1, 2021)",United Kingdom,Asset Management,Financials
375,Warehouse REIT plc,$946.9 M,United Kingdom,REITIndustrial,Real Estate
376,The Merchants Trust plc,$946.4 M,United Kingdom,Asset Management,Financials
377,Schroder Oriental Income Fund Limited,$945.6 M,United Kingdom,Asset Management,Financials
378,NB Private Equity Partners Limited,$937.2 M,United Kingdom,Asset Management,Financials
379,JPMorgan Global Growth & Income plc,$931.6 M,United Kingdom,Asset Management,Financials
380,Elementis plc,$928.5 M,United Kingdom,Specialty Chemicals,Basic Materials
381,Ibstock plc,$925.5 M,United Kingdom,Building Materials,Basic Materials
382,Team17 Group plc,$920.7 M,United Kingdom,Electronic Gaming & Multimedia,Communication Services
383,Crest Nicholson Holdings plc,$915.0 M,United Kingdom,Residential Construction,Consumer Discretionary
384,Marlowe plc,$906.3 M,United Kingdom,Security & Protection Services,Industrials
385,Yellow Cake plc,$905.8 M,United Kingdom,Uranium,Energy
386,BH Macro Limited GBP,$904.5 M,United Kingdom,Asset Management,Financials
387,BlackRock Throgmorton Trust plc,$904.0 M,United Kingdom,Asset Management,Financials
388,discoverIE Group plc,$903.9 M,United Kingdom,Electronic Components,Technology
389,Treatt plc,$903.4 M,United Kingdom,Specialty Chemicals,Basic Materials
390,McCarthy & Stone plc,"(March 13, 2021)",United Kingdom,Medical Care Facilities,Healthcare
391,Equiniti Group plc,"(Dec. 1, 2021)",United Kingdom,SoftwareInfrastructure,Technology
392,"Young & Co.'s Brewery, plc",$891.4 M,United Kingdom,Restaurants,Consumer Discretionary
393,Alternative Credit Investments plc,"(March 13, 2021)",United Kingdom,Asset Management,Financials
394,Watkin Jones plc,$882.2 M,United Kingdom,Residential Construction,Consumer Discretionary
395,Ergomed plc,$870.2 M,United Kingdom,Biotechnology,Healthcare
396,Bakkavor Group plc,$867.6 M,United Kingdom,Packaged Foods,Consumer Staples
397,The Rank Group plc,$853.8 M,United Kingdom,Gambling,Consumer Discretionary
398,Hochschild Mining plc,$852.3 M,United Kingdom,Gold,Basic Materials
399,Third Point Investors Limited,$836.6 M,United Kingdom,Asset Management,Financials
400,Alliance Pharma plc,$834.5 M,United Kingdom,Drug ManufacturersSpecialty & Generic,Healthcare
401,Polar Capital Holdings plc,$830.3 M,United Kingdom,Asset Management,Financials
402,Centessa Pharmaceuticals Ltd,$830.1 M,United Kingdom,Biotechnology,Healthcare
403,Tyman plc,$829.2 M,United Kingdom,Building Products & Equipment,Industrials
404,Restore plc,$828.8 M,United Kingdom,Specialty Business Services,Industrials
405,Ruffer Investment Company Limited,$827.8 M,United Kingdom,Asset Management,Financials
406,Pacific Horizon Investment Trust,$823.5 M,United Kingdom,Asset Management,Financials
407,NextEnergy Solar Ord,$817.8 M,United Kingdom,Asset Management,Financials
408,Genius Sports Ltd,$812.9 M,United Kingdom,Internet Content & Information,Communication Services
409,"MAS Real Estate, Inc.","(Nov. 1, 2021)",United Kingdom,Real EstateDiversified,Real Estate
410,The Vitec Group plc,$803.4 M,United Kingdom,Consumer Electronics,Technology
411,A.G. BARR plc,$799.2 M,United Kingdom,BeveragesNon-Alcoholic,Consumer Staples
412,Advanced Medical Solutions Group plc,$793.7 M,United Kingdom,Medical Instruments & Supplies,Healthcare
413,The Scottish Investment Trust plc,$791.8 M,United Kingdom,Asset Management,Financials
414,JPMorgan Indian Investment Trust plc,$785.9 M,United Kingdom,Asset Management,Financials
415,Keller Group plc,$778.1 M,United Kingdom,Engineering & Construction,Industrials
416,Reach plc,$777.1 M,United Kingdom,Publishing,Communication Services
417,Bank of Georgia Group plc,$777.1 M,United Kingdom,Banks,Financials
418,Mortgage Advice Bureau (Holdings) plc,$771.4 M,United Kingdom,Mortgage Finance,Financials
419,Target Healthcare REIT plc,$769.6 M,United Kingdom,REITDiversified,Real Estate
420,Sabre Insurance Group plc,$766.4 M,United Kingdom,Insurance Brokers,Financials
421,M.P. Evans Group plc,$758.2 M,United Kingdom,Farm Products,Consumer Staples
422,Hotel Chocolat Group plc,$756.6 M,United Kingdom,Confectioners,Consumer Staples
423,Stagecoach Group plc,$751.1 M,United Kingdom,Railroads,Industrials
424,Renew Holdings plc,$744.0 M,United Kingdom,Engineering & Construction,Industrials
425,RAK Petroleum plc,$737.4 M,United Kingdom,Oil & Gas E&P,Energy
426,Asia Dragon Trust plc,$737.0 M,United Kingdom,Asset Management,Financials
427,Oxford Biomedica plc,$734.7 M,United Kingdom,Biotechnology,Healthcare
428,DFS Furniture plc,$733.0 M,United Kingdom,"Furnishings, Fixtures & Appliances",Consumer Discretionary
429,Civitas Social Housing plc,$729.8 M,United Kingdom,REITResidential,Real Estate
430,Ideagen plc,$728.4 M,United Kingdom,SoftwareApplication,Technology
431,Forterra plc,$725.5 M,United Kingdom,Building Materials,Basic Materials
432,Harworth Group plc,$723.6 M,United Kingdom,Real EstateDevelopment,Real Estate
433,Picton Property Income Limited,$722.2 M,United Kingdom,REITDiversified,Real Estate
434,Empiric Student Property plc,$721.3 M,United Kingdom,REITResidential,Real Estate
435,Greatland Gold plc,$721.2 M,United Kingdom,Gold,Basic Materials
436,Goco Group plc,"(March 13, 2021)",United Kingdom,Information Technology Services,Technology
437,Stenprop Ltd,"(Nov. 1, 2021)",United Kingdom,REITIndustrial,Real Estate
438,Craneware plc,$718.9 M,United Kingdom,Health Information Services,Healthcare
439,Integrated Diagnostics Holdings plc,$718.0 M,United Kingdom,Diagnostics & Research,Healthcare
440,Bluefield Solar Income Fund Limited,$717.5 M,United Kingdom,Asset Management,Financials
441,SThree plc,$717.1 M,United Kingdom,Staffing & Employment Services,Industrials
442,TwentyFour Income Ord,$716.5 M,United Kingdom,Asset Management,Financials
443,FW Thorpe plc,$714.9 M,United Kingdom,Electrical Equipment & Parts,Industrials
444,TORM plc,$713.8 M,United Kingdom,Oil & Gas Midstream,Energy
445,North Atlantic Smaller Companies,$712.9 M,United Kingdom,Asset Management,Financials
446,The PRS REIT plc,$705.5 M,United Kingdom,REITResidential,Real Estate
447,Scion Tech Growth I,$704.0 M,United Kingdom,Shell Companies,Financials
448,Boussard & Gavaudan Holdings EUR,$695.3 M,United Kingdom,Asset Management,Financials
449,Navigator Holdings Ltd.,$691.8 M,United Kingdom,Oil & Gas Midstream,Energy
450,FD Technologies plc,$690.5 M,United Kingdom,Information Technology Services,Technology
451,Baillie Gifford Shin Nippon plc,$690.2 M,United Kingdom,Asset Management,Financials
452,Mountview Estates plc,$688.4 M,United Kingdom,Real Estate Services,Real Estate
453,NCC Group plc,$686.3 M,United Kingdom,SoftwareApplication,Technology
454,IMImobile plc,"(March 13, 2021)",United Kingdom,SoftwareApplication,Technology
455,John Menzies plc,$682.5 M,United Kingdom,Airports & Air Services,Industrials
456,Johnson Service Group plc,$680.7 M,United Kingdom,Specialty Business Services,Industrials
457,Marston's plc,$671.4 M,United Kingdom,Restaurants,Consumer Discretionary
458,Hunting plc,$669.9 M,United Kingdom,Oil & Gas Equipment & Services,Energy
459,Ecclesiastical Insurance Office plc,$666.8 M,United Kingdom,InsuranceLife,Financials
460,Senior plc,$662.6 M,United Kingdom,Aerospace & Defense,Industrials
461,EnQuest plc,$661.5 M,United Kingdom,Oil & Gas E&P,Energy
462,Robert Walters plc,$660.2 M,United Kingdom,Staffing & Employment Services,Industrials
463,BlackRock Greater Europe Investment Trust plc,$659.8 M,United Kingdom,Asset Management,Financials
464,Nichols plc,$657.0 M,United Kingdom,BeveragesNon-Alcoholic,Consumer Staples
465,Arrow Global Group plc,"(March 13, 2021)",United Kingdom,Asset Management,Financials
466,Halfords Group plc,$650.1 M,United Kingdom,Specialty Retail,Consumer Discretionary
467,RDI REIT plc,"(March 13, 2021)",United Kingdom,REITDiversified,Real Estate
468,Urban Logistics REIT plc,$644.0 M,United Kingdom,REITIndustrial,Real Estate
469,Frontier Developments plc,$635.6 M,United Kingdom,Electronic Gaming & Multimedia,Communication Services
470,Odfjell Drilling Ltd,$634.7 M,United Kingdom,Oil & Gas Drilling,Energy
471,Helical plc,$632.1 M,United Kingdom,Real Estate Services,Real Estate
472,Genel Energy plc,$631.9 M,United Kingdom,Oil & Gas E&P,Energy
473,Henderson Far East Income Ltd,"(March 13, 2021)",United Kingdom,Asset Management,Financials
474,Wincanton plc,$629.7 M,United Kingdom,Integrated Freight & Logistics,Industrials
475,Mid-Wynd International Investment Trust plc,$625.9 M,United Kingdom,Asset Management,Financials
476,Alfa Financial Software Holdings plc,$622.3 M,United Kingdom,SoftwareApplication,Technology
477,The Restaurant Group plc,$616.3 M,United Kingdom,Restaurants,Consumer Discretionary
478,Schroder Asian Total Return Investment Company plc,$612.1 M,United Kingdom,Asset Management,Financials
479,Tritax EuroBox plc,"(March 13, 2021)",United Kingdom,REITIndustrial,Real Estate
480,SIG plc,$604.7 M,United Kingdom,Industrial Distribution,Industrials
481,Chesnara plc,$599.5 M,United Kingdom,InsuranceLife,Financials
482,Dunedin Income Growth Investment Trust,$592.4 M,United Kingdom,Asset Management,Financials
483,Silence Therapeutics plc,"(Nov. 1, 2021)",United Kingdom,Biotechnology,Healthcare
484,Aberdeen Standard Asia Focus plc,$584.2 M,United Kingdom,Asset Management,Financials
485,GCP Asset Backed Income Fund Limited,$580.1 M,United Kingdom,Asset Management,Financials
486,Cineworld Group plc,$575.9 M,United Kingdom,Entertainment,Communication Services
487,Kin and Carta plc,$574.8 M,United Kingdom,Specialty Business Services,Industrials
488,Brunner Investment Trust plc,$574.7 M,United Kingdom,Asset Management,Financials
489,Impact Healthcare Reit plc,$567.3 M,United Kingdom,REITDiversified,Real Estate
490,Scapa Group plc,"(March 13, 2021)",United Kingdom,Specialty Chemicals,Basic Materials
491,North American Income Trust (The) plc,$566.7 M,United Kingdom,Asset Management,Financials
492,European Assets Trust plc,$564.2 M,United Kingdom,Asset Management,Financials
493,KNOT Offshore Partners LP,$562.5 M,United Kingdom,Marine Shipping,Industrials
494,BH Global Limited,"(March 13, 2021)",United Kingdom,Asset Management,Financials
495,JPMorgan Claverhouse Investment Trust plc,$560.9 M,United Kingdom,Asset Management,Financials
496,Aberdeen Global Premier Properties Fund,$560.6 M,United Kingdom,Asset Management,Financials
497,Custodian REIT Ord,$559.0 M,United Kingdom,REITDiversified,Real Estate
498,Oxford Immunotec Global PLC,"(Feb. 18, 2021)",United Kingdom,Diagnostics & Research,Healthcare
499,AO World plc,$556.1 M,United Kingdom,Internet Retail,Consumer Discretionary
500,Henry Boot plc,$555.3 M,United Kingdom,Real EstateDiversified,Real Estate
501,CoinShares International Ltd,$551.8 M,United Kingdom,Capital Markets,Financials
502,Volex plc,$549.6 M,United Kingdom,Electrical Equipment & Parts,Industrials
503,Judges Scientific plc,$545.0 M,United Kingdom,Scientific & Technical Instruments,Technology
504,PayPoint plc,$542.9 M,United Kingdom,Information Technology Services,Technology
505,Brooks Macdonald Group plc,$539.2 M,United Kingdom,Asset Management,Financials
506,Strix Group plc,$537.9 M,United Kingdom,Electronic Components,Technology
507,Central Asia Metals plc,$535.2 M,United Kingdom,Copper,Basic Materials
508,Aberdeen Asian Income Fund Limited,$532.4 M,United Kingdom,Asset Management,Financials
509,Avon Protection plc,$531.4 M,United Kingdom,Aerospace & Defense,Industrials
510,Avon Rubber plc,$528.6 M,United Kingdom,Aerospace & Defense,Industrials
511,JPMorgan Global Emerging Markets Income Trust,$527.6 M,United Kingdom,Asset Management,Financials
512,Starwood European Real Estate Finance Ltd,$526.0 M,United Kingdom,Asset Management,Financials
513,Mattioli Woods plc,$523.7 M,United Kingdom,Asset Management,Financials
514,Octopus Renewables Infrastructure Trust plc,$523.1 M,United Kingdom,Asset Management,Financials
515,LSL Property Services plc,$515.7 M,United Kingdom,Real Estate Services,Real Estate
516,Hollywood Bowl Group plc,$514.5 M,United Kingdom,Leisure,Consumer Discretionary
517,Urovant Sciences Ltd.,"(Feb. 18, 2021)",United Kingdom,Biotechnology,Healthcare
518,Diverse Income Trust,$511.9 M,United Kingdom,Asset Management,Financials
519,Panariagroup Industrie Ceramiche SpA,$510.1 M,United Kingdom,SoftwareInfrastructure,Technology
520,Baillie Gifford European Growth Trust plc,$508.2 M,United Kingdom,Asset Management,Financials
521,Anglo Pacific Group plc,$503.9 M,United Kingdom,Coking Coal,Basic Materials
522,Kier Group plc,$499.2 M,United Kingdom,Engineering & Construction,Industrials
523,Investindustrial Acquisition Corp.,"(Dec. 1, 2021)",United Kingdom,Shell Companies,Financials
524,Pacific Assets Trust,$498.8 M,United Kingdom,Asset Management,Financials
525,Regional REIT Ltd,$498.8 M,United Kingdom,REITDiversified,Real Estate
526,On the Beach Group plc,$497.1 M,United Kingdom,Travel Services,Consumer Discretionary
527,Phoenix Spree Deutschland Limited,$496.7 M,United Kingdom,REITResidential,Real Estate
528,JPMorgan Elect plc Managed Growth,$492.6 M,United Kingdom,Asset Management,Financials
529,COMPASS Pathways plc,$492.2 M,United Kingdom,Medical Care Facilities,Healthcare
530,Inspecs Group plc,$491.8 M,United Kingdom,Medical Instruments & Supplies,Healthcare
531,JPMorgan Asia Growth & Income plc,$490.7 M,United Kingdom,Asset Management,Financials
532,Kistos plc,$487.0 M,United Kingdom,Asset Management,Financials
533,Templeton Emerging Markets Investment Trust TEMIT,$484.4 M,United Kingdom,Asset Management,Financials
534,Luxfer Holdings PLC,$483.8 M,United Kingdom,Specialty Industrial Machinery,Industrials
535,MJ Gleeson plc,$483.4 M,United Kingdom,Residential Construction,Consumer Discretionary
536,Polar Capital Global Healthcare Trust,$477.7 M,United Kingdom,Asset Management,Financials
537,Petrofac Limited,$472.4 M,United Kingdom,Oil & Gas Equipment & Services,Energy
538,Henderson European Focus Trust plc,$471.2 M,United Kingdom,Asset Management,Financials
539,Bloomsbury Publishing plc,$470.9 M,United Kingdom,Publishing,Communication Services
540,"Fuller, Smith & Turner plc",$470.1 M,United Kingdom,Restaurants,Consumer Discretionary
541,Real Estate Credit Investments Limited,$470.1 M,United Kingdom,Asset Management,Financials
542,Pendragon plc,$468.4 M,United Kingdom,Auto & Truck Dealerships,Consumer Discretionary
543,Lowland Investment Company plc,$464.9 M,United Kingdom,Asset Management,Financials
544,Honeycomb Investment Trust plc,$463.3 M,United Kingdom,Asset Management,Financials
545,Standard Life Investments Property Income Trust,$463.0 M,United Kingdom,REITDiversified,Real Estate
546,BMO Private Equity Trust plc,$462.7 M,United Kingdom,Asset Management,Financials
547,TT Electronics plc,$461.9 M,United Kingdom,Electronic Components,Technology
548,Capita plc,$460.2 M,United Kingdom,Specialty Business Services,Industrials
549,Lookers plc,$459.3 M,United Kingdom,Auto & Truck Dealerships,Consumer Discretionary
550,Alpha Financial Markets Consulting plc,$458.9 M,United Kingdom,Consulting Services,Industrials
551,BMO Capital and Income Investment Trust plc,$455.1 M,United Kingdom,Asset Management,Financials
552,Riverstone Energy Limited,$454.4 M,United Kingdom,Asset Management,Financials
553,Henderson International Income Trust,$453.6 M,United Kingdom,Asset Management,Financials
554,accesso Technology Group plc,$450.9 M,United Kingdom,SoftwareApplication,Technology
555,Vp plc,$450.2 M,United Kingdom,Rental & Leasing Services,Industrials
556,Devro plc,$449.0 M,United Kingdom,Packaged Foods,Consumer Staples
557,Jubilee Metals Group plc,$445.2 M,United Kingdom,Other Industrial Metals & Mining,Basic Materials
558,Eurasia Mining plc,$440.4 M,United Kingdom,Other Precious Metals & Mining,Basic Materials
559,Triple Point Social Housing Reit plc,$439.8 M,United Kingdom,REITDiversified,Real Estate
560,S&U plc,"(Jan. 1, 2022)",United Kingdom,Credit Services,Financials
561,Saga plc,$434.4 M,United Kingdom,InsuranceDiversified,Financials
562,Fidelity Asian Values plc,$433.7 M,United Kingdom,Asset Management,Financials
563,Aberdeen New India Investment Trust plc,$433.6 M,United Kingdom,Asset Management,Financials
564,Aberdeen Diversified Income And Growth Trust plc,$428.2 M,United Kingdom,Asset Management,Financials
565,Headlam Group plc,$428.1 M,United Kingdom,"Furnishings, Fixtures & Appliances",Consumer Discretionary
566,Benchmark Holdings plc,$427.1 M,United Kingdom,Drug ManufacturersSpecialty & Generic,Healthcare
567,Elixirr International plc,$424.0 M,United Kingdom,Consulting Services,Industrials
568,Aberdeen New Dawn Investment Trust plc,$421.3 M,United Kingdom,Asset Management,Financials
569,ScION Tech Growth II,$421.1 M,United Kingdom,Shell Companies,Financials
570,Luceco plc,$420.8 M,United Kingdom,Electrical Equipment & Parts,Industrials
571,The Gym Group plc,$417.0 M,United Kingdom,Leisure,Consumer Discretionary
572,Trian Investors 1 Ltd,$415.4 M,United Kingdom,Asset Management,Financials
573,Gresham House plc,$406.7 M,United Kingdom,Asset Management,Financials
574,Marshall Motor Holdings plc,$406.3 M,United Kingdom,Auto & Truck Dealerships,Consumer Discretionary
575,Fundsmith Emerging Equities Trust plc,$405.3 M,United Kingdom,Asset Management,Financials
576,JPMorgan China Growth & Income plc,$402.8 M,United Kingdom,Asset Management,Financials
577,Home Reit plc,$399.0 M,United Kingdom,REITDiversified,Real Estate
578,Audioboom Group plc,$397.8 M,United Kingdom,Internet Content & Information,Communication Services
579,PensionBee Group plc,$392.8 M,United Kingdom,SoftwareApplication,Technology
580,Scottish Oriental Smaller Companies Trust plc,$391.4 M,United Kingdom,Asset Management,Financials
581,FRP Advisory Group plc,$391.2 M,United Kingdom,Capital Markets,Financials
582,Martin Currie Global Portfolio Investment Trust,$390.9 M,United Kingdom,Asset Management,Financials
583,AFC Energy plc,$390.7 M,United Kingdom,Electrical Equipment & Parts,Industrials
584,Aberdeen Standard European Logistics Income plc,$385.7 M,United Kingdom,REITIndustrial,Real Estate
585,Porvair plc,$385.4 M,United Kingdom,Pollution & Treatment Controls,Industrials
586,RPS Group plc,$384.6 M,United Kingdom,Consulting Services,Industrials
587,Adriatic Metals plc,$379.9 M,United Kingdom,Other Industrial Metals & Mining,Basic Materials
588,VH Global Sustainable Energy Opportunities plc,$378.8 M,United Kingdom,Asset Management,Financials
589,CentralNic Group plc,$377.9 M,United Kingdom,Internet Content & Information,Communication Services
590,Schroder Real Estate Investment Trust Limited,$377.6 M,United Kingdom,REITDiversified,Real Estate
591,London Security plc,"(March 13, 2021)",United Kingdom,Security & Protection Services,Industrials
592,Funding Circle Holdings plc,$373.9 M,United Kingdom,Credit Services,Financials
593,Tracsis plc,$373.8 M,United Kingdom,SoftwareApplication,Technology
594,Amryt Pharma plc,"(Jan. 1, 2022)",United Kingdom,Drug ManufacturersSpecialty & Generic,Healthcare
595,Baillie Gifford UK Growth,$372.5 M,United Kingdom,Asset Management,Financials
596,Broadstone Acquisition Corp,"(Dec. 1, 2021)",United Kingdom,Shell Companies,Financials
597,Speedy Hire plc,$368.9 M,United Kingdom,Specialty Business Services,Industrials
598,IDOX plc,$368.2 M,United Kingdom,SoftwareApplication,Technology
599,Accsys Technologies plc,$367.8 M,United Kingdom,Lumber & Wood Production,Basic Materials
600,Premier Oil plc,"(March 13, 2021)",United Kingdom,Oil & Gas E&P,Energy
601,Brickability Group plc,$365.0 M,United Kingdom,Industrial Distribution,Industrials
602,Argo Blockchain plc,$362.5 M,United Kingdom,Capital Markets,Financials
603,Charles Stanley Group plc,"(Jan. 1, 2022)",United Kingdom,Asset Management,Financials
604,Centricus Acquisition Corp,"(Nov. 1, 2021)",United Kingdom,Shell Companies,Financials
605,NewRiver REIT plc,$359.7 M,United Kingdom,REITRetail,Real Estate
606,McKay Securities plc,$358.6 M,United Kingdom,REITDiversified,Real Estate
607,Numis Corporation plc,$358.4 M,United Kingdom,Capital Markets,Financials
608,Bacanora Lithium plc,"(Jan. 1, 2022)",United Kingdom,Other Industrial Metals & Mining,Basic Materials
609,Photo-Me International plc,$355.9 M,United Kingdom,Leisure,Consumer Discretionary
610,XPS Pensions Group plc,$352.9 M,United Kingdom,Personal Services,Consumer Discretionary
611,Telit Communications plc,"(March 13, 2021)",United Kingdom,Communication Equipment,Technology
612,"Aberdeen Emerging Markets Equity Income Fund, Inc.",$350.0 M,United Kingdom,Asset Management,Financials
613,Tatton Asset Management plc,$347.2 M,United Kingdom,Asset Management,Financials
614,IQE plc,$346.8 M,United Kingdom,Semiconductor Equipment & Materials,Technology
615,International Biotechnology Trust,$346.3 M,United Kingdom,Asset Management,Financials
616,Aurora Acquisition Corp,$345.6 M,United Kingdom,Shell Companies,Financials
617,Naked Wines plc,$344.9 M,United Kingdom,BeveragesWineries & Distilleries,Consumer Staples
618,CVC Credit Partners European Opportunities Limited,$344.1 M,United Kingdom,Asset Management,Financials
619,Goodwin plc,$343.4 M,United Kingdom,Specialty Industrial Machinery,Industrials
620,Savannah Energy plc,$343.4 M,United Kingdom,Oil & Gas E&P,Energy
621,AB Dynamics plc,$341.2 M,United Kingdom,Auto Parts,Consumer Discretionary
622,Unicorn AIM VCT plc,$341.0 M,United Kingdom,Asset Management,Financials
623,Motorpoint Group plc,$339.2 M,United Kingdom,Auto & Truck Dealerships,Consumer Discretionary
624,Gooch & Housego plc,$336.4 M,United Kingdom,Electronic Components,Technology
625,BlackRock Frontiers Investment Trust plc,$336.3 M,United Kingdom,Asset Management,Financials
626,JPMorgan Smaller Companies Investment Trust plc,$336.1 M,United Kingdom,Asset Management,Financials
627,Schroder Japan Growth Fund plc,"(March 13, 2021)",United Kingdom,Asset Management,Financials
628,City of London Investment Group plc,$335.0 M,United Kingdom,Asset Management,Financials
629,Horizonte Minerals plc,$333.4 M,United Kingdom,Other Industrial Metals & Mining,Basic Materials
630,JPMorgan US Smaller Co. Inv Tst plc,$332.9 M,United Kingdom,Asset Management,Financials
631,Loungers plc,$330.3 M,United Kingdom,Restaurants,Consumer Discretionary
632,Troy Income & Growth Trust plc,$328.7 M,United Kingdom,Asset Management,Financials
633,Premier Miton Group plc,$325.6 M,United Kingdom,Asset Management,Financials
634,JPMorgan Mid Cap Investment Trust plc,$324.3 M,United Kingdom,Asset Management,Financials
635,Octopus Apollo VCT,$322.6 M,United Kingdom,Asset Management,Financials
636,Dignity plc,$322.0 M,United Kingdom,Personal Services,Consumer Discretionary
637,James Latham plc,$321.3 M,United Kingdom,Industrial Distribution,Industrials
638,The Independent Investment Trust plc,$320.1 M,United Kingdom,Asset Management,Financials
639,Adaptimmune Therapeutics plc,$315.8 M,United Kingdom,Biotechnology,Healthcare
640,Eurocell plc,$315.3 M,United Kingdom,Building Products & Equipment,Industrials
641,Gateley (Holdings) plc,$314.9 M,United Kingdom,Consulting Services,Industrials
642,i3 Energy plc,$312.9 M,United Kingdom,Oil & Gas E&P,Energy
643,CQS New City High Yield Fund Limited,$311.8 M,United Kingdom,Asset Management,Financials
644,Invesco Asia Trust plc,$311.3 M,United Kingdom,Asset Management,Financials
645,Fidelity Japan Trust plc,$309.2 M,United Kingdom,Asset Management,Financials
646,ANGLE plc,$307.5 M,United Kingdom,Diagnostics & Research,Healthcare
647,Ricardo plc,$307.5 M,United Kingdom,Consulting Services,Industrials
648,Verona Pharma plc,$307.5 M,United Kingdom,Biotechnology,Healthcare
649,Autolus Therapeutics plc,$307.3 M,United Kingdom,Biotechnology,Healthcare
650,Secure Trust Bank plc,$306.4 M,United Kingdom,Banks,Financials
651,Proton Motor Power Systems plc,$305.4 M,United Kingdom,Electrical Equipment & Parts,Industrials
652,Vertu Motors plc,$304.3 M,United Kingdom,Auto & Truck Dealerships,Consumer Discretionary
653,Securities Trust of Scotland plc,$304.1 M,United Kingdom,Asset Management,Financials
654,AA plc,"(March 13, 2021)",United Kingdom,Personal Services,Consumer Discretionary
655,Wilmington plc,$302.2 M,United Kingdom,Conglomerates,Industrials
656,River and Mercantile Group plc,$300.5 M,United Kingdom,Asset Management,Financials
657,Augean plc,"(March 13, 2021)",United Kingdom,Waste Management,Industrials
658,Ted Baker plc,$294.4 M,United Kingdom,Apparel Retail,Consumer Discretionary
659,Augmentum Fintech plc,$292.5 M,United Kingdom,Asset Management,Financials
660,Gemfields Group Limited,$291.7 M,United Kingdom,Other Precious Metals & Mining,Basic Materials
661,BMO Real Estate Investments Ltd,$291.5 M,United Kingdom,REITDiversified,Real Estate
662,Henderson High Income Trust,$290.7 M,United Kingdom,Asset Management,Financials
663,Cerillion plc,$290.0 M,United Kingdom,SoftwareApplication,Technology
664,Fintel Plc,$288.7 M,United Kingdom,Consulting Services,Industrials
665,Mears Group plc,$286.6 M,United Kingdom,Specialty Business Services,Industrials
666,Lindsell Train Investment Trust,$286.5 M,United Kingdom,Asset Management,Financials
667,Petra Diamonds Limited,$285.6 M,United Kingdom,Other Precious Metals & Mining,Basic Materials
668,Schroder UK Public Private Trust plc,$285.5 M,United Kingdom,Asset Management,Financials
669,Tiziana Life Sciences plc,"(March 13, 2021)",United Kingdom,Biotechnology,Healthcare
670,Ecofin Global Utilities & Infrastructure Trust plc,$284.3 M,United Kingdom,Asset Management,Financials
