,INDEX,URL,Name,Trade Name,Address Name,Postalcode,City,State,Country,Location type
1155,1156,https://www.info-clipper.com/en/company/united-kingdom/bioreliance-biotech-limited.gbd8cnpg6.html,BIORELIANCE BIOTECH LIMITED,,"Building 5 Todd Campus, West Of Scotland Science Pk",              G20 0XA,GLASGOW,UNITED KINGDOM,UNITED KINGDOM,Single address
1156,1157,https://www.info-clipper.com/en/company/italy/gianni-versace-srl.itd9c86xb.html,GIANNI VERSACE SRL,,PIAZZA LUIGI EINAUDI 4,20124,MILANO,ITALY,ITALY,Headquarter
1157,1158,https://www.info-clipper.com/en/company/united-states/geisinger-health.usd1bdq75.html,GEISINGER HEALTH,,100 N ACADEMY AVE,178229800,DANVILLE,Pennsylvania(PA),UNITED STATES,Headquarter
1158,1159,https://www.info-clipper.com/en/company/united-kingdom/dura-id-solutions-limited.gbd3p1xd4.html,DURA-ID SOLUTIONS LIMITED,,Boscawen House St Stephen,              PL26 7QF,ST. AUSTELL,UNITED KINGDOM,UNITED KINGDOM,Single address
1159,1160,https://www.info-clipper.com/en/company/italy/microbial-control-italy-srl.itd7bdkbx.html,MICROBIAL CONTROL ITALY SRL,,VIA SAN BOVIO 1/3,20054,SEGRATE (SEGREEN BUSINESS PARK PAL. Y ),ITALY,ITALY,Single address
1160,1161,https://www.info-clipper.com/en/company/united-states/osi-group-llc.usdd1nqcs.html,"OSI GROUP, LLC",,1225 CORPORATE BLVD STE 300,605057649,AURORA,Illinois(IL),UNITED STATES,Headquarter
1161,1162,https://www.info-clipper.com/en/company/united-kingdom/dura-automotive-holdings-uk-ltd.gbd3nwc00.html,"DURA AUTOMOTIVE HOLDINGS U.K., LTD",,Castle Bromwich Business Park Tameside Drive,              B35 7AG,BIRMINGHAM,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1162,1163,https://www.info-clipper.com/en/company/italy/italia-t1-roncolo-srl.itd78qovz.html,ITALIA T1 RONCOLO SRL,,PIAZZA WALTHER VON DER VOGELWEIDE 8,39100,BOLZANO,ITALY,ITALY,Headquarter
1163,1164,https://www.info-clipper.com/en/company/united-states/barclays-financial-corporation.usd2czse0.html,BARCLAYS FINANCIAL CORPORATION,BARCLAYCARD US,125 S W ST,198015014,WILMINGTON,Delaware(DE),UNITED STATES,Headquarter
1164,1165,https://www.info-clipper.com/en/company/united-kingdom/total-marketing-support-global-limited.gbd3nvczp.html,TOTAL MARKETING SUPPORT GLOBAL LIMITED,,350 EUSTON ROAD,              NW1 3AX,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1165,1166,https://www.info-clipper.com/en/company/italy/autodis-italia-srl.itd78q1jx.html,AUTODIS ITALIA SRL,,VIA ISACCO NEWTON 12,20016,PERO,ITALY,ITALY,Headquarter
1166,1167,https://www.info-clipper.com/en/company/united-states/new-england-asset-management-inc.usd2i0872.html,"NEW ENGLAND ASSET MANAGEMENT, INC.",,74 BATTERSON PARK RD,60322565,FARMINGTON,Connecticut(CT),UNITED STATES,Headquarter
1167,1168,https://www.info-clipper.com/en/company/united-kingdom/total-marketing-support-limited.gbd3n7dla.html,TOTAL MARKETING SUPPORT LIMITED,,7th Floor 350 Euston Road,              NW1 3AX,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1168,1169,https://www.info-clipper.com/en/company/italy/luxottica-group-spa.itd782om8.html,LUXOTTICA GROUP SPA,BULGARI,PIAZZALE LUIGI CADORNA 3,20123,MILANO,ITALY,ITALY,
1169,1170,https://www.info-clipper.com/en/company/united-states/amway-international-inc.usd2l8wqf.html,AMWAY INTERNATIONAL INC.,AMWAY,7575 FULTON ST E,493550001,ADA,Michigan(MI),UNITED STATES,Headquarter
1170,1171,https://www.info-clipper.com/en/company/united-kingdom/be-ii-investments-limited.gbd3h1lhd.html,BE II INVESTMENTS (GP) LIMITED,,95 WIGMORE STREET,              W1U 1FB,LONDON,UNITED KINGDOM,UNITED KINGDOM,Single address
1171,1172,https://www.info-clipper.com/en/company/italy/bulgari-spa.itd73pl77.html,BULGARI SPA,,VIA MONTE NAPOLEONE 27,20121,MILANO,ITALY,ITALY,Headquarter
1172,1173,https://www.info-clipper.com/en/company/united-states/alticor-inc.usd3l6ax.html,ALTICOR INC.,AMWAY,7575 FULTON ST E,493550001,ADA,Michigan(MI),UNITED STATES,Headquarter
1173,1174,https://www.info-clipper.com/en/company/united-kingdom/bridgepoint-advisers-europe-limited.gbd3ksljs.html,BRIDGEPOINT ADVISERS EUROPE LIMITED,,5 Marble Arch,              W1H 7EJ,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1174,1175,https://www.info-clipper.com/en/company/italy/bulgari-roma-srl.itd7a5wja.html,BULGARI ROMA SRL,,LUNGOTEVERE MARZIO 11,186,ROMA,ITALY,ITALY,Single address
1175,1176,https://www.info-clipper.com/en/company/united-states/amway-corp.usd1dnwuu.html,AMWAY CORP.,,7575 FULTON ST E,493550001,ADA,Michigan(MI),UNITED STATES,Headquarter
1176,1177,https://www.info-clipper.com/en/company/united-kingdom/cnh-industrial-oldco-capital-limited.gbd3yk4g2.html,CNH INDUSTRIAL OLDCO CAPITAL LIMITED,,32/521 Cranes Farm Road,              SS14 3AD,BASILDON,UNITED KINGDOM,UNITED KINGDOM,Single address
1177,1178,https://www.info-clipper.com/en/company/italy/maschio-gaspardo-spa.itd7334wz.html,MASCHIO GASPARDO SPA,MASCHIO,VIA MARCELLO 73,35011,CAMPODARSEGO,ITALY,ITALY,
1178,1179,https://www.info-clipper.com/en/company/united-states/amway-international-development-inc.usddn3dkk.html,"AMWAY INTERNATIONAL DEVELOPMENT, INC.",,7575 FULTON ST E,49301,ADA,Michigan(MI),UNITED STATES,Headquarter
1179,1180,https://www.info-clipper.com/en/company/united-kingdom/cnh-uk-limited.gbd4xs2xe.html,CNH U.K. LIMITED,CNH INDUSTRIAL CAPITAL,Cranes Farm Road,              SS14 3AD,BASILDON,UNITED KINGDOM,UNITED KINGDOM,
1180,1181,https://www.info-clipper.com/en/company/italy/universita-degli-studi-di-foggia.itd8i14zn.html,UNIVERSITA' DEGLI STUDI DI FOGGIA,,VIA ANTONIO GRAMSCI 89/91,71122,FOGGIA,ITALY,ITALY,Headquarter
1181,1182,https://www.info-clipper.com/en/company/united-states/firecom-inc.usd1hf6ip.html,"FIRECOM, INC.",BIO SERVICE,39-27 59TH ST,113773435,WOODSIDE,New York(NY),UNITED STATES,Headquarter
1182,1183,https://www.info-clipper.com/en/company/united-kingdom/ic-financial-services-uk-limited.gbd3m3iqq.html,IC FINANCIAL SERVICES UK LIMITED,,Cranes Farm Road,              SS14 3AD,BASILDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1183,1184,https://www.info-clipper.com/en/company/italy/data-flow-srl.itdau8i05.html,DATA FLOW SRL,,VIA LUIGI NATALE VERNAZZI 26/A,43122,PARMA,ITALY,ITALY,Headquarter
1184,1185,https://www.info-clipper.com/en/company/united-states/chubb-group-of-insurance-companies.usdddqg5q.html,CHUBB GROUP OF INSURANCE COMPANIES,,202 HALLS MILL RD,88893454,WHITEHOUSE STATION,New Jersey(NJ),UNITED STATES,Headquarter
1185,1186,https://www.info-clipper.com/en/company/united-kingdom/cnh-industrial-nv.gbd3mhggu.html,CNH INDUSTRIAL N.V.,,25 St. James's Street,              SW1A 1HA,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1186,1187,https://www.info-clipper.com/en/company/italy/madic-italia-spa.itd730b7f.html,MADIC ITALIA SPA,,VIA ALESSANDRO VOLTA 39,21010,CARDANO AL CAMPO,ITALY,ITALY,Single address
1187,1188,https://www.info-clipper.com/en/company/united-states/shi-international-corp.usda41209.html,SHI INTERNATIONAL CORP.,,290 DAVIDSON AVE,88734145,SOMERSET,New Jersey(NJ),UNITED STATES,Headquarter
1188,1189,https://www.info-clipper.com/en/company/united-kingdom/natixis.gbd3uic0w.html,NATIXIS,,Cannon Bridge House 25 Dowgate Hill,              EC4R 2YA,LONDON,UNITED KINGDOM,UNITED KINGDOM,Single address
1189,1190,https://www.info-clipper.com/en/company/italy/pirelli-c-spa.itd783az2.html,PIRELLI & C. SPA,,VIALE PIERO E ALBERTO PIRELLI 25,20126,MILANO,ITALY,ITALY,Headquarter
1190,1191,https://www.info-clipper.com/en/company/united-states/3m-company.usd3ob6i.html,3M COMPANY,,3M CENTER,551441000,SAINT PAUL,Minnesota(MN),UNITED STATES,Headquarter
1191,1192,https://www.info-clipper.com/en/company/united-kingdom/natixis-investment-managers-uk-limited.gbd3x0ml7.html,NATIXIS INVESTMENT MANAGERS UK LIMITED,,1 Carter Lane,              EC4V 5ER,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1192,1193,https://www.info-clipper.com/en/company/italy/skf-industrie-spa.itd73fa95.html,SKF INDUSTRIE SPA,,VIA PINEROLO 44,10060,AIRASCA,ITALY,ITALY,Headquarter
1193,1194,https://www.info-clipper.com/en/company/united-states/3m-innovative-properties-company.usd27v5mj.html,3M INNOVATIVE PROPERTIES COMPANY,3M,3M CENTER BLDG 225 3S 06,551441001,SAINT PAUL,Minnesota(MN),UNITED STATES,Headquarter
1194,1195,https://www.info-clipper.com/en/company/united-kingdom/pramex-international-ltd.gbdco9tzf.html,PRAMEX INTERNATIONAL LTD,,11 Old Jewry 8Th Floor South,              EC2R 8DU,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1195,1196,https://www.info-clipper.com/en/company/italy/skf-seals-italy-spa.itd738fy1.html,SKF SEALS ITALY SPA,,STRADA PER POIRINO 41,14019,VILLANOVA D'ASTI,ITALY,ITALY,Headquarter
1196,1197,https://www.info-clipper.com/en/company/united-states/3m-interamerica-inc.usdc7cvj.html,"3M INTERAMERICA, INC.",3M,2501 OLD HUDSON RD,551440001,MAPLEWOOD,Minnesota(MN),UNITED STATES,Headquarter
1197,1198,https://www.info-clipper.com/en/company/united-kingdom/dhl-international-limited.gbd3lbneu.html,DHL INTERNATIONAL (UK) LIMITED,DHL Supply Chain,"Unit 1 Southern Hub, Horton Road, Colnbrook",              SL3 0BB,SLOUGH,UNITED KINGDOM,UNITED KINGDOM,
1198,1199,https://www.info-clipper.com/en/company/italy/ucit-srl.itd74znzj.html,U.C.I.T. SRL,,VIALE GIUSEPPE DUODO 5,33100,UDINE,ITALY,ITALY,Single address
1199,1200,https://www.info-clipper.com/en/company/united-states/ametek-inc.usdstx9.html,"AMETEK, INC.",,1100 CASSATT RD,193121177,BERWYN,Pennsylvania(PA),UNITED STATES,Headquarter
1200,1201,https://www.info-clipper.com/en/company/united-kingdom/dhl-supply-chain-limited.gbd3i7jj7.html,DHL SUPPLY CHAIN LIMITED,,251 MIDSUMMER BOULEVARD,              MK9 1EA,MILTON KEYNES,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1201,1202,https://www.info-clipper.com/en/company/italy/wood-italiana-srl.itd72tsrt.html,WOOD ITALIANA SRL,,VIA SEBASTIANO CABOTO 15,20094,CORSICO,ITALY,ITALY,Headquarter
1202,1203,https://www.info-clipper.com/en/company/united-states/neato-robotics-inc.usd9cnnp.html,"NEATO ROBOTICS, INC.",,50 RIO ROBLES,951341806,SAN JOSE,California(CA),UNITED STATES,Headquarter
1203,1204,https://www.info-clipper.com/en/company/united-kingdom/google-uk-limited.gbd3yttdv.html,GOOGLE UK LIMITED,,Belgrave House 76 Buckingham Palace Road,              SW1W 9TQ,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1204,1205,https://www.info-clipper.com/en/company/italy/geodis-holding-italia-spa.itd78e30r.html,GEODIS HOLDING ITALIA SPA,,PIAZZALE GIORGIO AMBROSOLI SNC,27015,LANDRIANO,ITALY,ITALY,Headquarter
1205,1206,https://www.info-clipper.com/en/company/united-states/inter-continental-hotels-corporation.usd2d4ga0.html,INTER-CONTINENTAL HOTELS CORPORATION,,35016 AVE D,923994407,YUCAIPA,California(CA),UNITED STATES,Headquarter
1206,1207,https://www.info-clipper.com/en/company/united-kingdom/accor-limited.gbd3r6im6.html,ACCOR (U.K.) LIMITED,,10 Hammersmith Grove,              W6 7AP,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1207,1208,https://www.info-clipper.com/en/company/italy/kayser-filtertech-italy-srl.itd74036t.html,KAYSER FILTERTECH ITALY SRL,,STRADA COMMENDA 4/B,10072,CASELLE TORINESE,ITALY,ITALY,Single address
1208,1209,https://www.info-clipper.com/en/company/united-states/timken-gears-services-inc.usdg0sfv6.html,TIMKEN GEARS & SERVICES INC.,,935 1ST AVE STE 200,194061342,KING OF PRUSSIA,Pennsylvania(PA),UNITED STATES,Headquarter
1209,1210,https://www.info-clipper.com/en/company/united-kingdom/accor-uk-business-leisure-hotels-limited.gbd3law77.html,ACCOR UK BUSINESS & LEISURE HOTELS LIMITED,,10 Hammersmith Grove,              W6 7AP,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1210,1211,https://www.info-clipper.com/en/company/italy/above-comparison-srl.itd7bxqct.html,ABOVE COMPARISON SRL,,VIA FELICE CASATI 1 A,20124,MILANO,ITALY,ITALY,Single address
1211,1212,https://www.info-clipper.com/en/company/united-states/getty-images-inc.usdgy3ni.html,"GETTY IMAGES, INC.",,605 5TH AVE S STE 400,981043887,SEATTLE,Washington(WA),UNITED STATES,Headquarter
1212,1213,https://www.info-clipper.com/en/company/united-kingdom/accor-uk-economy-hotels-limited.gbd4u2o5d.html,ACCOR UK ECONOMY HOTELS LIMITED,,10 Hammersmith Grove,              W6 7AP,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1213,1214,https://www.info-clipper.com/en/company/italy/magnaki-srl.itd7b97vz.html,MAGNAKI SRL,,VIA AURELIO SAFFI 21,20123,MILANO,ITALY,ITALY,Single address
1214,1215,https://www.info-clipper.com/en/company/united-states/getty-images-inc.usd1bgtcq.html,"GETTY IMAGES (SEATTLE), INC.",,605 5TH AVE S STE 400,981043887,SEATTLE,Washington(WA),UNITED STATES,Headquarter
1215,1216,https://www.info-clipper.com/en/company/united-kingdom/gb3-limited.gbdc7y02p.html,GB3 LIMITED,,The Root House Clifton Fields Lytham Road,              PR4 0XG,PRESTON,UNITED KINGDOM,UNITED KINGDOM,Single address
1216,1217,https://www.info-clipper.com/en/company/italy/magnaki-holding-srl.itd7anw43.html,MAGNAKI HOLDING SRL,,VIA AURELIO SAFFI 21,20123,MILANO,ITALY,ITALY,Headquarter
1217,1218,https://www.info-clipper.com/en/company/united-states/arch-specialty-insurance-company.usdd35p6u.html,ARCH SPECIALTY INSURANCE COMPANY,,300 PLAZA THREE 3RD FL,73111107,JERSEY CITY,New Jersey(NJ),UNITED STATES,Single address
1218,1219,https://www.info-clipper.com/en/company/united-kingdom/sse-insurance-limited.gbd3tdg72.html,SSE Insurance Limited,,"Tower Ho Loch Promenade, Douglas",              IM1 2LZ,ISLE OF MAN,UNITED KINGDOM,UNITED KINGDOM,Single address
1219,1220,https://www.info-clipper.com/en/company/italy/gl-events-italia-expo-srl.itd69fgw5.html,GL EVENTS ITALIA EXPO SRL,,VIA NIZZA 294,10126,TORINO,ITALY,ITALY,Single address
1220,1221,https://www.info-clipper.com/en/company/united-states/new-york-life-insurance-company.usd45s7n.html,NEW YORK LIFE INSURANCE COMPANY,,51 MADISON AVE,100101655,NEW YORK,New York(NY),UNITED STATES,Headquarter
1221,1222,https://www.info-clipper.com/en/company/united-kingdom/luceco-plc.gbdbvwq1z.html,LUCECO PLC,,Caparo House 101-103 Baker Street,              W1U 6LN,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1222,1223,https://www.info-clipper.com/en/company/italy/gl-events-italia-spa.itd72zxke.html,GL EVENTS ITALIA SPA,,VIA NIZZA 294,10126,TORINO,ITALY,ITALY,Single address
1223,1224,https://www.info-clipper.com/en/company/united-states/civil-building-north-america-inc.usdfxluux.html,CIVIL & BUILDING NORTH AMERICA INC.,,2 S BISCAYNE BLVD STE 2000,331311827,MIAMI,Florida(FL),UNITED STATES,Headquarter
1224,1225,https://www.info-clipper.com/en/company/united-kingdom/luceco-lighting-limited.gbd3n2dnd.html,LUCECO LIGHTING LIMITED,,BUILDING E.  STAFFORD PARK 1 STAFFORD PARK,              TF3 3BD,TELFORD,UNITED KINGDOM,UNITED KINGDOM,Single address
1225,1226,https://www.info-clipper.com/en/company/italy/falconeri-srl.itd5lqs5t.html,FALCONERI SRL,,VIA DEL LAVORO 18,38063,AVIO,ITALY,ITALY,Headquarter
1226,1227,https://www.info-clipper.com/en/company/united-states/palace-industries-public-benefit-corporation.usd26ng0j.html,PALACE INDUSTRIES PUBLIC BENEFIT CORPORATION,,311 N FRONT ST,975022006,CENTRAL POINT,Oregon(OR),UNITED STATES,Headquarter
1227,1228,https://www.info-clipper.com/en/company/united-kingdom/bre-global-limited.gbd3mz2uh.html,BRE GLOBAL LIMITED,,Bucknalls Lane,              WD25 9NH,WATFORD,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1228,1229,https://www.info-clipper.com/en/company/italy/ducati-motor-holding-spa.itd5lko3c.html,DUCATI MOTOR HOLDING SPA,,VIA ANTONIO CAVALIERI DUCATI 3,40132,BOLOGNA,ITALY,ITALY,Headquarter
1229,1230,https://www.info-clipper.com/en/company/united-states/fresh-market-inc-the.usdjo73u.html,"FRESH MARKET, INC., THE",,300 N GREENE ST STE 1100,274012171,GREENSBORO,North Carolina(NC),UNITED STATES,Headquarter
1230,1231,https://www.info-clipper.com/en/company/united-kingdom/alliance-pharma-plc.gbd3ob9xp.html,ALLIANCE PHARMA PLC,,Avonbridge House Bath Road,              SN15 2BB,CHIPPENHAM,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1231,1232,https://www.info-clipper.com/en/company/italy/alberghi-gold-srl.itd7b0qg2.html,ALBERGHI GOLD SRL,,VIA FRANCESCO CARACCIOLO 14,80122,NAPOLI,ITALY,ITALY,Headquarter
1232,1233,https://www.info-clipper.com/en/company/united-states/brown-brown-of-florida-inc.usd1ax66j.html,"BROWN & BROWN OF FLORIDA, INC.",,655 N FRANKLIN ST STE 1900,336024417,TAMPA,Florida(FL),UNITED STATES,Headquarter
1233,1234,https://www.info-clipper.com/en/company/united-kingdom/corporate-travel-management-limited.gbd6lkzgx.html,CORPORATE TRAVEL MANAGEMENT (UNITED KINGDOM) LIMITED,,One Carter Lane,              EC4V 5ER,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1234,1235,https://www.info-clipper.com/en/company/italy/sdf-spa.itd72tvaa.html,SDF SPA,,VIALE FRANCESCO CASSANI 14,24047,TREVIGLIO,ITALY,ITALY,Headquarter
1235,1236,https://www.info-clipper.com/en/company/united-states/datastax-inc.usdk3f6h.html,"DATASTAX, INC.",,2755 AUGUSTINE DR,950542919,SANTA CLARA,California(CA),UNITED STATES,Headquarter
1236,1237,https://www.info-clipper.com/en/company/united-kingdom/keyline-travel-management-limited.gbd3r8clq.html,KEYLINE TRAVEL MANAGEMENT LIMITED,,Wellington House 39A Piccadilly,              M1 1LQ,MANCHESTER,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1237,1238,https://www.info-clipper.com/en/company/italy/same-deutz-fahr-italia-spa.itd737mbh.html,SAME DEUTZ FAHR ITALIA SPA,,VIALE FRANCESCO CASSANI 15,24047,TREVIGLIO,ITALY,ITALY,Headquarter
1238,1239,https://www.info-clipper.com/en/company/united-states/shipt-inc.usd1bh0kd.html,"SHIPT, INC.",,420 20TH ST N STE 100,352035213,BIRMINGHAM,Alabama(AL),UNITED STATES,Single address
1239,1240,https://www.info-clipper.com/en/company/united-kingdom/corporate-travel-management-limited.gbdc80uwv.html,CORPORATE TRAVEL MANAGEMENT (EUROPE) LIMITED,,Senator House 85 Queen Victoria Street,              EC4V 4AB,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1240,1241,https://www.info-clipper.com/en/company/italy/cd-24121-srl.itd699oer.html,CD 24121 SRL,,VIA UMBERTO BARBARO 24,139,ROMA,ITALY,ITALY,Headquarter
1241,1242,https://www.info-clipper.com/en/company/united-states/autonation-inc.usdrbnb2.html,"AUTONATION, INC.",,200 SW 1ST AVE STE 1600,333012074,FORT LAUDERDALE,Florida(FL),UNITED STATES,Headquarter
1242,1243,https://www.info-clipper.com/en/company/united-kingdom/egencia-uk-ltd.gbd3hxfm6.html,EGENCIA UK LTD,,3 Piccadilly Place,              M1 3BN,MANCHESTER,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1243,1244,https://www.info-clipper.com/en/company/italy/cd-spa.itdatyk83.html,C&D SPA,GHIOTTELLI,VIA CASAMASSIMA ZONA INDUSTRIALE 3,70010,CAPURSO,ITALY,ITALY,
1244,1245,https://www.info-clipper.com/en/company/united-states/dynetics-inc.usd18xc47.html,"DYNETICS, INC.",,1002 EXPLORER BLVD,358062806,HUNTSVILLE,Alabama(AL),UNITED STATES,Headquarter
1245,1246,https://www.info-clipper.com/en/company/united-kingdom/de-agostini-uk-limited.gbd3hkrr2.html,DE AGOSTINI UK LIMITED,,C/O Rwk Goodman LLP 69 Carter Lane,              EC4V 5EQ,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1246,1247,https://www.info-clipper.com/en/company/italy/metsa-board-italia-srl.itd7a6r05.html,METSA BOARD ITALIA SRL,,PIAZZA DON ENRICO MAPELLI 1,20099,SESTO SAN GIOVANNI,ITALY,ITALY,Single address
1247,1248,https://www.info-clipper.com/en/company/united-states/franklin-templeton-companies-llc.usdd915tg.html,"FRANKLIN TEMPLETON COMPANIES, LLC",,ONE FRANKLIN PKWY BLD 970 1ST FL,944031906,SAN MATEO,California(CA),UNITED STATES,Single address
1248,1249,https://www.info-clipper.com/en/company/united-kingdom/computershare-investor-services-plc.gbdalnoer.html,COMPUTERSHARE INVESTOR SERVICES PLC,COMPUTERSHARE,THE PAVILIONS BRIDGEWATER ROAD,              BS99 6ZZ,BRISTOL,UNITED KINGDOM,UNITED KINGDOM,
1249,1250,https://www.info-clipper.com/en/company/italy/metso-spa.itd7lcfj7.html,METSO SPA,,VIA VITTOR PISANI 20,20124,MILANO,ITALY,ITALY,Single address
1250,1251,https://www.info-clipper.com/en/company/united-states/pennsy-supply-inc.usd1sqov.html,"PENNSY SUPPLY, INC.",OLDCASTLE INDUSTRIAL MINERALS,1001 PAXTON ST,171041645,HARRISBURG,Pennsylvania(PA),UNITED STATES,Headquarter
1251,1252,https://www.info-clipper.com/en/company/united-kingdom/computershare-limited.gbdcuwsy6.html,COMPUTERSHARE LIMITED,,The Pavilions Bridgwater Road,              BS13 8AE,BRISTOL,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1252,1253,https://www.info-clipper.com/en/company/italy/fameccanicadata-spa.itd765ux2.html,FAMECCANICA.DATA SPA,,VIA ATERNO 136,66020,SAN GIOVANNI TEATINO (SAMBUCETO ),ITALY,ITALY,Headquarter
1253,1254,https://www.info-clipper.com/en/company/united-states/koch-fertilizer-llc.usd9ygrgq.html,"KOCH FERTILIZER, LLC",,4111 E 37TH ST N,672203203,WICHITA,Kansas(KS),UNITED STATES,Headquarter
1254,1255,https://www.info-clipper.com/en/company/united-kingdom/computershare-voucher-services-limited.gbdc6uk59.html,COMPUTERSHARE VOUCHER SERVICES LIMITED,,The Pavilions Bridgwater Road,              BS13 8AE,BRISTOL,UNITED KINGDOM,UNITED KINGDOM,Single address
1255,1256,https://www.info-clipper.com/en/company/italy/give-back-beauty-srl.itd799s7q.html,GIVE BACK BEAUTY SRL,,CORSO ITALIA 13,20122,MILANO,ITALY,ITALY,Headquarter
1256,1257,https://www.info-clipper.com/en/company/united-states/microflex-corporation.usda37a6c.html,MICROFLEX CORPORATION,,2301 ROBB DR,895231901,RENO,Nevada(NV),UNITED STATES,Single address
1257,1258,https://www.info-clipper.com/en/company/united-kingdom/computershare-mortgage-services-limited.gbd8cnidt.html,COMPUTERSHARE MORTGAGE SERVICES LIMITED,Computershare,The Pavilions Bridgwater Road,              BS13 8AE,BRISTOL,UNITED KINGDOM,UNITED KINGDOM,
1258,1259,https://www.info-clipper.com/en/company/italy/endemol-shine-italy-spa.itd74z5xr.html,ENDEMOL SHINE ITALY SPA,,VIA MONTE ZEBIO 32,195,ROMA,ITALY,ITALY,Headquarter
1259,1260,https://www.info-clipper.com/en/company/united-states/warner-music-group-corp.usd2wpzcd.html,WARNER MUSIC GROUP CORP.,WARNER MUSIC,1633 BROADWAY,100196708,NEW YORK,New York(NY),UNITED STATES,Headquarter
1260,1261,https://www.info-clipper.com/en/company/united-kingdom/computershare-trustees-limited.gbd3ogu63.html,COMPUTERSHARE TRUSTEES (C.I.) LIMITED,COMPUTERSHARE,"Queensway House Hilgrove Street, St Helier",              JE1 1ES,JERSEY,UNITED KINGDOM,UNITED KINGDOM,
1261,1262,https://www.info-clipper.com/en/company/italy/novatrans-italia-srl.itd73tooy.html,NOVATRANS ITALIA SRL,,VIA TORINO 61,20123,MILANO,ITALY,ITALY,Headquarter
1262,1263,https://www.info-clipper.com/en/company/united-states/warnerchappell-music-inc.usddpy8n2.html,WARNER/CHAPPELL MUSIC INC.,,75 ROCKEFELLER PLZ BSMT 1,100190011,NEW YORK,New York(NY),UNITED STATES,Headquarter
1263,1264,https://www.info-clipper.com/en/company/united-kingdom/homeloan-management-limited.gbd6l0r7l.html,HOMELOAN MANAGEMENT LIMITED,Computershare,Gateway House,              BD23 2HL,SKIPTON,UNITED KINGDOM,UNITED KINGDOM,
1264,1265,https://www.info-clipper.com/en/company/italy/mashfrog-group-srl.itd76op86.html,MASHFROG GROUP SRL,,VIA GIACOMO PERONI 400/402,131,ROMA,ITALY,ITALY,Headquarter
1265,1266,https://www.info-clipper.com/en/company/united-states/capital-group-companies-inc-the.usd120dvf.html,"CAPITAL GROUP COMPANIES, INC., THE",,333 S HOPE ST FL 55,900713061,LOS ANGELES,California(CA),UNITED STATES,Headquarter
1266,1267,https://www.info-clipper.com/en/company/united-kingdom/tag-worldwide-group-limited.gbd3i73hp.html,TAG WORLDWIDE GROUP LIMITED,,1-5 Poland Street,              W1F 8PR,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
1267,1268,https://www.info-clipper.com/en/company/italy/sbg-holding-spa-in-forma-abbreviato-sbg-holding-spa.itd99lbbu.html,SBG HOLDING SPA IN FORMA ABBREVIATO SBG HOLDING SPA,,PIAZZA SISTO ROSA BADALOCCHIO 5/A,43126,PARMA,ITALY,ITALY,Headquarter
1268,1269,https://www.info-clipper.com/en/company/united-states/american-funds-service-company.usd18u1xw.html,AMERICAN FUNDS SERVICE COMPANY,CAPITAL GROUP COMPANIES,6455 IRVINE CTR DR,926184518,IRVINE,California(CA),UNITED STATES,Headquarter
1269,1270,https://www.info-clipper.com/en/company/united-kingdom/the-appointment-group-limited.gbd7l8rq8.html,THE APPOINTMENT GROUP LIMITED,TAG GROUP,THE LINEN HOUSE 253 KILBURN LANE,              W10 4BQ,LONDON,UNITED KINGDOM,UNITED KINGDOM,
1270,1271,https://www.info-clipper.com/en/company/italy/uniflair-spa.itd77ydyg.html,UNIFLAIR SPA,,VIALE DELLA TECNICA 2,35026,CONSELVE,ITALY,ITALY,Headquarter
1271,1272,https://www.info-clipper.com/en/company/united-states/farmers-group-inc.usd441l1.html,"FARMERS GROUP, INC.",FARMERS INSURANCE GROUP OF COMPANIES,6301 OWENSMOUTH AVE,913672216,WOODLAND HILLS,California(CA),UNITED STATES,Headquarter
1272,1273,https://www.info-clipper.com/en/company/united-kingdom/nassau-industrial-doors-limited.gbd9lg2y2.html,NASSAU INDUSTRIAL DOORS LIMITED,,Jubilee House Dewsbury Road,              ST4 2TE,STOKE-ON-TRENT,UNITED KINGDOM,UNITED KINGDOM,Single address
