address_name,city,country,name,location_type,postalcode,state,trade_name
aiandi tn 13,tallinn,estonia,symantec estonia ou,single address,12918,estonia,
1 water st,camden,united states,american water capital corp.,single address,81021658,new jersey(nj),
mott macdonald house 8-10 sydenham road,croydon,united kingdom,mott macdonald limited,headquarter,              cr0 2ee,united kingdom,
viale amedeo duca d\'aosta 51,bolzano,italy,sunwin energy srl,single address,39100,italy,
narva mnt 5,tallinn,estonia,creditinfo eesti as,single address,10117,estonia,
333 continental blvd,el segundo,united states,"mattel, inc.",headquarter,902455032,california(ca),
8-10 sydenham road,croydon,united kingdom,mott macdonald group limited,,              cr0 2ee,united kingdom,MOTT MACDONALD
localita' maiano,"sassocorvaro auditore (caprazzino, (ex sassocorvaro) )",italy,green power systems srl,headquarter,61028,italy,
roosikrantsi tn 2-krm,tallinn,estonia,krm advisor ou,headquarter,10119,estonia,
40 wall st fl 37,new york,united states,jimlar corporation,headquarter,100051381,new york(ny),"FRYE COMPANY, THE"
hyerprion house fordham road,newmarket,united kingdom,sbm life science ltd,single address,              cb8 7xn,united kingdom,
via luigi cadorna 73,vimodrone,italy,hcl technologies italy spa,headquarter,20055,italy,
tartu mnt 13,tallinn,estonia,fiesta real estate as,single address,10145,estonia,
1600 amphitheatre pkwy,mountain view,united states,google llc,headquarter,940431351,california(ca),
5 howick place,london,united kingdom,informa tech research limited,headquarter,              sw1p 1wg,united kingdom,
via cosimo canovetti 13,brescia,italy,o.r.i. martin acciaieria e ferriera di brescia spa,headquarter,25128,italy,
punane tn 73,tallinn,estonia,lpd ou,single address,13619,estonia,
2 s biscayne blvd ste 2000,miami,united states,americaribe llc,single address,331311827,florida(fl),
1 snowden street,london,united kingdom,gfi brokers limited,single address,              ec2a 2dq,united kingdom,
via cosimo canovetti 13,brescia,italy,o.r.i. martin holding srl,headquarter,25128,italy,
paadi tn 5,tallinn,estonia,hestia hotel group ou,headquarter,10151,estonia,
1601 s california ave,menlo park,united states,"facebook operations, llc",single address,94025,california(ca),
1 francis grove,london,united kingdom,holmes products (europe) limited,headquarter,              sw19 4dt,united kingdom,
via costanza arconati 1,milano,italy,assiteca spa internazionale di brokeraggio assicurativo,headquarter,20135,italy,
roosikrantsi tn 2-647k,tallinn,estonia,karatchange ou,single address,10119,estonia,
1 hacker way,menlo park,united states,"meta platforms technologies, llc",headquarter,940251456,california(ca),
90 high holborn,london,united kingdom,parlophone records limited,,              wc1v 6xx,united kingdom,E M I COMPACT DISK (U K)
via commerciale 29,santa giustina in colle (fratte ),italy,morellato spa,headquarter,35010,italy,
"tammi tee 42, rannamoisa kula",harku vald,estonia,greiner packaging as,,76901,estonia,GREINER PACKAGING ESTONIA AKTSIASELTS
401 congress ave ste 3100,austin,united states,"vista equity partners management, llc",headquarter,787013707,texas(tx),VISTA EQUITY PARTNERS
"3rd floor the pinnacle, 20 tudor road",reading,united kingdom,precisely europe software and data limited,headquarter,              rg1 1nh,united kingdom,
viale delle arti 123,fiumicino,italy,aviapartner italia srl,headquarter,54,italy,
roosikrantsi tn 2-krm2,tallinn,estonia,krm agent ou,single address,10119,estonia,
51 e 42nd st fl 53,new york,united states,"sentinel capital partners, l.l.c.",headquarter,100175404,new york(ny),
milton gate 60 chiswell street,london,united kingdom,ice data services europe limited,headquarter,              ec1y 4sa,united kingdom,
via del triumvirato 84,bologna (aeroporto di bologna ),italy,aviapartner spa,headquarter,40132,italy,
roseni tn 11,tallinn,estonia,alexela energia as,headquarter,10111,estonia,
989 market st,san francisco,united states,"zendesk, inc.",headquarter,941031708,california(ca),
"seventh floor wellington house, 125-130 strand",london,united kingdom,ohme operations uk limited,single address,              wc2r 0ap,united kingdom,
viale delle arti 123,fiumicino,italy,aviapartner handling spa,,54,italy,AVIAPARTNER HAN LING SPA
parnu mnt 18,tallinn,estonia,trigon capital as,headquarter,10141,estonia,
6525 muirfield dr,hanover park,united states,prinova us llc,headquarter,601335427,illinois(il),
40 brighton road,sutton,united kingdom,subsea 7 (uk service company) limited,headquarter,              sm2 5bn,united kingdom,
via san sabino 21,mola di bari,italy,sitael spa,headquarter,70042,italy,
roseni tn 13,tallinn,estonia,matchit ou,single address,10111,estonia,
101 e 15th st ste 122,austin,united states,texas workforce commission,headquarter,787780001,texas(tx),
2 rougier street,york,united kingdom,cgnu life assurance limited,,              yo90 1uu,united kingdom,Aviva
via viii marzo 6,scandicci,italy,nippon express italia spa,headquarter,50018,italy,
kakumae tee 37,tallinn,estonia,sl34 ou,single address,13516,estonia,
2798 e harbor dr,san diego,united states,national steel and shipbuilding company,headquarter,921133650,california(ca),
st helens 1 undershaft,london,united kingdom,aviva international holdings limited,,              ec3p 3dq,united kingdom,Aviva
via fosse incrociate 284,santarcangelo di romagna,italy,abraham industries srl,headquarter,47822,italy,
parnu mnt 15,tallinn,estonia,kawe puit ou,single address,10141,estonia,
10 orange street,london,united kingdom,leonis productions limited,single address,              wc2h 7dq,united kingdom,
via canada' 10,padova,italy,caire medical italy srl,single address,35127,italy,
valukoja tn 8,tallinn,estonia,ericsson eesti as,single address,11415,estonia,
1880 s dairy ashford st ste 630,houston,united states,beicip inc.,single address,770774781,texas(tx),
universal house pennywell road,bristol,united kingdom,rubie's masquerade company (uk) limited,headquarter,              bs5 0er,united kingdom,
localita' val di cava snc,montalcino,italy,angelini wines & estates,headquarter,53024,italy,
"keskterritooriumi, auvere kula",narva-joesuu,estonia,enefit energiatootmine as,headquarter,40107,estonia,
6080 center dr fl 4,los angeles,united states,"magnite, inc.",headquarter,900451591,california(ca),
"the compass centre nelson road, london heathrow airport",hounslow,united kingdom,heathrow airport limited,,              tw6 2gw,united kingdom,Heathrow
via trieste 1,san giovanni al natisone (villanova del judrio ),italy,friulsider spa,headquarter,33048,italy,
"ehitusbetooni, roodevalja kula",rakvere vald,estonia,swetrak as,headquarter,44207,estonia,
190 third ave,brooklyn,united states,"kinship partners, inc.",single address,112173004,new york(ny),
"the compass centre nelson road, london heathrow airport",hounslow,united kingdom,heathrow airport holdings limited,,              tw6 2gw,united kingdom,HEATHROW
via guido d'arezzo 15,milano,italy,mandrione solar srl,single address,20145,italy,
peterburi tee 101a,tallinn,estonia,etra balti as,single address,11415,estonia,
8531 fallbrook ave,west hills,united states,pharmavite llc,headquarter,913043232,california(ca),
55 vastern road,reading,united kingdom,sse contracting group limited,headquarter,              rg1 8bu,united kingdom,
via bruno tosarelli 184,castenaso,italy,i.m.a. industria macchine automatiche spa,headquarter,40055,italy,
kai tn 1,tallinn,estonia,pharaon holding ou,single address,10111,estonia,
590 madison ave fl 38,new york,united states,american securities llc,headquarter,100220019,new york(ny),
inveralmond house 200 dunkeld road,perth,united kingdom,sse renewables limited,headquarter,              ph1 3aq,united kingdom,
via piemonte 1/3,piacenza,italy,gampack srl,headquarter,29122,italy,
kai tn 1,tallinn,estonia,maristech ou,single address,10111,estonia,
5201 great america pkwy ste 122,santa clara,united states,"ntt cloud infrastructure, inc.",headquarter,950541125,california(ca),
"unit 1 orwell house, ferry lane",felixstowe,united kingdom,w.e.c. lines uk limited,single address,              ip11 3ql,united kingdom,
localita' vascellino snc,alta val tidone (nibbiano ),italy,allied international srl,headquarter,29031,italy,
700 s flower st fl 15,los angeles,united states,"j2 cloud services, llc",headquarter,900174101,california(ca),
"2nd floor west building, 100 victoria street cardinal place",london,united kingdom,hartree partners power & gas company (uk) limited,headquarter,              sw1e 5jl,united kingdom,
via emilio morosini 6,vigevano,italy,atom spa,headquarter,27029,italy,
2001 junipero serra blvd,daly city,united states,"genesys cloud services, inc.",headquarter,940143891,california(ca),
queensway house hilgrove street,jersey,united kingdom,computershare trustees (jersey) limited,single address,              je1 1es,united kingdom,
viale pietro pietramellara 59,bologna,italy,grape hospitality italian propco srl,single address,40121,italy,
1 vanderbilt ave,new york,united states,"kyndryl, inc.",headquarter,100173807,new york(ny),
15 esplanade,jersey,united kingdom,hawksford trustees jersey limited,headquarter,              je1 1rb,united kingdom,
via trento 39,rho (passirana ),italy,mitsubishi chemical advanced materials srl,headquarter,20017,italy,
11444 w olympic blvd,los angeles,united states,"wonderful company llc, the",headquarter,900641559,california(ca),
thavies inn house 3-4 holborn circus,london,united kingdom,bonas & company limited,single address,              ec1n 2pl,united kingdom,
via iv novembre 12,altavilla vicentina,italy,disaronno ingredients spa,headquarter,36077,italy,
125 hwy 515 e,blairsville,united states,"united community banks, inc.",headquarter,305128579,georgia(ga),
crown street,liverpool,united kingdom,university of liverpool,headquarter,              l69 7zd,united kingdom,
calle larga xxii marzo 2032,venezia,italy,nolinski venezia srl,single address,30124,italy,
6100 merriweather dr fl 12,columbia,united states,"tenable, inc.",headquarter,210443486,maryland(md),
lidl house 14 kingston road,surbiton,united kingdom,lidl great britain limited,,              kt5 9nu,united kingdom,LIDL
strada san donato 21/a,parma (san prospero ),italy,stef italia spa,headquarter,43122,italy,
6100 merriweather dr,columbia,united states,"tenable holdings, inc.",headquarter,210443486,maryland(md),
roman road,taunton,united kingdom,lidl u.k. gmbh,,              ta1 2bd,united kingdom,Lidl
via lazzaris 3,spresiano,italy,fassa srl,headquarter,31027,italy,
70 pine st fl 1,new york,united states,american home assurance company,headquarter,100051522,new york(ny),
dundrod road,belfast,united kingdom,lidl northern ireland limited,,              bt29 4sr,united kingdom,LIDL
via giuseppe di vittorio 61,peschiera borromeo,italy,adenes italia srl,headquarter,20068,italy,
300 renaissance ctr ste l1,detroit,united states,general motors china llc,headquarter,482431403,michigan(mi),
10 harewood avenue,london,united kingdom,bnp paribas,single address,              nw1 6aa,united kingdom,
via vincenzo lamaro 51,roma,italy,octo telematics spa,headquarter,173,italy,
605 lincoln rd fl 5,miami beach,united states,blink charging co.,headquarter,331392902,florida(fl),
10 harewood avenue,london,united kingdom,bnp paribas net limited,single address,              nw1 6aa,united kingdom,
via di le prata 114,calenzano (interno 1 ),italy,fastenal europe srl,headquarter,50041,italy,
3000 lakeview ave,saint joseph,united states,leco corporation,headquarter,490852319,michigan(mi),TEM-PRESS DIVISION
10 harewood avenue,london,united kingdom,bnp paribas trust corporation uk limited,,              nw1 6aa,united kingdom,BNP PARIBAS
piazza di san silvestro 8,roma,italy,gaumont srl,headquarter,187,italy,
221 main st ste 1550,san francisco,united states,"docusign, inc.",headquarter,941051947,california(ca),
5 aldermanbury square,london,united kingdom,bnp paribas real estate advisory & property management uk limited,headquarter,              ec2v 7bp,united kingdom,
piazzetta giordano dell'amore 3,milano,italy,eurizon capital sgr spa,headquarter,20121,italy,
1 federal st fl 33,boston,united states,fidelity management & research company,headquarter,21102005,massachusetts(ma),FIDELITY INVESTMENTS
lakeside works rocester,uttoxeter,united kingdom,j.c. bamford excavators limited,headquarter,              st14 5jp,united kingdom,
via cusani 4,milano,italy,azimut capital management soc di gestione del risparmio spa,,20121,italy,AZIMUT CAPITAL MANAGEMENT SGR
245 summer st mail zone v4c,boston,united states,fmr llc,headquarter,2210,massachusetts(ma),FIDELITY INVESTMENTS
7 howick place,london,united kingdom,javelin global commodities (uk) ltd,headquarter,              sw1p 1bb,united kingdom,
via giacomo puccini 3,milano,italy,castello societa' di gestione del risparmio spa,,20121,italy,CASTELLO SGR SPA
82 devonshire st,boston,united states,"fidelity capital investors, inc.",single address,21093614,massachusetts(ma),FIDELITY INVESTMENTS
45 gresham street,london,united kingdom,index fund advisors ltd,,              ec2v 7bg,united kingdom,Evelyn Partners
via del lauro 7,milano,italy,green arrow capital sgr spa,headquarter,20121,italy,
245 summer st,boston,united states,"fidelity investments institutional operations company, inc.",headquarter,22101129,massachusetts(ma),FIDELITY INVESTMENTS
45 gresham street,london,united kingdom,evelyn partners group limited,headquarter,              ec2v 7bg,united kingdom,
via cesare cantu' 1,milano,italy,synergo capital societa' di gestione del risparmio spa in forma abbreviato synergo capital sgr spa,headquarter,20123,italy,
10202 washington blvd,culver city,united states,"crunchyroll, llc",headquarter,902323119,california(ca),
aldgate house 33 aldgate high street,london,united kingdom,isg limited,headquarter,              ec3n 1ag,united kingdom,
centro direzionale milanofiori snc,"assago (strada 2, palazzo c )",italy,softwareone italia srl,headquarter,20057,italy,
161 washington st ste 600,conshohocken,united states,allied security holdings llc,headquarter,194282083,pennsylvania(pa),ALLIED UNIVERSAL SECURITY SERVICES
aldgate house 33 aldgate high street,london,united kingdom,isg uk limited,headquarter,              ec3n 1ag,united kingdom,
viale edoardo jenner 73,milano,italy,cegid italia srl,single address,20159,italy,
815 wernsing rd,jasper,united states,"jasper engine exchange, inc.",headquarter,475468141,indiana(in),
"unit 2, crossways bicester road",aylesbury,united kingdom,centurion portfolio managers limited,single address,              hp18 0ra,united kingdom,
via vigevano 61,trecate (s.martino ),italy,aprochim srl,headquarter,28069,italy,
2450 s shore blvd,league city,united states,"oak creek homes, l.p.",headquarter,775732994,texas(tx),
5 marble arch,london,united kingdom,bridgepoint advisers group limited,headquarter,              w1h 7ej,united kingdom,
via tortona 25,milano,italy,leoch italia srl,headquarter,20144,italy,
201 e 4th st ste 400,cincinnati,united states,"tigerspike, inc.",single address,452024243,ohio(oh),
5 marble arch,london,united kingdom,bridgepoint advisers holdings,headquarter,              w1h 7ej,united kingdom,
via ludovico di breme 33,milano,italy,vorwerk italia sas di vorwerk management srl,headquarter,20156,italy,
pier 38 the embarcadero,san francisco,united states,"sphere source, inc.",single address,94107,california(ca),
30 haymarket,london,united kingdom,j resources gold (uk) limited,headquarter,              sw1y 4ex,united kingdom,
via crescenzio 16,roma,italy,energia pulita srl,headquarter,193,italy,
5470 great america pkwy,santa clara,united states,"cloudera, inc.",headquarter,950543644,california(ca),
one southampton row,london,united kingdom,the brand group limited,headquarter,              wc1b 5ha,united kingdom,
via piave 1,altavilla vicentina,italy,mosaico spa,headquarter,36077,italy,
101 oakley st,evansville,united states,"berry global, inc.",headquarter,477101237,indiana(in),
impact handling gainsborough business park,nottingham,united kingdom,wmh holdings limited,headquarter,              ng10 1px,united kingdom,
via quintino sella 3,milano,italy,yes ticket srl,headquarter,20121,italy,
101 oakley st,evansville,united states,"berry global group, inc.",headquarter,477101237,indiana(in),
enermech house howes road,aberdeen,united kingdom,enermech limited,headquarter,              ab16 7ag,united kingdom,
via gemona 63,san daniele del friuli,italy,repertoire culinaire italy srl,headquarter,33038,italy,
2550 meridian blvd ste 190,franklin,united states,"egis systems, llc",single address,370676386,tennessee(tn),FORTIFIED HEALTH SECURITY
"westway estate, 18-20 brunel road park royal",london,united kingdom,classic fine foods uk limited,single address,              w3 7xs,united kingdom,
via lanfranco gessi 16,lugo,italy,diemme filtration srl,headquarter,48022,italy,
55 water st,new york,united states,kensho security corp.,single address,100410004,new york(ny),
unilever house springfield drive,leatherhead,united kingdom,unilever innovations limited,,              kt22 7gr,united kingdom,Unilever Uk Food
corso francia 110,torino,italy,reply services srl,headquarter,10143,italy,
55 water st,new york,united states,s&p argentina llc,single address,100410004,new york(ny),
10 lower grosvenor place,london,united kingdom,pai uk general partner limited,single address,              sw1w 0en,united kingdom,
via cardinale guglielmo massaia 83,torino,italy,reply spa,headquarter,10147,italy,
55 water st fl 40,new york,united states,s&p global market intelligence llc,single address,100410004,new york(ny),
snowden street,london,united kingdom,dtcc solutions (uk) limited,single address,              ec2a 2dq,united kingdom,
via cardinale guglielmo massaia 83,torino,italy,technology reply srl,headquarter,10147,italy,
1095 ave of the americas,new york,united states,standard chartered international (usa) ltd.,headquarter,100366797,new york(ny),
hawkslease chapel lane,lyndhurst,united kingdom,ineos industries holdings limited,headquarter,              so43 7fg,united kingdom,
via lombardia 16,monastier di treviso,italy,arper spa,headquarter,31050,italy,
55 water st fl 37,new york,united states,standard & poor's international services llc,single address,100413205,new york(ny),
downing street,smethwick,united kingdom,hadley industries holdings limited,headquarter,              b66 2pa,united kingdom,
via noto 6,milano,italy,srl rothos,single address,20141,italy,
32 old slip fl 28,new york,united states,aig global real estate investment corp.,headquarter,100053500,new york(ny),
5 golden square,london,united kingdom,the foundry visionmongers ltd.,headquarter,              w1f 9ht,united kingdom,
passaggio centrale 3,milano,italy,rothschild & c. italia spa,single address,20123,italy,
255 s king st ste 1800,seattle,united states,"avalara, inc.",headquarter,981043320,washington(wa),
"staverton court, staverton",cheltenham,united kingdom,severn glocon group limited,single address,              gl51 0ux,united kingdom,
corso venezia 36,milano,italy,edmond de rothschild (italia) societa' di gestione del risparmio per azioni,single address,20121,italy,
795 wards hill rd,warwick,united states,"ise america, inc.",headquarter,219121285,maryland(md),
unit e badentoy avenue,aberdeen,united kingdom,severn glocon (aberdeen) ltd,single address,              ab12 4yb,united kingdom,
vicolo santa maria alla porta 1,milano,italy,sequent (italy) srl,headquarter,20123,italy,
1 continental dr,auburn hills,united states,"continental autonomous mobility us, llc",headquarter,483261581,michigan(mi),
350 longwater avernue green park,reading,united kingdom,multos limited,headquarter,              rg2 6gf,united kingdom,
passaggio centrale 3,milano,italy,rothschild & c. wealth management italy societa' di intermediazio ne mobiliare s.,single address,20123,italy,
250 stephenson hwy,troy,united states,"north american bancard, llc",headquarter,480831117,michigan(mi),ADVANCED PAYMENT SOLUTIONS
350 longwater avenue green park,reading,united kingdom,thales dis uk limited,headquarter,              rg2 6gf,united kingdom,
via valsugana 100,cassola,italy,videndum media solutions spa,headquarter,36022,italy,
31350 rancho vista rd,temecula,united states,temecula valley unified school district school facilities corporation,headquarter,925926200,california(ca),
"unit g2 titan road, patchway",bristol,united kingdom,apec limited,single address,              bs34 6fd,united kingdom,
via carlo nicola pasini 11,lonato del garda,italy,feralpi siderurgica spa,headquarter,25017,italy,
333 summer st,boston,united states,lastpass us lp,single address,22101702,massachusetts(ma),
"unit g2 titan road, patchway",bristol,united kingdom,btn turbo charger service limited,,              bs34 6fd,united kingdom,Apec Ltd
via gian giacomo felissent 20/d,villorba,italy,dba pro. spa,headquarter,31020,italy,
7350 n dobson rd ste 135,scottsdale,united states,"globaltranz enterprises, llc",headquarter,852562711,arizona(az),GLOBALTRANZ
260 bath road,slough,united kingdom,telefonica uk limited,,              sl1 4dx,united kingdom,O2
via marcoai 1,asolo (casella ),italy,fashion box spa,headquarter,31011,italy,
4 east 39th street,new york,united states,berkshire bank,headquarter,100160108,new york(ny),
5 old bailey,london,united kingdom,meridian hotel operations limited,single address,              ec4m 7ba,united kingdom,
piazzale luigi cadorna 6,milano,italy,resrei srl,single address,20123,italy,
3555 farnam st ste 1440,omaha,united states,berkshire hathaway inc.,headquarter,681313378,nebraska(ne),BERKSHIRE
london fruit & wool exchange 1 duval square,london,united kingdom,ashurst llp,headquarter,              ec2a 2ag,united kingdom,
corso andrea podesta' 1,genova,italy,cambiaso risso marine spa,headquarter,16128,italy,
1314 douglas st,omaha,united states,berkshire hathaway specialty insurance company,headquarter,681021939,nebraska(ne),
regal house 70 london road,twickenham,united kingdom,treasury wine estates emea limited,headquarter,              tw1 3qs,united kingdom,
corso andrea podesta' 1,genova,italy,cambiaso risso shipping agency srl,headquarter,16128,italy,
3555 farnam st ste 1140,omaha,united states,berkshire hathaway finance corporation,single address,681313302,nebraska(ne),
shell centre york road,london,united kingdom,shell international trading and shipping company limited,,              se1 7na,united kingdom,SHELL
via tiburtina 965,roma,italy,telespazio spa,headquarter,156,italy,
9050 w washington blvd,culver city,united states,sony pictures imageworks inc.,single address,902322518,california(ca),
shell centre,london,united kingdom,shell plc,headquarter,              se1 7na,united kingdom,
piazza santa barbara 7,san donato milanese,italy,asset company 2 srl,headquarter,20097,italy,
1355 market st ste 900,san francisco,united states,"twitter, inc.",headquarter,941031337,california(ca),
shell centre york road,london,united kingdom,shell company of turkey limited(the),,              se1 7na,united kingdom,Shell Oil
via giovanni battista pirelli 19,milano,italy,collistar spa,headquarter,20124,italy,
910 louisiana st,houston,united states,"nrg energy, inc.",headquarter,770024914,texas(tx),NRG
allington way,darlington,united kingdom,magnet limited,headquarter,              dl1 4xt,united kingdom,
via monti 13,monterubbiano,italy,faam research center srl,headquarter,63825,italy,
63085 18th st ste 101,bend,united states,"entre prises usa, inc.",single address,977017406,oregon(or),
"st andrews house 11 dalton court, commercial road",darwen,united kingdom,mc fashion ltd,single address,              bb3 0dg,united kingdom,
viale certosa 239,milano,italy,acciaierie d'italia spa,headquarter,20151,italy,
120 tredegar st,richmond,united states,"eastern gas transmission and storage, inc.",headquarter,232194306,virginia(va),
10 hareward avenue,london,united kingdom,bnp paribas uk limited,single address,              nw1 6aa,united kingdom,
strada comunale savonesa 12/16,tortona (rivalta scrivia ),italy,interporto rivalta scrivia spa,single address,15057,italy,
889 ader lane,saltville,united states,saltville gas storage company l.l.c.,single address,24370,virginia(va),
71 alma road,windsor,united kingdom,intercontinental hotels group services company,,              sl4 3hd,united kingdom,Holiday Inn
viale del commercio 32,carpi,italy,twinset spa,,41012,italy,TWIN- SET
41 university dr ste 202,newtown,united states,"epam systems, inc.",headquarter,189401873,pennsylvania(pa),EPAM
the shard 32 london bridge street,london,united kingdom,h.j. heinz foods uk limited,single address,              se1 9sg,united kingdom,
via arcene 2/a,pontirolo nuovo,italy,metallum metal trading srl,single address,24040,italy,
3601 n i 35 service rd,oklahoma city,united states,"electro enterprises, inc.",headquarter,731114412,oklahoma(ok),
south building hayes park,hayes,united kingdom,h.j. heinz company limited,headquarter,              ub4 8al,united kingdom,
via gaetano negri 1,milano,italy,telecom italia spa,headquarter,20123,italy,
982 griffin pond rd,south abington township,united states,pennsylvania extruded tube company,single address,184119214,pennsylvania(pa),
1 st james's square,london,united kingdom,bp international limited,,              sw1y 4pd,united kingdom,BP
via risorgimento 16,san miniato,italy,bureau veritas certest srl,headquarter,56028,italy,
110 e 59th st fl 27,new york,united states,"octopus industries, inc.",headquarter,100221326,new york(ny),J.F. LEHMAN & COMPANY
sunbury business park chertsey road,sunbury-upon-thames,united kingdom,bp oil international limited,,              tw16 7ln,united kingdom,BP
viale monza 347,milano,italy,bureau veritas italia spa,headquarter,20126,italy,
2801 hwy 280 s fl 4,birmingham,united states,"concourse financial group securities, inc.",headquarter,352232479,alabama(al),BROOKWOOD ASSET MANAGEMENT
salt end lane saltend,hull,united kingdom,bp chemicals limited,headquarter,              hu12 8ds,united kingdom,
via abetone inferiore 4,maranello (c/o ferrari spa ),italy,scuderia ferrari club scarl,single address,41053,italy,
1415 wyckoff rd,wall township,united states,new jersey natural gas company,headquarter,77273940,new jersey(nj),
16 charles the 2nd street,london,united kingdom,gulf oil international uk limited,headquarter,              sw1y 4qu,united kingdom,
corso orbassano 367,torino,italy,leasys spa,headquarter,10137,italy,
13555 n stemmons fwy,dallas,united states,"essilor of america, inc.",headquarter,752345765,texas(tx),
6 dukes gate acton lane,london,united kingdom,fcb health london limited,single address,              w4 5dx,united kingdom,
via dei pastai 42,gragnano,italy,pastificio lucio garofalo spa,,80054,italy,GAROFALO
123 felton st,marlborough,united states,doble engineering company,headquarter,17521999,massachusetts(ma),
"6th floor kings place, 90 york way",london,united kingdom,eurostar group limited,headquarter,              n1 9ag,united kingdom,
piazza lina bo bardi 3,milano,italy,bnp paribas lease group,headquarter,20124,italy,
300 n beach st,daytona beach,united states,"brown & brown, inc.",headquarter,321143304,florida(fl),
kings place 90 york way,london,united kingdom,eurostar international limited,,              n1 9ag,united kingdom,EUROSTAR
via quinta strada 28,arzignano (zona industriale ),italy,ilsa spa,headquarter,36071,italy,
220 s ridgewood ave rank_ 180,daytona beach,united states,"brown & brown insurance services of the bay area, inc.",single address,321144300,florida(fl),BROWN & BROWN
3 st. james's square,london,united kingdom,aas mid-cap uk branch,single address,              sw1y 4ju,united kingdom,
via di san nicola de cesarini 3,roma,italy,daniela y srl,headquarter,186,italy,
200 5th ave,new york,united states,tiffany & co.,headquarter,100103307,new york(ny),
36 the arches new covent garden market,london,united kingdom,premier foods wholesale limited,headquarter,              sw8 5pp,united kingdom,
viale europa 190,roma,italy,poste air cargo srl,headquarter,144,italy,
200 5th ave,new york,united states,tiffany & co. international,headquarter,100103302,new york(ny),TIFFANY
edbro house nelson street,bolton,united kingdom,jost (great britain) limited,single address,              bl3 2jj,united kingdom,
via archimede 243,saronno,italy,illva saronno holding spa,headquarter,21047,italy,
727 5th ave,new york,united states,tiffany and company,headquarter,100222580,new york(ny),
first floor templeback 10 temple back,bristol,united kingdom,vistra trust company limited,headquarter,              bs1 6fl,united kingdom,
via archimede 243,saronno,italy,illva saronno spa,headquarter,21047,italy,
8 w 40th st 12 fl,new york,united states,"trammo, inc.",headquarter,100182307,new york(ny),
"suite 1, 3rd floor 11-12 st. james's square",london,united kingdom,vistra limited,headquarter,              sw1y 4lb,united kingdom,
via miraflores 20,nichelino,italy,bcs automotive interface solutions italy srl,single address,10042,italy,
1600 amphitheatre pkwy,mountain view,united states,xxvi holdings inc.,headquarter,940431351,california(ca),
16 tinworth street,london,united kingdom,cls capital partners limited,headquarter,              se11 5al,united kingdom,
via ludovico d'aragona 9,milano,italy,motork italia srl,headquarter,20132,italy,
1 world wide way,saint louis,united states,"world wide technology, llc",headquarter,631463002,missouri(mo),
16 tinworth street,london,united kingdom,cls holdings plc,headquarter,              se11 5al,united kingdom,
via john fitzgerald kennedy 26,vimercate,italy,fimer spa,headquarter,20871,italy,
1 apple park way,cupertino,united states,apple inc.,headquarter,950140642,california(ca),
38 hans crescent,london,united kingdom,ineos automotive limited,headquarter,              sw1x 0lz,united kingdom,
corso giovanni agnelli 200,torino (quartiere mirafiori ),italy,fca italy s.p.a. in forma fiat chrysler automobiles e in forma abbreviato fiat group automobiles sp,headquarter,10135,italy,
35018 avenue d,yucaipa,united states,google fiber inc.,headquarter,923994407,california(ca),
44 esplanade st helier,jersey,united kingdom,petrofac limited,headquarter,              je4 9wg,united kingdom,
viale fulvio testi 280,milano,italy,engie italia spa,headquarter,20126,italy,
269 e grand ave,south san francisco,united states,verily life sciences llc,headquarter,940804804,california(ca),
44 esplanade st helier,jersey,united kingdom,petrofac international ltd,,              je4 9wg,united kingdom,PETROFAC
via broletto 46,milano,italy,suez wts italy srl,headquarter,20121,italy,
150 n riverside plz fl 17,chicago,united states,hub international limited,headquarter,606061598,illinois(il),
60 holborn viaduct,london,united kingdom,"amazon eu sarl, uk branch",headquarter,              ec1a 2fd,united kingdom,
piazza roma 22,ancona,italy,universita' politecnica delle marche,headquarter,60121,italy,
399 park ave fl 11,new york,united states,savills inc.,headquarter,100224609,new york(ny),
owlerton green,sheffield,united kingdom,swann-morton (services) ltd.,single address,              s6 2bj,united kingdom,
via enzo ferrari 3,"civitanova marche (zona industriale ""a"" )",italy,labware spa,headquarter,62012,italy,
500 w madison st,chicago,united states,accenture llp,headquarter,606612593,illinois(il),
owlerton green,sheffield,united kingdom,swann-morton (europe) limited,headquarter,              s6 2bj,united kingdom,
via enrico fermi 6/8,ala,italy,kaak ovens & proofers srl,headquarter,38061,italy,
109 brookline ave ste 300,boston,united states,"beth israel lahey health, inc.",headquarter,22153903,massachusetts(ma),
40 brighton road,sutton,united kingdom,subsea 7 limited,headquarter,              sm2 5bn,united kingdom,
via grazia cherchi snc,piacenza,italy,p.a.d. srl,headquarter,29122,italy,
4 volvo dr,rockleigh,united states,takasago international corporation (u.s.a.),headquarter,76472508,new jersey(nj),
40 brighton road,sutton,united kingdom,subsea 7 international contracting limited,headquarter,              sm2 5bn,united kingdom,
via ugo foscolo 4,basiano,italy,carco srl,single address,20060,italy,
100 rodolphe st,durham,united states,"biomerieux, inc.",headquarter,277129402,north carolina(nc),
40 brighton road,sutton,united kingdom,subsea 7 international holdings (uk) limited,headquarter,              sm2 5bn,united kingdom,
via legnano 24,rescaldina,italy,zuckids srl,headquarter,20027,italy,
1313 market street,wilmington,united states,conde nast international inc.,headquarter,198011151,delaware(de),23 STORIES
40 brighton road,sutton,united kingdom,subsea 7 offshore resources (uk) limited,,              sm2 5bn,united kingdom,Subsea 7
via salaria 1322,roma,italy,italiana petroli spa,headquarter,138,italy,
