,index,address_name,city,country,name,location_type,postalcode,state,trade_name
1277,1277,3333 quality dr,rancho cordova,united states,"vision service plan, inc.",headquarter,956709757,california(ca),VSP GLOBAL
1278,1278,one st pauls churchyard,london,united kingdom,genesis oil & gas consultants limited,headquarter,              ec4m 8ap,united kingdom,
1279,1279,viale ticino 2,lonate pozzolo,italy,fives intralogistics spa,headquarter,21015,italy,
1280,1280,94 tide mill rd,hampton,united states,"brazonics, inc.",headquarter,38422705,new hampshire(nh),
1281,1281,one st. paul's churchyard,london,united kingdom,genesis energies consultants ltd,single address,              ec4m 8ap,united kingdom,
1282,1282,via domenico marchesi 4,boretto (zona industriale rondello ),italy,fives oto spa,headquarter,42022,italy,
1283,1283,24 teed dr,randolph,united states,"trelleborg offshore boston, inc.",headquarter,23684202,massachusetts(ma),
1284,1284,2100 century way thorpe park,leeds,united kingdom,bmb group limited,,              ls15 8zb,united kingdom,THE BAIRD GROUP
1285,1285,viale ticino 2,lonate pozzolo,italy,fives italy srl,headquarter,21015,italy,
1286,1286,8600 advanced gtwy sw,huntsville,united states,"y-tech services, inc.",headquarter,358081336,alabama(al),
1287,1287,"greystone press greystone road, newpark industrial estate",antrim,united kingdom,bailie group limited,,              bt41 2rs,united kingdom,Bairds
1288,1288,via metauro 5,monza,italy,fives itas spa,headquarter,20900,italy,
1289,1289,12515 cerise ave,hawthorne,united states,ring llc,headquarter,902504801,california(ca),
1290,1290,2100 century way thorpe park,leeds,united kingdom,baird group limited,headquarter,              ls15 8zb,united kingdom,
1291,1291,corso lombardia 79,san mauro torinese,italy,fives giustina srl,single address,10099,italy,
1292,1292,3235 n state st,bunnell,united states,"yellowstone landscape, inc.",headquarter,321104364,florida(fl),
1293,1293,2100 century way thorpe park,leeds,united kingdom,baird group (holdings) limited,headquarter,              ls15 8zb,united kingdom,
1294,1294,via rivalta 30,grugliasco,italy,comau spa,headquarter,10095,italy,
1295,1295,510 walnut st ste 14,philadelphia,united states,"bdp international, inc.",headquarter,191063619,pennsylvania(pa),
1296,1296,maple court central park reeds crescent,watford,united kingdom,hilton worldwide manage limited,headquarter,              wd24 4qq,united kingdom,
1297,1297,corso romania 661,torino,italy,ethosenergy italia spa,single address,10156,italy,
1298,1298,155 n lake ave ste 900,pasadena,united states,"everbridge, inc.",headquarter,911011857,california(ca),
1299,1299,second avenue poynton,stockport,united kingdom,jpf api laminates uk limited,single address,              sk12 1nd,united kingdom,
1300,1300,via eugenio curiel 252,rozzano,italy,vomm impianti e processi spa,headquarter,20089,italy,
1301,1301,1585 broadway ave,new york,united states,morgan stanley mortgage capital holdings llc,headquarter,100368200,new york(ny),
1302,1302,53 park lane,london,united kingdom,the dorchester limited,single address,              w1k 1qa,united kingdom,
1303,1303,via eugenio curiel 252,rozzano,italy,ambiente e nutrizione srl,headquarter,20089,italy,
1304,1304,9 west 57th street,new york,united states,kkr capital markets holdings l.p.,headquarter,100192701,new york(ny),
1305,1305,57 berkeley square,london,united kingdom,dorchester group limited,headquarter,              w1j 6er,united kingdom,
1306,1306,viale piero e alberto pirelli 6,milano,italy,softlab holding srl,headquarter,20126,italy,
1307,1307,825 berkshire blvd ste 200,wyomissing,united states,"penn entertainment, inc.",headquarter,196101247,pennsylvania(pa),
1308,1308,45 park lane,london,united kingdom,dorchester services limited,,              w1k 1pn,united kingdom,The Dorchester
1309,1309,via biondini 27,forli',italy,club del sole srl,headquarter,47121,italy,
1310,1310,45 main st rank_ 3,brooklyn,united states,"huge, llc",single address,112011000,new york(ny),
1311,1311,2 king edward street,london,united kingdom,"bank of america, national association",,              ec1a 1hq,united kingdom,BANK OF AMERICA MERRILL LYNCH
1312,1312,via dei tornabuoni 73/r,firenze,italy,luxury goods italia spa,headquarter,50123,italy,
1313,1313,175 park ave,madison,united states,anywhere real estate group llc,headquarter,79401123,new jersey(nj),
1314,1314,12 throgmorton avenue,london,united kingdom,blackrock group limited,headquarter,              ec2n 2dl,united kingdom,
1315,1315,viale del lavoro 41,pavia di udine,italy,cma robotics spa,headquarter,33050,italy,
1316,1316,175 park ave,madison,united states,anywhere real estate inc.,headquarter,79401123,new jersey(nj),
1317,1317,20 giltspur street,london,united kingdom,merrill lynch europe limited,headquarter,              ec1a 9dd,united kingdom,
1318,1318,piazzale enrico mattei 1,roma,italy,eni spa,headquarter,144,italy,
1319,1319,11 madison ave,new york,united states,"endeavor operating company, llc",headquarter,100103643,new york(ny),
1320,1320,12 throgmorton avenue,london,united kingdom,blackrock investment management (uk) limited,headquarter,              ec2n 2dl,united kingdom,
1321,1321,strada cortesa 12/a,quistello,italy,olmar and mirta spa,,46026,italy,CHRISTIES
1322,1322,28 liberty st fl 24,new york,united states,allianz global corporate & specialty north america,single address,100051400,new york(ny),
1323,1323,2 king edward street,london,united kingdom,merrill lynch international,headquarter,              ec1a 1hq,united kingdom,
1324,1324,via cortesa 12/a,quistello,italy,christies srl,single address,46026,italy,
1325,1325,345 park ave ste 1100,new york,united states,blackstone real estate special situations advisors l.l.c.,single address,101541703,new york(ny),
1326,1326,procession house 55 ludgate hill,london,united kingdom,limelife by alcone (uk) ltd,single address,              ec4m 7jw,united kingdom,
1327,1327,via vittorio locchi 19,trieste,italy,finanziaria regionale friuli venezia giulia spa,headquarter,34143,italy,
1328,1328,120 causeway st ste 400,boston,united states,"rapid7, llc",headquarter,21141314,massachusetts(ma),
1329,1329,1 king william street,london,united kingdom,ntt europe ltd.,headquarter,              ec4n 7ar,united kingdom,
1330,1330,via pietro paleocapa 1,milano,italy,anacap fp srl,single address,20121,italy,
1331,1331,2783 s leadership ct. ste 400,salt lake city,united states,foursight capital llc,single address,841208210,utah(ut),
1332,1332,"building 2m siskin drive, middlemarch business park",coventry,united kingdom,ntt data business solutions limited,headquarter,              cv3 4fj,united kingdom,
1333,1333,via benigno crespi 23,milano,italy,zurich italy bank spa,single address,20159,italy,
1334,1334,28140 lakeview dr,wixom,united states,"kawasaki robotics (usa), inc.",single address,483933157,michigan(mi),
1335,1335,1 king william street,london,united kingdom,ntt limited,headquarter,              ec4n 7ar,united kingdom,
1336,1336,viale vincenzo lancetti 43,milano,italy,integrated device technology srl,single address,20158,italy,
1337,1337,1600 holloway ave,san francisco,united states,san francisco state university,headquarter,941321740,california(ca),
1338,1338,crown house 145 city road,london,united kingdom,budget group limited,,              ec1v 1jy,united kingdom,Nig Skandia
1339,1339,piazza filippo meda 3,milano,italy,cgi italia srl,headquarter,20121,italy,
1340,1340,50 california st 24th fl,san francisco,united states,recology inc.,headquarter,941114796,california(ca),
1341,1341,gorsey lane,widnes,united kingdom,suttons tankers limited,headquarter,              wa8 0gg,united kingdom,
1342,1342,via enrico mattei 21/23,vittorio veneto (san giacomo ),italy,permasteelisa spa,headquarter,31029,italy,
1343,1343,1331 capital ave,omaha,united states,"gavilon group, llc, the",headquarter,681021196,nebraska(ne),
1344,1344,1st floor 41 moorgate,london,united kingdom,anotech energy global solutions limited,single address,              ec2r 6pp,united kingdom,
1345,1345,via xxv aprile 56,cambiago,italy,stm pharma pro srl,headquarter,20040,italy,
1346,1346,32788 w community center rd,wallace,united states,"gavilon grain, llc",headquarter,69169,nebraska(ne),
1347,1347,1st floor 41 moorgate,london,united kingdom,anotech energy services limited,headquarter,              ec2r 6pp,united kingdom,
1348,1348,via domenico scarlatti 30,milano,italy,union gas metano spa,headquarter,20124,italy,
1349,1349,1331 capitol ave,omaha,united states,"gavilon global ag holdings, llc",headquarter,681021196,nebraska(ne),
1350,1350,pitheavlis,perth,united kingdom,aviva insurance limited,headquarter,              ph2 0nh,united kingdom,
1351,1351,via piacenza snc,lugagnano val d'arda,italy,emerson automation solutions final control italia srl,headquarter,29018,italy,
1352,1352,4000 destination pky,orlando,united states,"rosen hotels and resorts, inc.",headquarter,328198106,florida(fl),HUMAN RESOURCES
1353,1353,alphabeta 14-18 finsbury square,london,united kingdom,we are social ltd,single address,              ec2a 1br,united kingdom,
1354,1354,via montello 71/73,seregno,italy,emerson process management srl,headquarter,20831,italy,
1355,1355,200 vesey st,new york,united states,american express company,headquarter,102850002,new york(ny),
1356,1356,barbot hall industrial estate mangham road,rotherham,united kingdom,one51 es plastics (uk) limited,,              s61 4rj,united kingdom,IPL GLOBAL
1357,1357,viale della stazione 5,bolzano,italy,lanserhof srl,single address,39100,italy,
1358,1358,200 vesey st,new york,united states,"american express international, inc.",headquarter,102850002,new york(ny),AMERICAN EXPRESS
1359,1359,dufftown road craigellachie,aberlour,united kingdom,speyside cooperage limited,headquarter,              ab38 9rs,united kingdom,
1360,1360,via de' cattani 220/g,firenze,italy,gilbarco srl,single address,50145,italy,
1361,1361,200 vesey st,new york,united states,american express credit corporation,headquarter,102850002,new york(ny),AMERICAN EXPRESS
1362,1362,isla road,keith,united kingdom,isla cooperage company limited,single address,              ab55 5dq,united kingdom,
1363,1363,via dei cattani 220/g,firenze,italy,gilbarco italia srl,headquarter,50145,italy,
1364,1364,200 vesey st,new york,united states,"american express travel related services company, inc.",headquarter,102850002,new york(ny),AMERICAN EXPRESS
1365,1365,"unit r clyde workshops, fullarton road, glasgow east investment park",glasgow,united kingdom,camlachie cooperage limited,single address,              g32 8yl,united kingdom,
1366,1366,via borelli 18/20,montecchio maggiore,italy,elettromaule component srl,headquarter,36075,italy,
1367,1367,200 vesey st,new york,united states,american express limited,headquarter,102850002,new york(ny),
1368,1368,suite 7 hitching court abingdon business park,abingdon,united kingdom,orano uk limited,single address,              ox14 1ra,united kingdom,
1369,1369,via xi settembre 2001 5/a,scandiano (arceto ),italy,pre gel spa,headquarter,42019,italy,
1370,1370,200 vesey st,new york,united states,american express europe llc,headquarter,102850002,new york(ny),AMERICAN EXPRESS
1371,1371,1 ely place,london,united kingdom,raymond gubbay limited,headquarter,              ec1n 6ry,united kingdom,
1372,1372,zona industriale villanova 16,longarone,italy,the'lios spa,headquarter,32013,italy,
1373,1373,1001 e atlantic avenue ste 202,delray beach,united states,"ocean properties, ltd.",headquarter,334836974,florida(fl),
1374,1374,20 fenchurch street,london,united kingdom,markel europe limited,single address,              ec3m 3az,united kingdom,
1375,1375,via john fitzgerald kennedy 10,zola predosa,italy,officine maccaferri spa,headquarter,40069,italy,
1376,1376,201 monroe st fl 20,montgomery,united states,"gray media group, inc.",headquarter,361043731,alabama(al),
1377,1377,20 fenchurch street,london,united kingdom,markel capital holdings limited,headquarter,              ec3m 3az,united kingdom,
1378,1378,via john fitzgerald kennedy 10,zola predosa,italy,officine maccaferri italia srl,headquarter,40069,italy,
1379,1379,1 riverside plz,columbus,united states,"american electric power company, inc.",headquarter,432152373,ohio(oh),
1380,1380,20 fenchurch street,london,united kingdom,markel international services limited,,              ec3m 3az,united kingdom,MARKEL
1381,1381,via ipazia 2,bolzano,italy,maccaferri innovation center srl,headquarter,39100,italy,
1382,1382,2121 vista pkwy,west palm beach,united states,sign a rama inc.,headquarter,334112706,florida(fl),
1383,1383,"2 furze groundway, stockley park",uxbridge,united kingdom,apple (uk) limited,,              ub11 1bb,united kingdom,APPLE
1384,1384,piazza lina bo bardi 3,milano,italy,bnp paribas securities services,headquarter,20124,italy,
1385,1385,3700 crest wood pkwy ste 900,duluth,united states,fibervisions corporation,headquarter,300967172,georgia(ga),
1386,1386,armitage road,brighouse,united kingdom,clipper logistics limited,,              hd6 1uj,united kingdom,CLIPPER
1387,1387,via suore 11,castello d'argile,italy,bio habitat italia spa,headquarter,40050,italy,
1388,1388,7000 sunwood dr nw,ramsey,united states,"hoya optical labs of america, inc.",headquarter,553035160,minnesota(mn),
1389,1389,dept 886 43 owston road carcroft,doncaster,united kingdom,europe domains ltd,headquarter,              dn6 8da,united kingdom,
1390,1390,largo maurizio vitale 1,torino,italy,basic net spa,headquarter,10152,italy,
1391,1391,3 times sq 12th fl,new york,united states,reuters news & media inc.,single address,100366567,new york(ny),
1392,1392,pipers way,swindon,united kingdom,intel corporation (uk) limited,,              sn3 1rj,united kingdom,Intel
1393,1393,strada provinciale arceviese 139/a,fabriano (ca' maiano ),italy,whirlpool emea spa,headquarter,60044,italy,
1394,1394,6355 s buffalo dr,las vegas,united states,international game technology,headquarter,891132133,nevada(nv),
1395,1395,20 lydden road,london,united kingdom,crew clothing co. limited,headquarter,              sw18 4lr,united kingdom,
1396,1396,via carlo pisacane 1,pero,italy,whirlpool italia srl,headquarter,20016,italy,
1397,1397,4 liberty ln w,hampton,united states,"planet fitness, inc.",headquarter,38421704,new hampshire(nh),PLANET FITNESS
1398,1398,5 deerdykes road,glasgow,united kingdom,optical express (holdings) limited,headquarter,              g68 9hf,united kingdom,
1399,1399,via carlo pisacane 1,pero,italy,whirlpool management emea srl,headquarter,20016,italy,
1400,1400,4 liberty ln w,hampton,united states,"pla-fit health, l.l.c.",headquarter,38421704,new hampshire(nh),PLANET FITNESS
1401,1401,victoria road hyde industrial estate,dukinfield,united kingdom,north west (aerotooling) ltd.,single address,              sk16 4up,united kingdom,
1402,1402,piazza velasca 4,milano,italy,belenergia mezz finance srl,headquarter,20122,italy,
1403,1403,1221 ave of the americas ste c2d,new york,united states,"nbcuniversal, llc",headquarter,100201001,new york(ny),
1404,1404,"unit g, perram works merrow lane",guildford,united kingdom,kalon biological limited,headquarter,              gu4 7bn,united kingdom,
1405,1405,via gabrio serbelloni 5,milano,italy,belenergia spa,headquarter,20122,italy,
1406,1406,30 rockefeller plz,new york,united states,"nbcuniversal media, llc",headquarter,101120037,new york(ny),
1407,1407,3000 aviator way manchester business park,manchester,united kingdom,cuadrilla resources limited,headquarter,              m22 5tg,united kingdom,
1408,1408,via dell\'industria 2,breganze,italy,otb spa,headquarter,36042,italy,
1409,1409,30 rockefeller plz 8th fl,new york,united states,bravo media llc,single address,101120015,new york(ny),
1410,1410,"nautilus house, la cour des casernes st. helier",jersey,united kingdom,epoch properties limited,single address,              je1 3nh,united kingdom,
1411,1411,via marco fabio quintiliano 43,milano,italy,istituto italiano del marchio di qualita' spa,headquarter,20138,italy,
1412,1412,2700 patriot blvd rank_250,glenview,united states,autism spectrum therapies illinois llc,single address,600268021,illinois(il),
1413,1413,farnham lane farnham,knaresborough,united kingdom,treves uk limited,headquarter,              hg5 9jr,united kingdom,
1414,1414,via foglia 11,lunano,italy,hb boscarini spa,headquarter,61026,italy,
1415,1415,5775 morehouse dr,san diego,united states,qualcomm incorporated,headquarter,921211714,california(ca),
1416,1416,surrey house 20 lavington street,london,united kingdom,citizenm london bankside operations b.v.,,              se1 0nz,united kingdom,CITIZEN M HOTEL
1417,1417,via delle cornacchie 960/h,lucca (san vito ),italy,antica farmaceutica lucchese srl,single address,55100,italy,
1418,1418,5775 morehouse dr,san diego,united states,"qualcomm international, inc.",headquarter,921211714,california(ca),QUALCOMM
1419,1419,124 theobalds road,london,united kingdom,mediacom uk limited,single address,              wc1x 8rx,united kingdom,
1420,1420,via ferrante imparato 190 piano secondo int.37,napoli,italy,phshop srl,headquarter,80146,italy,
1421,1421,one broadway ctr,schenectady,united states,"gaming commission, new york",headquarter,123052533,new york(ny),
1422,1422,124 theobalds road,london,united kingdom,mediacom group limited,headquarter,              wc1x 8rx,united kingdom,
1423,1423,campo smith reg. molino 18,bardonecchia,italy,colomion spa,headquarter,10052,italy,
1424,1424,50 beale st ste 600,san francisco,united states,maplebear inc.,headquarter,941051871,california(ca),
1425,1425,1 hardman street,manchester,united kingdom,mediacom north limited,single address,              m3 3hf,united kingdom,
1426,1426,via ghiaie 55,villa d'alme',italy,linificio e canapificio nazionale srl societa' benefit,headquarter,24018,italy,
1427,1427,11751 mississippi ave,los angeles,united states,instacart,single address,900256100,california(ca),
1428,1428,20 triton street,london,united kingdom,ricoh europe plc,headquarter,              nw1 3bf,united kingdom,
1429,1429,piazza gae aulenti 3 tower a,milano,italy,unicredit spa,headquarter,20154,italy,
1430,1430,4000 international pkwy,carrollton,united states,"aventiv technologies, llc",headquarter,750071913,texas(tx),
1431,1431,20 triton street,london,united kingdom,ricoh europe holdings plc,headquarter,              nw1 3bf,united kingdom,
1432,1432,viale emilio po 380,modena,italy,panini spa,headquarter,41126,italy,
1433,1433,3645 turfway rd,erlanger,united states,perfetti van melle usa inc.,headquarter,410181165,kentucky(ky),
1434,1434,20 triton street,london,united kingdom,ricoh uk limited,headquarter,              nw1 3bf,united kingdom,
1435,1435,via etruria 1,san casciano in val di pesa,italy,lci italy srl,headquarter,50026,italy,
1436,1436,400 w artesia blvd,compton,united states,"tap automotive holdings, llc",single address,902205501,california(ca),
1437,1437,20 triton street,london,united kingdom,ricoh europe finance limited,single address,              nw1 3bf,united kingdom,
1438,1438,via federico confalonieri 4,milano,italy,google italy srl,headquarter,20124,italy,
1439,1439,55 almaden blvd rank_6,san jose,united states,"zoom video communications, inc.",headquarter,951131612,california(ca),
1440,1440,ealing studios ealing green,london,united kingdom,met film limited,headquarter,              w5 5ep,united kingdom,
1441,1441,via agnello 8,milano,italy,ironman italy srl,single address,20121,italy,
1442,1442,45 w 25th st fl 3,new york,united states,"altitude collection, llc",single address,100102003,new york(ny),
1443,1443,east port house,dunfermline,united kingdom,canvas holidays limited,headquarter,              ky12 7jg,united kingdom,
1444,1444,via melozzo da forli' 41,mediglia,italy,hexis italia srl,headquarter,20076,italy,
1445,1445,52 discovery,irvine,united states,masimo corporation,headquarter,926183105,california(ca),
1446,1446,boulevard de la woluwe,dunfermline,united kingdom,canvas holdings limited,,              ky11 8py,united kingdom,Canvas Holidays
1447,1447,via delle albere 5,alonte,italy,air hex alonte srl,headquarter,36045,italy,
1448,1448,6940 o st ste 100,lincoln,united states,tank holding corp.,headquarter,685102458,nebraska(ne),
1449,1449,2 gresham street,london,united kingdom,investec 1 limited,headquarter,              ec2v 7qp,united kingdom,
1450,1450,via efrem nobili 44,molinella,italy,demetra spa,headquarter,40062,italy,
1451,1451,3600 las vegas blvd s,las vegas,united states,"bellagio, llc",headquarter,891094339,nevada(nv),
1452,1452,30 gresham street,london,united kingdom,investec bank plc,headquarter,              ec2v 7qp,united kingdom,
1453,1453,via ferrante aporti 10,milano,italy,state street bank international gmbh,headquarter,20125,italy,
1454,1454,245 n beverly dr,beverly hills,united states,metro-goldwyn-mayer studios inc.,headquarter,902105319,california(ca),
1455,1455,30 gresham street,london,united kingdom,investec group investments (uk) limited,,              ec2v 7qp,united kingdom,INVESTEC
1456,1456,via giacomo matteotti 62,cinisello balsamo,italy,kodak spa,single address,20092,italy,
1457,1457,10900 wilshire blvd ste 1500,los angeles,united states,metro-goldwyn-mayer pictures inc.,headquarter,900246529,california(ca),
1458,1458,4th floor 5 george square,glasgow,united kingdom,investec wealth & investment limited,headquarter,              g2 1dy,united kingdom,
1459,1459,via vittor pisani 15,milano,italy,withsecure srl,headquarter,20124,italy,
1460,1460,245 n beverly dr,beverly hills,united states,"mgm holdings ii, inc.",headquarter,902105319,california(ca),MGM STUDIOS
1461,1461,55 gresham street,london,united kingdom,ninety one uk limited,headquarter,              ec2v 7el,united kingdom,
1462,1462,via dino col 6 r,genova ((ivi dal 01/04/2020) ),italy,bertin italia srl,single address,16149,italy,
1463,1463,245 n beverly dr,beverly hills,united states,"mgm holdings, inc.",headquarter,902105319,california(ca),M G M
1464,1464,marsh trees house marsh parade,newcastle,united kingdom,richard baker harrison limited,,              st5 1bt,united kingdom,RBH
1465,1465,riva tommaso gulli 12,trieste,italy,althea spa,headquarter,34123,italy,
1466,1466,72 cherry hill dr ste 2,beverly,united states,"amphenol pcd, inc.",headquarter,19151045,massachusetts(ma),
1467,1467,"endsleigh park shurdington road, shurdington",cheltenham,united kingdom,endsleigh insurance services limited,headquarter,              gl51 4ue,united kingdom,
1468,1468,via goffredo lepori 9,collesalvetti (stagno ),italy,giorgio gori srl,headquarter,57014,italy,
1469,1469,4400 s sam houston pkwy e,houston,united states,"speedcast communications, inc.",headquarter,770485902,texas(tx),
1470,1470,"5 floor zig zag building, 70 victoria street",london,united kingdom,ttt moneycorp limited,,              sw1e 6sq,united kingdom,moneycorp
1471,1471,via icilio 7,roma,italy,ordine nazionale dei biologi di roma,single address,153,italy,
1472,1472,7001 chatham center drive ste 300,savannah,united states,msb aerospace llc,single address,314051373,georgia(ga),
1473,1473,91 seedlee road walton summit cent,preston,united kingdom,fumex installations limited,headquarter,              pr5 8ae,united kingdom,
1474,1474,piazza san domenico 5,taormina,italy,taormina hotel management srl,headquarter,98039,italy,
1475,1475,3730 las vegas blvd s,las vegas,united states,"aria resort & casino, llc",single address,891584300,nevada(nv),
1476,1476,7 lyric square,london,united kingdom,candy kittens limited,headquarter,              w6 0ed,united kingdom,
1477,1477,via don emilio mazza 12,gorle,italy,lovato electric spa,,24020,italy,LOVATO SPA
1478,1478,110 w 44th st,new york,united states,"take-two interactive software, inc.",headquarter,100364011,new york(ny),
1479,1479,channel house channel view road,dover,united kingdom,p&o ferries limited,headquarter,              ct17 9tj,united kingdom,
1480,1480,viale pasubio 21,"milano (microsoft house  , microsoft house )",italy,microsoft srl,headquarter,20154,italy,
1481,1481,2050 w sam houston pkwy s ste 1400,houston,united states,ril usa inc.,single address,770423673,texas(tx),
1482,1482,22 charterhouse square,london,united kingdom,braidr limited,single address,              ec1m 6dx,united kingdom,
1483,1483,via filippo della valle 1,sant'elpidio a mare (brancadoro ),italy,tod's spa,headquarter,63811,italy,
1484,1484,3560 lenox rd ste 2000,atlanta,united states,novelis inc.,headquarter,303264271,georgia(ga),
1485,1485,610 chiswick high road,london,united kingdom,john mills limited,,              w4 5ru,united kingdom,Jml
1486,1486,via giovanni battista pirelli 18,milano,italy,edenred italia srl,headquarter,20124,italy,
1487,1487,2 folsom st 2b,san francisco,united states,"banana republic, llc",headquarter,941051205,california(ca),
1488,1488,350 euston road,london,united kingdom,ds smith plc,headquarter,              nw1 3ax,united kingdom,
1489,1489,piazza eleonora duse 2,milano,italy,data 4 services italy spa,headquarter,20122,italy,
1490,1490,650 century plaza dr ste d120,houston,united states,bartec us corporation,single address,770736135,texas(tx),
1491,1491,6 bevis marks,london,united kingdom,ds gd uk limited,single address,              ec3a 7ba,united kingdom,
1492,1492,via xx settembre 58/c,bergamo,italy,telmo partecipazioni srl,headquarter,24122,italy,
1493,1493,7950 jones branch dr,mc lean,united states,gannett media corp.,headquarter,221023265,virginia(va),
1494,1494,"5th floor shipping building the old vinyl factory, 252-254 blyth road",hayes,united kingdom,paragon internet group limited,headquarter,              ub3 1ha,united kingdom,
1495,1495,via cimabue 4,prato,italy,broker net italia srl,headquarter,59100,italy,
1496,1496,4621 e tech dr,cincinnati,united states,"l.n.s. america, inc.",headquarter,452451044,ohio(oh),
1497,1497,"5th floor the shipping building, the old vinyl factory",hayes,united kingdom,go daddy europe limited,headquarter,              ub3 1ha,united kingdom,
1498,1498,piazzale biancamano 8,milano,italy,baradine invest sl,single address,20121,italy,
1499,1499,"5th floor the shipping building old viny, 252-254 blyth road",hayes,united kingdom,123-reg limited,headquarter,              ub3 1ha,united kingdom,
1500,1500,via torri bianche 6,vimercate,italy,gn audio italy srl,single address,20871,italy,
1501,1501,1000 consol energy dr ste 400,canonsburg,united states,cnx resources corporation,headquarter,153176506,pennsylvania(pa),
1502,1502,station road burton latimer,kettering,united kingdom,alumasc building products limited,headquarter,              nn15 5jp,united kingdom,
1503,1503,via nino bonnet 10,milano,italy,accenture spa,headquarter,20154,italy,
1504,1504,30 rockefeller plz 54th fl,new york,united states,"one rock capital partners, llc",headquarter,101125403,new york(ny),
1505,1505,42 kings hill avenue kings hill,west malling,united kingdom,greencell limited,headquarter,              me19 4aj,united kingdom,
1506,1506,via camp lonc 25,feltre (villapaiera ),italy,clivet spa,headquarter,32032,italy,
1507,1507,375 ghent rd,fairlawn,united states,"sterling jewelers, inc.",headquarter,443334600,ohio(oh),SIGNET JEWELERS
1508,1508,14 fore street yealmpton,plymouth,united kingdom,safety management advisory services limited,single address,              pl8 2jn,united kingdom,
1509,1509,via del lavoro 42,isola della scala,italy,clivet air srl,single address,37063,italy,
1510,1510,4521 sharon rd ste 101,charlotte,united states,diamonds direct usa inc.,headquarter,282113445,north carolina(nc),
1511,1511,"ground floor, riverside house riverside house, riverside",bishop's stortford,united kingdom,skyworks solutions limited,,              cm23 3aj,united kingdom,SKYWORKS
1512,1512,via andegari 4,milano,italy,trustandwealth srl,headquarter,20121,italy,
1513,1513,1740 broadway ste 14a,new york,united states,"bioplan usa, inc.",headquarter,100194646,new york(ny),
1514,1514,"12 level the shard, 32 london bridge street",london,united kingdom,global aware international group limited,headquarter,              se1 9sg,united kingdom,
1515,1515,via chini battista 60,talamona,italy,express 6000 srl,single address,23018,italy,
1516,1516,965 ridge lake blvd ste 201,memphis,united states,"american residential services, l.l.c.",headquarter,381209401,tennessee(tn),
1517,1517,30 fenchurch street,london,united kingdom,accenture (uk) limited,headquarter,              ec3m 3bd,united kingdom,
1518,1518,via adamello 5/7,bareggio,italy,mane italia srl,headquarter,20008,italy,
1519,1519,165 carriage ct,winston salem,united states,amarr company,headquarter,271051326,north carolina(nc),
1520,1520,30 fenchurch street,london,united kingdom,accenture marketing services ltd,single address,              ec3m 3bd,united kingdom,
1521,1521,piazza vicenza 8,trento,italy,energylife srl,headquarter,38122,italy,
1522,1522,900 jefferson ave,redwood city,united states,"box, inc.",headquarter,940631837,california(ca),
1523,1523,plantation place 30 fenchurch street,london,united kingdom,accenture plc,headquarter,              ec3m 3bd,united kingdom,
1524,1524,via giulio vincenzo bona 65,roma,italy,gestione concessioni spa,headquarter,156,italy,
1525,1525,6001 bollinger canyon rd rank_ d1248,san ramon,united states,chevron u.s.a. inc.,headquarter,945835737,california(ca),CHEVRON
1526,1526,origin one 108 high street,crawley,united kingdom,spirent communications plc,headquarter,              rh10 1bd,united kingdom,
1527,1527,via niccolo' machiavelli 4,trieste,italy,generali investments holding spa,headquarter,34132,italy,
1528,1528,100 chevron way,richmond,united states,chevron energy technology company,headquarter,948012016,california(ca),CHEVRON
1529,1529,origin one 108 high street,crawley,united kingdom,inclex no 3 limited,headquarter,              rh10 1bd,united kingdom,
1530,1530,via niccolo' machiavelli 4,trieste,italy,generali investments partners spa societa' di gestione del risparmio,headquarter,34132,italy,
1531,1531,7400 cockrill bend blvd,nashville,united states,american paper & twine company,headquarter,372091047,tennessee(tn),
1532,1532,15 enterprise way aviation park hurn,christchurch,united kingdom,inclex no 7 limited,single address,              bh23 6hh,united kingdom,
1533,1533,via pietro borsieri 2/a,roma,italy,ghella investments & partnerships spa,headquarter,195,italy,
1534,1534,1360 reynolds ave ste 101,irvine,united states,"5.11, inc.",headquarter,926145535,california(ca),
1535,1535,"kaleidoscope, 4 lindsey street",london,united kingdom,tiktok information technologies uk limited,headquarter,              ec1a 9hp,united kingdom,
1536,1536,via guglielmo reiss romoli 17,settimo milanese,italy,rothenberger italiana srl,single address,20019,italy,
1537,1537,435 n michigan ave,chicago,united states,"speciate ai, llc",single address,606114066,illinois(il),
1538,1538,"4-7 fulwood place, high holborn",london,united kingdom,infectious media limited,single address,              wc1v 6ae,united kingdom,
1539,1539,viale di tor di quinto 45/47,roma,italy,enel x international srl,headquarter,191,italy,
1540,1540,1191 2nd ave ste 100,seattle,united states,avanade international corporation,headquarter,981013427,washington(wa),
1541,1541,7 henrietta street c/o redfern legal llp,london,united kingdom,kepler group emea limited,headquarter,              wc2e 8ps,united kingdom,
1542,1542,viale di tor di quinto 45/47,roma,italy,enel x srl,headquarter,191,italy,
1543,1543,4200 wildwood pkwy,atlanta,united states,"ge energy parts, inc.",headquarter,303398402,georgia(ga),
1544,1544,"yarmouth house 1300 parkway solent business park, whiteley",fareham,united kingdom,the innovation group (emea) limited,headquarter,              po15 7ae,united kingdom,
1545,1545,via del lavoro 93/1,casalecchio di reno,italy,toyota material handling italia srl,headquarter,40033,italy,
