,index,address,headquarters,industry,market_cap,name,number_of_employees,revenue,telephone,website
1367,1367,"samanvay, 600, tapovan, ambavadi, ahmedabad, 380015",india,power,doll_2.8 b,torrent power ltd,"7,603",doll_1.9 b,91 79 26628000,www.torrentpower.com/index.php/site/indexs
1368,1368,"avenida jurua, 434, barueri, 06.455-010",brazil,medical equipment,doll_1.3 b,diagnosticos da america sa,"18,142",doll_1.9 b,55 11 26303000,www.dasa3.com.br
1369,1369,"mace, 155 moorgate, london, greater london, ec2m6xb",united kingdom,construction,0,mace group ltd,"6,526",doll_1.9 b,44 20 35223000,www.macegroup.com
1370,1370,"121 seaport boulevard, boston, massachusetts, 02210",united states of america,technology and communications,doll_14.4 b,ptc inc,"6,709",doll_1.9 b,1 781 3705000,www.ptc.com
1371,1371,"185 fanshawe street, auckland, 1010",new zealand,transport and logistics,doll_1.7 b,air new zealand ltd,"8,863",doll_1.9 b,64 9 3573000,www.airnewzealand.co.nz
1372,1372,"31 prachachuen nonthaburi road, bangkhen, muangnonthaburi, nonthaburi city, 11000",thailand,retailing,doll_5.9 b,home product center public company ltd,"10,601",doll_1.9 b,66 28 321000,www.homepro.co.th
1373,1373,"xinji energy office park, minhui street, shannan new area, huainan, anhui, 232001",china,metals and mining,doll_1.6 b,china coal xinji energy co ltd,"15,666",doll_1.9 b,86 554 8661819,xinji.chinacoal.com
1374,1374,"1 williams ctr, tulsa, oklahoma, 74172",united states of america,financial services,doll_6.5 b,bok financial corp,"4,763",doll_1.9 b,1 609 2750500,www.bokfinancial.com
1375,1375,"6565 hillcrest ave., dallas, texas, 75205",united states of america,financial services,doll_1.9 b,hilltop holdings inc,"4,900",doll_1.9 b,1 214 8552177,www.hilltop-holdings.com
1376,1376,"meijeritie 6, helsinki, north karelia, 00370",finland,consumer packaged goods,0,valio ltd,"25,000",doll_1.9 b,358 10 3812185,www.valio.com
1377,1377,"5430 lbj freeway, suite 1700, dallas, texas, 75240",united states of america,chemicals,doll_1.3 b,kronos worldwide inc,"2,248",doll_1.9 b,1 972 2331700,kronostio2.com/en
1378,1378,"101 thomson road, rank_33-00 united square, singapore, 307591",singapore,construction,doll_4.3 b,uol group ltd,"1,500",doll_1.9 b,65 6 2550233,www.uol.com.sg
1379,1379,"shandong airlines mansion, no.5746 second ring east road, ji'nan, 250014",china,transport and logistics,doll_194.5 m,"shandong airlines co., ltd.","11,783",doll_1.9 b,86 531 82085586,www.sda.cn
1380,1380,"2nd floor central, 250 euston road, london, greater london, nw1 2pg",united kingdom,pharmaceuticals and healthcare,0,university college london hospitals nhs foundation trust,"11,945",doll_1.9 b,,www.uclh.nhs.uk
1381,1381,"guillermo gonzalez camarena no. 800-4, santa fe, alvaro obregon, 01210",mexico,consumer packaged goods,doll_8.4 b,becle sab de cv,"9,759",doll_1.9 b,52 55 52587000,www.cuervo.com.mx
1382,1382,"1331 l st nw, washington, washingtond.c., 20005-4293",united states of america,business and consumer services,doll_31.8 b,costar group inc,"4,742",doll_1.9 b,1 202 3466500,www.costargroup.com
1383,1383,"menara bank btn, jl. gajah mada no. 1, jakarta pusat, 10130",indonesia,financial services,doll_1.2 b,pt bank tabungan negara (persero) tbk,"10,560",doll_1.9 b,62 21 6336789,www.btn.co.id
1384,1384,"rua do lavradio, 71,2 andar, centro, rio de janeiro, 20.230-070",brazil,technology and communications,doll_149.7 m,oi sa,"11,288",doll_1.9 b,55 21 31312918,www.oi.com.br
1385,1385,"663 hwy 60, po box 807, monett, missouri, 65708-0807",united states of america,technology and communications,doll_13.1 b,jack henry & associates inc,"6,847",doll_1.9 b,1 417 2356652,www.jackhenry.com
1386,1386,"625 9th street, po box 1400, rapid city, south dakota, 57709",united states of america,energy and utilities,doll_4.7 b,black hills corp,"2,884",doll_1.9 b,1 605 7212343,www.blackhillscorp.com
1387,1387,"144, beonnyeong 2-ro, danwon-gu, ansan, 15418",south korea,consumer packaged goods,doll_973.8 m,hanssem co ltd,"2,553",doll_2.0 b,82 2 69083114,www.hanssem.com
1388,1388,"jl.tomang raya no. 21-23, jakarta, 11440",indonesia,consumer packaged goods,doll_3.4 b,pt mayora indah tbk,"9,855",doll_2.0 b,62 21 5655311,mayoraindah.co.id
1389,1389,"ave. ricardo margain 400, colonia valle del campestre, san pedro garza garcia, 64410",mexico,construction,doll_530.2 m,vitro sab de cv,"14,765",doll_2.0 b,52 81 88631600,www.vitro.com
1390,1390,"methuen park, chippenham, sn140wt",united kingdom,transport and logistics,doll_465.9 m,wincanton plc,"20,300",doll_2.0 b,44 1249 710000,www.wincanton.co.uk
1391,1391,"av. joaquim porto villanova, 401,b jardim do salso, porto alegre, rio grande do norte, 91.410-400",brazil,retailing,doll_3.9 b,lojas renner sa,"25,474",doll_2.0 b,55 51 21217045,www.lojasrenner.com.br
1392,1392,"l 3 678 victoria street, richmond, 3121",australia,medical equipment,doll_2.6 b,ansell limited,"14,158",doll_2.0 b,61 3 92707270,www.ansell.com
1393,1393,"4300 six forks rd, raleigh, north carolina, 27609-5718",united states of america,financial services,doll_12.6 b,first citizens bancshares inc,"6,578",doll_2.0 b,1 919 7167000,www.firstcitizens.com/about/who-we-are/profile
1394,1394,"9 raffles place, rank_12-01 republic plaza, singapore, 048619",singapore,construction,doll_5.5 b,city developments ltd,408,doll_2.0 b,65 6 8778228,cdl.com.sg
1395,1395,"no. 670, east daming road, hongkou district, shanghai, 200080",china,transport and logistics,doll_8.5 b,cosco shipping energy transportation co ltd,"7,821",doll_2.0 b,86 21 65967678,energy.coscoshipping.com
1396,1396,"no. 58 new century avenue, changshu city, suzhou, jiangsu, 215500",china,financial services,doll_3.0 b,jiangsu changshu rural commercial bank co ltd,"6,849",doll_2.0 b,86 512 52909021,www.csrcbank.com
1397,1397,"1 hamada st., pob 12001, herzliya, 4672505",israel,alternative energy,doll_17.9 b,solaredge technologies inc,"3,964",doll_2.0 b,972 9 9576620,www.solaredge.com
1398,1398,"cable drive, walsall, ws27bn",united kingdom,business and consumer services,0,homeserve plc,"8,184",doll_2.0 b,44 1922 426262,www.homeserveplc.com
1399,1399,"immeuble open, 27 rue camille desmoulins, cs 10166, issy-les-moulineaux, 92445",france,construction,doll_3.7 b,icade sa,"1,185",doll_2.0 b,33 1 41577000,www.icade.fr
1400,1400,"world trade center 1, geneva international airport, geneve, 1218",switzerland,transport and logistics,doll_3.5 b,wizz air holdings plc,"4,709",doll_2.0 b,41 22 5559858,corporate.wizzair.com
1401,1401,"rain center, 34, srinagar colony, hyderabad, 500073",india,chemicals,doll_740.0 m,rain industries ltd,"2,400",doll_2.0 b,91 40 40401234,www.rain-industries.com
1402,1402,"495 s high st ste 50, columbus, ohio, 43215-5689",united states of america,construction,doll_3.0 b,installed building products inc,"9,500",doll_2.0 b,1 614 2213399,installedbuildingproducts.com
1403,1403,"level 12 (east wing), berjaya times square, no. 1 jalan imbi, kuala lumpur, 55100",malaysia,leisure and arts,doll_461.8 m,berjaya corporation berhad,"14,000",doll_2.0 b,60 3 21491999,www.berjaya.com
1404,1404,"9, wallace street, fort, mumbai, 400001",india,agriculture and forestry,doll_782.9 m,the bombay burmah trading corp ltd,"3,087",doll_2.0 b,91 22 22197101,bbtcl.com
1405,1405,"stortorget 8, malmo, 21134",sweden,construction,doll_5.6 b,beijer ref ab,"4,550",doll_2.0 b,46 40 358900,beijerref.com
1406,1406,"no.253 wangfujing avenue, beijing, 100006",china,retailing,doll_5.1 b,wangfujing group co ltd,"16,138",doll_2.0 b,86 10 65125960,www.wfj.com.cn
1407,1407,"no. 1299 fenghua road, jiading district, shanghai, 00000",china,leisure and arts,doll_15.0 b,h world group ltd,"24,384",doll_2.0 b,86 21 61952011,ir.hworld.com
1408,1408,"suite 3680 1 place ville-marie, montreal, quebec, h3b3p2",canada,metals and mining,doll_6.3 b,turquoise hill resources ltd,"3,478",doll_2.0 b,1 514 8481567,www.turquoisehill.com
1409,1409,"25/f, kerry centre, 683 king's road, hong kong",hong kong,construction,doll_3.5 b,kerry properties ltd,"7,400",doll_2.0 b,852  29672200,www.kerryprops.com
1410,1410,"2111 n molter rd, liberty lake, washington, 99019",united states of america,clean technology,doll_2.6 b,itron inc,"5,635",doll_2.0 b,1 509 9249900,www.itron.com
1411,1411,"no. 7 qunli avenue, daoli district, haerbin, heilongjiang, 150070",china,pharmaceuticals and healthcare,doll_1.2 b,harbin pharmaceutical group co ltd,"10,206",doll_2.0 b,86 451 51870077,www.hayao.com
1412,1412,"weidestrasse 118a, hamburg, 22083",germany,consumer packaged goods,doll_3.4 b,fielmann ag,"22,640",doll_2.0 b,49 40 270760,www.fielmann.de
1413,1413,"paseo de los tamarindos 400-b, piso 31, bosques de las lomas, mexico, d.f., 05120",mexico,conglomerate,doll_1.1 b,grupo kuo sab de cv,"24,739",doll_2.0 b,52 55 52618000,www.kuo.com.mx
1414,1414,"alvgatan 1, karlstad, 65225",sweden,technology and communications,doll_5.3 b,embracer group ab,"13,877",doll_2.0 b,46 554 854763,embracer.com
1415,1415,"88 11th ave ne, minneapolis, minnesota, 55413-1829",united states of america,industrial goods and machinery,doll_11.6 b,graco inc,"3,800",doll_2.0 b,1 612 6236000,www.graco.com/us/en.html
1416,1416,"ali towers, iii floor, no.55, greams road, chennai, 600006",india,pharmaceuticals and healthcare,doll_7.6 b,apollo hospitals enterprise ltd,"71,113",doll_2.0 b,91 44 28290956,www.apollohospitals.com
1417,1417,"3175 hanover street, palo alto, california, 94304-1130",united states of america,business and consumer services,0,cooley llp,"2,900",doll_2.0 b,1 650 8435000,www.cooley.com
1418,1418,"1 south jersey plaza, route 54, folsom, new jersey, 08037",united states of america,energy and utilities,doll_4.4 b,south jersey industries inc,"1,169",doll_2.0 b,1 609 5619000,www.sjindustries.com
1419,1419,"19/f.,shatin galleria, 18-24 shan mei street, fo tan, shatin, new territories, hong kong",hong kong,technology and communications,doll_226.7 m,pc partner group ltd,"2,572",doll_2.0 b,852  27998011,www.pcpartner.com
1420,1420,"100 inverness ter e, englewood, colorado, 80112-5308",united states of america,technology and communications,doll_1.5 b,echostar corp,"2,500",doll_2.0 b,1 303 7231277,www.echostar.com
1421,1421,"no. 9, beitucheng west road, chaoyang district, beijing, 100029",china,chemicals,doll_3.4 b,bluestar adisseo co,"2,455",doll_2.0 b,86 10 61958799,www.bluestar-adisseo.com
1422,1422,"nestle house, jacaranda marg m block, dlf city phase ii, national highway 8, gurgaon, haryana, 122002",india,consumer packaged goods,doll_23.4 b,nestle india ltd,"7,910",doll_2.0 b,91 124 2389300,www.nestle.in
1423,1423,"gamlestadsvaegen 3c, gothenburg, vastra gotaland, 41502",sweden,medical equipment,0,molnlycke health care ab,"8,000",doll_2.0 b,46 31 7223000,www.molnlycke.com
1424,1424,"850 main st, bridgeport, connecticut, 06604-4917",united states of america,financial services,0,people's united financial inc,"5,193",doll_2.0 b,1 203 3384114,www.peoples.com
1425,1425,"c/ del temple, 25, badalona, 08911",spain,alternative energy,doll_621.5 m,audax renovables sa,806,doll_2.0 b,34 932 405306,www.audaxrenovables.com
1426,1426,"no. 407, xishu street, lin'an city, hangzhou, zhejiang, 311300",china,alternative energy,doll_14.5 b,hangzhou first applied material co ltd,"2,997",doll_2.0 b,86 571 61076968,www.firstpvm.com
1427,1427,"rua capitao montanha, 177, centro, porto alegre, 90.018-900",brazil,financial services,doll_805.7 m,banco do estado do rio grande do sul sa,"8,789",doll_2.0 b,55 51 32151515,www.banrisul.com.br
1428,1428,"no. 10, zhoushan road, high-tech development zone, luoyang, henan, 471003",china,industrial goods and machinery,doll_13.6 b,avic jonhon optronic technology co ltd,"14,537",doll_2.0 b,86 379 63011079,www.jonhon.cn
1429,1429,"101, kalpataru synergy, 7th floor, opp, grand hyatt hotel, vakola, santacruz (e), mumbai, 400055",india,power,doll_947.1 m,kalpataru power transmission ltd,"3,072",doll_2.0 b,91 22 30645000,www.kalpatarupower.com
1430,1430,"1717 main st ste 2000, dallas, texas, 75201-4657",united states of america,construction,doll_18.9 b,invitation homes inc,"1,240",doll_2.0 b,1 972 4213600,www.invitationhomes.com
1431,1431,"murgab alsoor st. ooredoo tower,  safat, po box 613, 13007",kuwait,technology and communications,doll_1.9 b,national mobile telecommunications co ksc,441,doll_2.0 b,965 2 2435500,10.wataniya.com
1432,1432,"68 jonspin road, wilmington, massachusetts, 01887",united states of america,consumer packaged goods,doll_3.6 b,unifirst corp,"14,000",doll_2.0 b,1 978 6588888,www.unifirst.com
1433,1433,"11th-12th floor, tsim sha tsui centre, salisbury road, kowloon, hong kong",hong kong,construction,doll_10.5 b,sino land co ltd,"7,000",doll_2.0 b,852 2721 8388,www.sino.com/tc/investor-relations/
1434,1434,"1950 hassell rd, hoffman estates, illinois, 60169",united states of america,technology and communications,0,cdk global inc,"6,500",doll_2.0 b,1 847 4854020,www.cdkglobal.com
1435,1435,"6900 layton avenue, 12th floor, denver, colorado, 80237",united states of america,business and consumer services,doll_1.4 b,the providence service corporation,,doll_2.0 b,1 303 7287030,modivcare.com
1436,1436,"2, miyanohigashi-cho, kisshoin, minami-ku, kyoto-shi, 601-8510",japan,automotive,doll_1.9 b,horiba ltd,"8,205",doll_2.0 b,81 75 3138121,www.horiba.com
1437,1437,"12f, shibuya solasta, 1-21-1, dogenzaka, shibuya-ku, tokyo, 150-0043",japan,technology and communications,doll_1.6 b,japan aviation electronics industry ltd,"9,427",doll_2.0 b,81 3 37802711,www.jae.com
1438,1438,"the genesis energy building, 660 great south road, greenlane, auckland, 1010",new zealand,power,doll_1.8 b,genesis energy ltd,"1,149",doll_2.0 b,64 9 5802094,www.genesisenergy.co.nz
1439,1439,"no.261 sec. 3, nanjing east road, songshan district, taipei, 105",taiwan,paper and packaging,doll_2.2 b,taiwan glass industry corp,"15,946",doll_2.0 b,886 2 27130333,www.taiwanglass.com
1440,1440,"12th floor, tsim sha tsui centre, salisbury road, tsim sha tsui, hong kong, 999077",hong kong,construction,doll_5.7 b,tsim sha tsui properties ltd,"5,800",doll_2.0 b,852  27218388,www.sino.com/en/investor-relations/tsim-sha-tsui-properties-limited
1441,1441,"45 gordon mackay rd, north york, ontario, m9n3x3",canada,retailing,doll_882.8 m,leon's furniture ltd,"8,434",doll_2.0 b,1 416 2437880,www.leons.ca
1442,1442,"4 west strand, preston, pr18uy",united kingdom,financial services,doll_537.5 m,chesnara plc,322,doll_2.0 b,44 1772 972050,www.chesnara.co.uk
1443,1443,"post office box 641940 (68164-7940), 7405 irvington road, omaha, nebraska, 68122",united states of america,wholesale,doll_109.0 m,amcon distributing co,749,doll_2.0 b,1 402 3313727,www.amcon.com
1444,1444,"oficina 501 - a, san borja",peru,metals and mining,doll_924.2 m,minsur sa,527,doll_2.0 b,51 1 2158330,www.minsur.com
1445,1445,"38th floor, the centrium, 60 wyndham street, central, hong kong",hong kong,leisure and arts,doll_2.1 b,melco international development ltd,"17,270",doll_2.0 b,852  31513777,www.melco-group.com
1446,1446,"1-3-1, shimoteno, himeji-shi, hyogo, 670-8567",japan,technology and communications,doll_1.1 b,glory ltd,"10,677",doll_2.0 b,81 79 2973131,www.glory.co.jp
1447,1447,"1600 technology way, p o box 231, latrobe, pennsylvania, 15650",united states of america,industrial goods and machinery,doll_2.2 b,kennametal inc,"8,732",doll_2.0 b,1 724 5395000,www.kennametal.com/us/en/home.html
1448,1448,"499 park ave, new york, 10022",united states of america,financial services,doll_1.5 b,bgc partners inc,"3,920",doll_2.0 b,1 212 6102200,www.bgcpartners.com
1449,1449,"iidabashi grand bloom, 2-10-2, chiyoda-ku, tokyo, 102-0071",japan,technology and communications,doll_3.4 b,internet initiative japan inc,"4,147",doll_2.0 b,81 3 52056500,www.iij.ad.jp
1450,1450,"36/f the centrium, 60 wyndham street, central, hong kong, 00000",hong kong,leisure and arts,doll_5.7 b,melco resorts & entertainment limited,"17,878",doll_2.0 b,852  25983600,www.melco-resorts.com
1451,1451,"crown house, 4 par-la-ville road, hamilton, hm08",bermuda,energy and utilities,doll_1.6 b,nabors industries ltd,"10,000",doll_2.0 b,1 441 2921510,www.nabors.com
1452,1452,"509, teheran-ro, gangnam-gu, seoul, 06169",south korea,technology and communications,doll_8.4 b,ncsoft corp,"2,300",doll_2.0 b,82 2 21863300,kr.ncsoft.com
1453,1453,"level 9, 1 denison street, north sydney, new south wales, 2060",australia,media,doll_2.3 b,nine entertainment co holdings ltd,"3,350",doll_2.0 b,61 2 91566999,www.nineforbrands.com.au/investors
1454,1454,"bedforview, johannesburg, gauteng, 2007",south africa,construction,doll_67.9 m,murray & roberts holdings ltd,"8,394",doll_2.0 b,27 11 4566200,www.murrob.com
1455,1455,"13-15 avenue de la liberte, luxembourg, 1931",luxembourg,consumer packaged goods,doll_4.1 b,samsonite international sa,"9,500",doll_2.0 b,,www.samsonite.com
1456,1456,"avenida bernardo de vasconcelos, 377, cachoeirinha, belo horizonte, 31.150-000",brazil,business and consumer services,doll_11.0 b,localiza rent a car sa,"12,610",doll_2.0 b,55 31 32479460,www.localizahertz.com
1457,1457,"25, sejong-daero 7-gil, jung-gu, seoul, 04511",south korea,technology and communications,doll_1.8 b,s-1 corp,"6,239",doll_2.0 b,82 2 15883112,www.s1.co.kr
1458,1458,"801 s. marquette ave., minneapolis, minnesota, 55402",united states of america,media,doll_834.3 m,deluxe corp,"6,313",doll_2.0 b,1 651 4837111,www.deluxe.com
1459,1459,"17 s briar hollow ln, houston, texas, 77027-3155",united states of america,energy and utilities,doll_119.4 m,adams resources & energy inc,710,doll_2.0 b,1 713 8813600,www.adamsresources.com
1460,1460,"four corporate drive, lake zurich, illinois, 60047",united states of america,consumer packaged goods,doll_564.6 m,acco brands corp,"6,000",doll_2.0 b,1 847 5419500,www.accobrands.com
1461,1461,"pirkkalaistie 7, pl 20, nokia, 37101",finland,automotive,doll_1.7 b,nokian tyres plc,"4,927",doll_2.0 b,358 10 4017000,www.nokianrenkaat.fi
1462,1462,"rue de la loi 23, 7th floor, box 4, bruxelles, 1040",belgium,construction,doll_1.2 b,titan cement international sa,"5,393",doll_2.0 b,32 2 7268058,www.titan-cement.com
1463,1463,"no.1-1, kuang hsin lane, kuang hsin li, erlin, 526",taiwan,paper and packaging,doll_768.0 m,longchen paper & packaging co ltd,"4,520",doll_2.0 b,886 2 55811777,www.longchenpaper.com
1464,1464,"no.18 youxiang road, wuzhong district, suzhou, jiangsu, 215104",china,technology and communications,doll_7.1 b,ecovacs robotics co ltd,"7,854",doll_2.0 b,86 512 65875866,www.ecovacs.cn
1465,1465,"2 manhattanville rd ste 203, purchase, new york, 10577-2118",united states of america,pharmaceuticals and healthcare,doll_4.3 b,teladoc health inc,"5,100",doll_2.0 b,1 203 6352002,www.teladochealth.com
1466,1466,"l 25 580 george street, sydney, new south wales, 2000",australia,energy and utilities,doll_8.6 b,apa group,"1,750",doll_2.0 b,61 2 96930000,www.apa.com.au
1467,1467,"21 strand road, kolkata, 700001",india,construction,doll_10.6 b,shree cement ltd,"6,445",doll_2.0 b,91 33 22209601,www.shreecement.com
1468,1468,"10-12f, toho hibiya bldg., 1-2-2, yuraku-cho, chiyoda-ku, tokyo, 100-8415",japan,media,doll_6.7 b,toho co ltd,"3,239",doll_2.0 b,81 3 35911221,www.toho.co.jp
1469,1469,"161 bay street, p o box 700, toronto, ontario, m5j2s1",canada,financial services,doll_4.1 b,onex corp,536,doll_2.0 b,1 416 3627711,www.onex.com
1470,1470,"2f, nbf toyosu canal front, 5-6-52, toyosu, koto-ku, tokyo, 135-8717",japan,automotive,doll_895.2 m,autobacs seven co ltd,"4,388",doll_2.0 b,81 3 62198787,www.autobacs.co.jp/ja
1471,1471,"l 4 1 julius ave, north ryde, new south wales, 2113",australia,consumer packaged goods,doll_763.5 m,inghams group ltd,,doll_2.0 b,61 2 98264444,inghams.com.au
1472,1472,"500 n akard st ste 400, dallas, texas, 75201-3332",united states of america,construction,doll_2.7 b,arcosa inc,"6,170",doll_2.0 b,1 972 9426500,www.arcosa.com
1473,1473,"fl 7, 3 forbury place, 23 forbury road, reading, rg13jh",united kingdom,medical equipment,doll_6.2 b,convatec group plc,"10,025",doll_2.0 b,44 1244 584254,www.convatecgroup.com
1474,1474,"22 honeysuckle dr, newcastle, new south wales, 2300",australia,financial services,doll_2.6 b,nib holdings ltd,"1,500",doll_2.0 b,61 2 96924300,www.nib.com.au
1475,1475,"no.1, central 6th road, kaohsng ecnmc prcsng zn,cianjn dist, kaohsiung, 806",taiwan,technology and communications,doll_1.5 b,radiant opto-electronics corp,"29,161",doll_2.0 b,886 7 8216151,www.radiant.com.tw
1476,1476,"no.18 xingshan road, torch hi-tech industry development zone, weihai, shandong , 264210",china,medical equipment,doll_7.9 b,shandong weigao group medical polymer company ltd,"11,476",doll_2.0 b,86 631 5621999,www.weigaoholding.com
1477,1477,"3-15-15, higashi-ikebukuro, toshima-ku, tokyo, 170-8448",japan,general business,doll_303.6 m,ryoden corp,"1,214",doll_2.0 b,81 3 53966111,www.ryoden.co.jp
1478,1478,"no.9, industrial fourth road, shu lin village, taoyuan, 328",taiwan,technology and communications,doll_552.0 m,hannstar board corp,"24,339",doll_2.0 b,886 34 838500,www.hannstarboard.com
1479,1479,"6-a muhammad ali housing society, a. aziz hashim tabba street, karachi, 75350",pakistan,construction,doll_564.4 m,lucky cement ltd,"8,018",doll_2.0 b,92 21 37130123,www.lucky-cement.com
1480,1480,"246 clayton road, victoria, 3168",australia,pharmaceuticals and healthcare,0,monash health,"22,000",doll_2.0 b,61 3 95946666,www.monashhealth.org
1481,1481,"trusco fiorito bldg., 4-28-1, shimbashi, minato-ku, tokyo, 105-0004",japan,retailing,doll_1.0 b,trusco nakayama corp,"1,632",doll_2.0 b,81 3 34339830,www.trusco.co.jp
1482,1482,"800 nicollet mall, suite 900, mail stop j09s02, minneapolis, minnesota, 55402",united states of america,financial services,doll_2.5 b,piper sandler companies,"1,665",doll_2.0 b,1 612 3036000,www.pipersandler.com
1483,1483,"225 king st w suite 200, toronto, ontario, m5v3m2",canada,consumer packaged goods,doll_2.7 b,spin master corp,"2,300",doll_2.0 b,1 416 3646002,www.spinmaster.com
1484,1484,"250 greenwich street, 49th floor, 7 world trade center, new york, 10007",united states of america,financial services,doll_40.5 b,msci inc,"4,767",doll_2.0 b,1 212 8043990,www.msci.com
1485,1485,"64/f, one island east, 18 westlands road, island east, hong kong",hong kong,construction,doll_16.4 b,swire properties ltd,"5,000",doll_2.0 b,852  28443888,www.swireproperties.com
1486,1486,"2000 w sam houston pkwy s ste 2000, texas, 77042-3622",united states of america,energy and utilities,doll_2.5 b,callon petroleum co,322,doll_2.0 b,1 281 5895200,www.callon.com
1487,1487,"150 peabody pl, memphis, tennessee, 38103-3720",united states of america,business and consumer services,doll_4.6 b,terminix global holdings inc,"11,700",doll_2.0 b,1 901 5971400,www.terminix.com
1488,1488,"ul. sokolska 34, katowice, 40-086",poland,financial services,doll_5.1 b,ing bank slaski sa,"8,452",doll_2.0 b,48 32 3570069,www.ing.pl
1489,1489,"versterkerstraat 8, almere, 1322ap",netherlands,technology and communications,doll_16.7 b,asm international nv,"3,805",doll_2.0 b,31 88 1008810,www.asm.com
1490,1490,"5-2-1, koji-machi, chiyoda-ku, tokyo, 102-8503",japan,financial services,doll_1.5 b,orient corp,"6,084",doll_2.0 b,81 3 58771111,www.orico.co.jp
1491,1491,"jl. parigi no. 1, tanjung enim, muara enim, palembang, 31716",indonesia,metals and mining,doll_2.6 b,pt bukit asam (persero) tbk,"1,827",doll_2.0 b,62 73 4451096,ptba.co.id
1492,1492,"ansty business park, pilot way, coventry, warwickshire, cv79ju",united kingdom,aerospace and defense,0,meggitt plc,"9,270",doll_2.0 b,44 24 76826900,www.meggitt.com
1493,1493,"king fahad road, p.o box 66674, riyadh, 11586",saudi arabia,financial services,doll_17.0 b,alinma bank,"3,280",doll_2.0 b,966 1 12185252,www.alinma.com
1494,1494,"1500 dekoven ave, racine, wisconsin, 53403",united states of america,technology and communications,doll_1.2 b,modine manufacturing co,"11,100",doll_2.1 b,1 262 6361200,www.modine.com
1495,1495,"sonnenstrasse 15, muenchen, 80331",germany,retailing,doll_2.5 b,zooplus ag,857,doll_2.1 b,49 89 95006100,investors.zooplus.com
1496,1496,"ul. siedmiogrodzka 9, warszawa, 01-204",poland,construction,doll_1.7 b,budimex sa,"6,939",doll_2.1 b,48 22 6236000,www.budimex.pl
1497,1497,"23 floor, yotsuya tower, 1-6-1 yotsuya, shinjuku-ku, tokyo, 160-0004",japan,technology and communications,0,line corp,"2,900",doll_2.1 b,81 343 162000,www.linecorp.com
1498,1498,"801 lakeview dr ste 100, blue bell, pennsylvania, 19422-1961",united states of america,technology and communications,doll_352.5 m,unisys corp,"16,300",doll_2.1 b,1 215 9864011,www.unisys.com
1499,1499,"11, seocho-daero 74-gil, seocho-gu, seoul, 06620",south korea,financial services,doll_2.5 b,samsung securities co ltd,"2,226",doll_2.1 b,82 2 15441544,www.samsungpop.com
1500,1500,"23 stag road, glen austin, midrand, gauteng, 1682",south africa,retailing,doll_1.5 b,dis-chem pharmacies ltd,"20,000",doll_2.1 b,27 11 5892200,www.dischemgroup.com
1501,1501,"4 gatehall dr ste 110, parsippany, new jersey, 07054",united states of america,consumer packaged goods,doll_1.0 b,b&g foods inc,"2,847",doll_2.1 b,1 973 4016500,bgfoods.com
1502,1502,"1-7-3, higashi-shimbashi, minato-ku, tokyo, 105-8311",japan,technology and communications,0,toppan forms co ltd,"2,651",doll_2.1 b,81 3 62536000,www.toppan-f.co.jp
1503,1503,"1437 s. boulder ave., suite 1400, tulsa, oklahoma, 74119",united states of america,energy and utilities,doll_5.0 b,helmerich & payne inc,"8,000",doll_2.1 b,1 918 7425531,www.helmerichpayne.com
1504,1504,"suite 850, one design center place, boston, massachusetts, 02210",united states of america,consumer packaged goods,doll_4.3 b,the boston beer co inc,"2,543",doll_2.1 b,1 617 3685000,www.bostonbeer.com
1505,1505,"koelner strasse 32, bergisch gladbach, 51429",germany,financial services,doll_740.2 m,indus holding ag,"10,656",doll_2.1 b,49 2204 40000,www.indus.de
1506,1506,"sumitomo nakanoshima bldg., 3-2-18, nakanoshima, kita-ku, osaka-shi, 530-0005",japan,transport and logistics,doll_1.2 b,sumitomo warehouse co ltd,"4,511",doll_2.1 b,81 6 64441181,www.sumitomo-soko.co.jp
1507,1507,"733 mountain ave, springfield, new jersey, 07081-3223",united states of america,retailing,doll_331.9 m,village super market inc,"2,225",doll_2.1 b,1 201 4672200,villagesupermarket.wordpress.com
1508,1508,"one e. washington street, phoenix, arizona, 85004",united states of america,financial services,doll_6.9 b,western alliance bancorp,"3,139",doll_2.1 b,1 602 3893500,www.westernalliancebancorporation.com
1509,1509,"3f, 6f-13f, no. 306, section 2, bade road, jhongshan district, taipei, 104",taiwan,financial services,doll_6.7 b,sinopac financial holdings company ltd,"9,548",doll_2.1 b,886 2 81618935,www.sinopac.com
1510,1510,"16th floor,ocean centre, canton road,harbour city, kowloon, hong kong",hong kong,construction,doll_17.8 b,wharf real estate investment company ltd,"2,700",doll_2.1 b,852  21183118,www.wharfreic.com
1511,1511,"xinyi glass industrial park,2,xinyi road, wuhu economic & technological deve zone, anhui, 241000",china,alternative energy,doll_11.3 b,xinyi solar holdings ltd,"7,492",doll_2.1 b,,www.xinyisolar.com
1512,1512,"ogdcl house, plot no.3, jinnah avenue, blue area, islamabad, 44000",pakistan,energy and utilities,doll_1.4 b,oil & gas development co ltd,"11,627",doll_2.1 b,92 51 9209811,www.ogdcl.com
1513,1513,"zydue tower, satellite cross road, ahmedabad, 380015",india,pharmaceuticals and healthcare,doll_5.5 b,zydus lifesciences ltd,"23,743",doll_2.1 b,91 79 26868100,www.zyduslife.com/zyduslife
