id,name,country,revenue_2022,profit,assets,market_value
444,d.r. horton,united states,doll_28.89 b,,,doll_25.28 b
445,l3harris technologies,united states,doll_17.81 b,,,doll_47.86 b
446,naspers,south africa,doll_7.01 b,,,doll_40.31 b
447,standard bank group,south africa,doll_15.9 b,,,doll_18.06 b
448,tc energy,canada,doll_10.48 b,,,doll_55.95 b
449,norilsk nickel,russia,doll_17.81 b,,,doll_37.75 b
450,naturgy energy group,spain,doll_26.17 b,,,doll_29.75 b
451,waste management,canada,doll_17.93 b,,,doll_65.39 b
452,henkel,germany,doll_23.72 b,,,doll_28.33 b
453,mediatek,taiwan,doll_17.66 b,,,doll_46.45 b
454,recruit holdings,japan,doll_24.8 b,,,doll_62.03 b
455,hengli petrochemical,china,doll_30.17 b,,,doll_21.93 b
456,xcel energy,united states,doll_13.37 b,,,doll_40.44 b
457,corteva,united states,doll_15.65 b,,,doll_41.92 b
458,synchrony financial,united states,doll_11.37 b,,,doll_19.23 b
459,toyota tsusho,japan,doll_69.53 b,,,doll_13.04 b
460,toyota industries,japan,doll_23.32 b,,,doll_18.92 b
461,astrazeneca,united kingdom,doll_38.68 b,,,doll_204.56 b
462,sunac china holdings,china,doll_38.49 b,,,doll_3.18 b
463,china evergrande group,china,doll_70.4 b,,,doll_2.78 b
464,bridgestone,japan,doll_29.54 b,,,doll_25.7 b
465,emirates nbd,united arab emirates,doll_8.6 b,,,doll_26.14 b
466,daiwa house industry,japan,doll_38.86 b,,,doll_15.82 b
467,jd.com,china,doll_147.63 b,,,doll_68.56 b
468,kinder morgan,united states,doll_16.61 b,,,doll_43.42 b
469,china national building,china,doll_42.58 b,,,doll_10.55 b
470,fifth third bank,united states,doll_8.27 b,,,doll_26.35 b
471,firstrand,south africa,doll_10.18 b,,,doll_24.98 b
472,carrefour,france,doll_87.81 b,,,doll_15.77 b
473,fujitsu,japan,doll_32.83 b,,,doll_29.14 b
474,seb ab,sweden,doll_7.55 b,,,doll_24.72 b
475,surgutneftegas,russia,doll_19.26 b,,,doll_10.48 b
476,new china life insurance,china,doll_34.44 b,,,doll_8.91 b
477,barrick gold,canada,doll_11.94 b,,,doll_42.24 b
478,dsv panalpina,denmark,doll_28.97 b,,,doll_38.65 b
479,talanx,germany,doll_51.73 b,,,doll_11.01 b
480,vodafone,united kingdom,doll_53.63 b,,,doll_46.36 b
481,nintendo,japan,doll_15.24 b,,,doll_58.01 b
482,hana financial group,south korea,doll_13.75 b,,,doll_11.47 b
483,hyundai mobis,south korea,doll_36.42 b,,,doll_15.65 b
484,ntpc,india,doll_17 b,,,doll_20.32 b
485,maybank,malaysia,doll_9.17 b,,,doll_24.74 b
486,cme group,united states,doll_4.69 b,,,doll_80.12 b
487,taqa,united arab emirates,doll_12.44 b,,,doll_42.24 b
488,pernod ricard,france,doll_11.58 b,,,doll_54.16 b
489,bank mandiri,indonesia,doll_9.53 b,,,doll_26.88 b
490,femsa,mexico,doll_27.38 b,,,doll_27.29 b
491,paccar,united states,doll_23.54 b,,,doll_29.79 b
492,consolidated edison,united states,doll_13.67 b,,,doll_34.18 b
493,mitsui fudosan,japan,doll_18.26 b,,,doll_20.04 b
494,evergreen marine corp. (taiwan),taiwan,doll_17.52 b,,,doll_26.68 b
495,komatsu,japan,doll_24.51 b,,,doll_22.06 b
496,shaanxi coal industry,china,doll_22.28 b,,,doll_24.76 b
497,lenovo group,hong kong,doll_70.56 b,,,doll_11.89 b
498,fast retailing,japan,doll_19.27 b,,,doll_51.27 b
499,london stock exchange,united kingdom,doll_9.27 b,,,doll_52.66 b
500,vonovia,germany,doll_6.55 b,,,doll_32.71 b
501,aviva,united kingdom,doll_45.13 b,,,doll_21.03 b
502,sherwin-williams,united states,doll_19.95 b,,,doll_64.22 b
503,fujifilm holdings,japan,doll_22.57 b,,,doll_22.93 b
504,intuit,united states,doll_11.41 b,,,doll_125.37 b
505,lam research,united states,doll_16.72 b,,,doll_64.61 b
506,erste group bank,austria,doll_11.43 b,,,doll_13.97 b
507,lincoln national,united states,doll_19.18 b,,,doll_11.2 b
508,carrier global,united states,doll_20.61 b,,,doll_35.55 b
509,dish network,united states,doll_17.88 b,,,doll_16.2 b
510,china coal energy,china,doll_35.86 b,,,doll_11.14 b
511,continental,germany,doll_39.91 b,,,doll_14.14 b
512,vtb bank,russia,doll_21.3 b,,,doll_3.15 b
513,murata manufacturing,japan,doll_16.28 b,,,doll_38.94 b
514,larsen & toubro,india,doll_20.53 b,,,doll_31.13 b
515,ally financial,united states,doll_10.84 b,,,doll_13.79 b
516,netease,china,doll_13.59 b,,,doll_52.53 b
517,bank central asia,indonesia,doll_6.1 b,,,doll_67.62 b
518,volvo car,sweden,doll_32.85 b,,,doll_21.5 b
519,intact financial,canada,doll_14.63 b,,,doll_24.88 b
520,orsted,denmark,doll_10.99 b,,,doll_49.11 b
521,cummins,united states,doll_24.02 b,,,doll_28.3 b
522,williams,united states,doll_10.57 b,,,doll_42.73 b
523,capgemini,france,doll_21.46 b,,,doll_35.59 b
524,prologis,united states,doll_4.83 b,,,doll_126.34 b
525,thales,france,doll_19.14 b,,,doll_28.56 b
526,bouygues,france,doll_44.43 b,,,doll_13.13 b
527,banorte,mexico,doll_10.61 b,,,doll_21.04 b
528,ck asset holdings,hong kong,doll_8.32 b,,,doll_25.13 b
529,orange,france,doll_50.26 b,,,doll_31.81 b
530,kuehne & nagel international,switzerland,doll_35.88 b,,,doll_34.84 b
531,bunge,united states,doll_59.15 b,,,doll_16.83 b
532,samsung life insurance,south korea,doll_25.44 b,,,doll_9.59 b
533,vmware,united states,doll_12.85 b,,,doll_45.55 b
534,albertsons,united states,doll_71.89 b,,,doll_15.57 b
535,crrc,china,doll_34.8 b,,,doll_10.5 b
536,cbre group,united states,doll_27.75 b,,,doll_27.96 b
537,toshiba,japan,doll_30.13 b,,,doll_18.19 b
538,samsung c&t,south korea,doll_30.09 b,,,doll_14.64 b
539,infosys,india,doll_16.33 b,,,doll_87.21 b
540,prudential,united kingdom,doll_26.52 b,,,doll_36.7 b
541,yankuang energy group,china,doll_16.86 b,,,doll_14.32 b
542,canadian pacific railway,canada,doll_6.38 b,,,doll_69.42 b
543,loews,united states,doll_14.67 b,,,doll_15.94 b
544,tokyo electron,japan,doll_17.09 b,,,doll_67.25 b
545,lg electronics,south korea,doll_66.12 b,,,doll_17.87 b
546,csl,australia,doll_10.59 b,,,doll_94.67 b
547,magna international,canada,doll_36.25 b,,,doll_18.14 b
548,analog devices,united states,doll_8.44 b,,,doll_81.25 b
549,kubota,japan,doll_19.99 b,,,doll_21.19 b
550,air products & chemicals,united states,doll_10.94 b,,,doll_53.86 b
551,newmont mining,united states,doll_12.25 b,,,doll_59.06 b
552,te connectivity,switzerland,doll_15.22 b,,,doll_40.01 b
553,aon,ireland,doll_12.19 b,,,doll_68.81 b
554,telus,canada,doll_13.43 b,,,doll_36.05 b
555,dollar tree,united states,doll_26.32 b,,,doll_37.7 b
556,keycorp,united states,doll_7.45 b,,,doll_19.06 b
557,wtw,united kingdom,doll_9.58 b,,,doll_26.88 b
558,china zheshang bank,china,doll_15.99 b,,,doll_9 b
559,wesfarmers,australia,doll_25.35 b,,,doll_40.57 b
560,suzuki motor,japan,doll_32.56 b,,,doll_15.39 b
561,best buy,united states,doll_51.76 b,,,doll_20.56 b
562,svb financial group,united states,doll_6.08 b,,,doll_31.82 b
563,advanced micro devices,united states,doll_16.43 b,,,doll_142.8 b
564,markel,united states,doll_12.84 b,,,doll_19.89 b
565,muyuan foodstuff,china,doll_11.27 b,,,doll_44.12 b
566,kimberly-clark,united states,doll_19.79 b,,,doll_46.67 b
567,swedbank,sweden,doll_6.75 b,,,doll_18.56 b
568,cognizant,united states,doll_18.51 b,,,doll_43.62 b
569,corning,united states,doll_14.07 b,,,doll_28.58 b
570,infineon technologies,germany,doll_13.7 b,,,doll_39.15 b
571,citizens financial group,united states,doll_6.88 b,,,doll_20.76 b
572,devon energy,united states,doll_13.69 b,,,doll_38.57 b
573,asahi group holdings,japan,doll_20.35 b,,,doll_17.94 b
574,jsw steel,india,doll_17.1 b,,,doll_22.87 b
575,lumen technologies,united states,doll_19.69 b,,,doll_11.16 b
576,regions financial,united states,doll_6.63 b,,,doll_20.03 b
577,svenska handelsbanken,sweden,doll_6.34 b,,,doll_19.52 b
578,raymond james financial,united states,doll_10.43 b,,,doll_21.49 b
579,byd,china,doll_32.78 b,,,doll_84.46 b
580,illinois tool works,united states,doll_14.46 b,,,doll_63.42 b
581,pinduoduo,china,doll_14.57 b,,,doll_43.53 b
582,activision blizzard,united states,doll_8.8 b,,,doll_61.39 b
583,liberty global,united kingdom,doll_10.54 b,,,doll_12.59 b
584,colgate-palmolive,united states,doll_17.42 b,,,doll_68.17 b
585,sse,united kingdom,doll_10.33 b,,,doll_24.88 b
586,nan ya plastics,taiwan,doll_14.74 b,,,doll_23.75 b
587,vivendi,france,doll_11.31 b,,,doll_12.95 b
588,baxter international,united states,doll_12.78 b,,,doll_36.77 b
589,fosun international,china,doll_25.02 b,,,doll_8.48 b
590,weichai power,china,doll_31.4 b,,,doll_12.04 b
591,fidelity national financial,united states,doll_15.63 b,,,doll_11.58 b
592,parker-hannifin,united states,doll_15.29 b,,,doll_35.6 b
593,vedanta limited,india,doll_16.38 b,,,doll_20.21 b
594,woori financial group,south korea,doll_11.47 b,,,doll_9.51 b
595,sysco,united states,doll_60.74 b,,,doll_45.06 b
596,telstra,australia,doll_15.82 b,,,doll_34.21 b
597,credit suisse group,switzerland,doll_30.07 b,,,doll_18.68 b
598,rogers communications,canada,doll_11.79 b,,,doll_29.24 b
599,m&t bank,united states,doll_5.89 b,,,doll_31.03 b
600,boston scientific,united states,doll_11.89 b,,,doll_62.63 b
601,edison international,united states,doll_14.9 b,,,doll_27.27 b
602,financiere de l'odet,france,doll_23.37 b,,,doll_5.07 b
603,sumitomo mitsui trust,japan,doll_10.67 b,,,doll_11.81 b
604,entergy,united states,doll_11.71 b,,,doll_25.1 b
605,swisscom,switzerland,doll_12.23 b,,,doll_30.25 b
606,enbw-energie baden,germany,doll_38 b,,,doll_25.8 b
607,hikvision,china,doll_12.99 b,,,doll_59.33 b
608,nippon yusen,japan,doll_19.46 b,,,doll_12.82 b
609,stanley black & decker,united states,doll_16.83 b,,,doll_21.35 b
610,oneok,united states,doll_17.27 b,,,doll_30.94 b
611,marriott international,united states,doll_13.86 b,,,doll_58.74 b
612,warner bros. discovery,united states,doll_12.18 b,,,doll_49.91 b
613,s.f. holding,china,doll_32.05 b,,,doll_36.66 b
614,delta air lines,united states,doll_35.1 b,,,doll_28.01 b
615,bharat petroleum,india,doll_43.2 b,,,doll_11.16 b
616,halliburton,united states,doll_16.13 b,,,doll_33.94 b
617,metallurgical corp of china,china,doll_77.3 b,,,doll_5.15 b
618,northern trust,united states,doll_6.57 b,,,doll_22.08 b
619,heidelbergcement,germany,doll_22.13 b,,,doll_10.91 b
620,china steel,taiwan,doll_16.77 b,,,doll_19.81 b
621,eversource energy,united states,doll_9.86 b,,,doll_31.72 b
622,sany heavy industry,china,doll_17.59 b,,,doll_21.93 b
623,hermã¨s international,france,doll_10.62 b,,,doll_138.97 b
624,international paper,united states,doll_21.78 b,,,doll_17.89 b
625,koã§ holding,turkey,doll_38.84 b,,,doll_6.79 b
626,nidec,japan,doll_17.07 b,,,doll_40.47 b
627,meituan,china,doll_27.79 b,,,doll_111.43 b
628,kotak mahindra bank,india,doll_7.92 b,,,doll_44.83 b
629,teck resources,canada,doll_10.75 b,,,doll_19.97 b
630,southwest airlines,united states,doll_15.79 b,,,doll_27.77 b
631,deutsche boerse,germany,doll_5.26 b,,,doll_32.23 b
632,labcorp,united states,doll_16.12 b,,,doll_25.02 b
633,china tower corp.,china,doll_13.43 b,,,doll_20.28 b
634,inpex,japan,doll_11.32 b,,,doll_17.11 b
635,coca-cola european partners,united kingdom,doll_16.24 b,,,doll_23.43 b
636,wuliangye yibin,china,doll_8.48 b,,,doll_98.98 b
637,shimao property holdings,hong kong,doll_21.82 b,,,doll_2.14 b
638,idemitsu kosan,japan,doll_54.54 b,,,doll_7.97 b
639,formosa petrochemical,taiwan,doll_22.2 b,,,doll_29.96 b
640,crown castle international,united states,doll_6.6 b,,,doll_84.07 b
641,firstenergy,united states,doll_11.41 b,,,doll_26.27 b
642,rongsheng petrochemical,china,doll_27.22 b,,,doll_21.52 b
643,hindalco industries,india,doll_24.33 b,,,doll_15.11 b
644,bank of hangzhou,china,doll_8.7 b,,,doll_13.96 b
645,renault,france,doll_54.62 b,,,doll_7.28 b
646,international holding company,united arab emirates,doll_7.75 b,,,doll_108.6 b
647,cincinnati financial,united states,doll_9.63 b,,,doll_21.93 b
648,mitsubishi estate,japan,doll_12.14 b,,,doll_19.04 b
649,cleveland-cliffs,united states,doll_22.35 b,,,doll_15.18 b
650,grupo acs,spain,doll_32.9 b,,,doll_7.03 b
651,cgn power,china,doll_12.47 b,,,doll_13.58 b
652,ase technology holding,taiwan,doll_21.31 b,,,doll_14.5 b
653,jfe holdings,japan,doll_36.46 b,,,doll_7.25 b
654,dte energy,united states,doll_15.46 b,,,doll_26.51 b
655,china hongqiao group,china,doll_17.76 b,,,doll_12.76 b
656,nxp semiconductors,netherlands,doll_11.06 b,,,doll_44.83 b
657,western digital,united states,doll_18.94 b,,,doll_15.48 b
658,booking holdings,united states,doll_10.96 b,,,doll_90.52 b
659,aeon,japan,doll_78.17 b,,,doll_16.11 b
660,first republic bank,united states,doll_5.53 b,,,doll_28.21 b
661,lufax holding,china,doll_9.67 b,,,doll_13.52 b
662,atlas copco,sweden,doll_12.92 b,,,doll_61.42 b
663,fidelity national information (fis),united states,doll_13.88 b,,,doll_61.05 b
664,mitsubishi chemical,japan,doll_34.61 b,,,doll_8.74 b
665,edp-energias de portugal,portugal,doll_17.86 b,,,doll_19.63 b
666,kyocera,japan,doll_16.22 b,,,doll_19.16 b
667,xiamen c&d,china,doll_109.61 b,,,doll_6.02 b
668,autozone,united states,doll_15.6 b,,,doll_42.88 b
669,china taiping insurance,hong kong,doll_40.91 b,,,doll_4.36 b
670,cenovus energy,canada,doll_36.98 b,,,doll_34.25 b
671,neste,finland,doll_17.91 b,,,doll_36.31 b
672,porsche automobil holding,germany,doll_151 m,,,doll_27.21 b
673,h&m - hennes & mauritz,sweden,doll_23.85 b,,,doll_22.04 b
674,relx,united kingdom,doll_9.96 b,,,doll_59.18 b
675,pg&e,united states,doll_20.64 b,,,doll_24.11 b
676,republic services,united states,doll_11.3 b,,,doll_41.81 b
677,ross stores,united states,doll_18.92 b,,,doll_36.35 b
678,wec energy group,united states,doll_8.32 b,,,doll_32.8 b
679,cardinal health,united states,doll_171.29 b,,,doll_17.06 b
680,carmax,united states,doll_31.9 b,,,doll_14.61 b
681,china development financial,taiwan,doll_12.76 b,,,doll_10.52 b
682,riyad bank,saudi arabia,doll_3.23 b,,,doll_31.76 b
683,thomson reuters,united states,doll_6.35 b,,,doll_49.81 b
684,transneft,russia,doll_14.11 b,,,doll_10.13 b
685,ferguson,united kingdom,doll_22.74 b,,,doll_29.61 b
686,iqvia,united states,doll_13.87 b,,,doll_43.56 b
687,hong kong exchanges,hong kong,doll_2.69 b,,,doll_54.13 b
688,ppg,united states,doll_17.23 b,,,doll_31.37 b
689,legend holding,china,doll_75.97 b,,,doll_2.81 b
690,ecolab,united states,doll_12.73 b,,,doll_50.16 b
691,sinopharm group,china,doll_80.8 b,,,doll_6.77 b
692,luxshare precision industry,china,doll_23.87 b,,,doll_31.7 b
693,seazen group,china,doll_26.4 b,,,doll_2.86 b
694,global payments,united states,doll_8.52 b,,,doll_37.87 b
695,china energy engineering,china,doll_49.75 b,,,doll_4.17 b
696,safran,france,doll_17.89 b,,,doll_52.26 b
697,s&p global,united states,doll_8.3 b,,,doll_131.75 b
698,huntington bank,united states,doll_6.42 b,,,doll_19.88 b
699,arch capital group,bermuda,doll_8.88 b,,,doll_17.86 b
700,jackson financial,united states,doll_8.85 b,,,doll_3.93 b
701,bank leumi,israel,doll_5.82 b,,,doll_15.87 b
702,trane technologies,ireland,doll_14.14 b,,,doll_34.77 b
703,veolia environnement,france,doll_33.7 b,,,doll_21.2 b
704,o'reilly automotive,united states,doll_13.33 b,,,doll_46.92 b
705,biogen,united states,doll_10.35 b,,,doll_30.86 b
706,publicis groupe,france,doll_13.87 b,,,doll_15.81 b
707,hanwha,south korea,doll_46.14 b,,,doll_1.7 b
708,the mosaic company,united states,doll_12.36 b,,,doll_24.17 b
709,bharti airtel,india,doll_14.98 b,,,doll_56.8 b
710,daqin railway,china,doll_11.83 b,,,doll_16.04 b
711,uber,united states,doll_17.45 b,,,doll_60.27 b
712,stmicroelectronics,switzerland,doll_12.78 b,,,doll_34.46 b
713,gemdale,china,doll_14.32 b,,,doll_9.58 b
714,ageas,belgium,doll_14.42 b,,,doll_9.71 b
715,quanta computer,taiwan,doll_40.44 b,,,doll_11.13 b
716,george weston,canada,doll_43.37 b,,,doll_18.04 b
717,weyerhaeuser,united states,doll_10.2 b,,,doll_31.02 b
718,korea electric power,south korea,doll_52.9 b,,,doll_11.11 b
719,fox,united states,doll_13.59 b,,,doll_21.51 b
720,mitsubishi heavy industries,japan,doll_34.06 b,,,doll_11.58 b
721,steel dynamics,united states,doll_20.43 b,,,doll_16.98 b
722,keyence,japan,doll_6.43 b,,,doll_100.89 b
723,longi green energy technology,china,doll_11.76 b,,,doll_51.73 b
724,reckitt benckiser group,united kingdom,doll_18.2 b,,,doll_56.35 b
725,coal india,india,doll_14.03 b,,,doll_16.3 b
726,aisin seiki,japan,doll_35.4 b,,,doll_8.21 b
727,digital realty trust,united states,doll_4.77 b,,,doll_42.6 b
728,tata motors,india,doll_39.04 b,,,doll_22.12 b
729,resona holdings,japan,doll_7.46 b,,,doll_10.54 b
730,simon property group,united states,doll_5.12 b,,,doll_41.33 b
731,industrial bank of korea,south korea,doll_9.44 b,,,doll_6.97 b
732,clp holdings,hong kong,doll_10.8 b,,,doll_24.76 b
733,national bank of kuwait,kuwait,doll_3.82 b,,,doll_25.78 b
734,singtel,singapore,doll_11.84 b,,,doll_32.06 b
735,coinbase,united states,doll_7.84 b,,,doll_28.64 b
736,centerpoint energy,united states,doll_8.35 b,,,doll_20.04 b
737,saudi arabian mining,saudi arabia,doll_7.14 b,,,doll_44.95 b
738,china cinda asset management,china,doll_10.29 b,,,doll_6.47 b
739,asahi kasei,japan,doll_21.79 b,,,doll_11.72 b
740,nec,japan,doll_27.72 b,,,doll_10.9 b
741,united airlines holdings,united states,doll_28.98 b,,,doll_16.81 b
742,mgm resorts,united states,doll_9.68 b,,,doll_17.88 b
743,dsm,netherlands,doll_10.88 b,,,doll_28.7 b
744,telkom indonesia,indonesia,doll_10.02 b,,,doll_31.88 b
745,pkn orlen,poland,doll_34.07 b,,,doll_7.55 b
746,guotai junan securities,china,doll_6.7 b,,,doll_11.51 b
747,norsk hydro,norway,doll_16.89 b,,,doll_19.14 b
748,formosa plastics,taiwan,doll_9.79 b,,,doll_23.28 b
749,nrg energy,united states,doll_26.9 b,,,doll_9.18 b
750,public bank,malaysia,doll_4.51 b,,,doll_21.18 b
751,tcl,china,doll_25.27 b,,,doll_9.67 b
752,huatai securities,china,doll_6.04 b,,,doll_12.74 b
753,kellogg,united states,doll_14.18 b,,,doll_23.53 b
754,inner mongolia yili,china,doll_16.52 b,,,doll_37.83 b
755,wpp,united kingdom,doll_17.61 b,,,doll_14.8 b
756,omnicom group,united states,doll_14.27 b,,,doll_16.35 b
757,sekisui house,japan,doll_23.39 b,,,doll_11.78 b
758,cheniere energy,united states,doll_17.64 b,,,doll_34.52 b
759,sandvik,sweden,doll_11.61 b,,,doll_26.55 b
760,siam cement,thailand,doll_16.56 b,,,doll_12.8 b
761,east japan railway,japan,doll_17.67 b,,,doll_20.31 b
762,abu dhabi commercial bank,united arab emirates,doll_4.23 b,,,doll_19.45 b
763,huishang bank,china,doll_10.26 b,,,doll_4.43 b
764,great wall motor,china,doll_20.52 b,,,doll_13.08 b
765,haitong securities,china,doll_7.8 b,,,doll_9.56 b
766,dongfeng motor group,china,doll_17.5 b,,,doll_6.23 b
767,china reinsurance group,china,doll_25.39 b,,,doll_3.9 b
768,henderson land,hong kong,doll_3.07 b,,,doll_20.39 b
769,samsung sdi,south korea,doll_11.84 b,,,doll_32.16 b
770,fortis (canada),canada,doll_7.54 b,,,doll_24.04 b
771,sk telecom,south korea,doll_14.63 b,,,doll_10.82 b
772,hal trust,netherlands,doll_8.68 b,,,doll_12.8 b
773,banco btg pactual,brazil,doll_2.71 b,,,doll_56.14 b
774,baker hughes company,united states,doll_20.59 b,,,doll_31.15 b
775,gallagher,united states,doll_8.05 b,,,doll_37.32 b
776,everest re group,bermuda,doll_11.87 b,,,doll_12.67 b
777,amphenol,united states,doll_10.88 b,,,doll_41.49 b
778,american airlines group,united states,doll_34.77 b,,,doll_13.1 b
779,kla,united states,doll_8.16 b,,,doll_48.87 b
780,astellas pharma,japan,doll_11.84 b,,,doll_29.26 b
781,otsuka holding,japan,doll_13.64 b,,,doll_17.87 b
782,china bohai bank,china,doll_10.56 b,,,doll_3.01 b
783,kasikornbank,thailand,doll_8.14 b,,,doll_10.82 b
784,bank hapoalim,israel,doll_5.64 b,,,doll_12.88 b
785,woodside petroleum,australia,doll_7.01 b,,,doll_22.85 b
786,mtr,hong kong,doll_6.07 b,,,doll_33.32 b
787,tatneft,russia,doll_17.39 b,,,doll_10.46 b
788,power finance,india,doll_10.15 b,,,doll_4.1 b
789,zoetis,united states,doll_7.78 b,,,doll_85.74 b
790,lonza group,switzerland,doll_5.92 b,,,doll_48.01 b
791,eiffage,france,doll_22.69 b,,,doll_9.86 b
792,sumitomo chemical,japan,doll_24.41 b,,,doll_7.08 b
793,vertex pharmaceuticals,united states,doll_7.6 b,,,doll_68.84 b
794,constellation energy,united states,doll_19.65 b,,,doll_20.39 b
795,cifi holdings group,china,doll_16.77 b,,,doll_4.19 b
796,raiffeisen bank international,austria,doll_9.05 b,,,doll_3.98 b
797,whirlpool,united states,doll_21.98 b,,,doll_10.16 b
798,siemens energy,germany,doll_32.51 b,,,doll_14.43 b
799,westrock,united states,doll_19.3 b,,,doll_13.27 b
800,samsung fire & marine,south korea,doll_18.34 b,,,doll_7.36 b
801,us steel,united states,doll_20.45 b,,,doll_8.75 b
802,upm-kymmene,finland,doll_11.6 b,,,doll_18.74 b
803,formosa chemicals,taiwan,doll_13.1 b,,,doll_16.21 b
804,sk innovation,south korea,doll_40.91 b,,,doll_14.96 b
805,telia,sweden,doll_10.29 b,,,doll_16.49 b
806,t&d holdings,japan,doll_20.27 b,,,doll_7.85 b
807,mapfre,spain,doll_23.48 b,,,doll_6.24 b
808,hcl technologies,india,doll_11.19 b,,,doll_39.09 b
809,sumitomo realty,japan,doll_8.42 b,,,doll_12.58 b
810,westlake chemical,united states,doll_11.78 b,,,doll_16.34 b
811,apollo global management,united states,doll_4.83 b,,,doll_30.79 b
812,united rentals,united states,doll_9.72 b,,,doll_22.72 b
813,diamondback energy,united states,doll_6.8 b,,,doll_23.08 b
814,otis worldwide,united states,doll_14.3 b,,,doll_31.04 b
815,chongqing rural bank,china,doll_8.68 b,,,doll_4.46 b
816,ball,united states,doll_13.93 b,,,doll_27.77 b
817,stora enso,finland,doll_12.01 b,,,doll_15.68 b
818,yang ming marine transport,taiwan,doll_11.95 b,,,doll_15.1 b
819,phoenix group holdings,united kingdom,doll_33.53 b,,,doll_7.93 b
820,wipro,india,doll_10.07 b,,,doll_38.44 b
821,power grid of india,india,doll_5.61 b,,,doll_20.57 b
822,absa group,south africa,doll_9.04 b,,,doll_8.83 b
823,novolipetsk steel,russia,doll_16.18 b,,,doll_12.07 b
824,sumitomo electric,japan,doll_29.99 b,,,doll_8.61 b
825,st. james's place,united kingdom,doll_24.42 b,,,doll_9.31 b
826,grasim industries,india,doll_12.35 b,,,doll_14.77 b
827,segro,united kingdom,doll_751 m,,,doll_21.23 b
828,mega financial holding,taiwan,doll_2.62 b,,,doll_19.32 b
829,zhongsheng group holdings,china,doll_27.15 b,,,doll_16.05 b
830,shin kong financial,taiwan,doll_15.59 b,,,doll_4.88 b
831,cms energy,united states,doll_7.4 b,,,doll_20.82 b
832,quinenco,chile,doll_8.46 b,,,doll_4.84 b
833,evonik industries,germany,doll_18.69 b,,,doll_12.57 b
834,east money information,china,doll_2.13 b,,,doll_41.33 b
835,qbe insurance group,australia,doll_13.95 b,,,doll_13.04 b
836,tenaga nasional,malaysia,doll_12.7 b,,,doll_11.85 b
837,naver,south korea,doll_6.14 b,,,doll_36.14 b
838,tdk,japan,doll_16.26 b,,,doll_12.01 b
839,nomura,japan,doll_12.89 b,,,doll_12.09 b
840,jinke property group,china,doll_15.58 b,,,doll_3.73 b
841,tokyo electric power,japan,doll_47.93 b,,,doll_5.79 b
842,cdw,united states,doll_20.82 b,,,doll_22.9 b
843,the hershey company,united states,doll_8.97 b,,,doll_46.07 b
844,itc,india,doll_7.91 b,,,doll_42.06 b
845,pgnig group,poland,doll_18.29 b,,,doll_8.57 b
846,mtn group,south africa,doll_12.28 b,,,doll_19.98 b
847,compass group,united kingdom,doll_24.5 b,,,doll_39.01 b
848,wr berkley,united states,doll_9.46 b,,,doll_18.02 b
849,moody's,united states,doll_6.22 b,,,doll_59.77 b
850,genuine parts,united states,doll_19.7 b,,,doll_18.97 b
851,beijing-shanghai high-speed railway,china,doll_4.75 b,,,doll_37.02 b
852,aluminum corp of china,china,doll_41.84 b,,,doll_9.13 b
853,kansai electric power,japan,doll_26.01 b,,,doll_8.41 b
854,public storage,united states,doll_3.42 b,,,doll_70.56 b
855,china international travel service,china,doll_10.37 b,,,doll_53.27 b
856,sika,switzerland,doll_10.12 b,,,doll_49.37 b
857,signature bank,united states,doll_2.48 b,,,doll_14.95 b
858,t rowe price,united states,doll_7.67 b,,,doll_30.58 b
859,international flavors & fragrances,united states,doll_11.66 b,,,doll_31.74 b
860,atlantia,italy,doll_6.21 b,,,doll_20.11 b
861,roper technologies,united states,doll_6.09 b,,,doll_47.95 b
862,shanghai international port,china,doll_5.18 b,,,doll_21.72 b
863,daiichi sankyo,japan,doll_9.42 b,,,doll_43.87 b
864,rakuten,japan,doll_15.31 b,,,doll_11.45 b
865,franklin resources,united states,doll_8.72 b,,,doll_13.25 b
866,bank of ireland,ireland,doll_8.37 b,,,doll_7.83 b
867,mitsui osk lines,japan,doll_10.81 b,,,doll_8.9 b
868,saudi british bank,saudi arabia,doll_2.38 b,,,doll_24.3 b
869,ameren,united states,doll_6.39 b,,,doll_25 b
870,chunghwa telecom,taiwan,doll_7.54 b,,,doll_34.87 b
871,assa abloy,sweden,doll_11.07 b,,,doll_29.86 b
872,zte,china,doll_17.64 b,,,doll_9.76 b
873,asr nederland,netherlands,doll_11.72 b,,,doll_6.61 b
874,conagra brands,united states,doll_11.37 b,,,doll_17.33 b
875,commerzbank,germany,doll_14.84 b,,,doll_9.18 b
876,bajaj finserv,india,doll_8.64 b,,,doll_32.15 b
877,hyundai steel,south korea,doll_19.95 b,,,doll_4.73 b
878,lg display,south korea,doll_26.09 b,,,doll_5.38 b
879,kt,south korea,doll_21.74 b,,,doll_6.89 b
880,logan property holdings,china,doll_12.2 b,,,doll_1.7 b
881,public service enterprise group,united states,doll_8.73 b,,,doll_37.09 b
882,en+ group international,russia,doll_14.12 b,,,doll_4.47 b
883,isbank,turkey,doll_12.25 b,,,doll_3.2 b
884,expeditors international,united states,doll_16.68 b,,,doll_16.64 b
885,ternium,luxembourg,doll_15.98 b,,,doll_8.59 b
886,cez group,czech republic,doll_10.9 b,,,doll_23.39 b
887,isuzu motors,japan,doll_21.7 b,,,doll_9.3 b
