02-GioPonSpiz-sector,03-gren-sector,04-iGMM-sector,05-MalPatSaj-sector,06-MarScoToc-sector,07-silvestri-sector,10-DeBiGa-sector
industrials,consumer staples,consumer discretionary,consumer staples,basic materials,consumer staples,technology
basic materials,industrials,basic materials,industrials,healthcare,industrials,consumer staples
consumer staples,communication services,utilities,communication services,technology,communication services,energy
financials,consumer staples,utilities,consumer staples,real estate,consumer staples,technology
energy,consumer staples,consumer discretionary,consumer staples,consumer discretionary,consumer staples,basic materials
healthcare,industrials,financials,industrials,healthcare,industrials,financials
basic materials,energy,financials,energy,financials,energy,real estate
healthcare,financials,healthcare,financials,consumer staples,financials,financials
industrials,consumer staples,utilities,consumer staples,consumer discretionary,consumer staples,consumer staples
financials,technology,industrials,technology,consumer staples,technology,healthcare
utilities,communication services,healthcare,communication services,consumer discretionary,communication services,industrials
utilities,consumer discretionary,basic materials,consumer discretionary,industrials,consumer discretionary,healthcare
financials,healthcare,consumer discretionary,healthcare,financials,healthcare,energy
communication services,financials,consumer staples,financials,financials,financials,consumer staples
real estate,industrials,industrials,industrials,consumer discretionary,industrials,technology
financials,basic materials,financials,basic materials,financials,basic materials,consumer discretionary
financials,utilities,energy,utilities,healthcare,utilities,technology
technology,energy,industrials,energy,basic materials,energy,consumer staples
utilities,financials,industrials,financials,financials,financials,basic materials
industrials,consumer discretionary,utilities,consumer discretionary,industrials,consumer discretionary,industrials
healthcare,technology,consumer discretionary,technology,financials,technology,industrials
basic materials,technology,consumer discretionary,technology,basic materials,technology,utilities
healthcare,industrials,financials,industrials,real estate,industrials,communication services
industrials,energy,consumer staples,energy,industrials,energy,consumer staples
financials,consumer discretionary,financials,consumer discretionary,financials,consumer discretionary,technology
financials,communication services,healthcare,communication services,real estate,communication services,financials
industrials,consumer discretionary,industrials,consumer discretionary,financials,consumer discretionary,communication services
industrials,consumer discretionary,technology,consumer discretionary,financials,consumer discretionary,financials
financials,industrials,healthcare,industrials,financials,industrials,industrials
financials,financials,real estate,financials,financials,financials,healthcare
financials,financials,consumer discretionary,financials,communication services,financials,financials
real estate,consumer staples,healthcare,consumer staples,healthcare,consumer staples,industrials
basic materials,utilities,financials,utilities,industrials,utilities,industrials
consumer discretionary,basic materials,communication services,basic materials,industrials,basic materials,industrials
consumer staples,technology,communication services,technology,financials,technology,energy
utilities,consumer discretionary,consumer discretionary,consumer discretionary,healthcare,consumer discretionary,communication services
technology,basic materials,financials,basic materials,financials,basic materials,financials
consumer discretionary,energy,industrials,energy,technology,energy,healthcare
technology,technology,consumer discretionary,technology,financials,technology,consumer discretionary
industrials,industrials,utilities,industrials,financials,industrials,healthcare
basic materials,healthcare,basic materials,healthcare,industrials,healthcare,technology
industrials,consumer discretionary,healthcare,consumer discretionary,real estate,consumer discretionary,real estate
healthcare,industrials,industrials,industrials,industrials,industrials,consumer staples
utilities,consumer staples,industrials,consumer staples,financials,consumer staples,financials
technology,healthcare,financials,healthcare,consumer staples,healthcare,industrials
financials,industrials,communication services,industrials,financials,industrials,communication services
consumer discretionary,consumer discretionary,financials,consumer discretionary,financials,consumer discretionary,technology
utilities,industrials,real estate,industrials,financials,industrials,financials
industrials,real estate,technology,real estate,financials,real estate,energy
healthcare,technology,consumer staples,technology,financials,technology,                                        energy                                    
consumer staples,consumer discretionary,financials,consumer discretionary,industrials,consumer discretionary,healthcare
industrials,basic materials,consumer discretionary,basic materials,financials,basic materials,financials
communication services,energy,industrials,energy,communication services,energy,basic materials
consumer staples,healthcare,communication services,healthcare,financials,healthcare,basic materials
consumer staples,energy,consumer discretionary,energy,healthcare,energy,consumer discretionary
industrials,technology,technology,technology,industrials,technology,consumer staples
energy,industrials,industrials,industrials,financials,industrials,financials
financials,consumer discretionary,technology,consumer discretionary,financials,consumer discretionary,energy
consumer staples,basic materials,financials,basic materials,healthcare,basic materials,communication services
technology,technology,energy,technology,consumer staples,technology,financials
communication services,communication services,healthcare,communication services,financials,communication services,energy
consumer discretionary,technology,healthcare,technology,financials,technology,consumer discretionary
healthcare,financials,technology,financials,consumer discretionary,financials,industrials
financials,industrials,consumer staples,industrials,financials,industrials,financials
industrials,technology,technology,technology,energy,technology,industrials
basic materials,basic materials,basic materials,basic materials,financials,basic materials,communication services
utilities,healthcare,communication services,healthcare,energy,healthcare,real estate
energy,financials,financials,financials,financials,financials,technology
financials,industrials,communication services,industrials,financials,industrials,basic materials
consumer discretionary,consumer discretionary,technology,consumer discretionary,technology,consumer discretionary,real estate
technology,basic materials,healthcare,basic materials,financials,basic materials,consumer staples
technology,communication services,technology,communication services,financials,communication services,energy
industrials,healthcare,real estate,healthcare,real estate,healthcare,financials
energy,consumer staples,technology,consumer staples,financials,consumer staples,financials
consumer discretionary,technology,consumer staples,technology,financials,technology,real estate
communication services,consumer discretionary,utilities,consumer discretionary,financials,consumer discretionary,industrials
consumer discretionary,communication services,technology,communication services,financials,communication services,industrials
consumer discretionary,healthcare,consumer staples,healthcare,basic materials,healthcare,industrials
industrials,financials,healthcare,financials,basic materials,financials,financials
financials,technology,industrials,technology,communication services,technology,consumer staples
financials,consumer staples,financials,consumer staples,consumer discretionary,consumer staples,energy
consumer staples,technology,financials,technology,industrials,technology,financials
utilities,energy,industrials,energy,energy,energy,communication services
basic materials,basic materials,consumer staples,basic materials,financials,basic materials,real estate
technology,energy,technology,energy,financials,energy,healthcare
consumer discretionary,financials,consumer staples,financials,technology,financials,financials
basic materials,technology,basic materials,technology,basic materials,technology,consumer discretionary
energy,consumer discretionary,technology,consumer discretionary,healthcare,consumer discretionary,industrials
technology,healthcare,basic materials,healthcare,technology,healthcare,industrials
industrials,industrials,technology,industrials,consumer discretionary,industrials,                                        utilities                                    
healthcare,technology,financials,technology,financials,technology,healthcare
consumer discretionary,consumer discretionary,real estate,consumer discretionary,consumer discretionary,consumer discretionary,industrials
industrials,financials,financials,financials,healthcare,financials,financials
consumer staples,healthcare,healthcare,healthcare,consumer staples,healthcare,                                        basic materials                                    
healthcare,technology,basic materials,technology,consumer discretionary,technology,consumer staples
industrials,basic materials,financials,basic materials,basic materials,basic materials,financials
consumer discretionary,technology,consumer staples,technology,financials,technology,utilities
financials,financials,financials,financials,healthcare,financials,energy
real estate,real estate,industrials,real estate,financials,real estate,industrials
financials,financials,communication services,financials,healthcare,financials,real estate
basic materials,basic materials,financials,basic materials,industrials,basic materials,consumer discretionary
technology,technology,energy,technology,industrials,technology,energy
energy,energy,technology,energy,financials,energy,real estate
consumer staples,consumer staples,communication services,consumer staples,financials,consumer staples,financials
technology,technology,healthcare,technology,financials,technology,technology
consumer discretionary,consumer discretionary,utilities,consumer discretionary,communication services,consumer discretionary,communication services
industrials,industrials,consumer discretionary,industrials,real estate,industrials,consumer staples
healthcare,healthcare,financials,healthcare,technology,healthcare,communication services
consumer staples,consumer staples,industrials,consumer staples,consumer staples,consumer staples,energy
consumer staples,consumer staples,energy,consumer staples,healthcare,consumer staples,consumer staples
technology,technology,consumer discretionary,technology,financials,technology,healthcare
basic materials,basic materials,technology,basic materials,financials,basic materials,technology
consumer staples,consumer staples,technology,consumer staples,industrials,consumer staples,consumer discretionary
consumer staples,consumer staples,technology,consumer staples,communication services,consumer staples,financials
industrials,industrials,technology,industrials,financials,industrials,utilities
consumer discretionary,consumer discretionary,technology,consumer discretionary,financials,consumer discretionary,basic materials
healthcare,healthcare,communication services,healthcare,real estate,healthcare,basic materials
consumer staples,consumer staples,real estate,consumer staples,financials,consumer staples,financials
consumer staples,consumer staples,industrials,consumer staples,consumer staples,consumer staples,technology
financials,financials,consumer staples,financials,consumer staples,financials,utilities
healthcare,healthcare,technology,healthcare,industrials,healthcare,industrials
technology,technology,basic materials,technology,industrials,technology,healthcare
energy,energy,communication services,energy,energy,energy,energy
energy,energy,technology,energy,financials,energy,basic materials
financials,financials,basic materials,financials,healthcare,financials,communication services
financials,financials,financials,financials,consumer discretionary,financials,healthcare
energy,energy,financials,energy,real estate,energy,financials
financials,financials,healthcare,financials,technology,financials,basic materials
basic materials,basic materials,communication services,basic materials,basic materials,basic materials,communication services
technology,technology,healthcare,technology,real estate,technology,utilities
communication services,communication services,basic materials,communication services,real estate,communication services,technology
financials,financials,industrials,financials,real estate,financials,consumer staples
industrials,industrials,financials,industrials,basic materials,industrials,technology
financials,financials,real estate,financials,technology,financials,real estate
real estate,real estate,industrials,real estate,real estate,real estate,energy
healthcare,healthcare,basic materials,healthcare,healthcare,healthcare,healthcare
healthcare,healthcare,financials,healthcare,healthcare,healthcare,communication services
industrials,industrials,consumer discretionary,industrials,financials,industrials,basic materials
financials,financials,industrials,financials,industrials,financials,financials
healthcare,healthcare,industrials,healthcare,financials,healthcare,real estate
financials,financials,consumer staples,financials,industrials,financials,consumer discretionary
financials,financials,financials,financials,energy,financials,industrials
real estate,real estate,technology,real estate,financials,real estate,industrials
utilities,utilities,industrials,utilities,real estate,utilities,consumer staples
financials,financials,energy,financials,financials,financials,financials
basic materials,basic materials,financials,basic materials,financials,basic materials,consumer discretionary
basic materials,basic materials,consumer staples,basic materials,energy,basic materials,communication services
financials,financials,industrials,financials,technology,financials,consumer discretionary
consumer staples,consumer staples,healthcare,consumer staples,financials,consumer staples,communication services
consumer discretionary,consumer discretionary,consumer discretionary,consumer discretionary,real estate,consumer discretionary,industrials
basic materials,basic materials,financials,basic materials,technology,basic materials,healthcare
basic materials,basic materials,consumer discretionary,basic materials,technology,basic materials,real estate
financials,financials,industrials,financials,industrials,financials,healthcare
healthcare,healthcare,utilities,healthcare,industrials,healthcare,utilities
,energy,technology,energy,consumer discretionary,,consumer discretionary
energy,energy,basic materials,energy,energy,energy,utilities
financials,financials,real estate,financials,financials,financials,utilities
technology,technology,consumer staples,technology,industrials,technology,consumer discretionary
communication services,communication services,utilities,communication services,energy,communication services,financials
industrials,industrials,industrials,industrials,industrials,industrials,financials
financials,financials,financials,financials,financials,financials,healthcare
consumer staples,consumer staples,financials,consumer staples,consumer staples,consumer staples,                                        utilities                                    
real estate,real estate,consumer staples,real estate,financials,real estate,industrials
technology,technology,technology,technology,consumer discretionary,technology,healthcare
healthcare,healthcare,industrials,healthcare,real estate,healthcare,basic materials
consumer discretionary,consumer discretionary,healthcare,consumer discretionary,real estate,consumer discretionary,consumer discretionary
healthcare,healthcare,technology,healthcare,communication services,healthcare,consumer staples
financials,financials,healthcare,financials,energy,financials,industrials
energy,energy,basic materials,energy,real estate,energy,                                        financials                                    
communication services,communication services,industrials,communication services,energy,communication services,energy
industrials,industrials,consumer discretionary,industrials,financials,industrials,financials
industrials,industrials,consumer discretionary,industrials,industrials,industrials,communication services
industrials,industrials,technology,industrials,financials,industrials,technology
financials,financials,technology,financials,technology,financials,healthcare
healthcare,healthcare,communication services,healthcare,consumer discretionary,healthcare,technology
industrials,industrials,basic materials,industrials,financials,industrials,real estate
financials,financials,utilities,financials,real estate,financials,technology
communication services,communication services,financials,communication services,industrials,communication services,consumer staples
financials,financials,technology,financials,financials,financials,                                        utilities                                    
technology,technology,communication services,technology,financials,technology,technology
consumer staples,consumer staples,industrials,consumer staples,healthcare,consumer staples,consumer staples
communication services,communication services,basic materials,communication services,financials,communication services,healthcare
utilities,utilities,financials,utilities,financials,utilities,industrials
industrials,industrials,consumer staples,industrials,communication services,industrials,financials
industrials,industrials,industrials,industrials,industrials,industrials,financials
basic materials,basic materials,industrials,basic materials,financials,basic materials,industrials
consumer staples,consumer staples,basic materials,consumer staples,real estate,consumer staples,consumer staples
technology,technology,healthcare,technology,basic materials,technology,technology
consumer discretionary,consumer discretionary,consumer discretionary,consumer discretionary,financials,consumer discretionary,consumer staples
technology,technology,utilities,technology,financials,technology,basic materials
consumer staples,consumer staples,utilities,consumer staples,industrials,consumer staples,technology
energy,energy,real estate,energy,financials,energy,basic materials
healthcare,healthcare,industrials,healthcare,financials,healthcare,technology
industrials,industrials,technology,industrials,financials,industrials,financials
healthcare,healthcare,healthcare,healthcare,real estate,healthcare,real estate
consumer staples,consumer staples,utilities,consumer staples,healthcare,consumer staples,financials
energy,energy,healthcare,energy,consumer discretionary,energy,healthcare
communication services,communication services,consumer discretionary,communication services,real estate,communication services,                                        basic materials                                    
technology,technology,financials,technology,financials,technology,financials
financials,financials,basic materials,financials,industrials,financials,consumer staples
real estate,real estate,financials,real estate,technology,real estate,financials
energy,energy,industrials,energy,technology,energy,industrials
consumer discretionary,consumer discretionary,basic materials,consumer discretionary,financials,consumer discretionary,                                        communication services                                    
real estate,real estate,consumer staples,real estate,technology,real estate,financials
industrials,industrials,technology,industrials,basic materials,industrials,financials
energy,energy,energy,energy,financials,energy,industrials
utilities,utilities,healthcare,utilities,industrials,utilities,industrials
financials,financials,technology,financials,industrials,financials,communication services
consumer staples,consumer staples,industrials,consumer staples,financials,consumer staples,consumer discretionary
,basic materials,utilities,basic materials,financials,,technology
financials,financials,technology,financials,financials,financials,consumer staples
industrials,industrials,technology,industrials,financials,industrials,industrials
healthcare,healthcare,basic materials,healthcare,real estate,healthcare,industrials
,utilities,financials,utilities,consumer discretionary,,healthcare
industrials,industrials,consumer discretionary,industrials,healthcare,industrials,consumer staples
industrials,industrials,industrials,industrials,financials,industrials,utilities
consumer discretionary,consumer discretionary,technology,consumer discretionary,technology,consumer discretionary,utilities
financials,financials,real estate,financials,financials,financials,industrials
healthcare,healthcare,basic materials,healthcare,basic materials,healthcare,industrials
real estate,real estate,utilities,real estate,industrials,real estate,financials
communication services,communication services,energy,communication services,financials,communication services,industrials
financials,financials,utilities,financials,financials,financials,utilities
energy,energy,healthcare,energy,real estate,energy,consumer discretionary
consumer staples,consumer staples,consumer discretionary,consumer staples,consumer discretionary,consumer staples,consumer staples
financials,financials,basic materials,financials,real estate,financials,communication services
industrials,industrials,industrials,industrials,financials,industrials,utilities
industrials,industrials,financials,industrials,healthcare,industrials,technology
industrials,industrials,financials,industrials,healthcare,industrials,healthcare
real estate,real estate,industrials,real estate,financials,real estate,technology
financials,financials,technology,financials,financials,financials,consumer discretionary
financials,financials,healthcare,financials,financials,financials,utilities
energy,energy,financials,energy,industrials,energy,real estate
consumer staples,consumer staples,utilities,consumer staples,consumer discretionary,consumer staples,financials
real estate,real estate,consumer discretionary,real estate,financials,real estate,                                        communication services                                    
basic materials,basic materials,industrials,basic materials,energy,basic materials,industrials
technology,technology,communication services,technology,financials,technology,financials
real estate,real estate,communication services,real estate,communication services,real estate,financials
communication services,communication services,industrials,communication services,consumer discretionary,communication services,financials
industrials,industrials,real estate,industrials,financials,industrials,communication services
financials,financials,healthcare,financials,consumer discretionary,financials,financials
industrials,industrials,consumer discretionary,industrials,financials,industrials,financials
consumer discretionary,consumer discretionary,consumer discretionary,consumer discretionary,financials,consumer discretionary,industrials
energy,energy,healthcare,energy,real estate,energy,industrials
financials,financials,healthcare,financials,financials,financials,industrials
communication services,communication services,energy,communication services,technology,communication services,real estate
energy,energy,technology,energy,industrials,energy,industrials
financials,financials,consumer staples,financials,consumer discretionary,financials,healthcare
consumer discretionary,consumer discretionary,consumer discretionary,consumer discretionary,industrials,consumer discretionary,technology
utilities,utilities,financials,utilities,financials,utilities,utilities
healthcare,healthcare,energy,healthcare,financials,healthcare,real estate
real estate,real estate,financials,real estate,financials,real estate,financials
healthcare,healthcare,technology,healthcare,technology,healthcare,industrials
industrials,industrials,basic materials,industrials,industrials,industrials,industrials
communication services,communication services,technology,communication services,consumer staples,communication services,consumer discretionary
consumer discretionary,consumer discretionary,consumer staples,consumer discretionary,basic materials,consumer discretionary,energy
communication services,communication services,industrials,communication services,basic materials,communication services,financials
consumer discretionary,consumer discretionary,industrials,consumer discretionary,real estate,consumer discretionary,technology
financials,financials,industrials,financials,financials,financials,financials
consumer staples,consumer staples,consumer discretionary,consumer staples,financials,consumer staples,financials
industrials,industrials,healthcare,industrials,financials,industrials,financials
industrials,industrials,real estate,industrials,financials,industrials,consumer discretionary
consumer discretionary,consumer discretionary,financials,consumer discretionary,financials,consumer discretionary,technology
real estate,real estate,financials,real estate,consumer discretionary,real estate,technology
financials,financials,technology,financials,healthcare,financials,consumer discretionary
basic materials,basic materials,communication services,basic materials,industrials,basic materials,real estate
communication services,communication services,utilities,communication services,financials,communication services,financials
healthcare,healthcare,financials,healthcare,financials,healthcare,industrials
energy,energy,consumer staples,energy,industrials,energy,industrials
real estate,real estate,financials,real estate,consumer discretionary,real estate,basic materials
technology,technology,healthcare,technology,financials,technology,financials
consumer staples,consumer staples,financials,consumer staples,financials,consumer staples,consumer discretionary
technology,technology,financials,technology,consumer discretionary,technology,industrials
utilities,utilities,industrials,utilities,financials,utilities,industrials
communication services,communication services,utilities,communication services,financials,communication services,consumer staples
basic materials,basic materials,consumer discretionary,basic materials,real estate,basic materials,financials
financials,financials,consumer staples,financials,communication services,financials,technology
healthcare,healthcare,communication services,healthcare,technology,healthcare,industrials
communication services,communication services,utilities,communication services,financials,communication services,energy
basic materials,basic materials,technology,basic materials,financials,basic materials,financials
energy,energy,healthcare,energy,financials,energy,consumer staples
healthcare,healthcare,technology,healthcare,industrials,healthcare,industrials
industrials,industrials,consumer discretionary,industrials,real estate,industrials,healthcare
utilities,utilities,utilities,utilities,industrials,utilities,consumer discretionary
financials,financials,real estate,financials,industrials,financials,financials
technology,technology,financials,technology,basic materials,technology,consumer discretionary
basic materials,basic materials,communication services,basic materials,financials,basic materials,industrials
basic materials,basic materials,industrials,basic materials,communication services,basic materials,utilities
utilities,utilities,financials,utilities,real estate,utilities,technology
financials,financials,financials,financials,industrials,financials,basic materials
consumer discretionary,consumer discretionary,financials,consumer discretionary,financials,consumer discretionary,real estate
technology,technology,communication services,technology,technology,technology,consumer staples
communication services,communication services,financials,communication services,healthcare,communication services,utilities
healthcare,healthcare,financials,healthcare,financials,healthcare,industrials
consumer staples,consumer staples,industrials,consumer staples,financials,consumer staples,financials
energy,energy,industrials,energy,industrials,energy,financials
consumer staples,consumer staples,industrials,consumer staples,technology,consumer staples,consumer staples
consumer discretionary,consumer discretionary,real estate,consumer discretionary,basic materials,consumer discretionary,technology
industrials,industrials,industrials,industrials,energy,industrials,industrials
industrials,industrials,healthcare,industrials,industrials,industrials,healthcare
financials,financials,technology,financials,financials,financials,technology
real estate,real estate,utilities,real estate,financials,real estate,                                        healthcare                                    
utilities,utilities,real estate,utilities,financials,utilities,basic materials
technology,technology,financials,technology,real estate,technology,industrials
healthcare,healthcare,industrials,healthcare,real estate,healthcare,basic materials
industrials,industrials,industrials,industrials,financials,industrials,communication services
real estate,real estate,healthcare,real estate,basic materials,real estate,industrials
industrials,industrials,energy,industrials,consumer discretionary,industrials,healthcare
industrials,industrials,basic materials,industrials,consumer discretionary,industrials,real estate
industrials,industrials,communication services,industrials,technology,industrials,technology
financials,financials,healthcare,financials,financials,financials,financials
financials,financials,financials,financials,financials,financials,consumer discretionary
communication services,communication services,basic materials,communication services,technology,communication services,industrials
financials,financials,communication services,financials,financials,financials,industrials
financials,financials,utilities,financials,financials,financials,energy
financials,financials,technology,financials,consumer staples,financials,communication services
industrials,industrials,consumer staples,industrials,financials,industrials,financials
,communication services,technology,communication services,industrials,,utilities
financials,financials,real estate,financials,energy,financials,consumer staples
real estate,real estate,energy,real estate,consumer discretionary,real estate,technology
utilities,utilities,healthcare,utilities,financials,utilities,energy
consumer discretionary,consumer discretionary,communication services,consumer discretionary,consumer discretionary,consumer discretionary,healthcare
technology,technology,basic materials,technology,technology,technology,technology
healthcare,healthcare,financials,healthcare,financials,healthcare,industrials
technology,technology,real estate,technology,financials,technology,utilities
utilities,utilities,consumer discretionary,utilities,financials,utilities,technology
communication services,communication services,industrials,communication services,financials,communication services,technology
consumer staples,consumer staples,industrials,consumer staples,basic materials,consumer staples,basic materials
consumer discretionary,consumer discretionary,consumer staples,consumer discretionary,financials,consumer discretionary,financials
utilities,utilities,financials,utilities,consumer discretionary,utilities,consumer discretionary
industrials,industrials,consumer discretionary,industrials,financials,industrials,industrials
financials,financials,communication services,financials,financials,financials,technology
industrials,industrials,consumer discretionary,industrials,financials,industrials,real estate
industrials,industrials,communication services,industrials,financials,industrials,basic materials
utilities,utilities,industrials,utilities,consumer discretionary,utilities,utilities
utilities,utilities,healthcare,utilities,industrials,utilities,energy
consumer staples,consumer staples,real estate,consumer staples,financials,consumer staples,utilities
healthcare,healthcare,healthcare,healthcare,healthcare,healthcare,healthcare
industrials,industrials,utilities,industrials,industrials,industrials,consumer discretionary
industrials,industrials,consumer discretionary,industrials,industrials,industrials,basic materials
technology,technology,financials,technology,energy,technology,industrials
consumer discretionary,consumer discretionary,financials,consumer discretionary,financials,consumer discretionary,financials
consumer staples,consumer staples,real estate,consumer staples,financials,consumer staples,financials
communication services,communication services,industrials,communication services,financials,communication services,technology
industrials,industrials,industrials,industrials,healthcare,industrials,industrials
industrials,industrials,industrials,industrials,industrials,industrials,healthcare
financials,financials,financials,financials,healthcare,financials,financials
consumer discretionary,consumer discretionary,consumer staples,consumer discretionary,healthcare,consumer discretionary,utilities
financials,financials,energy,financials,financials,financials,consumer discretionary
healthcare,healthcare,financials,healthcare,industrials,healthcare,industrials
financials,financials,communication services,financials,consumer discretionary,financials,communication services
consumer staples,consumer staples,real estate,consumer staples,financials,consumer staples,communication services
financials,financials,healthcare,financials,consumer discretionary,financials,financials
utilities,utilities,financials,utilities,industrials,utilities,real estate
communication services,communication services,consumer discretionary,communication services,financials,communication services,healthcare
technology,technology,industrials,technology,industrials,technology,financials
financials,financials,industrials,financials,consumer discretionary,financials,basic materials
financials,financials,utilities,financials,financials,financials,technology
real estate,real estate,healthcare,real estate,basic materials,real estate,financials
healthcare,healthcare,industrials,healthcare,real estate,healthcare,financials
consumer discretionary,consumer discretionary,financials,consumer discretionary,financials,consumer discretionary,utilities
industrials,industrials,basic materials,industrials,technology,industrials,industrials
industrials,industrials,consumer staples,industrials,industrials,industrials,industrials
industrials,industrials,financials,industrials,industrials,industrials,technology
consumer staples,consumer staples,utilities,consumer staples,financials,consumer staples,industrials
technology,technology,energy,technology,basic materials,technology,utilities
basic materials,basic materials,industrials,basic materials,financials,basic materials,energy
technology,technology,real estate,technology,healthcare,technology,industrials
financials,financials,consumer discretionary,financials,financials,financials,real estate
energy,energy,energy,energy,financials,energy,healthcare
financials,financials,real estate,financials,consumer discretionary,financials,consumer discretionary
consumer discretionary,consumer discretionary,financials,consumer discretionary,financials,consumer discretionary,consumer discretionary
consumer staples,consumer staples,technology,consumer staples,healthcare,consumer staples,healthcare
technology,technology,communication services,technology,financials,technology,healthcare
energy,energy,consumer staples,energy,healthcare,energy,energy
healthcare,healthcare,technology,healthcare,financials,healthcare,technology
healthcare,healthcare,financials,healthcare,financials,healthcare,consumer staples
consumer discretionary,consumer discretionary,communication services,consumer discretionary,technology,consumer discretionary,consumer discretionary
consumer discretionary,consumer discretionary,financials,consumer discretionary,industrials,consumer discretionary,financials
healthcare,healthcare,industrials,healthcare,financials,healthcare,energy
real estate,real estate,healthcare,real estate,industrials,real estate,financials
industrials,industrials,financials,industrials,financials,industrials,technology
energy,energy,industrials,energy,financials,energy,basic materials
utilities,utilities,industrials,utilities,industrials,utilities,technology
industrials,industrials,industrials,industrials,financials,industrials,consumer staples
technology,technology,communication services,technology,industrials,technology,industrials
industrials,industrials,energy,industrials,energy,industrials,industrials
industrials,industrials,financials,industrials,industrials,industrials,industrials
utilities,utilities,healthcare,utilities,consumer discretionary,utilities,consumer discretionary
financials,financials,consumer discretionary,financials,communication services,financials,healthcare
financials,financials,healthcare,financials,financials,financials,real estate
technology,technology,technology,technology,healthcare,technology,financials
basic materials,basic materials,real estate,basic materials,industrials,basic materials,financials
financials,financials,consumer staples,financials,industrials,financials,technology
healthcare,healthcare,financials,healthcare,industrials,healthcare,communication services
real estate,real estate,industrials,real estate,real estate,real estate,utilities
financials,financials,communication services,financials,industrials,financials,financials
communication services,communication services,technology,communication services,real estate,communication services,consumer staples
communication services,communication services,financials,communication services,healthcare,communication services,financials
communication services,communication services,energy,communication services,industrials,communication services,healthcare
industrials,industrials,energy,industrials,industrials,industrials,financials
consumer discretionary,consumer discretionary,healthcare,consumer discretionary,real estate,consumer discretionary,consumer staples
utilities,utilities,financials,utilities,financials,utilities,basic materials
financials,financials,basic materials,financials,financials,financials,healthcare
healthcare,healthcare,basic materials,healthcare,consumer discretionary,healthcare,consumer discretionary
technology,technology,consumer discretionary,technology,technology,technology,utilities
industrials,industrials,consumer staples,industrials,healthcare,industrials,industrials
financials,financials,financials,financials,communication services,financials,consumer discretionary
financials,financials,communication services,financials,technology,financials,healthcare
industrials,industrials,technology,industrials,industrials,industrials,healthcare
basic materials,basic materials,basic materials,basic materials,financials,basic materials,real estate
consumer discretionary,consumer discretionary,financials,consumer discretionary,energy,consumer discretionary,financials
healthcare,healthcare,energy,healthcare,industrials,healthcare,healthcare
utilities,utilities,financials,utilities,technology,utilities,financials
energy,energy,financials,energy,healthcare,energy,consumer staples
utilities,utilities,energy,utilities,financials,utilities,communication services
basic materials,basic materials,energy,basic materials,technology,basic materials,industrials
real estate,real estate,technology,real estate,financials,real estate,consumer discretionary
technology,technology,healthcare,technology,healthcare,technology,consumer discretionary
industrials,industrials,financials,industrials,technology,industrials,technology
consumer discretionary,consumer discretionary,consumer staples,consumer discretionary,financials,consumer discretionary,technology
financials,financials,consumer staples,financials,technology,financials,communication services
basic materials,basic materials,healthcare,basic materials,industrials,basic materials,basic materials
technology,technology,consumer discretionary,technology,financials,technology,utilities
technology,technology,industrials,technology,healthcare,technology,financials
utilities,utilities,consumer staples,utilities,technology,utilities,technology
industrials,industrials,consumer staples,industrials,financials,industrials,communication services
technology,technology,basic materials,technology,financials,technology,industrials
healthcare,healthcare,technology,healthcare,financials,healthcare,basic materials
energy,energy,consumer staples,energy,consumer discretionary,energy,financials
technology,technology,consumer staples,technology,financials,technology,consumer staples
consumer staples,consumer staples,healthcare,consumer staples,financials,consumer staples,industrials
utilities,utilities,industrials,utilities,real estate,utilities,industrials
financials,financials,consumer discretionary,financials,healthcare,financials,basic materials
communication services,communication services,technology,communication services,utilities,communication services,healthcare
energy,energy,consumer staples,energy,communication services,energy,consumer discretionary
industrials,industrials,energy,industrials,industrials,industrials,utilities
industrials,industrials,technology,industrials,healthcare,industrials,utilities
consumer discretionary,consumer discretionary,basic materials,consumer discretionary,consumer staples,consumer discretionary,real estate
financials,financials,financials,financials,technology,financials,industrials
technology,technology,real estate,technology,healthcare,technology,technology
real estate,real estate,financials,real estate,healthcare,real estate,healthcare
healthcare,healthcare,consumer staples,healthcare,financials,healthcare,utilities
industrials,industrials,technology,industrials,basic materials,industrials,healthcare
communication services,communication services,financials,communication services,basic materials,communication services,consumer discretionary
basic materials,basic materials,healthcare,basic materials,financials,basic materials,financials
industrials,industrials,communication services,industrials,financials,industrials,basic materials
technology,technology,consumer discretionary,technology,financials,technology,financials
basic materials,basic materials,technology,basic materials,industrials,basic materials,industrials
industrials,industrials,consumer staples,industrials,healthcare,industrials,basic materials
financials,financials,healthcare,financials,industrials,financials,financials
basic materials,basic materials,communication services,basic materials,industrials,basic materials,consumer discretionary
financials,financials,basic materials,financials,consumer discretionary,financials,technology
consumer discretionary,consumer discretionary,consumer discretionary,consumer discretionary,consumer discretionary,consumer discretionary,financials
healthcare,healthcare,industrials,healthcare,financials,healthcare,financials
utilities,utilities,financials,utilities,healthcare,utilities,consumer discretionary
healthcare,healthcare,healthcare,healthcare,basic materials,healthcare,basic materials
technology,technology,basic materials,technology,financials,technology,financials
industrials,industrials,technology,industrials,financials,industrials,real estate
real estate,real estate,industrials,real estate,technology,real estate,financials
utilities,utilities,financials,utilities,real estate,utilities,financials
utilities,utilities,technology,utilities,financials,utilities,financials
consumer discretionary,consumer discretionary,communication services,consumer discretionary,consumer discretionary,consumer discretionary,real estate
