,name,world_rank,marketValue,marketCap,CEO,country
1948,JIUGUI LIQUOR,"1,870",10.077 Billion USD,10.470 Billion USD,,China
1949,WEST JAPAN RAILWAY COMPANY,"1,871",10.083 Billion USD,10.456 Billion USD,,Japan
1950,SHANDONG HUALU-HENGSHENG CHEMICAL,"1,872",10.070 Billion USD,11.943 Billion USD,,China
1951,TELE2 AB (PUBL),"1,873",10.059 Billion USD,11.087 Billion USD,,Sweden
1952,SHENZHEN OVERSEAS CHINESE TOWN,"1,874",10.063 Billion USD,8.784 Billion USD,,China
1953,RESONA HOLDINGS,"1,875",10.048 Billion USD,9.510 Billion USD,,Japan
1954,WEST FRASER TIMBER,"1,876",10.038 Billion USD,8.349 Billion USD,,Canada
1955,RAIFFEISEN BANK INTERNATIONAL AG,"1,877",10.044 Billion USD,8.011 Billion USD,,Austria
1956,INDUSTRIAL SECURITIES,"1,878",10.032 Billion USD,10.537 Billion USD,,China
1957,MELROSE INDUSTRIES,"1,879",10.033 Billion USD,10.260 Billion USD,,UK
1958,KASIKORNBANK PUBLIC COMPANY,"1,880",10.028 Billion USD,8.924 Billion USD,,Thailand
1959,ELASTIC,"1,881",10.023 Billion USD,14.642 Billion USD,,USA
1960,JABIL,"1,882",10.002 Billion USD,9.009 Billion USD,,USA
1961,TOMRA SYSTEMS ASA,"1,883",9.995 Billion USD,8.968 Billion USD,,Norway
1962,ARAB NATIONAL BANK,"1,884",9.992 Billion USD,9.234 Billion USD,,Saudi Arabia
1963,CHONGQING BREWERY,"1,885",9.973 Billion USD,10.113 Billion USD,,China
1964,SENSATA TECHNOLOGIES HOLDING,"1,886",9.970 Billion USD,9.373 Billion USD,,UK
1965,WUHU SANQI INTERACTIVE ENTERTAINMENT NETWORK TECHNOLOGY GROUP,"1,887",9.971 Billion USD,6.241 Billion USD,,China
1966,UNISPLENDOUR CORPORATION,"1,888",9.963 Billion USD,10.181 Billion USD,,China
1967,SUNWODA ELECTRONIC,"1,889",9.958 Billion USD,9.124 Billion USD,,China
1968,AXON ENTERPRISE,"1,890",9.941 Billion USD,11.944 Billion USD,,USA
1969,FIRST HORIZON NATIONAL CORPORATION,"1,891",9.944 Billion USD,9.004 Billion USD,,USA
1970,NRG ENERGY,"1,892",9.931 Billion USD,11.179 Billion USD,,USA
1971,BERRY GLOBAL GROUP,"1,893",9.927 Billion USD,9.088 Billion USD,,USA
1972,AQUA AMERICA,"1,894",9.916 Billion USD,9.570 Billion USD,,USA
1973,JEFFERIES FINANCIAL GROUP,"1,895",9.916 Billion USD,9.130 Billion USD,,USA
1974,BEIJING NEW BUILDING MATERIALS PUBLIC COMPANY,"1,896",9.917 Billion USD,8.845 Billion USD,,China
1975,TEVA PHARMACEUTICAL INDUSTRIES,"1,897",9.913 Billion USD,10.513 Billion USD,,Israel
1976,UNITED UTILITIES GROUP,"1,898",9.912 Billion USD,9.967 Billion USD,,UK
1977,SEVERN TRENT,"1,899",9.908 Billion USD,9.661 Billion USD,,UK
1978,EIFFAGE SA,"1,900",9.902 Billion USD,10.630 Billion USD,,France
1979,PRYSMIAN,"1,901",9.903 Billion USD,10.032 Billion USD,,Italy
1980,SYNAPTICS,"1,902",9.900 Billion USD,7.374 Billion USD,,USA
1981,CIPLA,"1,903",9.888 Billion USD,10.429 Billion USD,,India
1982,YUNDA HOLDING,"1,904",9.893 Billion USD,7.380 Billion USD,,China
1983,SAMSUNG SDS,"1,905",9.870 Billion USD,11.475 Billion USD,,South Korea
1984,"NATIONAL SILICON INDUSTRY GROUP CO., LTD.","1,906",9.868 Billion USD,11.098 Billion USD,,China
1985,ASPEN TECHNOLOGY,"1,907",9.866 Billion USD,8.686 Billion USD,,USA
1986,OVINTIV INC.,"1,908",9.870 Billion USD,7.085 Billion USD,,Canada
1987,SAMSUNG LIFE INSURANCE,"1,909",9.855 Billion USD,11.444 Billion USD,,South Korea
1988,KINGFISHER,"1,910",9.857 Billion USD,10.287 Billion USD,,UK
1989,PJSC PHOSAGRO,"1,911",9.857 Billion USD,8.620 Billion USD,,Russia
1990,COCHLEAR LIMITED,"1,912",9.851 Billion USD,11.258 Billion USD,,Australia
1991,CCL INDUSTRIES,"1,912","1,912","1,962",,Canada
1992,CAPITALAND MALL TRUST,"1,913",9.848 Billion USD,9.876 Billion USD,,Singapore
1993,SSAB AB (PUBL),"1,914",9.846 Billion USD,5.270 Billion USD,,Sweden
1994,NEWELL BRANDS,"1,915",9.844 Billion USD,10.809 Billion USD,,USA
1995,TATA POWER COMPANY,"1,916",9.835 Billion USD,5.968 Billion USD,,India
1996,GENPACT,"1,917",9.832 Billion USD,9.740 Billion USD,,USA
1997,AVIC ELECTROMECHANICALSYSTEM,"1,918",9.831 Billion USD,7.873 Billion USD,,China
1998,ELISA OYJ,"1,919",9.813 Billion USD,10.245 Billion USD,,Finland
1999,PIK GROUP,"1,920",9.777 Billion USD,12.230 Billion USD,,Russia
2000,WYNN RESORTS,"1,921",9.779 Billion USD,11.763 Billion USD,,USA
2001,ARES CAPITAL CORPORATION,"1,922",9.777 Billion USD,9.121 Billion USD,,USA
2002,TORAY INDUSTRIES,"1,923",9.771 Billion USD,10.920 Billion USD,,Japan
2003,NINGBO SHANSHAN,"1,924",9.772 Billion USD,7.882 Billion USD,,China
2004,HAINAN AIRLINES HOLDING,"1,925",9.774 Billion USD,5.459 Billion USD,,China
2005,TEXAS PACIFIC LAND TRUST,"1,926",9.761 Billion USD,10.541 Billion USD,,USA
2006,DASSAULT AVIATION SA,"1,927",9.762 Billion USD,9.545 Billion USD,,France
2007,ALLEGRO.EU SA,"1,928",9.749 Billion USD,18.587 Billion USD,,Luxembourg
2008,KUMBA IRON ORE,"1,929",9.748 Billion USD,14.275 Billion USD,,South Africa
2009,BURBERRY GROUP,"1,930",9.748 Billion USD,10.527 Billion USD,,UK
2010,ORKLA ASA,"1,931",9.741 Billion USD,8.541 Billion USD,,Norway
2011,STARS GROUP,"1,931","1,931","1,931",,Canada
2012,SEALED AIR CORPORATION,"1,932",9.734 Billion USD,9.160 Billion USD,,USA
2013,KNIGHT-SWIFT TRANSPORTATION HOLDINGS,"1,933",9.715 Billion USD,8.619 Billion USD,,USA
2014,BAUSCH HEALTH COMPANIES,"1,934",9.709 Billion USD,10.452 Billion USD,,Canada
2015,SHENZHEN KANGTAI BIOLOGICAL PRODUCTS,"1,935",9.699 Billion USD,12.212 Billion USD,,China
2016,BOLIDEN AB (PUBL),"1,936","1,936","1,936",,Sweden
2017,INFO EDGE (INDIA),"1,936",9.704 Billion USD,11.182 Billion USD,,India
2018,METSO OUTOTEC OYJ,"1,937",9.699 Billion USD,8.849 Billion USD,,Finland
2019,DENTSU GROUP,"1,938",9.694 Billion USD,10.456 Billion USD,,Japan
2020,BANK ALBILAD,"1,939",9.680 Billion USD,8.555 Billion USD,,Saudi Arabia
2021,UWM HOLDINGS CORPORATION,"1,940",9.663 Billion USD,11.798 Billion USD,,USA
2022,ANA HOLDINGS,"1,941",9.659 Billion USD,11.402 Billion USD,,Japan
2023,QNB FINANSBANK,"1,942",9.648 Billion USD,15.879 Billion USD,,Turkey
2024,CEMEX,"1,943",9.647 Billion USD,12.078 Billion USD,,Mexico
2025,NEW WORLD DEVELOPMENT COMPANY,"1,944",9.647 Billion USD,11.892 Billion USD,,Hong Kong
2026,SINO LAND COMPANY,"1,945",9.652 Billion USD,11.286 Billion USD,,Hong Kong
2027,ZOOMLION HEAVY INDUSTRY SCIENCE AND TECHNOLOGY,"1,946",9.648 Billion USD,11.008 Billion USD,,China
2028,TEMENOS AG,"1,947",9.642 Billion USD,11.889 Billion USD,,Switzerland
2029,DIASORIN,"1,948",9.625 Billion USD,12.702 Billion USD,,Italy
2030,XINYI GLASS HOLDINGS,"1,949",9.624 Billion USD,16.370 Billion USD,,Hong Kong
2031,EMPRESAS COPEC,"1,950",9.619 Billion USD,12.165 Billion USD,,Chile
2032,EZDAN HOLDING GROUP,"1,951",9.618 Billion USD,11.359 Billion USD,,Qatar
2033,DEUTSCHE LUFTHANSA AG,"1,952",9.597 Billion USD,6.006 Billion USD,,Germany
2034,"UPSTART HOLDINGS, INC.","1,953",9.585 Billion USD,17.818 Billion USD,,USA
2035,SAPUTO,"1,954",9.592 Billion USD,11.642 Billion USD,,Canada
2036,YAHOO,"1,954","1,954",,,USA
2037,NOVAVAX,"1,955",9.580 Billion USD,17.767 Billion USD,,USA
2038,TERNIUM,"1,956",9.570 Billion USD,10.655 Billion USD,,Luxembourg
2039,TFI INTERNATIONAL,"1,957",9.567 Billion USD,10.475 Billion USD,,Canada
2040,"GXO LOGISTICS, INC.","1,958",9.565 Billion USD,9.375 Billion USD,,USA
2041,ORACLE CORPORATION JAPAN,"1,959",9.555 Billion USD,10.683 Billion USD,,Japan
2042,EVERBRIGHT SECURITIES COMPANY,"1,960",9.552 Billion USD,10.358 Billion USD,,China
2043,NIPPON BUILDING FUND INCORPORATION,"1,961",9.529 Billion USD,10.738 Billion USD,,Japan
2044,ALGONQUIN POWER & UTILITIES,"1,962",9.527 Billion USD,9.619 Billion USD,,Canada
2045,ZHEJIANG CENTURY HUATONG GROUP,"1,963",9.529 Billion USD,7.378 Billion USD,,China
2046,SYNEOS HEALTH,"1,964",9.519 Billion USD,9.601 Billion USD,,USA
2047,XINJIANG GOLDWIND SCIENCE&TECHNOLOGY,"1,965",9.518 Billion USD,8.899 Billion USD,,China
2048,TAIYO NIPPON SANSO CORPORATION,"1,966",9.512 Billion USD,10.583 Billion USD,,Japan
2049,PENUMBRA,"1,967",9.508 Billion USD,10.058 Billion USD,,USA
2050,MITSUI O.S.K. LINES,"1,968",9.512 Billion USD,9.173 Billion USD,,Japan
2051,GEA GROUP,"1,969",9.497 Billion USD,8.456 Billion USD,,Germany
2052,WESTERN MIDSTREAM PARTNERS LP,"1,970",9.499 Billion USD,8.154 Billion USD,,USA
2053,CHINA ZHENHUA (GROUP) SCIENCE & TECHNOLOGY,"1,971",9.497 Billion USD,7.981 Billion USD,,China
2054,AVALARA,"1,972",9.493 Billion USD,15.511 Billion USD,,USA
2055,GEMDALE CORPORATION,"1,973",9.494 Billion USD,7.774 Billion USD,,China
2056,DONGFANG ELECTRIC CORPORATION,"1,974",9.476 Billion USD,6.976 Billion USD,,China
2057,DICK'S SPORTING GOODS,"1,975",9.467 Billion USD,12.474 Billion USD,,USA
2058,CHINA DEVELOPMENT FINANCIAL HOLDING CORPORATION,"1,976",9.466 Billion USD,7.610 Billion USD,,Taiwan
2059,"PROCORE TECHNOLOGIES, INC.","1,977",9.459 Billion USD,11.893 Billion USD,,USA
2060,JIANGXI COPPER COMPANY,"1,978",9.458 Billion USD,10.340 Billion USD,,China
2061,ISUZU MOTORS,"1,979",9.425 Billion USD,9.582 Billion USD,,Japan
2062,INDUS TOWERS,"1,980",9.431 Billion USD,8.146 Billion USD,,India
2063,LATTICE SEMICONDUCTOR CORPORATION,"1,981",9.423 Billion USD,8.560 Billion USD,,USA
2064,CAMECO CORPORATION,"1,982",9.420 Billion USD,7.366 Billion USD,,Canada
2065,PHILLIPS 66 PARTNERS LP,"1,983",9.389 Billion USD,8.163 Billion USD,,USA
2066,BROOKFIELD RENEWABLE PARTNERS,"1,984",9.383 Billion USD,11.141 Billion USD,,Canada
2067,AMDOCS,"1,985",9.375 Billion USD,9.752 Billion USD,,USA
2068,UGI CORPORATION,"1,986",9.380 Billion USD,9.683 Billion USD,,USA
2069,MKS INSTRUMENTS,"1,987",9.373 Billion USD,8.161 Billion USD,,USA
2070,LEVI STRAUSS & CO,"1,988",9.355 Billion USD,10.332 Billion USD,,USA
2071,SITEONE LANDSCAPE SUPPLY,"1,989",9.356 Billion USD,8.914 Billion USD,,USA
2072,INDUSIND BANK,"1,990",9.351 Billion USD,10.577 Billion USD,,India
2073,HANG LUNG PROPERTIES,"1,991",9.344 Billion USD,11.031 Billion USD,,Hong Kong
2074,STORE CAPITAL CORPORATION,"1,992",9.338 Billion USD,9.892 Billion USD,,USA
2075,APOLLO HOSPITALS ENTERPRISE,"1,993",9.343 Billion USD,9.805 Billion USD,,India
2076,ARAMARK,"1,994",9.343 Billion USD,8.880 Billion USD,,USA
2077,KINNEVIK AB,"1,995",9.333 Billion USD,11.559 Billion USD,,Sweden
2078,DOLBY LABORATORIES,"1,996",9.328 Billion USD,10.048 Billion USD,,USA
2079,S-OIL CORPORATION,"1,997",9.322 Billion USD,9.143 Billion USD,,South Korea
2080,CAPRI HOLDINGS,"1,998",9.304 Billion USD,8.590 Billion USD,,USA
2081,GCL-POLY ENERGY HOLDINGS,"1,999",9.300 Billion USD,6.355 Billion USD,,Hong Kong
2082,HAMAMATSU PHOTONICS K.K,"2,000",9.287 Billion USD,9.227 Billion USD,,Japan
2083,DECKERS OUTDOOR CORPORATION,"2,001",9.280 Billion USD,11.575 Billion USD,,USA
2084,NORWEGIAN CRUISE LINE HOLDINGS,"2,002",9.255 Billion USD,9.562 Billion USD,,USA
2085,ARROW ELECTRONICS,"2,003",9.259 Billion USD,8.706 Billion USD,,USA
2086,ALLEGHANY CORPORATION,"2,004",9.237 Billion USD,9.386 Billion USD,,USA
2087,AUTOLIV,"2,005",9.243 Billion USD,7.732 Billion USD,,Sweden
2088,INDIAN RAILWAY CATERING & TOURISM CORPORATION LIMITED,"2,006",9.229 Billion USD,6.152 Billion USD,,India
2089,SANTANDER BANK POLSKA,"2,007",9.217 Billion USD,8.214 Billion USD,,Poland
2090,SIBANYE STILLWATER LIMITED,"2,008",9.209 Billion USD,11.274 Billion USD,,South Africa
2091,AUTO TRADER GROUP,"2,009",9.205 Billion USD,8.396 Billion USD,,UK
2092,PT BANK NEGARA INDONESIA (PERSERO) TBK,"2,010",9.214 Billion USD,6.937 Billion USD,,Indonesia
2093,SUZHOU MAXWELL TECHNOLOGIES,"2,011",9.196 Billion USD,10.369 Billion USD,,China
2094,CREDIT ACCEPTANCE CORPORATION,"2,012",9.203 Billion USD,9.085 Billion USD,,USA
2095,CONSUMERS ENERGY COMPANY,"2,013",9.185 Billion USD,9.294 Billion USD,,USA
2096,DLOCAL LTD,"2,014",9.175 Billion USD,18.747 Billion USD,,Uruguay
2097,WHARF (HOLDINGS),"2,015",9.168 Billion USD,10.468 Billion USD,,Hong Kong
2098,YAGEO CORPORATION,"2,016",9.171 Billion USD,8.660 Billion USD,,Taiwan
2099,"AGILON HEALTH, INC.","2,017",9.156 Billion USD,13.681 Billion USD,,USA
2100,"SK IE TECHNOLOGY CO., LTD.","2,018",9.127 Billion USD,12.785 Billion USD,,South Korea
2101,QI AN XIN TECHNOLOGY GROUP INC.,"2,019",9.127 Billion USD,8.900 Billion USD,,China
2102,FIVE9,"2,020",9.120 Billion USD,10.712 Billion USD,,USA
2103,BANCO DE CHILE,"2,021",9.117 Billion USD,9.950 Billion USD,,Chile
2104,"D&D PLATFORM REIT CO.,LTD.","2,022",9.114 Billion USD,9.381 Billion USD,,South Korea
2105,ACCOR SA,"2,023",9.107 Billion USD,9.158 Billion USD,,France
2106,YTO EXPRESS GROUP,"2,024",9.113 Billion USD,4.740 Billion USD,,China
2107,CHINA SATELLITE COMMUNICATIONS,"2,025",9.095 Billion USD,10.416 Billion USD,,China
2108,PHOENIX GROUP HOLDINGS,"2,026",9.101 Billion USD,8.684 Billion USD,,UK
2109,TATA CONSUMER PRODUCTS LIMITED,"2,027",9.094 Billion USD,11.192 Billion USD,,India
2110,AGCO CORPORATION,"2,028",9.092 Billion USD,10.375 Billion USD,,USA
2111,LITHIA MOTORS,"2,029",9.089 Billion USD,10.088 Billion USD,,USA
2112,GREENLAND HOLDINGS CORPORATION,"2,030",9.090 Billion USD,8.739 Billion USD,,China
2113,SHANGHAI M&G STATIONERY,"2,031",9.079 Billion USD,9.993 Billion USD,,China
2114,"SHANDONG NANSHAN ALUMINIUM CO., LTD.","2,032",9.082 Billion USD,9.303 Billion USD,,China
2115,DOOSAN HEAVY INDUSTRIES & CONSTRUCTION,"2,033",9.065 Billion USD,9.633 Billion USD,,South Korea
2116,NUVEI CORPORATION,"2,034",9.059 Billion USD,18.037 Billion USD,,Canada
2117,CANADIAN TIRE CORPORATION,"2,035",9.046 Billion USD,9.421 Billion USD,,Canada
2118,DROPBOX,"2,036",9.038 Billion USD,12.635 Billion USD,,USA
2119,ASSURANT,"2,037",9.044 Billion USD,10.005 Billion USD,,USA
2120,GVC HOLDINGS,"2,037","2,037","2,037",,Isle of Man
2121,STARPOWER SEMICONDUCTOR LTD.,"2,038",9.039 Billion USD,8.106 Billion USD,,China
2122,GOLD FIELDS,"2,039",9.037 Billion USD,7.998 Billion USD,,South Africa
2123,OWENS CORNING,"2,040",9.031 Billion USD,10.135 Billion USD,,USA
2124,FULL TRUCK ALLIANCE CO. LTD.,"2,041",9.013 Billion USD,17.460 Billion USD,,China
2125,BACHEM HOLDING AG,"2,042",9.007 Billion USD,10.130 Billion USD,,Switzerland
2126,ASCENDAS REAL ESTATE INVESTMENT TRUST,"2,043",9.012 Billion USD,9.530 Billion USD,,Singapore
2127,FIRST SOLAR,"2,044",9.004 Billion USD,9.994 Billion USD,,USA
2128,POLSKIE GORNICTWO NAFTOWE I GAZOWNICTWO,"2,045",8.999 Billion USD,9.543 Billion USD,,Poland
2129,ADVANCED DRAINAGE SYSTEMS,"2,046",8.972 Billion USD,8.055 Billion USD,,USA
2130,ROHM,"2,047",8.958 Billion USD,9.837 Billion USD,,Japan
2131,UNITED THERAPEUTICS CORPORATION,"2,048",8.960 Billion USD,9.653 Billion USD,,USA
2132,BECLE,"2,049",8.958 Billion USD,9.191 Billion USD,,Mexico
2133,FOSUN INTERNATIONAL,"2,050",8.951 Billion USD,11.185 Billion USD,,China
2134,COMMERCE BANCSHARES,"2,051",8.950 Billion USD,8.260 Billion USD,,USA
2135,"ENDEAVOR GROUP HOLDINGS, INC.","2,052",8.945 Billion USD,6.799 Billion USD,,USA
2136,"DOXIMITY, INC.","2,053",8.933 Billion USD,17.082 Billion USD,,USA
2137,GUARDANT HEALTH,"2,054",8.928 Billion USD,12.892 Billion USD,,USA
2138,CASTELLUM AB (PUBL),"2,055",8.934 Billion USD,8.179 Billion USD,,Sweden
2139,AUTO1 GROUP SE,"2,055","2,055","3,527",,Germany
2140,BJ'S WHOLESALE CLUB HOLDINGS,"2,056",8.932 Billion USD,7.737 Billion USD,,USA
2141,YAMAHA MOTOR,"2,057",8.915 Billion USD,8.928 Billion USD,,Japan
2142,IGM FINANCIAL,"2,058",8.922 Billion USD,8.683 Billion USD,,Canada
2143,ZOZO INC,"2,059",8.911 Billion USD,11.383 Billion USD,,Japan
2144,3PEAK INCORPORATED,"2,060",8.907 Billion USD,6.963 Billion USD,,China
2145,CHINA CONCH VENTURE HOLDINGS,"2,061",8.899 Billion USD,7.635 Billion USD,,China
2146,COMPUTERSHARE,"2,062",8.900 Billion USD,7.443 Billion USD,,Australia
2147,KOITO MANUFACTURING,"2,063",8.889 Billion USD,9.855 Billion USD,,Japan
2148,NIPPON PROLOGIS REIT,"2,064",8.889 Billion USD,9.419 Billion USD,,Japan
2149,"BEIJING ROBOROCK TECHNOLOGY CO., LTD.","2,065",8.881 Billion USD,9.469 Billion USD,,China
2150,QUANTUMSCAPE,"2,066",8.879 Billion USD,7.492 Billion USD,,USA
2151,SIG COMBIBLOC GROUP AG,"2,067",8.856 Billion USD,10.316 Billion USD,,Switzerland
2152,GUIDEWIRE SOFTWARE,"2,068",8.863 Billion USD,9.851 Billion USD,,USA
2153,MEIJI HOLDINGS,"2,069",8.863 Billion USD,9.071 Billion USD,,Japan
2154,ALTICE EUROPE,"2,069","2,069",7.735 Billion USD,,Netherlands
2155,AUTOMATION ANYWHERE,"2,069","2,069","2,069",,USA
2156,MEICAI,"2,069","2,069","2,069",,China
2157,ROIVANT SCIENCES,"2,069","2,069","2,069",,Switzerland
2158,SENSETIME GROUP,"2,069","2,069","2,069",,China
2159,SUNING FINANCE,"2,069","2,069","2,069",,China
2160,TOKOPEDIA,"2,069","2,069","2,069",,Indonesia
2161,YUANFUDAO,"2,069","2,069","2,069",,China
2162,SCOTTS MIRACLE-GRO COMPANY,"2,070",8.847 Billion USD,8.751 Billion USD,,USA
2163,TOPCHOICE MEDICAL CORPORATION,"2,071",8.843 Billion USD,11.253 Billion USD,,China
2164,HARGREAVES LANSDOWN,"2,072",8.838 Billion USD,9.890 Billion USD,,UK
2165,SEI INVESTMENTS COMPANY,"2,073",8.832 Billion USD,8.861 Billion USD,,USA
2166,CHURCHILL DOWNS,"2,074",8.832 Billion USD,8.108 Billion USD,,USA
2167,HUSQVARNA AB (PUBL),"2,075",8.827 Billion USD,7.879 Billion USD,,Sweden
2168,MANHATTAN ASSOCIATES,"2,076",8.823 Billion USD,10.334 Billion USD,,USA
2169,HONGTA SECURITIES,"2,077",8.818 Billion USD,9.127 Billion USD,,China
2170,DINO POLSKA S.A.,"2,078",8.817 Billion USD,8.350 Billion USD,,Poland
2171,GUANGDONG KINLONG HARDWARE PRODUCTS,"2,079",8.818 Billion USD,7.668 Billion USD,,China
2172,GALP ENERGIA SGPS,"2,080",8.809 Billion USD,8.597 Billion USD,,Portugal
2173,RIGHTMOVE,"2,081",8.805 Billion USD,8.439 Billion USD,,UK
2174,WABCO HOLDINGS,"2,081","2,081","2,081",,Belgium
2175,HUANENG POWER INTERNATIONAL,"2,082",8.811 Billion USD,7.523 Billion USD,,China
2176,MONOTARO,"2,083",8.802 Billion USD,10.884 Billion USD,,Japan
2177,ICICI LOMBARD GENERAL INSURANCE COMPANY,"2,084",8.803 Billion USD,10.385 Billion USD,,India
2178,VERTIV HOLDINGS CO,"2,085",8.793 Billion USD,10.064 Billion USD,,USA
2179,GETLINK SE,"2,086",8.793 Billion USD,8.837 Billion USD,,France
2180,ABSA GROUP,"2,087",8.792 Billion USD,8.785 Billion USD,,South Africa
2181,WILLSCOT CORPORATION,"2,088",8.783 Billion USD,6.667 Billion USD,,USA
2182,SHENNAN CIRCUIT COMPANY,"2,089",8.776 Billion USD,6.651 Billion USD,,China
2183,VORNADO REALTY TRUST,"2,090",8.773 Billion USD,8.674 Billion USD,,USA
2184,ZOZO,"2,091",8.759 Billion USD,11.375 Billion USD,,Japan
2185,UNDER ARMOUR,"2,092",8.764 Billion USD,10.081 Billion USD,,USA
2186,HK ELECTRIC INVESTMENTS AND HK ELECTRIC INVESTMENTS,"2,093",8.757 Billion USD,8.868 Billion USD,,Hong Kong
2187,SINCH AB (PUBL),"2,094",8.747 Billion USD,16.973 Billion USD,,Sweden
2188,ENN ECOLOGICALHOLDINGS,"2,095",8.741 Billion USD,8.375 Billion USD,,China
2189,J SAINSBURY,"2,096",8.725 Billion USD,9.791 Billion USD,,UK
2190,PEOPLE'S UNITED FINANCIAL,"2,097",8.727 Billion USD,7.031 Billion USD,,USA
2191,MARICO,"2,098",8.719 Billion USD,9.880 Billion USD,,India
2192,DAIWA SECURITIES GROUP,"2,099",8.724 Billion USD,8.888 Billion USD,,Japan
2193,CHANGZHOU XINGYU AUTOMOTIVE LIGHTINGSYSTEM,"2,100",8.724 Billion USD,8.258 Billion USD,,China
2194,ELIA SYSTEM OPERATOR SA,"2,101",8.707 Billion USD,8.767 Billion USD,,Belgium
2195,BANCO SANTANDER MEXICO,"2,102",8.697 Billion USD,7.900 Billion USD,,Mexico
2196,WHITBREAD,"2,103",8.688 Billion USD,9.043 Billion USD,,UK
2197,RALPH LAUREN CORPORATION,"2,104",8.691 Billion USD,8.603 Billion USD,,USA
2198,IPG PHOTONICS CORPORATION,"2,105",8.669 Billion USD,9.131 Billion USD,,USA
2199,ELDORADO RESORTS,"2,106",8.661 Billion USD,9.812 Billion USD,,USA
2200,CHINA OILFIELD SERVICES,"2,107",8.664 Billion USD,7.956 Billion USD,,China
2201,SEB SA,"2,108",8.653 Billion USD,8.744 Billion USD,,France
2202,PURE STORAGE,"2,109",8.649 Billion USD,7.316 Billion USD,,USA
2203,CULLEN/FROST BANKERS,"2,110",8.638 Billion USD,7.270 Billion USD,,USA
2204,OTSUKA CORPORATION,"2,111",8.632 Billion USD,10.147 Billion USD,,Japan
2205,YAMATO HOLDINGS,"2,112",8.632 Billion USD,9.628 Billion USD,,Japan
2206,TEMPUR SEALY INTERNATIONAL,"2,113",8.632 Billion USD,8.783 Billion USD,,USA
2207,POSCO CHEMICAL,"2,114",8.624 Billion USD,10.360 Billion USD,,South Korea
2208,HELLENIC TELECOMMUNICATIONS ORGANIZATION,"2,115",8.617 Billion USD,9.022 Billion USD,,Greece
2209,GLAND PHARMA,"2,116",8.619 Billion USD,8.969 Billion USD,,India
2210,SINGAPORE TECHNOLOGIES ENGINEERING LTD,"2,117",8.616 Billion USD,8.813 Billion USD,,Singapore
2211,EQT CORPORATION,"2,118",8.621 Billion USD,6.929 Billion USD,,USA
2212,RTL GROUP SA,"2,119",8.611 Billion USD,9.669 Billion USD,,Luxembourg
2213,CONCENTRIX CORPORATION,"2,120",8.605 Billion USD,9.054 Billion USD,,USA
2214,WARTSILA OYJ ABP,"2,121",8.608 Billion USD,8.386 Billion USD,,Finland
2215,ITT,"2,122",8.609 Billion USD,8.237 Billion USD,,USA
2216,AVAST,"2,123",8.600 Billion USD,8.501 Billion USD,,Czech Republic
2217,DEXUS,"2,124",8.603 Billion USD,8.445 Billion USD,,Australia
2218,SICHUAN SWELLFUN,"2,125",8.594 Billion USD,9.191 Billion USD,,China
2219,MITSUBISHI HEAVY INDUSTRIES,"2,126",8.585 Billion USD,9.050 Billion USD,,Japan
2220,OLIN CORPORATION,"2,127",8.590 Billion USD,7.997 Billion USD,,USA
2221,SICHUAN ROAD & BRIDGE,"2,128",8.591 Billion USD,5.344 Billion USD,,China
2222,ENDEAVOUR GROUP LIMITED,"2,129",8.577 Billion USD,9.330 Billion USD,,Australia
2223,TAYLOR WIMPEY,"2,130",8.575 Billion USD,9.264 Billion USD,,UK
2224,CHOICE HOTELS INTERNATIONAL,"2,131",8.582 Billion USD,6.640 Billion USD,,USA
2225,THUNDER SOFTWARE TECHNOLOGY,"2,132",8.572 Billion USD,7.495 Billion USD,,China
2226,EASTGROUP PROPERTIES,"2,133",8.573 Billion USD,7.302 Billion USD,,USA
2227,SINOMA SCIENCE & TECHNOLOGY,"2,134",8.570 Billion USD,7.194 Billion USD,,China
2228,EDISON S.P.A,"2,135",8.556 Billion USD,6.650 Billion USD,,Italy
2229,BANCO SANTANDER-CHILE,"2,136",8.513 Billion USD,9.922 Billion USD,,Chile
2230,FIRST AMERICAN FINANCIAL CORPORATION,"2,137",8.506 Billion USD,7.753 Billion USD,,USA
2231,KANSAI ELECTRIC POWER COMPANY,"2,138",8.495 Billion USD,9.001 Billion USD,,Japan
2232,BECHTLE AG,"2,139",8.475 Billion USD,9.147 Billion USD,,Germany
2233,"DUN & BRADSTREET HOLDINGS, INC.","2,140",8.481 Billion USD,7.902 Billion USD,,USA
2234,CENTRAIS ELETRICAS BRASILEIRAS - ELETROBRAS,"2,141",8.457 Billion USD,11.532 Billion USD,,Brazil
2235,CSC FINANCIAL,"2,142",8.462 Billion USD,9.065 Billion USD,,China
2236,JCET GROUP,"2,143",8.455 Billion USD,8.956 Billion USD,,China
2237,VANGUARD INTERNATIONAL SEMICONDUCTOR CORPORATION,"2,144",8.455 Billion USD,8.909 Billion USD,,Taiwan
2238,NINGBO TUOPU GROUP,"2,145",8.460 Billion USD,5.687 Billion USD,,China
2239,AMOREPACIFIC CORPORATION,"2,146",8.450 Billion USD,11.944 Billion USD,,South Korea
2240,BIOHAVEN PHARMACEUTICAL HOLDING COMPANY,"2,147",8.441 Billion USD,8.583 Billion USD,,USA
2241,DWS GROUP GMBH & CO. KGAA,"2,148",8.440 Billion USD,8.468 Billion USD,,Germany
