,country,market_value_apr_2022,name,revenue_2022
475,russia,doll_10.48 b,surgutneftegas,doll_19.26 b
476,china,doll_8.91 b,new china life insurance,doll_34.44 b
477,canada,doll_42.24 b,barrick gold,doll_11.94 b
478,denmark,doll_38.65 b,dsv panalpina,doll_28.97 b
479,germany,doll_11.01 b,talanx,doll_51.73 b
480,united kingdom,doll_46.36 b,vodafone,doll_53.63 b
481,japan,doll_58.01 b,nintendo,doll_15.24 b
482,south korea,doll_11.47 b,hana financial group,doll_13.75 b
483,south korea,doll_15.65 b,hyundai mobis,doll_36.42 b
484,india,doll_20.32 b,ntpc,doll_17 b
485,malaysia,doll_24.74 b,maybank,doll_9.17 b
486,united states,doll_80.12 b,cme group,doll_4.69 b
487,united arab emirates,doll_42.24 b,taqa,doll_12.44 b
488,france,doll_54.16 b,pernod ricard,doll_11.58 b
489,indonesia,doll_26.88 b,bank mandiri,doll_9.53 b
490,mexico,doll_27.29 b,femsa,doll_27.38 b
491,united states,doll_29.79 b,paccar,doll_23.54 b
492,united states,doll_34.18 b,consolidated edison,doll_13.67 b
493,japan,doll_20.04 b,mitsui fudosan,doll_18.26 b
494,taiwan,doll_26.68 b,evergreen marine corp. (taiwan),doll_17.52 b
495,japan,doll_22.06 b,komatsu,doll_24.51 b
496,china,doll_24.76 b,shaanxi coal industry,doll_22.28 b
497,hong kong,doll_11.89 b,lenovo group,doll_70.56 b
498,japan,doll_51.27 b,fast retailing,doll_19.27 b
499,united kingdom,doll_52.66 b,london stock exchange,doll_9.27 b
500,germany,doll_32.71 b,vonovia,doll_6.55 b
501,united kingdom,doll_21.03 b,aviva,doll_45.13 b
502,united states,doll_64.22 b,sherwin-williams,doll_19.95 b
503,japan,doll_22.93 b,fujifilm holdings,doll_22.57 b
504,united states,doll_125.37 b,intuit,doll_11.41 b
505,united states,doll_64.61 b,lam research,doll_16.72 b
506,austria,doll_13.97 b,erste group bank,doll_11.43 b
507,united states,doll_11.2 b,lincoln national,doll_19.18 b
508,united states,doll_35.55 b,carrier global,doll_20.61 b
509,united states,doll_16.2 b,dish network,doll_17.88 b
510,china,doll_11.14 b,china coal energy,doll_35.86 b
511,germany,doll_14.14 b,continental,doll_39.91 b
512,russia,doll_3.15 b,vtb bank,doll_21.3 b
513,japan,doll_38.94 b,murata manufacturing,doll_16.28 b
514,india,doll_31.13 b,larsen & toubro,doll_20.53 b
515,united states,doll_13.79 b,ally financial,doll_10.84 b
516,china,doll_52.53 b,netease,doll_13.59 b
517,indonesia,doll_67.62 b,bank central asia,doll_6.1 b
518,sweden,doll_21.5 b,volvo car,doll_32.85 b
519,canada,doll_24.88 b,intact financial,doll_14.63 b
520,denmark,doll_49.11 b,orsted,doll_10.99 b
521,united states,doll_28.3 b,cummins,doll_24.02 b
522,united states,doll_42.73 b,williams,doll_10.57 b
523,france,doll_35.59 b,capgemini,doll_21.46 b
524,united states,doll_126.34 b,prologis,doll_4.83 b
525,france,doll_28.56 b,thales,doll_19.14 b
526,france,doll_13.13 b,bouygues,doll_44.43 b
527,mexico,doll_21.04 b,banorte,doll_10.61 b
528,hong kong,doll_25.13 b,ck asset holdings,doll_8.32 b
529,france,doll_31.81 b,orange,doll_50.26 b
530,switzerland,doll_34.84 b,kuehne & nagel international,doll_35.88 b
531,united states,doll_16.83 b,bunge,doll_59.15 b
532,south korea,doll_9.59 b,samsung life insurance,doll_25.44 b
533,united states,doll_45.55 b,vmware,doll_12.85 b
534,united states,doll_15.57 b,albertsons,doll_71.89 b
535,china,doll_10.5 b,crrc,doll_34.8 b
536,united states,doll_27.96 b,cbre group,doll_27.75 b
537,japan,doll_18.19 b,toshiba,doll_30.13 b
538,south korea,doll_14.64 b,samsung c&t,doll_30.09 b
539,india,doll_87.21 b,infosys,doll_16.33 b
540,united kingdom,doll_36.7 b,prudential,doll_26.52 b
541,china,doll_14.32 b,yankuang energy group,doll_16.86 b
542,canada,doll_69.42 b,canadian pacific railway,doll_6.38 b
543,united states,doll_15.94 b,loews,doll_14.67 b
544,japan,doll_67.25 b,tokyo electron,doll_17.09 b
545,south korea,doll_17.87 b,lg electronics,doll_66.12 b
546,australia,doll_94.67 b,csl,doll_10.59 b
547,canada,doll_18.14 b,magna international,doll_36.25 b
548,united states,doll_81.25 b,analog devices,doll_8.44 b
549,japan,doll_21.19 b,kubota,doll_19.99 b
550,united states,doll_53.86 b,air products & chemicals,doll_10.94 b
551,united states,doll_59.06 b,newmont mining,doll_12.25 b
552,switzerland,doll_40.01 b,te connectivity,doll_15.22 b
553,ireland,doll_68.81 b,aon,doll_12.19 b
554,canada,doll_36.05 b,telus,doll_13.43 b
555,united states,doll_37.7 b,dollar tree,doll_26.32 b
556,united states,doll_19.06 b,keycorp,doll_7.45 b
557,united kingdom,doll_26.88 b,wtw,doll_9.58 b
558,china,doll_9 b,china zheshang bank,doll_15.99 b
559,australia,doll_40.57 b,wesfarmers,doll_25.35 b
560,japan,doll_15.39 b,suzuki motor,doll_32.56 b
561,united states,doll_20.56 b,best buy,doll_51.76 b
562,united states,doll_31.82 b,svb financial group,doll_6.08 b
563,united states,doll_142.8 b,advanced micro devices,doll_16.43 b
564,united states,doll_19.89 b,markel,doll_12.84 b
565,china,doll_44.12 b,muyuan foodstuff,doll_11.27 b
566,united states,doll_46.67 b,kimberly-clark,doll_19.79 b
567,sweden,doll_18.56 b,swedbank,doll_6.75 b
568,united states,doll_43.62 b,cognizant,doll_18.51 b
569,united states,doll_28.58 b,corning,doll_14.07 b
570,germany,doll_39.15 b,infineon technologies,doll_13.7 b
571,united states,doll_20.76 b,citizens financial group,doll_6.88 b
572,united states,doll_38.57 b,devon energy,doll_13.69 b
573,japan,doll_17.94 b,asahi group holdings,doll_20.35 b
574,india,doll_22.87 b,jsw steel,doll_17.1 b
575,united states,doll_11.16 b,lumen technologies,doll_19.69 b
576,united states,doll_20.03 b,regions financial,doll_6.63 b
577,sweden,doll_19.52 b,svenska handelsbanken,doll_6.34 b
578,united states,doll_21.49 b,raymond james financial,doll_10.43 b
579,china,doll_84.46 b,byd,doll_32.78 b
580,united states,doll_63.42 b,illinois tool works,doll_14.46 b
581,china,doll_43.53 b,pinduoduo,doll_14.57 b
582,united states,doll_61.39 b,activision blizzard,doll_8.8 b
583,united kingdom,doll_12.59 b,liberty global,doll_10.54 b
584,united states,doll_68.17 b,colgate-palmolive,doll_17.42 b
585,united kingdom,doll_24.88 b,sse,doll_10.33 b
586,taiwan,doll_23.75 b,nan ya plastics,doll_14.74 b
587,france,doll_12.95 b,vivendi,doll_11.31 b
588,united states,doll_36.77 b,baxter international,doll_12.78 b
589,china,doll_8.48 b,fosun international,doll_25.02 b
590,china,doll_12.04 b,weichai power,doll_31.4 b
591,united states,doll_11.58 b,fidelity national financial,doll_15.63 b
592,united states,doll_35.6 b,parker-hannifin,doll_15.29 b
593,india,doll_20.21 b,vedanta limited,doll_16.38 b
594,south korea,doll_9.51 b,woori financial group,doll_11.47 b
595,united states,doll_45.06 b,sysco,doll_60.74 b
596,australia,doll_34.21 b,telstra,doll_15.82 b
597,switzerland,doll_18.68 b,credit suisse group,doll_30.07 b
598,canada,doll_29.24 b,rogers communications,doll_11.79 b
599,united states,doll_31.03 b,m&t bank,doll_5.89 b
600,united states,doll_62.63 b,boston scientific,doll_11.89 b
601,united states,doll_27.27 b,edison international,doll_14.9 b
602,france,doll_5.07 b,financiere de l'odet,doll_23.37 b
603,japan,doll_11.81 b,sumitomo mitsui trust,doll_10.67 b
604,united states,doll_25.1 b,entergy,doll_11.71 b
605,switzerland,doll_30.25 b,swisscom,doll_12.23 b
606,germany,doll_25.8 b,enbw-energie baden,doll_38 b
607,china,doll_59.33 b,hikvision,doll_12.99 b
608,japan,doll_12.82 b,nippon yusen,doll_19.46 b
609,united states,doll_21.35 b,stanley black & decker,doll_16.83 b
610,united states,doll_30.94 b,oneok,doll_17.27 b
611,united states,doll_58.74 b,marriott international,doll_13.86 b
612,united states,doll_49.91 b,warner bros. discovery,doll_12.18 b
613,china,doll_36.66 b,s.f. holding,doll_32.05 b
614,united states,doll_28.01 b,delta air lines,doll_35.1 b
615,india,doll_11.16 b,bharat petroleum,doll_43.2 b
616,united states,doll_33.94 b,halliburton,doll_16.13 b
617,china,doll_5.15 b,metallurgical corp of china,doll_77.3 b
618,united states,doll_22.08 b,northern trust,doll_6.57 b
619,germany,doll_10.91 b,heidelbergcement,doll_22.13 b
620,taiwan,doll_19.81 b,china steel,doll_16.77 b
621,united states,doll_31.72 b,eversource energy,doll_9.86 b
622,china,doll_21.93 b,sany heavy industry,doll_17.59 b
623,france,doll_138.97 b,hermã¨s international,doll_10.62 b
624,united states,doll_17.89 b,international paper,doll_21.78 b
625,turkey,doll_6.79 b,koã§ holding,doll_38.84 b
626,japan,doll_40.47 b,nidec,doll_17.07 b
627,china,doll_111.43 b,meituan,doll_27.79 b
628,india,doll_44.83 b,kotak mahindra bank,doll_7.92 b
629,canada,doll_19.97 b,teck resources,doll_10.75 b
630,united states,doll_27.77 b,southwest airlines,doll_15.79 b
631,germany,doll_32.23 b,deutsche boerse,doll_5.26 b
632,united states,doll_25.02 b,labcorp,doll_16.12 b
633,china,doll_20.28 b,china tower corp.,doll_13.43 b
634,japan,doll_17.11 b,inpex,doll_11.32 b
635,united kingdom,doll_23.43 b,coca-cola european partners,doll_16.24 b
636,china,doll_98.98 b,wuliangye yibin,doll_8.48 b
637,hong kong,doll_2.14 b,shimao property holdings,doll_21.82 b
638,japan,doll_7.97 b,idemitsu kosan,doll_54.54 b
639,taiwan,doll_29.96 b,formosa petrochemical,doll_22.2 b
640,united states,doll_84.07 b,crown castle international,doll_6.6 b
641,united states,doll_26.27 b,firstenergy,doll_11.41 b
642,china,doll_21.52 b,rongsheng petrochemical,doll_27.22 b
643,india,doll_15.11 b,hindalco industries,doll_24.33 b
644,china,doll_13.96 b,bank of hangzhou,doll_8.7 b
645,france,doll_7.28 b,renault,doll_54.62 b
646,united arab emirates,doll_108.6 b,international holding company,doll_7.75 b
647,united states,doll_21.93 b,cincinnati financial,doll_9.63 b
648,japan,doll_19.04 b,mitsubishi estate,doll_12.14 b
649,united states,doll_15.18 b,cleveland-cliffs,doll_22.35 b
650,spain,doll_7.03 b,grupo acs,doll_32.9 b
651,china,doll_13.58 b,cgn power,doll_12.47 b
652,taiwan,doll_14.5 b,ase technology holding,doll_21.31 b
653,japan,doll_7.25 b,jfe holdings,doll_36.46 b
654,united states,doll_26.51 b,dte energy,doll_15.46 b
655,china,doll_12.76 b,china hongqiao group,doll_17.76 b
656,netherlands,doll_44.83 b,nxp semiconductors,doll_11.06 b
657,united states,doll_15.48 b,western digital,doll_18.94 b
658,united states,doll_90.52 b,booking holdings,doll_10.96 b
659,japan,doll_16.11 b,aeon,doll_78.17 b
660,united states,doll_28.21 b,first republic bank,doll_5.53 b
661,china,doll_13.52 b,lufax holding,doll_9.67 b
662,sweden,doll_61.42 b,atlas copco,doll_12.92 b
663,united states,doll_61.05 b,fidelity national information (fis),doll_13.88 b
664,japan,doll_8.74 b,mitsubishi chemical,doll_34.61 b
665,portugal,doll_19.63 b,edp-energias de portugal,doll_17.86 b
666,japan,doll_19.16 b,kyocera,doll_16.22 b
667,china,doll_6.02 b,xiamen c&d,doll_109.61 b
668,united states,doll_42.88 b,autozone,doll_15.6 b
669,hong kong,doll_4.36 b,china taiping insurance,doll_40.91 b
670,canada,doll_34.25 b,cenovus energy,doll_36.98 b
671,finland,doll_36.31 b,neste,doll_17.91 b
672,germany,doll_27.21 b,porsche automobil holding,doll_151 m
673,sweden,doll_22.04 b,h&m - hennes & mauritz,doll_23.85 b
674,united kingdom,doll_59.18 b,relx,doll_9.96 b
675,united states,doll_24.11 b,pg&e,doll_20.64 b
676,united states,doll_41.81 b,republic services,doll_11.3 b
677,united states,doll_36.35 b,ross stores,doll_18.92 b
678,united states,doll_32.8 b,wec energy group,doll_8.32 b
679,united states,doll_17.06 b,cardinal health,doll_171.29 b
680,united states,doll_14.61 b,carmax,doll_31.9 b
681,taiwan,doll_10.52 b,china development financial,doll_12.76 b
682,saudi arabia,doll_31.76 b,riyad bank,doll_3.23 b
683,united states,doll_49.81 b,thomson reuters,doll_6.35 b
684,russia,doll_10.13 b,transneft,doll_14.11 b
685,united kingdom,doll_29.61 b,ferguson,doll_22.74 b
686,united states,doll_43.56 b,iqvia,doll_13.87 b
687,hong kong,doll_54.13 b,hong kong exchanges,doll_2.69 b
688,united states,doll_31.37 b,ppg,doll_17.23 b
689,china,doll_2.81 b,legend holding,doll_75.97 b
690,united states,doll_50.16 b,ecolab,doll_12.73 b
691,china,doll_6.77 b,sinopharm group,doll_80.8 b
692,china,doll_31.7 b,luxshare precision industry,doll_23.87 b
693,china,doll_2.86 b,seazen group,doll_26.4 b
694,united states,doll_37.87 b,global payments,doll_8.52 b
695,china,doll_4.17 b,china energy engineering,doll_49.75 b
696,france,doll_52.26 b,safran,doll_17.89 b
697,united states,doll_131.75 b,s&p global,doll_8.3 b
698,united states,doll_19.88 b,huntington bank,doll_6.42 b
699,bermuda,doll_17.86 b,arch capital group,doll_8.88 b
700,united states,doll_3.93 b,jackson financial,doll_8.85 b
701,israel,doll_15.87 b,bank leumi,doll_5.82 b
702,ireland,doll_34.77 b,trane technologies,doll_14.14 b
703,france,doll_21.2 b,veolia environnement,doll_33.7 b
704,united states,doll_46.92 b,o'reilly automotive,doll_13.33 b
705,united states,doll_30.86 b,biogen,doll_10.35 b
706,france,doll_15.81 b,publicis groupe,doll_13.87 b
707,south korea,doll_1.7 b,hanwha,doll_46.14 b
708,united states,doll_24.17 b,the mosaic company,doll_12.36 b
709,india,doll_56.8 b,bharti airtel,doll_14.98 b
710,china,doll_16.04 b,daqin railway,doll_11.83 b
711,united states,doll_60.27 b,uber,doll_17.45 b
712,switzerland,doll_34.46 b,stmicroelectronics,doll_12.78 b
713,china,doll_9.58 b,gemdale,doll_14.32 b
714,belgium,doll_9.71 b,ageas,doll_14.42 b
715,taiwan,doll_11.13 b,quanta computer,doll_40.44 b
716,canada,doll_18.04 b,george weston,doll_43.37 b
717,united states,doll_31.02 b,weyerhaeuser,doll_10.2 b
718,south korea,doll_11.11 b,korea electric power,doll_52.9 b
719,united states,doll_21.51 b,fox,doll_13.59 b
720,japan,doll_11.58 b,mitsubishi heavy industries,doll_34.06 b
721,united states,doll_16.98 b,steel dynamics,doll_20.43 b
722,japan,doll_100.89 b,keyence,doll_6.43 b
723,china,doll_51.73 b,longi green energy technology,doll_11.76 b
724,united kingdom,doll_56.35 b,reckitt benckiser group,doll_18.2 b
725,india,doll_16.3 b,coal india,doll_14.03 b
726,japan,doll_8.21 b,aisin seiki,doll_35.4 b
727,united states,doll_42.6 b,digital realty trust,doll_4.77 b
728,india,doll_22.12 b,tata motors,doll_39.04 b
729,japan,doll_10.54 b,resona holdings,doll_7.46 b
730,united states,doll_41.33 b,simon property group,doll_5.12 b
731,south korea,doll_6.97 b,industrial bank of korea,doll_9.44 b
732,hong kong,doll_24.76 b,clp holdings,doll_10.8 b
733,kuwait,doll_25.78 b,national bank of kuwait,doll_3.82 b
734,singapore,doll_32.06 b,singtel,doll_11.84 b
735,united states,doll_28.64 b,coinbase,doll_7.84 b
736,united states,doll_20.04 b,centerpoint energy,doll_8.35 b
737,saudi arabia,doll_44.95 b,saudi arabian mining,doll_7.14 b
738,china,doll_6.47 b,china cinda asset management,doll_10.29 b
739,japan,doll_11.72 b,asahi kasei,doll_21.79 b
740,japan,doll_10.9 b,nec,doll_27.72 b
741,united states,doll_16.81 b,united airlines holdings,doll_28.98 b
742,united states,doll_17.88 b,mgm resorts,doll_9.68 b
743,netherlands,doll_28.7 b,dsm,doll_10.88 b
744,indonesia,doll_31.88 b,telkom indonesia,doll_10.02 b
745,poland,doll_7.55 b,pkn orlen,doll_34.07 b
746,china,doll_11.51 b,guotai junan securities,doll_6.7 b
747,norway,doll_19.14 b,norsk hydro,doll_16.89 b
748,taiwan,doll_23.28 b,formosa plastics,doll_9.79 b
749,united states,doll_9.18 b,nrg energy,doll_26.9 b
750,malaysia,doll_21.18 b,public bank,doll_4.51 b
751,china,doll_9.67 b,tcl,doll_25.27 b
752,china,doll_12.74 b,huatai securities,doll_6.04 b
753,united states,doll_23.53 b,kellogg,doll_14.18 b
754,china,doll_37.83 b,inner mongolia yili,doll_16.52 b
755,united kingdom,doll_14.8 b,wpp,doll_17.61 b
756,united states,doll_16.35 b,omnicom group,doll_14.27 b
757,japan,doll_11.78 b,sekisui house,doll_23.39 b
758,united states,doll_34.52 b,cheniere energy,doll_17.64 b
759,sweden,doll_26.55 b,sandvik,doll_11.61 b
760,thailand,doll_12.8 b,siam cement,doll_16.56 b
761,japan,doll_20.31 b,east japan railway,doll_17.67 b
762,united arab emirates,doll_19.45 b,abu dhabi commercial bank,doll_4.23 b
763,china,doll_4.43 b,huishang bank,doll_10.26 b
764,china,doll_13.08 b,great wall motor,doll_20.52 b
765,china,doll_9.56 b,haitong securities,doll_7.8 b
766,china,doll_6.23 b,dongfeng motor group,doll_17.5 b
767,china,doll_3.9 b,china reinsurance group,doll_25.39 b
768,hong kong,doll_20.39 b,henderson land,doll_3.07 b
769,south korea,doll_32.16 b,samsung sdi,doll_11.84 b
770,canada,doll_24.04 b,fortis (canada),doll_7.54 b
771,south korea,doll_10.82 b,sk telecom,doll_14.63 b
772,netherlands,doll_12.8 b,hal trust,doll_8.68 b
773,brazil,doll_56.14 b,banco btg pactual,doll_2.71 b
774,united states,doll_31.15 b,baker hughes company,doll_20.59 b
775,united states,doll_37.32 b,gallagher,doll_8.05 b
776,bermuda,doll_12.67 b,everest re group,doll_11.87 b
777,united states,doll_41.49 b,amphenol,doll_10.88 b
778,united states,doll_13.1 b,american airlines group,doll_34.77 b
779,united states,doll_48.87 b,kla,doll_8.16 b
780,japan,doll_29.26 b,astellas pharma,doll_11.84 b
781,japan,doll_17.87 b,otsuka holding,doll_13.64 b
782,china,doll_3.01 b,china bohai bank,doll_10.56 b
783,thailand,doll_10.82 b,kasikornbank,doll_8.14 b
784,israel,doll_12.88 b,bank hapoalim,doll_5.64 b
785,australia,doll_22.85 b,woodside petroleum,doll_7.01 b
786,hong kong,doll_33.32 b,mtr,doll_6.07 b
787,russia,doll_10.46 b,tatneft,doll_17.39 b
788,india,doll_4.1 b,power finance,doll_10.15 b
789,united states,doll_85.74 b,zoetis,doll_7.78 b
790,switzerland,doll_48.01 b,lonza group,doll_5.92 b
791,france,doll_9.86 b,eiffage,doll_22.69 b
792,japan,doll_7.08 b,sumitomo chemical,doll_24.41 b
793,united states,doll_68.84 b,vertex pharmaceuticals,doll_7.6 b
794,united states,doll_20.39 b,constellation energy,doll_19.65 b
795,china,doll_4.19 b,cifi holdings group,doll_16.77 b
796,austria,doll_3.98 b,raiffeisen bank international,doll_9.05 b
797,united states,doll_10.16 b,whirlpool,doll_21.98 b
798,germany,doll_14.43 b,siemens energy,doll_32.51 b
799,united states,doll_13.27 b,westrock,doll_19.3 b
800,south korea,doll_7.36 b,samsung fire & marine,doll_18.34 b
801,united states,doll_8.75 b,us steel,doll_20.45 b
802,finland,doll_18.74 b,upm-kymmene,doll_11.6 b
803,taiwan,doll_16.21 b,formosa chemicals,doll_13.1 b
804,south korea,doll_14.96 b,sk innovation,doll_40.91 b
805,sweden,doll_16.49 b,telia,doll_10.29 b
806,japan,doll_7.85 b,t&d holdings,doll_20.27 b
807,spain,doll_6.24 b,mapfre,doll_23.48 b
808,india,doll_39.09 b,hcl technologies,doll_11.19 b
809,japan,doll_12.58 b,sumitomo realty,doll_8.42 b
810,united states,doll_16.34 b,westlake chemical,doll_11.78 b
811,united states,doll_30.79 b,apollo global management,doll_4.83 b
812,united states,doll_22.72 b,united rentals,doll_9.72 b
813,united states,doll_23.08 b,diamondback energy,doll_6.8 b
814,united states,doll_31.04 b,otis worldwide,doll_14.3 b
815,china,doll_4.46 b,chongqing rural bank,doll_8.68 b
816,united states,doll_27.77 b,ball,doll_13.93 b
817,finland,doll_15.68 b,stora enso,doll_12.01 b
818,taiwan,doll_15.1 b,yang ming marine transport,doll_11.95 b
819,united kingdom,doll_7.93 b,phoenix group holdings,doll_33.53 b
820,india,doll_38.44 b,wipro,doll_10.07 b
821,india,doll_20.57 b,power grid of india,doll_5.61 b
822,south africa,doll_8.83 b,absa group,doll_9.04 b
823,russia,doll_12.07 b,novolipetsk steel,doll_16.18 b
824,japan,doll_8.61 b,sumitomo electric,doll_29.99 b
825,united kingdom,doll_9.31 b,st. james's place,doll_24.42 b
826,india,doll_14.77 b,grasim industries,doll_12.35 b
827,united kingdom,doll_21.23 b,segro,doll_751 m
828,taiwan,doll_19.32 b,mega financial holding,doll_2.62 b
829,china,doll_16.05 b,zhongsheng group holdings,doll_27.15 b
830,taiwan,doll_4.88 b,shin kong financial,doll_15.59 b
831,united states,doll_20.82 b,cms energy,doll_7.4 b
832,chile,doll_4.84 b,quinenco,doll_8.46 b
833,germany,doll_12.57 b,evonik industries,doll_18.69 b
834,china,doll_41.33 b,east money information,doll_2.13 b
835,australia,doll_13.04 b,qbe insurance group,doll_13.95 b
836,malaysia,doll_11.85 b,tenaga nasional,doll_12.7 b
837,south korea,doll_36.14 b,naver,doll_6.14 b
838,japan,doll_12.01 b,tdk,doll_16.26 b
839,japan,doll_12.09 b,nomura,doll_12.89 b
840,china,doll_3.73 b,jinke property group,doll_15.58 b
841,japan,doll_5.79 b,tokyo electric power,doll_47.93 b
842,united states,doll_22.9 b,cdw,doll_20.82 b
843,united states,doll_46.07 b,the hershey company,doll_8.97 b
844,india,doll_42.06 b,itc,doll_7.91 b
845,poland,doll_8.57 b,pgnig group,doll_18.29 b
846,south africa,doll_19.98 b,mtn group,doll_12.28 b
847,united kingdom,doll_39.01 b,compass group,doll_24.5 b
848,united states,doll_18.02 b,wr berkley,doll_9.46 b
849,united states,doll_59.77 b,moody's,doll_6.22 b
850,united states,doll_18.97 b,genuine parts,doll_19.7 b
851,china,doll_37.02 b,beijing-shanghai high-speed railway,doll_4.75 b
852,china,doll_9.13 b,aluminum corp of china,doll_41.84 b
853,japan,doll_8.41 b,kansai electric power,doll_26.01 b
854,united states,doll_70.56 b,public storage,doll_3.42 b
855,china,doll_53.27 b,china international travel service,doll_10.37 b
856,switzerland,doll_49.37 b,sika,doll_10.12 b
857,united states,doll_14.95 b,signature bank,doll_2.48 b
858,united states,doll_30.58 b,t rowe price,doll_7.67 b
859,united states,doll_31.74 b,international flavors & fragrances,doll_11.66 b
860,italy,doll_20.11 b,atlantia,doll_6.21 b
861,united states,doll_47.95 b,roper technologies,doll_6.09 b
862,china,doll_21.72 b,shanghai international port,doll_5.18 b
863,japan,doll_43.87 b,daiichi sankyo,doll_9.42 b
864,japan,doll_11.45 b,rakuten,doll_15.31 b
865,united states,doll_13.25 b,franklin resources,doll_8.72 b
866,ireland,doll_7.83 b,bank of ireland,doll_8.37 b
867,japan,doll_8.9 b,mitsui osk lines,doll_10.81 b
868,saudi arabia,doll_24.3 b,saudi british bank,doll_2.38 b
869,united states,doll_25 b,ameren,doll_6.39 b
870,taiwan,doll_34.87 b,chunghwa telecom,doll_7.54 b
871,sweden,doll_29.86 b,assa abloy,doll_11.07 b
872,china,doll_9.76 b,zte,doll_17.64 b
873,netherlands,doll_6.61 b,asr nederland,doll_11.72 b
874,united states,doll_17.33 b,conagra brands,doll_11.37 b
875,germany,doll_9.18 b,commerzbank,doll_14.84 b
876,india,doll_32.15 b,bajaj finserv,doll_8.64 b
877,south korea,doll_4.73 b,hyundai steel,doll_19.95 b
878,south korea,doll_5.38 b,lg display,doll_26.09 b
879,south korea,doll_6.89 b,kt,doll_21.74 b
880,china,doll_1.7 b,logan property holdings,doll_12.2 b
881,united states,doll_37.09 b,public service enterprise group,doll_8.73 b
882,russia,doll_4.47 b,en+ group international,doll_14.12 b
883,turkey,doll_3.2 b,isbank,doll_12.25 b
884,united states,doll_16.64 b,expeditors international,doll_16.68 b
885,luxembourg,doll_8.59 b,ternium,doll_15.98 b
886,czech republic,doll_23.39 b,cez group,doll_10.9 b
887,japan,doll_9.3 b,isuzu motors,doll_21.7 b
888,japan,doll_20.81 b,renesas electronics,doll_9.05 b
889,netherlands,doll_46.2 b,universal music group,doll_10.05 b
890,italy,doll_4.08 b,unipol gruppo,doll_16.89 b
891,japan,doll_5.49 b,sbi holdings,doll_5.58 b
892,hong kong,doll_26.31 b,techtronic industries,doll_13.2 b
893,spain,doll_19.21 b,ferrovial,doll_8.01 b
894,malaysia,doll_12.22 b,cimb group holdings,doll_5.66 b
895,finland,doll_25.87 b,kone,doll_12.43 b
896,south korea,doll_3.08 b,e-mart,doll_21.77 b
897,china,doll_9.87 b,gf securities,doll_5.85 b
898,china,doll_9.86 b,china merchants securities,doll_5.7 b
899,united states,doll_9.53 b,annaly capital management,doll_731 m
900,australia,doll_18.25 b,coles group,doll_29.38 b
901,japan,doll_24.77 b,central japan railway,doll_8.25 b
902,turkey,doll_2.79 b,sabanci holding,doll_10.51 b
903,taiwan,doll_11.06 b,yuanta financial holding,doll_5.77 b
904,chile,doll_3.49 b,antarchile,doll_24.9 b
905,south korea,doll_10.81 b,hmm,doll_12.05 b
906,ireland,doll_18.04 b,seagate technology,doll_11.97 b
907,united states,doll_11.24 b,alleghany,doll_12 b
908,china,doll_15.04 b,guosen securities,doll_3.76 b
909,united states,doll_16.03 b,avis budget group,doll_9.31 b
910,china,doll_5.72 b,jiangxi copper,doll_68.46 b
911,japan,doll_6.49 b,mitsubishi ufj lease,doll_14.05 b
912,japan,doll_13.03 b,sumitomo metal mining,doll_10.71 b
913,taiwan,doll_9.22 b,asustek computer,doll_19.16 b
914,united kingdom,doll_16.58 b,associated british foods,doll_18.99 b
915,china,doll_22 b,china national nuclear power,doll_9.6 b
916,china,doll_10.03 b,china international capital,doll_3.61 b
917,china,doll_11.4 b,china molybdenum,doll_26.77 b
918,united states,doll_11.77 b,equitable holdings,doll_11.04 b
919,germany,doll_8.65 b,covestro,doll_18.8 b
920,united kingdom,doll_6.99 b,m&g,doll_23.38 b
921,canada,doll_57.93 b,shopify,doll_4.61 b
922,china,doll_4.22 b,shanghai construction,doll_43.4 b
923,sweden,doll_19.43 b,essity,doll_14.59 b
924,united states,doll_25.52 b,ww grainger,doll_13.02 b
925,india,doll_5.53 b,canara bank,doll_12.68 b
926,united states,doll_12.43 b,viatris,doll_17.86 b
927,united states,doll_29.84 b,american water works,doll_3.93 b
928,taiwan,doll_20.33 b,united microelectronics,doll_7.63 b
929,united states,doll_21.23 b,vf,doll_11.62 b
930,united states,doll_90.64 b,intuitive surgical,doll_5.91 b
931,italy,doll_18.32 b,snam,doll_3.9 b
932,denmark,doll_28.23 b,vestas wind systems,doll_18.42 b
933,japan,doll_11.61 b,subaru,doll_25.15 b
934,china,doll_2.46 b,jiangsu zhongnan construction group,doll_14 b
935,denmark,doll_17.76 b,carlsberg,doll_10.59 b
936,united states,doll_10.86 b,builders firstsource,doll_19.89 b
937,china,doll_16.03 b,semiconductor manufacturing international,doll_5.51 b
938,poland,doll_10.9 b,pko bank polski,doll_4.45 b
939,china,doll_14.99 b,enn energy holdings,doll_14.44 b
940,hong kong,doll_8.86 b,wh group,doll_27.29 b
941,united kingdom,doll_17.53 b,amcor,doll_13.59 b
942,south korea,doll_2.81 b,korea gas,doll_24.03 b
943,united states,doll_7.68 b,jefferies financial,doll_8.64 b
944,russia,doll_11.5 b,severstal,doll_11.63 b
945,united states,doll_31.95 b,alexandria real estate equities,doll_2.11 b
946,switzerland,doll_10.34 b,julius baer group,doll_4.95 b
947,south africa,doll_9.09 b,sanlam,doll_14.42 b
948,united arab emirates,doll_14.07 b,emaar properties,doll_7.86 b
