ceo,country,market_value_jan_2020,market_value_jan_2021,market_value_jan_2022,name,employees_2022,revenue_2022,sector
Jose D. Bogas Galvez,spain,28.364 Billion USD,28.813 Billion USD,23.401 Billion USD,endesa,"9,591","23,031 Million USD",utilities
Frank Mastiaux,germany,15.774 Billion USD,18.471 Billion USD,23.389 Billion USD,enbw energie baden-wurttemberg ag,"23,293","32,138 Million USD",utilities
Vincent Warnery,germany,27.097 Billion USD,26.085 Billion USD,23.055 Billion USD,beiersdorf,"20,465","8,405 Million USD",consumer defensive
Arnd Kaldowski,switzerland,14.554 Billion USD,16.591 Billion USD,23.019 Billion USD,sonova holding ag,"14,508","3,492 Million USD",healthcare
Jens Henriksson,sweden,17.388 Billion USD,19.524 Billion USD,22.817 Billion USD,swedbank ab (publ),"17,373",0 Million USD,financial services
Magnus Groth,sweden,23.832 Billion USD,22.900 Billion USD,22.550 Billion USD,essity ab (publ),"46,000","12,796 Million USD",consumer defensive
Steve Cutler,ireland,9.088 Billion USD,10.290 Billion USD,22.366 Billion USD,icon public company,"37,960","5,480 Million USD",healthcare
Timothy P Walbert,ireland,6.720 Billion USD,16.145 Billion USD,22.265 Billion USD,horizon therapeutics public company,"1,395","3,226 Million USD",healthcare
Amanda Blanc,uk,21.918 Billion USD,17.469 Billion USD,22.112 Billion USD,aviva,"31,700","43,116 Million USD",financial services
Carina Akerstrom,sweden,22.579 Billion USD,20.173 Billion USD,22.068 Billion USD,svenska handelsbanken ab (publ),"22,000",0 Million USD,financial services
George G. Weston,uk,26.625 Billion USD,24.510 Billion USD,22.066 Billion USD,associated british foods,"128,000","18,174 Million USD",consumer defensive
NULL,germany,26.749 Billion USD,29.982 Billion USD,21.978 Billion USD,continental ag,"236,386","33,755 Million USD",consumer cyclical
Pavel Sergeevich Grachev,russia,22.766 Billion USD,27.861 Billion USD,21.976 Billion USD,pjsc polyus,"20,000","3,287 Million USD",basic materials
Sigve Brekke,norway,25.459 Billion USD,23.666 Billion USD,21.969 Billion USD,telenor asa,"18,000","12,347 Million USD",communication services
NULL,uk,12.967 Billion USD,15.440 Billion USD,21.946 Billion USD,segro,355,715 Million USD,real estate
Ignacio Madridejos Fernandez,spain,22.219 Billion USD,20.174 Billion USD,21.934 Billion USD,ferrovial,"18,515","7,469 Million USD",industries
Ester Baiget,denmark,13.801 Billion USD,15.999 Billion USD,21.906 Billion USD,novozymes a/s,"6,527","2,213 Million USD",healthcare
Scott W. Wine,uk,15.322 Billion USD,17.351 Billion USD,21.872 Billion USD,cnh industrial,"64,016","19,474 Million USD",industries
Gilles G. Martin,luxembourg,10.135 Billion USD,15.941 Billion USD,21.550 Billion USD,eurofins scientific se,"55,000","7,402 Million USD",healthcare
NULL,spain,10.161 Billion USD,24.462 Billion USD,21.292 Billion USD,edp renovaveis,"1,566","1,936 Million USD",utilities
Stefan Bomhard,uk,23.870 Billion USD,19.871 Billion USD,21.145 Billion USD,imperial brands,"30,300","42,923 Million USD",consumer defensive
Jussi Pesonen,finland,18.589 Billion USD,NULL,20.972 Billion USD,upm-kymmene oyj,"17,512","10,815 Million USD",basic materials
Paolo Bertoluzzo,italy,9.200 Billion USD,12.492 Billion USD,20.896 Billion USD,nexi,"1,996","3,084 Million USD",technology
Thierry Vanlancker,netherlands,22.070 Billion USD,20.392 Billion USD,20.741 Billion USD,akzo nobel,"32,200","10,565 Million USD",basic materials
Jean-Christophe Tellier,belgium,15.043 Billion USD,19.456 Billion USD,20.612 Billion USD,ucb sa,"8,006","6,366 Million USD",healthcare
Oliver Hughes,russia,4.853 Billion USD,4.619 Billion USD,20.605 Billion USD,tcs group holding,"528,748",0 Million USD,financial services
Joao Manuel Brito Martins,portugal,15.771 Billion USD,24.766 Billion USD,20.438 Billion USD,edp - energias de portugal,"12,236","16,511 Million USD",utilities
Bill Winters,uk,30.742 Billion USD,20.108 Billion USD,20.378 Billion USD,standard chartered,"84,740",0 Million USD,financial services
John Elkann,netherlands,18.068 Billion USD,18.676 Billion USD,20.374 Billion USD,exor,"268,979","33,607 Million USD",financial services
Alfred Stern,austria,18.424 Billion USD,13.137 Billion USD,20.210 Billion USD,omv group,"25,391","39,182 Million USD",energy
Daniel Benes,czech republic,12.049 Billion USD,12.806 Billion USD,20.163 Billion USD,cez a. s,"27,200","9,595 Million USD",utilities
Bernhard Spalt,austria,15.609 Billion USD,12.317 Billion USD,19.926 Billion USD,erste group bank ag,"44,596","7,597 Million USD",financial services
Patrick Frost,switzerland,15.924 Billion USD,14.950 Billion USD,19.922 Billion USD,swiss life holding ag,"9,823","22,872 Million USD",financial services
Heinz-Juergen Bertram,germany,13.640 Billion USD,17.876 Billion USD,19.804 Billion USD,symrise ag,"10,531","4,215 Million USD",basic materials
Benjamin Loh,netherlands,5.604 Billion USD,10.620 Billion USD,19.787 Billion USD,asm international nv,"2,583","1,905 Million USD",technology
Arkady Volozh,russia,14.488 Billion USD,24.519 Billion USD,19.592 Billion USD,yandex,"11,864","3,206 Million USD",communication services
Marco Alvera,italy,17.350 Billion USD,18.317 Billion USD,19.225 Billion USD,snam,"3,388","3,284 Million USD",utilities
David Schneider,germany,12.794 Billion USD,27.576 Billion USD,19.103 Billion USD,zalando se,"14,194","11,410 Million USD",consumer cyclical
Rice Powell,germany,22.203 Billion USD,24.319 Billion USD,18.809 Billion USD,fresenius medical care ag & co. kgaa,"125,364","19,416 Million USD",healthcare
Remo Ruffini,italy,11.469 Billion USD,15.434 Billion USD,18.758 Billion USD,moncler,"4,561","2,255 Million USD",consumer cyclical
Patrice Caine,france,22.328 Billion USD,19.414 Billion USD,18.756 Billion USD,thales,"80,702","17,844 Million USD",industries
Fabien Simon,netherlands,NULL,NULL,18.578 Billion USD,jde peet's n.v.,"19,000","7,715 Million USD",consumer defensive
Steve Foots,uk,8.745 Billion USD,12.542 Billion USD,18.577 Billion USD,croda international,"4,000","2,473 Million USD",basic materials
Christian Bruch,germany,NULL,26.230 Billion USD,18.494 Billion USD,siemens energy,"91,000","31,387 Million USD",engineering products
Vladimir Bogdanov,russia,34.556 Billion USD,17.600 Billion USD,18.439 Billion USD,surgutneftegas,"116,000","17,669 Million USD",energy
Mark Read,uk,17.603 Billion USD,13.405 Billion USD,18.269 Billion USD,wpp plc,"100,000","16,757 Million USD",communication services
Vivek Badrinath,germany,NULL,NULL,18.162 Billion USD,vantage towers ag,327,"1,023 Million USD",industries
Josu Jon Imaz,spain,23.062 Billion USD,15.345 Billion USD,18.162 Billion USD,repsol,"23,739","54,819 Million USD",energy
Ivan Arriagada,uk,11.854 Billion USD,19.419 Billion USD,18.128 Billion USD,antofagasta,"23,248","7,470 Million USD",basic materials
Aleksandr Shevelev,russia,12.842 Billion USD,14.926 Billion USD,17.528 Billion USD,pao severstal,"52,200","6,870 Million USD",basic materials
Bjorn Gulden,germany,11.312 Billion USD,16.982 Billion USD,17.486 Billion USD,puma se,"14,374","7,499 Million USD",consumer cyclical
Markus Weber,germany,11.391 Billion USD,11.861 Billion USD,17.301 Billion USD,carl zeiss meditec ag,"3,000","1,814 Million USD",healthcare
Arthur Sadoun,france,10.824 Billion USD,12.182 Billion USD,17.224 Billion USD,publicis groupe,"79,051","12,935 Million USD",communication services
David Knibbe,netherlands,12.993 Billion USD,14.075 Billion USD,17.104 Billion USD,nn group,"15,417","25,930 Million USD",financial services
Matteo Del Fante,italy,14.853 Billion USD,13.180 Billion USD,17.079 Billion USD,poste italiane spa,"118,523","31,629 Million USD",industries
Stephane Dedeyan,france,13.796 Billion USD,11.012 Billion USD,17.021 Billion USD,cnp assurances sa,"5,353","48,298 Million USD",financial services
Grigory Vitalevich Fedorishin,russia,14.074 Billion USD,17.079 Billion USD,16.921 Billion USD,novolipetsk steel,"52,800","16,196 Million USD",basic materials
Klaus-Dieter Maubach,germany,12.178 Billion USD,12.576 Billion USD,16.886 Billion USD,uniper se,"11,644","180,700 Million USD",utilities
Rolv Erik Ryssdal,norway,8.271 Billion USD,11.346 Billion USD,16.683 Billion USD,adevinta asa,"4,700","1,139 Million USD",communication services
Ian Gallienne,belgium,16.524 Billion USD,15.336 Billion USD,16.677 Billion USD,groupe bruxelles lambert sa,"59,000","8,495 Million USD",financial services
Aengus Kelly,ireland,8.203 Billion USD,5.914 Billion USD,16.583 Billion USD,aercap holdings,376,"4,587 Million USD",industries
Valerie Baudson,france,15.945 Billion USD,16.380 Billion USD,16.574 Billion USD,amundi,"4,700","3,531 Million USD",financial services
Jack Truong,ireland,13.897 Billion USD,16.976 Billion USD,16.505 Billion USD,james hardie industries,"4,861","3,613 Million USD",basic materials
Tom Erixon,sweden,11.115 Billion USD,11.482 Billion USD,16.501 Billion USD,alfa laval ab (publ),"17,883","4,296 Million USD",industries
Hilde Merete Aasheim,norway,7.527 Billion USD,9.466 Billion USD,16.447 Billion USD,norsk hydro asa,"34,240","15,410 Million USD",basic materials
Morten Hubbe,denmark,8.899 Billion USD,9.516 Billion USD,16.442 Billion USD,tryg a/s,"4,000","3,691 Million USD",financial services
Gilles Grapinet,france,13.156 Billion USD,26.854 Billion USD,16.384 Billion USD,worldline,"20,000","3,688 Million USD",technology
Tim Hauwermeiren,netherlands,6.933 Billion USD,14.022 Billion USD,16.128 Billion USD,argenx se,336,497 Million USD,healthcare
Dr. Jan Michael Mrosik,germany,16.828 Billion USD,21.805 Billion USD,16.125 Billion USD,knorr-bremse,"29,000","6,703 Million USD",consumer cyclical
NULL,france,13.429 Billion USD,13.946 Billion USD,16.110 Billion USD,carrefour sa,"322,164","81,863 Million USD",consumer defensive
NULL,france,13.104 Billion USD,12.070 Billion USD,16.011 Billion USD,bollore,"79,207","19,765 Million USD",communication services
Harold Boel,belgium,7.317 Billion USD,11.377 Billion USD,16.000 Billion USD,sofina societe anonyme,NULL,"2,650 Million USD",financial services
Tim Steiner,uk,11.894 Billion USD,23.415 Billion USD,15.933 Billion USD,ocado group,"17,121","3,270 Million USD",consumer defensive
Allison Kirkby,sweden,18.383 Billion USD,16.799 Billion USD,15.857 Billion USD,telia company ab (publ),"20,700","9,276 Million USD",communication services
Roland Diggelmann,uk,21.055 Billion USD,18.518 Billion USD,15.688 Billion USD,smith & nephew,"17,500","5,212 Million USD",healthcare
Jerre Stead,uk,5.218 Billion USD,18.003 Billion USD,15.685 Billion USD,clarivate plc,"8,300","1,876 Million USD",technology
Stefano Antonio Donnarumma,italy,13.404 Billion USD,15.286 Billion USD,15.647 Billion USD,terna s.p.a. ,"4,735","2,462 Million USD",utilities
Carlo Bertazzo,italy,19.043 Billion USD,14.658 Billion USD,15.611 Billion USD,atlantia,"30,745","7,043 Million USD",industries
Andrew Williams,uk,10.914 Billion USD,12.671 Billion USD,15.584 Billion USD,halma,"7,120","1,796 Million USD",industries
Andreas Nauen,spain,11.972 Billion USD,27.381 Billion USD,15.524 Billion USD,siemens gamesa renewable energy,"24,500","11,237 Million USD",industries
Robert Kunze-Concewitz,italy,10.541 Billion USD,12.785 Billion USD,15.491 Billion USD,davide campari-milano,"4,000","2,394 Million USD",consumer defensive
Christian Kullmann,germany,14.321 Billion USD,15.140 Billion USD,15.424 Billion USD,evonik industries ag,"33,004","16,480 Million USD",basic materials
Carsten Rasch Egeriis,denmark,14.286 Billion USD,14.088 Billion USD,15.411 Billion USD,danske bank a/s,"21,754",0 Million USD,financial services
NULL,russia,20.544 Billion USD,13.970 Billion USD,15.311 Billion USD,transneft,"115,900","15,816 Million USD",energy
Alexandre Merieux,france,10.573 Billion USD,16.798 Billion USD,15.281 Billion USD,biomerieux,"12,000","3,720 Million USD",healthcare
Michael Zahn,germany,14.834 Billion USD,18.289 Billion USD,15.251 Billion USD,deutsche wohnen se,"1,339","2,271 Million USD",real estate
Nicholas J. Anderson,uk,10.528 Billion USD,11.789 Billion USD,15.248 Billion USD,spirax-sarco engineering,85,"1,759 Million USD",industries
Miuccia Prada,italy,12.543 Billion USD,16.898 Billion USD,15.139 Billion USD,prada,"13,331","3,708 Million USD",consumer cyclical
Annica Bresky,finland,12.362 Billion USD,15.005 Billion USD,15.063 Billion USD,stora enso oyj,"22,094","11,201 Million USD",basic materials
Robert Swaak,netherlands,17.404 Billion USD,9.181 Billion USD,15.059 Billion USD,abn amro bank,"17,813",0 Million USD,financial services
Mike Fries,uk,14.020 Billion USD,13.905 Billion USD,15.016 Billion USD,liberty global,"11,200","10,311 Million USD",communication services
Peter Cowgill,uk,10.574 Billion USD,11.445 Billion USD,15.001 Billion USD,jd sports fashion,"61,053","10,086 Million USD",consumer cyclical
Evgenii Nikitin,russia,7.366 Billion USD,7.333 Billion USD,14.968 Billion USD,united company rusal,NULL,"11,994 Million USD",basic materials
Sasndor Csanyi,hungary,14.823 Billion USD,12.280 Billion USD,14.752 Billion USD,otp bank nyrt,"38,626",0 Million USD,financial services
Philipp Rickenbacher,switzerland,11.248 Billion USD,12.707 Billion USD,14.734 Billion USD,julius bar gruppe ag,"6,606",0 Million USD,financial services
NULL,russia,29.337 Billion USD,29.590 Billion USD,14.690 Billion USD,pjsc tatneft,"60,000","11,843 Million USD",energy
Pedro Manuel de Castro Soares dos Santos,portugal,10.498 Billion USD,10.576 Billion USD,14.681 Billion USD,jeronimo martins sgps,"123,458","23,020 Million USD",consumer defensive
Anthony Smurfit,ireland,9.381 Billion USD,12.111 Billion USD,14.596 Billion USD,smurfit kappa group,"46,000","11,138 Million USD",consumer cyclical
Iwona Duda,poland,10.978 Billion USD,10.020 Billion USD,14.476 Billion USD,pko bank polski en,"23,693",NULL,financial services
Warren East,uk,17.247 Billion USD,12.729 Billion USD,14.458 Billion USD,rolls-royce holdings,"50,000","14,684 Million USD",industries
Didier Michaud-Daniel,france,11.824 Billion USD,11.905 Billion USD,14.433 Billion USD,bureau veritas sa,"78,395","5,489 Million USD",industries
Bertrand Camus,france,9.469 Billion USD,12.408 Billion USD,14.416 Billion USD,suez sa,"86,195","20,307 Million USD",utilities
NULL,monaco,13.656 Billion USD,12.158 Billion USD,14.241 Billion USD,hal trust,"51,397","7,311 Million USD",financial services
Arnaud de Puyfontaine,france,34.413 Billion USD,35.068 Billion USD,14.134 Billion USD,vivendi,"42,800","10,548 Million USD",communication services
Rob Smith,germany,8.501 Billion USD,11.358 Billion USD,14.105 Billion USD,kion group ag,"39,602","11,344 Million USD",industries
Simon Wolfson,uk,12.111 Billion USD,12.883 Billion USD,14.071 Billion USD,next plc,"25,491","5,447 Million USD",consumer cyclical
Dominik von Achten,germany,14.598 Billion USD,15.242 Billion USD,14.035 Billion USD,heidelberg cement ag,"51,209","18,713 Million USD",basic materials
Christian Kohlpaintner,germany,8.471 Billion USD,11.917 Billion USD,13.934 Billion USD,brenntag ag,"17,237","15,849 Million USD",basic materials
Martin Bouygues,france,16.359 Billion USD,15.598 Billion USD,13.909 Billion USD,bouygues sa,"129,000","41,423 Million USD",industries
Henri Poupart-Lafarge,france,10.843 Billion USD,16.912 Billion USD,13.861 Billion USD,alstom sa,"75,000","15,466 Million USD",industries
Bracken P. Darrell,switzerland,7.946 Billion USD,16.635 Billion USD,13.772 Billion USD,logitech international,"9,000","5,691 Million USD",technology
Michael Allison,switzerland,5.051 Billion USD,7.411 Billion USD,13.761 Billion USD,vat group ag,NULL,958 Million USD,industries
Andy Ransom,uk,10.983 Billion USD,12.922 Billion USD,13.741 Billion USD,rentokil initial,"44,500","3,869 Million USD",industries
Helena Stjernholm,sweden,10.820 Billion USD,14.257 Billion USD,13.700 Billion USD,ab industrivarden (publ),15,"2,820 Million USD",financial services
Augustin de Romanet,france,19.584 Billion USD,12.784 Billion USD,13.570 Billion USD,aeroports de paris sa,"22,448","3,060 Million USD",industries
Fredrik Lundberg,sweden,11.419 Billion USD,13.217 Billion USD,13.450 Billion USD,l e lundbergforetagen ab (publ),"3,287","2,607 Million USD",financial services
Denis Machuel,france,17.256 Billion USD,12.310 Billion USD,13.308 Billion USD,sodexo,"412,088","19,206 Million USD",industries
Paolo Rocca,luxembourg,13.626 Billion USD,9.618 Billion USD,13.234 Billion USD,tenaris,"19,399","6,521 Million USD",energy
Jette Nygaard-Andersen,uk,NULL,9.490 Billion USD,13.233 Billion USD,entain plc,NULL,"5,013 Million USD",casinos
Axel Wachtmeister,sweden,6.199 Billion USD,8.670 Billion USD,13.168 Billion USD,lifco ab (publ),"6,265","1,835 Million USD",industries
NULL,uk,NULL,NULL,13.132 Billion USD,wise plc,"2,243",658 Million USD,digital payment solution services
NULL,norway,11.273 Billion USD,10.855 Billion USD,13.126 Billion USD,yara international asa,"16,818","16,617 Million USD",basic materials
NULL,switzerland,12.062 Billion USD,13.187 Billion USD,13.023 Billion USD,barry callebaut ag,"12,783","7,661 Million USD",consumer defensive
NULL,netherlands,12.764 Billion USD,12.728 Billion USD,13.014 Billion USD,kpn,"10,102","5,792 Million USD",communication services
NULL,switzerland,12.237 Billion USD,11.842 Billion USD,12.999 Billion USD,coca-cola hbc ag,"26,000","7,899 Million USD",consumer defensive
NULL,germany,13.721 Billion USD,13.693 Billion USD,12.896 Billion USD,traton se,"82,600","30,611 Million USD",industries
NULL,sweden,7.612 Billion USD,12.209 Billion USD,12.777 Billion USD,svenska cellulosa aktiebolaget sca (publ),"4,253","1,976 Million USD",basic materials
NULL,netherlands,11.262 Billion USD,12.085 Billion USD,12.763 Billion USD,randstad,"34,680","27,148 Million USD",industries
NULL,sweden,8.904 Billion USD,12.323 Billion USD,12.748 Billion USD,swedish match ab (publ),"6,735","1,941 Million USD",consumer defensive
NULL,sweden,8.767 Billion USD,9.338 Billion USD,12.743 Billion USD,fastighets ab balder (publ),784,940 Million USD,real estate
NULL,italy,8.649 Billion USD,11.362 Billion USD,12.714 Billion USD,recordati industria chimica e farmaceutica,"4,362","1,580 Million USD",healthcare
NULL,uk,9.391 Billion USD,11.258 Billion USD,12.678 Billion USD,bunzl,"19,853","13,463 Million USD",consumer defensive
NULL,germany,8.780 Billion USD,11.905 Billion USD,12.615 Billion USD,covestro ag,"17,883","17,525 Million USD",basic materials
NULL,uk,14.230 Billion USD,12.079 Billion USD,12.609 Billion USD,schroders,"5,500","3,873 Million USD",financial services
NULL,finland,6.854 Billion USD,10.220 Billion USD,12.580 Billion USD,kesko oyj,"17,650","12,453 Million USD",consumer defensive
NULL,uk,12.537 Billion USD,11.675 Billion USD,12.579 Billion USD,intercontinental hotels group,"350,000","2,907 Million USD",consumer cyclical
NULL,uk,9.809 Billion USD,12.584 Billion USD,12.576 Billion USD,aveva group,"6,250","1,396 Million USD",technology
NULL,uk,8.891 Billion USD,11.790 Billion USD,12.546 Billion USD,admiral group,"11,445","2,029 Million USD",financial services
NULL,uk,11.288 Billion USD,11.417 Billion USD,12.465 Billion USD,mondi,"26,000","8,511 Million USD",basic materials
NULL,belgium,12.149 Billion USD,12.322 Billion USD,12.455 Billion USD,solvay sa,NULL,"12,601 Million USD",basic materials
NULL,belgium,11.853 Billion USD,12.199 Billion USD,12.455 Billion USD,umicore sa,NULL,"26,508 Million USD",industries
NULL,germany,12.576 Billion USD,9.777 Billion USD,12.435 Billion USD,talanx ag,"23,527","43,116 Million USD",financial services
NULL,uk,12.384 Billion USD,12.464 Billion USD,12.318 Billion USD,intertek group,"43,800","3,647 Million USD",industries
NULL,germany,8.007 Billion USD,8.495 Billion USD,12.312 Billion USD,nemetschek se,"3,300",681 Million USD,technology
NULL,uk,8.254 Billion USD,8.328 Billion USD,12.264 Billion USD,st. james's place,"2,014","23,498 Million USD",financial services
NULL,norway,13.404 Billion USD,11.447 Billion USD,12.256 Billion USD,mowi asa,"11,684","4,631 Million USD",consumer defensive
NULL,uk,7.310 Billion USD,9.396 Billion USD,12.136 Billion USD,evraz,"69,619","13,486 Million USD",basic materials
NULL,uk,11.430 Billion USD,12.068 Billion USD,12.121 Billion USD,persimmon,"5,000","4,725 Million USD",consumer cyclical
NULL,france,12.624 Billion USD,13.896 Billion USD,12.103 Billion USD,edenred sa,"10,000","1,793 Million USD",financial services
NULL,norway,10.427 Billion USD,11.092 Billion USD,12.078 Billion USD,gjensidige forsikring asa,"3,700","3,661 Million USD",financial services
NULL,denmark,7.678 Billion USD,9.507 Billion USD,12.074 Billion USD,demant a/s,"15,000","2,726 Million USD",healthcare
NULL,sweden,9.720 Billion USD,9.997 Billion USD,11.908 Billion USD,ica gruppen ab (publ),"24,043","15,154 Million USD",consumer defensive
NULL,denmark,4.154 Billion USD,11.142 Billion USD,11.812 Billion USD,pandora a/s,"22,236","3,462 Million USD",consumer cyclical
NULL,germany,3.573 Billion USD,13.444 Billion USD,11.707 Billion USD,hellofresh se,"4,477","6,604 Million USD",consumer cyclical
NULL,norway,11.808 Billion USD,8.956 Billion USD,11.615 Billion USD,aker bp asa,"1,742","5,639 Million USD",energy
NULL,sweden,9.647 Billion USD,11.756 Billion USD,11.604 Billion USD,ab skf (publ),"42,602","8,582 Million USD",industries
NULL,germany,15.006 Billion USD,13.784 Billion USD,11.584 Billion USD,mtu aero engines ag,"10,313","4,187 Million USD",industries
NULL,switzerland,11.799 Billion USD,9.740 Billion USD,11.546 Billion USD,vifor pharma ag,"2,384","1,865 Million USD",healthcare
NULL,germany,7.677 Billion USD,12.089 Billion USD,11.462 Billion USD,qiagen,"5,610","2,251 Million USD",healthcare
NULL,uk,10.715 Billion USD,8.723 Billion USD,11.445 Billion USD,sage group,"11,785","2,416 Million USD",technology
NULL,uk,NULL,NULL,11.390 Billion USD,allfunds group plc,NULL,"3,142 Million USD",financial services
NULL,russia,9.515 Billion USD,9.662 Billion USD,11.361 Billion USD,alrosa,"32,475","2,988 Million USD",basic materials
NULL,ireland,11.576 Billion USD,10.711 Billion USD,11.358 Billion USD,allegion,"11,000","2,867 Million USD",industries
NULL,netherlands,4.614 Billion USD,7.220 Billion USD,11.329 Billion USD,imcd,"3,049","3,785 Million USD",basic materials
NULL,netherlands,1.390 Billion USD,0.925 Billion USD,11.322 Billion USD,eurocommercial properties,NULL,237 Million USD,real estate
NULL,france,14.132 Billion USD,12.644 Billion USD,11.287 Billion USD,renault sa,"179,565","50,927 Million USD",consumer cyclical
NULL,france,6.152 Billion USD,9.316 Billion USD,11.237 Billion USD,remy cointreau sa,"1,832","1,312 Million USD",consumer defensive
NULL,germany,8.338 Billion USD,8.019 Billion USD,11.192 Billion USD,commerzbank ag,"46,724",0 Million USD,financial services
NULL,netherlands,9.269 Billion USD,8.071 Billion USD,11.152 Billion USD,aegon,"22,322","46,124 Million USD",financial services
NULL,italy,6.432 Billion USD,9.304 Billion USD,11.131 Billion USD,amplifon spa,"11,265","2,147 Million USD",healthcare
NULL,uk,14.483 Billion USD,11.277 Billion USD,11.092 Billion USD,informa plc,"11,000","2,354 Million USD",communication services
NULL,germany,9.246 Billion USD,10.543 Billion USD,11.071 Billion USD,rational ag,"2,216",779 Million USD,industries
NULL,spain,21.151 Billion USD,17.417 Billion USD,11.020 Billion USD,grifols,"23,668","5,436 Million USD",healthcare
NULL,sweden,2.426 Billion USD,5.264 Billion USD,11.009 Billion USD,samhallsbyggnadsbolaget i norden ab (publ),NULL,623 Million USD,real estate
NULL,spain,10.940 Billion USD,11.005 Billion USD,10.989 Billion USD,red electrica corporacion,"2,051","2,151 Million USD",utilities
NULL,sweden,4.504 Billion USD,7.750 Billion USD,10.980 Billion USD,indutrade ab (publ),"7,000","2,280 Million USD",industries
NULL,italy,5.841 Billion USD,11.611 Billion USD,10.961 Billion USD,infrastrutture wireless italiane,NULL,865 Million USD,communication services
NULL,france,8.067 Billion USD,8.735 Billion USD,10.936 Billion USD,arkema,"19,794","10,490 Million USD",basic materials
NULL,uk,3.423 Billion USD,21.687 Billion USD,10.907 Billion USD,farfetch,"5,441","2,256 Million USD",consumer cyclical
NULL,uk,16.830 Billion USD,10.852 Billion USD,10.857 Billion USD,international consolidated airlines group,"64,734","9,312 Million USD",industries
NULL,sweden,5.627 Billion USD,6.329 Billion USD,10.831 Billion USD,getinge ab,"10,818","2,840 Million USD",healthcare
NULL,italy,13.134 Billion USD,10.082 Billion USD,10.821 Billion USD,telecom italia,"52,347","15,311 Million USD",communication services
NULL,sweden,2.547 Billion USD,10.056 Billion USD,10.813 Billion USD,embracer group ab (publ),"5,500","1,606 Million USD",communication services
NULL,italy,7.447 Billion USD,9.934 Billion USD,10.812 Billion USD,finecobank banca fineco,"1,225",0 Million USD,financial services
NULL,netherlands,7.952 Billion USD,16.734 Billion USD,10.712 Billion USD,just eat takeaway.com,"5,423","4,953 Million USD",retail
NULL,germany,10.112 Billion USD,10.510 Billion USD,10.661 Billion USD,kabel deutschland holding ag,"4,081","2,630 Million USD",communication services
NULL,sweden,10.233 Billion USD,10.454 Billion USD,10.603 Billion USD,skanska ab (publ),"31,517","15,106 Million USD",industries
NULL,belgium,11.242 Billion USD,9.922 Billion USD,10.560 Billion USD,ageas sa/nv,"10,045","13,033 Million USD",financial services
NULL,sweden,9.849 Billion USD,7.646 Billion USD,10.560 Billion USD,lundin energy ab (publ),NULL,0 Million USD,energy
NULL,russia,7.500 Billion USD,8.501 Billion USD,10.489 Billion USD,magnitogorsk iron & steel works (mmk),"17,887","11,869 Million USD",basic materials
NULL,denmark,10.505 Billion USD,13.537 Billion USD,10.437 Billion USD,chr. hansen holding a/s,"3,700","1,187 Million USD",basic materials
NULL,sweden,5.270 Billion USD,6.993 Billion USD,10.390 Billion USD,ab sagax (publ),77,326 Million USD,real estate
NULL,france,22.188 Billion USD,10.890 Billion USD,10.389 Billion USD,unibail-rodamco-westfield,"3,495","2,776 Million USD",real estate
NULL,netherlands,5.800 Billion USD,7.660 Billion USD,10.375 Billion USD,euronext,"1,400","1,430 Million USD",financial services
NULL,uk,10.007 Billion USD,9.298 Billion USD,10.253 Billion USD,barratt developments,"6,655","5,667 Million USD",consumer cyclical
NULL,spain,5.686 Billion USD,7.751 Billion USD,10.238 Billion USD,acciona,"38,967","8,931 Million USD",industries
NULL,switzerland,NULL,NULL,10.215 Billion USD,on holding ag,883,768 Million USD,NULL
NULL,france,13.215 Billion USD,11.313 Billion USD,10.197 Billion USD,gecina sa,504,676 Million USD,real estate
NULL,italy,9.741 Billion USD,7.902 Billion USD,10.176 Billion USD,mediobanca banca di credito finanziario,NULL,"2,584 Million USD",financial services
NULL,belgium,3.777 Billion USD,4.398 Billion USD,10.153 Billion USD,d'ieteren sa,NULL,"3,703 Million USD",consumer cyclical
NULL,germany,8.208 Billion USD,11.156 Billion USD,10.144 Billion USD,leg immobilien ag,"1,400","1,058 Million USD",real estate
NULL,sweden,10.770 Billion USD,9.047 Billion USD,10.059 Billion USD,tele2 ab (publ),"9,000","2,813 Million USD",communication services
NULL,austria,8.477 Billion USD,6.674 Billion USD,10.044 Billion USD,raiffeisen bank international ag,NULL,0 Million USD,financial services
NULL,uk,15.334 Billion USD,11.828 Billion USD,10.033 Billion USD,melrose industries,"55,621","9,010 Million USD",industries
NULL,norway,4.763 Billion USD,7.177 Billion USD,9.995 Billion USD,tomra systems asa,"4,530","1,222 Million USD",industries
NULL,uk,8.667 Billion USD,8.297 Billion USD,9.970 Billion USD,sensata technologies holding,"19,200","3,820 Million USD",technology
NULL,uk,8.876 Billion USD,8.317 Billion USD,9.912 Billion USD,united utilities group,"5,354","2,193 Million USD",utilities
NULL,uk,8.046 Billion USD,7.477 Billion USD,9.908 Billion USD,severn trent,"6,800","2,289 Million USD",utilities
NULL,italy,6.393 Billion USD,9.324 Billion USD,9.903 Billion USD,prysmian,"28,000","14,035 Million USD",industries
NULL,france,11.262 Billion USD,9.527 Billion USD,9.902 Billion USD,eiffage sa,"72,500","21,155 Million USD",industries
NULL,russia,5.080 Billion USD,5.468 Billion USD,9.857 Billion USD,pjsc phosagro,NULL,"3,784 Million USD",basic materials
