,name,rank,marketcap,country,share_price,change1d,change1y,categories
1260,Chiba Bank,2271,$5.52 B,japan,$37.38,0.00%,26.93%,banks financial-services 
1261,Novanta,2283,$5.46 B,usa,$153.13,1.19%,-1.39%,manufacturing scientific-and-technical-instruments 
1262,"Apartment Income REIT
",2278,$5.48 B,usa,$36.60,0.11%,-32.84%,reit real-estate investment 
1263,ACC,2282,$5.46 B,india,$29.11,0.81%,-8.97%,cement building-materials 
1264,City Developments,2279,$5.48 B,singapore,$6.05,0.76%,15.02%,real-estate 
1265,monday.com,2273,$5.50 B,israel,$125.89,1.88%,-41.62%,tech software 
1266,FAW Car,2277,$5.49 B,china,$1.18,-0.38%,-26.71%,automakers manufacturing 
1267,Itochu Techno-Solutions,2275,$5.50 B,japan,$23.81,1.65%,-20.53%,None
1268,"Noble Corporation
",2270,$5.53 B,united-kingdom,$41.06,1.20%,57.22%,oil-gas energy 
1269,CCC Intelligent Solutions,2276,$5.49 B,usa,$8.85,1.26%,-14.08%,software tech 
1270,Zydus Lifesciences,2272,$5.52 B,india,$5.46,2.78%,-7.30%,pharmaceuticals biotech 
1271,"Phillips-Van Heusen
",2269,$5.53 B,usa,$87.34,0.92%,-14.96%,clothing 
1272,Quebecor,2274,$5.50 B,canada,$23.68,-0.63%,-2.63%,media-press telecommunication 
1273,Georg Fischer,2284,$5.46 B,switzerland,$66.76,0.73%,-16.42%,manufacturing 
1274,KnowBe4,2267,$5.54 B,usa,$24.84,0.00%,18.34%,it-security tech software 
1275,"National Fuel Gas
",2264,$5.56 B,usa,$60.78,0.63%,-4.99%,None
1276,Clearwater Analytics,2259,$5.58 B,usa,$18.91,0.59%,11.30%,software tech 
1277,Ebos Group,2255,$5.60 B,new-zealand,$29.40,-0.58%,7.14%,healthcare 
1278,"Post Holdings
",2261,$5.56 B,usa,$94.75,-0.20%,-19.57%,food 
1279,"Synovus
",2256,$5.60 B,usa,$38.50,-1.13%,-28.25%,None
1280,Chongqing Rural Commercial Bank,2266,$5.54 B,china,$0.35,0.36%,-5.41%,banks financial-services 
1281,"Acuity Brands
",2254,$5.60 B,usa,$174.97,0.86%,-15.29%,professional-services 
1282,Clariant,2265,$5.54 B,switzerland,$16.86,0.84%,-21.62%,chemicals 
1283,"Primerica
",2258,$5.58 B,usa,$151.30,-0.30%,-3.62%,None
1284,Procter & Gamble India,2268,$5.53 B,india,$170.64,-0.26%,-20.16%,consumer-goods 
1285,"Page Industries
",2260,$5.57 B,india,$499.99,0.88%,-16.34%,clothing manufacturing 
1286,TIM S.A.,2253,$5.60 B,brazil,$11.59,0.40%,1.99%,telecommunication 
1287,Medibank,2262,$5.56 B,australia,$2.02,0.69%,-19.84%,healthcare insurance 
1288,Selective Insurance,2263,$5.56 B,usa,$92.26,-0.20%,16.66%,None
1289,FTI Consulting,2257,$5.59 B,usa,$162.59,-0.43%,7.46%,professional-services 
1290,Zurich Airport,2248,$5.61 B,switzerland,$183.02,4.82%,-6.02%,airports infrastructure 
1291,Carsales,2252,$5.61 B,australia,$15.97,0.75%,-4.83%,used-car-retailer internet car-retail tech 
1292,"Kajima
",2241,$5.64 B,japan,$11.52,1.29%,-5.19%,construction 
1293,"“K” Line
",2244,$5.63 B,japan,$21.50,3.66%,-68.57%,transportation container-shipping maritime-transportation 
1294,Gildan,2247,$5.62 B,canada,$31.30,0.58%,-23.13%,clothing manufacturing 
1295,Valley Bank,2250,$5.61 B,usa,$11.08,-1.20%,-26.20%,None
1296,ALD Automotive,2251,$5.61 B,france,$12.71,1.21%,-22.12%,None
1297,Barratt Developments,2249,$5.61 B,united-kingdom,$5.64,0.79%,-39.22%,construction 
1298,"Pinnacle Financial Partners
",2246,$5.63 B,usa,$73.64,-2.73%,-33.30%,None
1299,"Falabella
",2245,$5.63 B,chile,$2.25,-1.09%,-30.56%,retail 
1300,Persimmon,2239,$5.65 B,united-kingdom,$17.70,1.47%,-49.79%,construction 
1301,Groupe SEB,2242,$5.63 B,france,$102.41,-0.68%,-31.33%,None
1302,"Timken Company
",2238,$5.65 B,usa,$77.70,0.63%,5.16%,None
1303,Prometheus Biosciences,2243,$5.63 B,usa,$121.22,1.86%,243.49%,biotech pharmaceuticals 
1304,Tomra,2240,$5.64 B,norway,$19.13,1.63%,-67.37%,None
1305,Valaris,2237,$5.66 B,united-kingdom,$75.30,1.06%,84.97%,oil-gas energy 
1306,Yamato Holdings,2235,$5.67 B,japan,$16.02,1.37%,-24.79%,transportation delivery-services 
1307,New York Times,2233,$5.67 B,usa,$34.33,0.70%,-20.24%,media-press 
1308,GarantiBank,2236,$5.66 B,turkey,$1.35,-0.24%,51.69%,banks financial-services 
1309,HashiCorp,2234,$5.67 B,usa,$30.19,2.51%,-54.73%,software tech 
1310,Trex,2232,$5.68 B,usa,$51.76,1.93%,-51.60%,None
1311,Mitsubishi Motors,2229,$5.69 B,japan,$3.82,4.22%,29.49%,automakers manufacturing 
1312,"Ionis Pharmaceuticals
",2231,$5.68 B,usa,$40.02,0.57%,20.99%,pharmaceuticals biotech 
1313,SAIC,2228,$5.69 B,usa,$104.19,-1.04%,17.00%,engineering it-services professional-services 
1314,Nomura Real Estate Master Fund,2230,$5.68 B,japan,"$1,206",1.83%,-12.19%,real-estate investment reit 
1315,R1 RCM,2227,$5.69 B,usa,$13.67,4.03%,-32.06%,professional-services 
1316,Yancoal,2226,$5.69 B,australia,$4.31,1.98%,99.54%,mining coal-mining energy 
1317,"EXL Service
",2223,$5.70 B,usa,$172.59,0.13%,33.05%,professional-services 
1318,Pegatron,2225,$5.69 B,taiwan,$2.14,0.31%,-14.74%,electronics manufacturing 
1319,Lumen,2220,$5.71 B,usa,$5.52,-1.25%,-55.27%,tech telecommunication 
1320,"PBF Energy
",2222,$5.70 B,usa,$40.94,1.89%,125.56%,oil-gas energy 
1321,"Smartsheet
",2224,$5.70 B,usa,$43.44,0.25%,-30.72%,software tech 
1322,"Wärtsilä
",2214,$5.71 B,finland,$9.69,0.95%,-32.94%,machinery-manufacturing manufacturing 
1323,Chart Industries,2218,$5.71 B,usa,$134.24,2.98%,0.54%,None
1324,QuidelOrtho,2219,$5.71 B,usa,$86.50,2.91%,-24.70%,healthcare diagnostics manufacturing 
1325,Far Eastern New Century,2215,$5.71 B,taiwan,$1.07,-0.31%,0.94%,manufacturing 
1326,"TMX Group
",2212,$5.74 B,canada,$103.27,0.66%,1.42%,stock-exchanges financial-services exchanges 
1327,"Columbia Sportswear
",2213,$5.72 B,usa,$92.20,0.83%,1.02%,sports clothing 
1328,Voestalpine,2216,$5.71 B,None,$31.76,-0.14%,-18.81%,steel-industry 
1329,"Investec
",2221,$5.71 B,united-kingdom,$6.48,-0.93%,-9.24%,financial-services 
1330,PSP Swiss Property,2217,$5.71 B,switzerland,$124.57,0.17%,1.99%,real-estate 
1331,"Silgan Holdings
",2211,$5.74 B,usa,$52.18,-0.38%,21.41%,None
1332,Abbott India,2210,$5.74 B,india,$270.30,1.30%,14.78%,pharmaceuticals biotech 
1333,Yageo,2209,$5.74 B,taiwan,$17.14,1.17%,-5.77%,electronics manufacturing 
1334,Silergy,2000,$6.61 B,china,$17.37,1.35%,-87.59%,semiconductors tech tech-hardware 
1335,"Vertiv Holdings
",2207,$5.75 B,usa,$15.25,1.94%,-34.52%,None
1336,"Square Enix
",2205,$5.75 B,japan,$48.15,2.30%,0.44%,video-games entertainment 
1337,"Holmen
",1999,$6.61 B,sweden,$41.30,0.99%,-14.65%,pulp-and-paper 
1338,"Rightmove
",2208,$5.74 B,united-kingdom,$6.84,2.44%,-24.59%,internet 
1339,Koei Tecmo,2204,$5.75 B,japan,$18.29,1.94%,-50.29%,video-games entertainment 
1340,Grupo Simec,2206,$5.75 B,mexico,$32.42,0.00%,23.27%,None
1341,World Wrestling Entertainment,1995,$6.64 B,usa,$89.36,-0.33%,68.07%,entertainment media-press 
1342,"Southwestern Energy
",1998,$6.61 B,usa,$6.00,-0.20%,21.67%,None
1343,Brunswick Corporation,2202,$5.76 B,usa,$79.48,0.15%,-19.82%,None
1344,Charoen Pokphand Indonesia,1997,$6.63 B,indonesia,$0.40,0.00%,-6.98%,food 
1345,PLDT,2203,$5.76 B,None,$26.32,1.82%,-29.76%,telecommunication 
1346,"Agree Realty
",1996,$6.63 B,usa,$74.65,-0.28%,9.52%,real-estate investment reit 
1347,nVent Electric,1992,$6.66 B,united-kingdom,$39.99,0.33%,8.11%,electricity energy 
1348,Hunter Douglas,1994,$6.65 B,netherlands,$191.23,0.00%,-2.45%,manufacturing furniture 
1349,"Murphy Oil
",1988,$6.68 B,usa,$42.98,2.09%,34.86%,None
1350,"Houlihan Lokey
",1989,$6.67 B,usa,$97.28,0.71%,-15.38%,None
1351,"Clean Harbors
",1987,$6.68 B,usa,$123.57,0.87%,28.01%,waste-recycling 
1352,Nemetschek,1991,$6.67 B,germany,$57.78,0.30%,-40.44%,software tech 
1353,"GameStop
",1993,$6.65 B,usa,$21.85,0.23%,-19.76%,video-games retail 
1354,Tempur Sealy,1990,$6.67 B,usa,$39.04,0.72%,-7.25%,None
1355,Daifuku,1986,$6.68 B,japan,$53.03,2.54%,-27.66%,None
1356,"TIS
",1982,$6.70 B,japan,$27.71,2.43%,0.40%,professional-services 
1357,"Japan Post Insurance
",1974,$6.74 B,japan,$17.44,-0.04%,-4.18%,insurance 
1358,PGNiG,1973,$6.74 B,poland,$1.13,0.00%,-24.16%,oil-gas energy 
1359,Swedish Orphan Biovitrum,1981,$6.71 B,sweden,$22.66,1.20%,12.12%,pharmaceuticals biotech 
1360,"Voya Financial
",1976,$6.73 B,usa,$69.30,0.68%,-6.97%,financial-services 
1361,MKS Instruments,1970,$6.75 B,usa,$101.59,1.74%,-43.78%,None
1362,National Marine Dredging,1980,$6.71 B,united-arab-emirates,$8.14,-0.20%,131.91%,None
1363,Nippon Sanso,1978,$6.72 B,japan,$15.53,2.87%,-28.23%,chemicals 
1364,On Holding,1971,$6.75 B,switzerland,$21.37,0.05%,-23.76%,sports footwear 
1365,"Torrent Pharmaceuticals
",1975,$6.73 B,india,$19.91,2.02%,-53.59%,pharmaceuticals 
1366,BOK Financial,1985,$6.68 B,usa,$99.41,-1.32%,-14.53%,banks financial-services 
1367,"Trend Micro
",1977,$6.72 B,japan,$47.77,2.83%,-5.85%,software it-security tech 
1368,"Stifel
",1983,$6.70 B,usa,$63.10,0.00%,-14.42%,None
1369,Samsara,1984,$6.69 B,usa,$12.90,2.38%,-43.69%,iot tech tech-hardware software 
1370,"U.S. Steel
",1979,$6.72 B,usa,$28.68,2.05%,12.98%,steel-producers steel-industry 
1371,UPL,1967,$6.76 B,india,$9.01,1.83%,-18.76%,chemicals 
1372,Amplifon,1969,$6.75 B,italy,$29.49,-1.27%,-36.77%,medical-devices 
1373,Assurant,1972,$6.75 B,usa,$127.78,-0.17%,-17.50%,insurance 
1374,"MinebeaMitsumi
",1966,$6.76 B,japan,$16.66,3.26%,-37.46%,None
1375,"DXC Technology
",1968,$6.76 B,usa,$29.40,1.01%,-13.52%,it-services professional-services 
1376,"Texas Roadhouse
",1963,$6.77 B,usa,$101.22,0.88%,15.96%,restaurant-chains food 
1377,Industrial Bank of Korea (IBK),1964,$6.76 B,south-korea,$8.49,0.48%,-5.25%,banks financial-services 
1378,Gentex,1965,$6.76 B,usa,$28.84,1.53%,-19.04%,None
1379,"Prosperity Bancshares
",1962,$6.78 B,usa,$74.32,-0.19%,-6.57%,None
1380,"Hero MotoCorp
",1960,$6.81 B,india,$34.09,0.11%,-6.14%,motorcycle-manufacturers manufacturing 
1381,RBC Bearings,1961,$6.78 B,usa,$233.98,0.97%,16.54%,None
1382,CACI,1959,$6.81 B,usa,$288.30,-1.05%,3.62%,None
1383,Swiss Prime Site,1947,$6.84 B,switzerland,$89.30,-1.90%,-8.09%,real-estate 
1384,Capcom,1951,$6.83 B,japan,$32.09,1.72%,48.15%,video-games 
1385,Ingredion,1956,$6.83 B,usa,$104.20,-0.23%,3.16%,food 
1386,Atlas Arteria,1950,$6.84 B,australia,$4.72,-2.03%,-3.08%,infrastructure toll-road-operators 
1387,Wan Hai Lines,1958,$6.82 B,taiwan,$2.43,-0.14%,-59.70%,transportation maritime-transportation container-shipping 
1388,Bachem,1955,$6.83 B,switzerland,$92.64,0.47%,-24.08%,chemicals pharmaceuticals biotech 
1389,Union Bank of India,1953,$6.83 B,india,$1.00,-0.25%,63.93%,banks financial-services 
1390,"Omega Healthcare
",1948,$6.84 B,usa,$28.42,0.28%,-10.15%,None
1391,"Norwegian Cruise Line
",1946,$6.85 B,usa,$16.27,1.69%,-29.14%,cruise-lines travel 
1392,"Daiwa Securities Group
",1952,$6.83 B,japan,$4.71,0.16%,-23.79%,investment banks financial-services 
1393,"ASR Nederland
",1954,$6.83 B,netherlands,$45.54,0.41%,-6.79%,None
1394,"Rexel
",1949,$6.84 B,france,$22.52,0.34%,-6.87%,None
1395,37 Interactive Entertainment,1957,$6.82 B,china,$3.08,4.73%,-30.00%,video-games entertainment 
1396,"Brixmor Property Group
",1943,$6.87 B,usa,$22.91,0.39%,-13.61%,None
1397,Canadian Tire,1944,$6.86 B,canada,$209.94,-3.07%,-18.74%,retail 
1398,Graphic Packaging,1945,$6.85 B,usa,$22.32,0.43%,14.55%,None
1399,"Clearway Energy
",1939,$6.87 B,usa,$34.80,1.09%,5.57%,None
1400,Karuna Therapeutics,1941,$6.87 B,usa,$200.05,0.39%,60.72%,pharmaceuticals 
1401,"Berger Paints
",1942,$6.87 B,india,$7.07,1.25%,-32.21%,paint-and-coating 
1402,"National Instruments
",1940,$6.87 B,usa,$52.65,1.17%,26.20%,None
1403,New Oriental,1938,$6.88 B,china,$40.50,7.91%,"2,137.57%",education 
1404,"Oak Street Health
",1937,$6.88 B,usa,$28.36,2.60%,28.91%,healthcare 
1405,CAE,1932,$6.91 B,canada,$21.76,1.40%,-17.58%,None
1406,Centrica,1923,$6.98 B,united-kingdom,$1.20,0.72%,18.81%,energy oil-gas utility-companies 
1407,"Ascendis Pharma
",1928,$6.93 B,denmark,$121.63,1.65%,-1.08%,pharmaceuticals 
1408,"Nexstar Media Group
",1930,$6.92 B,usa,$183.64,0.11%,8.02%,None
1409,Roivant Sciences,1935,$6.90 B,united-kingdom,$9.52,1.28%,37.18%,biotech pharmaceuticals 
1410,Halozyme Therapeutics,1927,$6.95 B,usa,$51.46,0.85%,44.70%,pharmaceuticals biotech 
1411,"Sensata Technologies
",1925,$6.97 B,usa,$45.62,1.74%,-28.20%,None
1412,Rumo,1934,$6.90 B,brazil,$3.73,2.32%,26.44%,railways 
1413,Frontier Communications,1926,$6.97 B,usa,$28.46,-0.04%,-5.73%,telecommunication 
1414,"KGHM Polska Miedź
",1929,$6.92 B,poland,$34.16,0.00%,-10.27%,mining 
1415,OTE Group,1936,$6.90 B,None,$15.75,0.35%,-18.22%,telecommunication 
1416,Mindtree,1924,$6.98 B,india,$42.37,0.26%,-30.15%,professional-services 
1417,"Banca Mediolanum
",1931,$6.91 B,italy,$9.37,0.51%,-9.47%,banks financial-services 
1418,"KBR
",1933,$6.91 B,usa,$50.38,-0.45%,5.29%,engineering 
1419,GMO Payment Gateway,1922,$6.99 B,japan,$92.20,4.29%,-2.05%,financial-services 
1420,Novatek Microelectronics,1921,$6.99 B,taiwan,$11.49,0.87%,-36.83%,semiconductors tech tech-hardware 
1421,First Industrial Realty Trust,1919,$6.99 B,usa,$51.73,0.90%,-17.11%,None
1422,Şişecam,1912,$7.03 B,turkey,$2.30,-1.42%,107.21%,None
1423,Copenhagen Airport,1909,$7.05 B,denmark,$881.85,0.74%,-10.34%,airports infrastructure 
1424,"WESCO International
",1913,$7.03 B,usa,$138.32,1.47%,3.03%,None
1425,Bid Corp,1910,$7.05 B,south-africa,$21.11,1.79%,9.95%,food 
1426,EastGroup Properties,1917,$6.99 B,usa,$160.63,0.87%,-22.59%,None
1427,Demant,1915,$7.00 B,denmark,$29.34,-0.26%,-37.67%,medical-devices 
1428,Cholamandalam Investment and Finance,1916,$7.00 B,india,$8.52,1.57%,5.45%,investment financial-services 
1429,Kakao Pay,1918,$6.99 B,south-korea,$52.62,-1.96%,-55.15%,financial-services tech internet 
1430,"Cathay Pacific
",1914,$7.00 B,hong-kong,$1.09,0.95%,32.93%,airlines travel transportation 
1431,Klépierre,1920,$6.99 B,france,$24.50,0.94%,-3.96%,real-estate 
1432,"Sainsbury's
",1911,$7.04 B,united-kingdom,$2.97,-0.43%,-25.75%,retail supermarkets 
1433,Futu Holdings,1908,$7.07 B,hong-kong,$50.37,-0.40%,10.67%,financial-services tech 
1434,"Mattel
",1906,$7.07 B,usa,$19.96,0.38%,-10.64%,None
1435,Reece Group,1905,$7.08 B,australia,$10.96,-0.63%,-36.87%,retail home-and-kitchen-appliances 
1436,"Northland Power
",1907,$7.07 B,canada,$28.82,-0.41%,1.62%,energy renewable-energy electricity 
1437,GlobalWafers,1903,$7.08 B,taiwan,$16.28,-0.10%,-46.69%,semiconductors tech tech-hardware 
1438,Korean Air Lines,1904,$7.08 B,south-korea,$25.06,-0.96%,-17.13%,airlines travel transportation 
1439,"Canara Bank
",1902,$7.08 B,india,$3.91,-0.69%,27.78%,banks financial-services 
1440,CG Power and Industrial Solutions,2195,$5.79 B,india,$3.80,0.88%,52.00%,conglomerate manufacturing machinery-manufacturing 
1441,"Yamana Gold
",2190,$5.81 B,canada,$6.05,1.17%,47.20%,mining gold-mining silver-mining 
1442,"Guidewire Software
",2197,$5.78 B,usa,$70.60,1.57%,-31.89%,None
1443,Hertz,2194,$5.79 B,usa,$17.36,3.37%,-27.69%,car-rental 
1444,"Seven Group Holdings
(SGH)",2193,$5.79 B,australia,$15.96,1.73%,5.00%,investment 
1445,"Valmet
",2189,$5.82 B,finland,$31.60,1.82%,-18.64%,pulp-and-paper machinery-manufacturing manufacturing 
1446,Stantec,2198,$5.77 B,canada,$52.17,0.97%,-3.16%,None
1447,Cemig,2191,$5.81 B,brazil,$2.27,1.34%,-3.40%,electricity energy 
1448,Apellis Pharmaceuticals,2188,$5.82 B,usa,$52.67,1.27%,30.50%,None
1449,Worley,2199,$5.77 B,australia,$10.98,1.87%,29.18%,engineering energy 
1450,"Kosé
",2192,$5.79 B,japan,$101.65,2.58%,6.21%,cosmetics 
1451,"BE Semiconductor
",2200,$5.77 B,netherlands,$72.33,2.94%,-28.19%,semiconductors tech 
1452,IDP Education,2196,$5.79 B,australia,$20.82,-0.73%,-10.53%,education 
1453,"Telecom Italia
",2184,$5.83 B,italy,$0.28,-0.31%,-44.00%,None
1454,"Element Fleet Management
",2186,$5.83 B,canada,$14.85,2.37%,39.70%,None
1455,The Weir Group,2183,$5.83 B,united-kingdom,$22.47,0.16%,-11.50%,engineering 
1456,Tecan,2187,$5.82 B,switzerland,$444.56,5.31%,-10.37%,None
1457,"TechnipFMC
",2182,$5.83 B,united-kingdom,$13.08,1.16%,85.53%,oil-gas energy 
1458,Bank Pekao (Bank Polska Kasa Opieki),2181,$5.84 B,poland,$22.26,-1.49%,-33.97%,banks financial-services 
1459,"Charoen Pokphand Foods
",2185,$5.83 B,thailand,$0.74,-0.41%,-7.50%,food 
1460,MOL Group,2180,$5.84 B,None,$7.32,-0.37%,-14.39%,oil-gas energy 
1461,"Envista
",2168,$5.87 B,usa,$36.04,0.94%,-22.19%,None
1462,Endeavour Mining,2178,$5.84 B,united-kingdom,$23.79,0.35%,8.09%,mining gold-mining 
1463,Asset World Corp,2174,$5.85 B,thailand,$0.18,0.84%,28.57%,real-estate 
1464,"Flowers Foods
",2172,$5.86 B,usa,$27.76,-0.82%,-4.51%,food 
1465,Chord Energy,2176,$5.85 B,usa,$140.68,2.82%,3.83%,oil-gas energy 
1466,"Banco Sabadell
",2177,$5.84 B,spain,$1.04,-0.67%,33.33%,banks financial-services 
1467,Melco Resorts & Entertainment,2166,$5.87 B,hong-kong,$13.21,0.99%,19.01%,gambling hotels entertainment travel 
1468,Mapletree Logistics Trust,2175,$5.85 B,singapore,$1.22,0.00%,-6.87%,real-estate investment reit 
1469,Equatorial Energia,2170,$5.86 B,brazil,$5.33,1.34%,32.26%,electricity utility-companies energy 
1470,Marriott Vacations Worldwide,2167,$5.87 B,usa,$153.39,0.87%,-9.64%,None
1471,TVS Motor,2173,$5.85 B,india,$12.33,1.56%,39.48%,motorcycle-manufacturers 
1472,"Indus Towers
",2169,$5.87 B,india,$2.18,0.63%,-40.27%,telecommunication 
1473,"BOC Aviation
",2171,$5.86 B,singapore,$8.45,-1.35%,0.12%,aircraft-leasing rental-and-leasing-services 
1474,Permian Resources,2179,$5.84 B,usa,$10.48,3.76%,44.55%,oil-gas energy 
1475,Tenet Healthcare,2165,$5.88 B,usa,$54.44,2.62%,-32.82%,None
1476,Sonoco,2164,$5.88 B,usa,$60.38,-0.08%,3.16%,None
1477,"GPT Group
",2162,$5.89 B,australia,$3.08,-0.23%,-21.03%,real-estate investment reit 
1478,Emperador Brandy,2163,$5.89 B,None,$0.37,0.00%,None,alcoholic-beverages beverages 
1479,Info Edge,2151,$5.96 B,india,$46.14,0.51%,-39.28%,internet 
1480,HK Electric Investments,2148,$5.97 B,hong-kong,$0.68,0.57%,-31.31%,investment electricity energy 
1481,HYBE,2147,$5.98 B,south-korea,$144.68,1.13%,-38.56%,entertainment 
1482,Embracer Group,2153,$5.95 B,sweden,$4.51,6.70%,-53.41%,video-games tech entertainment 
1483,Dexus,2158,$5.91 B,australia,$5.50,-1.38%,-29.76%,real-estate investment reit 
1484,"H&R Block
",2149,$5.96 B,usa,$38.38,0.58%,73.67%,None
1485,"Huntsman Corporation
",2146,$5.98 B,usa,$31.15,1.58%,-18.59%,None
1486,South State Corp,2150,$5.96 B,usa,$78.77,-2.08%,-15.43%,banks financial-services 
1487,Spirit Realty Capital,2156,$5.92 B,usa,$42.44,-0.03%,-14.46%,None
1488,"Nanya Technology
",2161,$5.90 B,taiwan,$1.91,0.35%,-29.26%,tech tech-hardware semiconductors electronics 
1489,DS Smith,2155,$5.93 B,united-kingdom,$4.30,-0.20%,-20.52%,packaging 
1490,Telus International,2154,$5.94 B,canada,$22.51,0.90%,-23.31%,software tech 
1491,"Seek Limited
",2157,$5.92 B,australia,$16.69,1.01%,-22.59%,staffing-employment professional-services 
1492,M&G plc,2160,$5.90 B,united-kingdom,$2.51,-0.39%,-14.04%,investment 
1493,Hapvida,2159,$5.91 B,brazil,$0.83,2.17%,-56.32%,healthcare 
1494,Light & Wonder,2152,$5.95 B,usa,$63.61,0.95%,4.43%,gambling entertainment 
1495,Air Canada,2145,$5.98 B,canada,$16.71,1.50%,-9.58%,airlines travel transportation 
1496,Japan Real Estate Investment,2138,$6.01 B,japan,"$4,343",2.56%,-22.31%,real-estate investment 
1497,Axalta,2134,$6.04 B,usa,$27.41,1.48%,-16.28%,paint-and-coating 
1498,"Kinross Gold
",2144,$5.99 B,canada,$4.66,1.08%,-16.64%,mining 
1499,Coupa,2133,$6.05 B,usa,$79.46,0.08%,-42.60%,tech software 
1500,BlueScope Steel,2136,$6.02 B,australia,$12.99,0.81%,-14.60%,steel-producers steel-industry 
1501,"Dun & Bradstreet
",2143,$5.99 B,usa,$13.75,0.95%,-30.20%,financial-services 
1502,Raiffeisen Bank International,2139,$6.01 B,None,$18.30,0.48%,-37.16%,banks financial-services 
1503,Beijer Ref,2142,$5.99 B,sweden,$16.08,0.72%,-11.55%,None
1504,Bausch + Lomb,2135,$6.03 B,canada,$17.23,1.00%,None,glasses-and-contact-lenses 
1505,"Coherent
",2131,$6.05 B,usa,$43.64,2.71%,-83.19%,semiconductors tech tech-hardware 
1506,Axfood,2137,$6.02 B,sweden,$26.97,1.67%,-1.21%,retail 
1507,"Sumitomo Chemical
",2132,$6.05 B,japan,$3.70,0.42%,-28.02%,chemicals 
1508,"SiteOne Landscape Supply
",2130,$6.05 B,usa,$134.24,1.66%,-34.37%,None
1509,Dutch Bros,2140,$6.00 B,usa,$35.76,0.39%,-20.83%,beverages 
1510,"LEG Immobilien
",2141,$6.00 B,germany,$81.02,-0.05%,-38.66%,real-estate 
1511,TopBuild,2129,$6.06 B,usa,$189.57,1.86%,-19.24%,None
1512,Andritz,2127,$6.06 B,None,$61.14,0.27%,12.80%,engineering 
1513,CTP N.V.,2126,$6.06 B,netherlands,$13.66,0.80%,-34.95%,real-estate 
1514,Otsuka,2128,$6.06 B,japan,$31.97,1.47%,-27.34%,it-services professional-services 
1515,Valvoline,2118,$6.09 B,usa,$34.97,0.81%,-1.60%,chemicals 
1516,PI Industries,2124,$6.06 B,india,$40.00,-0.59%,6.41%,chemicals 
1517,Ashland,2125,$6.06 B,usa,$111.82,-0.03%,5.79%,None
1518,Rockwool,2120,$6.09 B,denmark,$281.82,1.09%,-28.52%,None
1519,BELIMO Holding,2123,$6.06 B,switzerland,$493.42,0.22%,-5.70%,None
1520,Lufax,2117,$6.10 B,china,$2.67,0.42%,-46.47%,software tech financial-services internet 
1521,Adecco Group,2121,$6.08 B,switzerland,$36.42,0.36%,-32.92%,staffing-employment professional-services 
1522,Getinge,2119,$6.09 B,sweden,$22.39,1.30%,-40.02%,medical-devices medical-equipment 
1523,Hulic,2115,$6.10 B,japan,$8.01,1.27%,-12.84%,real-estate 
1524,Elanco,2113,$6.11 B,usa,$12.89,0.47%,-52.31%,pharmaceuticals biotech 
1525,Crane Co.,2114,$6.10 B,usa,$108.80,0.37%,1.86%,None
1526,"Landstar System
",2116,$6.10 B,usa,$169.97,0.94%,1.62%,None
1527,"Murphy USA
",2122,$6.07 B,usa,$268.74,0.31%,39.74%,None
1528,"United Tractors
",2110,$6.12 B,indonesia,$1.61,2.78%,0.63%,mining coal-mining energy 
1529,Littelfuse,2105,$6.16 B,usa,$248.97,1.23%,-17.66%,None
1530,Kintetsu GHD,2112,$6.11 B,japan,$32.17,1.84%,12.44%,railways transportation 
1531,"HealthSouth
",2108,$6.13 B,usa,$61.49,0.54%,-6.64%,None
1532,Chang Hwa Commercial Bank,2106,$6.15 B,taiwan,$0.58,0.00%,-9.38%,banks financial-services 
1533,Komerční banka,2109,$6.12 B,None,$31.91,-2.46%,-29.88%,banks financial-services 
1534,Just Eat Takeaway,2102,$6.16 B,netherlands,$28.57,9.06%,-47.13%,internet tech food food-delivery 
1535,"Descartes Systems
",2107,$6.15 B,canada,$72.58,1.67%,3.13%,software tech 
1536,"Oshkosh Corporation
",2103,$6.16 B,usa,$94.33,0.33%,-24.01%,None
1537,First American,2111,$6.12 B,usa,$59.12,1.05%,-25.68%,None
1538,Mapfre,2089,$6.23 B,spain,$2.04,0.37%,-5.99%,financial-services insurance 
1539,Toho Co.,2088,$6.24 B,japan,$35.69,1.99%,-10.24%,entertainment 
1540,"RLI Corp.
",2090,$6.23 B,usa,$137.34,-0.03%,24.74%,insurance 
1541,"Universal Display Corporation
",2104,$6.16 B,usa,$130.56,2.77%,-20.53%,electronics 
1542,Nedbank,2087,$6.24 B,south-africa,$12.81,1.37%,16.24%,banks financial-services 
1543,Türkiye Is Bankasi,2086,$6.24 B,turkey,$0.60,-0.70%,114.29%,banks financial-services 
1544,"Taishin Financial Holdings
",2083,$6.24 B,taiwan,$0.52,0.00%,-29.73%,banks financial-services 
1545,"Pilgrim's Pride
",2085,$6.24 B,usa,$26.41,0.53%,-6.08%,None
1546,"Reynolds Consumer
",2084,$6.24 B,usa,$29.77,-0.73%,-7.14%,None
1547,Polaris,2076,$6.27 B,usa,$108.34,1.31%,-8.85%,automakers 
1548,"Sunrun
",2082,$6.25 B,usa,$29.34,3.67%,-7.76%,None
1549,Confluent,2075,$6.28 B,usa,$21.93,2.57%,-66.26%,software tech 
1550,Canadian Apartment Properties REIT,2081,$6.26 B,canada,$35.98,0.58%,-20.42%,real-estate investment reit 
