,name,valuation,dateJoined,country,city,industry,investors,founded,stage,totalRaised
185,Amount,$1B,5/17/2021,United States,Chicago,Fintech,"Invus Group, Hanaco Venture Capital, WestCap Group",2020,Unattributed VC,$223.2M
186,Augustinus Bader,$1B,11/9/2022,London,United Kingdom,Consumer & retail,General Atlantic,2017,Seed,$25M
187,Axtria,$1B,5/13/2021,United States,Berkeley Heights,Data management & analytics,"Helion Venture Partners, Bain Capital Tech Opportunities, Sequoia Capital India",2009,Series E,$206.32M
188,Firefly Aerospace,$1.1B,5/4/2021,United States,Cedar Park,Other,"XBTO Ventures, Raven One Ventures, SK Ventures",2014,Series B,$175.25M
189,XForcePlus,$1B,6/1/2021,China,Shanghai,Internet software & services,"Eastern Bell Capital, Danhua Capital, MSA Capital",2015,Series C - II,$200M
190,Mux,$1B,4/30/2021,United States,San Francisco,Internet software & services,"Accel, Cobalt Capital, Andreessen Horowitz",2015,Series D,$173.92M
191,Aircall,$1B,6/23/2021,United States,New York,Internet software & services,"Balderton Capital, Next World Capital, Draper Esprit",2014,Series D - II,$225.63M
192,MOLOCO,$1.5B,4/29/2021,United States,Redwood City,Artificial intelligence,"Smilegate Investment, DSC Investments, KTB Ventures",2013,None,None
193,Capsule,$1B,4/28/2021,United States,New York,Health,"Thrive Capital, Durable Capital Partners, G Squared",2015,Series D,$570M
194,Inari,$1.5B,5/12/2021,United States,Cambridge,Other,"Flagship Pioneering, Alexandria Venture Investments, Investment Corporation of Dubai",2016,Debt,$521M
195,Injective Protocol,$1B,4/20/2021,United States,New York,Fintech,"Pantera Capital, Cadenza Ventures, BlockTower Capital",2018,Series A,$53.1M
196,Groq,$1B,4/14/2021,United States,Mountain View,Artificial intelligence,"TDK Ventures, Social Capital, D1 Capital Partners",2016,Series C - II,$362.55M
197,The Zebra,$1B,4/12/2021,United States,Austin,E-commerce & direct-to-consumer,"Silverton Partners, Accel, Ballast Point Ventures",2012,Series D,$255.08M
198,Clearcover,$1B,4/13/2021,United States,Chicago,Fintech,"American Family Ventures, Cox Enterprises, OMERS Ventures",2016,Series E,$460M
199,Hyperchain,$1B,4/11/2021,China,Hangzhou,Fintech,"Yinhong Equity Investment Fund, E Fund, Ideal International",None,Series C,$249M
200,Newsela,$1B,2/25/2021,United States,New York,Edtech,"Owl Ventures, Technology Crossover Ventures, Tao Capital Partners",2013,Series D,$170.72M
201,Aqua Security,$1B,3/10/2021,Israel,Ramat Gan,Cybersecurity,"TLV Partners, Lightspeed Venture Partners, M12",2015,Unattributed VC,$265M
202,PatSnap,$1B,3/16/2021,Singapore,,Internet software & services,"Sequoia Capital China, Shunwei Capital Partners, Qualgro",2007,Series E,$352.32M
203,WeBull,$1B,2/18/2021,China,Changsha,Fintech,"Bojiang Capital, Hongdao Capital, Mobai Capital",2016,Series D,$230.31M
204,Axiom Space,$1B,2/16/2021,United States,Houston,Other,"C5 Capital, Hemisphere Ventures, The Venture Collective",2016,Corporate Minority,$280M
205,Evidation,$1B,3/22/2021,United States,San Mateo,Health,"B Capital Group,, GE Ventures, McKesson Ventures",2012,Series E,$259.18M
206,Fiture,$1B,4/14/2021,China,Chengdu,Health,"Bertelsmann Asia Investments, Sequoia Capital China, NIO Capital",2019,Series B,$391M
207,Sidecar Health,$1B,1/26/2021,United States,El Segundo,Fintech,"GreatPoint Ventures, Tiger Global Management, Menlo Ventures",2018,Series C,$163M
208,Yunxuetang,$1B,3/29/2021,China,Suzhou,Edtech,"Matrix Partners China, Sequoia Capital China, Hundreds Capital",2011,Series E - II,$397.28M
209,Flash Express,$1B,2/1/2021,Thailand,Bangkok,"Supply chain, logistics, & delivery","SCB 10X, Krungsri Finnovate, eWTP Capital",2017,Series F,$807M
210,Standard,$1B,2/17/2021,United States,San Francisco,Artificial intelligence,"CRV, Y Combinator, Initialized Capital",2017,Series C,$236.32M
211,Skydio,$1B,2/25/2021,United States,Redwood City,"Supply chain, logistics, & delivery","Andreessen Horowitz, Andreessen Horowitz, Institutional Venture Partners, Accel",2014,Series D,$344M
212,Locus Robotics,$1B,2/17/2021,United States,Wilmington,Hardware,"Scale Venture Partners, Bond, Tiger Global Management",2014,Series F,$432.82M
213,Splashtop,$1B,1/27/2021,United States,San Jose,Internet software & services,"Storm Ventures, DFJ DragonFund, New Enterprise Associates",2006,Series E - II,$111.5M
214,MadeiraMadeira,$1B,1/7/2021,Brazil,Parana,E-commerce & direct-to-consumer,"Flybridge Capital Partners, SoftBank Group, Monashees+",2009,Series E,$304.58M
215,Cameo,$1B,3/30/2021,United States,Chicago,Internet software & services,"Lightspeed Venture Partners, Kleiner Perkins Caufield & Byers, Origin Ventures",2016,Unattributed,$178.6M
216,Quantum Metric,$1B,1/7/2021,United States,Colorado Springs,Data management & analytics,"Insight Partners, Bain Capital Ventures",2015,Incubator/Accelerator - III,$251M
217,Sift,$1B,4/22/2021,United States,San Francisco,Artificial intelligence,"Union Square Ventures, Insight Partners, Spark Capital",2011,Series E,$156.52M
218,Feedzai,$1B,3/24/2021,United States,San Mateo,Artificial intelligence,"Global Founders Capital, Shea Ventures, Greycroft",2009,Series D,$277.8M
219,Alation,$1.7B,6/3/2021,United States,Redwood City,Internet software & services,"Costanoa Ventures, Data Collective, Salesforce Ventures",2012,Series E,$315M
220,Playco,$1B,9/21/2020,Japan,Tokyo,Other,"Sozo Ventures, Caffeinated Capital, Sequoia Capital",2020,Series A,$100M
221,Zwift,$1B,9/16/2020,United States,Long Beach,E-commerce & direct-to-consumer,"Novator Partners, True, Causeway Media Partners",2014,Series C,$597M
222,Quizlet,$1B,5/13/2020,United States,San Francisco,Edtech,"Union Square Ventures, Altos Ventures, Costanoa Ventures",2005,Series C,$62M
223,SaltPay,$1B,4/9/2021,United Kingdom,London,Fintech,"Tiger Global Management, Hedosophia",None,None,None
224,News Break,$1B,1/7/2021,United States,Mountain View,Internet software & services,"IDG Capital, Francisco Partners, ZhenFund",2015,Series C,$140.23M
225,PPRO,$1B,1/19/2021,United Kingdom,London,Fintech,"Wellington Management, Eurazeo, Citi Ventures",2006,Private Equity - III,$370M
226,Boom Supersonic,$1B,12/16/2020,United States,Englewood,Other,"WRVI Capital, Caffeinated Capital, Y Combinator",2014,Series C - III,$247.61M
227,Gousto,$1.7B,11/3/2020,United Kingdom,London,"Supply chain, logistics, & delivery","MMC Ventures, BGF Ventures, Unilever Ventures",2012,Secondary Market,$361M
228,Infobip,$1B,7/30/2020,Croatia,Vodnjan,Mobile & telecommunications,One Equity Partners,2006,Loan,$800M
229,Orca Bio,$1B,6/17/2020,United States,Menlo Park,Health,"Lightspeed Venture Partners, Data Collective, 8VC",2016,Series D,$192M
230,Emerging Markets Property Group,$1B,4/28/2020,United Arab Emirates,Dubai,Other,"OLX Group, KCK Group, EXOR Seeds",2015,Series F,$479M
231,Alto Pharmacy,$1B,1/30/2020,United States,San Francisco,Health,"Jackson Square Ventures, Greenoaks Capital Management, Softbank Group",2015,Angel,$588.61M
232,Hotmart,$1B,3/17/2020,Netherlands,Amsterdam,E-commerce & direct-to-consumer,"Technology Crossover Ventures, Alkeon Capital Management, General Atlantic",2011,Series C,$130.3M
233,Numbrs,$1B,8/22/2019,Switzerland,Zurich,Fintech,"Investment Corporation of Dubai, Centralway",None,Series D - III,$127.6M
234,Meero,$1B,6/18/2019,France,Paris,Artificial intelligence,"Aglae Ventures, Global Founders Capital, Alven Capital",2016,Series C,$297.5M
235,KnowBox,$1B,5/30/2019,China,Beijing,Edtech,"TAL Education Group, Legend Star, Alibaba Group",2014,Series D,$306.16M
236,C2FO,$1B,8/7/2019,United States,Leawood,Fintech,"Union Square Ventures, Summerhill Venture Partners, Mithril Capital Management",2008,Series H,$539.68M
237,SITECH DEV,$1B,5/16/2019,China,Guiyang,Other,China Prosperity Capital,2017,Series B - II,None
238,Poizon,$1B,4/29/2019,China,Shanghai,Mobile & telecommunications,"DST Global, Sequoia Capital China, Gaorong Capital",2015,Series A - II,None
239,Globality,$1B,1/22/2019,United States,Menlo Park,Artificial intelligence,SoftBank Group,2015,Series E,$310.3M
240,Ynsect,$1B,2/21/2019,France,Evry,Other,"Astanor Ventures, Upfront Ventures, IDInvest Partners",2011,Series C - II,$393.4M
241,KK Group,$3B,10/23/2019,China,Dongguan,E-commerce & direct-to-consumer,"Matrix Partners China, Bright Venture Capita, Shenzhen Capital Group",2014,Series F,$614.44M
242,Yanolja,$1B,6/10/2019,South Korea,Seoul,Travel,"SBI Investment Korea, Partners Investment, GIC",2005,Corporate Minority,$2.036B
243,EBANX,$1B,10/16/2019,Brazil,Curitiba,Fintech,"FTV Capital, Endeavor",2012,Series C,$460M
244,Ibotta,$1B,8/6/2019,United States,Denver,Fintech,"Koch Disruptive Technologies, Teamworthy Ventures, GGV Capital",2011,Series D,$95.91M
245,Intellifusion,$1B,3/22/2019,China,Shenzhen,Artificial intelligence,"BOC International, TopoScend Capital, Hongxiu VC",2014,Series C - III,$287.85M
246,Banma Network Technologies,$1B,9/13/2018,China,Shanghai,Auto & transportation,"Yunfeng Capital, SDIC Innovation Investment Management, Shang Qi Capital",2015,Series B,$696.76M
247,TERMINUS Technology,$1B,10/25/2018,China,Beijing,Hardware,"China Everbright Limited, IDG Capital, iFLYTEK",2015,Unattributed,$629.58M
248,BitFury,$1B,11/6/2018,Netherlands,Amsterdam,Hardware,"Georgian Co-Investment Fund, iTech Capital, Galaxy Digital",2011,Series D,$170M
249,FlashEx,$1B,8/27/2018,China,Beijing,"Supply chain, logistics, & delivery","Prometheus Capital, Matrix Partners China, JD Capital Management",2014,Series D - II,$339M
250,Wacai,$1B,7/18/2018,China,Hangzhou,Mobile & telecommunications,"Qiming Venture Partners, China Broadband Capital, CDH Investments",2009,Series D,$368.6M
251,China Cloud,$1B,6/11/2018,China,Wuxi,Hardware,"V Star Capital, GF Xinde Investment Management Co., Haitong Leading Capital Management",2010,Corporate Minority,$522.8M
252,Movile,$1B,7/12/2018,Brazil,Sao Paulo,Mobile & telecommunications,"Innova Capital - FIP, 3G Capital Management, Prosus Ventures",1998,Private Equity,$394M
253,Pat McGrath Labs,$1B,7/16/2018,United States,New York,Consumer & retail,"One Luxury Group, Eurazeo",2016,Private Equity - II,$82M
254,Huike Group,$1B,5/24/2018,China,Beijing,Edtech,"Fosun RZ Capital, Oceanwide Holdings, Shenzhen Qianhe Capital Management Co.",2010,Series D,$63M
255,LinkDoc Technology,$1B,7/5/2018,China,Beijing,Health,"China Investment Corporation, New Enterprise Associates",2014,Corporate Minority,$253.02M
256,Hosjoy,$1B,10/18/2018,China,Nanjing,E-commerce & direct-to-consumer,"U.S.-China Green Fund, Founder H Fund, Richland Equities",2009,Series C - II,$138.53M
257,WeLab,$1B,11/8/2017,Hong Kong,,Fintech,"Sequoia Capital China, ING, Alibaba Entrepreneurs Fund",2013,Series D,$896M
258,Revolution Precrafted,$1B,10/23/2017,Philippines,Manila,Other,"K2 Global, 500 Startups",2015,Series B,$15.4M
259,Momenta,$1B,10/17/2018,China,Beijing,Artificial intelligence,"Sinovation Ventures, Tencent Holdings, Sequoia Capital China",2016,Series C - II,$1.283B
260,Cell C,$1B,8/7/2017,South Africa,Midrand,Mobile & telecommunications,"Blue Label Telecoms, Net1 UEPS Technologies",2000,Recap,$546.97M
261,Zhaogang,$1B,6/29/2017,China,Shanghai,E-commerce & direct-to-consumer,"K2 Ventures, Matrix Partners China, IDG Capital",2012,Series F - II,$361.25M
262,DianRong,$1B,8/2/2017,China,Shanghai,E-commerce & direct-to-consumer,"Standard Chartered, FinSight Ventures, Affirma Capital",2012,Series F,$649M
263,YH Global,$1B,9/21/2017,China,Shenzhen,"Supply chain, logistics, & delivery","Co-Energy Finance, Grandland",1997,Series A,$182.05M
264,Tresata,$1B,10/10/2018,United States,Charlotte,Fintech,GCP Capital Partners,2011,Loan,$51.93M
265,Omio,$1B,10/23/2018,Germany,Berlin,Travel,"Lakestar, Battery Ventures, New Enterprise Associates",2013,Series E,$476M
266,SMS Assist,$1B,6/7/2016,United States,Chicago,Internet software & services,"Goldman Sachs, Insights Venture Partners, Pritzker Group Venture Capital",1999,Acquired,$255M
267,Kendra Scott,$1B,12/21/2016,United States,Austin,Consumer & retail,"Berkshire Partners, Norwest Venture Partners",2002,Private Equity,None
268,Mobvoi,$1B,4/6/2017,China,Beijing,Consumer & retail,"Sequoia Capital China, SIG Asia Investments, ZhenFund",2012,Crowdfunding - III,$259.64M
269,iCarbonX,$1B,4/12/2016,China,Shenzhen,Artificial intelligence,"Tencent, Vcanbio",2015,Series A - II,$199M
270,58 Daojia,$1B,10/12/2015,China,Beijing,Internet software & services,"KKR, Alibaba Group, Ping An Insurance",2014,Series B,$300M
271,iTutorGroup,$1B,11/18/2015,China,Shanghai,Edtech,"QiMing Venture Partners, Temasek Holdings, Silverlink Capital",1998,Corporate Minority,$315M
272,Dxy.cn,$1B,4/10/2018,China,Hangzhou,Health,"Tencent Holdings, DCM Ventures",2000,Series E,$672M
273,Womai,$1B,10/12/2015,China,Beijing,E-commerce & direct-to-consumer,"SAIF Partners China, Baidu, IDG Capital",2009,Incubator/Accelerator,$320M
274,MediaMath,$1B,7/10/2018,United States,New York,Internet software & services,"Silicon Valley Bank, QED Investors, European Founders Fund",2007,Recap,$613.16M
275,Vox Media,$1B,8/12/2015,United States,Washington,Internet software & services,"Accel Partners, Comcast Ventures, General Atlantic",2011,Series G,$324.65M
276,FXiaoKe,$1B,7/2/2015,China,Beijing,Mobile & telecommunications,"IDG Capital, Northern Light Venture Capital, DCM Ventures",2011,Series G,$308M
277,Maimai,$1B,11/15/2017,China,Beijing,Mobile & telecommunications,"Morningside Venture Capital, IDG Capital, DCM Ventures",2013,Series D,$300M
278,HMD Global,$1B,5/21/2018,Finland,Espoo,Mobile & telecommunications,Ginko Ventures,2016,Series A - II,$330M
279,Modernizing Medicine,$1B,5/10/2017,United States,Boca Raton,Health,"Warburg Pincus, Summit Partners, Sands Capital",2010,Unattributed,$393.79M
280,Zhuan Zhuan,$1B,4/18/2017,China,Beijing,E-commerce & direct-to-consumer,"58.com, Tencent Holdings",2015,Series D,$990M
281,HuJiang,$1B,10/29/2015,China,Shanghai,Edtech,"China Minsheng Investment, Baidu, Wanxin Media",2001,Series E,$223.29M
282,JimuBox,$1B,4/21/2015,China,Beijing,Fintech,"Matrix Partners China, Ventech China, Shunwei Capital Partners",None,Series C,$131M
283,Lamabang,$1B,3/6/2015,China,Shenzhen,E-commerce & direct-to-consumer,"5Y Capital, Matrix Partners China, K2VC",2011,Series D,$120M
284,Red Ventures,$1B,1/7/2015,United States,Fort Mill,Other,"Silver Lake Partners, General Atlantic",2000,Line of Credit,$1.05B
285,InMobi,$1B,12/2/2014,India,Bengaluru,Mobile & telecommunications,"Kleiner Perkins Caufield & Byers, Softbank Corp., Sherpalo Ventures",2007,Series E,$510.6M
286,Zebec,$1B,8/29/2022,United States,San Francisco,Fintech,"Resolute Ventures, Shima Capital, Circle Ventures",2021,Seed VC - IV,$33.83M
287,TechStyle Fashion Group,$1B,8/29/2014,United States,El Segundo,E-commerce & direct-to-consumer,"Matrix Partners, Passport Capital, Rho Ventures",2010,Unattributed VC,$300M
288,Mia.com,$1B,9/8/2015,China,Beijing,E-commerce & direct-to-consumer,"Sequoia Capital China, ZhenFund, K2 Ventures",2011,Series E,$231.6M
289,MindMaze,$1B,1/28/2016,Switzerland,Lausanne,Health,Hinduja Group,2012,Series C,$348.5M
290,LinkSure Network,$1B,1/1/2015,China,Shanghai,Mobile & telecommunications,None,2013,Series A,$52M
291,Lookout,$1B,10/10/2013,United States,San Francisco,Cybersecurity,"Accel Partners, Greylock Partners, Lowercase Capital",2007,Secondary Market,$281M
292,BeiBei,$1B,1/22/2015,China,Hangzhou,E-commerce & direct-to-consumer,"Banyan Capital, New Horizon Capital, IDG Capital Partners",2011,Series D,$224.4M
293,TransferMate,$1B,5/22/2022,Ireland,Kilkenny,Fintech,Railway Pension Trustee Co. Ltd.,2010,Unattributed,$129.89M
294,Snapdeal,$1B,5/21/2014,India,New Delhi,E-commerce & direct-to-consumer,"SoftBankGroup, Blackrock, Alibaba Group",2008,Angel - II,$1.776B
295,Perimeter 81,$1B,6/6/2022,Israel,Tel Aviv,Cybersecurity,"Insight Partners, Toba Capital, Spring Ventures",2018,Series C,$159.5M
296,LINE MAN Wongnai,$1B,9/26/2022,Thailand,Bangkok,E-commerce & direct-to-consumer,"BRV Capital Management, Bualuang Ventures",2016,Series B,$375M
297,Paystand,$1B,8/2/2022,United States,Scotts Valley,Fintech,"BlueRun Ventures, LEAP Global Partners, Cervin Ventures",2014,Series D,$80M
298,Stability AI,$1B,10/5/2022,United Kingdom,London,Artificial intelligence,"Lightspeed Venture Partners, Coatue Management",2019,Seed VC,$101M
299,EcoVadis,$1B,6/14/2022,France,Paris,"Supply chain, logistics, & delivery","Astorg Partners, Princeville Global, Beyond Net Zero",2007,Secondary Market,$732M
300,Beamery,$1B,12/13/2022,United Kingdom,London,Artificial intelligence,"Index Ventures, EQT Ventures, Workday Ventures",2014,Series D,$223.06M
301,Xanadu,$1B,11/9/2022,Canada,Toronto,Hardware,"BDC Capital, Georgian, Bessemer Venture Partners",2016,Series C,$234.47M
302,Flow,$1B,8/15/2022,United States,New York,Fintech,Andreessen Horowitz,2022,Other Investors,None
303,Turntide Technologies,$1B,6/15/2022,United States,Sunnyvale,Auto & transportation,"Meson Capital Partners, Fifth Wall Ventures, OGCI Climate Investments",2013,Series C,$487.81M
304,Vesttoo,$1B,10/25/2022,Israel,Tel Aviv-Yafo,Fintech,"Mouro Capital, Hanaco Venture Capital, Gramercy Ventures",2018,Series C,$101M
305,Celestia,$1B,10/19/2022,Liechtenstein,Vaduz,Internet software & services,"Placeholder Capital, Coinbase Ventures, Binance Ventures",2020,Series A,$59.23M
306,Wheel,$1.01B,1/19/2022,United States,Austin,Health,"Silverton Partners, Tusk Ventures, CRV",2018,Series C,$215.6M
307,Satispay,$1B,9/28/2022,Italy,Milan,Fintech,"Lightrock, Greyhound Capital, Endeavor",2013,Series D,$466.54M
308,Leap Motor,$1.01B,11/20/2018,China,Hangzhou,Auto & transportation,"Sequoia Capital China, Gopher Asset Management, Shanghai Electric Group",2015,IPO,$1.761B
309,BlackBuck,$1.02B,7/22/2021,India,Bengaluru,"Supply chain, logistics, & delivery","Accel, Sands Capital, International Finance Corporation",2015,Series E,$330.88M
310,OrCam Technologies,$1.03B,2/20/2018,Israel,Jerusalem,Artificial intelligence,"Intel Capital, Aviv Venture Capital",2010,Series B,$77.4M
311,Ample,$1.02B,11/11/2021,United States,San Francisco,Hardware,"Shell Ventures, Blackstone, Moore Strategic Ventures",2014,Series C - II,$271.3M
312,Branch,$1.05B,3/1/2022,United States,Columbus,Fintech,"American Family Ventures, Greycroft, SignalFire",2019,Angel,$221.47M
313,Mixpanel,$1.05B,11/15/2021,United States,San Francisco,Internet software & services,"Bain Capital Tech Opportunities, Andreessen Horowitz, Sequoia Capital",2009,Series C,$284.52M
314,Density,$1.05B,11/10/2021,United States,San Francisco,Hardware,"Founders Fund, Upfront Ventures, 	01 Advisors",2014,Series D,$217.2M
315,Sendbird,$1.05B,4/6/2021,United States,San Mateo,Mobile & telecommunications,"FundersClub, Y Combinator, Tiger Global Management",2013,Series C,$219.64M
316,Jiuxian,$1.05B,7/30/2015,China,Beijing,E-commerce & direct-to-consumer,"Sequoia Capital China, Rich Land Capital, Merrysunny Wealth",2009,Series G,$249.21M
317,Aprogen,$1.04B,5/31/2019,South Korea,Seongnam-Si,Health,"Lindeman Asia Investment, Nichi-Iko Pharmaceutical",2000,Acq - Pending,$62.12M
318,Cirkul,$1.07B,6/13/2022,United States,Sarasota,Consumer & retail,"AF Ventures, Siddhi Capital, SC.Holdings",2016,Series C,$111.72M
319,Rivigo,$1.07B,7/11/2019,India,Gurgaon,"Supply chain, logistics, & delivery","SAIF Partners India, Warburg Pincus, Trifecta Capital Advisors",2014,Acquired,$321.89M
320,56PINGTAI,$1.08B,1/25/2021,China,Shanghai,"Supply chain, logistics, & delivery","QF Capital, QC Capital, Unicom Innovation Venture Capital",None,Series D,$187.82M
321,Nxin,$1.08B,9/18/2018,China,Beijing,Internet software & services,"Beijing Juneng Hesheng Industry Investment Fund, Beijing Shuju Xinrong Fund",2015,Series B,$53.05M
322,Radius Payment Solutions,$1.07B,11/27/2017,United Kingdom,Crewe,Fintech,Inflexion Private Equity,1990,Private Equity,$200.11M
323,Instabase,$1.05B,10/21/2019,United States,San Francisco,Data management & analytics,"New Enterprise Associates, Greylock Partners, Andreessen Horowitz",2015,Series B,$131.94M
324,CAIS,$1.1B,1/11/2022	,United States,New York,Fintech,"Franklin Templeton, Motive Partners. Apollo Global Management",2009,Private Equity,$398M
325,0x,$1.05B,4/26/2022,United States,San Francisco,Fintech,"Jump Capital, Pantera Capital, Greylock Partners",2016,Series B,$85.01M
326,UISEE Technology,$1.08B,1/25/2021,China,Beijing,"Supply chain, logistics, & delivery","Shenzhen Capital Group, Robert Bosch Venture Capital, SeptWolves Ventures",2016,Unattributed VC,$154.3M
327,Mamaearth,$1.07B,12/28/2021,India,Gurgaon,E-commerce & direct-to-consumer,"Fireside Ventures, Sequoia Capital India, Stellaris Venture Partners",2016,Angel - II,$160.3M
328,Purplle,$1.1B,6/9/2022,India,Mumbai,E-commerce & direct-to-consumer,"Blume Ventures, JSW Ventures, IvyCap Ventures",2012,Series E,$295.71M
329,Teleport,$1.1B,5/3/2022,United States,Oakland,Cybersecurity,"Kleiner Perkins Caufield & Byers, s28 Capital, Insight Partners",2015,Series C,$171.12M
330,IntelyCare,$1.1B,4/6/2022,United States,Quincy,Health,"Kaiser Permanente Ventures, Endeavour Vision, LRVHealth",2014,Series C,$173.8M
331,Recover,$1.1B,6/9/2022,Spain,Banyeres de Mariola,Other,"Goldman Sachs Asset Management, STORY3 Capital Partners",1947,Private Equity - II,$100M
332,Material Security,$1.1B,5/11/2022,United States,Redwood City,Cybersecurity,"Andreessen Horowitz, Founders Fund",2017,Series C - II,$155M
333,Imply Data,$1.1B,5/17/2022,United States,Burlingame,Data management & analytics,"Andreessen Horowitz, Bessemer Venture Partners, Khosla Ventures,",2015,Series D,$215.3M
334,PhysicsWallah,$1.1B,6/7/2022,India,Uttar Pradesh,Edtech,"GSV Ventures, WestBridge Capital",2016,Series A,$100M
335,Chief,$1.1B,3/31/2022	,United States,New York,Other,"General Catalyst, Inspired Capital, Flybridge Capital Partners",2017,Series B,$140M
336,Beyond Identity,$1.1B,2/22/2022,United States,New York,Cybersecurity,"New Enterprise Associates, Koch Disruptive Technologies, Evolution Equity Partners",2019,Series C,$205M
337,LEAD School,$1.1B,1/13/2022,India,Andheri,Edtech,"WestBridge Capital, GSV Ventures, Elevar Equity",2012,Debt - II,$190.24M
338,Staffbase,$1.1B,3/15/2022,Germany,Chemnitz,Internet software & services,"Insight Partners, e.ventures, General Atlantic",2014,Series E,$294.2M
339,eSentire,$1.1B,2/22/2022,Canada,Waterloo,Cybersecurity,"Edison Partners, Georgian Partners, VentureLink",2001,Secondary Market,$287.88M
340,GlobalBees,$1.1B,12/28/2021,India,New Delhi,E-commerce & direct-to-consumer,"Chiratae Ventures, SoftBank Group, Trifecta Capital",2021,Debt - II,$291.5M
341,Fundbox,$1.1B,11/30/2021,United States,San Francisco,Fintech,"Khosla Ventures, General Catalyst, Blumberg Capital",2013,Angel,$553.63M
342,Turing,$1.1B,12/20/2021,United States,Palo Alto,Internet software & services,"Foundation Capital, 	Frontier Ventures, AltaIR Capital",2018,Series D,$136.05M
343,The Bank of London,$1.1B,11/30/2021,United Kingdom,London,Fintech,"Mangrove Capital Partners,14W. ForgeLight",2018,Seed VC,$90M
344,Daily Harvest,$1.1B,11/16/2021,United States,New York,E-commerce & direct-to-consumer,"M13, Lightspeed Venture Partners, Lone Pine Capital",2014,Series D,$120.98M
345,Nowports,$1.1B,5/24/2022,Mexico,Monterrey,"Supply chain, logistics, & delivery"," Monashees+, Foundation Capital, Base10 Partners",2018,Series C,$239.55M
346,apna,$1.1B,9/15/2021,India,Bengaluru,Internet software & services,"Sequoia Capital India, Rocketship.vc, Lightspeed India Partners",2019,Series C,$192.5M
347,G2,$1.1B,6/22/2021,United States,Chicago,Internet software & services,"Pritzker Group Venture Capital, Accel, Hyde Park Venture Partners",2012,Series D,$265.07M
348,Sunbit,$1.1B,5/20/2021,United States,Los Angeles,Fintech,"Zeev Ventures, Group11, Chicago Ventures",2016,Line of Credit,$447.67M
349,Caribou,$1.1B,5/23/2022,United States,Denver,Fintech," CMFG Ventures, Accomplice, Moderne Ventures",2016,Series C,$188.64M
350,Acko General Insurance,$1.1B,10/28/2021,India,Bengaluru,Fintech,"Intact Ventures, Munich Re Ventures, General Atlantic",2016,Series E,$428M
351,Karat,$1.1B,10/13/2021,United States,Seattle,Internet software & services,"8VC, Norwest Venture Partners, Tiger Global Management",2014,Angel,$151.6M
352,Carousell,$1.1B,9/15/2021,Singapore,,E-commerce & direct-to-consumer,"500 Global, Rakuten Ventures, Golden Gate Ventures",2012,Private Equity - II,$443M
353,Qingting FM,$1.1B,6/2/2021,China,Shanghai,Internet software & services,"China Culture Industrial Investment Fund, We Capital, China Minsheng Investment Group",None,Corporate Minority - III,$163.7M
354,Enpal,$1.1B,10/18/2021,Germany,Berlin,Internet software & services,"HV Capital, Softbank Group, BlackRock",2017,Series D,$1.836B
355,Zego,$1.1B,3/9/2021,United Kingdom,London,Fintech,"LocalGlobe, Balderton Capital, Target Global",None,None,None
356,Hailo,$1B,10/12/2021,Israel,Tel Aviv,Artificial intelligence,"Glory Ventures, Maniv Mobility",2017,Series C,$217M
357,Nexthink,$1.1B,2/8/2021,Switzerland,Prilly,Data management & analytics,"Auriga, Galeo Ventures, Highland Europe",2004,Series D - II,$329.9M
358,Rightway,$1.1B,3/30/2021,United States,New York,Health,"Thrive Capital, Khosla Ventures, Tiger Global Management",2017,Series C,$130M
359,OVH,$1.1B,8/15/2016,France,Roubaix,Other,"KKR, TowerBrook Capital Partners",1999,Line of Credit - II,$1.243B
360,Pharmapacks,$1.1B,11/12/2020,United States,Islandia,E-commerce & direct-to-consumer,The Carlyle Group,2010,Private Equity,$476M
361,Sennder,$1.1B,1/14/2021,Germany,Berlin,"Supply chain, logistics, & delivery","Accelm Scania Growth Capital, Lakestar",2015,Series D - II,$310.02M
362,Juanpi,$1.1B,4/14/2016,China,Wuhan,E-commerce & direct-to-consumer,"Tiantu Capital, SAIF Partners China, Newsion Venture Capital",2012,Series C,$136.05M
363,Ivalua,$1.1B,5/21/2019,United States,Redwood City,Fintech,"Ardian, Tiger Global Management, KKR",2000,Private Equity - III,$133M
364,AppDirect,$1.1B,10/7/2015,United States,San Francisco,E-commerce & direct-to-consumer,"Mithril, iNovia Capital, Foundry Group",2009,Series H,$558.36M
365,Sisense,$1.1B,1/9/2020,United States,New York,Data management & analytics,"Opus Capital, Genesis Partners, Battery Ventures",2004,Series F,$278M
366,GetYourGuide,$1.1B,5/16/2019,Germany,Berlin,Travel,"Spark Capital, Highland Europe, Sunstone Capital",2009,Debt,$884.79M
367,Invoca, $1.1B,6/14/2022,United States,Santa Barbara,Artificial intelligence,"Upfront Ventures, Accel, Industry Ventures",2008,Series F,$203.25M
368,Flexe, $1B,4/21/2022,United States,Seattle,"Supply chain, logistics, & delivery","Redpoint Ventures, Prologis Ventures, Madrona Venture Group",2013,Series D,$262.55M
369,At-Bay,$1.12B,7/27/2021,United States,Mountain View,Fintech,"Lightspeed Venture Partners, Khosla Ventures, Munich Re Ventures",2016,Series D - II,$292M
370,TELD,$1.12B,12/16/2019,China,Qingdao,Fintech,"China Reform Fund, Gaopeng Capital, Jinhui Xingye",2014,Series A,$193.24M
