"Name","Industry","headQuarters","Founded","Area Served"
"Goodyear Tire and Rubber Company","Manufacturing","Binjiang District","August 29, 1898; 124 years ago (1898-08-29) Akron, Ohio, U.S.","Worldwide"
"Google","Artificial intelligence Advertising Cloud computing Computer software Computer hardware Internet","1600 Amphitheatre Parkway","September 4, 1998; 24 years ago (1998-09-04)[a] in Menlo Park, California, United States","Worldwide"
"GoDaddy","internet, IT Consulting, SMEs","Tempe, Arizona","1997; 25 years ago (1997) (as Jomax Technologies)","Worldwide"
"GoPro","Technology Videography Consumer electronics","Tempe, Arizona","2002; 20 years ago (2002)","Worldwide"
"Harley-Davidson","Technology Videography Consumer electronics","Milwaukee, Wisconsin, U.S.","1903; 119 years ago (1903)",""
"Hermès","Luxury goods","Rue du Faubourg Saint-Honoré","1837; 185 years ago (1837) in Paris",""
"Haier","Home appliances Consumer electronics","Rue du Faubourg Saint-Honoré","1984; 38 years ago (1984)",""
"Harrods","Retail","Brompton Road","1849; 173 years ago (1849)",""
"Haribo","Confectionery","Brompton Road","13 December 1920; 102 years ago (1920-12-13)",""
"Hard Rock Cafe","Casual dining restaurants, casinos, hotels","Davie","14 June 1971; 51 years ago (1971-06-14) London, England",""
"Halliburton","Fossil fuel","Houston, Texas","1919; 103 years ago (1919), in Duncan, Oklahoma, U.S.","Worldwide"
"Hankook Tire","Auto and Truck parts","Bundang-gu","10 May 1941; 81 years ago (1941-05-10) (as the Chosun Tire Company)",""
"House Foods","Food","Bundang-gu","November 11, 1913; 109 years ago (1913-11-11) as Urakami Shoten","Worldwide"
"Hartwall","Food","Bundang-gu","November 11, 1913; 109 years ago (1913-11-11) as Urakami Shoten",""
"H&M","Retail","Bundang-gu","1947; 75 years ago (1947) (as Hennes) Västerås, Sweden","Worldwide"
"Hasbro","Toys and entertainment","Bundang-gu","1923; 99 years ago (1923)","Worldwide"
"Hearst Communications","Media","Hearst Tower","March 4, 1887; 135 years ago (1887-03-04) San Francisco, California, United States",""
"Henkel","FMCG","Düsseldorf","1876; 146 years ago (1876)",""
"Hewlett Packard Enterprise","Information technology","Düsseldorf","November 1, 2015; 7 years ago (2015-11-01) in San Jose, California","Worldwide"
"Hilti","Manufacturing","Schaan","1941",""
"Hisamitsu Pharmaceutical","Pharmaceuticals","Tosu, Saga","1847; 175 years ago (1847)","Worldwide"
"Hitachi","Conglomerate","Tosu, Saga","1910; 112 years ago (1910) Hitachi, Ibaraki, Japan","Worldwide"
"Honda","Manufacturing","Tosu, Saga","Hamamatsu, Japan (October 1946 (1946-10), incorporated 24 September 1948; 74 years ago (1948-09-24))","Worldwide"
"Honeywell","Conglomerate","Charlotte, North Carolina, U.S.","1906; 116 years ago (1906) Wabash, Indiana","Worldwide"
"HP Inc.","Computer hardware","Charlotte, North Carolina, U.S.","January 1, 1939; 83 years ago (1939-01-01) (as Hewlett-Packard) November 1, 2015; 7 years ago (2015-11-01)[1] (as HP Inc.)","Worldwide"
"HSBC","Financial services","8 Canada Square","First established on 3 March 1865; 157 years ago (1865-03-03) in British Hong Kong[1] (as The Hongkong and Shanghai Bank) First incorporated on 14 August 1866; 156 years ago (1866-08-14)[2] (as The Hongkong and Shanghai Banking Corporation) 25 March 1991; 31 years ago (1991-03-25)[1][3] in London (as HSBC Holdings plc, as parent holding company to the entity in Hong Kong now as a subsidiary)","Worldwide"
"HTC","Telecommunications equipment","8 Canada Square","15 May 1997; 25 years ago (1997-05-15)","Worldwide"
"Huayi Brothers","Entertainment","8 Canada Square","1994; 28 years ago (1994)","China"
"Huawei","Consumer electronics Telecom equipment Networking equipment Semiconductors Artificial intelligence Automation Cloud computing Internet of things","8 Canada Square","15 September 1987; 35 years ago (1987-09-15)","Worldwide (exempting United States since 2019)"
"Huntington Bancshares","Banking","Columbus, Ohio","1866; 156 years ago (1866) as P. W. Huntington & Company in Columbus, Ohio","Colorado, Indiana, Kentucky, Minnesota, Michigan, Ohio, Pennsylvania, West Virginia, Illinois, and Wisconsin"
"Huntington Ingalls Industries","Defense, Shipbuilding, Defense Technologies","Columbus, Ohio","March 31, 2011; 11 years ago (2011-03-31)","Worldwide"
"Huntsman Corporation","Chemicals","The Woodlands, Texas, U.S.","1970; 52 years ago (1970)",""
"Hytera","Telecommunications","Shenzhen","1993","Worldwide"
"HMD Global","Consumer electronics","Espoo","1 December 2016; 6 years ago (2016-12-01)","Worldwide"
"Hyundai Motor Company","Automotive","Espoo","29 December 1967; 54 years ago (1967-12-29)","Worldwide"
"IBM","Information technology","Espoo","June 16, 1911; 111 years ago (1911-06-16) (as Computing-Tabulating-Recording Company) Endicott, New York, U.S.[1]","177 countries[2]"
"NEX Group","Financial services","Espoo","1999; 23 years ago (1999)",""
"ICICI Bank","Financial services","Espoo","5 January 1994; 28 years ago (1994-01-05)","Worldwide"
"IJM Corporation","Construction Property Infrastructure Plantations Industry","Espoo","1983",""
"Indeed","Construction Property Infrastructure Plantations Industry","Austin, Texas","November 2004; 18 years ago (2004-11)",""
"Intracom Holdings","Conglomerate","Austin, Texas","1977","Europe Middle East & Africa United States South East Asia"
"IKEA","Retail","","28 July 1943; 79 years ago (1943-07-28)[1] in Sweden","Europe Middle East North Africa East Asia India Southeast Asia Oceania North America South America"
"Illinois Tool Works","Manufacturing","Glenview, Illinois","1912; 110 years ago (1912)","Worldwide"
"Infosys","Information technology Consulting Outsourcing","Glenview, Illinois","2 July 1981; 41 years ago (2 July 1981)","Worldwide"
"ING Group","Financial services","Amsterdam","1991 through merger[1] (est. 1743 as Kooger Doodenbos)","Europe, Asia, Oceania, North America, South America"
"Ingersoll Rand","Diversified Machinery","Amsterdam","1859",""
"Intel","Semiconductors Computer hardware Autonomous cars Automation Artificial intelligence","Amsterdam","July 18, 1968; 54 years ago (1968-07-18)","Worldwide"
"Intesa Sanpaolo","Financial services","Grattacielo Intesa Sanpaolo","2007; 15 years ago (2007) (merger) 1583; 439 years ago (1583) as Istituto Bancario San Paolo di Torino",""
"Isuzu","Manufacturing","Grattacielo Intesa Sanpaolo","30 March 1934; 88 years ago (1934-03-30) (as Isuzu)","Worldwide"
"Jelly Belly","Confections","Fairfield, California","1869; 153 years ago (1869) in Belleville, Illinois, U.S.","Worldwide"
"Jim Beam","Confections","Fairfield, California","1869; 153 years ago (1869) in Belleville, Illinois, U.S.",""
"The J.M. Smucker Company","Food Beverage","Fairfield, California","1897; 125 years ago (1897) in Orrville, Ohio, U.S.",""
"Jardine Matheson","Conglomerate","Jardine House","1 July 1832; 190 years ago (1 July 1832)[1]","Worldwide"
"JG Summit Holdings","Various","Robinsons Equitable Tower","1990; 32 years ago (1990)","Philippines"
"Johnnie Walker","Various","Robinsons Equitable Tower","1990; 32 years ago (1990)",""
"Johnson & Johnson","Pharmaceutical Medical Technology Consumer Healthcare","New Brunswick, New Jersey","January 1886; 136 years ago (1886-01) in New Brunswick, New Jersey, United States","Worldwide"
"Jollibee Foods Corporation","Restaurants","Ortigas Center","Quezon City, Philippines (January 1978; 44 years ago (1978-01))[note 1]","East Asia, Southeast Asia, Middle East, North America, Western Europe"
"JPMorgan Chase","Financial services","383 Madison Avenue","December 1, 2000; 22 years ago (2000-12-01)","Worldwide"
"JVCKenwood","Electronics","383 Madison Avenue","October 1, 2008; 14 years ago (2008-10-01) (as a merger between Kenwood Corporation and Victor Company of Japan, Ltd)",""
"JXD","Consumer electronics","383 Madison Avenue","October 1, 2008; 14 years ago (2008-10-01) (as a merger between Kenwood Corporation and Victor Company of Japan, Ltd)","North America, South America, Europe, Asia, Middle East, Africa, Oceania"
"KBC Group","Financial services","Brussels","1935; 87 years ago (1935) (Kredietbank), present name (KBC Group) dates from 2005",""
"Kawasaki Heavy Industries","Heavy equipment Automotive Defense","Ch??","15 October 1896; 126 years ago (1896-10-15)",""
"Kappa (brand)","Sports equipment Textile","Ch??","1978; 44 years ago (1978)","Worldwide"
"Kellogg's","Food processing","Ch??","February 19, 1906; 116 years ago (1906-02-19) (as Battle Creek Toasted Corn Flake Company) Battle Creek, Michigan, U.S.","Worldwide"
"Kikkoman","Food","Ch??","1603; 419 years ago (1603) (oldest establishment)[1] December 7, 1917; 105 years ago (1917-12-07) (incorporated)",""
"Kirin Company","Beverage","Ch??","1888; 134 years ago (1888)",""
"Kimberly-Clark","Personal care","Irving","1872; 150 years ago (1872) Neenah, Wisconsin, U.S.","Worldwide"
"Kingston Technology","Storage devices","Irving","1987; 35 years ago (1987) in Fountain Valley, California, United States","Worldwide"
"Klim Type Foundry","Storage devices","Irving","1987; 35 years ago (1987) in Fountain Valley, California, United States",""
"Knorr (brand)","Storage devices","Irving","1987; 35 years ago (1987) in Fountain Valley, California, United States",""
"Komatsu Limited","Heavy equipment (construction, mining and forestry), Defense technology","Tokyo","May 13, 1921; 101 years ago (1921-05-13)",""
"Konami","Video games Entertainment","Tokyo","21 March 1969; 53 years ago (1969-03-21)","Worldwide"
"Korg","Electronics","Inagi","1962; 60 years ago (1962) (as Keio Electronic Laboratories)",""
"Keumyoung Group","Music, Entertainment, Karaoke","Seoul","1983; 39 years ago in Busan, South Korea","South Korea"
"KPMG","Professional services","","1987; 35 years ago (1987) (merger of Peat Marwick International and Klynveld Main Goerdeler) 1979 (1979) (KMG) 1925 (1925) (Peat Marwick) 1897 (1897) (Marwick, Mitchell & Company) 1818 (1818) (Grace, Darbyshire, & Todd)[1]","Worldwide"
"Kraft Heinz","Food","","July 2, 2015; 7 years ago (2015-07-02)","Worldwide"
"Lactalis","Dairy products","","19 October 1933; 89 years ago (1933-10-19)",""
"Lam Research","Semiconductors","Fremont, California","1980; 42 years ago (1980)",""
"Lagardère Group","Publishing, Travel Retail, Live Entertainment, Media","Paris","1992; 30 years ago (1992)",""
"Larsen & Toubro","Conglomerate","Ballard Estate","7 February 1946; 76 years ago (7 February 1946)[1] Bombay, Bombay Presidency, British India (present-day Mumbai, Maharashtra, India)","Worldwide"
"LATAM Airlines Group","Aviation","Santiago","22 June 2012; 10 years ago (2012-06-22)",""
"Lazada","E-commerce","Santiago","March 27, 2012; 10 years ago (2012-03-27)","Singapore, Malaysia, Indonesia, Thailand, Vietnam, and the Philippines"
"Levi Strauss & Co.","Textile","San Francisco","May 1, 1853; 169 years ago (1853-05-01) (as David Stern & Levi Strauss)","Worldwide"
"Lear Corporation","Manufacturing","San Francisco","Detroit, Michigan (1917 (1917))","International"
"Lindt","Confectionery","San Francisco","1845 (177 years ago) (1845)",""
"Lenovo","Computer hardware Electronics","Hong Kong, China[1] (registered office) Beijing, China[2][3] (Operational headquarters) Lorong Chuan, Singapore[4] (operational centre) Morrisville, North Carolina, United States[5] (Operational headquarters)","1 November 1984; 38 years ago (1984-11-01) (as Legend ??) Beijing","Worldwide"
"LeEco","Conglomerate","Hong Kong, China[1] (registered office) Beijing, China[2][3] (Operational headquarters) Lorong Chuan, Singapore[4] (operational centre) Morrisville, North Carolina, United States[5] (Operational headquarters)","8 September 2011; 11 years ago (2011-09-08)","Worldwide (China, India, USA and Russia mainly)"
"Leonardo S.p.A.","Aerospace industry Defence industry Space industry","Rome","1948; 74 years ago (1948)",""
"Leoni AG","Manufacturing, engineering","Nuremberg","1917; 105 years ago (1917)",""
"Lexmark","Manufacturing, engineering","Lexington","March 27, 1991; 31 years ago (March 27, 1991)","Worldwide"
"LG Electronics","Consumer electronics Home appliances Computer hardwares","Yeouido-dong","October 1958; 64 years ago (1958-10) (as GoldStar) March 1995 (1995-03) (as LG Electronics; re-incorporated in 2002)","Worldwide"
"Linde plc","Chemical industry","Dublin","21 June 1879; 143 years ago (1879-06-21)",""
"Linpus Linux","Chemical industry","Dublin","21 June 1879; 143 years ago (1879-06-21)",""
"Lionbridge","Language localization Software testing E-learning","Waltham, Massachusetts","Waltham, Massachusetts, US (1996)",""
"LiuGong","Conglomerate","Waltham, Massachusetts","1958",""
"Lockheed Martin","Advanced Technologies Information Security Aerospace Defense","Bethesda, Maryland","March 15, 1995; 27 years ago (1995-03-15)","Worldwide"
"L'Oréal","Consumer goods","Bethesda, Maryland","30 July 1909; 113 years ago (1909-07-30)","Worldwide"
"Lotte Corporation","Conglomerate","Songpa District","March 24, 1967; 55 years ago (1967-03-24)",""
"Louisa Coffee","Coffee shop","Songpa District","2006","Worldwide"
"Lufthansa","Coffee shop","Cologne","6 January 1953; 69 years ago (1953-01-06)[note 1]",""
"Lukoil","Oil and gas","Cologne","25 November 1991; 31 years ago (1991-11-25)","Europe, Kazakhstan, Uzbekistan, Iraq, Egypt, Ghana, Nigeria, Cameroon, United States, Mexico"
"Lupin Limited","Pharmaceuticals","Cologne","1968; 54 years ago (1968)[1]",""
"Luxgen","Automotive","Miaoli County","2009","Worldwide"
"Luxottica","Eyewear manufacturing, luxury, eyewear manufacturing and wholesale distribution, eyewear retailing","Miaoli County","1961; 61 years ago (1961) (Agordo, Italy)","Worldwide"
"LyondellBasell","Chemicals","Miaoli County","2007; 15 years ago (2007)",""
"MG Cars","Sport cars","Miaoli County","21 July 1930; 92 years ago (1930-07-21)",""
"Macy's","Retail","Miaoli County","October 28, 1858; 164 years ago (1858-10-28) in New York, New York, U.S.",""
"Mahindra Group","Conglomerate","Mumbai","2 October 1945; 77 years ago (1945-10-02)","Worldwide"
"Mars, Incorporated","Food Veterinary services","","1911; 111 years ago (1911) Tacoma, Washington","Worldwide"
"Maton","Musical instruments","","1946; 76 years ago (1946)","Worldwide"
"Marshall Amplification","Amplification Musical instrument manufacturing","","London, England (1962; 60 years ago (1962))[1]","United Kingdom, Canada, Australia, Europe, Asia, United States"
"Mark Simonson","Amplification Musical instrument manufacturing","","London, England (1962; 60 years ago (1962))[1]",""
"Martini & Rossi","Alcoholic beverages","","Turin, Italy (1863)",""
"Maersk","Freight transport","Copenhagen","16 April 1904; 118 years ago (1904-04-16)",""
"Mama Sita's Holding Company","Food processing","San Juan","1980 (as Marigold Commodities Corporation)",""
"Mamee Double-Decker","Food processing, snack, dairy products","Ayer Keroh, Malacca","1971; 51 years ago (1971)",""
"Mattel","Toys and entertainment","","January 1945; 77 years ago (1945-01) Los Angeles, California, U.S.","Worldwide"
"Maxxis","Toys and entertainment","Yuanlin","January 1, 1967; 55 years ago (1967-01-01)","Worldwide"
"McCain Foods","Frozen food","Yuanlin","Florenceville, New Brunswick, Canada (1957)","Worldwide"
"McDonald's","Restaurants, real estate[1][2]","Yuanlin","May 15, 1940; 82 years ago (1940-05-15) in San Bernardino, California","Worldwide (119+ countries)"
"MediaTek","Semiconductors GPUs Graphics cards Consumer electronics Computer hardware","Yuanlin","28 May 1997; 25 years ago (1997-05-28)","Worldwide"
"Meiji Holdings","Food Pharmaceutical Healthcare","Yuanlin","April 1, 2009 (2009-04-01)",""
"Meitu","Consumer electronics","Yuanlin","2008; 14 years ago (2008)",""
"Meizu","Consumer electronics","Yuanlin","2003; 19 years ago (2003)","China, India, Turkey, Russia, Israel, Indonesia, Malaysia, Philippines"
"Melstacorp","Beverages Diversified Financial services IT/BPO Manufacturing Health Telecommunications Plantation Power Hospitality Logistics Media","Yuanlin","2003; 19 years ago (2003)",""
"Mercedes-Benz","Automotive","Yuanlin","November 2019; 3 years ago (2019-11)","Worldwide"
"Meta Platforms","Social media Social network advertising Consumer electronics Virtual reality","Menlo Park, California","January 4, 2004; 18 years ago (2004-01-04) in Cambridge, Massachusetts, U.S.","Worldwide"
"Michaels","Retail","Irving","1973; 49 years ago (1973)[1]",""
"Michelin","Auto and truck parts","Irving","28 May 1889; 133 years ago (1889-05-28)","Worldwide"
"Micro-Star International","Computer hardware Electronics","Zhonghe","4 August 1986; 36 years ago (1986-08-04)","Worldwide"
"Micromax Informatics","Electronics Consumer electronics Computer hardwares Home appliances","Zhonghe","29 March 2000; 22 years ago (29 March 2000)[1]","Worldwide"
"Microsoft","Information technology","One Microsoft Way","April 4, 1975; 47 years ago (1975-04-04) in Albuquerque, New Mexico, U.S.","Worldwide"
"Mizuno","Sports equipment","Suminoe","April 1, 1906; 116 years ago (1906-04-01) [1]",""
"Merck Millipore","Life sciences Biotech","Suminoe","Merck founded 1668 (Merck KGaA, Darmstadt, Germany)",""
"Miniso","Variety store","Suminoe","Merck founded 1668 (Merck KGaA, Darmstadt, Germany)","Worldwide"
"Mindtree","Information technology Consulting Outsourcing","Global Village Tech Park","18 August 1999; 23 years ago (1999-08-18)","Worldwide"
"Mitsubishi Electric","Electrical equipment Electronics","Tokyo Building","January 15, 1921; 101 years ago (1921-01-15) Tokyo, Japan","Worldwide"
"Mobil","Electrical equipment Electronics","Tokyo Building","1911; 111 years ago (1911) (as ""Standard Oil Company of New York"")","Worldwide"
"Monotype Imaging","Pre-press and pre-media services machinery industry and plant construction","Tokyo Building","1887; 135 years ago (1887) (as Lanston Monotype Machine Company) Philadelphia, Pennsylvania, U.S.",""
"Monotype Imaging","Pre-press and pre-media services machinery industry and plant construction","Tokyo Building","1887; 135 years ago (1887) (as Lanston Monotype Machine Company) Philadelphia, Pennsylvania, U.S.",""
"Morinaga & Company","Food","Tokyo Building","August 15, 1899; 123 years ago (1899-08-15) as Morinaga’s Western Confectionary Shop","Worldwide"
"Mustek Systems","Food","Hsinchu","October 1988; 34 years ago (1988-10)","Worldwide"
"Nando's","Casual dining/chain restaurant","Hsinchu","1987; 35 years ago (1987), Johannesburg, Gauteng, South Africa",""
"Bandai Namco Holdings","Entertainment","Minato, Tokyo","September 29, 2005; 17 years ago (2005-09-29)","Worldwide"
"NBCUniversal","Media Entertainment","30 Rockefeller Plaza","August 2, 2004; 18 years ago (August 2, 2004)","Worldwide"
"New Balance","Footwear","Boston, Massachusetts","1906; 116 years ago (1906)",""
"Newell Brands","Consumer goods","Boston, Massachusetts","1903; 119 years ago (1903) Ogdensburg, New York, U.S.","Worldwide"
"Nestlé","Food processing","Vevey","1866; 156 years ago (1866) (for the Anglo-Swiss Condensed Milk Company branch)","Worldwide"
"NEC","Information technology Electronics","Vevey","17 July 1899; 123 years ago (1899-07-17) Tokyo, Japan","Worldwide"
"NetApp","Cloud Computing Storage Device","Vevey","1992; 30 years ago (1992)","Worldwide"
"Nike, Inc.","Apparel Accessories Sports equipment","Beaverton, Oregon","January 25, 1964; 58 years ago (1964-01-25)","Worldwide"
"Nivea","Apparel Accessories Sports equipment","Beaverton, Oregon","January 25, 1964; 58 years ago (1964-01-25)",""
"Nikon","Consumer electronics","Minato, Tokyo","July 25, 1917; 105 years ago (1917-07-25) Tokyo City, Empire of Japan","Worldwide"
"Nintendo","Video games Electronics","Minami-ku, Kyoto","23 September 1889; 133 years ago (1889-09-23) in Shimogy?-ku, Kyoto, Japan","Worldwide"
"Nissan","Automotive","Minami-ku, Kyoto","26 December 1933; 88 years ago (1933-12-26) (under Nissan Group)[1][2]","Worldwide"
"Nokia","Telecommunications Technology Electronics","Minami-ku, Kyoto","12 May 1865; 157 years ago (1865-05-12) in Tampere, Grand Duchy of Finland, Russian Empire","Worldwide"
"Norsk Hydro","Metals","Oslo","1905",""
"Novartis","Pharmaceuticals","","March 1996; 26 years ago (1996-03) (from merger)","Worldwide"
"Novo Nordisk","Pharmaceuticals, Health care","Bagsværd","December 21, 1923; 98 years ago (1923-12-21)",""
"Olympus Corporation","Electronics","Bagsværd","12 October 1919; 103 years ago (1919-10-12) (as Takachiho Seisakusho) Shinjuku, Tokyo, Japan","Worldwide"
"Oknoplast","Windows, doors, roller shutters, aluminium","Bagsværd","1994","Worldwide"
"Ooredoo","Telecommunications","Bagsværd","1987; 35 years ago (1987)",""
"Otobi","Telecommunications","Dhaka","1975",""
"OfficeMax","Retail","","April 1, 1988; 34 years ago (1988-04-01) Cleveland, Ohio, U.S.","United States Mexico (since 1996)"
"Oracle Corporation","Enterprise software Business software Cloud computing Computer hardware Consulting","","June 16, 1977; 45 years ago (1977-06-16) Santa Clara, California, U.S.[1]","Worldwide"
"Orange S.A.","Telecommunications","Issy-les-Moulineaux","1 January 1988; 34 years ago (1988-01-01) (as France Télécom) 1 July 2013; 9 years ago (2013-07-01) (as Orange)","Worldwide"
"Ornua","Food retail","Dublin","1961; 61 years ago (1961)","Asia, Europe, Middle East, North America, Africa, Australasia"
"Pandora (jewelry)","Jewellery Retail","Dublin","1982; 40 years ago (1982)","Worldwide"
"Panasonic","Conglomerate","Kadoma, Osaka","March 7, 1918; 104 years ago (1918-03-07)[2] Osaka, Japan","Worldwide (except Russia since 2022)"
"Paper Mate","Stationery","Oak Brook","1940; 82 years ago (1940) (as ""The Frawley Pen Company"")[2]","Worldwide"
"Paramount Global","Media Entertainment","One Astor Plaza","December 4, 2019; 3 years ago (2019-12-04)","Worldwide"
"Parrot SA","Wireless / UAV","One Astor Plaza","1994; 28 years ago (1994) in Paris, France",""
"Puma (brand)","Textile Footwear","Herzogenaurach","1948; 74 years ago (1948)","Worldwide"
"Pepper Lunch","Restaurants","Tokyo","1994; 28 years ago (1994)",""
"PepsiCo","Beverages Food processing","Harrison, New York","August 28, 1898; 124 years ago (1898-08-28) New Bern, North Carolina, United States","Worldwide"
"Perficient","Consulting","St. Louis, Missouri","1997","Worldwide"
"Petronas","Oil and gas","Petronas Towers","17 August 1974; 48 years ago (1974-08-17)[1]","Worldwide"
"Pernod Ricard","Alcohol","Petronas Towers","1975; 47 years ago (1975)","Worldwide"
"Penguin Random House","Alcohol","Random House Tower","July 1, 2013; 9 years ago (2013-07-01)","Worldwide"
"Petrovietnam","Oil and Gas industry","Random House Tower","1977 (1977)",""
"Pfizer","Pharmaceutical Biotechnology","New York City","1849; 173 years ago (1849) in New York City","Worldwide"
"Philips","Conglomerate","Amsterdam","15 May 1891; 131 years ago (1891-05-15) Eindhoven, Netherlands","Worldwide"
"Ping An Bank","Financial services","Amsterdam","22 June 1995 (1995-06-22) (Ping An Bank) 22 December 1987 (1987-12-22) (S.Z. Dev. Bank) 2012 (merger)","Worldwide"
"Ping An Insurance","Financial Services","Amsterdam","1988; 34 years ago (1988)","Worldwide"
"Pioneer Corporation","Consumer electronics","Bunky?","1 January 1938; 84 years ago (1938-01-01) in Tokyo, Japan",""
"Pirelli","Automotive","Bunky?","1872; 150 years ago (1872) Milan, Italy","Worldwide[1]"
"Pilot (pen company)","Stationery","Bunky?","1918; 104 years ago (1918) as ""Namiki Manufacturing Company""","Worldwide"
"Playmobil","Stationery","Bunky?","1918; 104 years ago (1918) as ""Namiki Manufacturing Company""",""
"Pladis","Stationery","London","2016; 6 years ago (2016)",""
"PLDT","Telecommunications","London","Manila, Philippine Islands (November 28, 1928; 94 years ago (1928-11-28))","Worldwide"
"Pollo Campero","Restaurants","Dallas, Texas","1971; 51 years ago (1971), in Guatemala[1]","Guatemala, United States (including Puerto Rico), Bahrain, Ecuador, El Salvador, Honduras, Italy, Nicaragua, Mexico, Spain, Belize, Haiti, Dominican Republic, Montserrat, British Virgin Islands, Africa, Brazil, Canada"
"Procter & Gamble","Consumer goods","Dallas, Texas","October 31, 1837; 185 years ago (1837-10-31)","Worldwide (except North Korea)"
"Proton Holdings","Automotive","Dallas, Texas","9 July 1985; 37 years ago (9 July 1985)","Worldwide, mainly Malaysia"
"Prada","Fashion","","1913; 109 years ago (1913) (as Fratelli Prada)","Worldwide"
"Prudential Financial","Insurance Retirement Investment","","1875; 147 years ago (1875) Newark, New Jersey, U.S.",""
"PVH Corp.","Clothing","","1881; 141 years ago (1881)","Worldwide"
"PwC","Professional services","London","1998 (PricewaterhouseCoopers) 1849 (Price Waterhouse) 1854 (Coopers & Lybrand)[1]","Worldwide"
"QNB Group","Banking and Financial services","London","June 6, 1964 (1964 -06-06) as Qatar National Bank[1]","Worldwide[2]"
"Qantas","Banking and Financial services","Mascot, New South Wales","16 November 1920; 102 years ago (1920-11-16) Winton, Queensland, Australia",""
"Qualcomm","Telecoms equipments Semiconductors","Mascot, New South Wales","July 1985; 37 years ago (1985-07)","Worldwide"
"QatarEnergy","Oil and gas","Mascot, New South Wales","1974",""
"Rabobank","Financial services","Rabotoren","1895 (1895)","Worldwide"
"Ranpak","Recyclable packing, Packaging, Packaging machinery","Rabotoren","1972; 50 years ago (1972) in Painesville, Ohio, United States",""
"Reckitt","Consumer goods","Slough","1814; 208 years ago (1814) (J&J Colman) 1823; 199 years ago (1823) (Benckiser) 1840; 182 years ago (1840) (Reckitt & Sons) 1938; 84 years ago (1938) (merger of Reckitt & Sons and J&J Colman) 1999; 23 years ago (1999) (merger of Reckitt & Colman and Benckiser)",""
"Recruit (company)","Published media","Slough","1960; 62 years ago (1960)[1]",""
"Red Bull","Published media","Slough","1960; 62 years ago (1960)[1]",""
"IWG plc","Industrial services","","1989, Brussels, Belgium",""
"Reliance Industries","Conglomerate","","8 May 1973; 49 years ago (8 May 1973)","Worldwide"
"Renault","Automotive","","25 February 1899; 123 years ago (1899-02-25)","Worldwide; 128 countries[1]"
"Repsol","Petroleum","Repsol Campus","1987; 35 years ago (1987)","Worldwide"
"Ricoh","Electronics, Imaging","Ota, Tokyo","February 6, 1936; 86 years ago (1936-02-06)","Worldwide"
"Robert Bosch GmbH","Conglomerate","Gerlingen","15 November 1886; 136 years ago (1886-11-15)","Worldwide"
"Roland Corporation","Electronics","Gerlingen","18 April 1972; 50 years ago (1972-04-18) Osaka, Japan",""
"Rohde & Schwarz","Electronics","Munich","17 November 1933",""
"Royal Bank of Canada","Financial services","Montreal","1864; 158 years ago (1864)[1] in Halifax, Nova Scotia",""
"Shell plc","Energy Petroleum","Shell Centre","April 1907; 115 years ago (1907-04) (original amalgamation) 20 July 2005; 17 years ago (2005-07-20) in Shell Centre, London (current entity)","Worldwide"
"RPG Group","Conglomerate","Worli","Calcutta, India 1820; 202 years ago (1820)",""
"Rusal","Aluminium","Moscow","2007",""
"SsangYong Motor","Automotive","Pyeongtaek","4 March 1954; 68 years ago (1954-03-04)[1]","Worldwide"
"Saab AB","Aerospace and defence","Stockholm","1937 in Trollhättan, Sweden","Worldwide"
"Saks Fifth Avenue","Retail","Stockholm","1867 (155 years ago) (1867)",""
"Samsung Electronics","Electronics Semiconductors Information technology Artificial intelligence Automation Home appliances Medical devices Internet of things Robotics","Samsung Digital City","13 January 1969; 53 years ago (1969-01-13) in Suwon, South Korea","Worldwide"
"Samsonite","Electronics Semiconductors Information technology Artificial intelligence Automation Home appliances Medical devices Internet of things Robotics","Luxembourg City","10 March 1910; 112 years ago (1910-03-10)",""
"Newell Custom Writing Instruments","Writing implements","Luxembourg City","1857; 165 years ago (1857)","Worldwide"
"San Miguel Corporation","Conglomerate","San Miguel Avenue","(September 29, 1890; 132 years ago (1890-09-29)) in Manila, Philippines","Worldwide Worldwide Philippines Philippines, United States, Europe, Japan, Australia Philippines and Malaysia Philippines Philippines"
"SanDisk","Storage devices","San Miguel Avenue","1988; 34 years ago (1988)",""
"Sandvik","Engineering","Stockholm","1862; 160 years ago (1862)",""
"Sanrio","Wholesale[1]","Stockholm","10 August 1960; 62 years ago (1960-08-10) (as Yamanashi Silk Company)",""
"Sanofi","Pharmaceuticals Biotechnology Healthcare","Paris","1973; 49 years ago (1973)","Worldwide"
"Saudi Aramco","Oil and gas","Dhahran","29 May 1933; 89 years ago (29 May 1933)","Global"
"SAP","Enterprise software Business software Cloud computing Consulting","Dhahran","Weinheim, Germany (1972; 50 years ago (1972))","Worldwide"
"Publicis Sapient","Consumer Products Energy & Commodities Financial Services Health Public Sector Retail Telecommunications, Media & Technology Transportation & Mobility Travel & Hospitality","Dhahran","1990",""
"SAS Group","Aviation","SAS Frösundavik Office Building","1946; 76 years ago (1946), merger of ABA (1924), DDL (1918), and DNL (1927)","Europe"
"Sasken Technologies","Telecommunications Technology Data centers Product Engineering Semiconductor Industrials","Bangalore, Karnataka","1989; 33 years ago (1989)","Worldwide"
"Sasol","Oil and gas Chemical Nuclear Coal tar","Bangalore, Karnataka","1950 (1950)",""
