"Name","MasterCap","Country","Industry","Sector"
"Kape Technologies plc","$1.14 B","United Kingdom","Software—Infrastructure","Technology"
"JPMorgan Euro Small Co. Trust plc","(Dec. 1, 2021)","United Kingdom","Asset Management","Financials"
"Alpha FX Group plc","$1.13 B","United Kingdom","Capital Markets","Financials"
"Chemring Group plc","$1.13 B","United Kingdom","Aerospace & Defense","Industrials"
"CLS Holdings plc","$1.11 B","United Kingdom","Real Estate Services","Real Estate"
"Volution Group plc","$1.09 B","United Kingdom","Building Products & Equipment","Industrials"
"Scottish American Investment Company plc","$1.09 B","United Kingdom","Asset Management","Financials"
"PZ Cussons plc","$1.08 B","United Kingdom","Household & Personal Products","Consumer Staples"
"BlackRock Smaller Companies Trust","$1.07 B","United Kingdom","Asset Management","Financials"
"JPMorgan Japanese Investment Trust plc","$1.06 B","United Kingdom","Asset Management","Financials"
"Digital 9 Infrastructure PLC","$1.06 B","United Kingdom","Asset Management","Financials"
"Aberdeen Total Dynamic Dividend Fund","$1.06 B","United Kingdom","Asset Management","Financials"
"Standard Life Private Equity Trust plc","$1.06 B","United Kingdom","Asset Management","Financials"
"Mitie Group plc","$1.05 B","United Kingdom","Specialty Business Services","Industrials"
"ICG Enterprise Trust plc","$1.04 B","United Kingdom","Asset Management","Financials"
"4imprint Group plc","$1.04 B","United Kingdom","Advertising Agencies","Communication Services"
"SDCL Energy Efficiency Income Trust plc","$1.04 B","United Kingdom","Asset Management","Financials"
"CareTech Holdings plc","$1.04 B","United Kingdom","Medical Care Facilities","Healthcare"
"Global Ship Lease, Inc.","$1.03 B","United Kingdom","Marine Shipping","Industrials"
"Capital Gearing Trust plc","$1.03 B","United Kingdom","Asset Management","Financials"
"Liontrust Asset Management plc","$1.02 B","United Kingdom","Asset Management","Financials"
"Bicycle Therapeutics plc","$1.02 B","United Kingdom","Biotechnology","Healthcare"
"Stock Spirits Group plc","(Nov. 1, 2021)","United Kingdom","Beverages—Wineries & Distilleries","Consumer Staples"
"Provident Financial plc","$1.01 B","United Kingdom","Credit Services","Financials"
"Baillie Gifford Japan Trust plc","$1.01 B","United Kingdom","Asset Management","Financials"
"Focusrite plc","$1.01 B","United Kingdom","Leisure","Consumer Discretionary"
"Temple Bar Investment Trust plc","$998.7 M","United Kingdom","Asset Management","Financials"
"Pantheon Resources plc","$997.0 M","United Kingdom","Oil & Gas E&P","Energy"
"CMC Markets plc","$985.2 M","United Kingdom","Capital Markets","Financials"
"Tullow Oil plc","$983.5 M","United Kingdom","Oil & Gas E&P","Energy"
"TR European Growth Trust plc","(Jan. 1, 2022)","United Kingdom","Asset Management","Financials"
"Henderson Smaller Companies Investment Trust","$960.6 M","United Kingdom","Asset Management","Financials"
"iEnergizer Limited","$957.5 M","United Kingdom","Information Technology Services","Technology"
"Baillie Gifford US Growth Trust plc","$955.4 M","United Kingdom","Asset Management","Financials"
"Standard Life Uk Smaller Companies Trust plc","(Dec. 1, 2021)","United Kingdom","Asset Management","Financials"
"Warehouse REIT plc","$946.9 M","United Kingdom","REIT—Industrial","Real Estate"
"The Merchants Trust plc","$946.4 M","United Kingdom","Asset Management","Financials"
"Schroder Oriental Income Fund Limited","$945.6 M","United Kingdom","Asset Management","Financials"
"NB Private Equity Partners Limited","$937.2 M","United Kingdom","Asset Management","Financials"
"JPMorgan Global Growth & Income plc","$931.6 M","United Kingdom","Asset Management","Financials"
"Elementis plc","$928.5 M","United Kingdom","Specialty Chemicals","Basic Materials"
"Ibstock plc","$925.5 M","United Kingdom","Building Materials","Basic Materials"
"Team17 Group plc","$920.7 M","United Kingdom","Electronic Gaming & Multimedia","Communication Services"
"Crest Nicholson Holdings plc","$915.0 M","United Kingdom","Residential Construction","Consumer Discretionary"
"Marlowe plc","$906.3 M","United Kingdom","Security & Protection Services","Industrials"
"Yellow Cake plc","$905.8 M","United Kingdom","Uranium","Energy"
"BH Macro Limited GBP","$904.5 M","United Kingdom","Asset Management","Financials"
"BlackRock Throgmorton Trust plc","$904.0 M","United Kingdom","Asset Management","Financials"
"discoverIE Group plc","$903.9 M","United Kingdom","Electronic Components","Technology"
"Treatt plc","$903.4 M","United Kingdom","Specialty Chemicals","Basic Materials"
"McCarthy & Stone plc","(March 13, 2021)","United Kingdom","Medical Care Facilities","Healthcare"
"Equiniti Group plc","(Dec. 1, 2021)","United Kingdom","Software—Infrastructure","Technology"
"Young & Co.'s Brewery, plc","$891.4 M","United Kingdom","Restaurants","Consumer Discretionary"
"Alternative Credit Investments plc","(March 13, 2021)","United Kingdom","Asset Management","Financials"
"Watkin Jones plc","$882.2 M","United Kingdom","Residential Construction","Consumer Discretionary"
"Ergomed plc","$870.2 M","United Kingdom","Biotechnology","Healthcare"
"Bakkavor Group plc","$867.6 M","United Kingdom","Packaged Foods","Consumer Staples"
"The Rank Group plc","$853.8 M","United Kingdom","Gambling","Consumer Discretionary"
"Hochschild Mining plc","$852.3 M","United Kingdom","Gold","Basic Materials"
"Third Point Investors Limited","$836.6 M","United Kingdom","Asset Management","Financials"
"Alliance Pharma plc","$834.5 M","United Kingdom","Drug Manufacturers—Specialty & Generic","Healthcare"
"Polar Capital Holdings plc","$830.3 M","United Kingdom","Asset Management","Financials"
"Centessa Pharmaceuticals Ltd","$830.1 M","United Kingdom","Biotechnology","Healthcare"
"Tyman plc","$829.2 M","United Kingdom","Building Products & Equipment","Industrials"
"Restore plc","$828.8 M","United Kingdom","Specialty Business Services","Industrials"
"Ruffer Investment Company Limited","$827.8 M","United Kingdom","Asset Management","Financials"
"Pacific Horizon Investment Trust","$823.5 M","United Kingdom","Asset Management","Financials"
"NextEnergy Solar Ord","$817.8 M","United Kingdom","Asset Management","Financials"
"Genius Sports Ltd","$812.9 M","United Kingdom","Internet Content & Information","Communication Services"
"MAS Real Estate, Inc.","(Nov. 1, 2021)","United Kingdom","Real Estate—Diversified","Real Estate"
"The Vitec Group plc","$803.4 M","United Kingdom","Consumer Electronics","Technology"
"A.G. BARR plc","$799.2 M","United Kingdom","Beverages—Non-Alcoholic","Consumer Staples"
"Advanced Medical Solutions Group plc","$793.7 M","United Kingdom","Medical Instruments & Supplies","Healthcare"
"The Scottish Investment Trust plc","$791.8 M","United Kingdom","Asset Management","Financials"
"JPMorgan Indian Investment Trust plc","$785.9 M","United Kingdom","Asset Management","Financials"
"Keller Group plc","$778.1 M","United Kingdom","Engineering & Construction","Industrials"
"Reach plc","$777.1 M","United Kingdom","Publishing","Communication Services"
"Bank of Georgia Group plc","$777.1 M","United Kingdom","Banks","Financials"
"Mortgage Advice Bureau (Holdings) plc","$771.4 M","United Kingdom","Mortgage Finance","Financials"
"Target Healthcare REIT plc","$769.6 M","United Kingdom","REIT—Diversified","Real Estate"
"Sabre Insurance Group plc","$766.4 M","United Kingdom","Insurance Brokers","Financials"
"M.P. Evans Group plc","$758.2 M","United Kingdom","Farm Products","Consumer Staples"
"Hotel Chocolat Group plc","$756.6 M","United Kingdom","Confectioners","Consumer Staples"
"Stagecoach Group plc","$751.1 M","United Kingdom","Railroads","Industrials"
"Renew Holdings plc","$744.0 M","United Kingdom","Engineering & Construction","Industrials"
"RAK Petroleum plc","$737.4 M","United Kingdom","Oil & Gas E&P","Energy"
"Asia Dragon Trust plc","$737.0 M","United Kingdom","Asset Management","Financials"
"Oxford Biomedica plc","$734.7 M","United Kingdom","Biotechnology","Healthcare"
"DFS Furniture plc","$733.0 M","United Kingdom","Furnishings, Fixtures & Appliances","Consumer Discretionary"
"Civitas Social Housing plc","$729.8 M","United Kingdom","REIT—Residential","Real Estate"
"Ideagen plc","$728.4 M","United Kingdom","Software—Application","Technology"
"Forterra plc","$725.5 M","United Kingdom","Building Materials","Basic Materials"
"Harworth Group plc","$723.6 M","United Kingdom","Real Estate—Development","Real Estate"
"Picton Property Income Limited","$722.2 M","United Kingdom","REIT—Diversified","Real Estate"
"Empiric Student Property plc","$721.3 M","United Kingdom","REIT—Residential","Real Estate"
"Greatland Gold plc","$721.2 M","United Kingdom","Gold","Basic Materials"
"Goco Group plc","(March 13, 2021)","United Kingdom","Information Technology Services","Technology"
"Stenprop Ltd","(Nov. 1, 2021)","United Kingdom","REIT—Industrial","Real Estate"
"Craneware plc","$718.9 M","United Kingdom","Health Information Services","Healthcare"
"Integrated Diagnostics Holdings plc","$718.0 M","United Kingdom","Diagnostics & Research","Healthcare"
"Bluefield Solar Income Fund Limited","$717.5 M","United Kingdom","Asset Management","Financials"
"SThree plc","$717.1 M","United Kingdom","Staffing & Employment Services","Industrials"
"TwentyFour Income Ord","$716.5 M","United Kingdom","Asset Management","Financials"
"FW Thorpe plc","$714.9 M","United Kingdom","Electrical Equipment & Parts","Industrials"
"TORM plc","$713.8 M","United Kingdom","Oil & Gas Midstream","Energy"
"North Atlantic Smaller Companies","$712.9 M","United Kingdom","Asset Management","Financials"
"The PRS REIT plc","$705.5 M","United Kingdom","REIT—Residential","Real Estate"
"Scion Tech Growth I","$704.0 M","United Kingdom","Shell Companies","Financials"
"Boussard & Gavaudan Holdings EUR","$695.3 M","United Kingdom","Asset Management","Financials"
"Navigator Holdings Ltd.","$691.8 M","United Kingdom","Oil & Gas Midstream","Energy"
"FD Technologies plc","$690.5 M","United Kingdom","Information Technology Services","Technology"
"Baillie Gifford Shin Nippon plc","$690.2 M","United Kingdom","Asset Management","Financials"
"Mountview Estates plc","$688.4 M","United Kingdom","Real Estate Services","Real Estate"
"NCC Group plc","$686.3 M","United Kingdom","Software—Application","Technology"
"IMImobile plc","(March 13, 2021)","United Kingdom","Software—Application","Technology"
"John Menzies plc","$682.5 M","United Kingdom","Airports & Air Services","Industrials"
"Johnson Service Group plc","$680.7 M","United Kingdom","Specialty Business Services","Industrials"
"Marston's plc","$671.4 M","United Kingdom","Restaurants","Consumer Discretionary"
"Hunting plc","$669.9 M","United Kingdom","Oil & Gas Equipment & Services","Energy"
"Ecclesiastical Insurance Office plc","$666.8 M","United Kingdom","Insurance—Life","Financials"
"Senior plc","$662.6 M","United Kingdom","Aerospace & Defense","Industrials"
"EnQuest plc","$661.5 M","United Kingdom","Oil & Gas E&P","Energy"
"Robert Walters plc","$660.2 M","United Kingdom","Staffing & Employment Services","Industrials"
"BlackRock Greater Europe Investment Trust plc","$659.8 M","United Kingdom","Asset Management","Financials"
"Nichols plc","$657.0 M","United Kingdom","Beverages—Non-Alcoholic","Consumer Staples"
"Arrow Global Group plc","(March 13, 2021)","United Kingdom","Asset Management","Financials"
"Halfords Group plc","$650.1 M","United Kingdom","Specialty Retail","Consumer Discretionary"
"RDI REIT plc","(March 13, 2021)","United Kingdom","REIT—Diversified","Real Estate"
"Urban Logistics REIT plc","$644.0 M","United Kingdom","REIT—Industrial","Real Estate"
"Frontier Developments plc","$635.6 M","United Kingdom","Electronic Gaming & Multimedia","Communication Services"
"Odfjell Drilling Ltd","$634.7 M","United Kingdom","Oil & Gas Drilling","Energy"
"Helical plc","$632.1 M","United Kingdom","Real Estate Services","Real Estate"
"Genel Energy plc","$631.9 M","United Kingdom","Oil & Gas E&P","Energy"
"Henderson Far East Income Ltd","(March 13, 2021)","United Kingdom","Asset Management","Financials"
"Wincanton plc","$629.7 M","United Kingdom","Integrated Freight & Logistics","Industrials"
"Mid-Wynd International Investment Trust plc","$625.9 M","United Kingdom","Asset Management","Financials"
"Alfa Financial Software Holdings plc","$622.3 M","United Kingdom","Software—Application","Technology"
"The Restaurant Group plc","$616.3 M","United Kingdom","Restaurants","Consumer Discretionary"
"Schroder Asian Total Return Investment Company plc","$612.1 M","United Kingdom","Asset Management","Financials"
"Tritax EuroBox plc","(March 13, 2021)","United Kingdom","REIT—Industrial","Real Estate"
"SIG plc","$604.7 M","United Kingdom","Industrial Distribution","Industrials"
"Chesnara plc","$599.5 M","United Kingdom","Insurance—Life","Financials"
"Dunedin Income Growth Investment Trust","$592.4 M","United Kingdom","Asset Management","Financials"
"Silence Therapeutics plc","(Nov. 1, 2021)","United Kingdom","Biotechnology","Healthcare"
"Aberdeen Standard Asia Focus plc","$584.2 M","United Kingdom","Asset Management","Financials"
"GCP Asset Backed Income Fund Limited","$580.1 M","United Kingdom","Asset Management","Financials"
"Cineworld Group plc","$575.9 M","United Kingdom","Entertainment","Communication Services"
"Kin and Carta plc","$574.8 M","United Kingdom","Specialty Business Services","Industrials"
"Brunner Investment Trust plc","$574.7 M","United Kingdom","Asset Management","Financials"
"Impact Healthcare Reit plc","$567.3 M","United Kingdom","REIT—Diversified","Real Estate"
"Scapa Group plc","(March 13, 2021)","United Kingdom","Specialty Chemicals","Basic Materials"
"North American Income Trust (The) plc","$566.7 M","United Kingdom","Asset Management","Financials"
"European Assets Trust plc","$564.2 M","United Kingdom","Asset Management","Financials"
"KNOT Offshore Partners LP","$562.5 M","United Kingdom","Marine Shipping","Industrials"
"BH Global Limited","(March 13, 2021)","United Kingdom","Asset Management","Financials"
"JPMorgan Claverhouse Investment Trust plc","$560.9 M","United Kingdom","Asset Management","Financials"
"Aberdeen Global Premier Properties Fund","$560.6 M","United Kingdom","Asset Management","Financials"
"Custodian REIT Ord","$559.0 M","United Kingdom","REIT—Diversified","Real Estate"
"Oxford Immunotec Global PLC","(Feb. 18, 2021)","United Kingdom","Diagnostics & Research","Healthcare"
"AO World plc","$556.1 M","United Kingdom","Internet Retail","Consumer Discretionary"
"Henry Boot plc","$555.3 M","United Kingdom","Real Estate—Diversified","Real Estate"
"CoinShares International Ltd","$551.8 M","United Kingdom","Capital Markets","Financials"
"Volex plc","$549.6 M","United Kingdom","Electrical Equipment & Parts","Industrials"
"Judges Scientific plc","$545.0 M","United Kingdom","Scientific & Technical Instruments","Technology"
"PayPoint plc","$542.9 M","United Kingdom","Information Technology Services","Technology"
"Brooks Macdonald Group plc","$539.2 M","United Kingdom","Asset Management","Financials"
"Strix Group plc","$537.9 M","United Kingdom","Electronic Components","Technology"
"Central Asia Metals plc","$535.2 M","United Kingdom","Copper","Basic Materials"
"Aberdeen Asian Income Fund Limited","$532.4 M","United Kingdom","Asset Management","Financials"
"Avon Protection plc","$531.4 M","United Kingdom","Aerospace & Defense","Industrials"
"Avon Rubber plc","$528.6 M","United Kingdom","Aerospace & Defense","Industrials"
"JPMorgan Global Emerging Markets Income Trust","$527.6 M","United Kingdom","Asset Management","Financials"
"Starwood European Real Estate Finance Ltd","$526.0 M","United Kingdom","Asset Management","Financials"
"Mattioli Woods plc","$523.7 M","United Kingdom","Asset Management","Financials"
"Octopus Renewables Infrastructure Trust plc","$523.1 M","United Kingdom","Asset Management","Financials"
"LSL Property Services plc","$515.7 M","United Kingdom","Real Estate Services","Real Estate"
"Hollywood Bowl Group plc","$514.5 M","United Kingdom","Leisure","Consumer Discretionary"
"Urovant Sciences Ltd.","(Feb. 18, 2021)","United Kingdom","Biotechnology","Healthcare"
"Diverse Income Trust","$511.9 M","United Kingdom","Asset Management","Financials"
"Panariagroup Industrie Ceramiche SpA","$510.1 M","United Kingdom","Software—Infrastructure","Technology"
"Baillie Gifford European Growth Trust plc","$508.2 M","United Kingdom","Asset Management","Financials"
"Anglo Pacific Group plc","$503.9 M","United Kingdom","Coking Coal","Basic Materials"
"Kier Group plc","$499.2 M","United Kingdom","Engineering & Construction","Industrials"
"Investindustrial Acquisition Corp.","(Dec. 1, 2021)","United Kingdom","Shell Companies","Financials"
"Pacific Assets Trust","$498.8 M","United Kingdom","Asset Management","Financials"
"Regional REIT Ltd","$498.8 M","United Kingdom","REIT—Diversified","Real Estate"
"On the Beach Group plc","$497.1 M","United Kingdom","Travel Services","Consumer Discretionary"
"Phoenix Spree Deutschland Limited","$496.7 M","United Kingdom","REIT—Residential","Real Estate"
"JPMorgan Elect plc Managed Growth","$492.6 M","United Kingdom","Asset Management","Financials"
"COMPASS Pathways plc","$492.2 M","United Kingdom","Medical Care Facilities","Healthcare"
"Inspecs Group plc","$491.8 M","United Kingdom","Medical Instruments & Supplies","Healthcare"
"JPMorgan Asia Growth & Income plc","$490.7 M","United Kingdom","Asset Management","Financials"
"Kistos plc","$487.0 M","United Kingdom","Asset Management","Financials"
"Templeton Emerging Markets Investment Trust TEMIT","$484.4 M","United Kingdom","Asset Management","Financials"
"Luxfer Holdings PLC","$483.8 M","United Kingdom","Specialty Industrial Machinery","Industrials"
"MJ Gleeson plc","$483.4 M","United Kingdom","Residential Construction","Consumer Discretionary"
"Polar Capital Global Healthcare Trust","$477.7 M","United Kingdom","Asset Management","Financials"
"Petrofac Limited","$472.4 M","United Kingdom","Oil & Gas Equipment & Services","Energy"
"Henderson European Focus Trust plc","$471.2 M","United Kingdom","Asset Management","Financials"
"Bloomsbury Publishing plc","$470.9 M","United Kingdom","Publishing","Communication Services"
"Fuller, Smith & Turner plc","$470.1 M","United Kingdom","Restaurants","Consumer Discretionary"
"Real Estate Credit Investments Limited","$470.1 M","United Kingdom","Asset Management","Financials"
"Pendragon plc","$468.4 M","United Kingdom","Auto & Truck Dealerships","Consumer Discretionary"
"Lowland Investment Company plc","$464.9 M","United Kingdom","Asset Management","Financials"
"Honeycomb Investment Trust plc","$463.3 M","United Kingdom","Asset Management","Financials"
"Standard Life Investments Property Income Trust","$463.0 M","United Kingdom","REIT—Diversified","Real Estate"
"BMO Private Equity Trust plc","$462.7 M","United Kingdom","Asset Management","Financials"
"TT Electronics plc","$461.9 M","United Kingdom","Electronic Components","Technology"
"Capita plc","$460.2 M","United Kingdom","Specialty Business Services","Industrials"
"Lookers plc","$459.3 M","United Kingdom","Auto & Truck Dealerships","Consumer Discretionary"
"Alpha Financial Markets Consulting plc","$458.9 M","United Kingdom","Consulting Services","Industrials"
"BMO Capital and Income Investment Trust plc","$455.1 M","United Kingdom","Asset Management","Financials"
"Riverstone Energy Limited","$454.4 M","United Kingdom","Asset Management","Financials"
"Henderson International Income Trust","$453.6 M","United Kingdom","Asset Management","Financials"
"accesso Technology Group plc","$450.9 M","United Kingdom","Software—Application","Technology"
"Vp plc","$450.2 M","United Kingdom","Rental & Leasing Services","Industrials"
"Devro plc","$449.0 M","United Kingdom","Packaged Foods","Consumer Staples"
"Jubilee Metals Group plc","$445.2 M","United Kingdom","Other Industrial Metals & Mining","Basic Materials"
"Eurasia Mining plc","$440.4 M","United Kingdom","Other Precious Metals & Mining","Basic Materials"
"Triple Point Social Housing Reit plc","$439.8 M","United Kingdom","REIT—Diversified","Real Estate"
"S&U plc","(Jan. 1, 2022)","United Kingdom","Credit Services","Financials"
"Saga plc","$434.4 M","United Kingdom","Insurance—Diversified","Financials"
"Fidelity Asian Values plc","$433.7 M","United Kingdom","Asset Management","Financials"
"Aberdeen New India Investment Trust plc","$433.6 M","United Kingdom","Asset Management","Financials"
"Aberdeen Diversified Income And Growth Trust plc","$428.2 M","United Kingdom","Asset Management","Financials"
"Headlam Group plc","$428.1 M","United Kingdom","Furnishings, Fixtures & Appliances","Consumer Discretionary"
"Benchmark Holdings plc","$427.1 M","United Kingdom","Drug Manufacturers—Specialty & Generic","Healthcare"
"Elixirr International plc","$424.0 M","United Kingdom","Consulting Services","Industrials"
"Aberdeen New Dawn Investment Trust plc","$421.3 M","United Kingdom","Asset Management","Financials"
"ScION Tech Growth II","$421.1 M","United Kingdom","Shell Companies","Financials"
"Luceco plc","$420.8 M","United Kingdom","Electrical Equipment & Parts","Industrials"
"The Gym Group plc","$417.0 M","United Kingdom","Leisure","Consumer Discretionary"
"Trian Investors 1 Ltd","$415.4 M","United Kingdom","Asset Management","Financials"
"Gresham House plc","$406.7 M","United Kingdom","Asset Management","Financials"
"Marshall Motor Holdings plc","$406.3 M","United Kingdom","Auto & Truck Dealerships","Consumer Discretionary"
"Fundsmith Emerging Equities Trust plc","$405.3 M","United Kingdom","Asset Management","Financials"
"JPMorgan China Growth & Income plc","$402.8 M","United Kingdom","Asset Management","Financials"
"Home Reit plc","$399.0 M","United Kingdom","REIT—Diversified","Real Estate"
"Audioboom Group plc","$397.8 M","United Kingdom","Internet Content & Information","Communication Services"
"PensionBee Group plc","$392.8 M","United Kingdom","Software—Application","Technology"
"Scottish Oriental Smaller Companies Trust plc","$391.4 M","United Kingdom","Asset Management","Financials"
"FRP Advisory Group plc","$391.2 M","United Kingdom","Capital Markets","Financials"
"Martin Currie Global Portfolio Investment Trust","$390.9 M","United Kingdom","Asset Management","Financials"
"AFC Energy plc","$390.7 M","United Kingdom","Electrical Equipment & Parts","Industrials"
"Aberdeen Standard European Logistics Income plc","$385.7 M","United Kingdom","REIT—Industrial","Real Estate"
"Porvair plc","$385.4 M","United Kingdom","Pollution & Treatment Controls","Industrials"
"RPS Group plc","$384.6 M","United Kingdom","Consulting Services","Industrials"
"Adriatic Metals plc","$379.9 M","United Kingdom","Other Industrial Metals & Mining","Basic Materials"
"VH Global Sustainable Energy Opportunities plc","$378.8 M","United Kingdom","Asset Management","Financials"
"CentralNic Group plc","$377.9 M","United Kingdom","Internet Content & Information","Communication Services"
"Schroder Real Estate Investment Trust Limited","$377.6 M","United Kingdom","REIT—Diversified","Real Estate"
"London Security plc","(March 13, 2021)","United Kingdom","Security & Protection Services","Industrials"
"Funding Circle Holdings plc","$373.9 M","United Kingdom","Credit Services","Financials"
"Tracsis plc","$373.8 M","United Kingdom","Software—Application","Technology"
"Amryt Pharma plc","(Jan. 1, 2022)","United Kingdom","Drug Manufacturers—Specialty & Generic","Healthcare"
"Baillie Gifford UK Growth","$372.5 M","United Kingdom","Asset Management","Financials"
"Broadstone Acquisition Corp","(Dec. 1, 2021)","United Kingdom","Shell Companies","Financials"
"Speedy Hire plc","$368.9 M","United Kingdom","Specialty Business Services","Industrials"
"IDOX plc","$368.2 M","United Kingdom","Software—Application","Technology"
"Accsys Technologies plc","$367.8 M","United Kingdom","Lumber & Wood Production","Basic Materials"
"Premier Oil plc","(March 13, 2021)","United Kingdom","Oil & Gas E&P","Energy"
"Brickability Group plc","$365.0 M","United Kingdom","Industrial Distribution","Industrials"
"Argo Blockchain plc","$362.5 M","United Kingdom","Capital Markets","Financials"
"Charles Stanley Group plc","(Jan. 1, 2022)","United Kingdom","Asset Management","Financials"
"Centricus Acquisition Corp","(Nov. 1, 2021)","United Kingdom","Shell Companies","Financials"
"NewRiver REIT plc","$359.7 M","United Kingdom","REIT—Retail","Real Estate"
"McKay Securities plc","$358.6 M","United Kingdom","REIT—Diversified","Real Estate"
"Numis Corporation plc","$358.4 M","United Kingdom","Capital Markets","Financials"
"Bacanora Lithium plc","(Jan. 1, 2022)","United Kingdom","Other Industrial Metals & Mining","Basic Materials"
"Photo-Me International plc","$355.9 M","United Kingdom","Leisure","Consumer Discretionary"
"XPS Pensions Group plc","$352.9 M","United Kingdom","Personal Services","Consumer Discretionary"
"Telit Communications plc","(March 13, 2021)","United Kingdom","Communication Equipment","Technology"
"Aberdeen Emerging Markets Equity Income Fund, Inc.","$350.0 M","United Kingdom","Asset Management","Financials"
"Tatton Asset Management plc","$347.2 M","United Kingdom","Asset Management","Financials"
"IQE plc","$346.8 M","United Kingdom","Semiconductor Equipment & Materials","Technology"
"International Biotechnology Trust","$346.3 M","United Kingdom","Asset Management","Financials"
"Aurora Acquisition Corp","$345.6 M","United Kingdom","Shell Companies","Financials"
"Naked Wines plc","$344.9 M","United Kingdom","Beverages—Wineries & Distilleries","Consumer Staples"
"CVC Credit Partners European Opportunities Limited","$344.1 M","United Kingdom","Asset Management","Financials"
"Goodwin plc","$343.4 M","United Kingdom","Specialty Industrial Machinery","Industrials"
"Savannah Energy plc","$343.4 M","United Kingdom","Oil & Gas E&P","Energy"
"AB Dynamics plc","$341.2 M","United Kingdom","Auto Parts","Consumer Discretionary"
"Unicorn AIM VCT plc","$341.0 M","United Kingdom","Asset Management","Financials"
"Motorpoint Group plc","$339.2 M","United Kingdom","Auto & Truck Dealerships","Consumer Discretionary"
"Gooch & Housego plc","$336.4 M","United Kingdom","Electronic Components","Technology"
"BlackRock Frontiers Investment Trust plc","$336.3 M","United Kingdom","Asset Management","Financials"
"JPMorgan Smaller Companies Investment Trust plc","$336.1 M","United Kingdom","Asset Management","Financials"
"Schroder Japan Growth Fund plc","(March 13, 2021)","United Kingdom","Asset Management","Financials"
"City of London Investment Group plc","$335.0 M","United Kingdom","Asset Management","Financials"
"Horizonte Minerals plc","$333.4 M","United Kingdom","Other Industrial Metals & Mining","Basic Materials"
"JPMorgan US Smaller Co. Inv Tst plc","$332.9 M","United Kingdom","Asset Management","Financials"
"Loungers plc","$330.3 M","United Kingdom","Restaurants","Consumer Discretionary"
"Troy Income & Growth Trust plc","$328.7 M","United Kingdom","Asset Management","Financials"
"Premier Miton Group plc","$325.6 M","United Kingdom","Asset Management","Financials"
"JPMorgan Mid Cap Investment Trust plc","$324.3 M","United Kingdom","Asset Management","Financials"
"Octopus Apollo VCT","$322.6 M","United Kingdom","Asset Management","Financials"
"Dignity plc","$322.0 M","United Kingdom","Personal Services","Consumer Discretionary"
"James Latham plc","$321.3 M","United Kingdom","Industrial Distribution","Industrials"
"The Independent Investment Trust plc","$320.1 M","United Kingdom","Asset Management","Financials"
"Adaptimmune Therapeutics plc","$315.8 M","United Kingdom","Biotechnology","Healthcare"
"Eurocell plc","$315.3 M","United Kingdom","Building Products & Equipment","Industrials"
"Gateley (Holdings) plc","$314.9 M","United Kingdom","Consulting Services","Industrials"
"i3 Energy plc","$312.9 M","United Kingdom","Oil & Gas E&P","Energy"
"CQS New City High Yield Fund Limited","$311.8 M","United Kingdom","Asset Management","Financials"
"Invesco Asia Trust plc","$311.3 M","United Kingdom","Asset Management","Financials"
"Fidelity Japan Trust plc","$309.2 M","United Kingdom","Asset Management","Financials"
"ANGLE plc","$307.5 M","United Kingdom","Diagnostics & Research","Healthcare"
"Ricardo plc","$307.5 M","United Kingdom","Consulting Services","Industrials"
"Verona Pharma plc","$307.5 M","United Kingdom","Biotechnology","Healthcare"
"Autolus Therapeutics plc","$307.3 M","United Kingdom","Biotechnology","Healthcare"
"Secure Trust Bank plc","$306.4 M","United Kingdom","Banks","Financials"
"Proton Motor Power Systems plc","$305.4 M","United Kingdom","Electrical Equipment & Parts","Industrials"
"Vertu Motors plc","$304.3 M","United Kingdom","Auto & Truck Dealerships","Consumer Discretionary"
"Securities Trust of Scotland plc","$304.1 M","United Kingdom","Asset Management","Financials"
"AA plc","(March 13, 2021)","United Kingdom","Personal Services","Consumer Discretionary"
"Wilmington plc","$302.2 M","United Kingdom","Conglomerates","Industrials"
"River and Mercantile Group plc","$300.5 M","United Kingdom","Asset Management","Financials"
"Augean plc","(March 13, 2021)","United Kingdom","Waste Management","Industrials"
"Ted Baker plc","$294.4 M","United Kingdom","Apparel Retail","Consumer Discretionary"
"Augmentum Fintech plc","$292.5 M","United Kingdom","Asset Management","Financials"
"Gemfields Group Limited","$291.7 M","United Kingdom","Other Precious Metals & Mining","Basic Materials"
"BMO Real Estate Investments Ltd","$291.5 M","United Kingdom","REIT—Diversified","Real Estate"
"Henderson High Income Trust","$290.7 M","United Kingdom","Asset Management","Financials"
"Cerillion plc","$290.0 M","United Kingdom","Software—Application","Technology"
"Fintel Plc","$288.7 M","United Kingdom","Consulting Services","Industrials"
"Mears Group plc","$286.6 M","United Kingdom","Specialty Business Services","Industrials"
"Lindsell Train Investment Trust","$286.5 M","United Kingdom","Asset Management","Financials"
"Petra Diamonds Limited","$285.6 M","United Kingdom","Other Precious Metals & Mining","Basic Materials"
"Schroder UK Public Private Trust plc","$285.5 M","United Kingdom","Asset Management","Financials"
"Tiziana Life Sciences plc","(March 13, 2021)","United Kingdom","Biotechnology","Healthcare"
"Ecofin Global Utilities & Infrastructure Trust plc","$284.3 M","United Kingdom","Asset Management","Financials"
"NB Global Monthly Income Fund Ltd GBP","$281.1 M","United Kingdom","Asset Management","Financials"
"Keystone Law Group plc","$276.8 M","United Kingdom","Personal Services","Consumer Discretionary"
