,name,industry,sector,headquarters,founded,notes
0,agrana,consumer goods,food products,vienna,1988,"sugar, starch, fruit juice concentrates and fruit preparation"
1,pewag group,industrials,industrial machinery,klagenfurt,1479,chain manufacturer
2,aht cooling systems,industrials,electronic equipment,rottenmann,1983,cooling and refrigeration
3,ammerer bed company,consumer goods,durable household products,ried im innkreis,1763,
4,ams ag,technology,semiconductors,premstätten,1981,semiconductors
5,andritz,industrials,industrial machinery,graz,1852,plant engineering
6,atomic skis,consumer goods,recreational products,altenmarkt im pongau,1955,"skis, part of amer sports (finland)"
7,augarten porcelain,consumer goods,durable household products,vienna,1923,
8,amag austria metall ag,industrials,diversified industrials,braunau am inn,1938,general manufacturing
9,austria wirtschaftsservice gesellschaft (aws),financials,banks,vienna,1954,development and financing bank
10,austrian airlines,consumer services,airlines,schwechat,1957,flag carrier airline. part of lufthansa (germany)
11,avl,industrials,business support services,graz,1948,automotive engineering
12,b&r,industrials,electronic equipment,eggelsberg,1979,automation and process control
13,bank austria,financials,banks,vienna,1855,banking
14,baumax,consumer services,home improvement retailers,klosterneuburg,1976,defunct 2015
15,bawag,financials,banks,vienna,1922,banking
16,bene ag,consumer goods,furnishings,waidhofen an der ybbs,1790,office furniture
17,bestattung wien,consumer services,specialized consumer services,vienna,1907,funeral director
18,billa,consumer services,food retailers & wholesalers,wiener neudorf,1953,supermarkets
19,böhler-uddeholm,basic materials,iron & steel,vienna,1991,steel
20,borealis,basic materials,commodity chemicals,vienna,1994,polyethylene
21,bösendorfer,consumer goods,recreational products,vienna,1828,"pianos, now part of yamaha corporation (japan)"
22,bundesimmobiliengesellschaft (big),financials,real estate holding & development,vienna,1992,government real estate
23,cineplexx cinemas,consumer services,recreational services,vienna,1993,cinemas
24,cisc semiconductor,technology,semiconductors,klagenfurt,1999,
25,delfortgroup,basic materials,paper,traun,2006,paper
26,dependeq,industrials,business support services,vienna,1999,metallurgical plants
27,diamond aircraft industries,consumer goods,aerospace,wiener neustadt,1981,aircraft manufacturer
28,doka group,industrials,heavy construction,amstetten,1868,formwork
29,doppelmayr garaventa group,consumer goods,recreational products,wolfurt,1892,commercial ski equipment
30,dorotheum,consumer services,specialized consumer services,vienna,1707,auction house
31,erste bank,financials,banks,vienna,2008,banking
32,fabasoft,technology,software,linz,1988,software
33,fischer,consumer goods,recreational products,ried im innkreis,1924,skis and aircraft parts
34,frequentis,technology,telecommunications equipment,vienna,1947,communications technology
35,ge jenbacher,industrials,industrial machinery,jenbach,1959,engines
36,gericom,technology,computer hardware,linz,1990,"computer equipment, defunct 2008"
37,gessler,consumer goods,distillers & vintners,vienna,1777,distiller
38,glock ges.m.b.h.,industrials,defense,deutsch-wagram,1963,small arms
39,goldscheider ceramics,consumer goods,durable household products,vienna,1885,"ceramics, art"
40,julius blum,consumer goods,furnishings,höchst,1952,furniture industry
41,julius meinl,consumer goods,beverages,vienna,1862,coffee
42,kapsch,technology,telecommunications equipment,vienna,1892,telematics
43,kika,consumer goods,furnishings,vienna,1973[3],furniture
44,kores,consumer goods,nondurable household products,vienna,1887,school supplies
45,ktm,consumer goods,automobiles,mattighofen,1934,motorcycles
46,lenzing ag,basic materials,commodity chemicals,lenzing,1938,cellulose fiber
47,löblich & co.,industrials,industrial machinery,vienna,1738,"heating, commercial kitchens"
48,lyoness,consumer services,specialized consumer services,graz,2003,shopping community
49,magna steyr,consumer goods,automobiles,graz,2001,automobiles & components manufacturer
50,mayr-melnhof,industrials,containers & packaging,vienna,1950,packaging
51,neumann international,industrials,business training & employment agencies,vienna,1971,executive search
52,niki,consumer services,airlines,schwechat,2003,budget airline
53,noctua,consumer goods,computer hardware,vienna,2005,computer cooling systems
54,öaf,consumer goods,automobiles,floridsdorf,1907,"automotive, now part of man se"
55,öbb,industrials,railroads,vienna,1923,state railways
56,omv,oil & gas,exploration & production,vienna,1956,"petroleum, global 500 firm"
57,onepharm,health care,biotechnology,vienna,2005,biopharma
58,österreichische industrieholding ag,financials,asset managers,vienna,1967,government stockholder
59,österreichische post,logistics,delivery services,vienna,1999,postal services
60,palfinger,industrials,commercial vehicles & trucks,salzburg,1932,cranes for trucks
61,pfanner,consumer goods,beverages,lauterach,1856,beverages
62,piatnik & söhne,consumer goods,recreational products,vienna,1824,playing cards
63,plansee group,basic materials,commodity chemicals,breitenwang,1921,powder metallurgy
64,puch,consumer goods,automobiles,graz,1899,"bikes, now part of magna steyr"
65,raiffeisen,financials,banks,vienna,1927,banking
66,red bull gmbh,consumer goods,beverages,fuschl am see,1987,beverages
67,rhi ag,industrials,industrial suppliers,vienna,1834,fireproof industry
68,rosenbauer,industrials,commercial vehicles & trucks,leonding,1866,fire vehicles
69,rotax,industrials,auto components,gunskirchen,1920,"aircraft, marine & vehicle engines, now part of bombardier recreational products"
70,runtastic,technology,software,pasching,2009,smartphone apps
71,semperit,basic materials,commodity chemicals,vienna,1824,rubber products
72,skidata,industrials,electronic equipment,grödig,1977,access systems
73,steyr mannlicher,industrials,defense,sankt ulrich bei steyr,1864,weapons and cars; see magna steyr
74,steyr motors gmbh,industrials,auto components,sankt ulrich bei steyr,2001,diesel engines
75,steyr tractor,consumer goods,automobiles,floridsdorf,1907,"tractors, now part of cnh industrial"
76,strabag,industrials,heavy construction,vienna,1835,construction
77,stroh,consumer goods,distillers & vintners,klagenfurt,1832,rum
78,swarovski,consumer goods,clothing & accessories,wattens,1895,jewelry and optical instruments
79,taurob,robotics,autonomous robots,vienna,2010,robots for hazardous environments
80,telekom austria,telecommunications,fixed line telecommunications,vienna,1998,telecom
81,tourradar,consumer services,travel & tourism,vienna,2010,"multi-day group tours, tour booking service"
82,tushek&spigel supercars,consumer goods,automobiles,graz,2012,super sport cars
83,uniqa,financials,full line insurance,vienna,1922,insurance
84,verbund,utilities,alternative electricity,vienna,1947,"utilities, hydroelectric"
85,vienna insurance group,financials,full line insurance,vienna,1824,insurance
86,voestalpine,basic materials,iron & steel,linz,1938,steelmaker
87,wienerberger,industrials,building materials & fixtures,vienna,1819,bricks
88,zumtobel lighting group,industrials,building materials & fixtures,dornbirn,1950,lighting
89,abelag aviation,consumer services,airlines,zaventem,1964,charter airline
90,ablynx,health care,biotechnology,ghent[7],2001,biopharma
91,ackermans & van haaren,conglomerates,-,antwerp,1876,"construction, real estate, financial services"
92,af compressors,industrials,industrial engineering,liege,1870,compressors
93,ag real estate,financials,real estate holding and development,brussels,1824,real estate
94,ageas,financials,consumer finance,brussels,1990,financing
95,agfa-gevaert,technology,computer services,mortsel,1867,digital imaging and it solutions
96,agoria,industrials,business support services,brussels,1946,trade association
97,aim productions,technology,computer services,hove,1994,it
98,alpro,consumer goods,food products,ghent[8],1980,soy products
99,anheuser-busch inbev,consumer goods,brewers,leuven,2008,"breweries, distributors; see also inbev brands"
100,antwerp water works,utilities,water,antwerp,1880,water utility
101,aquafin,utilities,water,antwerp,1990,wastewater
102,asl airlines belgium,industrials,delivery services,liège,1999,"cargo airline, part of asl airlines ireland"
103,associated weavers,consumer goods,clothing and accessories,ronse,1964,textile
104,aveve,consumer goods,farming and fishing,aalter,1890,agriculture
105,aviapartner,industrials,delivery services,brussels,1949,ground handling
106,barco,technology,computer hardware,kortrijk,1934,display manufacturer
107,base,industrials,business support services,brussels,1993,communications and design
108,beaulieu international group,consumer goods,clothing and accessories,wielsbeke,1959,textiles
109,befimmo,financials,real estate holding and development,brussels,1995,real estate
110,bekaert,basic materials,specialty chemicals,kortrijk,1880,metal transformations and coatings
111,belgian beer café,consumer services,restaurants and bars,leuven,1998,cafe/restaurant
112,belgian investment company for developing countries,financials,specialty finance,brussels,2001,financial ngo
113,bpost,industrials,delivery services,brussels,2000,postal services
114,brussels airlines,consumer services,airlines,brussels,2006,"flag carrier airline, part of lufthansa (germany)"
115,brussels regional investment company,financials,specialty finance,brussels,1984,financing
116,cockerill sambre,basic materials,iron and steel,seraing,1817,partially defunct in 1998
117,carmeuse,basic materials,general mining,louvain-la-neuve,1860,lime and limestone mining
118,cartamundi,consumer goods,toys,turnhout,1970,games
119,cavalier chocolate,consumer goods,food products,eeklo,1996,chocolatier
120,claeys,industrials,commercial vehicles and trucks,zedelgem,1906,"farm equipment, defunct 1991"
121,cofinimmo,financials,real estate services,brussels,1983,real estate
122,colruyt group,consumer services,food retailers and wholesalers,halle,1925,"retail, supermarkets"
123,compagnie maritime belge,industrials,marine transportation,antwerp,1895,shipping
124,confiserie roodthooft,consumer goods,food products,antwerp,1925,confectioner
125,copiepresse,consumer services,publishing,brussels,2000,newspaper
126,de lijn,consumer services,travel and tourism,mechelen,1991,state-owned public transportation
127,deceuninck,basic materials,commodity chemicals,hooglede,1937,pvc
128,delhaize group,consumer goods,food products,brussels,1867,food
129,deme,industrials,heavy construction,zwijndrecht,1991,infrastructure
130,d'ieteren,consumer services,specialized consumer services,brussels,1805,automotive services
131,domo group,consumer goods,clothing and accessories,ghent,1992,textiles
132,ecover,consumer goods,nondurable household products,malle,1979,cleaning products
133,effortel,financials,financial services,brussels,2005,money movement
134,etap lighting,consumer goods,building materials and fixtures,malle,1949,lighting
135,eurogentec,health care,biotechnology,seraing,1985,biotech
136,evs broadcast equipment,technology,telecommunications equipment,liège,1994,broadcasting equipment
137,ferranti computer systems,technology,computer hardware,antwerp,1976,"computers, previously a part of ferranti (uk)"
138,fluxys,oil and gas,exploration and production,brussels,2001,"natural gas, subsidiary of suez"
139,forrest group,basic materials,general mining,wavre,1922,mining
140,gimv,financials,equity investment instruments,brussels,1980[9],investing
141,godiva chocolatier,consumer goods,food products,brussels,1926,chocolatier
142,group joos,consumer services,publishing,turnhout,1935,"printing, document management"
143,groupe bruxelles lambert,industrials,diversified industrials,brussels,1902,industrial holdings
144,guylian,consumer goods,food products,sint-niklaas,1960,chocolatier
145,imec,technology,computer services,leuven,1984,technology research center
146,imperia automobiles,consumer goods,automobiles,liège,1906,"automotive, revived in 2009"
147,innogenetics,health care,biotechnology,ghent,1985,"diagnostics, ivd"
148,jan de nul,industrials,building materials and fixtures,aalst,1938,"construction, maritime maintenance"
149,janssen pharmaceutica,health care,pharmaceuticals,beerse,1953,"pharma, subsidiary of johnson & johnson"
150,jonckheere,industrials,commercial vehicles and trucks,roeselare,1881,buses
151,katoen natie,industrials,delivery services,antwerp,1854,logistics
152,kbc bank,financials,banks,brussels,1985,bank
153,keytrade bank,financials,investment services,brussels,1998,investments
154,kinepolis,consumer services,recreational services,ghent,1997,movie theaters
155,larian studios,technology,software,ghent,1996,game developer
156,libeco-lagae,consumer goods,clothing and accessories,meulebeke,1997,textiles
157,louis delhaize group,consumer services,food retailers and wholesalers,charleroi,1875,"retail, supermarkets"
158,luciad nv,technology,computer services,leuven,1999,geographic information systems (gis)
159,materialise nv,technology,computer services,leuven,1990,3d printing solutions
160,metallo-chimique,basic materials,nonferrous metals,beerse,1919,mining
161,mutoh europe nv,consumer goods,consumer electronics,ostend,1990,electronics
162,namahn,industrials,business support services,brussels,1987,design consulting
163,national railway company of belgium,consumer services,rail transport,brussels,1926,passenger rail
164,compagnie nationale à portefeuille (cnp),industrials,diversified industrials,gerpinnes,1981,industrial holding
165,nyrstar,basic materials,general mining,balen,2007,mining
166,option n.v.,technology,computer hardware,leuven,1986,wireless technology
167,proost,consumer services,publishing,turnhout,1913,book publishing
168,proximus,telecommunications,mobile telecommunications,brussels,1994,"mobile network, part of proximus group"
169,proximus group,telecommunications,fixed line telecommunications,brussels,1930,state-owned telecommunications
170,regional investment company of wallonia,financials,investment services,liège,1979,investments
171,reynaers aluminium,basic materials,aluminum,duffel,1965,aluminium
172,rhj international,financials,asset managers,brussels,1786,financial services group
173,ridley bikes,consumer goods,recreational products,paal,1997,bicycles
174,saluc,consumer goods,recreational products,péruwelz,1923,ball manufacturing
175,septentrio,consumer goods,consumer electronics,leuven,2000,electronics
176,seyntex,consumer goods,clothing and accessories,oostrozebeke,1908,textiles
177,skytech,industrials,aerospace,brussels,1989,helicopters
178,sofina,financials,equity investment instruments,brussels,1898,investing
179,solvay s.a.,basic materials,specialty chemicals,brussels,1863,industrial chemicals
180,soudal,basic materials,specialty chemicals,turnhout,1966,silicone
181,sugar refinery of tienen,consumer goods,food products,tienen,1836,sugar
182,telenet,telecommunications,fixed line telecommunications,mechelen,1996,broadband cable
183,teleroute,industrials,delivery services,brussels,1985,freight
184,thermote & vanhalst,industrials,commercial vehicles and trucks,waregem,1969,"spare parts, accessories"
185,thomas cook airlines belgium,consumer services,airlines,zaventem,2001,charter airline
186,tibotec,health care,pharmaceuticals,mechelen,1994,"pharma, subsidiary of johnson & johnson (us)"
187,tigenix,health care,biotechnology,leuven,2000,biomedical
188,tractebel,industrials,business support services,brussels,1986,engineering
189,truvo,industrials,business support services,antwerp,1968,"local search, directories"
190,tuifly belgium,consumer services,airlines,zaventem,2003,airline
191,ucb,health care,pharmaceuticals,brussels,1928,pharma
192,umedia,consumer services,broadcasting and entertainment,brussels,2010,film studio
193,umicore,basic materials,general mining,brussels,1989,materials and mining
194,unibind,industrials,containers and packaging,brussels,1939,bookbinding
195,union minière du haut katanga,basic materials,general mining,brussels,1906,"mining, defunct 1966"
196,van genechten packaging,industrials,containers and packaging,turnhout,1833,"printing, packaging"
197,van hool,industrials,commercial vehicles and trucks,koningshooikt,1947,buses
198,vanbreda international,financials,life insurance,antwerp,1937,health insurance
199,vanparys,consumer goods,food products,brussels,1889,confectioner
200,velleman,industrials,electronic equipment,gavere,1975,electronics
201,vinçotte,industrials,business support services,brussels,1873,inspections
202,vlm airlines,consumer services,airlines,antwerp,1992,airline
203,volvo car gent,consumer goods,automobiles,ghent,1965,local subsidiary of volvo (sweden)
204,walloon sme finance and guarantee company,financials,specialty finance,liège,2002,financing
205,zetes,technology,technology hardware,brussels,1984,identification technology
206,air via,consumer services,airlines,sofia,1990,charter airline
207,ariana brewery,consumer goods,brewers,sofia,1884,"brewery, defunct 2004"
208,armimex,industrials,defense,sofia,1992,"arms and weaponry export, defunct 2003"
209,arsenal ad,industrials,defense,kazanlak,1878,military equipment manufacture
210,asarel medet,basic materials,nonferrous metals,panagyurishte,1964,copper extraction and processing
211,astika brewery,consumer goods,brewers,pazardzhik,1980,brewery
212,aukro.bg,consumer services,broadline retailers,sofia,2007,"online shopping, defunct 2013"
213,balkanstroy,industrials,construction & materials,sofia,1994,engineering and construction
214,balkantourist,consumer services,travel & tourism,sofia,1948,travel services
215,balkanton,consumer services,record label,sofia,1952,record label
216,bh air,consumer services,airlines,sofia,2001,passenger air transport
217,black sea studios,technology,software,sofia,2001,"video and computer games development, defunct 2016"
218,blizoo,telecommunications,fixed line telecommunications,sofia,2010,cable operator
219,bulgaria air,consumer services,airlines,sofia,2002,passenger and freight air transport
220,bulgarian agricultural and commercial bank,financials,banks,sofia,1969,"former state bank, rejoined central bank in 1971"
221,bulgarian air charter,consumer services,airlines,sofia,2000,charter airline
222,bulgarian development bank,financials,banks,sofia,1999,commercial bank
223,bulgarian energy holding,oil & gas,exploration & production,sofia,2008,"energy, gas and nuclear power"
224,bulgarian national bank,financials,banks,sofia,1879,central bank
225,bulgarian postbank,financials,banks,sofia,1991,universal bank
226,bulgarian posts,industrials,delivery services,sofia,1879,postal and courier services
227,bulgarian state railways,industrials,railroads,sofia,1885,passenger and freight rail transport
228,bulgartabac,consumer goods,tobacco,sofia,1947,tobacco holding firm
229,cargoair,industrials,delivery services,sofia,2007,cargo airline
230,central cooperative bank,financials,banks,sofia,1991,universal commercial bank
231,chimimport,conglomerates,-,sofia,1947,"chemicals, oil & gas, financials"
232,corecom,consumer services,specialty retailers,sofia,1960,hard-currency retail
233,cumerio med,basic materials,nonferrous metals,pirdop,1932,copper smelting
234,diema,consumer services,broadcasting & entertainment,sofia,1999,television
235,dsk bank,financials,banks,sofia,1951,"bank, part of otp bank (hungary)"
236,dzi,financials,full line insurance,sofia,1946,insurance
237,economedia,consumer services,publishing,sofia[1],1993[1],media and publishing
238,egmont bulgaria,consumer services,publishing,sofia,1991,"publisher, part of egmont group (denmark)"
239,era,consumer services,publishing,sofia,1996,publisher
240,eurofootball,consumer services,gambling,sofia,1990,sports betting and bookmaking
241,fantastico,consumer services,food retailers & wholesalers,sofia,1991,supermarket
242,first investment bank,financials,banks,sofia,1993,banking
243,girdap,financials,banks,ruse,1881,"private bank, defunct 1925"
244,haemimont games,technology,software,sofia,1997,video and computer games development
245,heli air services,consumer services,airlines,sofia,1990,charter airline
246,hotel rodina,consumer services,hotels,sofia,1979,hotel
247,hvb bank biochim,financials,banks,sofia,1986,"bank, defunct 2007"
248,kamenitza,consumer goods,brewers,plovdiv,1881,brewery
249,karlsberg bulgaria ad,consumer goods,brewers,shumen,2002,brewery
250,kino nova,consumer services,broadcasting & entertainment,sofia,2011,movie channel
251,kintex,industrials,defense,sofia,1966,arms and weaponry export
252,kremikovtzi ad,basic materials,iron & steel,sofia,1963,metal and steelworks
253,"m3 communications group, inc",consumer services,broadcasting & entertainment,sofia,1994,media consulting
254,maxeurope,consumer goods,recreational products,plovdiv,1996,bicycles
255,mtel (mobiltel),telecommunications,mobile telecommunications,sofia,1994,"mobile phones, part of telekom austria"
256,multigroup,conglomerates,-,sofia,1989[2],
257,navibulgar,industrials,marine transportation,varna,1892,shipping company
258,lukoil neftochim burgas,oil & gas,exploration & production,burgas,1961[3],"refining, petrochemicals, part of lukoil (russia)"
259,nek ead,utilities,conventional electricity,sofia,1991,energy distribution
260,neterra,telecommunications,fixed line telecommunications,sofia,1996,iptv and satellite broadcasting
261,nimero,technology,software,sofia,2009,information technology
262,ontotext,technology,software,sofia,2000,software development
263,overgas,oil & gas,pipelines,sofia,1991,gas distribution
264,petrol ad,oil & gas,pipelines,sofia,1932,oil distribution
265,pirinsko pivo,consumer goods,brewers,blagoevgrad,1969,brewery
266,prista oil,basic materials,specialty chemicals,ruse,1993,motor oils and industrial lubricants
267,prosveta publishing house,consumer services,publishing,sofia,1945,publishing
268,raiffeisen bulgaria,financials,banks,sofia,1994,universal bank
269,sucreries raffineries bulgares,consumer goods,food products,sofia,1897,"sugar refinery, defunct 1916"
270,technomarket,consumer services,consumer electronics,sofia[4],1992,"retail, consumer electronics"
271,telenor bulgaria,telecommunications,mobile telecommunications,sofia,2001,"mobile network, part of telenor (norway)"
272,terem,industrials,defense,sofia,1963[5],arms and weaponry manufacture
273,texim bank,financials,banks,sofia,1992,private bank
274,unicredit bulbank,financials,banks,sofia,1964,bank
275,unionbank,financials,banks,sofia,1991,retail and commercial bank
276,united bulgarian bank,financials,banks,sofia,1992,commercial bank
277,varna shipyard,industrials,shipbuilding,varna,1907,shipyard
278,vitta foods,consumer goods,food products,svilengrad,2006,frozen food and pastries
279,vivacom,telecommunications,fixed line telecommunications,sofia,1992,telecom
280,vrz karlovo,industrials,commercial vehicles & trucks,karlovo,1964,railway cars and equipment
281,3. maj,industrials,commercial vehicles & trucks,rijeka,1892,shipyard
282,3lhd,industrials,business support services,zagreb,1994,architecture
283,a1 hrvatska,telecommunications,mobile telecommunications,zagreb,1999,mobile operator and isp
284,lng hrvatska,oil & gas,exploration & production,omišalj,2013,natural gas
285,adriatic croatia international club,consumer services,travel & tourism,opatija,1983,tourism
286,adris grupa,consumer goods,tobacco,rovinj,2003,tobacco
287,agrokor,consumer goods,food products,zagreb,1976,merged into fortenova group in 2019
288,aquarius records,consumer services,broadcasting & entertainment,zagreb,1995,record label
289,atlantic grupa,consumer goods,food products,zagreb,1991,food products
290,atlantska plovidba,industrials,marine transportation,dubrovnik,1955,shipping company
291,badel 1862,consumer goods,distillers & vintners,zagreb,1862,alcoholic beverages
292,biognost,health care,pharmaceuticals,zagreb,1990,pharmaceuticals and biomedicine
293,blue line international,industrials,marine transportation,split,2003,ferry operator
294,bonbon,telecommunications,mobile telecommunications,zagreb,2010,mobile phones
295,brodosplit,industrials,commercial vehicles & trucks,split,1922,shipyard
296,čakovečki mlinovi,consumer goods,food products,čakovec,1893,milling
297,carlsberg croatia,consumer goods,brewers,koprivnica,2004,brewery
298,cedevita,consumer goods,soft drinks,zagreb,1929,beverage
299,croatia airlines,consumer services,airlines,zagreb,1989,national airline
300,croatia film,consumer services,broadcasting & entertainment,zagreb,1946,film
301,croatia osiguranje,financials,full line insurance,zagreb,1884,insurance
302,croatia records,consumer services,broadcasting & entertainment,zagreb,1947,record label
303,croatian national bank,financials,banks,zagreb,1990,national bank
304,croatian radiotelevision,consumer services,broadcasting & entertainment,zagreb,1926,broadcaster
305,croatian railways,industrials,railroads,zagreb,1991,national railway
306,croteam,technology,software,zagreb,1993,software
307,crotram,industrials,commercial vehicles & trucks,zagreb,1994,low-floor trams
308,dalekovod,industrials,electrical components & equipment,zagreb,1949,electrical engineering
309,dallas records,consumer services,broadcasting & entertainment,zagreb,1994,record label
310,digitron,industrials,electronic equipment,buje,1971,business electronics
311,dok-ing,industrials,diversified industrials,zagreb,1992,"robots, vehicles"
312,ðuro ðaković,industrials,diversified industrials,slavonski brod,1991,"factories; battletanks, locomotives, trams, power plant and farm equipment"
313,ericsson nikola tesla,telecommunications,mobile telecommunications,zagreb,1949,croatian subsidiary of ericsson (sweden)
314,european coastal airlines,consumer services,airlines,split,2000,"air taxi operator, defunct 2016"
315,fortenova group,consumer goods,food products,zagreb,2019,food products
316,franck,consumer goods,soft drinks,zagreb,1892,coffee products and snacks
317,geofoto,technology,software,zagreb,1993,photogrammetry and geographic information systems
318,hanza media,consumer services,publishing,zagreb,1990,publishing house
319,hit records,consumer services,broadcasting & entertainment,zagreb,2003,record label
320,hönigsberg & deutsch,industrials,business support services,zagreb,1889,"architecture, defunct 1911"
321,hrvatska elektroprivreda,utilities,conventional electricity,zagreb,1895,national electricity production and distribution
322,hrvatska pošta,industrials,delivery services,zagreb,1999,national postal company
323,hrvatska poštanska banka,financials,banks,zagreb,1991,bank
324,hrvatske autoceste,industrials,transportation services,zagreb,2001,motorway maintenance
325,hrvatski telekom,telecommunications,fixed line telecommunications,zagreb,1998,part of deutsche telekom (germany)
326,hs produkt,industrials,defense,ozalj,1991,firearms manufacturer
327,in2,technology,software,zagreb,1992,software
328,ina,oil & gas,exploration & production,zagreb,1964,oil & gas
329,infobip,technology,software,vodnjan,2006,software
330,ingra,industrials,heavy construction,zagreb,1955,construction
331,institut igh,industrials,heavy construction,zagreb,1949,construction
332,iskon internet,technology,internet,zagreb,1997,internet service provider
333,jadran film,consumer services,broadcasting & entertainment,zagreb,1946,film production studio
334,jadranski naftovod,oil & gas,pipelines,zagreb,1974[1],"adriatic pipeline, crude oil transportation"
335,jadrolinija,industrials,marine transportation,rijeka,1947,national sea transport
336,jamnica,consumer goods,soft drinks,zagreb,1828,"non-alcoholic beverages, part of fortenova group"
337,jugoton,consumer services,broadcasting & entertainment,zagreb,1947,"record label, defunct 1990"
338,karlovačka pivovara,consumer goods,brewers,karlovac,1854,brewery
339,kandit,consumer goods,food products,osijek,1920,confectionery
340,koestlin,consumer goods,food products,bjelovar,1905,confectionery
341,končar group,industrials,electronic equipment,zagreb,1921,industrial electronic appliances
342,konstruktor-split,industrials,heavy construction,split,1945,construction company
343,konzum,consumer services,food retailers & wholesalers,zagreb,1957,supermarket chain
344,kraljevica shipyard,industrials,commercial vehicles & trucks,kraljevica,1729,shipyard
345,kraš,consumer goods,food products,zagreb,1950,confectionery products
346,ledo,consumer goods,food products,zagreb,1958,"subsidiary of fortenova group, frozen foods and various desserts"
347,luka ploče,industrials,transportation services,ploče,1952,managing company of the ploče seaport
348,matica hrvatska,consumer services,publishing,zagreb,1842,publisher
349,menart records,consumer services,broadcasting & entertainment,zagreb,1994,record label
350,narodni trgovački lanac,consumer services,broadline retailers,zagreb,2008,retail chain
351,odašiljači i veze,technology,internet,zagreb,2001,digital television and wimax operator
352,petrokemija,basic materials,commodity chemicals,kutina,1968,fertilizer manufacturer
353,pivovara ličanka,consumer goods,brewers,gospić,1997,brewery
354,plinacro,utilities,gas distribution,zagreb,2001,natural gas transmission
355,pliva,health care,pharmaceuticals,zagreb,1921,pharmaceuticals
356,plovput,industrials,transportation services,split,1992,waterway infrastructure
357,podravka,consumer goods,food products,koprivnica,1934,food products
358,primorska banka,financials,banks,rijeka,2001,"bank, defunct 2018"
359,privredna banka zagreb,financials,banks,zagreb,1966,"bank, part of intesa sanpaolo (italy)"
360,rimac automobili,consumer goods,automobiles,sveta nedelja,2009,electric vehicles
361,riz,industrials,electronic equipment,zagreb,1948,"transmitters, electricity meters, formerly electrical components"
362,školska knjiga,consumer services,publishing,zagreb,1950,publishing house
363,sljeme,consumer goods,durable household products,zagreb,1921,trunks manufacturing
364,splitska banka,financials,banks,split,1965,bank
365,suzy,consumer services,broadcasting & entertainment,zagreb,1972,record label
366,tehnika,industrials,business support services,zagreb,1947,civil engineering
367,tomato,telecommunications,mobile telecommunications,zagreb,2006,mobile phone operator
368,toz penkala,consumer goods,nondurable household products,zagreb,1937,school accessories
369,trade air,consumer services,airlines,zagreb,1994,airline
370,tžv gredelj,industrials,commercial vehicles & trucks,zagreb,1894,rolling stock production
371,uljanik,industrials,commercial vehicles & trucks,pula,1856,shipbuilding company
372,v.b.z.,consumer services,publishing,zagreb,1991,publisher
373,viadukt,industrials,transportation services,zagreb,1947,"civil engineering (tunnels, roads, viaducts and bridges)"
374,viktor lenac shipyard,industrials,commercial vehicles & trucks,rijeka,1896,shipyard
375,vindija,consumer goods,food products,varaždin,1959,dairy
376,viro,consumer goods,food products,virovitica,2002,sugar refinery
377,zagreb film,consumer services,broadcasting & entertainment,zagreb,1953,film production company
378,zagreb stock exchange,financials,financial services,zagreb,1991,primary exchange
379,zagrebačka banka,financials,banks,zagreb,1914,bank
380,zagrebačka pivovara,consumer goods,brewers,zagreb,1892,brewery
381,zagrebački električni tramvaj,industrials,transportation services,zagreb,1891,public transport system operator
382,ac omonia,consumer services,sports,nicosia,1948,football
383,aek larnaca fc,consumer services,sports,larnaca,1994,football
384,ael f.c.,consumer services,sports,limassol,1930,football
385,allbiz,industrials,business support services,nicosia[8],1999,business-to-business portal
386,anorthosis f.c.,consumer services,sports,larnaca,1911,football
387,apoel b.c.,consumer services,sports,nicosia,1947,basketball
388,apoel fc,consumer services,sports,nicosia,1926,football
389,apoel v.c.,consumer services,sports,nicosia,1928,volleyball
390,apollon limassol,consumer services,sports,limassol,1954,football
391,armida publications,consumer services,publishing,nicosia,1997,magazine and book publishing
392,asbis,technology,computer hardware,limassol,1990,hardware and electronics
393,austrian lloyd ship management,industrials,marine transportation,limassol,1991,shipping
394,bank of cyprus,financials,banks,nicosia,1899,bank
395,celestyal cruises,consumer services,travel & tourism,limassol,1986,cruise line
396,central bank of cyprus,financials,banks,nicosia,1963,central bank
397,charlie airlines,consumer services,travel & leisure,larnaca,2016,airline
398,cyprus broadcasting corporation,consumer services,broadcasting,nicosia,1953,public broadcasting
399,cyprus civil aviation authority,consumer services,air traffic management,nicosia,1955,civil aviation
400,cyprus college,consumer services,education,nicosia,1961,college
401,cyprus college of art,consumer services,education,paphos,1969,arts centre
402,cyprus development bank,financials,banks,nicosia,1963,bank
403,cyprus institute of marketing,consumer services,education,nicosia,1978,university
404,cyprus int. instit. for environ. & public health,technology,research,limassol,2004,research institute
405,cyprus internet exchange,telecommunications,fixed line telecom,nicosia,1999,isp
406,cyprus mail,consumer services,publishing,nicosia,1945,cyprus english newspaper
407,cyprus mines corporation,basic materials,general mining,nicosia,1916,"mining, acquired in 1979"
408,cyprus neuroscience and technology institute,technology,research,nicosia,1991,research institute
409,cyprus news agency,consumer services,media,nicosia,1976,new agency
410,cyprus ports authority,consumer services,ship traffic management,nicosia,1973,supervision of port facilities
411,cyprus postal services,industrials,delivery services,nicosia,-,"postal services, courier"
412,cyprus state fairs authority,consumer services,general retailers,nicosia,1968,specialty retailers
