05-MalPatSaj-country,07-silvestri-country,08-slytherin-country
united states,,united states
taiwan,,taiwan
brazil,,brazil
japan,,japan
china,,china
united states,,united states
japan,,japan
japan,,japan
brazil,,brazil
canada,,canada
luxembourg,,luxembourg
japan,,japan
russia,,russia
china,,china
china,,china
australia,,australia
japan,,japan
japan,,japan
south korea,,south korea
united states,,united states
australia,,australia
japan,,japan
japan,,japan
vietnam,,vietnam
united states,,united states
united states,,united states
hong kong,,hong kong
vietnam,,vietnam
hong kong,,hong kong
india,,india
china,,china
united states,,united states
saudi arabia,,saudi arabia
india,,india
united states,,united states
united states,,united states
italy,,italy
germany,,germany
china,,china
japan,,japan
united states,,united states
hong kong,,hong kong
south africa,,south africa
united states,,united states
united states,,united states
united states,,united states
united states,,united states
japan,,japan
south korea,,south korea
united states,,united states
japan,,japan
united states,,united states
germany,,germany
japan,,japan
united states,,united states
united states,,united states
israel,,israel
china,,china
south korea,,south korea
united kingdom,,united kingdom
united states,,united states
south korea,,south korea
south korea,,south korea
united states,,united states
china,,china
china,,china
united states,,united states
japan,,japan
israel,,israel
vietnam,,vietnam
united states,,united states
kazakhstan,,kazakhstan
united states,,united states
argentina,,argentina
saudi arabia,,saudi arabia
sweden,,sweden
south korea,,south korea
united states,,united states
sweden,,sweden
china,,china
japan,,japan
japan,,japan
japan,,japan
china,,china
china,,china
united states,,united states
germany,,germany
china,,china
united kingdom,,united kingdom
japan,,japan
egypt,,egypt
united states,,united states
united states,,united states
japan,,japan
israel,,israel
china,,china
united states,,united states
hong kong,,hong kong
south korea,,south korea
japan,,japan
japan,,japan
spain,,spain
japan,,japan
united states,,united states
sweden,,sweden
malaysia,,malaysia
japan,,japan
south korea,,south korea
japan,,japan
china,,china
united states,,united states
japan,,japan
china,,china
china,,china
brazil,,brazil
portugal,,portugal
united states,,united states
sweden,,sweden
germany,,germany
india,,india
austria,,austria
china,,china
china,,china
united states,,united states
luxembourg,,luxembourg
china,,china
hong kong,,hong kong
united states,,united states
china,,china
germany,,germany
japan,,japan
united states,,united states
denmark,,denmark
china,,china
united states,,united states
japan,,japan
saudi arabia,,saudi arabia
china,,china
hong kong,,hong kong
taiwan,,taiwan
china,,china
china,,china
poland,,poland
singapore,,singapore
united states,,united states
austria,,austria
united kingdom,,united kingdom
hong kong,,hong kong
austria,,austria
india,,india
taiwan,,taiwan
united states,,united states
south korea,,south korea
united states,,united states
united states,,united states
south korea,,south korea
united states,,united states
united states,,united states
italy,,italy
mexico,,mexico
taiwan,,taiwan
greece,,greece
japan,,japan
united states,,united states
united states,,united states
united states,,united states
japan,,japan
saudi arabia,,saudi arabia
india,,india
germany,,germany
greece,,greece
united states,,united states
japan,,japan
japan,,japan
china,,china
united states,,united states
china,,china
china,,china
australia,,australia
united states,,united states
united states,,united states
canada,,canada
china,,china
china,,china
united states,,united states
italy,,italy
united states,,united states
greece,,greece
germany,,germany
chile,,chile
united states,,united states
canada,,canada
canada,,canada
india,,india
norway,,norway
china,,china
japan,,japan
russia,,russia
united states,,united states
united states,,united states
china,,china
united arab emirates,,united arab emirates
china,,china
taiwan,,taiwan
china,,china
japan,,japan
netherlands,,netherlands
japan,,japan
taiwan,,taiwan
india,,india
china,,china
united kingdom,,united kingdom
indonesia,,indonesia
united states,,united states
italy,,italy
japan,,japan
japan,,japan
china,,china
canada,,canada
india,,india
united states,,united states
china,,china
india,,india
switzerland,,switzerland
sweden,,sweden
japan,,japan
japan,,japan
united states,,united states
switzerland,,switzerland
united states,,united states
taiwan,,taiwan
china,,china
united states,,united states
hong kong,,hong kong
hong kong,,hong kong
south korea,,south korea
hong kong,,hong kong
hong kong,,hong kong
united states,,united states
russia,,russia
united states,,united states
china,,china
south korea,,south korea
united states,,united states
japan,,japan
united states,,united states
japan,,japan
united states,,united states
hong kong,,hong kong
france,,france
united states,,united states
taiwan,,taiwan
china,,china
united states,,united states
ireland,,ireland
norway,,norway
turkey,,turkey
australia,,australia
united states,,united states
united states,,united states
united states,,united states
south korea,,south korea
china,,china
japan,,japan
united states,,united states
united states,,united states
china,,china
japan,,japan
japan,,japan
germany,,germany
china,,china
brazil,,brazil
united states,,united states
japan,,japan
australia,,australia
china,,china
japan,,japan
germany,,germany
japan,,japan
japan,,japan
germany,,germany
hong kong,,hong kong
china,,china
ireland,,ireland
italy,,italy
canada,,canada
india,,india
italy,,italy
china,,china
ireland,,ireland
china,,china
united states,,united states
spain,,spain
japan,,japan
italy,,italy
china,,china
canada,,canada
united states,,united states
united states,,united states
india,,india
china,,china
russia,,russia
united states,,united states
united states,,united states
nigeria,,nigeria
japan,,japan
united states,,united states
denmark,,denmark
united kingdom,,united kingdom
france,,france
switzerland,,switzerland
spain,,spain
china,,china
china,,china
south korea,,south korea
japan,,japan
brazil,,brazil
thailand,,thailand
japan,,japan
japan,,japan
united states,,united states
china,,china
japan,,japan
united kingdom,,united kingdom
united states,,united states
united states,,united states
china,,china
china,,china
taiwan,,taiwan
japan,,japan
indonesia,,indonesia
canada,,canada
japan,,japan
canada,,canada
switzerland,,switzerland
united states,,united states
switzerland,,switzerland
china,,china
sweden,,sweden
vietnam,,vietnam
israel,,israel
united states,,united states
china,,china
hong kong,,hong kong
china,,china
japan,,japan
united states,,united states
united states,,united states
china,,china
switzerland,,switzerland
poland,,poland
china,,china
sweden,,sweden
saudi arabia,,saudi arabia
south korea,,south korea
united states,,united states
germany,,germany
united states,,united states
china,,china
south korea,,south korea
japan,,japan
sweden,,sweden
israel,,israel
united states,,united states
china,,china
south africa,,south africa
united states,,united states
thailand,,thailand
singapore,,singapore
japan,,japan
united states,,united states
taiwan,,taiwan
united kingdom,,united kingdom
united states,,united states
united states,,united states
united states,,united states
china,,china
spain,,spain
united states,,united states
chile,,chile
united states,,united states
japan,,japan
china,,china
canada,,canada
india,,india
hong kong,,hong kong
united states,,united states
australia,,australia
united states,,united states
france,,france
united states,,united states
united states,,united states
morocco,,morocco
united states,,united states
china,,china
philippines,,philippines
china,,china
china,,china
denmark,,denmark
united states,,united states
canada,,canada
united states,,united states
japan,,japan
netherlands,,netherlands
japan,,japan
united states,,united states
brazil,,brazil
australia,,australia
china,,china
philippines,,philippines
united states,,united states
china,,china
united states,,united states
united states,,united states
ireland,,ireland
japan,,japan
united states,,united states
italy,,italy
china,,china
united arab emirates,,united arab emirates
japan,,japan
hong kong,,hong kong
taiwan,,taiwan
united kingdom,,united kingdom
china,,china
india,,india
united arab emirates,,united arab emirates
china,,china
spain,,spain
netherlands,,netherlands
china,,china
united states,,united states
china,,china
united states,,united states
japan,,japan
japan,,japan
united states,,united states
china,,china
japan,,japan
australia,,australia
south korea,,south korea
united states,,united states
switzerland,,switzerland
united arab emirates,,united arab emirates
taiwan,,taiwan
united states,,united states
united states,,united states
china,,china
china,,china
sweden,,sweden
united states,,united states
canada,,canada
switzerland,,switzerland
china,,china
germany,,germany
united states,,united states
canada,,canada
china,,china
luxembourg,,luxembourg
china,,china
india,,india
china,,china
china,,china
united states,,united states
