00-avengers-address
"viale regina margherita 137, roma, 00198, roma, italy"
"via bernardino telesio 18, milano, 20145, milano, italy"
"via alberico albricci 10, milano, 20122, milano, italy"
"via torri bianche 3, vimercate, 20871, monza e brianza, italy"
"via mario carucci 131, roma, 00143, roma, italy"
"via delle groane 126, garbagnate milanese, 20024, milano, italy"
"piazza della vittoria 10, genova, 16121, genova, italy"
"via carlo ederle 45, verona, 37126, verona, italy"
"via benigno crespi 19, milano, 20159, milano, italy"
"via stazione 51, egna, 39044, bolzano, italy"
"strada regionale 148 pontina 0snc, aprilia, 04011, latina, italy"
"via andrea doria 7, castiglione del lago, 06061, perugia, italy"
"via pietramarina 53, vinci, 50059, firenze, italy"
"localita' autoporto 11, pollein, 11020, aosta, italy"
"via collodi 6/c, firenze, 50141, firenze, italy"
"via ugo bassi 6, milano, 20159, milano, italy"
"via varesina 162, milano, 20156, milano, italy"
"viale certosa 249, milano, 20151, milano, italy"
"bastioni di porta volta 10, milano, 20121, milano, italy"
"via larga 9/11, milano, 20122, milano, italy"
"via monte flavio 45, roma, 00131, roma, italy"
"via aldo rossi 4, milano, 20149, milano, italy"
"via giovanni carlo cavalli 6, torino, 10138, torino, italy"
"via delle azalee 15, buccinasco, 20090, milano, italy"
"piazza santa barbara 7, san donato milanese, 20097, milano, italy"
"piazzale ostiense 2, roma, 00154, roma, italy"
"via lillo del duca 10, bresso, 20091, milano, italy"
"via niccolo' machiavelli 4, trieste, 34132, trieste, italy"
"piazzale pietro ferrero 1, alba, 12051, cuneo, italy"
"via alessandro manzoni 38, milano, 20121, milano, italy"
"via alessandro manzoni 38, milano, 20121, milano, italy"
"strada provinciale 234 1/3, somaglia, 26867, lodi, italy"
"lungadige galtarossa 8, verona, 37133, verona, italy"
"via guglielmo marconi 84, agrate brianza, 20864, monza e brianza, italy"
"viale giorgio ribotta 31, roma, 00144, roma, italy"
"strada provinciale 240 delle grotte orientali, rutigliano, 70018, bari, italy"
"via pietro borsieri 2/a, roma, 00195, roma, italy"
"via pisa 29, torino, 10152, torino, italy"
"via del rio 336, cesena, 47522, forli'-cesena, italy"
"viale cristoforo colombo 12/14, trezzano sul naviglio, 20090, milano, italy"
"via roma 5, iseo, 25049, brescia, italy"
"viale castello della magliana 68, roma, 00148, roma, italy"
"via zona industriale madonna del moro, umbertide, 06019, perugia, italy"
"via del progresso 1008, brendola, 36040, vicenza, italy"
"piazza generale armando diaz 7, milano, 20123, milano, italy"
"via xxv aprile 5, pero, 20016, milano, italy"
"viale vittorio veneto 14, milano, 20124, milano, italy"
"viale sant'eufemia 108/f, brescia, 25135, brescia, italy"
"via del lavoro 6/8, casalecchio di reno, 40033, bologna, italy"
"viale alexandre gustave eiffel 15, roma, 00148, roma, italy"
"via gallarate 184, milano, 20151, milano, italy"
"piazza di san silvestro 8, roma, 00187, roma, italy"
"via enrico mattei 66, bologna, 40138, bologna, italy"
"via rana 12, alessandria, 15122, alessandria, italy"
"via ciovassino 1, milano, 20121, milano, italy"
"localita' ai conti, barga, 55051, lucca, italy"
"via viii marzo 6, scandicci, 50018, firenze, italy"
"corso sempione 4, milano, 20154, milano, italy"
"via marie curie 2, bolzano, 39100, bolzano, italy"
"via stazione 31, chatillon, 11024, aosta, italy"
"via mario greppi 2, novara, 28100, novara, italy"
"via giuseppe ripamonti 85, milano, 20141, milano, italy"
"via pietro giardini 1324, modena, 41126, modena, italy"
"via montebello 18, milano, 20121, milano, italy"
"viale carlo iii trav. i via galvani snc, san nicola la strada, 81020, caserta, italy"
"via papa giovanni xxiii 4, capriate san gervasio, 24042, bergamo, italy"
"via giovanni spadolini 7, milano, 20141, milano, italy"
"via basento 19, san giuliano milanese, 20098, milano, italy"
"via giuseppe ripamonti 89, milano, 20141, milano, italy"
"piazza luigi einaudi 4, milano, 20124, milano, italy"
"via corsica 10/12, brescia, 25125, brescia, italy"
"via antonio sant'elia zona industriale, corato, 70033, bari, italy"
"via lillo del duca 10, bresso, 20091, milano, italy"
"circonvallazione ovest 3 a zona co.in.or., valenza, 15048, alessandria, italy"
"via lorenteggio 255, milano, 20152, milano, italy"
"via appia, cisterna di latina, 04012, latina, italy"
"via stella rosa 48/50, baranzate, 20021, milano, italy"
"via stella rosa 48/50, baranzate, 20021, milano, italy"
"strada paravera 16, aosta, 11100, aosta, italy"
"via pietro borsieri 2/a, roma, 00195, roma, italy"
"via leonardo bistolfi 35, milano, 20134, milano, italy"
"via leonardo bistolfi 35, milano, 20134, milano, italy"
"via stazione 119, valle lomellina, 27020, pavia, italy"
"via del lavoro 10, granarolo dell'emilia, 40057, bologna, italy"
"via ferdinando magellano 27, reggiolo, 42046, reggio emilia, italy"
"viale del sagittario 5, modena, 41126, modena, italy"
"via benigno crespi 57, milano, 20159, milano, italy"
"via feltrina centro 16, montebelluna, 31044, treviso, italy"
"via calcinaro 2861, cesena, 47521, forli'-cesena, italy"
"via giuseppe ripamonti 89, milano, 20141, milano, italy"
"via polonia 30/33, modena, 41122, modena, italy"
"corso d'italia 35/b, roma, 00198, roma, italy"
"via villa minelli 1, ponzano veneto, 31050, treviso, italy"
"via clementino bonfiglioli 1, calderara di reno, 40012, bologna, italy"
"via armando diaz 248, san zeno naviglio, 25010, brescia, italy"
"piazza lina bo bardi 3, milano, 20124, milano, italy"
"via meuccio ruini 74/l, reggio emilia, 42124, reggio emilia, italy"
"via monza 7/a, vimercate, 20871, monza e brianza, italy"
"via granarolo 175/2, faenza, 48018, ravenna, italy"
"via renzo gandolfo 1, cuneo, 12100, cuneo, italy"
"via enrico fermi 4, bagnolo in piano, 42011, reggio emilia, italy"
"via aldo moro 31, bomporto, 41030, modena, italy"
"via pionca 13, pianiga, 30030, venezia, italy"
"via vittorio veneto 74, roma, 00187, roma, italy"
"via della mercede 11, roma, 00187, roma, italy"
"via cosimo canovetti 13, brescia, 25128, brescia, italy"
"via cosimo canovetti 13, brescia, 25128, brescia, italy"
"via giuseppe bovini 43, ravenna, 48123, ravenna, italy"
"via dell'industria 22, conselice, 48017, ravenna, italy"
"via di sottoripa 7/13, genova, 16124, genova, italy"
"contrada parasacchiello snc, melfi, 85025, potenza, italy"
"via delle industrie 9, filago, 24040, bergamo, italy"
"via delle fiere snc, matera, 75100, matera, italy"
"via olgettina 60, milano, 20132, milano, italy"
"via veneto 3/5, schio, 36015, vicenza, italy"
"via gerenzano 58, castellanza, 21053, varese, italy"
"via pisana 336, scandicci, 50018, firenze, italy"
"via provina 3, trento, 38123, trento, italy"
"piazza della repubblica 32, milano, 20124, milano, italy"
"via del perlar 2, verona, 37135, verona, italy"
"via uberto visconti di modrone 2, milano, 20122, milano, italy"
"strada statale 29, dego, 17058, savona, italy"
"via lodi 11, arzago d'adda, 24040, bergamo, italy"
"via vicenza 3, brescia, 25125, brescia, italy"
"piazzale ostiense 2, roma, 00154, roma, italy"
"via gian antonio amadeo 59, milano, 20134, milano, italy"
"via monaldo calari 10, zola predosa, 40069, bologna, italy"
"via monaldo calari 10, zola predosa, 40069, bologna, italy"
"via amalfi 6, volpiano, 10088, torino, italy"
"largo edoardo bulgheroni 1, induno olona, 21056, varese, italy"
"corso orbassano 367, torino, 10137, torino, italy"
"via dei tornabuoni 2, firenze, 50123, firenze, italy"
"via della madonna 1, lallio, 24040, bergamo, italy"
"piazzale luigi cadorna 14, milano, 20123, milano, italy"
"via mario fantin 1/3, bologna, 40131, bologna, italy"
"cis 8, nola, 80035, napoli, italy"
"via alberto falck 4/16, sesto san giovanni, 20099, milano, italy"
"via linfano 9, arco, 38062, trento, italy"
"viale milano 26, montecchio maggiore, 36075, vicenza, italy"
"via santa lucia 6, milano, 20122, milano, italy"
"via baldanzese 17, calenzano, 50041, firenze, italy"
"piazza della repubblica 32, milano, 20124, milano, italy"
"via leone xiii 14, milano, 20145, milano, italy"
"via padre vicinio da sarsina 42, cesena, 47521, forli'-cesena, italy"
"via gabriello chiabrera 34/d, rimini, 47924, rimini, italy"
"via giulio vincenzo bona 95/101, roma, 00156, roma, italy"
"via giacomo matteotti 7, fabbrico, 42042, reggio emilia, italy"
"via lemizzone 1, san martino in rio, 42018, reggio emilia, italy"
"via provinciale selice 23/a, imola, 40026, bologna, italy"
"via piave 6, rosignano marittimo, 57016, livorno, italy"
"via san martino 4, trento, 38122, trento, italy"
"via friuli 5 interno 9, sona, 37060, verona, italy"
"via friuli 5, sona, 37060, verona, italy"
"via della zecca 2, bologna, 40121, bologna, italy"
"via della zecca 2, bologna, 40121, bologna, italy"
"corso stati uniti 35, padova, 35127, padova, italy"
"viale stelvio 55/57, milano, 20159, milano, italy"
"strada 6 palazzo a 13 milanofiori 0snc, assago, 20057, milano, italy"
