00-avengers-categories
"['unitedstates', 'technology', 'consumerelectronics', 'unitedstatestechnology', 'unitedstatesconsumerelectronics']"
"['germany', 'industrials', 'integratedfreight&logistics', 'germanyindustrials', 'germanyintegratedfreight&logistics']"
"['unitedstates', 'technology', 'software—infrastructure', 'unitedstatestechnology', 'unitedstatessoftware—infrastructure']"
"['canada', 'basicmaterials', 'agriculturalinputs', 'canadabasicmaterials', 'canadaagriculturalinputs']"
"['hongkong', 'energy', 'oil&gase&p', 'hongkongenergy', 'hongkongoil&gase&p']"
"['sweden', 'industrials', 'specialtyindustrialmachinery', 'swedenindustrials', 'swedenspecialtyindustrialmachinery']"
"['netherlands', 'technology', 'software—infrastructure', 'netherlandstechnology', 'netherlandssoftware—infrastructure']"
"['germany', 'industrials', 'marineshipping', 'germanyindustrials', 'germanymarineshipping']"
"['spain', 'financials', 'banks', 'spainfinancials', 'spainbanks']"
"['unitedstates', 'technology', 'informationtechnologyservices', 'unitedstatestechnology', 'unitedstatesinformationtechnologyservices']"
"['unitedstates', 'technology', 'semiconductors', 'unitedstatestechnology', 'unitedstatessemiconductors']"
"['ireland', 'industrials', 'specialtyindustrialmachinery', 'irelandindustrials', 'irelandspecialtyindustrialmachinery']"
"['unitedstates', 'energy', 'oil&gase&p', 'unitedstatesenergy', 'unitedstatesoil&gase&p']"
"['japan', 'communicationservices', 'electronicgaming&multimedia', 'japancommunicationservices', 'japanelectronicgaming&multimedia']"
"['unitedstates', 'financials', 'financialdata&stockexchanges', 'unitedstatesfinancials', 'unitedstatesfinancialdata&stockexchanges']"
"['unitedstates', 'technology', 'software—application', 'unitedstatestechnology', 'unitedstatessoftware—application']"
"['singapore', 'communicationservices', 'electronicgaming&multimedia', 'singaporecommunicationservices', 'singaporeelectronicgaming&multimedia']"
"['australia', 'financials', 'capitalmarkets', 'australiafinancials', 'australiacapitalmarkets']"
"['germany', 'consumerdiscretionary', 'automanufacturers', 'germanyconsumerdiscretionary', 'germanyautomanufacturers']"
"['china', 'financials', 'banks', 'chinafinancials', 'chinabanks']"
"['unitedstates', 'technology', 'semiconductorequipment&materials', 'unitedstatestechnology', 'unitedstatessemiconductorequipment&materials']"
"['unitedstates', 'healthcare', 'healthcareplans', 'unitedstateshealthcare', 'unitedstateshealthcareplans']"
"['canada', 'energy', 'oil&gasmidstream', 'canadaenergy', 'canadaoil&gasmidstream']"
"['saudiarabia', 'financials', 'banks', 'saudiarabiafinancials', 'saudiarabiabanks']"
"['unitedkingdom', 'industrials', 'consultingservices', 'unitedkingdomindustrials', 'unitedkingdomconsultingservices']"
"['china', 'consumerdiscretionary', 'internetretail', 'chinaconsumerdiscretionary', 'chinainternetretail']"
"['unitedstates', 'consumerdiscretionary', 'lodging', 'unitedstatesconsumerdiscretionary', 'unitedstateslodging']"
"['canada', 'financials', 'banks', 'canadafinancials', 'canadabanks']"
"['japan', 'industrials', 'conglomerates', 'japanindustrials', 'japanconglomerates']"
"['china', 'consumerstaples', 'packagedfoods', 'chinaconsumerstaples', 'chinapackagedfoods']"
"['unitedstates', 'energy', 'oil&gasmidstream', 'unitedstatesenergy', 'unitedstatesoil&gasmidstream']"
"['brazil', 'financials', 'banks', 'brazilfinancials', 'brazilbanks']"
"['unitedstates', 'technology', 'semiconductors', 'unitedstatestechnology', 'unitedstatessemiconductors']"
"['unitedstates', 'energy', 'oil&gasequipment&services', 'unitedstatesenergy', 'unitedstatesoil&gasequipment&services']"
"['france', 'consumerstaples', 'beverages—wineries&distilleries', 'franceconsumerstaples', 'francebeverages—wineries&distilleries']"
"['unitedstates', 'basicmaterials', 'chemicals', 'unitedstatesbasicmaterials', 'unitedstateschemicals']"
"['technology', 'semiconductors']"
"['japan', 'consumerdiscretionary', 'automanufacturers', 'japanconsumerdiscretionary', 'japanautomanufacturers']"
"['unitedstates', 'industrials', 'staffing&employmentservices', 'unitedstatesindustrials', 'unitedstatesstaffing&employmentservices']"
"['unitedstates', 'healthcare', 'healthcareplans', 'unitedstateshealthcare', 'unitedstateshealthcareplans']"
"['unitedstates', 'consumerstaples', 'packagedfoods', 'unitedstatesconsumerstaples', 'unitedstatespackagedfoods']"
"['unitedstates', 'industrials', 'specialtyindustrialmachinery', 'unitedstatesindustrials', 'unitedstatesspecialtyindustrialmachinery']"
"['argentina', 'consumerdiscretionary', 'internetretail', 'argentinaconsumerdiscretionary', 'argentinainternetretail']"
"['unitedstates', 'healthcare', 'diagnostics&research', 'unitedstateshealthcare', 'unitedstatesdiagnostics&research']"
"['france', 'industrials', 'aerospace&defense', 'franceindustrials', 'franceaerospace&defense']"
"['unitedstates', 'technology', 'software—infrastructure', 'unitedstatestechnology', 'unitedstatessoftware—infrastructure']"
"['russia', 'energy', 'oil&gase&p', 'russiaenergy', 'russiaoil&gase&p']"
"['unitedstates', 'basicmaterials', 'specialtychemicals', 'unitedstatesbasicmaterials', 'unitedstatesspecialtychemicals']"
"['china', 'consumerdiscretionary', 'travelservices', 'chinaconsumerdiscretionary', 'chinatravelservices']"
"['taiwan', 'technology', 'electroniccomponents', 'taiwantechnology', 'taiwanelectroniccomponents']"
"['australia', 'basicmaterials', 'otherindustrialmetals&mining', 'australiabasicmaterials', 'australiaotherindustrialmetals&mining']"
"['unitedstates', 'utilities', 'utilities—regulatedelectric', 'unitedstatesutilities', 'unitedstatesutilities—regulatedelectric']"
"['unitedstates', 'consumerstaples', 'farmproducts', 'unitedstatesconsumerstaples', 'unitedstatesfarmproducts']"
"['unitedkingdom', 'financials', 'insurance—property&casualty', 'unitedkingdomfinancials', 'unitedkingdominsurance—property&casualty']"
"['unitedstates', 'financials', 'creditservices', 'unitedstatesfinancials', 'unitedstatescreditservices']"
"['unitedstates', 'industrials', 'aerospace&defense', 'unitedstatesindustrials', 'unitedstatesaerospace&defense']"
"['japan', 'consumerdiscretionary', 'automanufacturers', 'japanconsumerdiscretionary', 'japanautomanufacturers']"
"['japan', 'consumerdiscretionary', 'autoparts', 'japanconsumerdiscretionary', 'japanautoparts']"
"['canada', 'communicationservices', 'telecomservices', 'canadacommunicationservices', 'canadatelecomservices']"
"['netherlands', 'consumerdiscretionary', 'automanufacturers', 'netherlandsconsumerdiscretionary', 'netherlandsautomanufacturers']"
"['italy', 'energy', 'oil&gasintegrated', 'italyenergy', 'italyoil&gasintegrated']"
"['japan', 'industrials', 'conglomerates', 'japanindustrials', 'japanconglomerates']"
"['unitedstates', 'technology', 'semiconductors', 'unitedstatestechnology', 'unitedstatessemiconductors']"
"['netherlands', 'technology', 'semiconductors', 'netherlandstechnology', 'netherlandssemiconductors']"
"['japan', 'consumerdiscretionary', 'apparelretail', 'japanconsumerdiscretionary', 'japanapparelretail']"
"['unitedstates', 'financials', 'banks', 'unitedstatesfinancials', 'unitedstatesbanks']"
"['unitedstates', 'energy', 'oil&gase&p', 'unitedstatesenergy', 'unitedstatesoil&gase&p']"
"['unitedstates', 'utilities', 'utilities—diversified', 'unitedstatesutilities', 'unitedstatesutilities—diversified']"
"['germany', 'basicmaterials', 'chemicals', 'germanybasicmaterials', 'germanychemicals']"
"['canada', 'industrials', 'consultingservices', 'canadaindustrials', 'canadaconsultingservices']"
"['unitedkingdom', 'financials', 'financialdata&stockexchanges', 'unitedkingdomfinancials', 'unitedkingdomfinancialdata&stockexchanges']"
"['switzerland', 'healthcare', 'diagnostics&research', 'switzerlandhealthcare', 'switzerlanddiagnostics&research']"
"['italy', 'consumerdiscretionary', 'automanufacturers', 'italyconsumerdiscretionary', 'italyautomanufacturers']"
"['unitedstates', 'communicationservices', 'internetcontent&information', 'unitedstatescommunicationservices', 'unitedstatesinternetcontent&information']"
"['unitedstates', 'technology', 'software—infrastructure', 'unitedstatestechnology', 'unitedstatessoftware—infrastructure']"
"['unitedstates', 'consumerstaples', 'discountstores', 'unitedstatesconsumerstaples', 'unitedstatesdiscountstores']"
"['unitedstates', 'financials', 'insurance—diversified', 'unitedstatesfinancials', 'unitedstatesinsurance—diversified']"
"['unitedstates', 'energy', 'oil&gasrefining&marketing', 'unitedstatesenergy', 'unitedstatesoil&gasrefining&marketing']"
"['canada', 'industrials', 'railroads', 'canadaindustrials', 'canadarailroads']"
"['brazil', 'consumerstaples', 'beverages—brewers', 'brazilconsumerstaples', 'brazilbeverages—brewers']"
"['netherlands', 'consumerstaples', 'beverages—brewers', 'netherlandsconsumerstaples', 'netherlandsbeverages—brewers']"
"['japan', 'communicationservices', 'telecomservices', 'japancommunicationservices', 'japantelecomservices']"
"['unitedstates', 'industrials', 'staffing&employmentservices', 'unitedstatesindustrials', 'unitedstatesstaffing&employmentservices']"
"['unitedstates', 'consumerstaples', 'beverages—non-alcoholic', 'unitedstatesconsumerstaples', 'unitedstatesbeverages—non-alcoholic']"
"['japan', 'healthcare', 'drugmanufacturers—general', 'japanhealthcare', 'japandrugmanufacturers—general']"
"['japan', 'industrials', 'buildingproducts&equipment', 'japanindustrials', 'japanbuildingproducts&equipment']"
"['unitedkingdom', 'utilities', 'utilities—diversified', 'unitedkingdomutilities', 'unitedkingdomutilities—diversified']"
"['russia', 'energy', 'oil&gasintegrated', 'russiaenergy', 'russiaoil&gasintegrated']"
"['saudiarabia', 'basicmaterials', 'otherindustrialmetals&mining', 'saudiarabiabasicmaterials', 'saudiarabiaotherindustrialmetals&mining']"
"['japan', 'energy', 'oil&gase&p', 'japanenergy', 'japanoil&gase&p']"
"['unitedstates', 'technology', 'software—application', 'unitedstatestechnology', 'unitedstatessoftware—application']"
"['unitedstates', 'consumerstaples', 'beverages—wineries&distilleries', 'unitedstatesconsumerstaples', 'unitedstatesbeverages—wineries&distilleries']"
"['germany', 'technology', 'semiconductors', 'germanytechnology', 'germanysemiconductors']"
"['unitedstates', 'financials', 'insurance—property&casualty', 'unitedstatesfinancials', 'unitedstatesinsurance—property&casualty']"
"['unitedstates', 'healthcare', 'diagnostics&research', 'unitedstateshealthcare', 'unitedstatesdiagnostics&research']"
"['unitedkingdom', 'communicationservices', 'telecomservices', 'unitedkingdomcommunicationservices', 'unitedkingdomtelecomservices']"
"['unitedstates', 'consumerdiscretionary', 'residentialconstruction', 'unitedstatesconsumerdiscretionary', 'unitedstatesresidentialconstruction']"
"['unitedstates', 'technology', 'electroniccomponents', 'unitedstatestechnology', 'unitedstateselectroniccomponents']"
"['unitedstates', 'consumerstaples', 'confectioners', 'unitedstatesconsumerstaples', 'unitedstatesconfectioners']"
"['japan', 'healthcare', 'drugmanufacturers—specialty&generic', 'japanhealthcare', 'japandrugmanufacturers—specialty&generic']"
"['china', 'communicationservices', 'internetcontent&information', 'chinacommunicationservices', 'chinainternetcontent&information']"
"['switzerland', 'basicmaterials', 'specialtychemicals', 'switzerlandbasicmaterials', 'switzerlandspecialtychemicals']"
"['germany', 'consumerdiscretionary', 'footwear&accessories', 'germanyconsumerdiscretionary', 'germanyfootwear&accessories']"
"['japan', 'industrials', 'specialtyindustrialmachinery', 'japanindustrials', 'japanspecialtyindustrialmachinery']"
"['brazil', 'financials', 'banks', 'brazilfinancials', 'brazilbanks']"
"['unitedstates', 'healthcare', 'diagnostics&research', 'unitedstateshealthcare', 'unitedstatesdiagnostics&research']"
"['unitedstates', 'basicmaterials', 'steel', 'unitedstatesbasicmaterials', 'unitedstatessteel']"
"['unitedstates', 'technology', 'informationtechnologyservices', 'unitedstatestechnology', 'unitedstatesinformationtechnologyservices']"
"['russia', 'industrials', 'specialtyindustrialmachinery', 'russiaindustrials', 'russiaspecialtyindustrialmachinery']"
"['unitedstates', 'financials', 'insurance—life', 'unitedstatesfinancials', 'unitedstatesinsurance—life']"
"['unitedstates', 'technology', 'software—application', 'unitedstatestechnology', 'unitedstatessoftware—application']"
"['southafrica', 'communicationservices', 'internetcontent&information', 'southafricacommunicationservices', 'southafricainternetcontent&information']"
"['unitedstates', 'technology', 'software—infrastructure', 'unitedstatestechnology', 'unitedstatessoftware—infrastructure']"
"['mexico', 'basicmaterials', 'otherindustrialmetals&mining', 'mexicobasicmaterials', 'mexicootherindustrialmetals&mining']"
"['unitedstates', 'consumerdiscretionary', 'specialtyretail', 'unitedstatesconsumerdiscretionary', 'unitedstatesspecialtyretail']"
"['ireland', 'industrials', 'engineering&construction', 'irelandindustrials', 'irelandengineering&construction']"
"['unitedstates', 'technology', 'software—infrastructure', 'unitedstatestechnology', 'unitedstatessoftware—infrastructure']"
"['canada', 'energy', 'oil&gasintegrated', 'canadaenergy', 'canadaoil&gasintegrated']"
"['unitedstates', 'healthcare', 'medicaldistribution', 'unitedstateshealthcare', 'unitedstatesmedicaldistribution']"
"['russia', 'energy', 'oil&gasintegrated', 'russiaenergy', 'russiaoil&gasintegrated']"
"['unitedstates', 'basicmaterials', 'chemicals', 'unitedstatesbasicmaterials', 'unitedstateschemicals']"
"['canada', 'consumerdiscretionary', 'apparelretail', 'canadaconsumerdiscretionary', 'canadaapparelretail']"
"['taiwan', 'technology', 'semiconductors', 'taiwantechnology', 'taiwansemiconductors']"
"['australia', 'realestate', 'reit—retail', 'australiarealestate', 'australiareit—retail']"
"['japan', 'industrials', 'conglomerates', 'japanindustrials', 'japanconglomerates']"
"['unitedstates', 'technology', 'computerhardware', 'unitedstatestechnology', 'unitedstatescomputerhardware']"
"['china', 'basicmaterials', 'gold', 'chinabasicmaterials', 'chinagold']"
"['india', 'technology', 'informationtechnologyservices', 'indiatechnology', 'indiainformationtechnologyservices']"
"['southkorea', 'healthcare', 'biotechnology', 'southkoreahealthcare', 'southkoreabiotechnology']"
"['japan', 'financials', 'banks', 'japanfinancials', 'japanbanks']"
"['unitedstates', 'consumerdiscretionary', 'restaurants', 'unitedstatesconsumerdiscretionary', 'unitedstatesrestaurants']"
"['unitedstates', 'technology', 'software—application', 'unitedstatestechnology', 'unitedstatessoftware—application']"
"['unitedstates', 'industrials', 'specialtybusinessservices', 'unitedstatesindustrials', 'unitedstatesspecialtybusinessservices']"
"['unitedstates', 'healthcare', 'diagnostics&research', 'unitedstateshealthcare', 'unitedstatesdiagnostics&research']"
"['unitedstates', 'consumerdiscretionary', 'specialtyretail', 'unitedstatesconsumerdiscretionary', 'unitedstatesspecialtyretail']"
"['switzerland', 'technology', 'electroniccomponents', 'switzerlandtechnology', 'switzerlandelectroniccomponents']"
"['italy', 'financials', 'banks', 'italyfinancials', 'italybanks']"
"['unitedstates', 'financials', 'financialdata&stockexchanges', 'unitedstatesfinancials', 'unitedstatesfinancialdata&stockexchanges']"
"['hongkong', 'financials', 'banks', 'hongkongfinancials', 'hongkongbanks']"
"['unitedstates', 'healthcare', 'medicalinstruments&supplies', 'unitedstateshealthcare', 'unitedstatesmedicalinstruments&supplies']"
"['china', 'financials', 'capitalmarkets', 'chinafinancials', 'chinacapitalmarkets']"
"['unitedstates', 'industrials', 'specialtybusinessservices', 'unitedstatesindustrials', 'unitedstatesspecialtybusinessservices']"
"['unitedstates', 'healthcare', 'diagnostics&research', 'unitedstateshealthcare', 'unitedstatesdiagnostics&research']"
"['unitedstates', 'healthcare', 'pharmaceuticalretailers', 'unitedstateshealthcare', 'unitedstatespharmaceuticalretailers']"
"['unitedstates', 'realestate', 'reit—office', 'unitedstatesrealestate', 'unitedstatesreit—office']"
"['singapore', 'financials', 'banks', 'singaporefinancials', 'singaporebanks']"
"['unitedstates', 'industrials', 'buildingproducts&equipment', 'unitedstatesindustrials', 'unitedstatesbuildingproducts&equipment']"
"['unitedstates', 'financials', 'assetmanagement', 'unitedstatesfinancials', 'unitedstatesassetmanagement']"
"['china', 'communicationservices', 'internetcontent&information', 'chinacommunicationservices', 'chinainternetcontent&information']"
"['unitedstates', 'technology', 'communicationequipment', 'unitedstatestechnology', 'unitedstatescommunicationequipment']"
"['russia', 'basicmaterials', 'otherindustrialmetals&mining', 'russiabasicmaterials', 'russiaotherindustrialmetals&mining']"
"['netherlands', 'financials', 'banks', 'netherlandsfinancials', 'netherlandsbanks']"
"['unitedstates', 'energy', 'oil&gasrefining&marketing', 'unitedstatesenergy', 'unitedstatesoil&gasrefining&marketing']"
"['hongkong', 'financials', 'banks', 'hongkongfinancials', 'hongkongbanks']"
"['unitedstates', 'financials', 'insurance—property&casualty', 'unitedstatesfinancials', 'unitedstatesinsurance—property&casualty']"
"['unitedstates', 'energy', 'oil&gasmidstream', 'unitedstatesenergy', 'unitedstatesoil&gasmidstream']"
"['unitedstates', 'energy', 'oil&gase&p', 'unitedstatesenergy', 'unitedstatesoil&gase&p']"
"['switzerland', 'technology', 'semiconductors', 'switzerlandtechnology', 'switzerlandsemiconductors']"
"['germany', 'healthcare', 'biotechnology', 'germanyhealthcare', 'germanybiotechnology']"
"['canada', 'financials', 'insurance—life', 'canadafinancials', 'canadainsurance—life']"
"['unitedstates', 'consumerstaples', 'grocerystores', 'unitedstatesconsumerstaples', 'unitedstatesgrocerystores']"
"['unitedstates', 'consumerstaples', 'fooddistribution', 'unitedstatesconsumerstaples', 'unitedstatesfooddistribution']"
"['china', 'healthcare', 'diagnostics&research', 'chinahealthcare', 'chinadiagnostics&research']"
"['unitedstates', 'consumerdiscretionary', 'lodging', 'unitedstatesconsumerdiscretionary', 'unitedstateslodging']"
"['denmark', 'industrials', 'integratedfreight&logistics', 'denmarkindustrials', 'denmarkintegratedfreight&logistics']"
"['japan', 'consumerstaples', 'grocerystores', 'japanconsumerstaples', 'japangrocerystores']"
"['unitedstates', 'consumerstaples', 'packagedfoods', 'unitedstatesconsumerstaples', 'unitedstatespackagedfoods']"
"['unitedstates', 'basicmaterials', 'agriculturalinputs', 'unitedstatesbasicmaterials', 'unitedstatesagriculturalinputs']"
"['china', 'technology', 'semiconductorequipment&materials', 'chinatechnology', 'chinasemiconductorequipment&materials']"
"['unitedstates', 'consumerstaples', 'beverages—non-alcoholic', 'unitedstatesconsumerstaples', 'unitedstatesbeverages—non-alcoholic']"
"['china', 'consumerstaples', 'packagedfoods', 'chinaconsumerstaples', 'chinapackagedfoods']"
"['japan', 'healthcare', 'medicalinstruments&supplies', 'japanhealthcare', 'japanmedicalinstruments&supplies']"
"['unitedstates', 'industrials', 'wastemanagement', 'unitedstatesindustrials', 'unitedstateswastemanagement']"
"['australia', 'consumerdiscretionary', 'homeimprovementretail', 'australiaconsumerdiscretionary', 'australiahomeimprovementretail']"
"['china', 'technology', 'consumerelectronics', 'chinatechnology', 'chinaconsumerelectronics']"
"['unitedstates', 'consumerstaples', 'household&personalproducts', 'unitedstatesconsumerstaples', 'unitedstateshousehold&personalproducts']"
"['unitedstates', 'energy', 'oil&gasmidstream', 'unitedstatesenergy', 'unitedstatesoil&gasmidstream']"
"['japan', 'technology', 'electroniccomponents', 'japantechnology', 'japanelectroniccomponents']"
"['canada', 'basicmaterials', 'gold', 'canadabasicmaterials', 'canadagold']"
"['unitedstates', 'financials', 'insurance—life', 'unitedstatesfinancials', 'unitedstatesinsurance—life']"
"['unitedstates', 'realestate', 'reit—retail', 'unitedstatesrealestate', 'unitedstatesreit—retail']"
"['unitedkingdom', 'financials', 'banks', 'unitedkingdomfinancials', 'unitedkingdombanks']"
"['unitedstates', 'basicmaterials', 'chemicals', 'unitedstatesbasicmaterials', 'unitedstateschemicals']"
"['china', 'basicmaterials', 'chemicals', 'chinabasicmaterials', 'chinachemicals']"
"['singapore', 'financials', 'banks', 'singaporefinancials', 'singaporebanks']"
"['unitedstates', 'utilities', 'utilities—regulatedelectric', 'unitedstatesutilities', 'unitedstatesutilities—regulatedelectric']"
"['unitedstates', 'realestate', 'reit—healthcarefacilities', 'unitedstatesrealestate', 'unitedstatesreit—healthcarefacilities']"
"['unitedstates', 'energy', 'oil&gasmidstream', 'unitedstatesenergy', 'unitedstatesoil&gasmidstream']"
"['australia', 'consumerstaples', 'grocerystores', 'australiaconsumerstaples', 'australiagrocerystores']"
"['unitedstates', 'healthcare', 'medicalinstruments&supplies', 'unitedstateshealthcare', 'unitedstatesmedicalinstruments&supplies']"
"['ireland', 'industrials', 'consultingservices', 'irelandindustrials', 'irelandconsultingservices']"
"['unitedstates', 'healthcare', 'medicalinstruments&supplies', 'unitedstateshealthcare', 'unitedstatesmedicalinstruments&supplies']"
"['finland', 'energy', 'oil&gasrefining&marketing', 'finlandenergy', 'finlandoil&gasrefining&marketing']"
"['china', 'consumerstaples', 'beverages—wineries&distilleries', 'chinaconsumerstaples', 'chinabeverages—wineries&distilleries']"
"['unitedstates', 'technology', 'software—application', 'unitedstatestechnology', 'unitedstatessoftware—application']"
"['china', 'consumerdiscretionary', 'automanufacturers', 'chinaconsumerdiscretionary', 'chinaautomanufacturers']"
"['unitedstates', 'technology', 'software—infrastructure', 'unitedstatestechnology', 'unitedstatessoftware—infrastructure']"
"['france', 'consumerstaples', 'packagedfoods', 'franceconsumerstaples', 'francepackagedfoods']"
"['unitedstates', 'basicmaterials', 'specialtychemicals', 'unitedstatesbasicmaterials', 'unitedstatesspecialtychemicals']"
"['unitedstates', 'industrials', 'wastemanagement', 'unitedstatesindustrials', 'unitedstateswastemanagement']"
"['unitedstates', 'industrials', 'aerospace&defense', 'unitedstatesindustrials', 'unitedstatesaerospace&defense']"
"['unitedstates', 'utilities', 'utilities—diversified', 'unitedstatesutilities', 'unitedstatesutilities—diversified']"
"['canada', 'communicationservices', 'telecomservices', 'canadacommunicationservices', 'canadatelecomservices']"
"['china', 'consumerstaples', 'packagedfoods', 'chinaconsumerstaples', 'chinapackagedfoods']"
"['canada', 'technology', 'software—application', 'canadatechnology', 'canadasoftware—application']"
"['china', 'financials', 'banks', 'chinafinancials', 'chinabanks']"
"['unitedstates', 'communicationservices', 'internetcontent&information', 'unitedstatescommunicationservices', 'unitedstatesinternetcontent&information']"
"['germany', 'financials', 'insurance—reinsurance', 'germanyfinancials', 'germanyinsurance—reinsurance']"
"['china', 'industrials', 'railroads', 'chinaindustrials', 'chinarailroads']"
"['china', 'healthcare', 'drugmanufacturers—general', 'chinahealthcare', 'chinadrugmanufacturers—general']"
"['japan', 'financials', 'insurance—property&casualty', 'japanfinancials', 'japaninsurance—property&casualty']"
"['unitedstates', 'industrials', 'specialtyindustrialmachinery', 'unitedstatesindustrials', 'unitedstatesspecialtyindustrialmachinery']"
"['japan', 'industrials', 'specialtyindustrialmachinery', 'japanindustrials', 'japanspecialtyindustrialmachinery']"
"['ireland', 'industrials', 'specialtyindustrialmachinery', 'irelandindustrials', 'irelandspecialtyindustrialmachinery']"
"['unitedstates', 'communicationservices', 'electronicgaming&multimedia', 'unitedstatescommunicationservices', 'unitedstateselectronicgaming&multimedia']"
"['unitedstates', 'energy', 'oil&gasrefining&marketing', 'unitedstatesenergy', 'unitedstatesoil&gasrefining&marketing']"
"['indonesia', 'financials', 'banks', 'indonesiafinancials', 'indonesiabanks']"
"['france', 'healthcare', 'medicalinstruments&supplies', 'francehealthcare', 'francemedicalinstruments&supplies']"
"['unitedkingdom', 'consumerdiscretionary', 'restaurants', 'unitedkingdomconsumerdiscretionary', 'unitedkingdomrestaurants']"
"['japan', 'healthcare', 'drugmanufacturers—general', 'japanhealthcare', 'japandrugmanufacturers—general']"
"['france', 'technology', 'informationtechnologyservices', 'francetechnology', 'franceinformationtechnologyservices']"
"['unitedstates', 'realestate', 'reit—specialty', 'unitedstatesrealestate', 'unitedstatesreit—specialty']"
"['unitedstates', 'consumerstaples', 'discountstores', 'unitedstatesconsumerstaples', 'unitedstatesdiscountstores']"
"['france', 'financials', 'banks', 'francefinancials', 'francebanks']"
"['sweden', 'industrials', 'farm&heavyconstructionmachinery', 'swedenindustrials', 'swedenfarm&heavyconstructionmachinery']"
"['china', 'communicationservices', 'broadcasting', 'chinacommunicationservices', 'chinabroadcasting']"
"['unitedstates', 'technology', 'computerhardware', 'unitedstatestechnology', 'unitedstatescomputerhardware']"
"['spain', 'financials', 'banks', 'spainfinancials', 'spainbanks']"
"['unitedstates', 'energy', 'oil&gasequipment&services', 'unitedstatesenergy', 'unitedstatesoil&gasequipment&services']"
"['energy', 'oil&gasintegrated']"
"['switzerland', 'healthcare', 'medicalinstruments&supplies', 'switzerlandhealthcare', 'switzerlandmedicalinstruments&supplies']"
"['unitedkingdom', 'financials', 'insurance—life', 'unitedkingdomfinancials', 'unitedkingdominsurance—life']"
"['denmark', 'basicmaterials', 'chemicals', 'denmarkbasicmaterials', 'denmarkchemicals']"
"['switzerland', 'basicmaterials', 'specialtychemicals', 'switzerlandbasicmaterials', 'switzerlandspecialtychemicals']"
"['unitedstates', 'consumerdiscretionary', 'internetretail', 'unitedstatesconsumerdiscretionary', 'unitedstatesinternetretail']"
"['canada', 'consumerstaples', 'grocerystores', 'canadaconsumerstaples', 'canadagrocerystores']"
"['japan', 'financials', 'assetmanagement', 'japanfinancials', 'japanassetmanagement']"
"['switzerland', 'industrials', 'integratedfreight&logistics', 'switzerlandindustrials', 'switzerlandintegratedfreight&logistics']"
"['unitedstates', 'financials', 'creditservices', 'unitedstatesfinancials', 'unitedstatescreditservices']"
"['unitedstates', 'consumerstaples', 'farmproducts', 'unitedstatesconsumerstaples', 'unitedstatesfarmproducts']"
"['unitedstates', 'energy', 'oil&gasequipment&services', 'unitedstatesenergy', 'unitedstatesoil&gasequipment&services']"
"['unitedstates', 'financials', 'assetmanagement', 'unitedstatesfinancials', 'unitedstatesassetmanagement']"
"['taiwan', 'communicationservices', 'telecomservices', 'taiwancommunicationservices', 'taiwantelecomservices']"
"['unitedstates', 'realestate', 'reit—residential', 'unitedstatesrealestate', 'unitedstatesreit—residential']"
"['china', 'healthcare', 'biotechnology', 'chinahealthcare', 'chinabiotechnology']"
"['unitedstates', 'financials', 'insurancebrokers', 'unitedstatesfinancials', 'unitedstatesinsurancebrokers']"
"['japan', 'consumerdiscretionary', 'internetretail', 'japanconsumerdiscretionary', 'japaninternetretail']"
"['unitedstates', 'industrials', 'consultingservices', 'unitedstatesindustrials', 'unitedstatesconsultingservices']"
"['australia', 'industrials', 'airports&airservices', 'australiaindustrials', 'australiaairports&airservices']"
"['utilities', 'utilities—renewable']"
"['unitedstates', 'healthcare', 'medicaldevices', 'unitedstateshealthcare', 'unitedstatesmedicaldevices']"
"['unitedstates', 'industrials', 'industrialdistribution', 'unitedstatesindustrials', 'unitedstatesindustrialdistribution']"
"['unitedstates', 'financials', 'assetmanagement', 'unitedstatesfinancials', 'unitedstatesassetmanagement']"
"['basicmaterials', 'steel']"
"['hongkong', 'consumerstaples', 'beverages—brewers', 'hongkongconsumerstaples', 'hongkongbeverages—brewers']"
"['china', 'financials', 'banks', 'chinafinancials', 'chinabanks']"
"['unitedstates', 'utilities', 'utilities—regulatedelectric', 'unitedstatesutilities', 'unitedstatesutilities—regulatedelectric']"
"['unitedstates', 'energy', 'oil&gasmidstream', 'unitedstatesenergy', 'unitedstatesoil&gasmidstream']"
"['unitedstates', 'industrials', 'trucking', 'unitedstatesindustrials', 'unitedstatestrucking']"
"['hongkong', 'realestate', 'realestate—development', 'hongkongrealestate', 'hongkongrealestate—development']"
"['unitedstates', 'consumerdiscretionary', 'restaurants', 'unitedstatesconsumerdiscretionary', 'unitedstatesrestaurants']"
"['canada', 'energy', 'oil&gasintegrated', 'canadaenergy', 'canadaoil&gasintegrated']"
"['unitedstates', 'realestate', 'reit—residential', 'unitedstatesrealestate', 'unitedstatesreit—residential']"
"['italy', 'financials', 'insurance—diversified', 'italyfinancials', 'italyinsurance—diversified']"
"['sweden', 'technology', 'scientific&technicalinstruments', 'swedentechnology', 'swedenscientific&technicalinstruments']"
"['australia', 'communicationservices', 'telecomservices', 'australiacommunicationservices', 'australiatelecomservices']"
"['unitedkingdom', 'financials', 'banks', 'unitedkingdomfinancials', 'unitedkingdombanks']"
"['unitedstates', 'energy', 'oil&gase&p', 'unitedstatesenergy', 'unitedstatesoil&gase&p']"
"['france', 'communicationservices', 'telecomservices', 'francecommunicationservices', 'francetelecomservices']"
