00-avengers-country,01-DDD-country,02-GioPonSpiz-country,03-gren-country,04-iGMM-country,05-MalPatSaj-country,06-MarScoToc-country
usa,japan,s. korea,uk,,usa,south korea
israel,thailand,usa,japan,USA,china,south africa
usa,india,usa,japan,,netherlands,usa
usa,usa,usa,japan,,india,china
usa,malaysia,usa,germany,,india,canada
india,usa,usa,usa,,sweden,usa
usa,turkey,germany,china,,usa,usa
canada,hong-kong,japan,taiwan,,uk,usa
usa,saudi-arabia,usa,sweden,,netherlands,usa
usa,usa,canada,canada,Hong Kong,usa,south korea
usa,usa,usa,switzerland,,usa,israel
usa,usa,israel,india,,s. korea,usa
china,sweden,usa,usa,,india,uk
india,canada,turkey,usa,,japan,
usa,usa,usa,singapore,,canada,usa
usa,japan,hong kong,uk,,usa,sweden
usa,japan,usa,usa,USA,rsey,india
usa,usa,usa,australia,,hong kong,japan
,singapore,hungary,finland,Singapore,s. korea,china
spain,usa,hong kong,france,USA,usa,uk
usa,usa,usa,germany,,usa,germany
south korea,brazil,japan,usa,USA,usa,france
usa,italy,japan,usa,,canada,australia
hong kong,netherlands,japan,japan,USA,usa,france
singapore,usa,japan,usa,,usa,singapore
usa,india,uk,usa,USA,bermuda,usa
india,usa,uk,chile,Australia,usa,usa
israel,usa,australia,poland,,india,usa
india,norway,singapore,france,,france,hong kong
spain,united-kingdom,sweden,uk,,belgium,usa
usa,indonesia,australia,s. korea,USA,turkey,usa
brazil,saudi-arabia,china,usa,,usa,poland
usa,mexico,usa,spain,USA,australia,sweden
usa,chile,uk,india,USA,usa,usa
usa,india,uk,usa,USA,usa,usa
usa,usa,usa,hong kong,USA,thailand,hong kong
india,japan,usa,canada,,mexico,usa
usa,brazil,poland,france,USA,sweden,usa
usa,usa,france,australia,USA,usa,switzerland
usa,denmark,spain,mexico,,italy,usa
singapore,usa,usa,uk,USA,japan,south korea
india,usa,uk,usa,,japan,india
usa,usa,usa,india,,india,uk
usa,taiwan,usa,canada,,singapore,usa
usa,none,india,malaysia,,new zealand,usa
usa,saudi-arabia,usa,usa,,s. korea,indonesia
usa,united-kingdom,mexico,belgium,USA,sweden,uk
usa,indonesia,singapore,india,,indonesia,usa
usa,japan,usa,usa,,france,canada
usa,china,s. korea,usa,,mexico,usa
usa,switzerland,usa,s. korea,Malaysia,mexico,usa
china,finland,usa,turkey,,india,usa
india,japan,switzerland,india,,s. korea,usa
china,malaysia,hong kong,s. korea,,usa,new zealand
finland,usa,uae,usa,,canada,canada
india,japan,china,usa,,china,japan
usa,south-korea,indonesia,s. arabia,USA,usa,japan
usa,india,usa,sweden,,,mexico
usa,germany,usa,israel,,uk,usa
usa,usa,india,usa,,germany,usa
usa,saudi-arabia,canada,usa,,south africa,india
usa,japan,india,indonesia,,japan,usa
usa,usa,mexico,usa,,usa,usa
usa,israel,france,usa,,usa,usa
usa,france,india,israel,USA,usa,usa
usa,china,s. korea,japan,,japan,china
usa,turkey,india,s. arabia,,india,usa
india,usa,usa,india,USA,turkey,usa
usa,canada,usa,usa,USA,indonesia,japan
usa,usa,japan,mexico,USA,uk,spain
india,usa,sweden,usa,,usa,usa
usa,hong-kong,usa,indonesia,USA,usa,malaysia
usa,india,uk,turkey,,france,belgium
usa,italy,japan,usa,USA,japan,usa
usa,usa,usa,india,USA,luxembourg,usa
indonesia,japan,usa,japan,USA,usa,united arab emirates
usa,usa,south africa,switzerland,,uk,taiwan
usa,japan,usa,usa,,usa,spain
usa,india,usa,uk,Canada,usa,south africa
usa,united-kingdom,turkey,spain,,usa,japan
usa,india,new zealand,malaysia,,taiwan,hong kong
usa,spain,new zealand,japan,,new zealand,italy
usa,china,india,turkey,,australia,uk
taiwan,united-kingdom,usa,usa,USA,usa,
usa,italy,usa,usa,USA,taiwan,united arab emirates
brazil,usa,s. korea,japan,USA,india,brazil
indonesia,south-africa,malaysia,uk,,uk,saudi arabia
usa,usa,usa,usa,,japan,usa
usa,germany,spain,sweden,USA,south africa,japan
usa,usa,germany,japan,,usa,usa
usa,japan,usa,usa,,uk,japan
uk,south-korea,brazil,germany,USA,spain,indonesia
,new-zealand,japan,usa,,malaysia,usa
usa,indonesia,italy,usa,,india,china
usa,taiwan,usa,japan,,finland,usa
usa,japan,usa,hong kong,USA,germany,indonesia
canada,south-korea,italy,usa,USA,uk,india
china,japan,canada,usa,USA,japan,uk
usa,malaysia,argentina,taiwan,,usa,usa
usa,usa,uae,new zealand,,mexico,usa
india,new-zealand,usa,kazakhstan,,india,saudi arabia
india,mexico,taiwan,japan,,canada,uk
,brazil,japan,india,,israel,germany
usa,japan,usa,brazil,,usa,japan
canada,india,usa,india,,usa,india
uk,usa,usa,new zealand,,russia,usa
usa,usa,usa,usa,,usa,france
usa,usa,germany,s. korea,,usa,canada
usa,usa,poland,malaysia,,hong kong,israel
usa,india,finland,italy,USA,sweden,usa
,canada,uk,usa,Israel,germany,india
usa,poland,japan,canada,,usa,india
uk,usa,usa,india,UK,norway,japan
usa,united-arab-emirates,usa,japan,,chile,malaysia
usa,usa,israel,south africa,,ngary,south korea
usa,usa,canada,usa,USA,usa,hong kong
uk,sweden,japan,india,USA,s. arabia,usa
usa,china,s. arabia,usa,,usa,india
usa,usa,uk,usa,Canada,switzerland,turkey
usa,germany,s. korea,usa,,india,south korea
usa,usa,usa,japan,,taiwan,japan
india,usa,india,sweden,,malaysia,indonesia
usa,singapore,s. arabia,norway,USA,japan,usa
usa,china,s. korea,usa,,usa,finland
usa,usa,usa,taiwan,USA,s. korea,india
usa,usa,chile,japan,,norway,taiwan
usa,usa,usa,denmark,,japan,usa
usa,japan,india,norway,,usa,china
ireland,indonesia,japan,italy,USA,usa,china
usa,france,usa,switzerland,,japan,denmark
uk,usa,china,france,,usa,uk
canada,japan,france,usa,,usa,south korea
usa,india,china,usa,,japan,japan
japan,spain,usa,japan,,japan,switzerland
usa,hong-kong,usa,usa,,usa,usa
usa,usa,malaysia,brazil,,italy,usa
india,poland,usa,china,,usa,netherlands
india,usa,taiwan,taiwan,USA,usa,japan
usa,usa,usa,japan,,malaysia,italy
usa,france,india,usa,USA,s. arabia,usa
usa,usa,india,turkey,USA,brazil,usa
canada,switzerland,usa,taiwan,,germany,japan
canada,usa,uk,china,,usa,singapore
usa,united-kingdom,japan,s. arabia,USA,usa,sweden
india,usa,luxembourg,taiwan,USA,japan,hong kong
usa,south-korea,usa,india,,turkey,south korea
usa,usa,usa,singapore,,japan,mexico
usa,south-korea,usa,france,USA,usa,italy
india,south-korea,usa,s. korea,USA,s. korea,usa
usa,usa,japan,uk,,india,south korea
usa,mexico,usa,netherlands,,usa,
usa,usa,japan,usa,,taiwan,turkey
usa,germany,india,usa,,singapore,usa
,usa,japan,taiwan,,taiwan,
usa,usa,usa,india,,usa,japan
usa,usa,hong kong,usa,Israel,japan,usa
usa,united-kingdom,japan,usa,China,israel,usa
usa,china,norway,japan,,india,usa
south korea,norway,switzerland,usa,USA,usa,usa
usa,india,turkey,s. korea,,italy,saudi arabia
usa,usa,india,germany,,usa,usa
uk,usa,usa,usa,,hong kong,norway
usa,united-arab-emirates,india,taiwan,,usa,brazil
china,finland,indonesia,usa,,usa,chile
uk,usa,singapore,s. arabia,,usa,usa
usa,france,usa,usa,,hong kong,
usa,japan,china,canada,,france,usa
china,usa,switzerland,japan,,taiwan,uk
israel,china,hong kong,brazil,,russia,japan
canada,taiwan,denmark,luxembourg,,germany,saudi arabia
usa,japan,malaysia,usa,USA,usa,canada
usa,switzerland,italy,usa,,taiwan,japan
usa,usa,brazil,usa,Israel,canada,malaysia
usa,japan,indonesia,usa,USA,usa,usa
usa,usa,mexico,usa,,usa,switzerland
usa,belgium,usa,usa,,usa,usa
usa,usa,usa,usa,,indonesia,japan
usa,japan,japan,usa,,usa,usa
canada,united-arab-emirates,usa,netherlands,India,india,usa
india,india,s. arabia,canada,,s. korea,usa
india,brazil,usa,japan,USA,canada,denmark
usa,usa,indonesia,uk,,usa,thailand
usa,japan,s. korea,india,USA,usa,taiwan
usa,spain,brazil,italy,,usa,usa
usa,taiwan,china,hong kong,,sweden,australia
india,australia,canada,usa,,usa,usa
usa,united-kingdom,poland,usa,USA,usa,usa
india,india,taiwan,colombia,Israel,spain,india
usa,india,usa,usa,,denmark,turkey
usa,usa,usa,switzerland,USA,usa,usa
sweden,netherlands,india,s. korea,,usa,uk
usa,usa,usa,sweden,,uk,usa
usa,usa,netherlands,canada,,denmark,japan
china,usa,usa,uk,,s. korea,usa
usa,usa,thailand,usa,,brazil,germany
usa,brazil,s. korea,usa,,usa,taiwan
usa,new-zealand,sweden,uk,USA,switzerland,india
india,japan,australia,japan,,usa,india
uk,hong-kong,usa,s. korea,,japan,saudi arabia
usa,usa,taiwan,usa,,japan,china
russia,italy,japan,greece,,usa,taiwan
,usa,uk,france,,india,india
usa,germany,germany,usa,,turkey,australia
india,thailand,usa,poland,,japan,brazil
usa,taiwan,japan,usa,,usa,japan
usa,usa,south africa,uk,,japan,canada
usa,south-africa,australia,usa,,usa,usa
canada,finland,s. korea,s. korea,UK,japan,norway
canada,china,colombia,uk,,indonesia,india
usa,ireland,india,usa,,japan,usa
usa,switzerland,australia,luxembourg,,japan,usa
usa,china,germany,india,USA,australia,sweden
usa,france,s. korea,australia,,usa,south korea
india,japan,usa,india,,india,usa
usa,switzerland,usa,argentina,,usa,united arab emirates
usa,usa,usa,canada,,usa,singapore
usa,singapore,japan,japan,,switzerland,taiwan
usa,turkey,s. arabia,netherlands,USA,mexico,usa
india,taiwan,taiwan,usa,,usa,usa
india,france,uae,turkey,USA,greece,france
sweden,hong-kong,usa,mexico,Canada,canada,uk
usa,australia,canada,india,,italy,canada
australia,norway,usa,india,USA,switzerland,usa
usa,usa,poland,sweden,Israel,netherlands,usa
usa,sweden,japan,denmark,China,australia,japan
usa,united-arab-emirates,uk,poland,USA,france,usa
usa,united-kingdom,japan,usa,,japan,south africa
usa,canada,south africa,usa,,japan,south korea
usa,japan,hong kong,denmark,,india,uk
india,hong-kong,taiwan,south africa,USA,france,poland
india,belgium,france,indonesia,USA,usa,denmark
israel,usa,turkey,italy,,japan,china
india,usa,usa,germany,,usa,usa
israel,australia,luxembourg,singapore,,s. korea,usa
japan,ireland,usa,usa,USA,usa,south africa
usa,ireland,luxembourg,south africa,,india,taiwan
usa,india,usa,china,,india,india
usa,australia,s. arabia,taiwan,Portugal,usa,india
usa,malaysia,usa,china,India,sweden,france
usa,china,australia,canada,,japan,netherlands
usa,usa,japan,japan,,japan,india
taiwan,india,india,usa,,poland,usa
india,denmark,india,s. korea,USA,usa,usa
poland,usa,switzerland,denmark,USA,japan,usa
usa,china,india,s. arabia,,usa,usa
france,spain,sweden,india,,uk,usa
usa,united-kingdom,canada,usa,,india,usa
india,usa,usa,uk,,taiwan,japan
ireland,poland,norway,usa,,sweden,hong kong
usa,australia,usa,usa,,usa,usa
belgium,germany,usa,japan,,australia,australia
usa,usa,taiwan,usa,,turkey,italy
germany,usa,singapore,usa,India,indonesia,usa
indonesia,china,usa,japan,USA,usa,usa
usa,usa,uk,usa,,turkey,
turkey,japan,denmark,usa,,usa,australia
usa,usa,denmark,israel,,uk,france
israel,italy,usa,usa,USA,netherlands,brazil
usa,usa,canada,singapore,USA,denmark,india
usa,usa,germany,usa,,taiwan,switzerland
usa,france,usa,france,USA,canada,taiwan
usa,japan,usa,australia,,japan,canada
india,india,usa,spain,,usa,india
usa,finland,switzerland,australia,,india,usa
india,usa,uk,japan,USA,canada,poland
,united-kingdom,japan,usa,USA,china,usa
usa,none,italy,usa,,usa,usa
usa,united-kingdom,usa,usa,,usa,japan
canada,united-kingdom,usa,canada,,usa,usa
china,usa,netherlands,usa,,usa,turkey
usa,china,italy,s. korea,USA,brazil,japan
poland,united-kingdom,greece,usa,,usa,usa
usa,germany,taiwan,new zealand,,usa,india
usa,usa,france,canada,USA,usa,canada
usa,china,usa,china,USA,japan,usa
uk,usa,usa,canada,,india,usa
usa,japan,s. korea,japan,,japan,poland
china,usa,usa,sweden,,usa,germany
canada,australia,india,japan,,,south korea
usa,taiwan,usa,japan,,s. arabia,united arab emirates
germany,usa,usa,italy,,usa,usa
india,usa,usa,usa,,usa,poland
china,usa,usa,usa,,turkey,usa
germany,united-kingdom,japan,japan,USA,india,japan
uk,france,poland,japan,China,usa,
usa,india,uae,india,USA,usa,japan
usa,india,usa,australia,USA,usa,sweden
usa,usa,usa,usa,,uk,usa
usa,china,usa,poland,,usa,japan
uk,belgium,canada,canada,,usa,switzerland
china,usa,usa,india,,south africa,japan
canada,usa,india,switzerland,Portugal,singapore,indonesia
usa,south-africa,indonesia,turkey,,singapore,usa
usa,china,sweden,switzerland,USA,taiwan,brazil
usa,usa,brazil,taiwan,USA,china,canada
usa,india,usa,brazil,,denmark,usa
france,germany,usa,indonesia,USA,germany,indonesia
canada,usa,usa,poland,USA,usa,denmark
sweden,brazil,s. korea,usa,,s. korea,india
usa,taiwan,usa,luxembourg,India,usa,usa
usa,france,netherlands,usa,,thailand,usa
usa,usa,usa,macau,,usa,netherlands
india,saudi-arabia,usa,indonesia,USA,germany,india
israel,china,japan,usa,,germany,
uk,japan,usa,japan,USA,uk,usa
usa,japan,germany,usa,,luxembourg,israel
usa,israel,usa,indonesia,USA,usa,usa
india,germany,japan,usa,,japan,singapore
usa,brazil,turkey,japan,,usa,china
israel,mexico,uk,usa,,usa,usa
sweden,malaysia,japan,indonesia,,india,usa
,china,taiwan,india,,indonesia,usa
japan,usa,sweden,usa,,japan,usa
china,brazil,india,usa,,japan,usa
usa,south-africa,canada,usa,,usa,usa
usa,israel,usa,usa,,canada,taiwan
australia,thailand,usa,usa,,uk,japan
usa,netherlands,usa,usa,,china,usa
uk,usa,japan,usa,,usa,usa
canada,india,usa,canada,,usa,india
usa,usa,sweden,s. korea,USA,france,usa
usa,japan,usa,canada,USA,germany,taiwan
malaysia,canada,israel,india,USA,usa,usa
usa,usa,usa,usa,,australia,usa
cambodia,france,usa,thailand,,japan,usa
usa,japan,usa,india,,usa,usa
canada,switzerland,canada,usa,USA,sweden,usa
usa,japan,china,usa,USA,usa,usa
india,none,usa,switzerland,,canada,japan
usa,usa,denmark,brazil,,canada,south korea
usa,usa,singapore,india,,india,switzerland
china,usa,switzerland,usa,,usa,sweden
usa,japan,india,japan,,indonesia,usa
sweden,netherlands,japan,japan,,usa,usa
usa,israel,japan,australia,Hong Kong,new zealand,usa
israel,singapore,china,usa,,south africa,australia
usa,canada,australia,mexico,Singapore,sweden,usa
usa,usa,switzerland,usa,,usa,usa
usa,india,usa,japan,,usa,australia
usa,usa,brazil,hong kong,,usa,uk
japan,usa,japan,usa,,ilippines,australia
usa,china,usa,s. arabia,,usa,usa
japan,usa,sweden,india,,usa,usa
usa,usa,taiwan,s. korea,,india,canada
usa,usa,japan,usa,USA,poland,japan
usa,sweden,macau,germany,,s. korea,indonesia
usa,usa,spain,usa,,japan,italy
usa,germany,usa,usa,USA,australia,japan
usa,china,usa,india,,usa,usa
united arab emirates,usa,usa,usa,,usa,japan
japan,china,usa,australia,,usa,uk
usa,india,usa,usa,USA,australia,germany
usa,japan,usa,usa,Cambodia,india,usa
usa,germany,usa,usa,USA,s. arabia,sweden
canada,finland,usa,usa,Brazil,sweden,usa
usa,france,japan,usa,USA,japan,usa
usa,usa,usa,uk,,switzerland,canada
usa,south-korea,japan,switzerland,,canada,uk
usa,usa,indonesia,usa,,usa,saudi arabia
usa,usa,canada,india,,usa,usa
usa,usa,usa,japan,,s. korea,japan
india,usa,usa,sweden,,lombia,new zealand
australia,indonesia,usa,usa,,s. korea,south africa
,none,usa,germany,,uk,canada
usa,australia,australia,usa,,mexico,japan
usa,usa,s. arabia,thailand,USA,usa,usa
usa,none,france,usa,USA,italy,uk
usa,japan,switzerland,usa,USA,usa,indonesia
usa,italy,usa,taiwan,,india,india
israel,spain,japan,china,USA,canada,usa
usa,china,australia,singapore,,usa,usa
usa,japan,usa,usa,,usa,usa
usa,france,usa,usa,Hong Kong,usa,china
usa,india,uk,usa,,poland,india
usa,thailand,usa,usa,,japan,usa
usa,usa,usa,japan,India,usa,spain
usa,usa,usa,indonesia,China,usa,japan
usa,usa,india,taiwan,,taiwan,usa
usa,japan,usa,taiwan,Bahamas,poland,usa
usa,india,china,germany,,usa,usa
usa,usa,india,japan,,,japan
usa,france,india,usa,USA,brazil,mexico
china,canada,new zealand,china,India,uk,japan
usa,china,usa,switzerland,,japan,switzerland
usa,usa,usa,usa,USA,usa,india
usa,none,uk,usa,India,australia,italy
russia,australia,brazil,japan,USA,china,usa
usa,usa,canada,usa,,switzerland,south korea
russia,france,usa,south africa,,usa,usa
russia,none,south africa,usa,,usa,taiwan
japan,usa,usa,brazil,USA,japan,canada
usa,spain,indonesia,canada,,macau,france
usa,japan,canada,taiwan,USA,india,australia
usa,usa,china,japan,,japan,sweden
usa,taiwan,usa,usa,,taiwan,usa
usa,usa,japan,japan,,usa,sweden
usa,japan,taiwan,austria,India,india,usa
usa,usa,uk,canada,USA,indonesia,usa
usa,usa,taiwan,japan,USA,usa,japan
usa,usa,usa,usa,,japan,usa
usa,usa,usa,india,,sweden,
canada,netherlands,usa,japan,USA,usa,usa
switzerland,hong-kong,india,usa,USA,taiwan,usa
australia,usa,usa,japan,,south africa,canada
usa,usa,japan,uk,,usa,taiwan
usa,switzerland,poland,usa,UK,china,canada
usa,canada,india,japan,,japan,usa
canada,china,usa,spain,USA,canada,japan
usa,denmark,usa,usa,USA,canada,usa
malaysia,united-arab-emirates,usa,usa,,usa,switzerland
usa,japan,usa,japan,,france,usa
usa,india,spain,usa,,india,usa
poland,usa,australia,usa,USA,luxembourg,usa
usa,south-africa,italy,uk,,usa,taiwan
usa,china,canada,usa,,usa,india
canada,japan,usa,usa,,japan,spain
poland,united-arab-emirates,taiwan,philippines,,usa,uk
usa,norway,japan,sweden,,usa,usa
canada,usa,sweden,uk,,usa,usa
china,germany,usa,australia,Portugal,usa,germany
usa,usa,canada,brazil,,s. arabia,usa
south africa,france,usa,japan,,india,sweden
usa,usa,japan,usa,,sweden,usa
usa,china,usa,france,USA,uk,china
poland,turkey,usa,usa,,brazil,brazil
ireland,australia,japan,usa,,japan,australia
usa,usa,usa,austria,,australia,japan
usa,usa,turkey,hong kong,,sweden,usa
usa,china,japan,italy,USA,usa,brazil
usa,sweden,usa,usa,India,australia,usa
israel,thailand,usa,uk,,india,usa
israel,usa,usa,japan,,india,usa
canada,saudi-arabia,usa,usa,USA,usa,usa
australia,china,india,india,USA,taiwan,usa
usa,taiwan,usa,usa,Israel,usa,usa
canada,germany,canada,hong kong,,brazil,
usa,usa,usa,usa,,usa,canada
usa,singapore,czech republic,usa,,hong kong,usa
sweden,india,canada,usa,,uk,japan
usa,netherlands,brazil,usa,,usa,switzerland
usa,japan,usa,usa,,usa,india
usa,usa,usa,sweden,,usa,usa
usa,japan,germany,india,USA,usa,brazil
,japan,usa,usa,,spain,brazil
usa,usa,usa,thailand,India,usa,
usa,denmark,netherlands,sweden,USA,usa,netherlands
usa,hong-kong,japan,usa,USA,,canada
usa,chile,hong kong,australia,,usa,australia
usa,usa,brazil,uk,,usa,japan
,usa,switzerland,india,,usa,uk
usa,united-kingdom,usa,singapore,USA,usa,usa
canada,usa,usa,spain,USA,usa,usa
usa,usa,canada,usa,,brazil,india
usa,united-kingdom,india,canada,,brazil,usa
canada,japan,india,canada,,ilippines,usa
usa,usa,sweden,usa,,taiwan,
usa,united-kingdom,usa,canada,,uk,usa
usa,united-kingdom,austria,usa,,singapore,usa
usa,usa,thailand,japan,,usa,denmark
uk,singapore,indonesia,usa,USA,usa,canada
sweden,japan,singapore,usa,USA,uk,usa
usa,canada,japan,india,,india,turkey
hong kong,usa,india,usa,,usa,uk
usa,usa,usa,usa,,norway,usa
usa,usa,australia,hungary,,france,hong kong
usa,south-africa,japan,usa,India,switzerland,japan
poland,canada,usa,uk,,usa,canada
poland,usa,s. korea,canada,USA,taiwan,usa
usa,south-korea,spain,sweden,,israel,canada
uk,united-kingdom,usa,brazil,,usa,uk
usa,usa,usa,usa,USA,gentina,turkey
china,australia,australia,s. korea,,usa,australia
usa,japan,sweden,switzerland,,usa,usa
israel,sweden,brazil,usa,,canada,usa
canada,usa,usa,s. arabia,Italy,usa,australia
usa,usa,uk,usa,,brazil,singapore
usa,usa,uk,denmark,Sweden,brazil,singapore
usa,usa,usa,usa,,india,
canada,usa,australia,usa,,india,usa
usa,none,japan,canada,,usa,thailand
sweden,hong-kong,japan,brazil,,usa,usa
usa,taiwan,austria,usa,,usa,australia
singapore,usa,australia,australia,,usa,usa
usa,none,hungary,poland,,usa,netherlands
usa,new-zealand,sweden,usa,Japan,usa,usa
australia,usa,usa,usa,,usa,taiwan
usa,india,philippines,czech republic,India,china,canada
uk,japan,usa,egypt,,austria,usa
usa,turkey,taiwan,sweden,,australia,
usa,south-korea,canada,usa,,usa,spain
usa,japan,australia,taiwan,,taiwan,hong kong
usa,usa,uk,uk,USA,switzerland,usa
usa,japan,hong kong,usa,USA,japan,india
usa,united-kingdom,singapore,taiwan,,usa,usa
canada,taiwan,thailand,chile,USA,usa,italy
usa,india,brazil,taiwan,USA,usa,sweden
usa,turkey,uk,india,,japan,brazil
taiwan,mexico,usa,china,,spain,uk
singapore,mexico,canada,usa,India,brazil,
usa,south-korea,denmark,usa,USA,usa,sweden
india,usa,canada,usa,,thailand,india
usa,united-arab-emirates,usa,usa,USA,sweden,thailand
usa,china,usa,brazil,USA,usa,canada
sweden,israel,usa,india,,australia,uk
israel,france,japan,france,USA,canada,usa
,usa,usa,japan,,usa,usa
usa,none,mexico,usa,India,canada,uk
usa,sweden,canada,australia,USA,australia,australia
usa,usa,usa,canada,,usa,usa
usa,usa,usa,japan,,usa,poland
usa,usa,usa,australia,,usa,japan
australia,sweden,france,usa,,switzerland,usa
usa,switzerland,india,switzerland,,usa,
usa,usa,usa,india,USA,china,usa
israel,italy,australia,usa,,japan,australia
usa,usa,india,sweden,USA,japan,finland
usa,south-korea,china,uk,,usa,usa
usa,usa,usa,australia,,usa,usa
usa,usa,usa,usa,,usa,taiwan
china,netherlands,usa,usa,,singapore,switzerland
china,south-korea,uk,usa,,usa,usa
usa,usa,usa,japan,USA,usa,usa
ireland,japan,italy,philippines,,taiwan,usa
usa,singapore,usa,australia,,mexico,australia
usa,usa,taiwan,usa,China,usa,canada
usa,australia,switzerland,sweden,Canada,brazil,netherlands
usa,germany,canada,india,USA,usa,taiwan
australia,china,usa,usa,USA,ngary,usa
taiwan,taiwan,usa,usa,,usa,india
usa,usa,uk,japan,,canada,taiwan
usa,israel,usa,australia,,usa,canada
,usa,netherlands,china,,usa,india
taiwan,none,australia,usa,USA,canada,uk
usa,india,usa,taiwan,USA,india,india
china,france,taiwan,japan,,sweden,chile
poland,usa,taiwan,usa,,thailand,brazil
israel,canada,india,usa,,usa,uk
usa,none,canada,new zealand,Canada,chile,usa
usa,netherlands,australia,uk,,canada,japan
japan,finland,usa,singapore,USA,usa,japan
denmark,india,usa,netherlands,,switzerland,china
poland,canada,brazil,india,USA,india,usa
usa,canada,usa,usa,,usa,canada
finland,thailand,japan,canada,USA,ech republic,usa
usa,usa,usa,switzerland,USA,singapore,japan
israel,germany,canada,usa,USA,usa,usa
china,singapore,finland,usa,USA,usa,
australia,usa,usa,usa,Canada,usa,usa
usa,thailand,usa,india,Portugal,usa,uk
usa,italy,usa,switzerland,,usa,usa
usa,south-africa,japan,usa,,australia,japan
usa,usa,switzerland,canada,India,usa,usa
usa,usa,usa,usa,,india,china
usa,japan,sweden,canada,India,usa,usa
usa,india,philippines,taiwan,,usa,usa
usa,brazil,austria,usa,,,uk
usa,united-kingdom,uk,usa,,canada,usa
usa,south-africa,china,india,,china,
usa,usa,uk,usa,,usa,finland
usa,usa,france,canada,,india,chile
usa,saudi-arabia,japan,uk,,uk,japan
uk,usa,new zealand,turkey,USA,taiwan,usa
germany,usa,finland,italy,,netherlands,usa
usa,south-africa,norway,usa,,uk,italy
usa,usa,usa,india,,japan,usa
usa,brazil,uk,china,,india,australia
usa,usa,usa,usa,USA,china,usa
israel,sweden,usa,usa,USA,japan,canada
canada,usa,usa,india,,usa,switzerland
taiwan,thailand,usa,s. arabia,,canada,china
usa,usa,canada,usa,USA,usa,sweden
usa,taiwan,s. arabia,usa,,usa,germany
usa,taiwan,turkey,brazil,USA,usa,usa
usa,hong-kong,usa,japan,USA,usa,malaysia
usa,usa,usa,usa,,usa,usa
australia,australia,usa,australia,Denmark,uk,usa
usa,usa,china,malaysia,,turkey,usa
usa,usa,usa,usa,,japan,usa
india,switzerland,brazil,usa,,israel,australia
usa,india,australia,australia,,japan,japan
hong kong,usa,japan,usa,USA,usa,india
usa,usa,india,india,,usa,usa
poland,australia,usa,japan,,new zealand,singapore
usa,sweden,india,turkey,USA,usa,uk
usa,usa,japan,france,,usa,usa
usa,usa,australia,uk,,usa,france
poland,usa,usa,usa,,taiwan,usa
singapore,spain,netherlands,india,India,usa,usa
taiwan,usa,chile,usa,Germany,australia,usa
usa,germany,usa,usa,,taiwan,switzerland
japan,china,usa,usa,,usa,usa
japan,usa,china,canada,,switzerland,new zealand
,canada,japan,brazil,,usa,norway
usa,india,usa,usa,,usa,usa
japan,none,switzerland,germany,,india,india
usa,australia,india,usa,USA,australia,canada
usa,japan,usa,usa,,usa,japan
usa,malaysia,usa,canada,,usa,france
uk,usa,usa,finland,,uk,india
usa,netherlands,canada,usa,,india,usa
china,united-kingdom,france,usa,,australia,usa
usa,india,india,france,,australia,india
germany,usa,usa,italy,USA,india,uk
usa,switzerland,usa,netherlands,,uk,usa
canada,usa,usa,india,,austria,usa
japan,saudi-arabia,usa,uk,,france,france
usa,usa,india,turkey,Canada,japan,usa
usa,india,japan,france,Sweden,germany,switzerland
usa,usa,usa,india,UK,usa,brazil
usa,france,s. arabia,usa,USA,usa,usa
india,usa,usa,usa,,uk,usa
china,taiwan,usa,usa,,uk,india
india,belgium,usa,finland,,usa,usa
usa,usa,taiwan,japan,,usa,south korea
usa,usa,usa,usa,USA,italy,taiwan
usa,norway,usa,austria,,usa,saudi arabia
singapore,china,chile,usa,,turkey,usa
usa,usa,malaysia,switzerland,,s. arabia,mexico
usa,hong-kong,india,india,,usa,usa
usa,sweden,switzerland,uk,India,finland,usa
usa,united-kingdom,singapore,usa,,france,switzerland
japan,netherlands,uk,japan,,usa,canada
usa,china,uk,taiwan,India,usa,usa
china,south-korea,uk,brazil,,turkey,usa
usa,usa,usa,usa,,uk,china
china,israel,taiwan,usa,,hong kong,usa
usa,taiwan,usa,japan,,usa,usa
israel,usa,canada,switzerland,,usa,south korea
usa,germany,usa,usa,India,usa,usa
usa,usa,japan,india,,india,usa
usa,netherlands,usa,mexico,USA,usa,japan
taiwan,usa,france,usa,,india,taiwan
portugal,hong-kong,usa,chile,,india,israel
canada,italy,switzerland,usa,India,usa,south africa
usa,usa,india,usa,USA,australia,france
usa,sweden,india,japan,,canada,usa
usa,japan,usa,india,USA,s. arabia,usa
usa,japan,usa,usa,,new zealand,canada
japan,usa,usa,japan,,india,usa
ireland,malaysia,usa,norway,,usa,brazil
usa,indonesia,usa,uk,,usa,india
usa,south-korea,canada,usa,,netherlands,usa
finland,usa,japan,china,,switzerland,india
usa,japan,uk,china,,turkey,usa
usa,usa,india,india,,usa,usa
australia,netherlands,france,india,,uk,japan
usa,none,usa,china,,india,japan
canada,hong-kong,usa,usa,India,canada,usa
usa,india,india,usa,India,usa,india
usa,usa,usa,usa,USA,canada,turkey
usa,japan,usa,australia,USA,usa,usa
portugal,mexico,japan,india,USA,japan,new zealand
usa,usa,india,turkey,,usa,usa
usa,south-korea,new zealand,japan,,canada,uk
usa,china,usa,india,,usa,usa
usa,usa,usa,japan,,japan,india
