00-avengers-categories,01-DDD-categories,04-iGMM-categories
['aerospace'],investment ,
"['oil&gas', 'energy']",railways transportation ,
"['pharmaceuticals', 'biotech']",robotics tech ,
"['banks', 'financial services']",none,
"['pharmaceuticals', 'biotech']",chemicals ,['Sportsgoods']
"['staffing & employment services', 'professional services']",pharmaceuticals ,
"['insurance', 'internet']",defense-contractors ,
"['banks', 'financial services']",none,['Food']
"['biotech', 'flavors & fragrances', 'cosmetics and beauty']",none,['LEDLightingManufacturers']
"['retail', 'footwear']",oil-gas energy ,['Education']
,none,
"['electricity', 'energy']",food ,['Pharmaceuticals']
"['pharmaceuticals', 'biotech']",healthcare medical-care-facilities ,
['medical devices'],none,['Beverages']
['manufacturing'],telecommunication telecommunications-equipment ,['Pharmaceuticals']
"['retail', 'used car retailer', 'car retail']",e-commerce internet tech ,['Cannabis']
"['banks', 'financial services']",none,
"['telecommunications equipment', 'networking hardware']",chemicals ,
"['pharmaceuticals', 'biotech']",banks financial-services ,['MediaPress']
"['video games', 'tech']",insurance ,
,investment ,
"['scientific & technical instruments', 'manufacturing']",none,
"['pharmaceuticals', 'biotech']",conglomerate ,
"['software', 'tech']",retail e-commerce internet tech food ,['Healthcare']
['media/press'],oil-gas energy utility-companies ,['Medicalequipment']
"['asset management', 'investment', 'financial services']",none,[]
['retail'],retail supermarkets ,
['medical devices'],financial-services ,
,home-and-kitchen-appliances ,['Biotech']
"['biotech', 'pharmaceuticals']",telecommunication ,
"['education', 'tech']",none,
"['pharmaceuticals', 'biotech', 'diagnostics and testing']",video-games tech entertainment ,['Pharmaceuticals']
"['maritime transportation', 'transportation', 'oil&gas', 'energy']",airports infrastructure ,
['medical devices'],internet tech e-commerce financial-services ,
['medical devices'],financial-services banks ,
"['pharmaceuticals', 'biotech']",e-commerce internet tech ,['Medicaldevices']
['mining'],oil-gas energy ,['Medicaldevices']
"['video games', 'entertainment']",stock-exchanges financial-services exchanges ,['Medicaldevices']
,oil-gas energy utility-companies infrastructure ,
['medical devices'],none,
"['banks', 'financial services']",tech software ,
['transportation'],telecommunication ,
"['airlines', 'travel', 'transportation']",none,
"['banks', 'financial services']",food ,
"['gold mining', 'silver mining', 'mining']",oil-gas utility-companies energy ,
"['home & kitchen appliances', 'electronics', 'retail']",none,
,none,
"['oil&gas', 'energy', 'infrastructure']",professional-services engineering ,
"['hotels', 'entertainment', 'travel']",none,
['food'],none,['Pharmaceuticals']
"['semiconductors', 'tech', 'tech hardware']",packaging ,['Tech']
['aerospace'],e-commerce tech internet ,
"['biotech', 'pharmaceuticals']",healthcare reit real-estate investment medical-care-facilities ,['Cannabis']
"['banks', 'financial services']",restaurant-chains food ,
"['chemicals', 'renewable energy', 'energy', 'biofuel']",none,
"['pharmaceuticals', 'biotech']",none,['Pharmaceuticals']
['healthcare'],none,['Glassesandcontactlenses']
['fertilizer companies'],oil-gas energy ,
"['3d printing', 'tech']",financial-services internet tech ,['Cannabis']
,none,
"['pharmaceuticals', 'biotech']",none,
['mining'],footwear manufacturing ,
"['banks', 'financial services']",none,['Beverages']
"['mining', 'gold mining']",automakers electric-vehicles manufacturing autonomous-driving ,
"['software', 'tech']",none,['Medicaldevices']
"['software', 'tech']",insurance ,
"['pharmaceuticals', 'biotech']",flavors-and-fragrances cosmetics luxury-goods consumer-goods ,
"['software', 'tech']",none,
"['pharmaceuticals', 'biotech']",food ,['Cannabis']
"['pharmaceuticals', 'biotech']",gambling entertainment ,
"['pharmaceuticals', 'biotech']",banks financial-services ,
"['reits', 'real estate', 'investment']",motorcycle-manufacturers manufacturing ,
"['footwear', 'clothing']",electricity utility-companies energy ,
"['video games', 'entertainment', 'media/press']",engineering construction ,
"['video games', 'entertainment', 'tech']",real-estate ,
"['banks', 'financial services']",healthcare ,
"['electricity', 'renewable energy', 'energy']",retail supermarkets ,
['footwear'],mining gold-mining silver-mining ,['Biotech']
,none,
"['banks', 'financial services']",hotels travel ,['Cannabis']
"['mining', 'batteries']",real-estate ,['Medicaldevices']
"['bitcoin', 'tech', 'bitcoin mining']",banks financial-services ,
"['software', 'tech', 'internet']",pharmaceuticals biotech ,
"['pharmaceuticals', 'biotech']",clothing ,[]
['clothing'],banks financial-services ,['Insurance']
"['pharmaceuticals', 'biotech']",none,
"['software', 'tech', 'financial services']",none,
"['real estate', 'financial services']",energy ,['Medicaldevices']
"['engineering', 'professional services']",telecommunication ,['DiagnosticsandTesting']
['advertising'],medical-devices ,
"['video games', 'entertainment', 'tech']",airports infrastructure ,
"['supermarket chains', 'retail']",oil-gas oil-gas-equipment-services ,
,telecommunication ,
['insurance'],food ,
['medical devices'],none,
['electronics'],tech ,['Medicaldevices']
['entertainment'],pulp-and-paper manufacturing ,['Food']
,e-commerce tech internet retail ,
"['video games', 'entertainment', 'tech']",food ,['Beverages']
,food ,
"['biotech', 'medical devices']",car-rental ,
['media/press'],software tech it-security ,
"['restaurant chains', 'food']",banks financial-services ,
"['video games', 'entertainment']",retail supermarkets ,
"['automakers', 'electric vehicles']",none,
"['healthcare', 'software', 'tech']",railways transportation ,
"['pharmaceuticals', 'biotech']",none,
"['video games', 'entertainment']",none,
['biotech'],oil-gas energy ,
"['uranium', 'energy', 'mining']",electronics ,
"['financial services', 'software', 'tech']",manufacturing ,[]
['media/press'],tech tech-hardware ,
"['pharmaceuticals', 'biotech']",none,['Tech']
"['automakers', 'electric vehicles']",none,['Pharmaceuticals']
,none,
['medical equipment'],none,
['pharmaceuticals'],electronics ,
"['gambling', 'entertainment']",transportation container-shipping maritime-transportation ,
"['bitcoin', 'tech', 'bitcoin mining']",fertilizer ,[]
"['software', 'tech']",none,
"['electricity', 'energy']",financial-services ,[]
['consumer goods'],food ,
"['pharmaceuticals', 'biotech']",automakers ,['Pharmaceuticals']
"['biotech', 'pharmaceuticals']",airlines travel transportation ,
"['clothing', 'retail']",supermarkets retail ,
,financial-services stock-exchanges exchanges ,
['transportation'],asset-management investment ,['Pharmaceuticals']
['pharmaceuticals'],electronics aerospace defense-contractors ,['Pharmaceuticals']
['biotech'],home-and-kitchen-appliances ,
"['rental & leasing services', 'real estate', 'travel']",none,['Insurance']
"['video games', 'entertainment']",none,
['furniture'],none,
['pharmaceuticals'],financial-services ,
['financial services'],transportation ,
['financial services'],pharmaceuticals biotech ,
"['mining', 'gold mining', 'silver mining']",food ,
['food'],healthcare medical-devices ,['Construction']
,chemicals ,
"['video games', 'entertainment', 'tech']",tech tech-hardware electronics ,
"['retail', 'clothing']",energy oil-gas ,
"['real estate', 'internet', 'tech']",pharmaceuticals biotech ,
"['construction', 'engineering']",banks financial-services ,
['financial services'],auto-parts automotive-suppliers manufacturing ,
['courier'],none,
['electronics'],banks financial-services ,
"['pharmaceuticals', 'biotech']",packaging ,
['semiconductors'],mining gold-mining ,
"['mining', 'silver mining', 'gold mining']",mining manufacturing machinery-manufacturing ,['Biotech']
,food ,
['advertising'],building-materials ,
"['medical devices', 'medical equipment']",packaging ,
"['software', 'tech', 'it services', 'professional services']",none,['Pharmaceuticals']
['financial services'],beverages alcoholic-beverages ,
,electronics tech ,
"['renewable energy', 'energy', 'electricity']",none,
,insurance ,
['toys'],none,
"['banks', 'financial services']",manufacturing automakers ,['SecurityProtectionServices']
['healthcare'],none,
,pharmaceuticals biotech ,['Tech']
"['pulp and paper', 'packaging']",telecommunication ,['MedicalCareFacilities']
"['clothing', 'retail']",mining gold-mining ,
"['pharmaceuticals', 'biotech']",insurance ,[]
"['cannabis', 'tech', 'internet']",software tech ,[]
,pulp-and-paper ,['Steelindustry']
,real-estate investment ,['Biotech']
"['financial services', 'software', 'tech']",software tech ,
['food'],transportation delivery-services ,
"['pharmaceuticals', 'biotech']",electronics ,
"['media/press', 'telecommunication']",real-estate investment ,['Telecommunication']
,none,['Telecommunicationsequipment']
"['cannabis', 'biotech', 'pharmaceuticals']",none,
,none,
"['networking hardware', 'tech', 'tech hardware']",medical-devices ,
"['media/press', 'entertainment']",none,['Pharmaceuticals']
['real estate'],pharmaceuticals biotech ,
"['iot', 'tech', 'software']",beverages ,
['home & kitchen appliances'],energy oil-gas ,['Football']
"['banks', 'financial services']",banks financial-services ,['Retail']
"['oil&gas', 'energy']",transportation ,
,used-car-retailer car-retail ,
"['video games', 'entertainment']",airlines travel transportation ,
['automotive suppliers'],food ,['Pharmaceuticals']
"['railways', 'transportation']",none,[]
"['advertising', 'tech', 'software']",semiconductors tech ,
"['semiconductors', 'tech', 'tech hardware']",energy electricity infrastructure ,
['aerospace'],telecommunication ,
['clothing'],none,
"['software', 'tech', 'healthcare']",banks financial-services ,
"['engineering', 'professional services']",financial-services ,
['medical devices'],e-commerce internet clothing tech retail dax ,
"['banks', 'financial services']",biotech ,
"['glasses and contact lenses', 'internet', 'e-commerce', 'tech']",oil-gas energy ,['Financialservices']
"['ports', 'infrastructure']",internet tech ,['Medicaldevices']
"['real estate', 'investment', 'reits']",semiconductors tech ,
,automakers ,
"['pharmaceuticals', 'biotech']",internet tech ,
"['automakers', 'electric vehicles']",alcoholic-beverages beverages ,['Furniture']
"['pharmaceuticals', 'biotech']",aluminum ,['Education']
"['financial services', 'banks']",biotech diagnostics ,
"['software', 'tech']",construction cac-40 conglomerate ,['Pharmaceuticals']
"['pharmaceuticals', 'biotech']",food beverages alcoholic-beverages ,
"['chemicals', 'fertilizer companies']",aerospace defense-contractors aircraft-manufacturers ,
"['banks', 'financial services']",pulp-and-paper ,
,pizza food restaurant-chains ,['Pharmaceuticals']
['financial services'],chemicals ,['Entertainment']
,real-estate ,
"['batteries', 'electricity']",reit real-estate investment ,
"['silver mining', 'gold mining', 'mining']",hotels travel ,
"['e-commerce', 'internet', 'tech']",it-services professional-services ,
['pharmaceuticals'],banks financial-services ,['Pharmaceuticals']
"['video games', 'entertainment']",none,
"['mining', 'gold mining', 'silver mining']",cement building-materials dax ,
"['tech', 'tech hardware', 'lidar', 'autonomous driving']",none,['Beverages']
"['entertainment', 'real estate']",mining gold-mining ,['Medicaldevices']
['professional services'],financial-services ,
,construction ,
"['car retail', 'retail']",electronics ,
"['mining', 'silver mining', 'gold mining']",software tech ,
"['food', 'agriculture']",banks financial-services insurance ,
"['telecommunication', 'tech']",none,
"['cement', 'building materials']",none,
"['batteries', 'electricity']",real-estate hotels investment travel ,
"['diagnostics and testing', 'biotech']",medical-equipment ,['Mining']
"['pharmaceuticals', 'biotech']",financial-services cac-40 ,['Tech']
"['pharmaceuticals', 'biotech']",none,['Pharmaceuticals']
['tech'],cement building-materials ,['Medicaldevices']
"['banks', 'financial services']",utility-companies ,
"['healthcare', 'medical care facilities']",airlines travel transportation ,
"['pharmaceuticals', 'biotech']",none,
"['video games', 'entertainment']",oil-gas energy ,
['medical devices'],steel-producers steel-industry aluminum ,['Football']
"['pharmaceuticals', 'biotech']",telecommunication ,
"['pharmaceuticals', 'biotech']",software tech ,['Aerospace']
['aerospace'],pharmaceuticals ,[]
"['cannabis', 'retail']",none,
"['video games', 'tech', 'entertainment']",financial-services insurance ,['MediaPress']
"['uranium', 'energy', 'mining']",none,[]
['clothing'],healthcare medical-care-facilities ,
"['pharmaceuticals', 'biotech']",food ,['Education']
"['oil&gas', 'energy']",diagnostics biotech ,
,none,
['retail'],banks financial-services ,['Advertising']
"['software', 'tech', 'biotech']",banks financial-services ,
"['gambling', 'entertainment']",none,['MediaPress']
['diagnostics and testing'],none,
"['pharmaceuticals', 'biotech']",banks financial-services ,['medicalinstrumentssupplies']
['entertainment'],none,
['energy'],telecommunication ,
"['tech', 'robotics']",retail ,
"['video games', 'entertainment']",electricity energy utility-companies ,
"['transportation', 'maritime transportation', 'oil&gas']",pharmaceuticals ,
"['video games', 'entertainment', 'tech']",insurance ,
"['internet', 'tech']",pulp-and-paper ,
"['entertainment', 'esports']",banks financial-services ,
"['pharmaceuticals', 'biotech']",banks financial-services ,
"['video games', 'entertainment']",cement building-materials ,
,chemicals paint-and-coating ,
"['mining', 'gold mining']",media-press entertainment ,
"['advertising', 'video games', 'entertainment']",none,
"['pharmaceuticals', 'biotech']",software tech ,['CosmeticsandBeauty']
['pharmaceuticals'],banks financial-services ,[]
"['e-commerce', 'tech', 'software', 'financial services']",supermarkets retail ,[]
['beverages'],chemicals ,
"['clothing', 'manufacturing']",professional-services ,
"['manufacturing', 'renewable energy', 'energy']",automakers manufacturing ,
"['pharmaceuticals', 'biotech']",banks financial-services ,['Biotech']
['biotech'],none,['Pharmaceuticals']
,banks financial-services ,
"['pharmaceuticals', 'biotech']",tool-manufacturers manufacturing ,
"['it security', 'tech', 'software']",insurance rental-and-leasing-services ,
"['video games', 'entertainment']",none,
['advertising'],electronics ,
"['video games', 'entertainment']",telecommunication ,
"['pharmaceuticals', 'biotech']",software tech ,['Financialservices']
"['software', 'tech', 'automotive suppliers']",airlines travel transportation ,
"['food', 'food delivery', 'internet']",investment financial-services ,['Financialservices']
,none,
"['esports', 'entertainment']",electricity energy ,
['furniture'],financial-services tech ,
"['video games', 'tech']",real-estate investment ,
"['pharmaceuticals', 'biotech']",insurance ,
"['video games', 'entertainment', 'tech']",software it-security tech ,
['medical devices'],stock-exchanges financial-services exchanges ,
"['pharmaceuticals', 'biotech']",real-estate reit investment ,['MediaPress']
['tech'],none,
"['biotech', 'pharmaceuticals']",software tech video-games ,
"['pharmaceuticals', 'biotech']",dax aerospace ,['Mining']
['pharmaceuticals'],banks financial-services ,
"['tech', 'ridesharing', 'transportation']",tool-manufacturers manufacturing ,
"['video games', 'entertainment']",retail car-rental ,
"['electricity', 'energy']",none,['Mining']
"['automakers', 'electric vehicles', 'specialty vehicles']",none,[]
['cannabis'],banks financial-services ,['Advertising']
"['video games', 'entertainment']",energy electricity ,['Mining']
['financial services'],asset-management investment ,['Medicaldevices']
"['diagnostics and testing', 'biotech']",pulp-and-paper ,
['insurance'],electronics tech tech-hardware ,
"['pharmaceuticals', 'biotech']",financial-services ,
"['pharmaceuticals', 'biotech']",software tech ,
"['agriculture', 'food']",reit real-estate investment ,
,healthcare ,
['tech'],oil-gas energy ,
"['video games', 'entertainment']",insurance ,
"['beverages', 'alcoholic beverages']",insurance ,
"['batteries', 'electricity']",asset-management financial-services insurance investment ,['Insurance']
['pharmaceuticals'],retail ,['Food']
"['pharmaceuticals', 'biotech']",retail ,['Medicaldevices']
['pharmaceuticals'],delivery-services ,
"['software', 'tech', 'healthcare']",none,['Healthcare']
['food'],manufacturing ,
['sports goods'],none,
"['entertainment', 'media/press', 'tech', 'internet']",none,['Batteries']
"['pharmaceuticals', 'biotech']",none,
['biotech'],beverages alcoholic-beverages ,
"['pharmaceuticals', 'biotech']",utility-companies electricity energy ,[]
"['beverages', 'alcoholic beverages']",media-press entertainment ,['Education']
['pharmaceuticals'],gambling real-estate reit investment ,
"['e-commerce', 'professional services']",healthcare ,['Pharmaceuticals']
"['diagnostics and testing', 'biotech']",none,
"['software', 'tech']",advertising ,
['medical equipment'],aircraft-manufacturers defense-contractors manufacturing ,['Telecommunicationsequipment']
"['video games', 'toys']",asset-management financial-services ,[]
"['biotech', 'pharmaceuticals']",energy electricity ,
"['pharmaceuticals', 'biotech']",software tech ,['Pharmaceuticals']
"['internet', 'e-commerce', 'tech']",banks financial-services ,['MediaPress']
,mining gold-mining ,[]
"['pharmaceuticals', 'biotech']",tech internet software it-security ,
['telecommunication'],retail cac-40 supermarkets ,
,cac-40 diagnostics ,
,none,['MediaPress']
['insurance'],energy renewable-energy electricity ,
"['pharmaceuticals', 'biotech']",video-games entertainment tech ,['Chemicals']
"['software', 'tech']",pharmaceuticals biotech ,
,chemicals ,
"['pharmaceuticals', 'biotech']",manufacturing ,
,none,['MediaPress']
['pharmaceuticals'],food ,['Energy']
"['retail', 'supermarket chains']",software tech ,[]
['consumer goods'],none,
"['lidar', 'tech', 'tech hardware']",travel cruise-lines ,
"['video games', 'entertainment']",banks financial-services ,[]
"['biotech', 'diagnostics and testing']",infrastructure ,[]
"['robotics', 'tech', 'it security']",utility-companies electricity energy ,
"['video games', 'entertainment']",software tech ,
['pharmaceuticals'],banks financial-services ,['Chemicals']
"['beverages', 'alcoholic beverages', 'retail', 'e-commerce', 'tech', 'internet']",telecommunication ,
"['video games', 'entertainment']",entertainment ,[]
['medical devices'],none,['Pharmaceuticals']
['gloves & ppe'],oil-gas energy ,
"['video games', 'entertainment']",banks financial-services ,
"['pharmaceuticals', 'biotech']",oil-gas energy ,
"['video games', 'entertainment']",software tech ,['Electronics']
['healthcare'],telecommunication ,
"['video games', 'entertainment']",hotels travel ,
"['video games', 'tech']",pharmaceuticals ,
"['video games', 'entertainment']",investment ,
['education'],telecommunication ,
"['consumer goods', 'electronics']",real-estate investment ,
"['financial services', 'tech']",tires dax ,['Football']
['pharmaceuticals'],conglomerate ,
"['investment', 'financial services']",food ,
"['video games', 'entertainment']",it-security tech software ,
"['software', 'tech']",railways construction ,['Financialservices']
"['video games', 'entertainment']",chemicals ,
"['pharmaceuticals', 'biotech']",mining ,
['medical devices'],financial-services ,
"['software', 'tech']",chemicals ,
"['biotech', 'pharmaceuticals']",none,['Medicaldevices']
"['pharmaceuticals', 'biotech']",automakers manufacturing ,['Entertainment']
,healthcare medical-care-facilities ,
"['pharmaceuticals', 'biotech']",real-estate investment ,
"['energy', 'oil&gas', 'oil & gas equipment & services']",none,['Tobacco']
"['video games', 'entertainment']",automakers manufacturing ,['Manufacturing']
['biotech'],financial-services banks ,['Pharmaceuticals']
['media/press'],internet food-delivery food tech ,
"['pharmaceuticals', 'biotech']",exchanges tech internet financial-services bitcoin ,
"['automakers', 'electric vehicles']",food food-delivery internet tech ridesharing ,
"['video games', 'entertainment']",mining ,
"['financial services', 'software', 'tech']",none,
['cannabis'],oil-gas energy ,
['medical devices'],oil-gas energy ,
['beverages'],professional-services ,['Pharmaceuticals']
"['gambling', 'entertainment', 'esports']",insurance ,
['telecommunication'],software tech ,['Pharmaceuticals']
,insurance ,[]
['led lighting manufacturers'],food ,['Tech']
['cannabis'],utility-companies electricity energy ,
"['video games', 'entertainment']",software tech ,
"['biotech', 'pharmaceuticals']",software tech ,
['diagnostics and testing'],insurance financial-services ,['Medicaldevices']
['cannabis'],real-estate investment ,[]
"['pharmaceuticals', 'tech']",utility-companies oil-gas energy ,
"['software', 'tech']",asset-management investment financial-services ,
"['medical care facilities', 'healthcare']",electricity utility-companies energy ,
"['e-commerce', 'internet', 'tech', 'clothing']",financial-services ,
"['pharmaceuticals', 'biotech']",education ,
['medical devices'],none,
"['pharmaceuticals', 'biotech']",beverages ,
['cannabis'],investment ,['Pharmaceuticals']
"['video games', 'entertainment']",oil-gas energy ,['Electronics']
"['pharmaceuticals', 'biotech']",oil-gas energy ,
"['video games', 'entertainment']",none,
"['diagnostics and testing', 'biotech']",healthcare ,
"['pharmaceuticals', 'biotech']",home-and-kitchen-appliances manufacturing ,
['medical devices'],mining gold-mining ,['Telecommunication']
"['video games', 'entertainment']",real-estate investment reit ,
"['video games', 'entertainment']",staffing-employment professional-services ,['Pharmaceuticals']
"['financial services', 'tech']",maritime-transportation container-shipping transportation ,
"['renewable energy', 'electricity', 'energy']",utility-companies ,
"['pharmaceuticals', 'biotech']",tech software ,['Medicaldevices']
"['video games', 'entertainment']",insurance ,
"['staffing & employment services', 'professional services']",software tech ,
['tech'],manufacturing ,
['medical care facilities'],none,['Football']
['beverages'],none,
['biotech'],banks ,['Clothing']
"['networking hardware', 'telecommunications equipment']",infrastructure oil-gas transportation energy ,
"['mining', 'gold mining', 'silver mining']",reit real-estate investment ,
"['bitcoin', 'tech']",banks financial-services ,
"['video games', 'entertainment']",real-estate ,
['medical devices'],cement building-materials ,
"['robotics', 'tech']",none,
"['software', 'tech']",insurance ,
['pharmaceuticals'],none,['AssetManagement']
"['uranium', 'energy', 'mining']",retail home-and-kitchen-appliances furniture ,
['medical devices'],consumer-goods ,['Retail']
['biotech'],advertising ,
"['investment', 'internet', 'tech']",banks ,
"['diagnostics and testing', 'biotech']",none,
['medical devices'],insurance ,
"['pharmaceuticals', 'biotech']",none,['Clothing']
['glasses and contact lenses'],scientific-and-technical-instruments medical-equipment ,['Furniture']
['medical devices'],professional-services ,
"['mining', 'gold mining']",tech ,['Construction']
"['biotech', 'pharmaceuticals']",insurance ,[]
"['pharmaceuticals', 'biotech']",oil-gas energy ,
"['video games', 'entertainment']",mining gold-mining silver-mining ,
"['video games', 'entertainment']",alcoholic-beverages beverages ,[]
"['pharmaceuticals', 'biotech']",tobacco ,['Medicaldevices']
"['tech', 'telecommunication']",none,
"['pharmaceuticals', 'biotech']",ports infrastructure ,['Insurance']
"['pharmaceuticals', 'biotech']",none,['Medicaldevices']
"['video games', 'entertainment']",real-estate ,
"['e-commerce', 'internet', 'retail']",real-estate cac-40 ,['DiagnosticsandTesting']
"['transportation', 'oil&gas', 'maritime transportation']",healthcare ,
['pharmaceuticals'],software tech ,['Financialservices']
,real-estate investment reit ,['Cannabis']
"['pharmaceuticals', 'biotech']",none,
"['pharmaceuticals', 'biotech']",banks financial-services ,
['advertising'],energy electricity ,
"['uranium', 'energy', 'mining']",none,
['biotech'],beverages ,
"['pharmaceuticals', 'biotech']",building-materials ,['Pharmaceuticals']
['medical devices'],banks financial-services ,
"['pharmaceuticals', 'biotech']",pharmaceuticals biotech ,['Tech']
"['mining', 'gold mining']",electronics ,
['pharmaceuticals'],none,
"['software', 'tech']",defense-contractors ,
['food'],financial-services stock-exchanges exchanges ,
"['video games', 'entertainment']",consumer-goods ,
"['pharmaceuticals', 'biotech']",none,['Aerospace']
"['pharmaceuticals', 'biotech']",airlines travel transportation ,
"['biotech', 'diagnostics and testing']",real-estate investment reit ,
"['biotech', 'pharmaceuticals']",none,['Internet']
['medical devices'],energy electricity utility-companies ,[]
['security & protection services'],dax chemicals ,[]
"['telehealth', 'software', 'tech', 'medical devices']",banks financial-services ,['Clothing']
"['video games', 'entertainment']",telecommunication ,
,real-estate investment reit ,
"['real estate', 'investment', 'reits']",banks financial-services ,
"['oil&gas', 'maritime transportation', 'transportation']",none,
"['video games', 'entertainment']",oil-gas energy ,[]
,financial-services ,[]
"['e-commerce', 'retail', 'internet', 'tech', 'food']",none,
"['video games', 'entertainment']",none,
['pharmaceuticals'],software tech ,
['beverages'],uranium energy mining ,['Medicaldevices']
"['software', 'tech']",tech internet ,
"['video games', 'entertainment']",telecommunication ,[]
"['video games', 'entertainment']",pharmaceuticals biotech ,
"['video games', 'entertainment']",mining uranium energy ,['DiagnosticsandTesting']
"['financial services', 'internet', 'tech', 'bitcoin']",mining ,
"['video games', 'entertainment']",banks financial-services ,['Healthcare']
"['pharmaceuticals', 'biotech']",healthcare ,['Clothing']
"['pharmaceuticals', 'biotech']",specialty-vehicles ,['Food']
"['video games', 'entertainment']",none,[]
"['uranium', 'energy', 'mining']",none,['Cannabis']
"['car rental', 'rental & leasing services']",banks financial-services ,['Football']
,none,
"['electronics', 'tech', 'tech hardware']",mining gold-mining ,
"['pharmaceuticals', 'biotech']",software tech ,['MediaPress']
"['pharmaceuticals', 'biotech']",software tech ,
"['real estate', 'investment', 'reits']",semiconductors tech ,['Pulpandpaper']
"['used car retailer', 'car retail']",pharmaceuticals biotech ,
['insurance'],car-rental rental-and-leasing-services ,
['aerospace'],none,
['pharmaceuticals'],mining ,
"['pharmaceuticals', 'biotech']",paint-and-coating building-materials ,
['pharmaceuticals'],none,
"['esports', 'video games', 'tech']",banks financial-services ,
"['financial services', 'tech', 'internet']",utility-companies electricity energy ,[]
"['ev charging', 'electricity', 'energy']",media-press ,
"['advertising', 'software', 'tech', 'internet']",oil-gas energy chemicals ,
"['diagnostics and testing', 'biotech']",hotels gambling entertainment travel ,
"['diagnostics and testing', 'biotech']",steel-producers steel-industry ,
"['pharmaceuticals', 'biotech']",insurance ,[]
"['pharmaceuticals', 'biotech']",investment ,['Clothing']
"['mining', 'gold mining']",retail ,
"['video games', 'entertainment']",banks financial-services ,
['aerospace'],footwear retail ,['Beverages']
"['food', 'food delivery', 'internet', 'tech']",automakers ,
"['software', 'tech']",financial-services banks ,['AutomotiveSuppliers']
['construction'],transportation container-shipping maritime-transportation ,[]
"['tech', 'internet']",financial-services ,
"['diagnostics and testing', 'biotech']",internet ,['Football']
"['software', 'tech', 'healthcare']",internet financial-services ,
['aerospace'],real-estate investment ,
['financial services'],food ,
"['banks', 'financial services']",banks financial-services ,
['pharmaceuticals'],medical-devices ,['Pharmaceuticals']
['biotech'],real-estate ,
"['video games', 'entertainment']",transportation ,
['telecommunications equipment'],investment ,['MediaPress']
"['bitcoin', 'tech', 'bitcoin mining']",transportation ,
"['pharmaceuticals', 'biotech', 'biotech']",airlines travel transportation ,
"['video games', 'entertainment']",hotels travel ,
"['financial services', 'tech']",construction ,[]
"['video games', 'entertainment']",financial-services insurance ,['Pharmaceuticals']
"['pharmaceuticals', 'biotech']",chemicals dax ,
"['video games', 'entertainment', 'tech']",pharmaceuticals ,
"['video games', 'entertainment']",financial-services insurance ,
"['pharmaceuticals', 'biotech']",food dairy ,
"['pharmaceuticals', 'biotech']",real-estate ,
"['video games', 'entertainment']",financial-services banks ,
"['pharmaceuticals', 'biotech']",mining ,['Food']
['tobacco'],real-estate ,
"['pharmaceuticals', 'biotech']",banks financial-services ,
"['semiconductors', 'tech', 'tech hardware']",pharmaceuticals ,
"['electronics', 'manufacturing']",dax biotech ,
"['e-commerce', 'tech']",none,
"['pharmaceuticals', 'biotech']",banks financial-services ,
"['tech', 'internet', 'online dating']",software internet tech it-security ,[]
['healthcare'],pharmaceuticals biotech ,
"['beverages', 'retail']",none,
"['video games', 'entertainment', 'advertising']",banks financial-services ,
"['software', 'tech']",software tech ,['Cannabis']
"['software', 'tech']",conglomerate ,['Pulpandpaper']
['education'],none,['Professionalservices']
"['pharmaceuticals', 'biotech']",automakers cac-40 manufacturing ,['Transportation']
['retail'],insurance ,
"['electricity', 'manufacturing']",financial-services banks ,
['education'],none,
['medical-instruments & supplies'],food ,
"['bitcoin', 'tech', 'bitcoin mining']",none,['Pharmaceuticals']
"['software', 'internet', 'tech']",chemicals ,
['financial services'],airlines travel transportation ,
['pharmaceuticals'],none,
['entertainment'],investment ,
"['pharmaceuticals', 'biotech']",automakers electric-vehicles ,[]
,software tech ,
"['video games', 'entertainment']",professional-services ,
"['pharmaceuticals', 'biotech']",aluminum ,['AutomotiveSuppliers']
['steel industry'],financial-services ,
['pharmaceuticals'],none,
"['video games', 'entertainment']",pharmaceuticals biotech ,
['pharmaceuticals'],financial-services ,
['tech'],none,
"['pharmaceuticals', 'biotech']",airlines travel transportation ,['Chemicals']
"['telecommunication', 'telecommunications equipment']",clothing footwear ,
"['electricity', 'manufacturing']",none,['Aerospace']
"['video games', 'entertainment']",pharmaceuticals biotech ,
['football'],electricity utility-companies ,
"['pharmaceuticals', 'biotech']",none,[]
"['3d printing', 'tech']",engineering ,['Pharmaceuticals']
['healthcare'],mining ,
"['biotech', 'pharmaceuticals']",pharmaceuticals biotech ,[]
"['pharmaceuticals', 'biotech']",none,
"['it services', 'video games']",electronics ,
"['pharmaceuticals', 'biotech']",healthcare ,
"['pharmaceuticals', 'biotech']",food consumer-goods ,
"['pharmaceuticals', 'biotech']",chemicals ,
['medical devices'],food-delivery internet food tech ,
['food'],investment ,
"['restaurant chains', 'food', 'pizza']",building-materials ,
"['pharmaceuticals', 'biotech']",pharmaceuticals ,
"['pharmaceuticals', 'biotech']",manufacturing steel-industry ,
"['software', 'tech']",retail luxury-goods ,['Transportation']
,consumer-goods ,[]
"['pharmaceuticals', 'biotech']",airlines travel transportation ,['Tech']
['pharmaceuticals'],manufacturing machinery-manufacturing ,['AutomotiveSuppliers']
['football'],food ,['MediaPress']
"['diagnostics and testing', 'biotech']",none,
