04-iGMM-net_income,04-iGMM-revenue
"doll_2.332 b (fiscal year ended december 31, 2021)","doll_26.314 b (fiscal year ended december 31, 2021)"
doll_4.105 b (fiscal year ended 2020),doll_11.370 b (fiscal year ended 2020)
0,0
0,0
"doll_£ 3,263 m (2021)","doll_£ 6,502 m (2021)"
0,0
doll_€699 m (2019),doll_€3.767 b (2019)
"-doll_487.955 m (fiscal year ended december 31, 2021)",doll_4.117 b (2021)
doll_489 m (2020),doll_2.59 b (2020)
"doll_2.399 b (fiscal year ended january 28, 2022)","doll_34.220 b (fiscal year ended january 28, 2022)"
doll_9.359 b (2021),doll_52.06 b (2021)
"–doll_9.977 b (fiscal year ended december 31, 2020)","doll_69.032 b (fiscal year ended december 31, 2020)"
cadoll_2.444 b (2020),cadoll_7.710 b (2020)
0,0
0,0
0,0
0,0
0,doll_11.618 b (2020)
0,0
0,0
doll_£1.641 b (2021),doll_£14.779 b (2021)
doll_-10.518 b (2020),doll_23.601 b (2020)
0,0
doll_1.931 b (2020),doll_8.856 b (2020)
doll_179 m (2019),doll_2.866 b (2019)
doll_£1.471 b (2021),doll_£7.244 b (2021)
doll_ 1.15 b  (2021),doll_ 5.14 b (2021)
0,0
0,0
0,doll_ 6.65 b (2017)
0,0
0,0
doll_£(21) b (2021),doll_£13.234 b (2021)
adoll_6.16 b (2021),adoll_18.76 b (2019)
doll_−299 m (2020),doll_4.3 b (2021)
doll_1.99 b (2020),doll_16.785 b (2020)
doll_2.714 b (2020),doll_26.033 b (2020)
0,0
doll_cn¥ 21.43 b (2019),doll_cn¥ 59.24 b (2019)
0,0
doll_166.28 m (2021),doll_17.66 b (2021)
0,0
0,0
0,0
0,0
0,0
doll_(€7.708 b) (2020),doll_€44.279 b (2020)
doll_825.0 m (2013),doll_12.2 b(2019)
"doll_1.220 b (fiscal year ended october 31, 2020)","doll_5.794 b (fiscal year ended october 31, 2020)"
doll_1.41 b (2020),doll_17.86 b (2020)
-doll_200 m (2020),doll_6.685 b (2020)
0,0
doll_1.0 b (2017),doll_5.4 b (2020)
doll_-0.496 b (2021),doll_17.455 b (2021)
0,0
₹202.2 b (doll_2.7 b) (2021),₹1.61 t (doll_21 b) (2021)
0,0
0,0
"doll_1.496 b (fiscal year ended december 31, 2020)","doll_15.218 b (fiscal year ended december 31, 2020)"
doll_1.439 b (2019),doll_28.9 b (2021)
0,0
doll_5.704 b (2020),doll_42.658 b (2020)
0,doll_14.1b (2019)
0,doll_3.04 b (2018)
doll_2.03 b (2020),doll_18.36 b (2020)
0,0
0,0
0,0
doll_ 914 m (2019) doll_ 1.187 b (2018),doll_ 14.85 b (2020) doll_ 5.823 b (2018)
0,0
doll_12.822 b (2020),doll_36.032 b (2020)
doll_1.46 b (2016),doll_2.56 b (2016)
"mxdoll_51.027 b (fiscal year ended december 31, 2020)","mxdoll_1.016 t (fiscal year ended december 31, 2020)"
0,0
0,0
doll_ 1.376 b (2019) doll_ 2.549 b (2018),doll_ 16.572 b (2019) doll_ 13.366 b (2018)
0,0
doll_3.438 b (2019),doll_39.350 b (2019)
doll_12.2 b (2021),doll_18.5 b (2021)
doll_11.70 b (2021),doll_41.55 b (2021)
0,0
-doll_0.612 b (2020),doll_11.032 b (2020)
0,0
0,0
doll_0.599 b (fiscal year ended 31 december 2020),doll_14.198 b (fiscal year ended 31 december 2020)
doll_2.013 b (2020),doll_9.789 b (2020)
0,0
"doll_7.005 b (fiscal year ended december 31, 2021)","doll_35.667 b (fiscal year ended december 31, 2021)"
doll_1.22 b (£1 b as of 2017),doll_10 b (£8 b as of 2017)
cdoll_7.75 b (2021),cdoll_27.19 b (2021)
0,0
doll_7.96 b (2021),doll_22.72 b (2021)
0,0
doll_942 m (2020),"doll_5,840 m (2020)"
adoll_ 2.559 b (2020),adoll_ 17.261 b (2020)
doll_3.759 b (2020),doll_51.53 b (2020)
0,0
doll_2.91 b (2021),doll_4.61 b (2021)
doll_5.4 b (2021),doll_174.1 b (2021)
doll_jp¥1.069 t (2013),doll_jp¥4.495 t (2013)
doll_2.69 b (2020),doll_21.44 b (2020)
"doll_2.016 b (fiscal year ended december 31, 2020)","doll_19.84 b (fiscal year ended december 31, 2021)"
doll_2.105 b (2020),doll_4.883 b (2020)
doll_4.349 b (2021),doll_203.751 b (2021)
"doll_12,4 b (2021)",doll_76 b (2021)
doll_2.262 b (q4 2020),doll_6.102 b (q4 2020)
cdoll_9.96 b (2021),cdoll_31.25 b (2021)
doll_ 1.082 b (2020),doll_ 21.72 b (2020)
doll_5.38 b (2020),doll_32.18 b (2020)
usddoll_1.919 b (2019),auddoll_10.61 b (2021)
doll_864 m (2017),"doll_5,307 m (2017)"
0,0
"-cn¥4.467 b (-doll_701.015 m, 2021)","cn¥951.592 b (doll_149.325 b, 2021)"
doll_3.87 b (2019),doll_25.87 b (2019)
0,0
0,0
0,0
cdoll_5.827 b (2019),cdoll_50.069 b(2019)
cadoll_4.216 b (2019),cadoll_14.912 b (2019)
doll_59 m (2020),doll_6.79 b (2020)
0,0
doll_8.49 b (2021),doll_164.19 b (2021)
doll_2.47 b (2020),doll_14.59 b (2020)
doll_-4.584 b (2020),doll_3.378 b (2020)
0,0
"₹19,423 crore (doll_2.5 b) (2021)","₹102,673 crore (doll_13 b) (2021)"
doll_4.368 b (2021),doll_99.6 b (2021)
doll_230 m (2021),doll_5.9 b (2021)
0,0
doll_4.20 b (2021),doll_29.06 b (2021)
0,0
doll_22 b (2021),doll_71.88 b (2021)
doll_gb£5.096 b (2021),doll_gb£34.114 b (2021)
doll_ −4.29 b (2021),doll_ 62.29 b (2021)
0,0
0,0
doll_9.5 b (2020),doll_44.6 b (2020)
0,0
0,0
0,0
doll_1.691 b (2020),doll_8.041 b (2020)
0,0
0,0
doll_5 b (2020),doll_22 b (2021)
doll_€6.621 b (2021),doll_€52.444 b (2021)
doll_4.71 b (2021),doll_57.35 b (2021)
doll_6.1 b (2021),doll_136.9 b (2021)
"doll_3.619 b (fiscal year ended october 25, 2020)","doll_17.202 b (fiscal year ended october 25, 2020)"
doll_1.473 b (2020),doll_4.439 b (2020)
0,0
doll_4.6 b (2017),doll_61.2 b (2017)
0,0
doll_2.99 b (2020),doll_41.74 b (2020)
doll_6.83 b (2020),doll_65.4 b (2020)
0,0
doll_22.575 b (2021),doll_63.495 b (2021)
¥1.191 t(doll_10.77 b) (fy2020),¥8.999 t (doll_81.38 b) (fy2020)
adoll_9.63 b (2020),adoll_30.16 b (2020)
"doll_cn¥36,793 m (2017)",doll_297 b   (2020)
cdoll_14.30 b (fy2021),cdoll_42.69 b (fy2021)
doll_€2.445 b (2021),doll_€8.982 b (2021)
doll_8.06 b (2021),doll_43.66 b (2021)
doll_−3.47 b (2020),doll_56.58 b (2020)
doll_ 4.02 b(fy 28 april 2017),(fy 28 april 2017)doll_30.8 b
"doll_8.056 b (fiscal year ended december 31, 2020)","doll_76.047 b (fiscal year ended december 31, 2020)"
doll_3.043   b (2020),doll_11.691 b (2020)
0,0
doll_5.116 b (2021),doll_29.7 b (2021)
doll_11 b (2020),doll_48.2 b (2020)
doll_3.468 b (2019),doll_68.397 b (2020)
0,0
doll_ 3.39 b (2019)doll_ 5.78 b (2018),doll_ 19.20 b (2019)doll_ 16.73 b (2018)
doll_3.322 b (2020),doll_27.243 b (2020)
0,0
doll_8.995 b (2020),doll_42.518 b (2020)
doll_5.595 b (fiscal year ended 31 december 2020),doll_18.344 b (fiscal year ended 31 december 2021)
doll_9.04 b (2021),doll_33.57 b (2021)
doll_20.08 b (2021),doll_168.86 b (2021)
doll_5.3 b (2020),doll_19.5 b (2020)
0,0
0,0
doll_6.025 b (2019),doll_21.076 b (2019)
0,0
"doll_1.343 b (fiscal year ended december 31, 2020)","doll_84.628 b (fiscal year ended december 31, 2020)"
doll_4.07 b (2021),doll_21.25 b (2021)
"doll_4.822 b (fiscal year ended december 3, 2021)","doll_15.785 b (fiscal year ended december 3, 2021)"
doll_21.548 b (2021),doll_78.492 b (2021)
doll_19.87 b (2021),doll_79.02 b (2021)
doll_0.115 b (2021),doll_37.417 b (2021)
doll_8.07 b (2020),doll_49.89 b (2020)
0,0
doll_4.002 b (2020),doll_166.76 b (2020)
doll_2.96 b (2020),doll_23.89 b (2020)
doll_8.318 b (2019),doll_22.319 b (2019)
doll_8.92 b (2019),doll_37.27 b (2019)
doll_€3.554 b (2020),doll_€13.98 b (2020)
"cn¥143.284 b (doll_21.869 b, 2021)","cn¥717.289 b (doll_109.480 b, 2021)"
doll_11.542 b (2021),doll_56.197 b (2021)
doll_12.31 b (2021),doll_24.11 b (2021)
doll_17.285 b (2021),doll_285.273 b (2021)
ntdoll_517.89 b (doll_18.53 b) (2020),ntdoll_1.33 t (doll_47.95 b) (2020)
"doll_39.370 b (fiscal year ended december 31, 2021)","doll_117.929 b (fiscal year ended december 31, 2021)"
doll_4.3 b (2021),doll_16.68 b (2021)
doll_89.8 b (2021),doll_276.09 b (2021)
doll_5.52 b (2021),doll_53.8 b (2021)
doll_33.364 b (2021),doll_469.822 b (2021)
doll_76 b (2021),doll_257.6 b (2021)
0,0
doll_60.6 b (2021),doll_161 b (2021)
