"Name","Industry","Headquarter","Ownership","Foundation Year"
"Wallace Pharmaceuticals","Pharma","Panaji/Panjim, Goa, India","Private","1968 (55 yrs old)"
"PhyCARE Solutions","Healthcare","Bronx, New York, United States (USA)","Private","2000 (23 yrs old)"
"INDIAN PUBLIC SCHOOL","Education & Training","Salem, Tamil Nadu, India","Private","2004 (19 yrs old)"
"eBIZ.com","EdTech","Noida, Uttar Pradesh, India","Private","2001 (22 yrs old)"
"Hashedin By Deloitte","IT Services & Consulting","Santa Clara, California, United States (USA)","Private","2010 (13 yrs old)"
"Oriflame","Beauty & Personal Care","Stockholm, Schaffhausen, Sweden","Private","1967 (56 yrs old)"
"MBD GROUP","Printing & Publishing","New Delhi, India","Private","1956 (67 yrs old)"
"Cochin Shipyard","Ports & Shipping","Ernakulam, Kerala, India","Private","1972 (51 yrs old)"
"CTDI","Telecom","West Chester, Pennsylvania, United States (USA)","Private","1975 (48 yrs old)"
"Oriflame","Beauty & Personal Care","Stockholm, Schaffhausen, Sweden","Private","1967 (56 yrs old)"
"Hashedin By Deloitte","IT Services & Consulting","Santa Clara, California, United States (USA)","Private","2010 (13 yrs old)"
"eBIZ.com","EdTech","Noida, Uttar Pradesh, India","Private","2001 (22 yrs old)"
"Par Formulations","Healthcare","New York, United States (USA)","Private","2012 (11 yrs old)"
"Berkadia","Financial Services","New York, New York, USA","Private","2009 (14 yrs old)"
"Flipkart Health+","Internet","Kolkata,West Bengal, India","Private","2013 (10 yrs old)"
"ThoughtWorks","IT Services & Consulting","Chicago, Illinois, United States (USA)","Private","1993 (30 yrs old)"
"Gujarat Gas","Oil & Gas","Gandhinagar, Gujarat, India","Public","1980 (43 yrs old)"
"Inventia Healthcare","Pharma","Mumbai, Maharashtra, India","Private","1985 (38 yrs old)"
"Centre For Sight","Healthcare","Delhi, India","Private","1996 (27 yrs old)"
"Gartner India Research and Advisory Services","Analytics & KPO","Stamford, Connecticut, United States (USA)","Private","1952 (71 yrs old)"
"Valvoline Cummins","Auto Components","Gurgaon/Gurugram, Haryana, India","Private","1998 (25 yrs old)"
"Imarque Solutions","IT Services & Consulting","Chennai, Tamil Nadu, India","Private","2004 (19 yrs old)"
"Sequential Technology International","BPO","Windermere,","Private","2016 (7 yrs old)"
"Taraashna Financial Services","Financial Services","Gurgaon, India","Private","2012 (11 yrs old)"
"S Chand Group","Education & Training","New Delhi, India","Public","1939 (84 yrs old)"
"S.c Johnson Products","Beauty & Personal Care","Racine, Wisconsin, United States (USA)","Private","1886 (137 yrs old)"
"Tuaman Engineering","Engineering & Construction","Kolkata, West Bengal, India","Private","2005 (18 yrs old)"
"Publicis","Marketing & Advertising","Paris, France","Private","1926 (97 yrs old)"
"A2Z Group","Engineering & Construction","Gurgaon, India","Private","2002 (21 yrs old)"
"Rajasthan Patrika","Broadcasting","Jaipur, Rajasthan, India","Private","1956 (67 yrs old)"
"Trivium Education Services","Management Consulting","Delhi/NCR, Delhi, India","Private","2010 (13 yrs old)"
"NGA HR","BPO","Hemel Hempstead, Hertfordshire, England","Private","1969 (54 yrs old)"
"HealthKart","Internet","Gurgaon,Haryana, India","Private","2011 (12 yrs old)"
"Manipal Technologies","Printing & Publishing","Manipal, Karnataka, India","Private","1941 (82 yrs old)"
"Tata Metaliks","Iron & Steel","Kolkata, West Bengal, India","Public","1990 (33 yrs old)"
"Ozone Overseas","Architecture & Interior Design","Delhi/NCR, Delhi, India","Private","2000 (23 yrs old)"
"Adama","Agro Chemicals","Tel Aviv, Israel","Private","2009 (14 yrs old)"
"Tata Metaliks","Iron & Steel","Kolkata, West Bengal, India","Public","1990 (33 yrs old)"
"Rajasthan Patrika","Broadcasting","Jaipur, Rajasthan, India","Private","1956 (67 yrs old)"
"RA Chem Pharma","Pharma","Hyderabad/Secunderabad, Telangana, India","Private","1996 (27 yrs old)"
"Ozone Overseas","Architecture & Interior Design","Delhi/NCR, Delhi, India","Private","2000 (23 yrs old)"
"Trivium Education Services","Management Consulting","Delhi/NCR, Delhi, India","Private","2010 (13 yrs old)"
"Zebronics","Consumer Electronics & Appliances","Chennai, Tamil Nadu, India","Private","1997 (26 yrs old)"
"WayCool Foods and Products","FMCG","Chennai, Tamil Nadu, India","Private","2015 (8 yrs old)"
"Bajaj Consumer Care","FMCG","Mumbai, Maharashtra, India","Public","1930 (93 yrs old)"
"Infodrive","Other","New Delhi, Delhi, India","Private","1996 (27 yrs old)"
"Omega Healthcare Solutions","IT Services & Consulting","","",""
"Nippon India Mutual Fund","Financial Services","Mumbai, Maharashtra, India","JV","1995 (28 yrs old)"
"Bada Business","Internet","New Delhi, India","","2019 (4 yrs old)"
"Neilsoft","Engineering & Construction","Pune, India","Private","1993 (30 yrs old)"
"Siemens Healthineers","Healthcare","Erlangen, Germany","","1896 (127 yrs old)"
"Rakuten","IT Services & Consulting","San Mateo,California, United States","Private","1997 (26 yrs old)"
"Polestar Solutions & Services India","IT Services & Consulting","Noida, Uttar Pradesh, India","Private","2012 (11 yrs old)"
"Sundaram Business Services","BPO","Chennai, India","Private","2001 (22 yrs old)"
"Oberoi Realty","Real Estate","Mumbai, Maharashtra, India","Public","1980 (43 yrs old)"
"Calsoft","IT Services & Consulting","San Jose, California, United States (USA)","Private","1998 (25 yrs old)"
"Shyam Indus Power Solutions","Power","Delhi/NCR, Delhi, India","Private","2004 (19 yrs old)"
"CARE Ratings","Financial Services","Mumbai, India","Public","1993 (30 yrs old)"
"Signode","Consumer goods","Glenview, Illinois, United States (USA)","Private","1913 (110 yrs old)"
"Schneider Electric Infrastructure","Electrical Equipment","Rueil-Malmaison, France","Public","1836 (187 yrs old)"
"Vedant Fashions","Fashion & Textile","Kolkata, West Bengal, India","Private","2002 (21 yrs old)"
"Asti Electronics India","Auto Components","Gurgaon/Gurugram, Haryana, India","Private","2004 (19 yrs old)"
"Andromeda Sales And Distribution","Financial Services","Mumbai, Maharashtra, India","Private","1991 (32 yrs old)"
"AXIS MY INDIA","Analytics & KPO","Mumbai, Maharashtra, India","Private","1998 (25 yrs old)"
"Creative Synergies Group","IT Services & Consulting","Okemos (MI), USA","Private","2011 (12 yrs old)"
"Hygienic Research Institute","Beauty & Personal Care","Mumbai, Maharashtra, India","Private","1957 (66 yrs old)"
"Sedemac Mechatronics","Consumer Electronics & Appliances","Mumbai,Maharashtra, India","Private","2007 (16 yrs old)"
"Andromeda Sales And Distribution","Financial Services","Mumbai, Maharashtra, India","Private","1991 (32 yrs old)"
"Delphi Automotive Systems","Auto Components","Dublin, Ireland{Republic}","Public","1994 (29 yrs old)"
"Hygienic Research Institute","Beauty & Personal Care","Mumbai, Maharashtra, India","Private","1957 (66 yrs old)"
"Polestar Solutions & Services India","IT Services & Consulting","Noida, Uttar Pradesh, India","Private","2012 (11 yrs old)"
"Sedemac Mechatronics","Consumer Electronics & Appliances","Mumbai,Maharashtra, India","Private","2007 (16 yrs old)"
"Calsoft","IT Services & Consulting","San Jose, California, United States (USA)","Private","1998 (25 yrs old)"
"Vedant Fashions","Fashion & Textile","Kolkata, West Bengal, India","Private","2002 (21 yrs old)"
"Schneider Electric Infrastructure","Electrical Equipment","Rueil-Malmaison, France","Public","1836 (187 yrs old)"
"Asti Electronics India","Auto Components","Gurgaon/Gurugram, Haryana, India","Private","2004 (19 yrs old)"
"Rochem Separation Systems","Industrial Machinery","Mumbai, Maharashtra, India","","1991 (32 yrs old)"
"B.L Agro Oils","Food Processing","Bareilly, India","","1993 (30 yrs old)"
"FIGMD","IT Services & Consulting","Rockford, IL, United States","Private","2010 (13 yrs old)"
"Sterling Hospitals","Healthcare","Ahmedabad, Gujarat, India","Public","HQ - Ahmedabad, Gujarat, India Healthcare 1k-5k Employees (India) Public"
"Loadshare Networks","Logistics","Bangalore,Karnataka, India","Private","2017 (6 yrs old)"
"Celebi Delhi Cargo Terminal Management","Aviation","Istanbul, Turkey","","1958 (65 yrs old)"
"Total","Oil & Gas","Paris, France","Private","1924 (99 yrs old)"
"Allahabad Bank","Banking","Chennai, Tamil Nadu, India","Private","1865 (158 yrs old)"
"Bajaj Hindusthan","Food Processing","Mumbai, Maharashtra, India","Public","1931 (92 yrs old)"
"Technico Industries","Auto Components","Gurgaon/Gurugram, Haryana, India","Private","1970 (53 yrs old)"
"Wood Group","Oil & Gas","Aberdeen City, Aberdeen, Scotland","Private","1912 (111 yrs old)"
"Costa Cruise Lines","Travel & Tourism","Genoa, Italy","Private","1948 (75 yrs old)"
"TCI Supply Chain Solutions","Logistics","Gurgaon/Gurugram, Haryana, India","Private","1958 (65 yrs old)"
"POSCO MAHARASHTRA STEEL","Iron & Steel","Pohang-si, South Korea","Private","2012 (11 yrs old)"
"Emirates Airlines","Aviation","Dubai, Dubai, United Arab Emirates (UAE)","Private","1985 (38 yrs old)"
"Cotmac Electronics","Industrial Automation","Pune, Maharashtra, India","Private","1991 (32 yrs old)"
"Koyo Bearings India","Auto Components","Gurgaon, India","Private","2007 (16 yrs old)"
"Cargo Motors","Automobile","Ahmedabad, Gujrat, India","Private","1959 (64 yrs old)"
"VGN Projects Estates","Real Estate","Chennai, Tamil Nadu, India","Private","1942 (81 yrs old)"
"NetAmbit Infosource & e-Services","FinTech","Noida, India","Private","2000 (23 yrs old)"
"SVC Co-Operative Bank","Banking","Mumbai, Maharashtra, India","Private","1906 (117 yrs old)"
"Self Practice","Analytics & KPO","","",""
"Tata Electronics","Semiconductors","Krishnagiri, India","",""
"Lincoln Pharmaceuticals","Pharma","Ahmedabad, Gujarat, India","Public","1979 (44 yrs old)"
"World Vision","Non-Profit","Monrovia, California, United States (USA)","Private","1950 (73 yrs old)"
"Tega Industries","Industrial Machinery","Kolkata, West Bengal, India","Public","1976 (47 yrs old)"
"Shalimar Paints","Chemicals","Gurgaon/Gurugram, Haryana, India","Public","1902 (121 yrs old)"
"ProConnect Integrated Logistics","Logistics","Chennai, Tamil Nadu, India","Private","2012 (11 yrs old)"
"HDFC Mutual Fund","Financial Services","Mumbai, Maharashtra, India","","1999 (24 yrs old)"
"Nimbus Harbor Facilities Management","Facility Management Services","Gurgaon/Gurugram, Haryana, India","Private","2004 (19 yrs old)"
"Halonix Technologies","Electronics Manufacturing","Noida, Uttar Pradesh, India","Private","2013 (10 yrs old)"
"Yara Fertilisers","Agro Chemicals","Oslo , Norway","","1905 (118 yrs old)"
"Laser Power & Infra","Electrical Equipment","Kolkata, West Bengal, India","Private","1988 (35 yrs old)"
"Prione Business Services","Retail","Bangalore/Bengaluru, Karnataka, India","Private","2014 (9 yrs old)"
"Smollan Group","BPO","Johannesburg, SouthAfrica","Private","1931 (92 yrs old)"
"Associated Road Carriers","Urban Transport","Hyderabad/Secunderabad, Telangana, India","Private","1972 (51 yrs old)"
"CallHealth","Healthcare","Hyderabad,Telangana, India","Private","2013 (10 yrs old)"
"Dorf Ketal Chemicals","Oil & Gas","Houston, United States (USA)","LLC","1992 (31 yrs old)"
"KOREA PLANT SERVICE AND ENGINEERING","Power","Naju,Jeollanam-do, South Korea","Private","1984 (39 yrs old)"
"Welspun Flooring","Building Material","Hyderabad, India","Public","2016 (7 yrs old)"
"BRLPS","Non-Profit","Patna, India","","2007 (16 yrs old)"
"Weddingz.in","Internet","Mumbai, Maharashtra, India","Private","2015 (8 yrs old)"
"Hamleys","Retail","London, UnitedKingdom","Private","1760 (263 yrs old)"
"RV Solutions","IT Services & Consulting","Noida, Uttar Pradesh, India","Private","2008 (15 yrs old)"
"DSV - Global Transport and Logistics","Logistics","Hedehusene, Denmark","","1976 (47 yrs old)"
"JSW Paints","Chemicals","","","2016 (7 yrs old)"
"Torrent Gas","Oil & Gas","Ahmedabad, Gujarat, India","Private","2018 (5 yrs old)"
"Parul University","Education & Training","Vadodara/Baroda, Gujarat, India","Private","2015 (8 yrs old)"
"The Saraswat Co-operative Bank","Banking","Mumbai, Maharashtra, India","Public","1918 (105 yrs old)"
"Sears Holdings","Retail","Hoffman Estates, Illinois, United States (USA)","Private","2009 (14 yrs old)"
"Technicolor","Animation & VFX","Paris, France","Private","1893 (130 yrs old)"
"Pole To Win","Gaming","Los Angeles , United States","Private","1994 (29 yrs old)"
"Navata Road Transport","Logistics","Vijayawada, Andhra Pradesh, India","Partnership","1982 (41 yrs old)"
"VSoft Technologies","IT Services & Consulting","Hyderabad/Secunderabad, Telangana, India","Private","2004 (19 yrs old)"
"Caresoft Global","IT Services & Consulting","Detroit, Michigan, United States Of America","Private","2004 (19 yrs old)"
"Flyjac Logistics","Logistics","Chennai, Tamil Nadu, India","Private","1990 (33 yrs old)"
"V-bazaar Retail","Retail","Gurgaon, India","","2016 (7 yrs old)"
"ESIC HOSPITAL","Healthcare","Delhi/NCR, New Delhi, India","Private","1952 (71 yrs old)"
"Spm Autocomp","Auto Components","Gurgaon/Gurugram, Haryana, India","Private","1995 (28 yrs old)"
"Sekisui Dljm Molding","Auto Components","Gurgaon/Gurugram, Haryana, India","JV","2011 (12 yrs old)"
"Padget Electronics","Industrial Machinery","","",""
"Bal Pharma","Pharma","Bangalore/Bengaluru, Karnataka, India","Public","1987 (36 yrs old)"
"MMC Infotech Services","IT Services & Consulting","Chennai, Tamil Nadu, India","Private","1990 (33 yrs old)"
"Saama Technologies","IT Services & Consulting","Campbell, California, United States (USA)","Private","1997 (26 yrs old)"
"Harsha Engineers","Industrial Machinery","Ahmedabad, Gujarat, India","Private","1986 (37 yrs old)"
"Belstar Investment and Finance","Investment Banking / Venture Capital / Private Equity","Chennai, Tamil Nadu, India","Private","1988 (35 yrs old)"
"Keihin India Manufacturing","Auto Components","Tokyo, Japan","","1956 (67 yrs old)"
"Popular Vehicles and Services","Automobile","Ernakulam, Kerala, India","Private","1939 (84 yrs old)"
"Infra.Market","Building Material","Thane,Maharashtra, India","Private","2016 (7 yrs old)"
"Madhucon Projects","Engineering & Construction","Hyderabad/Secunderabad, Telangana, India","Public","1983 (40 yrs old)"
"Ubisoft Entertainment","Gaming","Montreuil,Seine-saint-denis, France","Private","1986 (37 yrs old)"
"Lipi Data Systems","Printing & Publishing","Mumbai, India","Private","1993 (30 yrs old)"
"Lanxess","Chemicals","Cologne, Germany","Private","2004 (19 yrs old)"
"Bombay Intelligence Security","Law Enforcement & Security","Mumbai, Maharashtra, India","Private","1976 (47 yrs old)"
"Amrita Institute of Medical Sciences and Research","Healthcare","Kochi/Cochin, Kerala, India","Private","1998 (25 yrs old)"
"Studds Accessories","Auto Components","Faridabad, Haryana, India","Private","1983 (40 yrs old)"
"Munjal Kiriu Industries","Auto Components","Gurgaon/Gurugram, Haryana, India","Private","1956 (67 yrs old)"
"Zydus Hospital","Healthcare","Ahmedabad, Gujarat, India","Public","2015 (8 yrs old)"
"Fosroc Chemicals India","Chemicals","Dubai, United Arab Emirates (UAE)","Private","1972 (51 yrs old)"
"THE KCP","Building Material","Chennai, Tamil Nadu, India","Public","1941 (82 yrs old)"
"Ang India","Consumer Electronics & Appliances","Noida, Uttar Pradesh, India","Public","1978 (45 yrs old)"
"Modi Mundi Pharma","Pharma","Delhi/NCR, Delhi, India","Private","1990 (33 yrs old)"
"Ang India","Consumer Electronics & Appliances","Noida, Uttar Pradesh, India","Public","1978 (45 yrs old)"
"Brg Iron And Steel Co.","Metals & Mining","Kolkata, West Bengal, India","Private","2002 (21 yrs old)"
"Hollister Medical","Medical Equipment","Illinois, USA","","1921 (102 yrs old)"
"THE KCP","Building Material","Chennai, Tamil Nadu, India","Public","1941 (82 yrs old)"
"Munjal Kiriu Industries","Auto Components","Gurgaon/Gurugram, Haryana, India","Private","1956 (67 yrs old)"
"The Institute Of Chartered Accountants","Education & Training","New Delhi, India","","1949 (74 yrs old)"
"Fosroc Chemicals India","Chemicals","Dubai, United Arab Emirates (UAE)","Private","1972 (51 yrs old)"
"D.p. Jain & Co. Infrastructure Pvt .","Engineering & Construction","Nagpur, Maharashtra, India","Private","1974 (49 yrs old)"
"Nalco water","Waste Management","Naperville, United States","Private","1928 (95 yrs old)"
"Biz 2 Credit Info Services","IT Services & Consulting","New York, New York, United States (USA)","Private","2007 (16 yrs old)"
"LTIMindtree","IT Services & Consulting","","",""
"UBS Business Solutions","","","",""
"Concord Biotech","Pharma","Ahmedabad, Gujarat, India","Public","2000 (23 yrs old)"
"Mahindra Lifespace Developers","Real Estate","Mumbai, Maharashtra, India","Public","1994 (29 yrs old)"
"Puranik Builders","Real Estate","Thane, Maharashtra, India","Public","1968 (55 yrs old)"
"Autometers Alliance","Semiconductors","Noida, Uttar Pradesh, India","Private","1959 (64 yrs old)"
"Agarwal Packers & Movers","Logistics","Delhi/NCR, New Delhi, India","Public","1987 (36 yrs old)"
"Box8","Internet","Mumbai,Maharashtra, India","Private","2011 (12 yrs old)"
"The Indian Hume Pipe Co.","Building Material","Mumbai, India","Public","1926 (97 yrs old)"
"Drydocks World Dubai","Ports & Shipping","Dubai, Dubai, United Arab Emirates (UAE)","LLC","1983 (40 yrs old)"
"Accord Synergy","Hardware & Networking","Vadodara/Baroda, Gujrat, India","Public","2014 (9 yrs old)"
"Barista Coffee Company","Beverage","Delhi/NCR, New Delhi, India","Private","1999 (24 yrs old)"
"DBOI Global Services","Investment Banking / Venture Capital / Private Equity","Mumbai, Maharashtra, India","Private","1980 (43 yrs old)"
"Al Ahleia Switchgear","Industrial Machinery","Safat, Kuwait","Private","1982 (41 yrs old)"
"Recipharm Pharmaservices","Pharma","Stockholm, Stockholm, Sweden","Private","1995 (28 yrs old)"
"Pepe Jeans","Fashion & Textile","Municipility of Sant Feliu de Llobregat, Spain","Private","1973 (50 yrs old)"
"Monnet Group","Metals & Mining","Raipur, Chhattisgarh, India","Public","1990 (33 yrs old)"
"Thyssenkrupp Industrial Solutions","Industrial Machinery","Essen, Germany","","1859 (164 yrs old)"
"Vision Express","Retail","Bangalore/Bengaluru, Karnataka, India","Private","2008 (15 yrs old)"
"SRMB SRIJAN","Building Material","Kolkata, West Bengal, India","","1951 (72 yrs old)"
"PULSUS HealthTech Group","Printing & Publishing","London, United States (USA)","Public","1984 (39 yrs old)"
"Omninos Solutions","Software Product","Chandigarh, India","","2016 (7 yrs old)"
"ClearTax","IT Services & Consulting","Bengaluru/Bangalore, Karnataka, United States","Private","2011 (12 yrs old)"
"STAR","Broadcasting","Mumbai, Maharashtra, India","","1994 (29 yrs old)"
"ACG Worldwide","Pharma","Mumbai, Maharashtra, India","Private","1961 (62 yrs old)"
"Premium Transmission","Industrial Machinery","Pune, Maharashtra, India","Private","1961 (62 yrs old)"
"Luxor Writing Instruments","Other","Noida, Uttar Pradesh, India","Private","2001 (22 yrs old)"
"Walplast Products","Engineering & Construction","Navi Mumbai, Maharashtra, India","Private","2004 (19 yrs old)"
"CEC International","Engineering & Construction","Taipei, Taiwan","Private","1945 (78 yrs old)"
"Rapido","Internet","Bangalore,Karnataka, India","Private","2015 (8 yrs old)"
"PCS Technology","IT Services & Consulting","Pune, Maharashtra, India","Public","1981 (42 yrs old)"
"YKK","Fashion & Textile","Gurgaon/Gurugram, Haryana, India","Private","1995 (28 yrs old)"
"Meghalaya Cements","Building Material","Kolkata, West Bengal, India","Private","2003 (20 yrs old)"
"Core Integra Consulting Services","Recruitment","Mumbai, Maharashtra, India","Private","2011 (12 yrs old)"
"TJSB Sahakari Bank","Banking","Thane, India","Private","1972 (51 yrs old)"
"NACL Industries","Agro Chemicals","Hyderabad/Secunderabad, Telangana, India","Private","1993 (30 yrs old)"
"Aachi Foods","FMCG","Chennai, Tamil Nadu, India","Private","1995 (28 yrs old)"
"Cordlife Sciences India","Pharma","Kolkata, West Bengal, India","Private","2001 (22 yrs old)"
"Coolberg Beverages","Beverage","Mumbai, Maharashtra, India","Private","2016 (7 yrs old)"
"Sagility","BPO","","",""
"Wsp Consultants India","Engineering & Construction","Montreal, Canada","Private","1959 (64 yrs old)"
"Dixit Infotech Services","IT Services & Consulting","Mumbai, Maharashtra, India","Private","1979 (44 yrs old)"
"Gaursons","Real Estate","Ghaziabad, Uttar Pradesh, India","Public","1995 (28 yrs old)"
"Qatar Petroleum","Oil & Gas","Doha, Qatar","Other","1974 (49 yrs old)"
"Nidec Corporation","Industrial Machinery","Kyoto, Japan","Private","1973 (50 yrs old)"
"Piramal Glass","Packaging","Mumbai, Maharashtra, India","Private","1984 (39 yrs old)"
"SiliconIndia","Printing & Publishing","Bangalore/Bengaluru, Karnataka, India","Private","1997 (26 yrs old)"
"Bharat IT Services","IT Services & Consulting","Noida, Uttar Pradesh, India","Public","1996 (27 yrs old)"
"Sir Ganga Ram Hospital","Healthcare","Delhi/NCR, New Delhi, India","Private","1954 (69 yrs old)"
"Praxair","Chemicals","Danbury, Connecticut, United States (USA)","Private","1907 (116 yrs old)"
"e-Centric Solutions","IT Services & Consulting","Hyderabad, India","Private","2002 (21 yrs old)"
"Sonata Finance","Financial Services","Allahabad/Prayagraj, Uttar Pradesh, India","Private","1995 (28 yrs old)"
"Faasos Food Services","Internet","Pune,Maharashtra, India","Private","2010 (13 yrs old)"
"Anudip Foundation","Non-Profit","Kolkata, West Bengal, India","NGO/NPO","2007 (16 yrs old)"
"The Dow Chemical Company","Chemicals","Midland, Michigan, United States (USA)","Private","1957 (66 yrs old)"
"Tata Steel Processing & Distribution","Iron & Steel","Kolkata, India","Private","1997 (26 yrs old)"
"Big C","Retail","Hyderabad/Secunderabad, Telangana, India","Private","2003 (20 yrs old)"
"Mitra SK","Other","Kolkata, West Bengal, India","Private","1938 (85 yrs old)"
"Javi Systems","IT Services & Consulting","Bangalore/Bengaluru, Karnataka, India","Private","2007 (16 yrs old)"
"Kauvery Hospital","Healthcare","Chennai, Tamil Nadu, India","Public","1999 (24 yrs old)"
"Hinduja Group","Automobile","Mumbai, India","Public","1914 (109 yrs old)"
"Sonalika Group of Companies","Automobile","Hoshiarpur, India","Private","1969 (54 yrs old)"
"Saksoft","IT Services & Consulting","Chennai, Tamil Nadu, India","Public","1999 (24 yrs old)"
"Nexteer Automotive","Auto Components","Auburn Hills, Michigan, United States (USA)","Private","1906 (117 yrs old)"
"ITCONS e-Solutions","IT Services & Consulting","Noida, Uttar Pradesh, India","Private","2007 (16 yrs old)"
"Puravankara Projects","Real Estate","Bangalore/Bengaluru, Karnataka, India","Private","1975 (48 yrs old)"
"Woodland","Fashion & Textile","Quebec, Canada","Private","1992 (31 yrs old)"
"National Insurance Company","Insurance","Kolkata, West Bengal, India","Private","1906 (117 yrs old)"
"Urban Ladder","Retail","Bangalore,Karnataka, India","Private","2012 (11 yrs old)"
"Peter England","Fashion & Textile","Londonderry, Northern Ireland","Private","1889 (134 yrs old)"
"Planetcast","Media & Entertainment","Noida,Uttar Pradesh, India","Public","1996 (27 yrs old)"
"Seth M R Jaipuria School","Education & Training","Delhi/NCR, Delhi, India","Private","1992 (31 yrs old)"
"QBurst Technologies","IT Services & Consulting","Chantilly, Virginia, United States (USA)","Private","2004 (19 yrs old)"
"Datamatics Business Solutions","BPO","Mumbai, India","Public","1982 (41 yrs old)"
"Al Tasnim Enterprises","Engineering & Construction","Muscat, Oman","Private","1976 (47 yrs old)"
"Bajaj Energy","Power","Mumbai, Maharashtra, India","Public","2008 (15 yrs old)"
"Health India Tpa Services","Insurance","Mumbai, Maharashtra, India","Private","2002 (21 yrs old)"
"Dishman Carbogen Amcis","Healthcare","Bubendorf, Switzerland","","2007 (16 yrs old)"
"Scaler Academy","EdTech","Bangalore,Karnataka, India","Private","2019 (4 yrs old)"
"Stanley Black & Decker","Industrial Machinery","New Britain, United States","Private","1843 (180 yrs old)"
"Shree Renuka Sugars","Food Processing","Belagavi/Belgaum, Karnataka, India","Public","1998 (25 yrs old)"
"Globtier Infotech","IT Services & Consulting","Noida, Uttar Pradesh, India","Private","2005 (18 yrs old)"
"Fingent","IT Services & Consulting","New York, New York, United States (USA)","Private","2003 (20 yrs old)"
"Atul Auto","Automobile","Rajkot, Gujrat, India","Public","1982 (41 yrs old)"
"Gold's Gym","Fitness & Wellness","Dallas, Texas, United States (USA)","Private","1965 (58 yrs old)"
"Bhavani Industries","Industrial Machinery","Bangalore/Bengaluru, Karnataka, India","Private","1987 (36 yrs old)"
"International Automotive Components","Auto Components","Southfield, Luxembourg","Private","2006 (17 yrs old)"
"Nippon Audiotronix","Automobile","Delhi/NCR, Delhi, India","Private","1996 (27 yrs old)"
"AVL","Automobile","Graz, Austria","Private","1948 (75 yrs old)"
"Sun TV Network","Media & Entertainment","Chennai, Tamil Nadu, India","Public","1993 (30 yrs old)"
"Claris Lifesciences Ahmedabad","Healthcare","Ahmedabad, Gujrat, India","Public","1999 (24 yrs old)"
"Invensis Technologies","BPO","Bangalore/Bengaluru, Karnataka, India","Private","2000 (23 yrs old)"
"Hardcastle Restaurants","Hospitality","Mumbai, India","Private","1995 (28 yrs old)"
"SISL Infotech","IT Services & Consulting","Delhi/NCR, Delhi, India","Private","2007 (16 yrs old)"
"Cyber Infrastructure","IT Services & Consulting","San Jose, California, United States (USA)","Private","2003 (20 yrs old)"
"Cipla Industries","Pharma","New Delhi, India","","1998 (25 yrs old)"
"MDC Group of Companies","Pharma","Muscat, Oman","Private",""
"Chaitanya India Fin Credit","Financial Services","Bangalore,Karnataka, India","Private","2009 (14 yrs old)"
"Karamtara Engineering","Engineering & Construction","Mumbai, Maharashtra, India","","1996 (27 yrs old)"
"Mahindra Electric","Automobile","Bengaluru, India","Private","1994 (29 yrs old)"
"FabAlley","Retail","Noida,Uttar Pradesh, India","","2012 (11 yrs old)"
"Tredence","IT Services & Consulting","San Jose, California, USA","Private","2013 (10 yrs old)"
"Elico Healthcare Services","Analytics & KPO","Hyderabad/Secunderabad, Telangana, India","Private","1999 (24 yrs old)"
"AISECT","Education & Training","Bhopal, Madhya Pradesh, India","Private","1985 (38 yrs old)"
"Rooman Technologies","Education & Training","Bangalore/Bengaluru, Karnataka, India","Private","1999 (24 yrs old)"
"Krishnapatnam Port","Ports & Shipping","Nellore, Andhra Pradesh, India","Private","2008 (15 yrs old)"
"RadiSys","Telecom","Bangalore/Bengaluru, Karnataka, US","Private","1987 (36 yrs old)"
"Cryoviva Biotech","Biotechnology","Gurgaon/Gurugram, Haryana, India","Private","2006 (17 yrs old)"
"Alchem International","Pharma","Gurgaon/Gurugram, Haryana, India","Private","1935 (88 yrs old)"
"Mantri Developers","Real Estate","Bangalore/Bengaluru, Karnataka, India","Private","1999 (24 yrs old)"
"Uniinfo Telecom Services","Telecom","Indore, Madhya Pradesh, India","Public","2010 (13 yrs old)"
"Rinder India","Automobile","Pune, Maharashtra, India","Private","1997 (26 yrs old)"
"Drake & Scull International PJSC","Engineering & Construction","Dubai, United Arab Emirates","Private","1881 (142 yrs old)"
"HPM Chemicals & Fertilizers","Agro Chemicals","New Delhi, India","Private","1977 (46 yrs old)"
"Gtpl Hathway","Media & Entertainment","Ahmedabad, Gujarat, India","Public","2006 (17 yrs old)"
"Alchem International","Pharma","Gurgaon/Gurugram, Haryana, India","Private","1935 (88 yrs old)"
"Cryoviva Biotech","Biotechnology","Gurgaon/Gurugram, Haryana, India","Private","2006 (17 yrs old)"
"Peregrine Guarding","Law Enforcement & Security","Gurgaon/Gurugram, Haryana, India","Private","HQ - Gurgaon/Gurugram, Haryana, India Law Enforcement & Security 501-1k Employees (India) Facility Management Services"
"Fourrts India Laboratories","Pharma","Chennai, Tamil Nadu, India","Private","1977 (46 yrs old)"
"RadiSys","Telecom","Bangalore/Bengaluru, Karnataka, US","Private","1987 (36 yrs old)"
"MARK EXHAUST SYSTEMS","Auto Components","Gurgaon/Gurugram, Haryana, India","Public","1993 (30 yrs old)"
"American Tower Corporation","Telecom","Boston, MA, United States (USA)","Private","1995 (28 yrs old)"
"R.V.R. PROJECTS","Engineering & Construction","Visakhapatnam/Vizag, Andhra Pradesh, India","Private","1976 (47 yrs old)"
