name,market_capitalization_USD,stock,country,sector,industry
EnBW Energie Baden-Wuerttemberg AG,25820000000,EBK,Germany,Utilities,Utilities—Diversified
"The Hartford Financial Services Group, Inc.",25760000000,HIG,United States,Financials,Insurance—Diversified
Laboratory Corporation of America Holdings,25750000000,LH,United States,Healthcare,Diagnostics & Research
"MongoDB, Inc.",25730000000,MDB,United States,Technology,Software—Infrastructure
Mitsubishi Electric Corporation,25610000000,6503,Japan,Industrials,Electrical Equipment & Parts
Banco Santander (Brasil) SA,25590000000,SANB11,Brazil,Financials,Banks
Axis Bank Ltd,25540000000,AXISBANK,India,Financials,Banks
"United Rentals, Inc.",25460000000,URI,United States,Industrials,Rental & Leasing Services
Nan Ya Plastics Corp,25410000000,1303,Taiwan,Basic Materials,Specialty Chemicals
Lennar Corporation,25340000000,LEN,United States,Consumer Discretionary,Residential Construction
Straumann Holding AG,25310000000,STMN,Switzerland,Healthcare,Medical Instruments & Supplies
CLP Holdings Ltd,25290000000,0002,Hong Kong,Utilities,Utilities—Regulated Electric
Yanzhou Coal Mining Company Ltd,25260000000,600188,China,Energy,Thermal Coal
FirstEnergy Corp.,25260000000,FE,United States,Utilities,Utilities—Diversified
Albemarle Corporation,25250000000,ALB,United States,Basic Materials,Specialty Chemicals
CK Asset Holdings Limited,25210000000,1113,Hong Kong,Real Estate,Real Estate—Development
"Enphase Energy, Inc.",25200000000,ENPH,United States,Technology,Solar
Legrand SA,25190000000,LR,France,Industrials,Specialty Industrial Machinery
Galaxy Entertainment Group Ltd,25170000000,0027,Hong Kong,Consumer Discretionary,Resorts & Casinos
Skandinaviska Enskilda Banken AB,25150000000,SEB.A,Sweden,Financials,Banks
The Mosaic Company,25090000000,MOS,United States,Basic Materials,Agricultural Inputs
CDW Corporation,25040000000,CDW,United States,Technology,Information Technology Services
"Gartner, Inc.",25030000000,IT,United States,Technology,Information Technology Services
"EDP Renováveis, SA",25010000000,EDPR,Spain,Utilities,Utilities—Renewable
"Delta Air Lines, Inc.",24920000000,DAL,United States,Industrials,Airlines
Palantir Technologies Inc.,24910000000,PLTR,United States,Technology,Software—Infrastructure
Seagen Inc.,24870000000,SGEN,United States,Healthcare,Biotechnology
"Diamondback Energy, Inc.",24840000000,FANG,United States,Energy,Oil & Gas E&P
"VeriSign, Inc.",24810000000,VRSN,United States,Technology,Software—Infrastructure
"Church & Dwight Co., Inc.",24810000000,CHD,United States,Consumer Staples,Household & Personal Products
Ameren Corporation,24790000000,AEE,United States,Utilities,Utilities—Regulated Electric
China Minsheng Banking Corp Ltd,24650000000,600016,China,Financials,Banks
"Live Nation Entertainment, Inc.",24610000000,LYV,United States,Communication Services,Entertainment
Woodside Petroleum Ltd,24600000000,WPL,Australia,Energy,Oil & Gas E&P
Evergreen Marine Corp,24490000000,2603,Taiwan,Industrials,Marine Shipping
"Aena S.M.E., SA",24450000000,AENA,Spain,Industrials,Airports & Air Services
XPeng Inc.,24440000000,XPEV,China,Consumer Discretionary,Auto Manufacturers
Northern Trust Corporation,24420000000,NTRS,United States,Financials,Asset Management
"Slack Technologies, Inc.",24300000000,WORK,United States,Technology,Software—Application
"Mid-America Apartment Communities, Inc.",24180000000,MAA,United States,Real Estate,REIT—Residential
Fresenius SE & Co KGaA,24120000000,FRE,Germany,Healthcare,Medical Care Facilities
FUJIFILM Holdings Corp,24120000000,4901,Japan,Industrials,Business Equipment & Supplies
BT Group plc,24090000000,BT.A,United Kingdom,Communication Services,Telecom Services
Vulcan Materials Company,24080000000,VMC,United States,Basic Materials,Building Materials
Epiroc AB,24080000000,3AD2,Sweden,Industrials,Farm & Heavy Construction Machinery
"Delta Electronics, Inc.",24050000000,2308,Taiwan,Technology,Electronic Components
Public Joint Stock Company Polyus,24020000000,PLZL,Russia,Basic Materials,Gold
Schindler Holding AG,24020000000,SCHN,Switzerland,Industrials,Specialty Industrial Machinery
ORIX Corporation,23970000000,8591,Japan,Financials,Credit Services
"Martin Marietta Materials, Inc.",23940000000,MLM,United States,Basic Materials,Building Materials
CSC Financial Co. Ltd,23940000000,601066,China,Financials,Capital Markets
"Best Buy Co., Inc.",23930000000,BBY,United States,Consumer Discretionary,Specialty Retail
STERIS plc,23930000000,STE,Ireland,Healthcare,Medical Instruments & Supplies
Entergy Corporation,23920000000,ETR,United States,Utilities,Utilities—Diversified
"M3, Inc.",23890000000,2413,Japan,Healthcare,Health Information Services
Splunk Inc.,23840000000,SPLK,United States,Technology,Software—Infrastructure
EVE Energy Co. Ltd,23820000000,300014,China,Industrials,Electrical Equipment & Parts
"Ventas, Inc.",23810000000,VTR,United States,Real Estate,REIT—Healthcare Facilities
"Endesa, SA",23780000000,ELE,Spain,Utilities,Utilities—Regulated Electric
SSE plc,23730000000,SSE,United Kingdom,Utilities,Utilities—Diversified
Compagnie Générale des Etablissements Michelin SCA,23650000000,ML,France,Consumer Discretionary,Auto Parts
Horizon Therapeutics Public Limited Company,23640000000,HZNP,Ireland,Healthcare,Drug Manufacturers—General
Baoshan Iron & Steel Co. Ltd,23590000000,600019,China,Basic Materials,Steel
"Stanley Black & Decker, Inc.",23570000000,SWK,United States,Industrials,Tools & Accessories
Sungrow Power Supply Co. Ltd,23550000000,300274,China,Industrials,Electrical Equipment & Parts
Beiersdorf AG,23510000000,BEI,Germany,Consumer Staples,Household & Personal Products
PT Bank Mandiri (Persero) Tbk,23510000000,PQ9,Indonesia,Financials,Banks
First Quantum Minerals Ltd.,23470000000,FM,Canada,Basic Materials,Copper
Kubota Corp,23460000000,6326,Japan,Industrials,Farm & Heavy Construction Machinery
MTN Group Ltd,23450000000,MTN,South Africa,Communication Services,Telecom Services
"Maxim Integrated Products, Inc.",23440000000,MXIM,United States,Technology,Semiconductors
"Rocket Companies, Inc.",23440000000,RKT,United States,Financials,Mortgage Finance
Fortis Inc.,23430000000,FTS,Canada,Utilities,Utilities—Regulated Electric
Formosa Plastics Corp,23420000000,1301,Taiwan,Basic Materials,Specialty Chemicals
Liberty Broadband Corporation,23400000000,LBRDK,United States,Communication Services,Entertainment
United Microelectronics Corporation,23350000000,2303,Taiwan,Technology,Semiconductors
Garmin Ltd.,23350000000,GRMN,Switzerland,Technology,Scientific & Technical Instruments
Huazhu Group Limited,23340000000,HTHT,China,Consumer Discretionary,Lodging
Carnival Corporation & plc,23290000000,CCL,United States,Consumer Discretionary,Travel Services
Sany Heavy Industry Co. Ltd,23270000000,600031,China,Industrials,Farm & Heavy Construction Machinery
Fox Corporation,23260000000,FOXA,United States,Communication Services,Broadcasting
Wens Foodstuff Group Co. Ltd,23200000000,300498,China,Consumer Staples,Farm Products
Société Générale SA,23180000000,GLE,France,Financials,Banks
Terumo Corp,23160000000,4543,Japan,Healthcare,Medical Instruments & Supplies
China International Capital Corp Ltd,23130000000,601995,China,Financials,Capital Markets
Invitation Homes Inc.,23090000000,INVH,United States,Real Estate,REIT—Residential
Royalty Pharma plc,23040000000,RPRX,United States,Healthcare,Biotechnology
Olympus Corp,23000000000,7733,Japan,Healthcare,Medical Instruments & Supplies
V.F. Corporation,22960000000,VFC,United States,Consumer Discretionary,Apparel Manufacturing
Dover Corporation,22940000000,DOV,United States,Industrials,Specialty Industrial Machinery
PPL Corporation,22870000000,PPL,United States,Utilities,Utilities—Regulated Electric
"Hengli Petrochemical Co.,Ltd.",22860000000,600346,China,Consumer Discretionary,Textile Manufacturing
Genmab A/S,22830000000,GMAB,Denmark,Healthcare,Biotechnology
SABIC Agri-Nutrients Company,22780000000,2020,Saudi Arabia,Basic Materials,Agricultural Inputs
Heineken Holding N.V.,22780000000,HEIO,Netherlands,Consumer Staples,Beverages—Brewers
East Japan Railway Company,22780000000,9020,Japan,Industrials,Railroads
Sociedad Química y Minera de Chile SA,22770000000,SQM,Chile,Basic Materials,Chemicals
Eurofins Scientific SE,22750000000,ERF,Luxembourg,Healthcare,Diagnostics & Research
Panasonic Corp,22730000000,6752,Japan,Technology,Consumer Electronics
UCB SA,22710000000,UCB,Belgium,Healthcare,Biotechnology
Shanghai International Port,22650000000,600018,China,Industrials,Marine Shipping
Hewlett Packard Enterprise Company,22650000000,HPE,United States,Technology,Communication Equipment
Kellogg Company,22630000000,K,United States,Consumer Staples,Packaged Foods
PICC Property and Casualty Company Ltd,22620000000,2328,China,Financials,Insurance—Property & Casualty
Grupo Financiero Banorte SAB de CV,22600000000,GFNORTEO,Mexico,Financials,Banks
Komatsu Ltd,22560000000,6301,Japan,Industrials,Farm & Heavy Construction Machinery
The Hong Kong and China Gas Company Ltd,22540000000,0003,Hong Kong,Utilities,Utilities—Regulated Gas
Coca-Cola Europacific Partners plc,22530000000,CCEP,United Kingdom,Consumer Staples,Beverages—Non-Alcoholic
"Essex Property Trust, Inc.",22510000000,ESS,United States,Real Estate,REIT—Residential
EMS-CHEMIE HOLDING AG,22480000000,EMSN,Switzerland,Basic Materials,Specialty Chemicals
"Okta, Inc.",22450000000,OKTA,United States,Technology,Software—Infrastructure
China National Nuclear Power Co. Ltd,22420000000,601985,China,Utilities,Utilities—Independent Power Producers
Sumitomo Corp,22420000000,8053,Japan,Industrials,Conglomerates
Tata Motors Limited,22380000000,TTM,India,Consumer Discretionary,Auto Manufacturers
Banco do Brasil SA,22360000000,BBAS3,Brazil,Financials,Banks
Hennes & Mauritz AB,22330000000,HM.B,Sweden,Consumer Discretionary,Apparel Manufacturing
"Bio-Rad Laboratories, Inc.",22320000000,BIO,United States,Healthcare,Medical Devices
Teleperformance SE,22300000000,TEP,France,Industrials,Consulting Services
"Fomento Económico Mexicano, S.A.B. de C.V.",22280000000,FEMSAUB,Mexico,Consumer Staples,Beverages—Brewers
"Huntington Bancshares, Inc.",22260000000,HU3,United States,Financials,Banks
"Continental Resources, Inc.",22250000000,CLR,United States,Energy,Oil & Gas E&P
CRRC Corp Ltd,22210000000,601766,China,Industrials,Railroads
"Skyworks Solutions, Inc.",22170000000,SWKS,United States,Technology,Semiconductors
XP Inc.,22160000000,XPBR31,Brazil,Financials,Capital Markets
Unicharm Corp,22080000000,8113,Japan,Consumer Staples,Household & Personal Products
ZTO Express (Cayman) Inc.,22050000000,ZTO,China,Industrials,Integrated Freight & Logistics
Geberit AG,22030000000,GEBN,Switzerland,Industrials,Building Products & Equipment
Toyota Industries Corp,21990000000,6201,Japan,Consumer Discretionary,Auto Manufacturers
Cincinnati Financial Corporation,21990000000,CINF,United States,Financials,Insurance—Property & Casualty
"CF Industries Holdings, Inc.",21950000000,CF,United States,Basic Materials,Agricultural Inputs
NIBE Industrier AB,21930000000,NJB,Sweden,Industrials,Building Products & Equipment
CNH Industrial N.V.,21930000000,CNHI,United Kingdom,Industrials,Farm & Heavy Construction Machinery
Huntington Bancshares Incorporated,21930000000,HBAN,United States,Financials,Banks
Duke Realty Corporation,21930000000,DRE,United States,Real Estate,REIT—Industrial
Restaurant Brands International Limited Partnership,21890000000,QSP.UN,Canada,Consumer Discretionary,Restaurants
"Monolithic Power Systems, Inc.",21870000000,MPWR,United States,Technology,Semiconductors
Zebra Technologies Corporation,21870000000,ZBRA,United States,Technology,Communication Equipment
"Ulta Beauty, Inc.",21820000000,ULTA,United States,Consumer Discretionary,Specialty Retail
"Dai-ichi Life Holdings, Inc.",21760000000,8750,Japan,Financials,Insurance—Life
M&T Bank Corporation,21740000000,MTB,United States,Financials,Banks
KeyCorp,21710000000,KEY,United States,Financials,Banks
Teledyne Technologies Incorporated,21650000000,TDY,United States,Technology,Scientific & Technical Instruments
"B3 S.A. - Brasil, Bolsa, Balcao",21580000000,B3SA3,Brazil,Financials,Financial Data & Stock Exchanges
"Contura Energy, Inc.",21570000000,CTRA,United States,Energy,Thermal Coal
"Shimano, Inc.",21510000000,7309,Japan,Consumer Discretionary,Leisure
Power Corporation of Canada,21480000000,POW,Canada,Financials,Insurance—Life
"J.B. Hunt Transport Services, Inc.",21480000000,JBHT,United States,Industrials,Integrated Freight & Logistics
Mitsui Fudosan Co. Ltd,21460000000,8801,Japan,Real Estate,Real Estate—Diversified
The Saudi British Bank,21450000000,1060,Saudi Arabia,Financials,Banks
SGS SA,21430000000,SGSN,Switzerland,Industrials,Consulting Services
Teck Resources Limited,21410000000,TECK.B,Canada,Basic Materials,Other Industrial Metals & Mining
Rede D'Or São Luiz SA,21400000000,RDOR3,Brazil,Healthcare,Medical Care Facilities
NEXON Co. Ltd,21360000000,3659,Japan,Communication Services,Electronic Gaming & Multimedia
"The Cooper Companies, Inc.",21350000000,COO,United States,Healthcare,Medical Instruments & Supplies
Legal & General Group plc,21340000000,LGEN,United Kingdom,Financials,Insurance—Life
Regions Financial Corporation,21320000000,RF,United States,Financials,Banks
Wheaton Precious Metals Corp.,21260000000,WPM,Canada,Basic Materials,Gold
ZoomInfo Technologies Inc.,21230000000,ZI,United States,Technology,Software—Application
ViacomCBS Inc.,21220000000,VIACA,United States,Communication Services,Entertainment
China Northern Rare Earth,21210000000,600111,China,Basic Materials,Other Industrial Metals & Mining
Seagate Technology plc,21210000000,STX,Ireland,Technology,Computer Hardware
China Mengniu Dairy Co Ltd,21170000000,2319,Hong Kong,Consumer Staples,Packaged Foods
Ingersoll Rand Inc.,21130000000,IR,United States,Industrials,Specialty Industrial Machinery
SEGRO plc,21080000000,SGRO,United Kingdom,Real Estate,REIT—Industrial
Yandex N.V.,21050000000,YNDX,Netherlands,Communication Services,Internet Content & Information
Microchip Technology Incorporated,21030000000,MCHP,United States,Technology,Semiconductors
"HubSpot, Inc.",20930000000,HUBS,United States,Technology,Software—Application
"FLEETCOR Technologies, Inc.",20920000000,FLT,United States,Technology,Information Technology Services
Fortive Corporation,20880000000,FTV,United States,Technology,Scientific & Technical Instruments
AppLovin Corp,20860000000,APP,United States,Technology,Software—Application
Royal Caribbean Cruises Ltd.,20810000000,RCL,United States,Consumer Discretionary,Travel Services
Repsol SA,20800000000,REP,Spain,Energy,Oil & Gas Integrated
Marubeni Corp,20780000000,8002,Japan,Industrials,Conglomerates
Standard Chartered plc,20780000000,STAN,United Kingdom,Financials,Banks
Li Ning Co Ltd,20750000000,2331,China,Consumer Discretionary,Leisure
CMS Energy Corporation,20730000000,CMS,United States,Utilities,Utilities—Regulated Electric
STERIS Corp,20660000000,S1TE34,United States,Healthcare,Medical Devices
Advanced Info Service PCL,20650000000,ADVANC,Thailand,Communication Services,Telecom Services
Kyocera Corp,20620000000,6971,Japan,Technology,Consumer Electronics
Pembina Pipeline Corporation,20610000000,PPL,Canada,Energy,Oil & Gas Midstream
Flutter Entertainment plc,20580000000,FLTR,Ireland,Consumer Discretionary,Gambling
Sojitz Corp,20550000000,2768,Japan,Industrials,Conglomerates
"Boston Properties, Inc.",20540000000,BXP,United States,Real Estate,REIT—Office
Synchrony Financial,20430000000,SYF,United States,Financials,Credit Services
Alinma Bank,20410000000,1150,Saudi Arabia,Financials,Banks
Investment AB Latour,20390000000,LATO.B,Sweden,Financials,Asset Management
Mitsubishi Estate Co. Ltd,20390000000,8802,Japan,Real Estate,Real Estate—Diversified
Guotai Junan Securities Co. Ltd,20390000000,601211,China,Financials,Capital Markets
Nippon Paint Holdings Co. Ltd,20380000000,4612,Japan,Basic Materials,Specialty Chemicals
Carvana Co.,20330000000,CVNA,United States,Consumer Discretionary,Internet Retail
Markel Corporation,20300000000,MKL,United States,Financials,Insurance—Property & Casualty
"Brown & Brown, Inc.",20270000000,BRO,United States,Financials,Insurance Brokers
Nomura Research Institute Ltd,20260000000,4307,Japan,Technology,Information Technology Services
MGM Resorts International,20220000000,MGM,United States,Consumer Discretionary,Resorts & Casinos
Mega Financial Holding Co. Ltd,20210000000,2886,Taiwan,Financials,Banks
Telefônica Brasil SA,20190000000,VIV,Brazil,Communication Services,Telecom Services
Swiss Life Holding AG,20160000000,SLHN,Switzerland,Financials,Insurance—Diversified
Telenor ASA,20150000000,TEL,Norway,Communication Services,Telecom Services
China Railway Group Ltd,20150000000,0390,Hong Kong,Industrials,Engineering & Construction
CTBC Financial Holding Co. Ltd,20150000000,2891,Taiwan,Financials,Insurance—Life
Imperial Brands plc,20140000000,IMB,United Kingdom,Consumer Staples,Tobacco
"Principal Financial Group, Inc.",20130000000,PFG,United States,Financials,Insurance—Diversified
Norsk Hydro ASA,20100000000,NHY,Norway,Basic Materials,Aluminum
"PerkinElmer, Inc.",20050000000,PKI,United States,Healthcare,Diagnostics & Research
Hannover Rück SE,20020000000,HNRB,Germany,Financials,Insurance—Reinsurance
"Sun Communities, Inc.",19980000000,SUI,United States,Real Estate,REIT—Residential
Tradeweb Markets Inc.,19980000000,TW,United States,Financials,Capital Markets
Trina Solar Co. Ltd,19940000000,688599,China,Technology,Solar
Vedanta Limited,19930000000,VEDL,India,Basic Materials,Other Industrial Metals & Mining
"Paycom Software, Inc.",19870000000,PAYC,United States,Technology,Software—Application
Klabin SA,19860000000,KLBN11,Brazil,Basic Materials,Paper & Paper Products
Kao Corp,19850000000,4452,Japan,Consumer Staples,Household & Personal Products
"Teradyne, Inc.",19850000000,TER,United States,Technology,Semiconductor Equipment & Materials
China Resources Beer (Holdings) Company Ltd,19840000000,0291,Hong Kong,Consumer Staples,Beverages—Brewers
China Communications Construction Co Ltd,19830000000,601800,China,Industrials,Engineering & Construction
Aviva plc,19820000000,AV.,United Kingdom,Financials,Insurance—Diversified
Standard Bank Group Ltd,19820000000,SBK,South Africa,Financials,Banks
Ryanair Holdings plc,19780000000,RY4C,Ireland,Industrials,Airlines
"Hologic, Inc.",19750000000,HOLX,United States,Healthcare,Medical Instruments & Supplies
Kerry Group plc,19740000000,KRZ,Ireland,Consumer Staples,Packaged Foods
Renesas Electronics Corp,19730000000,6723,Japan,Technology,Semiconductors
Brookfield Infrastructure Partners L.P.,19700000000,BIP.UN,Bermuda,Utilities,Utilities—Diversified
Shiseido Co Ltd,19690000000,4911,Japan,Consumer Staples,Household & Personal Products
CGI Inc.,19670000000,GIB.A,Canada,Technology,Information Technology Services
Henderson Land Development Co Ltd,19670000000,0012,Hong Kong,Real Estate,Real Estate Services
"Bill.com Holdings, Inc.",19650000000,BILL,United States,Technology,Software—Application
Shanghai Fosun Pharmaceutical,19630000000,600196,China,Healthcare,Drug Manufacturers—Specialty & Generic
"Akamai Technologies, Inc.",19590000000,AKAM,United States,Technology,Software—Infrastructure
China Tower Corp Ltd,19550000000,0788,China,Communication Services,Telecom Services
"Huatai Securities Co., Ltd.",19550000000,601688,China,Financials,Capital Markets
Marathon Oil Corporation,19540000000,MRO,United States,Energy,Oil & Gas E&P
Arch Capital Group Ltd.,19540000000,ACGL,Bermuda,Financials,Insurance—Diversified
TransUnion,19530000000,TRU,United States,Industrials,Consulting Services
JBS SA,19530000000,JBSS3,Brazil,Consumer Staples,Packaged Foods
Shenzhou International Group Holdings Ltd,19500000000,2313,Hong Kong,Consumer Discretionary,Textile Manufacturing
"Avantor, Inc.",19480000000,AVTR,United States,Basic Materials,Specialty Chemicals
"Molina Healthcare, Inc.",19460000000,MOH,United States,Healthcare,Healthcare Plans
"Ferrovial, SA",19440000000,FER,Spain,Industrials,Infrastructure Operations
EDP - Energias de Portugal SA,19430000000,EDP,Portugal,Utilities,Utilities—Diversified
Fresenius Medical Care AG & Co. KGaA,19420000000,FME,Germany,Healthcare,Medical Care Facilities
Svenska Handelsbanken AB,19420000000,SHB.A,Sweden,Financials,Banks
KB Financial Group Inc.,19390000000,105560,South Korea,Financials,Banks
Magna International Inc.,19360000000,MG,Canada,Consumer Discretionary,Auto Parts
Snam S.p.A.,19270000000,SRG,Italy,Utilities,Utilities—Regulated Gas
CGN Power Co. Ltd,19250000000,003816,China,Utilities,Utilities—Independent Power Producers
Croda International plc,19220000000,CRDA,United Kingdom,Basic Materials,Specialty Chemicals
Warner Music Group Corp.,19210000000,WMG,United States,Communication Services,Entertainment
Zhejiang Huayou Cobalt Co. Ltd,19200000000,603799,China,Basic Materials,Other Industrial Metals & Mining
"SS&C Technologies Holdings, Inc.",19150000000,SSNC,United States,Technology,Software—Application
Carlsberg A-S,19120000000,CARL.A,Denmark,Consumer Staples,Beverages—Brewers
NICE Ltd.,19120000000,NICE,Israel,Technology,Software—Application
Waters Corporation,19110000000,WAT,United States,Healthcare,Diagnostics & Research
Otsuka Holdings Co. Ltd,19030000000,4578,Japan,Healthcare,Drug Manufacturers—General
Tenaris SA,18980000000,TEN,Luxembourg,Energy,Oil & Gas Equipment & Services
"Citizens Financial Group, Inc.",18950000000,CFG,United States,Financials,Banks
Check Point Software Technologies Ltd.,18940000000,CHKP,Israel,Technology,Software—Infrastructure
Toshiba Corp,18930000000,6502,Japan,Industrials,Specialty Industrial Machinery
"LG Electronics, Inc.",18910000000,066570,South Korea,Technology,Consumer Electronics
Astra International Tbk PT,18900000000,ASJA,Indonesia,Consumer Discretionary,Auto Parts
Omnicom Group Inc.,18800000000,OMC,United States,Communication Services,Advertising Agencies
"Aecc Aviation Power Co.,Ltd",18790000000,600893,China,Industrials,Aerospace & Defense
International Paper Company,18780000000,INPAP,United States,Consumer Discretionary,Packaging & Containers
Scottish Mortgage Investment Trust plc,18780000000,SMT,United Kingdom,Financials,Asset Management
George Weston Limited,18770000000,WN,Canada,Consumer Staples,Grocery Stores
"NetApp, Inc.",18760000000,NTAP,United States,Technology,Computer Hardware
"Healthpeak Properties, Inc.",18760000000,PEAK,United States,Real Estate,REIT—Healthcare Facilities
"MS&AD Insurance Group Holdings, Inc.",18750000000,8725,Japan,Financials,Insurance—Property & Casualty
The Liberty SiriusXM Group,18740000000,LSXMB,United States,Communication Services,Broadcasting
Credit Suisse Group AG,18720000000,CSGN,Switzerland,Financials,Banks
Air China Ltd,18720000000,601111,China,Industrials,Airlines
Power Construction Corp of China Ltd,18690000000,601669,China,Industrials,Engineering & Construction
"JD Health International, Inc.",18690000000,8ZN,China,Healthcare,Medical Care Facilities
South32 Limited,18670000000,S32,Australia,Basic Materials,Other Industrial Metals & Mining
"Huaneng Power International, Inc.",18570000000,600011,China,Utilities,Utilities—Independent Power Producers
Sands China Ltd,18520000000,1928,Macao,Consumer Discretionary,Resorts & Casinos
HEICO Corporation,18490000000,HEI,United States,Industrials,Aerospace & Defense
GF Securities Co. Ltd,18440000000,000776,China,Financials,Capital Markets
Genuine Parts Company,18410000000,GPC,United States,Consumer Discretionary,Specialty Retail
Vodacom Group Ltd,18410000000,VOD,South Africa,Communication Services,Telecom Services
"Take-Two Interactive Software, Inc.",18350000000,TTWO,United States,Communication Services,Electronic Gaming & Multimedia
China Merchants Securities Co. Ltd,18350000000,600999,China,Financials,Capital Markets
"Alnylam Pharmaceuticals, Inc.",18330000000,ALNY,United States,Healthcare,Biotechnology
Aeon Co. Ltd,18320000000,8267,Japan,Consumer Discretionary,Department Stores
Link Real Estate Investment Trust,18270000000,0823,Hong Kong,Real Estate,REIT—Retail
Shionogi & Co. Ltd,18270000000,4507,Japan,Healthcare,Drug Manufacturers—Specialty & Generic
Ubiquiti Inc.,18250000000,UI,United States,Technology,Communication Equipment
"Quanta Services, Inc.",18250000000,PWR,United States,Industrials,Engineering & Construction
"Catalent, Inc.",18240000000,CTLT,United States,Healthcare,Drug Manufacturers—Specialty & Generic
Haitong Securities Co. Ltd,18230000000,600837,China,Financials,Capital Markets
Asahi Group Holdings Ltd,18210000000,2502,Japan,Consumer Staples,Beverages—Brewers
Capitec Bank Holdings Ltd,18210000000,CPI,South Africa,Financials,Banks
Restaurant Brands International Inc.,18190000000,QSR,Canada,Consumer Discretionary,Restaurants
"Yum China Holdings, Inc.",18180000000,YUMC,China,Consumer Discretionary,Restaurants
CEZ AS,18160000000,CEZ,Czechia,Utilities,Utilities—Renewable
Veolia Environnement SA,18140000000,VIE,France,Industrials,Waste Management
"Avis Budget Group, Inc.",18120000000,CAR,United States,Industrials,Rental & Leasing Services
