Unnamed: 0,Name,MarketCap,Stock,Country,Sector,Industry
324,"Xilinx, Inc.",$52.19 B,XLNX,United States,Technology,Semiconductors
325,ITOCHU Corp,$52.19 B,8001,Japan,Industrials,Conglomerates
326,Eni S.p.A.,$52.00 B,ENI,Italy,Energy,Oil & Gas Integrated
327,Stellantis N.V.,$51.80 B,STLA,Netherlands,Consumer Discretionary,Auto Manufacturers
328,BCE Inc.,$51.71 B,BCE,Canada,Communication Services,Telecom Services
329,DENSO Corp,$51.58 B,6902,Japan,Consumer Discretionary,Auto Parts
330,Toyota Motor Corporation,$51.55 B,7203,Japan,Consumer Discretionary,Auto Manufacturers
331,"L3Harris Technologies, Inc.",$51.51 B,LHX,United States,Industrials,Aerospace & Defense
332,"AgriBank, FCB",$51.49 B,AGRIP,United States,Financials,Credit Services
333,General Accident plc,$51.43 B,GACA,United Kingdom,Financials,Insurance—Property & Casualty
334,Archer-Daniels-Midland Company,$51.03 B,ADM,United States,Consumer Staples,Farm Products
335,"American Electric Power Company, Inc.",$50.95 B,AEP,United States,Utilities,Utilities—Regulated Electric
336,Fortescue Metals Group Limited,$50.76 B,FMG,Australia,Basic Materials,Other Industrial Metals & Mining
337,Hon Hai Precision Industry Co. Ltd,$50.75 B,2317,Taiwan,Technology,Electronic Components
338,China Tourism Group Duty Free Corp Ltd,$50.46 B,601888,China,Consumer Discretionary,Travel Services
339,Ecolab Inc.,$50.29 B,ECL,United States,Basic Materials,Specialty Chemicals
340,Novatek PJSC,$50.19 B,NVTK,Russia,Energy,Oil & Gas E&P
341,"Synopsys, Inc.",$50.18 B,SNPS,United States,Technology,Software—Infrastructure
342,Safran SA,$50.02 B,SAF,France,Industrials,Aerospace & Defense
343,"Illumina, Inc.",$49.91 B,ILMN,United States,Healthcare,Diagnostics & Research
344,"MercadoLibre, Inc.",$49.83 B,MELI,Argentina,Consumer Discretionary,Internet Retail
345,"Roper Technologies, Inc.",$49.66 B,ROP,United States,Industrials,Specialty Industrial Machinery
346,The Kraft Heinz Company,$49.42 B,KHC,United States,Consumer Staples,Packaged Foods
347,Centene Corporation,$49.32 B,CNC,United States,Healthcare,Healthcare Plans
348,"Paychex, Inc.",$49.23 B,PAYX,United States,Industrials,Staffing & Employment Services
349,"Honda Motor Co., Ltd.",$49.11 B,7267,Japan,Consumer Discretionary,Auto Manufacturers
350,Hitachi Ltd,$48.92 B,6501,Japan,Industrials,Conglomerates
351,Scentre Group,$48.83 B,SCG,Australia,Real Estate,REIT—Retail
352,"MediaTek, Inc.",$48.74 B,2454,Taiwan,Technology,Semiconductors
353,Lululemon Athletica Inc.,$48.52 B,LULU,Canada,Consumer Discretionary,Apparel Retail
354,Dow Inc.,$48.50 B,DOW,United States,Basic Materials,Chemicals
355,Rosneft Oil Co PJSC,$48.50 B,ROSN,Russia,Energy,Oil & Gas Integrated
356,McKesson Corporation,$48.46 B,MCK,United States,Healthcare,Medical Distribution
357,Suncor Energy Inc.,$48.27 B,SU,Canada,Energy,Oil & Gas Integrated
358,"VMware, Inc.",$48.17 B,VMW,United States,Technology,Software—Infrastructure
359,Johnson Controls International plc,$48.15 B,JCI,Ireland,Industrials,Engineering & Construction
360,"O'Reilly Automotive, Inc.",$48.14 B,ORLY,United States,Consumer Discretionary,Specialty Retail
361,Grupo Mexico SAB de CV,$48.00 B,GMEXICOB,Mexico,Basic Materials,Other Industrial Metals & Mining
362,"CrowdStrike Holdings, Inc.",$47.89 B,CRWD,United States,Technology,Software—Infrastructure
363,Naspers Ltd,$47.73 B,NPN,South Africa,Communication Services,Internet Content & Information
364,"Autodesk, Inc.",$47.69 B,ADSK,United States,Technology,Software—Application
365,"Prudential Financial, Inc.",$47.17 B,PRU,United States,Financials,Insurance—Life
366,Open Joint Stock Company OMZ,$47.15 B,OMZZP,Russia,Industrials,Specialty Industrial Machinery
367,Cognizant Technology Solutions Corporation,$47.07 B,CTSH,United States,Technology,Information Technology Services
368,Nucor Corporation,$46.86 B,NUE,United States,Basic Materials,Steel
369,"DexCom, Inc.",$46.86 B,DXCM,United States,Healthcare,Diagnostics & Research
370,Banco Bradesco SA,$46.71 B,BBDC3,Brazil,Financials,Banks
371,Nidec Corp,$46.33 B,6594,Japan,Industrials,Specialty Industrial Machinery
372,adidas AG,$46.13 B,ADS1,Germany,Consumer Discretionary,Footwear & Accessories
373,Sika AG,$46.01 B,SIKA,Switzerland,Basic Materials,Specialty Chemicals
374,"Baidu, Inc.",$45.98 B,9888,China,Communication Services,Internet Content & Information
375,Takeda Pharmaceutical Company Limited,$45.89 B,4502,Japan,Healthcare,Drug Manufacturers—Specialty & Generic
376,The Hershey Company,$45.83 B,HSY,United States,Consumer Staples,Confectioners
377,Amphenol Corporation,$45.77 B,APH,United States,Technology,Electronic Components
378,Vanjia Corp,$45.74 B,VNJA,United States,Consumer Discretionary,Residential Construction
379,Vodafone Group plc,$45.74 B,VOD,United Kingdom,Communication Services,Telecom Services
380,"IDEXX Laboratories, Inc.",$45.64 B,IDXX,United States,Healthcare,Diagnostics & Research
381,"The Travelers Companies, Inc.",$45.56 B,TRV,United States,Financials,Insurance—Property & Casualty
382,Infineon Technologies AG,$45.35 B,IFXA,Germany,Technology,Semiconductors
383,"Constellation Brands, Inc.",$45.21 B,STZ,United States,Consumer Staples,Beverages—Wineries & Distilleries
384,"Datadog, Inc.",$45.13 B,DDOG,United States,Technology,Software—Application
385,Mitsui & Co. Ltd,$45.09 B,8031,Japan,Energy,Oil & Gas E&P
386,Saudi Arabian Mining Company,$45.00 B,1211,Saudi Arabia,Basic Materials,Other Industrial Metals & Mining
387,PJSC Lukoil,$44.96 B,LKOH,Russia,Energy,Oil & Gas Integrated
388,Intesa Sanpaolo S.p.A.,$44.95 B,ISP,Italy,Financials,Banks
389,TE Connectivity Ltd.,$44.78 B,TEL,Switzerland,Technology,Electronic Components
390,"AutoZone, Inc.",$44.39 B,AZO,United States,Consumer Discretionary,Specialty Retail
391,IQVIA Holdings Inc.,$44.32 B,IQV,United States,Healthcare,Diagnostics & Research
392,Cintas Corporation,$44.32 B,CTAS,United States,Industrials,Specialty Business Services
393,"Cadence Design Systems, Inc.",$44.23 B,CDNS,United States,Technology,Software—Application
394,"Chipotle Mexican Grill, Inc.",$44.11 B,CMG,United States,Consumer Discretionary,Restaurants
395,"Sumitomo Mitsui Financial Group, Inc.",$44.06 B,8316,Japan,Financials,Banks
396,"Samsung Biologics Co.,Ltd.",$44.01 B,207940,South Korea,Healthcare,Biotechnology
397,Wipro Limited,$43.98 B,WIPRO,India,Technology,Information Technology Services
398,Zijin Mining Group Co Ltd,$43.93 B,601899,China,Basic Materials,Gold
399,HP Inc.,$43.90 B,HPQ,United States,Technology,Computer Hardware
400,Lloyds Banking Group plc,$43.70 B,LLOY,United Kingdom,Financials,Banks
401,"Simon Property Group, Inc.",$43.69 B,SPG,United States,Real Estate,REIT—Retail
402,Aflac Incorporated,$43.59 B,AFL,United States,Financials,Insurance—Life
403,Barrick Gold Corporation,$43.50 B,ABX,Canada,Basic Materials,Gold
404,Murata Manufacturing Co. Ltd,$43.41 B,6981,Japan,Technology,Electronic Components
405,"Kinder Morgan, Inc.",$43.38 B,KMI,United States,Energy,Oil & Gas Midstream
406,Kimberly-Clark Corporation,$43.21 B,KMB,United States,Consumer Staples,Household & Personal Products
407,Xiaomi Corp,$43.10 B,1810,China,Technology,Consumer Electronics
408,Wesfarmers Limited,$43.09 B,WES,Australia,Consumer Discretionary,Home Improvement Retail
409,"Republic Services, Inc.",$42.91 B,RSG,United States,Industrials,Waste Management
410,HOYA Corp,$42.88 B,7741,Japan,Healthcare,Medical Instruments & Supplies
411,Yihai Kerry Arawana Holdings Co. Ltd,$42.84 B,300999,China,Consumer Staples,Packaged Foods
412,Monster Beverage Corporation,$42.81 B,MNST,United States,Consumer Staples,Beverages—Non-Alcoholic
413,LONGi Green Energy Technology Co. Ltd,$42.68 B,601012,China,Technology,Semiconductor Equipment & Materials
414,"Corteva, Inc.",$42.66 B,CTVA,United States,Basic Materials,Agricultural Inputs
415,"General Mills, Inc.",$42.65 B,GIS,United States,Consumer Staples,Packaged Foods
416,Seven & i Holdings Co. Ltd,$42.53 B,3382,Japan,Consumer Staples,Grocery Stores
417,DSV PANALPINA A-S,$42.49 B,DSV,Denmark,Industrials,Integrated Freight & Logistics
418,Hilton Worldwide Holdings Inc.,$42.39 B,HLT,United States,Consumer Discretionary,Lodging
419,WuXi AppTec Co. Ltd,$42.25 B,603259,China,Healthcare,Diagnostics & Research
420,Sysco Corporation,$42.22 B,SYY,United States,Consumer Staples,Food Distribution
421,The Kroger Co.,$42.03 B,KR,United States,Consumer Staples,Grocery Stores
422,Manulife Financial Corporation,$41.98 B,MFC,Canada,Financials,Insurance—Life
423,BioNTech SE,$41.93 B,22UA,Germany,Healthcare,Biotechnology
424,STMicroelectronics N.V.,$41.91 B,STM,Switzerland,Technology,Semiconductors
425,Devon Energy Corporation,$41.82 B,DVN,United States,Energy,Oil & Gas E&P
426,"The Williams Companies, Inc.",$41.60 B,WMB,United States,Energy,Oil & Gas Midstream
427,The Allstate Corporation,$41.54 B,ALL,United States,Financials,Insurance—Property & Casualty
428,Hang Seng Bank Limited,$41.47 B,0011,Hong Kong,Financials,Banks
429,Valero Energy Corporation,$41.27 B,VLO,United States,Energy,Oil & Gas Refining & Marketing
430,ING Groep N.V.,$41.25 B,INGA,Netherlands,Financials,Banks
431,MMC Norilsk Nickel PJSC,$41.16 B,GMKN,Russia,Basic Materials,Other Industrial Metals & Mining
432,"Motorola Solutions, Inc.",$40.87 B,MSI,United States,Technology,Communication Equipment
433,"East Money Information Co.,Ltd.",$40.83 B,300059,China,Communication Services,Internet Content & Information
434,The Bank of New York Mellon Corporation,$40.83 B,BK,United States,Financials,Asset Management
435,Carrier Global Corporation,$40.79 B,CARR,United States,Industrials,Building Products & Equipment
436,Oversea-Chinese Banking Corp Ltd,$40.77 B,O39,Singapore,Financials,Banks
437,"Digital Realty Trust, Inc.",$40.64 B,DLR,United States,Real Estate,REIT—Office
438,"Walgreens Boots Alliance, Inc.",$40.55 B,WBA,United States,Healthcare,Pharmaceutical Retailers
439,"Agilent Technologies, Inc.",$40.49 B,A,United States,Healthcare,Diagnostics & Research
440,Global Payments Inc.,$40.35 B,GPN,United States,Industrials,Specialty Business Services
441,CITIC Securities Company Ltd,$40.17 B,600030,China,Financials,Capital Markets
442,Baxter International Inc.,$40.13 B,BAX,United States,Healthcare,Medical Instruments & Supplies
443,BOC Hong Kong Holdings Ltd,$39.99 B,2388,Hong Kong,Financials,Banks
444,MSCI Inc.,$39.97 B,MSCI,United States,Financials,Financial Data & Stock Exchanges
445,Welltower Inc.,$39.96 B,WELL,United States,Real Estate,REIT—Healthcare Facilities
446,Xcel Energy Inc.,$39.76 B,XEL,United States,Utilities,Utilities—Regulated Electric
447,United Overseas Bank Ltd,$39.73 B,U11,Singapore,Financials,Banks
448,Wanhua Chemical Group Co. Ltd,$39.73 B,600309,China,Basic Materials,Chemicals
449,"DuPont de Nemours, Inc.",$39.72 B,DD,United States,Basic Materials,Chemicals
450,EQT AB,$39.71 B,6EQ,Japan,Financials,Asset Management
451,Alimentation Couche-Tard Inc.,$39.56 B,ATD.B,Canada,Consumer Staples,Grocery Stores
452,eBay Inc.,$39.34 B,EBAY,United States,Consumer Discretionary,Internet Retail
453,Givaudan SA,$39.29 B,GIVN,Switzerland,Basic Materials,Specialty Chemicals
454,Novozymes A-S,$39.03 B,NZYM.B,Denmark,Basic Materials,Chemicals
455,Prudential plc,$39.00 B,PRU,United Kingdom,Financials,Insurance—Life
456,Alcon Inc.,$38.90 B,ALC,Switzerland,Healthcare,Medical Instruments & Supplies
457,Ecopetrol SA,$38.69 B,EC,Colombia,Energy,Oil & Gas Integrated
458,Baker Hughes Company,$38.39 B,BKR,United States,Energy,Oil & Gas Equipment & Services
459,"Banco Bilbao Vizcaya Argentaria, SA",$38.25 B,BBVA,Spain,Financials,Banks
460,Dell Technologies Inc.,$38.16 B,DELL,United States,Technology,Computer Hardware
461,Kuaishou Technology,$38.15 B,1024,China,Communication Services,Broadcasting
462,AB Volvo,$38.13 B,VOL4,Sweden,Industrials,Farm & Heavy Construction Machinery
463,Crédit Agricole SA,$38.01 B,ACA,France,Financials,Banks
464,"Dollar Tree, Inc.",$38.00 B,DLTR,United States,Consumer Staples,Discount Stores
465,SBA Communications Corporation,$37.93 B,SBAC,United States,Real Estate,REIT—Specialty
466,Capgemini SE,$37.82 B,CAP,France,Technology,Information Technology Services
467,Daiichi Sankyo Company Ltd,$37.79 B,4568,Japan,Healthcare,Drug Manufacturers—General
468,Compass Group plc,$37.73 B,CPG,United Kingdom,Consumer Discretionary,Restaurants
469,Sartorius Stedim Biotech SA,$37.55 B,DIM,France,Healthcare,Medical Instruments & Supplies
470,PT Bank Rakyat Indonesia (Persero) Tbk,$37.51 B,BYRA,Indonesia,Financials,Banks
471,Phillips 66,$37.51 B,PSX,United States,Energy,Oil & Gas Refining & Marketing
472,Electronic Arts Inc.,$37.38 B,EA,United States,Communication Services,Electronic Gaming & Multimedia
473,Trane Technologies plc,$37.36 B,TT,Ireland,Industrials,Specialty Industrial Machinery
474,SMC Corp,$37.08 B,6273,Japan,Industrials,Specialty Industrial Machinery
475,Parker-Hannifin Corporation,$37.05 B,PH,United States,Industrials,Specialty Industrial Machinery
476,"Tokio Marine Holdings, Inc.",$36.99 B,8766,Japan,Financials,Insurance—Property & Casualty
477,Jiangsu Hengrui Medicine Co. Ltd,$36.90 B,600276,China,Healthcare,Drug Manufacturers—General
478,"Beijing-Shanghai High-Speed Railway Co.,Ltd.",$36.90 B,601816,China,Industrials,Railroads
479,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,$36.89 B,MUV2,Germany,Financials,Insurance—Reinsurance
480,"DoorDash, Inc.",$36.74 B,DASH,United States,Communication Services,Internet Content & Information
481,Shanghai Pudong Development Bank Co. Ltd,$36.72 B,600000,China,Financials,Banks
482,Constellation Software Inc.,$36.67 B,CSU,Canada,Technology,Software—Application
483,Inner Mongolia Yili Industrial Group Co. Ltd,$36.61 B,600887,China,Consumer Staples,Packaged Foods
484,TELUS Corporation,$36.37 B,T,Canada,Communication Services,Telecom Services
485,Public Service Enterprise Group Incorporated,$36.28 B,PEG,United States,Utilities,Utilities—Diversified
486,TransDigm Group Incorporated,$36.14 B,TDG,United States,Industrials,Aerospace & Defense
487,"Waste Connections, Inc.",$36.14 B,WCN,United States,Industrials,Waste Management
488,LyondellBasell Industries N.V.,$35.96 B,LYB,United States,Basic Materials,Specialty Chemicals
489,Danone SA,$35.93 B,BN,France,Consumer Staples,Packaged Foods
490,"Cloudflare, Inc.",$35.92 B,NET,United States,Technology,Software—Infrastructure
491,NIO Limited,$35.86 B,NIO,China,Consumer Discretionary,Auto Manufacturers
492,"Coinbase Global, Inc.",$35.86 B,COIN,United States,Technology,Software—Application
493,"Shanxi Xinghuacun Fen Wine Factory Co.,Ltd.",$35.84 B,600809,China,Consumer Staples,Beverages—Wineries & Distilleries
494,Neste Oyj,$35.57 B,NESTE,Finland,Energy,Oil & Gas Refining & Marketing
495,ResMed Inc.,$35.44 B,RMD,United States,Healthcare,Medical Instruments & Supplies
496,Experian plc,$35.40 B,EXPN,Ireland,Industrials,Consulting Services
497,"Intuitive Surgical, Inc.",$35.37 B,ISRG,United States,Healthcare,Medical Instruments & Supplies
498,Woolworths Group Limited,$35.33 B,WOW,Australia,Consumer Staples,Grocery Stores
499,MPLX LP,$35.27 B,MPLX,United States,Energy,Oil & Gas Midstream
500,Telstra Corporation Limited,$35.24 B,TLS,Australia,Communication Services,Telecom Services
501,Hexagon AB,$35.21 B,HXG,Sweden,Technology,Scientific & Technical Instruments
502,Assicurazioni Generali,$35.20 B,G,Italy,Financials,Insurance—Diversified
503,"AvalonBay Communities, Inc.",$35.19 B,AVB,United States,Real Estate,REIT—Residential
504,Imperial Oil Limited,$35.13 B,IMO,Canada,Energy,Oil & Gas Integrated
505,"Yum! Brands, Inc.",$35.12 B,YUM,United States,Consumer Discretionary,Restaurants
506,Sun Hung Kai Properties Ltd,$35.04 B,0016,Hong Kong,Real Estate,Real Estate—Development
507,"Old Dominion Freight Line, Inc.",$34.94 B,ODFL,United States,Industrials,Trucking
508,"Cheniere Energy, Inc.",$34.92 B,LNG,United States,Energy,Oil & Gas Midstream
509,"Consolidated Edison, Inc.",$34.89 B,ED,United States,Utilities,Utilities—Regulated Electric
510,China CITIC Bank Corp Ltd,$34.84 B,601998,China,Financials,Banks
511,Budweiser Brewing Company APAC Ltd,$34.73 B,1876,Hong Kong,Consumer Staples,Beverages—Brewers
512,ArcelorMittal,$34.66 B,MT,Luxembourg,Basic Materials,Steel
513,"Ameriprise Financial, Inc.",$34.64 B,AMP,United States,Financials,Asset Management
514,Fastenal Company,$34.58 B,FAST,United States,Industrials,Industrial Distribution
515,"Align Technology, Inc.",$34.49 B,ALGN,United States,Healthcare,Medical Devices
516,VERBUND AG,$34.44 B,OEW,Austria,Utilities,Utilities—Renewable
517,Sydney Airport Limited,$34.40 B,SYD,Australia,Industrials,Airports & Air Services
518,"Verisk Analytics, Inc.",$34.39 B,VRSK,United States,Industrials,Consulting Services
519,Z Holdings Corp,$34.24 B,4689,Japan,Consumer Discretionary,Internet Retail
520,Arthur J. Gallagher & Co.,$34.22 B,AJG,United States,Financials,Insurance Brokers
521,Chongqing Zhifei Biological Products Co. Ltd,$34.13 B,300122,China,Healthcare,Biotechnology
522,Equity Residential,$34.11 B,EQR,United States,Real Estate,REIT—Residential
523,"Chunghwa Telecom Co., Ltd.",$34.06 B,2412,Taiwan,Communication Services,Telecom Services
524,"T. Rowe Price Group, Inc.",$34.01 B,TROW,United States,Financials,Asset Management
525,Halliburton Company,$33.95 B,HAL,United States,Energy,Oil & Gas Equipment & Services
526,"Tyson Foods, Inc.",$33.73 B,TSN,United States,Consumer Staples,Farm Products
527,Discover Financial Services,$33.73 B,DFS,United States,Financials,Credit Services
528,Kuehne + Nagel International AG,$33.69 B,KNIN,Switzerland,Industrials,Integrated Freight & Logistics
529,FANUC Corp,$33.68 B,6954,Japan,Industrials,Specialty Industrial Machinery
530,MTR Corp Ltd,$33.66 B,0066,Hong Kong,Industrials,Railroads
531,Poly Developments and Holdings Group Co. Ltd,$33.64 B,600048,China,Real Estate,Real Estate—Development
532,KKR & Co. Inc.,$33.49 B,KKR,United States,Financials,Asset Management
533,"Mizuho Financial Group, Inc.",$33.47 B,8411,Japan,Financials,Banks
534,PTT PCL,$33.46 B,PTT,Thailand,Energy,Oil & Gas Integrated
535,Koninklijke Ahold Delhaize N.V.,$33.43 B,AD,Netherlands,Consumer Staples,Grocery Stores
536,China Vanke Co. Ltd,$33.35 B,000002,China,Real Estate,Real Estate—Development
537,International Flavors & Fragrances Inc.,$33.32 B,IFF,United States,Basic Materials,Specialty Chemicals
538,Telefonaktiebolaget LM Ericsson,$33.29 B,ERIC.A,Sweden,Technology,Communication Equipment
539,China Resources Land Ltd,$33.26 B,1109,Hong Kong,Real Estate,Real Estate—Development
540,"Zoom Video Communications, Inc.",$33.22 B,ZM,United States,Communication Services,Telecom Services
541,Otis Worldwide Corporation,$33.09 B,OTIS,United States,Industrials,Specialty Industrial Machinery
542,Sun Life Financial Inc.,$33.08 B,SLF,Canada,Financials,Insurance—Diversified
543,"Rockwell Automation, Inc.",$33.05 B,ROK,United States,Industrials,Specialty Industrial Machinery
544,Aptiv PLC,$33.02 B,APTV,Ireland,Consumer Discretionary,Auto Parts
545,Cenovus Energy Inc.,$33.02 B,CVE,Canada,Energy,Oil & Gas Integrated
546,Deutsche Börse AG,$32.99 B,DB1,Germany,Financials,Financial Data & Stock Exchanges
547,Orange SA,$32.84 B,ORA,France,Communication Services,Telecom Services
548,Hess Corporation,$32.81 B,HES,United States,Energy,Oil & Gas E&P
549,NatWest Group plc,$32.72 B,NWG,United Kingdom,Financials,Banks
550,"Ross Stores, Inc.",$32.71 B,ROST,United States,Consumer Discretionary,Apparel Retail
551,"WEC Energy Group, Inc.",$32.54 B,WEC,United States,Utilities,Utilities—Regulated Electric
552,AmerisourceBergen Corporation,$32.51 B,ABC,United States,Healthcare,Medical Distribution
553,China Overseas Land & Investment Ltd,$32.49 B,0688,Hong Kong,Real Estate,Real Estate—Development
554,WuXi Biologics,$32.41 B,2269,China,Healthcare,Biotechnology
555,CITIC Ltd,$32.33 B,0267,Hong Kong,Industrials,Conglomerates
556,"Cellnex Telecom, SA",$32.32 B,CLNX,Spain,Communication Services,Telecom Services
557,Haier Smart Home Co Ltd,$32.31 B,600690,China,Consumer Discretionary,"Furnishings, Fixtures & Appliances"
558,Singapore Telecommunications Ltd,$32.23 B,Z74,Singapore,Communication Services,Telecom Services
559,ANTA Sports Products Ltd,$32.20 B,2020,China,Consumer Discretionary,Leisure
560,Barclays plc,$32.19 B,BARC,United Kingdom,Financials,Banks
561,Brown-Forman Corporation,$32.07 B,BF.B,United States,Consumer Staples,Beverages—Wineries & Distilleries
562,WEG SA,$32.05 B,WEGE3,Brazil,Industrials,Specialty Industrial Machinery
563,PACCAR Inc,$32.04 B,PCAR,United States,Industrials,Farm & Heavy Construction Machinery
564,Great Wall Motor Co Ltd,$32.01 B,601633,China,Consumer Discretionary,Auto Manufacturers
565,Longfor Group Holdings Ltd,$31.98 B,0960,China,Real Estate,Real Estate—Development
566,"JAPAN POST BANK Co.,Ltd.",$31.93 B,7182,Japan,Financials,Banks
567,"PPG Industries, Inc.",$31.89 B,PPG,United States,Basic Materials,Specialty Chemicals
568,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,$31.78 B,TLK,Indonesia,Communication Services,Telecom Services
569,Mettler-Toledo International Inc.,$31.78 B,MTD,United States,Healthcare,Diagnostics & Research
570,"ONEOK, Inc.",$31.66 B,OKE,United States,Energy,Oil & Gas Midstream
571,Goodman Group,$31.64 B,GMG,Australia,Real Estate,REIT—Diversified
572,Corning Incorporated,$31.60 B,GLW,United States,Technology,Electronic Components
573,"Japan Tobacco, Inc.",$31.59 B,2914,Japan,Consumer Staples,Tobacco
574,Foxconn Industrial Internet Co. Ltd,$31.58 B,601138,China,Technology,Communication Equipment
575,Eversource Energy,$31.56 B,ES,United States,Utilities,Utilities—Regulated Electric
576,China Telecom Corp Ltd,$31.49 B,0728,Hong Kong,Communication Services,Telecom Services
577,CRH plc,$31.45 B,CRH,Ireland,Basic Materials,Building Materials
578,Japan Post Holdings Co. Ltd,$31.41 B,6178,Japan,Financials,Banks
579,Biogen Inc.,$31.35 B,BIIB,United States,Healthcare,Drug Manufacturers—General
580,Swisscom AG,$31.26 B,SCMN,Switzerland,Communication Services,Telecom Services
581,Koninklijke DSM N.V.,$31.25 B,DSM,Netherlands,Basic Materials,Specialty Chemicals
582,Formosa Petrochemical Corp,$31.22 B,6505,Taiwan,Energy,Oil & Gas Refining & Marketing
583,Zhangzhou Pientzehuang Pharmaceutical. Ltd,$31.17 B,600436,China,Healthcare,Drug Manufacturers—General
584,"AMETEK, Inc.",$31.15 B,AME,United States,Industrials,Specialty Industrial Machinery
585,E.ON SE,$31.12 B,EOAA,Germany,Utilities,Utilities—Diversified
586,China Pacific Insurance,$31.04 B,601601,China,Financials,Insurance—Life
587,"Zscaler, Inc.",$31.03 B,ZS,United States,Technology,Software—Infrastructure
588,Anhui Conch Cement Company Ltd,$31.02 B,600585,China,Basic Materials,Building Materials
589,Franco-Nevada Corporation,$31.00 B,FNV,Canada,Basic Materials,Gold
590,Engie SA,$31.00 B,ENGI,France,Utilities,Utilities—Diversified
591,State Street Corporation,$30.95 B,STT,United States,Financials,Asset Management
592,SAIC Motor Corp Ltd,$30.93 B,600104,China,Consumer Discretionary,Auto Manufacturers
593,Nokia Corporation,$30.91 B,NOKIA.SEK,Finland,Technology,Communication Equipment
594,"Twitter, Inc.",$30.83 B,TWTR,United States,Communication Services,Internet Content & Information
595,Veeva Systems Inc.,$30.76 B,VEEV,United States,Healthcare,Health Information Services
596,Loblaw Companies Limited,$30.70 B,L,Canada,Consumer Staples,Grocery Stores
597,Energy Transfer LP,$30.69 B,ET,United States,Energy,Oil & Gas Midstream
598,Henkel AG & Co KGaA,$30.53 B,HEN,Germany,Consumer Staples,Household & Personal Products
599,"Coupang, Inc.",$30.53 B,CPNG,South Korea,Consumer Discretionary,Internet Retail
600,Ferguson plc,$30.52 B,FERG,United Kingdom,Industrials,Industrial Distribution
601,BAE Systems plc,$30.51 B,BA.,United Kingdom,Industrials,Aerospace & Defense
602,Fifth Third Bancorp,$30.46 B,FITB,United States,Financials,Banks
603,"CBRE Group, Inc.",$30.45 B,CBRE,United States,Real Estate,Real Estate Services
604,"American Water Works Company, Inc.",$30.43 B,AWK,United States,Utilities,Utilities—Regulated Water
605,Fujitsu Ltd,$30.28 B,6702,Japan,Technology,Information Technology Services
606,"West Pharmaceutical Services, Inc.",$30.23 B,WST,United States,Healthcare,Medical Instruments & Supplies
607,Compagnie de Saint-Gobain SA,$30.16 B,SGO,France,Industrials,Building Products & Equipment
608,"Alexandria Real Estate Equities, Inc.",$30.10 B,ARE,United States,Real Estate,REIT—Office
609,ASSA ABLOY AB,$30.05 B,ALZ,Sweden,Industrials,Security & Protection Services
610,Cummins Inc.,$29.94 B,CMI,United States,Industrials,Specialty Industrial Machinery
611,Vestas Wind Systems A-S,$29.93 B,VWS,Denmark,Industrials,Specialty Industrial Machinery
612,Riyad Bank,$29.86 B,1010,Saudi Arabia,Financials,Banks
613,Willis Towers Watson plc,$29.85 B,WLTW,United Kingdom,Financials,Insurance Brokers
614,"Match Group, Inc.",$29.82 B,MTCH,United States,Communication Services,Internet Content & Information
615,KBC Group NV,$29.81 B,KDB,Belgium,Financials,Banks
616,UniCredit S.p.A.,$29.65 B,UCG,Italy,Financials,Banks
617,Cathay Financial Holding Co. Ltd,$29.58 B,2882,Taiwan,Financials,Insurance—Life
618,"Copart, Inc.",$29.58 B,CPRT,United States,Industrials,Specialty Business Services
619,Spotify Technology SA,$29.56 B,SPOT,Luxembourg,Communication Services,Internet Content & Information
620,"Nasdaq, Inc.",$29.52 B,NDAQ,United States,Financials,Financial Data & Stock Exchanges
621,Weyerhaeuser Company,$29.42 B,WY,United States,Real Estate,REIT—Specialty
622,Saudi Electricity Company,$29.42 B,5110,Saudi Arabia,Utilities,Utilities—Regulated Electric
623,Ball Corporation,$29.40 B,BLL,United States,Consumer Discretionary,Packaging & Containers
624,"Keysight Technologies, Inc.",$29.40 B,KEYS,United States,Technology,Scientific & Technical Instruments
625,"Astellas Pharma, Inc.",$29.22 B,4503,Japan,Healthcare,Drug Manufacturers—General
626,"Amadeus IT Group, SA",$29.19 B,AMS,Spain,Technology,Information Technology Services
627,Electricité de France SA,$29.17 B,EDF,France,Utilities,Utilities—Diversified
628,Rogers Communications Inc.,$29.13 B,RCI.B,Canada,Communication Services,Telecom Services
629,Tongwei Co. Ltd,$29.10 B,600438,China,Consumer Staples,Farm Products
630,Las Vegas Sands Corp.,$29.07 B,LVS,United States,Consumer Discretionary,Resorts & Casinos
631,RWE AG,$29.06 B,RWE,Germany,Utilities,Utilities—Diversified
632,COSCO SHIPPING Holdings Co Ltd,$28.93 B,601919,China,Industrials,Marine Shipping
633,SVB Financial Group,$28.91 B,SIVB,United States,Financials,Banks
634,CSX Corporation,$28.90 B,CSX,United States,Industrials,Railroads
635,Techtronic Industries Company Ltd,$28.75 B,0669,Hong Kong,Industrials,Tools & Accessories
636,"Naturgy Energy Group, SA",$28.71 B,NTGY,Spain,Utilities,Utilities—Regulated Gas
637,APA Group,$28.55 B,APA,Australia,Utilities,Utilities—Regulated Gas
