name,marketCap,stock,sector,industry,country
Chocoladefabriken Lindt & Sprüngli AG,$27.08 B,LISN,Consumer Staples,Confectioners,Switzerland
"ANSYS, Inc.",$26.98 B,ANSS,Technology,Software—Application,United States
Shaanxi Coal Industry Company Ltd,$26.95 B,601225,Energy,Thermal Coal,China
Aier Eye Hospital Group Co. Ltd,$26.95 B,300015,Healthcare,Medical Care Facilities,China
"Zimmer Biomet Holdings, Inc.",$26.94 B,ZBH,Healthcare,Medical Devices,United States
Bridgestone Corp,$26.88 B,5108,Consumer Discretionary,Auto Parts,Japan
Evolution Gaming Group AB,$26.82 B,EVO,Consumer Discretionary,Gambling,Sweden
Beijing Wantai Biological Pharmacy Enterprise Co. Ltd,$26.80 B,603392,Healthcare,Biotechnology,China
Vonovia SE,$26.78 B,VNA,Real Estate,Real Estate Services,Germany
Sandvik AB,$26.71 B,SAND,Industrials,Specialty Industrial Machinery,Sweden
"Cheniere Energy Partners, L.P.",$26.68 B,CQP,Energy,Oil & Gas Midstream,United States
PG&E Corporation,$26.66 B,PCG,Utilities,Utilities—Regulated Electric,United States
Kansas City Southern,,KSU,Industrials,Railroads,United States
Unity Software Inc.,$26.56 B,U,Technology,Software—Application,United States
Thales SA,$26.55 B,HO,Industrials,Aerospace & Defense,France
Southwest Airlines Co.,$26.52 B,LUV,Industrials,Airlines,United States
DTE Energy Company,$26.41 B,DTE,Utilities,Utilities—Regulated Electric,United States
Intact Financial Corporation,$26.40 B,IFC,Financials,Insurance—Property & Casualty,Canada
Deutsche Bank AG,$26.38 B,DBK,Financials,Banks,Germany
Canon Inc.,$26.38 B,7751,Technology,Computer Hardware,Japan
"LYONDELLBASELL ADVANCED POLYMERS, Inc.",$26.38 B,SLMNP,Basic Materials,Chemicals,United States
National Bank of Canada,$26.29 B,NA,Financials,Banks,Canada
Sonova Holding AG,$26.22 B,SOON,Healthcare,Medical Instruments & Supplies,Switzerland
Realty Income Corporation,$26.18 B,O,Real Estate,REIT—Retail,United States
China Everbright Bank Company Ltd,$26.13 B,601818,Financials,Banks,China
Twilio Inc.,$26.09 B,TWLO,Communication Services,Internet Content & Information,United States
Roblox Corp,$26.05 B,RBLX,Communication Services,Electronic Gaming & Multimedia,United States
"Telefónica, SA",$26.04 B,TEF,Communication Services,Telecom Services,Spain
Central Japan Railway Co,$26.00 B,9022,Industrials,Railroads,Japan
Li Auto Inc.,$25.83 B,LI,Consumer Discretionary,Auto Manufacturers,China
EnBW Energie Baden-Wuerttemberg AG,$25.82 B,EBK,Utilities,Utilities—Diversified,Germany
"The Hartford Financial Services Group, Inc.",$25.76 B,HIG,Financials,Insurance—Diversified,United States
Laboratory Corporation of America Holdings,$25.75 B,LH,Healthcare,Diagnostics & Research,United States
"MongoDB, Inc.",$25.73 B,MDB,Technology,Software—Infrastructure,United States
Mitsubishi Electric Corporation,$25.61 B,6503,Industrials,Electrical Equipment & Parts,Japan
Banco Santander (Brasil) SA,$25.59 B,SANB11,Financials,Banks,Brazil
Axis Bank Ltd,$25.54 B,AXISBANK,Financials,Banks,India
"United Rentals, Inc.",$25.46 B,URI,Industrials,Rental & Leasing Services,United States
Nan Ya Plastics Corp,$25.41 B,1303,Basic Materials,Specialty Chemicals,Taiwan
Lennar Corporation,$25.34 B,LEN,Consumer Discretionary,Residential Construction,United States
Straumann Holding AG,$25.31 B,STMN,Healthcare,Medical Instruments & Supplies,Switzerland
CLP Holdings Ltd,$25.29 B,0002,Utilities,Utilities—Regulated Electric,Hong Kong
Yanzhou Coal Mining Company Ltd,$25.26 B,600188,Energy,Thermal Coal,China
FirstEnergy Corp.,$25.26 B,FE,Utilities,Utilities—Diversified,United States
Albemarle Corporation,$25.25 B,ALB,Basic Materials,Specialty Chemicals,United States
CK Asset Holdings Limited,$25.21 B,1113,Real Estate,Real Estate—Development,Hong Kong
"Enphase Energy, Inc.",$25.20 B,ENPH,Technology,Solar,United States
Legrand SA,$25.19 B,LR,Industrials,Specialty Industrial Machinery,France
Galaxy Entertainment Group Ltd,$25.17 B,0027,Consumer Discretionary,Resorts & Casinos,Hong Kong
Skandinaviska Enskilda Banken AB,$25.15 B,SEB.A,Financials,Banks,Sweden
The Mosaic Company,$25.09 B,MOS,Basic Materials,Agricultural Inputs,United States
CDW Corporation,$25.04 B,CDW,Technology,Information Technology Services,United States
"Gartner, Inc.",$25.03 B,IT,Technology,Information Technology Services,United States
"EDP Renováveis, SA",,EDPR,Utilities,Utilities—Renewable,Spain
"Delta Air Lines, Inc.",$24.92 B,DAL,Industrials,Airlines,United States
Palantir Technologies Inc.,$24.91 B,PLTR,Technology,Software—Infrastructure,United States
Seagen Inc.,$24.87 B,SGEN,Healthcare,Biotechnology,United States
"Diamondback Energy, Inc.",$24.84 B,FANG,Energy,Oil & Gas E&P,United States
"VeriSign, Inc.",$24.81 B,VRSN,Technology,Software—Infrastructure,United States
"Church & Dwight Co., Inc.",$24.81 B,CHD,Consumer Staples,Household & Personal Products,United States
Ameren Corporation,$24.79 B,AEE,Utilities,Utilities—Regulated Electric,United States
China Minsheng Banking Corp Ltd,$24.65 B,600016,Financials,Banks,China
"Live Nation Entertainment, Inc.",$24.61 B,LYV,Communication Services,Entertainment,United States
Woodside Petroleum Ltd,$24.60 B,WPL,Energy,Oil & Gas E&P,Australia
Evergreen Marine Corp ,$24.49 B,2603,Industrials,Marine Shipping,Taiwan
"Aena S.M.E., SA",$24.45 B,AENA,Industrials,Airports & Air Services,Spain
XPeng Inc.,$24.44 B,XPEV,Consumer Discretionary,Auto Manufacturers,China
Northern Trust Corporation,$24.42 B,NTRS,Financials,Asset Management,United States
"Slack Technologies, Inc.",,WORK,Technology,Software—Application,United States
"Mid-America Apartment Communities, Inc.",$24.18 B,MAA,Real Estate,REIT—Residential,United States
Fresenius SE & Co KGaA,$24.12 B,FRE,Healthcare,Medical Care Facilities,Germany
FUJIFILM Holdings Corp,$24.12 B,4901,Industrials,Business Equipment & Supplies,Japan
BT Group plc,$24.09 B,BT.A,Communication Services,Telecom Services,United Kingdom
Vulcan Materials Company,$24.08 B,VMC,Basic Materials,Building Materials,United States
Epiroc AB ,$24.08 B,3AD2,Industrials,Farm & Heavy Construction Machinery,Sweden
"Delta Electronics, Inc.",$24.05 B,2308,Technology,Electronic Components,Taiwan
Public Joint Stock Company Polyus,,PLZL,Basic Materials,Gold,Russia
Schindler Holding AG,$24.02 B,SCHN,Industrials,Specialty Industrial Machinery,Switzerland
ORIX Corporation,$23.97 B,8591,Financials,Credit Services,Japan
"Martin Marietta Materials, Inc.",$23.94 B,MLM,Basic Materials,Building Materials,United States
CSC Financial Co. Ltd,$23.94 B,601066,Financials,Capital Markets,China
"Best Buy Co., Inc.",$23.93 B,BBY,Consumer Discretionary,Specialty Retail,United States
STERIS plc,$23.93 B,STE,Healthcare,Medical Instruments & Supplies,Ireland
Entergy Corporation,$23.92 B,ETR,Utilities,Utilities—Diversified,United States
"M3, Inc.",$23.89 B,2413,Healthcare,Health Information Services,Japan
Splunk Inc.,$23.84 B,SPLK,Technology,Software—Infrastructure,United States
EVE Energy Co. Ltd,$23.82 B,300014,Industrials,Electrical Equipment & Parts,China
"Ventas, Inc.",$23.81 B,VTR,Real Estate,REIT—Healthcare Facilities,United States
"Endesa, SA",$23.78 B,ELE,Utilities,Utilities—Regulated Electric,Spain
SSE plc,$23.73 B,SSE,Utilities,Utilities—Diversified,United Kingdom
Compagnie Générale des Etablissements Michelin SCA,$23.65 B,ML,Consumer Discretionary,Auto Parts,France
Horizon Therapeutics Public Limited Company,$23.64 B,HZNP,Healthcare,Drug Manufacturers—General,Ireland
Baoshan Iron & Steel Co. Ltd,$23.59 B,600019,Basic Materials,Steel,China
"Stanley Black & Decker, Inc.",$23.57 B,SWK,Industrials,Tools & Accessories,United States
Sungrow Power Supply Co. Ltd,$23.55 B,300274,Industrials,Electrical Equipment & Parts,China
Beiersdorf AG,$23.51 B,BEI,Consumer Staples,Household & Personal Products,Germany
PT Bank Mandiri (Persero) Tbk,,PQ9,Financials,Banks,Indonesia
First Quantum Minerals Ltd.,$23.47 B,FM,Basic Materials,Copper,Canada
Kubota Corp,$23.46 B,6326,Industrials,Farm & Heavy Construction Machinery,Japan
MTN Group Ltd,$23.45 B,MTN,Communication Services,Telecom Services,South Africa
"Maxim Integrated Products, Inc.",,MXIM,Technology,Semiconductors,United States
"Rocket Companies, Inc.",$23.44 B,RKT,Financials,Mortgage Finance,United States
Fortis Inc.,$23.43 B,FTS,Utilities,Utilities—Regulated Electric,Canada
Formosa Plastics Corp,$23.42 B,1301,Basic Materials,Specialty Chemicals,Taiwan
Liberty Broadband Corporation,$23.40 B,LBRDK,Communication Services,Entertainment,United States
United Microelectronics Corporation,$23.35 B,2303,Technology,Semiconductors,Taiwan
Garmin Ltd.,$23.35 B,GRMN,Technology,Scientific & Technical Instruments,Switzerland
Huazhu Group Limited,$23.34 B,HTHT,Consumer Discretionary,Lodging,China
Carnival Corporation & plc,$23.29 B,CCL,Consumer Discretionary,Travel Services,United States
Sany Heavy Industry Co. Ltd,$23.27 B,600031,Industrials,Farm & Heavy Construction Machinery,China
Fox Corporation,$23.26 B,FOXA,Communication Services,Broadcasting,United States
Wens Foodstuff Group Co. Ltd,$23.20 B,300498,Consumer Staples,Farm Products,China
Société Générale SA,$23.18 B,GLE,Financials,Banks,France
Terumo Corp,$23.16 B,4543,Healthcare,Medical Instruments & Supplies,Japan
China International Capital Corp Ltd,$23.13 B,601995,Financials,Capital Markets,China
Invitation Homes Inc.,$23.09 B,INVH,Real Estate,REIT—Residential,United States
Royalty Pharma plc,$23.04 B,RPRX,Healthcare,Biotechnology,United States
Olympus Corp,$23.00 B,7733,Healthcare,Medical Instruments & Supplies,Japan
V.F. Corporation,$22.96 B,VFC,Consumer Discretionary,Apparel Manufacturing,United States
Dover Corporation,$22.94 B,DOV,Industrials,Specialty Industrial Machinery,United States
PPL Corporation,$22.87 B,PPL,Utilities,Utilities—Regulated Electric,United States
"Hengli Petrochemical Co.,Ltd.",$22.86 B,600346,Consumer Discretionary,Textile Manufacturing,China
Genmab A/S,$22.83 B,GMAB,Healthcare,Biotechnology,Denmark
SABIC Agri-Nutrients Company,$22.78 B,2020,Basic Materials,Agricultural Inputs,Saudi Arabia
Heineken Holding N.V.,$22.78 B,HEIO,Consumer Staples,Beverages—Brewers,Netherlands
East Japan Railway Company,$22.78 B,9020,Industrials,Railroads,Japan
Sociedad Química y Minera de Chile SA,$22.77 B,SQM,Basic Materials,Chemicals,Chile
Eurofins Scientific SE,,ERF,,,
Panasonic Corp,$22.73 B,6752,Technology,Consumer Electronics,Japan
UCB SA,$22.71 B,UCB,Healthcare,Biotechnology,Belgium
Shanghai International Port ,$22.65 B,600018,Industrials,Marine Shipping,China
Hewlett Packard Enterprise Company,$22.65 B,HPE,Technology,Communication Equipment,United States
Kellogg Company,$22.63 B,K,Consumer Staples,Packaged Foods,United States
PICC Property and Casualty Company Ltd,$22.62 B,2328,Financials,Insurance—Property & Casualty,China
Grupo Financiero Banorte SAB de CV,$22.60 B,GFNORTEO,Financials,Banks,Mexico
Komatsu Ltd,$22.56 B,6301,Industrials,Farm & Heavy Construction Machinery,Japan
The Hong Kong and China Gas Company Ltd,$22.54 B,0003,Utilities,Utilities—Regulated Gas,Hong Kong
Coca-Cola Europacific Partners plc,$22.53 B,CCEP,Consumer Staples,Beverages—Non-Alcoholic,United Kingdom
"Essex Property Trust, Inc.",$22.51 B,ESS,Real Estate,REIT—Residential,United States
EMS-CHEMIE HOLDING AG,$22.48 B,EMSN,Basic Materials,Specialty Chemicals,Switzerland
"Okta, Inc.",$22.45 B,OKTA,Technology,Software—Infrastructure,United States
China National Nuclear Power Co. Ltd,$22.42 B,601985,Utilities,Utilities—Independent Power Producers,China
Sumitomo Corp,$22.42 B,8053,Industrials,Conglomerates,Japan
Tata Motors Limited,$22.38 B,TTM,Consumer Discretionary,Auto Manufacturers,India
Banco do Brasil SA,$22.36 B,BBAS3,Financials,Banks,Brazil
Hennes & Mauritz AB,$22.33 B,HM.B,Consumer Discretionary,Apparel Manufacturing,Sweden
"Bio-Rad Laboratories, Inc.",,BIO,Healthcare,Medical Devices,United States
Teleperformance SE,$22.30 B,TEP,Industrials,Consulting Services,France
"Fomento Económico Mexicano, S.A.B. de C.V.",,FEMSAUB,Consumer Staples,Beverages—Brewers,Mexico
"Huntington Bancshares, Inc.",$22.26 B,HU3,Financials,Banks,United States
"Continental Resources, Inc.",$22.25 B,CLR,Energy,Oil & Gas E&P,United States
CRRC Corp Ltd,$22.21 B,601766,Industrials,Railroads,China
"Skyworks Solutions, Inc.",$22.17 B,SWKS,Technology,Semiconductors,United States
XP Inc.,,XPBR31,Financials,Capital Markets,Brazil
Unicharm Corp,$22.08 B,8113,Consumer Staples,Household & Personal Products,Japan
ZTO Express (Cayman) Inc.,$22.05 B,ZTO,Industrials,Integrated Freight & Logistics,China
Geberit AG,$22.03 B,GEBN,Industrials,Building Products & Equipment,Switzerland
Toyota Industries Corp,$21.99 B,6201,Consumer Discretionary,Auto Manufacturers,Japan
Cincinnati Financial Corporation,$21.99 B,CINF,Financials,Insurance—Property & Casualty,United States
"CF Industries Holdings, Inc.",$21.95 B,CF,Basic Materials,Agricultural Inputs,United States
NIBE Industrier AB ,$21.93 B,NJB,Industrials,Building Products & Equipment,Sweden
CNH Industrial N.V.,$21.93 B,CNHI,Industrials,Farm & Heavy Construction Machinery,United Kingdom
Huntington Bancshares Incorporated,$21.93 B,HBAN,Financials,Banks,United States
Duke Realty Corporation,$21.93 B,DRE,Real Estate,REIT—Industrial,United States
Restaurant Brands International Limited Partnership,,QSP.UN,Consumer Discretionary,Restaurants,Canada
"Monolithic Power Systems, Inc.",$21.87 B,MPWR,Technology,Semiconductors,United States
Zebra Technologies Corporation,$21.87 B,ZBRA,Technology,Communication Equipment,United States
"Ulta Beauty, Inc.",$21.82 B,ULTA,Consumer Discretionary,Specialty Retail,United States
"Dai-ichi Life Holdings, Inc.",$21.76 B,8750,Financials,Insurance—Life,Japan
M&T Bank Corporation,$21.74 B,MTB,Financials,Banks,United States
KeyCorp,$21.71 B,KEY,Financials,Banks,United States
Teledyne Technologies Incorporated,$21.65 B,TDY,Technology,Scientific & Technical Instruments,United States
"B3 S.A. - Brasil, Bolsa, Balcao",$21.58 B,B3SA3,Financials,Financial Data & Stock Exchanges,Brazil
"Contura Energy, Inc.",$21.57 B,CTRA,Energy,Thermal Coal,United States
"Shimano, Inc.",$21.51 B,7309,Consumer Discretionary,Leisure,Japan
Power Corporation of Canada,$21.48 B,POW,Financials,Insurance—Life,Canada
"J.B. Hunt Transport Services, Inc.",$21.48 B,JBHT,Industrials,Integrated Freight & Logistics,United States
Mitsui Fudosan Co. Ltd,$21.46 B,8801,Real Estate,Real Estate—Diversified,Japan
The Saudi British Bank,$21.45 B,1060,Financials,Banks,Saudi Arabia
SGS SA,$21.43 B,SGSN,Industrials,Consulting Services,Switzerland
Teck Resources Limited,$21.41 B,TECK.B,Basic Materials,Other Industrial Metals & Mining,Canada
Rede D'Or São Luiz SA,$21.40 B,RDOR3,Healthcare,Medical Care Facilities,Brazil
NEXON Co. Ltd,$21.36 B,3659,Communication Services,Electronic Gaming & Multimedia,Japan
"The Cooper Companies, Inc.",$21.35 B,COO,Healthcare,Medical Instruments & Supplies,United States
Legal & General Group plc,$21.34 B,LGEN,Financials,Insurance—Life,United Kingdom
Regions Financial Corporation,$21.32 B,RF,Financials,Banks,United States
Wheaton Precious Metals Corp.,$21.26 B,WPM,Basic Materials,Gold,Canada
ZoomInfo Technologies Inc.,$21.23 B,ZI,Technology,Software—Application,United States
ViacomCBS Inc.,,VIACA,Communication Services,Entertainment,United States
China Northern Rare Earth ,$21.21 B,600111,Basic Materials,Other Industrial Metals & Mining,China
Seagate Technology plc,$21.21 B,STX,Technology,Computer Hardware,Ireland
China Mengniu Dairy Co Ltd,$21.17 B,2319,Consumer Staples,Packaged Foods,Hong Kong
Ingersoll Rand Inc.,$21.13 B,IR,Industrials,Specialty Industrial Machinery,United States
SEGRO plc,$21.08 B,SGRO,Real Estate,REIT—Industrial,United Kingdom
Yandex N.V.,,YNDX,Communication Services,Internet Content & Information,Netherlands
Microchip Technology Incorporated,$21.03 B,MCHP,Technology,Semiconductors,United States
"HubSpot, Inc.",$20.93 B,HUBS,Technology,Software—Application,United States
"FLEETCOR Technologies, Inc.",$20.92 B,FLT,Technology,Information Technology Services,United States
Fortive Corporation,$20.88 B,FTV,Technology,Scientific & Technical Instruments,United States
AppLovin Corp,$20.86 B,APP,Technology,Software—Application,United States
Royal Caribbean Cruises Ltd.,$20.81 B,RCL,Consumer Discretionary,Travel Services,United States
Repsol SA,$20.80 B,REP,Energy,Oil & Gas Integrated,Spain
Marubeni Corp,$20.78 B,8002,Industrials,Conglomerates,Japan
Standard Chartered plc,$20.78 B,STAN,Financials,Banks,United Kingdom
Li Ning Co Ltd,$20.75 B,2331,Consumer Discretionary,Leisure,China
CMS Energy Corporation,$20.73 B,CMS,Utilities,Utilities—Regulated Electric,United States
STERIS Corp,,S1TE34,Healthcare,Medical Devices,United States
Advanced Info Service PCL,$20.65 B,ADVANC,Communication Services,Telecom Services,Thailand
Kyocera Corp,$20.62 B,6971,Technology,Consumer Electronics,Japan
Pembina Pipeline Corporation,$20.61 B,PPL,Energy,Oil & Gas Midstream,Canada
Flutter Entertainment plc,$20.58 B,FLTR,Consumer Discretionary,Gambling,Ireland
Sojitz Corp,$20.55 B,2768,Industrials,Conglomerates,Japan
"Boston Properties, Inc.",$20.54 B,BXP,Real Estate,REIT—Office,United States
Synchrony Financial,$20.43 B,SYF,Financials,Credit Services,United States
Alinma Bank,$20.41 B,1150,Financials,Banks,Saudi Arabia
Investment AB Latour,$20.39 B,LATO.B,Financials,Asset Management,Sweden
Mitsubishi Estate Co. Ltd,$20.39 B,8802,Real Estate,Real Estate—Diversified,Japan
Guotai Junan Securities Co. Ltd,$20.39 B,601211,Financials,Capital Markets,China
Nippon Paint Holdings Co. Ltd,$20.38 B,4612,Basic Materials,Specialty Chemicals,Japan
Carvana Co.,$20.33 B,CVNA,Consumer Discretionary,Internet Retail,United States
Markel Corporation,$20.30 B,MKL,Financials,Insurance—Property & Casualty,United States
"Brown & Brown, Inc.",$20.27 B,BRO,Financials,Insurance Brokers,United States
Nomura Research Institute Ltd,$20.26 B,4307,Technology,Information Technology Services,Japan
MGM Resorts International,$20.22 B,MGM,Consumer Discretionary,Resorts & Casinos,United States
Mega Financial Holding Co. Ltd,$20.21 B,2886,Financials,Banks,Taiwan
Telefônica Brasil SA,$20.19 B,VIV,Communication Services,Telecom Services,Brazil
Swiss Life Holding AG,$20.16 B,SLHN,Financials,Insurance—Diversified,Switzerland
Telenor ASA,$20.15 B,TEL,,,
China Railway Group Ltd,$20.15 B,0390,Industrials,Engineering & Construction,Hong Kong
CTBC Financial Holding Co. Ltd,$20.15 B,2891,Financials,Insurance—Life,Taiwan
Imperial Brands plc,$20.14 B,IMB,Consumer Staples,Tobacco,United Kingdom
"Principal Financial Group, Inc.",$20.13 B,PFG,Financials,Insurance—Diversified,United States
Norsk Hydro ASA,$20.10 B,NHY,,,
"PerkinElmer, Inc.",$20.05 B,PKI,Healthcare,Diagnostics & Research,United States
Hannover Rück SE,$20.02 B,HNRB,Financials,Insurance—Reinsurance,Germany
"Sun Communities, Inc.",$19.98 B,SUI,Real Estate,REIT—Residential,United States
Tradeweb Markets Inc.,$19.98 B,TW,Financials,Capital Markets,United States
Trina Solar Co. Ltd,$19.94 B,688599,Technology,Solar,China
Vedanta Limited,$19.93 B,VEDL,Basic Materials,Other Industrial Metals & Mining,India
"Paycom Software, Inc.",$19.87 B,PAYC,Technology,Software—Application,United States
Klabin SA,,KLBN11,Basic Materials,Paper & Paper Products,Brazil
Kao Corp,$19.85 B,4452,Consumer Staples,Household & Personal Products,Japan
"Teradyne, Inc.",$19.85 B,TER,Technology,Semiconductor Equipment & Materials,United States
China Resources Beer (Holdings) Company Ltd,$19.84 B,0291,Consumer Staples,Beverages—Brewers,Hong Kong
China Communications Construction Co Ltd,$19.83 B,601800,Industrials,Engineering & Construction,China
Aviva plc,$19.82 B,AV.,Financials,Insurance—Diversified,United Kingdom
Standard Bank Group Ltd,$19.82 B,SBK,Financials,Banks,South Africa
Ryanair Holdings plc,,RY4C,Industrials,Airlines,Ireland
"Hologic, Inc.",$19.75 B,HOLX,Healthcare,Medical Instruments & Supplies,United States
Kerry Group plc,$19.74 B,KRZ,Consumer Staples,Packaged Foods,Ireland
Renesas Electronics Corp,$19.73 B,6723,Technology,Semiconductors,Japan
Brookfield Infrastructure Partners L.P.,$19.70 B,BIP.UN,,,
Shiseido Co Ltd,$19.69 B,4911,Consumer Staples,Household & Personal Products,Japan
CGI Inc.,$19.67 B,GIB.A,Technology,Information Technology Services,Canada
Henderson Land Development Co Ltd,$19.67 B,0012,Real Estate,Real Estate Services,Hong Kong
"Bill.com Holdings, Inc.",$19.65 B,BILL,Technology,Software—Application,United States
Shanghai Fosun Pharmaceutical ,$19.63 B,600196,Healthcare,Drug Manufacturers—Specialty & Generic,China
"Akamai Technologies, Inc.",$19.59 B,AKAM,Technology,Software—Infrastructure,United States
China Tower Corp Ltd,$19.55 B,0788,Communication Services,Telecom Services,China
"Huatai Securities Co., Ltd.",$19.55 B,601688,Financials,Capital Markets,China
Marathon Oil Corporation,$19.54 B,MRO,Energy,Oil & Gas E&P,United States
Arch Capital Group Ltd.,$19.54 B,ACGL,,,
TransUnion,$19.53 B,TRU,Industrials,Consulting Services,United States
JBS SA,$19.53 B,JBSS3,Consumer Staples,Packaged Foods,Brazil
Shenzhou International Group Holdings Ltd,$19.50 B,2313,Consumer Discretionary,Textile Manufacturing,Hong Kong
"Avantor, Inc.",$19.48 B,AVTR,Basic Materials,Specialty Chemicals,United States
"Molina Healthcare, Inc.",$19.46 B,MOH,Healthcare,Healthcare Plans,United States
"Ferrovial, SA",$19.44 B,FER,Industrials,Infrastructure Operations,Spain
EDP - Energias de Portugal SA,$19.43 B,EDP,,,
Fresenius Medical Care AG & Co. KGaA,$19.42 B,FME,Healthcare,Medical Care Facilities,Germany
Svenska Handelsbanken AB,$19.42 B,SHB.A,Financials,Banks,Sweden
KB Financial Group Inc.,$19.39 B,105560,Financials,Banks,South Korea
Magna International Inc.,$19.36 B,MG,Consumer Discretionary,Auto Parts,Canada
Snam S.p.A.,$19.27 B,SRG,Utilities,Utilities—Regulated Gas,Italy
CGN Power Co. Ltd,$19.25 B,003816,Utilities,Utilities—Independent Power Producers,China
Croda International plc,,CRDA,Basic Materials,Specialty Chemicals,United Kingdom
Warner Music Group Corp.,$19.21 B,WMG,Communication Services,Entertainment,United States
Zhejiang Huayou Cobalt Co. Ltd,$19.20 B,603799,Basic Materials,Other Industrial Metals & Mining,China
"SS&C Technologies Holdings, Inc.",$19.15 B,SSNC,Technology,Software—Application,United States
Carlsberg A-S,$19.12 B,CARL.A,Consumer Staples,Beverages—Brewers,Denmark
NICE Ltd.,,NICE,Technology,Software—Application,Israel
Waters Corporation,$19.11 B,WAT,Healthcare,Diagnostics & Research,United States
Otsuka Holdings Co. Ltd,$19.03 B,4578,Healthcare,Drug Manufacturers—General,Japan
Tenaris SA,$18.98 B,TEN,,,
"Citizens Financial Group, Inc.",$18.95 B,CFG,Financials,Banks,United States
Check Point Software Technologies Ltd.,$18.94 B,CHKP,Technology,Software—Infrastructure,Israel
Toshiba Corp,$18.93 B,6502,Industrials,Specialty Industrial Machinery,Japan
"LG Electronics, Inc.",$18.91 B,066570,Technology,Consumer Electronics,South Korea
Astra International Tbk PT,$18.90 B,ASJA,Consumer Discretionary,Auto Parts,Indonesia
Omnicom Group Inc.,$18.80 B,OMC,Communication Services,Advertising Agencies,United States
"Aecc Aviation Power Co.,Ltd",$18.79 B,600893,Industrials,Aerospace & Defense,China
International Paper Company,,INPAP,Consumer Discretionary,Packaging & Containers,United States
Scottish Mortgage Investment Trust plc,$18.78 B,SMT,Financials,Asset Management,United Kingdom
George Weston Limited,$18.77 B,WN,Consumer Staples,Grocery Stores,Canada
"NetApp, Inc.",$18.76 B,NTAP,Technology,Computer Hardware,United States
"Healthpeak Properties, Inc.",$18.76 B,PEAK,Real Estate,REIT—Healthcare Facilities,United States
"MS&AD Insurance Group Holdings, Inc.",$18.75 B,8725,Financials,Insurance—Property & Casualty,Japan
The Liberty SiriusXM Group,$18.74 B,LSXMB,Communication Services,Broadcasting,United States
Credit Suisse Group AG,$18.72 B,CSGN,Financials,Banks,Switzerland
Air China Ltd,$18.72 B,601111,Industrials,Airlines,China
Power Construction Corp of China Ltd,$18.69 B,601669,Industrials,Engineering & Construction,China
"JD Health International, Inc.",$18.69 B,8ZN,Healthcare,Medical Care Facilities,China
South32 Limited,$18.67 B,S32,Basic Materials,Other Industrial Metals & Mining,Australia
"Huaneng Power International, Inc.",$18.57 B,600011,Utilities,Utilities—Independent Power Producers,China
Sands China Ltd,$18.52 B,1928,,,
HEICO Corporation,$18.49 B,HEI,Industrials,Aerospace & Defense,United States
GF Securities Co. Ltd,$18.44 B,000776,Financials,Capital Markets,China
Genuine Parts Company,$18.41 B,GPC,Consumer Discretionary,Specialty Retail,United States
Vodacom Group Ltd,$18.41 B,VOD,Communication Services,Telecom Services,South Africa
"Take-Two Interactive Software, Inc.",$18.35 B,TTWO,Communication Services,Electronic Gaming & Multimedia,United States
China Merchants Securities Co. Ltd,$18.35 B,600999,Financials,Capital Markets,China
"Alnylam Pharmaceuticals, Inc.",$18.33 B,ALNY,Healthcare,Biotechnology,United States
Aeon Co. Ltd,$18.32 B,8267,Consumer Discretionary,Department Stores,Japan
Link Real Estate Investment Trust,$18.27 B,0823,Real Estate,REIT—Retail,Hong Kong
Shionogi & Co. Ltd,$18.27 B,4507,Healthcare,Drug Manufacturers—Specialty & Generic,Japan
Ubiquiti Inc.,$18.25 B,UI,Technology,Communication Equipment,United States
"Quanta Services, Inc.",$18.25 B,PWR,Industrials,Engineering & Construction,United States
"Catalent, Inc.",$18.24 B,CTLT,Healthcare,Drug Manufacturers—Specialty & Generic,United States
Haitong Securities Co. Ltd,$18.23 B,600837,Financials,Capital Markets,China
Asahi Group Holdings Ltd,$18.21 B,2502,Consumer Staples,Beverages—Brewers,Japan
Capitec Bank Holdings Ltd,$18.21 B,CPI,Financials,Banks,South Africa
Restaurant Brands International Inc.,$18.19 B,QSR,Consumer Discretionary,Restaurants,Canada
"Yum China Holdings, Inc.",$18.18 B,YUMC,Consumer Discretionary,Restaurants,China
CEZ AS,,CEZ,,,
Veolia Environnement SA,$18.14 B,VIE,Industrials,Waste Management,France
"Avis Budget Group, Inc.",$18.12 B,CAR,Industrials,Rental & Leasing Services,United States
