01-DDD-country,03-gren-country,07-silvestri-country,08-slytherin-country
,,,india
,,,czech republic
,,,italy
,,,spain
,,,netherlands
,,,japan
,,,india
,,,japan
,,,singapore
,,,philippines
,,,taiwan
,,,germany
,,,france
,,,germany
,,,netherlands
,,,south korea
,,,australia
,,,australia
,,,japan
,,,italy
,,,spain
,,,france
,,,italy
,,,japan
,,,japan
,,,japan
,,,taiwan
,,,germany
,,,uk
,,,germany
,,,france
,,,india
,,,malaysia
,,,taiwan
,,,south korea
,,,denmark
,,,italy
,,,germany
,,,sweden
,,,australia
,,,australia
,,,south korea
,,,australia
,,,south korea
,,,japan
,,,sweden
,,,italy
,,,germany
,,,germany
,,,south korea
,,,new zealand
,,,japan
,,,hong kong
,,,poland
,,,italy
,,,united kingdom
,,,germany
,,,japan
,,,japan
,,,australia
,,,india
,,,italy
,,,italy
,,,italy
,,,germany
,,,india
,,,japan
,,,india
,,,taiwan
,,,taiwan
,,,spain
,,,italy
,,,united kingdom
,,,united kingdom
,,,vietnam
,,,japan
,,,japan
,,,australia
,,,india
,,,lithuania
,,,the netherlands
,,,italy
,,,france
,,,united kingdom
,,,italy
,,,japan
,,,australia
,,,japan
,,,australia
,,,india
,,,australia
,,,spain
,,,ireland
,,,italy
,,,italy
,,,france
,,,france
,,,croatia
,,,japan
,,,japan
,,,japan
,,,taiwan
,,,australia
,,,greece
,,,italy
,,,spain
,,,france
,,,portugal
,,,japan
,,,japan
,,,taiwan
,,,malaysia
,,,india
,,,japan
,,,france
,,,uk
,,,finland
,,,italy
,,,germany
,,,singapore
,,,singapore
,,,taiwan
,,,japan
,,,singapore
,,,the netherlands
,,,germany
,,,france
,,,italy
,,,japan
,,,south korea
,,,india
,,,japan
,,,taiwan
,,,france
,,,italy
,,,italy
,,,austria
,,,singapore
,,,japan
,,,japan
,,,japan
,,,singapore
,,,india
,,,germany
,,,poland
,,,spain
,,,romania
,,,united kingdom
,,,japan
,,,india
,,,japan
,,,india
,,,japan
,,,india
,,,italy
,,,croatia
,,,france
,,,italy
,,,germany
,,,united kingdom
,,,india
,,,india
,,,australia
,,,india
,,,hong kong
,,,taiwan
,,,spain
,,,italy
,,,france
,,,italy
,,,italy
,,,germany
,,,malaysia
,,,south korea
,,,india
,,,japan
,,,australia
,,,india
,,,germany
,,,poland
,,,spain
,,,germany
,,,poland
,,,australia
,,,singapore
,,,india
,,,india
,,,australia
,,,japan
,,,hungary
,,,czech republic
,,,spain
,,,germany
,,,italy
,,,italy
,,,netherlands
,,,australia
,,,japan
,,,japan
,,,singapore
,,,philippines
,,,singapore
,,,denmark
,,,italy
,,,united kingdom
,,,italy
,,,finland
,,,india
,,,south korea
,,,taiwan
,,,taiwan
,,,japan
,,,singapore
,,,estonia
,,,italy
,,,germany
,,,italy
,,,denmark
,,,romania
,,,finland
,,,india
,,,australia
,,,india
,,,india
,,,taiwan
,,,japan
,,,france
,,,france
,,,italy
,,,italy
,,,united kingdom
,,,india
,,,taiwan
,,,india
,,,india
,,,uk
,,,uk
,,,italy
,,,italy
,,,hungary
,,,taiwan
,,,india
,,,japan
,,,philippines
,,,taiwan
,,,germany
,,,italy
,,,france
,,,portugal
,,,united kingdom
,,,singapore
,,,japan
,,,japan
,,,taiwan
,,,india
,,,singapore
,,,uk
,,,spain
,,,slovakia
,,,united kingdom
,,,japan
,,,singapore
,,,singapore
,,,japan
,,,singapore
,,,sweden
,,,france
,,,italy
,,,czech republic
,,,taiwan
,,,india
,,,india
,,,india
,,,taiwan
,,,australia
,,,germany
,,,switzerland
,,,spain
,,,italy
,,,bosnia and herzegovina
,,,australia
,,,japan
,,,india
,,,singapore
,,,japan
,,,uk
,,,germany
,,,spain
,,,germany
,,,germany
,,,united kingdom
,,,india
,,,india
,,,india
,,,taiwan
,,,taiwan
,,,germany
,,,hungary
,,,italy
,,,france
,,,japan
,,,japan
,,,japan
,,,singapore
,,,australia
,,,france
,,,italy
,,,italy
,,,italy
,,,south korea
,,,singapore
,,,malaysia
,,,japan
,,,italy
,,,germany
,,,france
,,,portugal
,,,australia
,,,india
,,,singapore
,,,philippines
,,,singapore
,,,uk
,,,germany
,,,france
,,,germany
,,,india
,,,singapore
,,,singapore
,,,india
,,,taiwan
,,,japan
,,,germany
,,,finland
,,,germany
,,,netherlands
,,,united kingdom
,,,australia
,,,singapore
,,,taiwan
,,,india
,,,taiwan
,,,spain
,,,germany
,,,italy
,,,germany
,,,japan
,,,south korea
,,,india
,,,south korea
,,,taiwan
,,,japan
,,,sweden
,,,italy
,,,denmark
,,,spain
,,,poland
,,,united kingdom
,,,south korea
,,,philippines
,,,india
,,,taiwan
,,,japan
,,,taiwan
,,,italy
,,,uk
,,,uk
,,,germany
,,,united kingdom
,,,india
,,,japan
,,,australia
,,,taiwan
,,,taiwan
,,,sweden
,,,germany
,,,estonia
,,,italy
,,,italy
,,,germany
,,,italy
,,,india
,,,india
,,,south korea
,,,india
,,,vietnam
,,,india
,,,italy
,,,germany
,,,italy
,,,germany
,,,italy
,,,spain
,,,spain
,,,india
,,,philippines
,,,philippines
,,,taiwan
,,,malaysia
,,,australia
,,,croatia
,,,germany
,,,united kingdom
,,,bulgaria
,,,bulgaria
,,,taiwan
,,,japan
,,,singapore
,,,philippines
,,,japan
,,,australia
,,,denmark
,,,germany
,,,croatia
,,,germany
,,,greece
,,,sweden
,,,india
,,,singapore
,,,india
,,,india
,,,hong kong
,,,singapore
,,,uk
,,,germany
,,,italy
,,,italy
,,,germany
,,,united kingdom
,,,india
,,,australia
,,,india
,,,india
,,,australia
,,,germany
,,,uk
,,,netherlands
,,,estonia
,,,france
,,,singapore
,,,philippines
,,,japan
,,,singapore
,,,japan
,,,taiwan
,,,greece
,,,uk
,,,france
,,,italy
,,,italy
,,,poland
,,,germany
,,,japan
,,,india
,,,india
,,,philippines
,,,india
,,,singapore
,,,germany
,,,poland
,,,sweden
,,,sweden
,,,italy
,,,singapore
,,,japan
,,,thailand
,,,taiwan
,,,singapore
,,,taiwan
,,,uk
,,,uk
,,,italy
,,,italy
,,,czech republic
,,,united kingdom
,,,philippines
,,,india
,,,south korea
,,,taiwan
,,,taiwan
,,,taiwan
,,,germany
,,,uk
,,,germany
,,,netherlands
,,,united kingdom
,,,japan
,,,australia
,,,singapore
,,,south korea
,,,japan
,,,italy
,,,germany
,,,netherlands
,,,spain
,,,united kingdom
,,,france
,,,japan
,,,japan
,,,india
,,,singapore
,,,philippines
,,,australia
,,,poland
,,,germany
,,,germany
,,,italy
,,,italy
,,,germany
,,,germany
,,,japan
,,,japan
,,,india
,,,australia
,,,japan
,,,vietnam
,,,germany
,,,germany
,,,germany
,,,united kingdom
,,,spain
,,,singapore
,,,malaysia
,,,india
,,,japan
,,,singapore
,,,finland
,,,italy
,,,estonia
,,,united kingdom
,,,india
,,,india
,,,japan
,,,south korea
,,,singapore
,,,sweden
,,,germany
,,,france
,,,germany
,,,south korea
,,,japan
,,,new zealand
,,,singapore
,,,indonesia
,,,uk
,,,finland
,,,germany
,,,france
,,,united kingdom
,,,singapore
,,,singapore
,,,singapore
,,,malaysia
,,,japan
,,,australia
,,,france
,,,france
,,,italy
,,,czech republic
,,,france
,,,germany
,,,australia
,,,japan
,,,japan
,,,india
,,,philippines
,,,japan
,,,italy
,,,germany
,,,germany
,,,germany
,,,italy
,,,new zealand
,,,india
,,,japan
,,,australia
,,,india
,,,japan
,,,spain
,,,spain
,,,germany
,,,united kingdom
,,,lithuania
,,,singapore
,,,japan
,,,india
,,,south korea
,,,singapore
,,,india
,,,sweden
,,,uk
,,,uk
,,,romania
,,,italy
,,,singapore
,,,japan
,,,japan
,,,india
,,,japan
,,,japan
,,,germany
,,,uk
,,,italy
,,,france
,,,estonia
,,,italy
,,,new zealand
,,,singapore
,,,philippines
,,,singapore
,,,india
,,,malaysia
,,,germany
,,,france
,,,spain
,,,italy
,,,italy
,,,france
,,,india
,,,japan
,,,malaysia
,,,japan
,,,australia
,,,italy
,,,germany
,,,spain
,,,czech republic
,,,south korea
,,,india
,,,japan
,,,singapore
,,,india
,,,japan
,,,spain
,,,uk
,,,italy
,,,italy
,,,france
,,,germany
,,,united kingdom
,,,vietnam
,,,hong kong
,,,india
,,,poland
,,,italy
,,,uk
,,,italy
,,,france
,,,philippines
,,,singapore
,,,italy
,,,france
,,,italy
,,,finland
,,,czech republic
,,,united kingdom
,,,singapore
,,,singapore
,,,india
,,,uk
,,,italy
,,,sweden
,,,italy
,,,france
,,,latvia
,,,singapore
,,,malaysia
,,,singapore
,,,france
,,,france
,,,italy
,,,germany
,,,singapore
,,,malaysia
,,,uk
,,,italy
,,,italy
,,,finland
,,,germany
,,,italy
,,,united kingdom
,,,japan
,,,singapore
,,,uk
,,,norway
,,,france
,,,uk
,,,italy
,,,germany
,,,philippines
,,,philippines
,,,japan
,,,uk
,,,italy
,,,austria
,,,sweden
,,,sweden
,,,hungary
,,,france
,,,philippines
,,,india
,,,japan
,,,germany
,,,italy
,,,uk
,,,poland
,,,france
,,,poland
,,,india
,,,india
,,,australia
,,,spain
,,,spain
,,,france
,,,italy
,,,finland
,,,united kingdom
,,,france
,,,australia
,,,thailand
,,,belgium
,,,sweden
,,,spain
,,,germany
,,,italy
,,,italy
,,,germany
,,,india
,,,australia
,,,czech republic
,,,italy
,,,united kingdom
,,,france
,,,india
,,,japan
,,,italy
,,,germany
,,,france
,,,france
,,,singapore
,,,taiwan
,,,singapore
,,,uk
,,,uk
,,,united kingdom
,,,spain
,,,united kingdom
,,,singapore
,,,india
,,,south korea
,,,spain
,,,germany
,,,france
,,,germany
,,,italy
,,,italy
,,,germany
,,,uk
,,,spain
,,,spain
,,,france
,,,france
,,,italy
,,,italy
,,,france
,,,uk
,,,germany
,,,france
,,,sweden
,,,italy
,,,spain
,,,portugal
,,,germany
,,,poland
,,,france
,,,united kingdom
,,,italy
,,,france
,,,poland
,,,italy
,,,germany
,,,uk
,,,italy
,,,italy
,,,germany
,,,latvia
,,,italy
,,,italy
,,,romania
,,,france
,,,united kingdom
,,,spain
,,,croatia
,,,germany
,,,germany
,,,germany
,,,the netherlands
,,,finland
,,,germany
,,,united kingdom
,,,italy
,,,italy
,,,spain
,,,italy
,,,germany
,,,italy
,,,france
,,,denmark
,,,italy
,,,netherlands
,,,germany
,,,estonia
,,,czech republic
,,,italy
,,,germany
,,,germany
,,,portugal
,,,germany
,,,germany
,,,germany
,,,germany
,,,italy
,,,germany
,,,finland
,,,the netherlands
,,,italy
,,,portugal
,,,italy
,,,uk
,,,italy
,,,france
,,,germany
,,,uk
,,,norway
,,,germany
,,,france
,,,france
,,,uk
,,,italy
,,,italy
,,,finland
,,,switzerland
,,,france
,,,spain
,,,italy
,,,germany
,,,netherlands
,,,italy
,,,france
,,,germany
,,,italy
,,,germany
,,,uk
,,,poland
,,,estonia
,,,slovenia
,,,hungary
,,,france
,,,finland
,,,spain
,,,france
,,,italy
,,,italy
,,,italy
,,,czech republic
,,,uk
,,,sweden
,,,bulgaria
,,,finland
,,,italy
,,,italy
,,,germany
,,,italy
,,,spain
,,,germany
,,,united kingdom
,,,uk
,,,germany
,,,italy
,,,spain
,,,italy
,,,italy
,,,france
,,,united kingdom
,,,germany
,,,italy
,,,france
,,,portugal
,,,uk
,,,belgium
,,,united kingdom
,,,germany
,,,italy
,,,germany
,,,italy
,,,france
,,,italy
,,,italy
,,,spain
,,,germany
,,,spain
,,,norway
,,,spain
,,,germany
,,,united kingdom
,,,france
,,,germany
,,,germany
,,,france
,,,germany
,,,uk
,,,romania
,,,germany
,,,spain
,,,italy
,,,italy
,,,germany
,,,italy
,,,sweden
,,,germany
,,,france
,,,italy
,,,france
,,,norway
,,,united kingdom
,,,italy
,,,germany
,,,spain
,,,sweden
,,,france
,,,france
,,,italy
,,,germany
,,,france
,,,france
,,,italy
,,,germany
,,,italy
,,,united kingdom
,,,malta
,,,cyprus
,,,germany
,,,netherlands
,,,germany
,,,germany
,,,italy
,,,france
,,,united kingdom
,,,poland
,,,the netherlands
,,,germany
,,,italy
,,,germany
,,,france
,,,italy
,,,uk
,,,italy
,,,italy
,,,italy
,,,uk
,,,italy
,,,italy
,,,netherlands
,,,france
,,,germany
,,,sweden
,,,netherlands
,,,italy
,,,italy
,,,luxembourg
,,,lithuania
,,,france
,,,germany
,,,france
,,,switzerland
,,,finland
,,,germany
,,,germany
,,,italy
,,,germany
,,,germany
,,,italy
,,,france
,,,italy
,,,italy
,,,france
,,,italy
,,,uk
,,,france
,,,italy
,,,uk
,,,uk
,,,poland
,,,norway
,,,italy
,,,germany
,,,united kingdom
,,,germany
,,,uk
,,,france
,,,united kingdom
,,,italy
,,,germany
,,,italy
,,,france
,,,germany
,,,uk
,,,france
,,,netherlands
,,,italy
,,,italy
,,,uk
,,,uk
,,,germany
,,,france
,,,france
,,,austria
,,,italy
,,,uk
,,,uk
,,,germany
,,,italy
,,,france
,,,italy
,,,germany
,,,poland
,,,lithuania
,,,czech republic
,,,france
,,,germany
,,,germany
,,,italy
,,,france
,,,germany
,,,germany
,,,poland
,,,france
,,,spain
,,,poland
,,,spain
,,,spain
,,,uk
,,,france
,,,france
,,,united kingdom
,,,slovakia
,,,france
,,,germany
,,,spain
,,,bulgaria
,,,italy
,,,uk
,,,italy
,,,spain
,,,italy
,,,france
,,,united kingdom
,,,poland
,,,uk
,,,italy
,,,germany
,,,france
,,,bulgaria
,,,italy
,,,italy
,,,italy
,,,spain
,,,poland
,,,lithuania
,,,uk
,,,italy
,,,uk
,,,germany
,,,slovakia
,,,united kingdom
,,,italy
,,,france
,,,spain
,,,united kingdom
,,,spain
,,,uk
,,,italy
,,,france
,,,bulgaria
,,,france
,,,italy
,,,germany
,,,germany
,,,italy
,,,france
,,,france
,,,france
,,,united kingdom
,,,france
,,,uk
,,,uk
,,,uk
,,,poland
,,,italy
,,,spain
,,,uk
,,,sweden
,,,france
,,,norway
,,,germany
,,,italy
,,,germany
,,,germany
,,,italy
,,,germany
,,,germany
,,,germany
,,,france
,,,spain
,,,italy
,,,france
,,,italy
,,,italy
,,,germany
,,,italy
,,,germany
,,,italy
,,,italy
,,,poland
,,,belgium
,,,france
,,,united kingdom
,,,germany
,,,portugal
,,,poland
,,,sweden
,,,germany
,,,netherlands
,,,poland
,,,germany
,,,italy
,,,germany
,,,italy
,,,lithuania
,,,italy
,,,italy
,,,uk
,,,uk
,,,italy
,,,spain
,,,germany
,,,italy
,,,norway
,,,italy
,,,germany
,,,the netherlands
,,,italy
,,,france
,,,germany
,,,italy
,,,germany
,,,germany
,,,finland
,,,norway
,,,bulgaria
,,,germany
,,,united kingdom
,,,france
,,,romania
,,,belgium
,,,italy
,,,france
,,,france
,,,germany
,,,france
,,,uk
,,,spain
,,,united kingdom
,,,uk
,,,uk
,,,uk
,,,germany
,,,france
,,,poland
,,,romania
,,,germany
,,,germany
,,,spain
,,,italy
,,,italy
,,,netherlands
,,,spain
,,,portugal
,,,germany
,,,spain
,,,united kingdom
,,,germany
,,,germany
,,,italy
,,,france
,,,italy
,,,norway
,,,italy
,,,italy
,,,united kingdom
,,,italy
,,,czech republic
,,,germany
,,,united kingdom
,,,uk
,,,italy
,,,italy
,,,united kingdom
,,,germany
,,,spain
,,,italy
,,,sweden
,,,italy
,,,uk
,,,finland
,,,finland
,,,spain
,,,france
,,,germany
,,,france
,,,france
,,,bulgaria
,,,germany
,,,germany
,,,france
,,,italy
,,,france
,,,united kingdom
,,,germany
,,,uk
,,,italy
,,,france
,,,bulgaria
,,,uk
,,,united kingdom
,,,poland
,,,germany
,,,germany
,,,united kingdom
,,,france
,,,france
,,,france
,,,italy
,,,germany
,,,estonia
,,,germany
,,,france
,,,united kingdom
,,,finland
,,,germany
,,,italy
,,,spain
,,,germany
,,,france
,,,sweden
,,,spain
,,,germany
,,,uk
,,,estonia
,,,united kingdom
,,,france
,,,france
,,,spain
,,,united kingdom
,,,france
,,,slovakia
,,,netherlands
,,,germany
,,,united kingdom
,,,poland
,,,italy
,,,netherlands
,,,france
,,,uk
,,,france
,,,italy
,,,italy
,,,italy
,,,italy
,,,italy
,,,italy
,,,slovakia
,,,italy
,,,united kingdom
,,,france
,,,italy
,,,poland
,,,france
,,,italy
,,,uk
,,,uk
,,,italy
,,,germany
,,,spain
,,,italy
,,,germany
,,,france
,,,italy
,,,france
,,,germany
,,,italy
,,,uk
,,,italy
,,,spain
,,,finland
,,,uk
,,,germany
,,,germany
,,,germany
,,,france
,,,italy
,,,sweden
,,,czech republic
,,,hungary
,,,france
,,,france
,,,germany
,,,germany
,,,bulgaria
,,,germany
,,,united kingdom
,,,france
,,,france
,,,italy
,,,switzerland
,,,italy
,,,uk
,,,italy
,,,united kingdom
,,,poland
,,,france
,,,united kingdom
,,,germany
,,,germany
,,,france
,,,united kingdom
,,,germany
,,,spain
,,,uk
,,,france
,,,united kingdom
,,,estonia
,,,uk
,,,czech republic
,,,france
,,,france
,,,germany
,,,germany
,,,hungary
,,,croatia
,,,uk
,,,france
,,,united kingdom
,,,spain
,,,united kingdom
,,,italy
,,,switzerland
,,,uk
,,,spain
,,,italy
,,,germany
,,,bulgaria
,,,germany
,,,lithuania
,,,italy
,,,ireland
,,,france
,,,germany
,,,italy
,,,italy
,,,poland
,,,romania
,,,italy
,,,germany
,,,spain
,,,czech republic
,,,uk
,,,poland
,,,france
,,,united kingdom
,,,bulgaria
,,,italy
,,,poland
,,,czech republic
,,,poland
,,,sweden
,,,slovakia
,,,spain
,,,france
,,,france
,,,spain
,,,france
,,,italy
,,,uk
,,,germany
,,,poland
,,,poland
,,,italy
,,,norway
,,,italy
,,,germany
,,,greece
,,,italy
,,,france
,,,germany
,,,germany
,,,france
,,,italy
,,,italy
,,,norway
,,,france
,,,france
,,,italy
,,,germany
,,,germany
,,,finland
,,,spain
,,,italy
,,,france
,,,italy
,,,uk
,,,italy
,,,germany
,,,france
,,,germany
,,,italy
,,,poland
,,,poland
,,,italy
,,,italy
,,,netherlands
,,,germany
,,,germany
,,,uk
,,,germany
,,,italy
,,,germany
,,,italy
,,,spain
,,,italy
,,,germany
,,,italy
,,,italy
,,,france
,,,germany
,,,the netherlands
,,,france
,,,norway
,,,poland
,,,france
,,,germany
,,,germany
,,,netherlands
,,,uk
,,,italy
,,,germany
,,,united kingdom
,,,italy
,,,germany
,,,spain
,,,united kingdom
,,,france
,,,italy
,,,uk
,,,france
,,,italy
,,,germany
,,,italy
,,,spain
,,,italy
,,,croatia
,,,italy
,,,spain
,,,italy
,,,romania
,,,france
,,,germany
,,,germany
,,,italy
,,,italy
,,,germany
,,,italy
,,,france
,,,italy
,,,italy
,,,france
,,,italy
,,,italy
,,,france
,,,uk
,,,uk
,,,italy
,,,italy
,,,united kingdom
,,,sweden
,,,slovenia
,,,italy
,,,italy
,,,spain
,,,france
,,,france
,,,germany
,,,norway
,,,united kingdom
,,,germany
,,,the netherlands
,,,slovenia
,,,italy
,,,finland
,,,france
,,,germany
,,,united kingdom
,,,united kingdom
,,,italy
,,,italy
,,,portugal
,,,italy
,,,uk
,,,germany
,,,germany
,,,norway
,,,germany
,,,liechtenstein
,,,sweden
,,,estonia
,,,germany
,,,france
,,,italy
,,,italy
,,,uk
,,,italy
,,,italy
,,,bulgaria
,,,germany
,,,poland
,,,germany
,,,spain
,,,italy
,,,italy
,,,italy
,,,italy
,,,switzerland
,,,germany
,,,france
,,,germany
,,,france
,,,france
,,,italy
,,,germany
,,,germany
,,,lithuania
,,,croatia
,,,czech republic
,,,belgium
,,,sweden
,,,spain
,,,latvia
,,,italy
,,,greece
,,,france
,,,poland
,,,france
,,,sweden
,,,france
,,,uk
,,,united kingdom
,,,italy
,,,france
,,,italy
,,,italy
,,,italy
,,,france
,,,slovakia
,,,spain
,,,uk
,,,uk
,,,germany
,,,france
,,,united kingdom
,,,uk
,,,spain
,,,finland
,,,italy
,,,france
,,,spain
,,,germany
,,,germany
,,,germany
,,,germany
,,,france
,,,italy
,,,sweden
,,,netherlands
,,,germany
,,,sweden
,,,germany
,,,denmark
,,,united kingdom
,,,greece
,,,germany
,,,uk
,,,germany
,,,poland
,,,poland
,,,norway
,,,germany
,,,italy
,,,italy
,,,united kingdom
,,,germany
,,,italy
,,,germany
,,,germany
,,,germany
,,,uk
,,,france
,,,united kingdom
,,,united kingdom
,,,spain
,,,italy
,,,germany
,,,spain
,,,united kingdom
,,,italy
,,,italy
,,,sweden
,,,france
,,,germany
,,,france
,,,poland
,,,germany
,,,poland
,,,germany
,,,germany
,,,uk
,,,finland
,,,france
,,,germany
,,,italy
,,,france
,,,uk
,,,france
,,,sweden
,,,spain
,,,sweden
,,,france
,,,spain
,,,germany
,,,germany
,,,austria
,,,spain
,,,italy
,,,hungary
,,,uk
,,,germany
,,,spain
,,,the netherlands
,,,sweden
,,,germany
,,,austria
,,,czech republic
,,,italy
,,,france
,,,germany
,,,france
,,,france
,,,united kingdom
,,,france
,,,france
,,,germany
,,,united kingdom
,,,united kingdom
,,,germany
,,,germany
,,,italy
,,,germany
,,,france
,,,spain
,,,france
,,,uk
,,,uk
,,,united kingdom
,,,germany
,,,spain
,,,germany
,,,sweden
,,,italy
,,,germany
,,,spain
,,,germany
,,,italy
,,,spain
,,,germany
,,,france
,,,italy
,,,france
,,,italy
,,,italy
,,,uk
,,,uk
,,,spain
,,,germany
,,,poland
,,,slovakia
,,,italy
,,,uk
,,,italy
,,,france
,,,finland
,,,italy
,,,the netherlands
,,,italy
,,,france
,,,france
,,,italy
,,,france
,,,finland
,,,spain
,,,italy
,,,france
,,,italy
,,,germany
,,,united kingdom
,,,italy
,,,uk
,,,france
,,,romania
,,,the netherlands
,,,uk
,,,italy
,,,germany
,,,italy
,,,italy
,,,france
,,,spain
,,,romania
,,,italy
,,,spain
,,,france
,,,italy
,,,germany
,,,germany
,,,italy
,,,italy
,,,germany
,,,italy
,,,france
,,,uk
,,,italy
,,,germany
,,,germany
,,,italy
,,,germany
,,,lithuania
,,,germany
,,,italy
,,,italy
,,,uk
,,,uk
,,,italy
,,,france
,,,sweden
,,,germany
,,,germany
,,,italy
,,,france
,,,italy
,,,france
,,,france
,,,spain
,,,germany
,,,france
,,,germany
,,,poland
,,,romania
,,,france
,,,norway
,,,france
,,,uk
,,,sweden
,,,italy
,,,france
,,,italy
,,,italy
,,,italy
,,,france
,,,italy
,,,germany
,,,france
,,,france
,,,france
,,,italy
,,,germany
,,,uk
,,,portugal
,,,germany
,,,italy
,,,germany
,,,italy
,,,france
,,,germany
,,,france
,,,germany
,,,italy
,,,spain
,,,sweden
,,,germany
,,,italy
,,,netherlands
,,,uk
,,,france
,,,netherlands
,,,germany
,,,united kingdom
,,,italy
,,,france
,,,italy
,,,united kingdom
,,,united kingdom
,,,italy
,,,italy
,,,germany
,,,germany
,,,germany
,,,united kingdom
,,,france
,,,germany
,,,italy
,,,italy
,,,united kingdom
,,,italy
,,,lithuania
,,,france
,,,france
,,,italy
,,,netherlands
,,,germany
,,,italy
,,,italy
,,,france
,,,romania
,,,spain
,,,spain
,,,netherlands
,,,france
,,,italy
,,,lithuania
,,,switzerland
,,,norway
,,,uk
,,,italy
,,,poland
,,,italy
,,,bulgaria
,,,finland
,,,hungary
,,,united kingdom
,,,italy
,,,spain
,,,estonia
,,,united kingdom
,,,germany
,,,poland
,,,france
,,,italy
,,,spain
,,,france
,,,france
,,,france
,,,france
,,,bulgaria
,,,bulgaria
,,,spain
,,,germany
,,,france
,,,bulgaria
,,,italy
,,,germany
,,,portugal
,,,germany
,,,portugal
,,,italy
,,,italy
,,,italy
,,,netherlands
,,,united kingdom
,,,united kingdom
,,,italy
,,,france
,,,italy
,,,croatia
,,,germany
,,,united kingdom
,,,germany
,,,poland
,,,spain
,,,germany
,,,germany
,,,italy
,,,uk
,,,spain
,,,united kingdom
,,,france
,,,germany
,,,germany
,,,spain
,,,italy
,,,spain
,,,italy
,,,romania
,,,germany
,,,italy
,,,france
,,,germany
,,,germany
,,,france
,,,italy
,,,italy
,,,italy
,,,germany
,,,spain
,,,germany
,,,italy
,,,spain
,,,italy
,,,france
,,,united kingdom
,,,france
,,,france
,,,italy
,,,germany
,,,germany
,,,germany
,,,poland
,,,spain
,,,germany
,,,italy
,,,italy
,,,france
,,,sweden
,,,france
,,,uk
,,,france
,,,spain
,,,spain
,,,spain
,,,italy
,,,italy
,,,italy
,,,france
,,,norway
,,,uk
,,,italy
,,,germany
,,,united kingdom
,,,france
,,,germany
,,,italy
,,,italy
,,,italy
,,,france
,,,germany
,,,germany
,,,uk
,,,spain
,,,germany
,,,italy
,,,italy
,,,germany
,,,united kingdom
,,,united kingdom
,,,italy
,,,france
,,,italy
,,,denmark
,,,italy
,,,italy
,,,bulgaria
,,,uk
,,,france
,,,spain
,,,france
,,,poland
,,,uk
,,,france
,,,bulgaria
,,,italy
,,,germany
,,,spain
,,,germany
,,,france
,,,france
,,,united kingdom
,,,germany
,,,italy
,,,portugal
,,,italy
,,,france
,,,italy
,,,germany
,,,germany
,,,uk
,,,italy
,,,germany
,,,italy
,,,spain
,,,france
,,,italy
,,,france
,,,netherlands
,,,bulgaria
,,,united kingdom
,,,united kingdom
,,,uk
,,,germany
,,,spain
,,,italy
,,,germany
,,,spain
,,,uk
,,,uk
,,,spain
,,,germany
,,,france
,,,italy
,,,uk
,,,france
,,,france
,,,uk
,,,germany
,,,italy
,,,poland
,,,spain
,,,croatia
,,,poland
,,,italy
,,,germany
,,,france
,,,germany
,,,france
,,,sweden
,,,romania
,,,united kingdom
,,,germany
,,,hungary
,,,italy
,,,germany
,,,france
,,,italy
,,,france
,,,uk
,,,france
,,,france
,,,france
,,,spain
,,,uk
,,,germany
,,,germany
,,,united kingdom
,,,germany
,,,italy
,,,france
,,,spain
,,,france
,,,poland
,,,romania
,,,france
,,,spain
,,,italy
,,,spain
,,,spain
,,,united kingdom
,,,france
,,,czech republic
,,,netherlands
,,,italy
,,,sweden
,,,italy
,,,germany
,,,uk
,,,spain
,,,italy
,,,spain
,,,germany
,,,spain
,,,italy
,,,germany
,,,italy
,,,italy
,,,italy
,,,netherlands
,,,norway
,,,germany
,,,italy
,,,uk
,,,italy
,,,italy
,,,france
,,,slovakia
,,,switzerland
,,,france
,,,spain
,,,germany
,,,germany
,,,portugal
,,,norway
,,,germany
,,,spain
,,,france
,,,italy
,,,italy
,,,spain
,,,germany
,,,germany
,,,italy
,,,united kingdom
,,,finland
,,,france
,,,lithuania
,,,germany
,,,france
,,,uk
,,,france
,,,poland
,,,spain
,,,hungary
,,,austria
,,,uk
,,,spain
,,,bulgaria
,,,italy
,,,france
,,,germany
,,,uk
,,,united kingdom
,,,italy
,,,finland
,,,uk
,,,spain
,,,italy
,,,italy
,,,poland
,,,italy
,,,cyprus
,,,poland
,,,germany
,,,france
,,,germany
,,,germany
,,,romania
,,,united kingdom
,,,italy
,,,austria
,,,germany
,,,norway
,,,norway
,,,france
,,,poland
,,,germany
,,,italy
,,,france
,,,france
,,,poland
,,,germany
,,,germany
,,,italy
,,,finland
,,,france
,,,italy
,,,sweden
,,,france
,,,italy
,,,germany
,,,croatia
,,,italy
,,,italy
,,,sweden
,,,uk
,,,netherlands
,,,ireland
,,,germany
,,,germany
,,,france
,,,spain
,,,portugal
,,,italy
,,,france
,,,germany
,,,spain
,,,germany
,,,poland
,,,poland
,,,spain
,,,germany
,,,france
,,,finland
,,,croatia
,,,poland
,,,france
,,,poland
,,,france
,,,germany
,,,united kingdom
,,,france
,,,germany
,,,poland
,,,italy
,,,sweden
,,,italy
,,,uk
,,,germany
,,,uk
,,,sweden
,,,italy
,,,uk
,,,france
,,,italy
,,,denmark
,,,sweden
,,,germany
,,,italy
,,,spain
,,,france
,,,italy
,,,spain
,,,germany
,,,poland
,,,uk
,,,spain
,,,germany
