00-avengers-country,01-DDD-country,02-GioPonSpiz-country,03-gren-country,04-iGMM-country,05-MalPatSaj-country,06-MarScoToc-country
australia,usa,japan,taiwan,usa,india,usa
france,australia,usa,india,usa,usa,usa
usa,canada,india,sweden,usa,south africa,taiwan
usa,taiwan,usa,usa,usa,australia,south korea
china,south-korea,france,australia,usa,italy,usa
usa,india,usa,japan,china,usa,usa
usa,india,usa,singapore,usa,usa,brazil
usa,canada,india,usa,estonia,usa,norway
usa,usa,sweden,s. korea,india,taiwan,india
china,usa,usa,china,china,s. korea,italy
spain,australia,s. korea,usa,usa,uk,uk
usa,finland,uk,usa,usa,japan,usa
chile,canada,australia,ireland,usa,le of man,sweden
south africa,brazil,usa,usa,usa,brazil,australia
india,usa,hong kong,uk,uk,australia,germany
usa,australia,uk,singapore,usa,south africa,israel
usa,japan,germany,isle of man,india,uk,usa
south africa,netherlands,usa,uk,usa,denmark,usa
usa,australia,taiwan,brazil,canada,usa,south korea
uk,italy,usa,japan,usa,usa,usa
indonesia,canada,isle of man,portugal,usa,singapore,singapore
india,united-kingdom,uk,usa,italy,switzerland,usa
india,switzerland,usa,hong kong,usa,norway,india
india,united-kingdom,canada,usa,usa,japan,china
usa,poland,chile,usa,usa,japan,usa
switzerland,thailand,usa,france,usa,thailand,thailand
usa,none,italy,usa,hong kong,uk,usa
usa,usa,usa,italy,usa,canada,japan
uk,united-kingdom,usa,japan,usa,usa,chile
uk,thailand,s. korea,italy,usa,usa,japan
,usa,usa,australia,japan,usa,usa
norway,usa,australia,ireland,india,south africa,usa
switzerland,spain,usa,usa,uk,israel,usa
canada,hong-kong,s. korea,usa,usa,spain,usa
usa,singapore,usa,germany,usa,china,japan
denmark,brazil,germany,brazil,israel,s. korea,usa
usa,usa,brazil,israel,india,hong kong,taiwan
india,india,usa,germany,usa,chile,india
usa,india,portugal,japan,china,ireland,japan
usa,singapore,usa,usa,usa,italy,usa
india,usa,usa,australia,usa,usa,south korea
,usa,singapore,malaysia,usa,turkey,usa
india,usa,germany,germany,usa,turkey,portugal
south africa,australia,usa,japan,india,italy,usa
uk,none,germany,usa,usa,taiwan,usa
usa,india,india,usa,usa,usa,usa
germany,hong-kong,japan,norway,usa,usa,usa
,south-korea,poland,usa,usa,japan,usa
usa,sweden,usa,uk,usa,malaysia,usa
canada,australia,china,usa,usa,usa,china
usa,usa,usa,japan,france,usa,usa
usa,usa,germany,uk,usa,china,france
usa,usa,uk,usa,usa,netherlands,uk
india,usa,japan,germany,india,usa,germany
usa,taiwan,norway,japan,india,japan,japan
usa,united-kingdom,italy,france,usa,netherlands,usa
spain,canada,japan,singapore,india,hong kong,spain
uk,australia,usa,s. korea,usa,thailand,usa
netherlands,united-kingdom,japan,hong kong,usa,usa,usa
hong kong,brazil,germany,usa,usa,usa,australia
israel,usa,uk,usa,usa,france,australia
canada,canada,turkey,taiwan,india,usa,usa
usa,japan,ireland,china,usa,usa,usa
usa,usa,uk,usa,usa,s. korea,malaysia
usa,canada,turkey,usa,usa,france,germany
canada,usa,malaysia,india,usa,usa,australia
usa,australia,india,germany,usa,ireland,usa
usa,usa,australia,brazil,austria,singapore,china
usa,none,usa,china,south africa,usa,india
usa,sweden,usa,usa,india,usa,uk
usa,canada,france,uk,usa,sweden,usa
uk,usa,japan,usa,india,canada,usa
france,sweden,australia,turkey,luxembourg,china,japan
usa,japan,usa,thailand,india,germany,hong kong
canada,usa,usa,spain,india,usa,ireland
usa,usa,jersey,usa,usa,usa,india
usa,germany,ireland,usa,india,germany,sweden
usa,usa,japan,usa,usa,france,hong kong
usa,none,israel,uk,usa,brazil,uk
usa,netherlands,denmark,usa,usa,germany,uk
turkey,japan,usa,usa,usa,usa,uk
new zealand,usa,usa,usa,usa,s. korea,ireland
usa,india,usa,poland,peru,canada,singapore
portugal,usa,china,hong kong,usa,japan,china
,denmark,norway,usa,usa,usa,poland
singapore,switzerland,usa,australia,usa,usa,new zealand
canada,china,spain,france,usa,china,australia
usa,switzerland,south africa,taiwan,india,usa,spain
singapore,sweden,belgium,denmark,usa,india,hong kong
spain,japan,hong kong,usa,usa,germany,usa
usa,usa,usa,australia,sweden,usa,denmark
usa,usa,india,japan,usa,uk,usa
netherlands,usa,china,usa,usa,china,usa
usa,usa,uk,usa,usa,usa,usa
usa,indonesia,usa,usa,usa,germany,turkey
canada,usa,hong kong,usa,india,usa,usa
hong kong,japan,usa,canada,usa,china,germany
usa,usa,china,usa,canada,australia,germany
india,taiwan,france,usa,hong kong,hong kong,taiwan
usa,none,australia,india,india,uk,brazil
usa,netherlands,usa,india,usa,china,turkey
usa,canada,usa,taiwan,india,india,france
canada,usa,usa,china,usa,taiwan,japan
finland,usa,china,south africa,usa,usa,south africa
usa,spain,sweden,hong kong,usa,brazil,united arab emirates
south africa,japan,finland,usa,usa,japan,china
hong kong,usa,france,usa,usa,hong kong,usa
usa,usa,germany,netherlands,sweden,usa,usa
usa,south-africa,australia,india,australia,india,brazil
uk,turkey,usa,australia,uk,india,usa
uk,taiwan,uae,norway,usa,usa,italy
south korea,usa,singapore,taiwan,canada,usa,canada
usa,usa,taiwan,sweden,usa,usa,china
canada,usa,usa,china,uk,usa,usa
usa,usa,hong kong,usa,usa,uk,thailand
usa,usa,thailand,usa,switzerland,taiwan,taiwan
usa,canada,taiwan,hong kong,india,japan,finland
usa,indonesia,taiwan,india,canada,japan,japan
usa,usa,canada,usa,usa,japan,norway
brazil,india,usa,switzerland,india,usa,switzerland
usa,usa,brazil,china,usa,india,taiwan
australia,usa,usa,taiwan,usa,taiwan,netherlands
usa,italy,brazil,australia,india,usa,japan
usa,japan,india,thailand,usa,germany,
canada,new-zealand,spain,india,usa,australia,australia
usa,usa,ireland,finland,usa,india,uk
canada,usa,usa,switzerland,india,switzerland,usa
usa,australia,japan,belgium,usa,usa,norway
canada,none,uk,japan,switzerland,belgium,china
usa,japan,australia,germany,germany,china,china
usa,canada,usa,usa,usa,australia,india
india,india,uae,china,usa,uk,japan
usa,india,india,india,usa,france,france
usa,usa,australia,uk,usa,usa,usa
poland,usa,finland,japan,usa,norway,united arab emirates
norway,brazil,japan,usa,ireland,japan,japan
canada,france,usa,switzerland,usa,italy,ireland
usa,usa,usa,usa,india,usa,south korea
usa,saudi-arabia,usa,usa,poland,s. korea,china
usa,china,thailand,usa,usa,ireland,india
,usa,uae,australia,usa,usa,taiwan
poland,canada,singapore,usa,usa,usa,usa
usa,japan,belgium,japan,canada,usa,switzerland
usa,sweden,switzerland,usa,usa,china,france
india,canada,usa,singapore,usa,france,usa
usa,usa,turkey,france,india,china,usa
israel,usa,switzerland,uk,usa,switzerland,finland
usa,usa,india,mexico,usa,switzerland,south korea
,japan,india,japan,india,usa,usa
usa,usa,usa,france,usa,usa,usa
india,australia,usa,finland,usa,thailand,usa
india,usa,japan,usa,usa,usa,usa
usa,spain,netherlands,uk,usa,usa,germany
usa,united-kingdom,taiwan,usa,usa,usa,japan
usa,japan,china,uk,india,usa,usa
japan,japan,usa,japan,taiwan,germany,japan
usa,canada,finland,germany,malaysia,netherlands,singapore
usa,sweden,norway,usa,usa,india,usa
usa,south-korea,india,usa,usa,japan,switzerland
israel,usa,usa,india,india,usa,usa
usa,usa,uk,bermuda,usa,japan,finland
usa,usa,usa,usa,canada,finland,japan
canada,usa,usa,taiwan,usa,germany,united arab emirates
usa,usa,netherlands,usa,canada,israel,belgium
usa,united-kingdom,italy,ireland,canada,finland,japan
canada,brazil,usa,usa,usa,japan,new zealand
usa,usa,new zealand,usa,usa,taiwan,netherlands
usa,usa,israel,singapore,usa,taiwan,canada
usa,usa,usa,usa,india,hong kong,india
canada,usa,usa,usa,usa,china,usa
usa,japan,taiwan,japan,france,usa,uk
usa,usa,usa,new zealand,usa,usa,usa
china,usa,usa,italy,usa,india,india
china,usa,japan,usa,usa,china,singapore
,israel,s. korea,turkey,japan,uk,south korea
usa,japan,usa,s. korea,usa,australia,usa
usa,indonesia,taiwan,usa,china,uk,usa
usa,usa,india,usa,usa,brazil,india
usa,singapore,japan,japan,usa,india,taiwan
israel,canada,usa,usa,japan,france,usa
canada,usa,switzerland,finland,usa,usa,italy
usa,switzerland,usa,bermuda,usa,singapore,usa
usa,usa,switzerland,spain,usa,s. korea,thailand
canada,usa,sweden,netherlands,usa,germany,
usa,australia,china,usa,india,australia,usa
usa,usa,usa,usa,usa,usa,france
usa,brazil,china,japan,usa,canada,uk
canada,taiwan,usa,norway,usa,israel,germany
usa,india,usa,usa,usa,new zealand,israel
india,taiwan,canada,s. korea,usa,poland,usa
usa,germany,s. korea,china,japan,usa,germany
usa,canada,japan,israel,usa,new zealand,india
usa,usa,italy,usa,usa,usa,
germany,south-africa,france,usa,usa,poland,australia
poland,none,usa,usa,usa,usa,usa
usa,usa,singapore,new zealand,usa,usa,usa
uk,united-arab-emirates,japan,usa,china,usa,usa
usa,japan,usa,usa,usa,s. korea,usa
,china,bermuda,usa,canada,usa,turkey
usa,usa,usa,canada,usa,s. korea,china
usa,usa,japan,usa,usa,india,usa
china,poland,france,usa,usa,norway,usa
italy,norway,uae,s. korea,china,switzerland,japan
germany,usa,mexico,brazil,usa,japan,netherlands
netherlands,saudi-arabia,s. korea,usa,usa,usa,south korea
usa,south-korea,south africa,usa,usa,singapore,taiwan
usa,usa,mexico,usa,usa,usa,japan
usa,australia,bermuda,usa,usa,bermuda,
usa,canada,usa,south africa,usa,south africa,singapore
canada,taiwan,japan,usa,usa,usa,hong kong
usa,taiwan,netherlands,india,usa,japan,usa
india,usa,s. korea,japan,ireland,usa,
singapore,none,germany,usa,usa,usa,usa
usa,usa,taiwan,italy,japan,usa,japan
usa,australia,uk,usa,usa,usa,usa
usa,south-korea,japan,singapore,usa,usa,united arab emirates
usa,usa,new zealand,usa,usa,singapore,mexico
usa,japan,kazakhstan,china,usa,usa,sweden
usa,japan,mexico,mexico,usa,brazil,mexico
netherlands,usa,france,usa,usa,japan,switzerland
usa,usa,china,usa,usa,usa,uk
usa,usa,uk,s. korea,finland,italy,mexico
canada,sweden,usa,mexico,usa,usa,france
usa,none,india,uk,usa,usa,australia
cambodia,united-kingdom,usa,usa,malaysia,mexico,south korea
,india,sweden,japan,usa,spain,usa
usa,india,usa,usa,japan,uk,turkey
usa,usa,germany,s. korea,usa,china,taiwan
canada,germany,mexico,hungary,usa,usa,usa
usa,south-korea,s. korea,usa,usa,usa,usa
france,switzerland,usa,japan,uk,india,japan
israel,sweden,hong kong,hong kong,canada,india,usa
canada,india,usa,mexico,usa,usa,usa
brazil,japan,s. korea,usa,usa,turkey,japan
,usa,india,netherlands,taiwan,finland,sweden
japan,united-arab-emirates,usa,india,canada,s. arabia,south korea
india,taiwan,usa,india,usa,s. korea,india
usa,japan,s. korea,uk,usa,usa,south korea
israel,thailand,usa,japan,usa,china,south africa
usa,india,usa,japan,usa,netherlands,usa
usa,usa,usa,japan,usa,india,china
usa,malaysia,usa,germany,usa,india,canada
india,usa,usa,usa,usa,sweden,usa
usa,turkey,germany,china,usa,usa,usa
canada,hong-kong,japan,taiwan,japan,uk,usa
usa,saudi-arabia,usa,sweden,hong kong,netherlands,usa
usa,usa,canada,canada,usa,usa,south korea
usa,usa,usa,switzerland,canada,usa,israel
usa,usa,israel,india,usa,s. korea,usa
china,sweden,usa,usa,usa,india,uk
india,canada,turkey,usa,usa,japan,
usa,usa,usa,singapore,canada,canada,usa
usa,japan,hong kong,uk,usa,usa,sweden
usa,japan,usa,usa,uk,rsey,india
usa,usa,usa,australia,singapore,hong kong,japan
,singapore,hungary,finland,usa,s. korea,china
spain,usa,hong kong,france,canada,usa,uk
usa,usa,usa,germany,usa,usa,germany
south korea,brazil,japan,usa,sweden,usa,france
usa,italy,japan,usa,usa,canada,australia
hong kong,netherlands,japan,japan,singapore,usa,france
singapore,usa,japan,usa,usa,usa,singapore
usa,india,uk,usa,australia,bermuda,usa
india,usa,uk,chile,bermuda,usa,usa
israel,usa,australia,poland,sweden,india,usa
india,norway,singapore,france,usa,france,hong kong
spain,united-kingdom,sweden,uk,usa,belgium,usa
usa,indonesia,australia,s. korea,usa,turkey,usa
brazil,saudi-arabia,china,usa,usa,usa,poland
usa,mexico,usa,spain,usa,australia,sweden
usa,chile,uk,india,usa,usa,usa
usa,india,uk,usa,usa,usa,usa
usa,usa,usa,hong kong,usa,thailand,hong kong
india,japan,usa,canada,usa,mexico,usa
usa,brazil,poland,france,usa,sweden,usa
usa,usa,france,australia,usa,usa,switzerland
usa,denmark,spain,mexico,usa,italy,usa
singapore,usa,usa,uk,canada,japan,south korea
india,usa,uk,usa,usa,japan,india
usa,usa,usa,india,canada,india,uk
usa,taiwan,usa,canada,usa,singapore,usa
usa,none,india,malaysia,canada,new zealand,usa
usa,saudi-arabia,usa,usa,usa,s. korea,indonesia
usa,united-kingdom,mexico,belgium,israel,sweden,uk
usa,indonesia,singapore,india,poland,indonesia,usa
usa,japan,usa,usa,usa,france,canada
usa,china,s. korea,usa,malaysia,mexico,usa
usa,switzerland,usa,s. korea,switzerland,mexico,usa
china,finland,usa,turkey,australia,india,usa
india,japan,switzerland,india,usa,s. korea,usa
china,malaysia,hong kong,s. korea,usa,usa,new zealand
finland,usa,uae,usa,usa,canada,canada
india,japan,china,usa,usa,china,japan
usa,south-korea,indonesia,s. arabia,usa,usa,japan
usa,india,usa,sweden,poland,japan,mexico
usa,germany,usa,israel,usa,uk,usa
usa,usa,india,usa,usa,germany,usa
usa,saudi-arabia,canada,usa,usa,south africa,india
usa,japan,india,indonesia,usa,japan,usa
usa,usa,mexico,usa,usa,usa,usa
usa,israel,france,usa,usa,usa,usa
usa,france,india,israel,usa,usa,usa
usa,china,s. korea,japan,usa,japan,china
usa,turkey,india,s. arabia,usa,india,usa
india,usa,usa,india,usa,turkey,usa
usa,canada,usa,usa,usa,indonesia,japan
usa,usa,japan,mexico,south africa,uk,spain
india,usa,sweden,usa,usa,usa,usa
usa,hong-kong,usa,indonesia,canada,usa,malaysia
usa,india,uk,turkey,usa,france,belgium
usa,italy,japan,usa,usa,japan,usa
usa,usa,usa,india,usa,luxembourg,usa
indonesia,japan,usa,japan,usa,usa,united arab emirates
usa,usa,south africa,switzerland,australia,uk,taiwan
usa,japan,usa,usa,canada,usa,spain
usa,india,usa,uk,israel,usa,south africa
usa,united-kingdom,turkey,spain,china,usa,japan
usa,india,new zealand,malaysia,usa,taiwan,hong kong
usa,spain,new zealand,japan,sweden,new zealand,italy
usa,china,india,turkey,usa,australia,uk
taiwan,united-kingdom,usa,usa,usa,usa,
usa,italy,usa,usa,usa,taiwan,united arab emirates
brazil,usa,s. korea,japan,usa,india,brazil
indonesia,south-africa,malaysia,uk,usa,uk,saudi arabia
usa,usa,usa,usa,usa,japan,usa
usa,germany,spain,sweden,canada,south africa,japan
usa,usa,germany,japan,usa,usa,usa
usa,japan,usa,usa,usa,uk,japan
uk,south-korea,brazil,germany,usa,spain,indonesia
,new-zealand,japan,usa,usa,malaysia,usa
usa,indonesia,italy,usa,poland,india,china
usa,taiwan,usa,japan,usa,finland,usa
usa,japan,usa,hong kong,usa,germany,indonesia
canada,south-korea,italy,usa,usa,uk,india
china,japan,canada,usa,usa,japan,uk
usa,malaysia,argentina,taiwan,usa,usa,usa
usa,usa,uae,new zealand,usa,mexico,usa
india,new-zealand,usa,kazakhstan,bermuda,india,saudi arabia
india,mexico,taiwan,japan,ireland,canada,uk
,brazil,japan,india,usa,israel,germany
usa,japan,usa,brazil,china,usa,japan
canada,india,usa,india,usa,usa,india
uk,usa,usa,new zealand,usa,russia,usa
usa,usa,usa,usa,greece,usa,france
usa,usa,germany,s. korea,usa,usa,canada
usa,usa,poland,malaysia,usa,hong kong,israel
usa,india,finland,italy,israel,sweden,usa
,canada,uk,usa,usa,germany,india
usa,poland,japan,canada,uk,usa,india
uk,usa,usa,india,hong kong,norway,japan
usa,united-arab-emirates,usa,japan,usa,chile,malaysia
usa,usa,israel,south africa,usa,ngary,south korea
usa,usa,canada,usa,usa,usa,hong kong
uk,sweden,japan,india,usa,s. arabia,usa
usa,china,s. arabia,usa,canada,usa,india
usa,usa,uk,usa,china,switzerland,turkey
usa,germany,s. korea,usa,poland,india,south korea
usa,usa,usa,japan,usa,taiwan,japan
india,usa,india,sweden,usa,malaysia,indonesia
usa,singapore,s. arabia,norway,canada,japan,usa
usa,china,s. korea,usa,usa,usa,finland
usa,usa,usa,taiwan,usa,s. korea,india
usa,usa,chile,japan,usa,norway,taiwan
usa,usa,usa,denmark,israel,japan,usa
usa,japan,india,norway,usa,usa,china
ireland,indonesia,japan,italy,usa,usa,china
usa,france,usa,switzerland,poland,japan,denmark
uk,usa,china,france,usa,usa,uk
canada,japan,france,usa,usa,usa,south korea
usa,india,china,usa,usa,japan,japan
japan,spain,usa,japan,malta,japan,switzerland
usa,hong-kong,usa,usa,usa,usa,usa
usa,usa,malaysia,brazil,usa,italy,usa
india,poland,usa,china,usa,usa,netherlands
india,usa,taiwan,taiwan,usa,usa,japan
usa,usa,usa,japan,usa,malaysia,italy
usa,france,india,usa,usa,s. arabia,usa
usa,usa,india,turkey,poland,brazil,usa
canada,switzerland,usa,taiwan,australia,germany,japan
canada,usa,uk,china,usa,usa,singapore
usa,united-kingdom,japan,s. arabia,usa,usa,sweden
india,usa,luxembourg,taiwan,usa,japan,hong kong
usa,south-korea,usa,india,usa,turkey,south korea
usa,usa,usa,singapore,usa,japan,mexico
usa,south-korea,usa,france,usa,usa,italy
india,south-korea,usa,s. korea,usa,s. korea,usa
usa,usa,japan,uk,usa,india,south korea
usa,mexico,usa,netherlands,usa,usa,
usa,usa,japan,usa,india,taiwan,turkey
usa,germany,india,usa,taiwan,singapore,usa
,usa,japan,taiwan,usa,taiwan,
usa,usa,usa,india,israel,usa,japan
usa,usa,hong kong,usa,china,japan,usa
usa,united-kingdom,japan,usa,usa,israel,usa
usa,china,norway,japan,usa,india,usa
south korea,norway,switzerland,usa,usa,usa,usa
usa,india,turkey,s. korea,usa,italy,saudi arabia
usa,usa,india,germany,sweden,usa,usa
uk,usa,usa,usa,israel,hong kong,norway
usa,united-arab-emirates,india,taiwan,usa,usa,brazil
china,finland,indonesia,usa,usa,usa,chile
uk,usa,singapore,s. arabia,usa,usa,usa
usa,france,usa,usa,china,hong kong,japan
usa,japan,china,canada,usa,france,usa
china,usa,switzerland,japan,canada,taiwan,uk
israel,china,hong kong,brazil,singapore,russia,japan
canada,taiwan,denmark,luxembourg,usa,germany,saudi arabia
usa,japan,malaysia,usa,taiwan,usa,canada
usa,switzerland,italy,usa,israel,taiwan,japan
usa,usa,brazil,usa,usa,canada,malaysia
usa,japan,indonesia,usa,usa,usa,usa
usa,usa,mexico,usa,usa,usa,switzerland
usa,belgium,usa,usa,usa,usa,usa
usa,usa,usa,usa,usa,indonesia,japan
usa,japan,japan,usa,india,usa,usa
canada,united-arab-emirates,usa,netherlands,usa,india,usa
india,india,s. arabia,canada,usa,s. korea,usa
india,brazil,usa,japan,canada,canada,denmark
usa,usa,indonesia,uk,usa,usa,thailand
usa,japan,s. korea,india,usa,usa,taiwan
usa,spain,brazil,italy,china,usa,usa
usa,taiwan,china,hong kong,usa,sweden,australia
india,australia,canada,usa,usa,usa,usa
usa,united-kingdom,poland,usa,israel,usa,usa
india,india,taiwan,colombia,taiwan,spain,india
usa,india,usa,usa,usa,denmark,turkey
usa,usa,usa,switzerland,usa,usa,usa
sweden,netherlands,india,s. korea,finland,usa,uk
usa,usa,usa,sweden,japan,uk,usa
usa,usa,netherlands,canada,usa,denmark,japan
china,usa,usa,uk,usa,s. korea,usa
usa,usa,thailand,usa,usa,brazil,germany
usa,brazil,s. korea,usa,usa,usa,taiwan
usa,new-zealand,sweden,uk,ireland,switzerland,india
india,japan,australia,japan,usa,usa,india
uk,hong-kong,usa,s. korea,uk,japan,saudi arabia
usa,usa,taiwan,usa,usa,japan,china
russia,italy,japan,greece,denmark,usa,taiwan
,usa,uk,france,china,india,india
usa,germany,germany,usa,usa,turkey,australia
india,thailand,usa,poland,poland,japan,brazil
usa,taiwan,japan,usa,usa,usa,japan
usa,usa,south africa,uk,usa,japan,canada
usa,south-africa,australia,usa,uk,usa,usa
canada,finland,s. korea,s. korea,china,japan,norway
canada,china,colombia,uk,usa,indonesia,india
usa,ireland,india,usa,usa,japan,usa
usa,switzerland,australia,luxembourg,usa,japan,usa
usa,china,germany,india,greece,australia,sweden
usa,france,s. korea,australia,usa,usa,south korea
india,japan,usa,india,usa,india,usa
usa,switzerland,usa,argentina,usa,usa,united arab emirates
usa,usa,usa,canada,usa,usa,singapore
usa,singapore,japan,japan,usa,switzerland,taiwan
usa,turkey,s. arabia,netherlands,usa,mexico,usa
india,taiwan,taiwan,usa,usa,usa,usa
india,france,uae,turkey,canada,greece,france
sweden,hong-kong,usa,mexico,japan,canada,uk
usa,australia,canada,india,usa,italy,canada
australia,norway,usa,india,israel,switzerland,usa
usa,usa,poland,sweden,china,netherlands,usa
usa,sweden,japan,denmark,usa,australia,japan
usa,united-arab-emirates,uk,poland,poland,france,usa
usa,united-kingdom,japan,usa,taiwan,japan,south africa
usa,canada,south africa,usa,usa,japan,south korea
usa,japan,hong kong,denmark,usa,india,uk
india,hong-kong,taiwan,south africa,usa,france,poland
india,belgium,france,indonesia,usa,usa,denmark
israel,usa,turkey,italy,usa,japan,china
india,usa,usa,germany,usa,usa,usa
israel,australia,luxembourg,singapore,usa,s. korea,usa
japan,ireland,usa,usa,canada,usa,south africa
usa,ireland,luxembourg,south africa,japan,india,taiwan
usa,india,usa,china,portugal,india,india
usa,australia,s. arabia,taiwan,india,usa,india
usa,malaysia,usa,china,japan,sweden,france
usa,china,australia,canada,usa,japan,netherlands
usa,usa,japan,japan,ireland,japan,india
taiwan,india,india,usa,usa,poland,usa
india,denmark,india,s. korea,usa,usa,usa
poland,usa,switzerland,denmark,australia,japan,usa
usa,china,india,s. arabia,usa,usa,usa
france,spain,sweden,india,usa,uk,usa
usa,united-kingdom,canada,usa,usa,india,usa
india,usa,usa,uk,usa,taiwan,japan
ireland,poland,norway,usa,china,sweden,hong kong
usa,australia,usa,usa,usa,usa,usa
belgium,germany,usa,japan,usa,australia,australia
usa,usa,taiwan,usa,india,turkey,italy
germany,usa,singapore,usa,usa,indonesia,usa
indonesia,china,usa,japan,usa,usa,usa
usa,usa,uk,usa,poland,turkey,
turkey,japan,denmark,usa,israel,usa,australia
usa,usa,denmark,israel,usa,uk,france
israel,italy,usa,usa,usa,netherlands,brazil
usa,usa,canada,singapore,canada,denmark,india
usa,usa,germany,usa,usa,taiwan,switzerland
usa,france,usa,france,usa,canada,taiwan
usa,japan,usa,australia,cayman islands,japan,canada
india,india,usa,spain,usa,usa,india
usa,finland,switzerland,australia,usa,india,usa
india,usa,uk,japan,usa,canada,poland
,united-kingdom,japan,usa,usa,china,usa
usa,none,italy,usa,canada,usa,usa
usa,united-kingdom,usa,usa,china,usa,japan
canada,united-kingdom,usa,canada,japan,usa,usa
china,usa,netherlands,usa,usa,usa,turkey
usa,china,italy,s. korea,usa,brazil,japan
poland,united-kingdom,greece,usa,usa,usa,usa
usa,germany,taiwan,new zealand,usa,usa,india
usa,usa,france,canada,usa,usa,canada
usa,china,usa,china,usa,japan,usa
uk,usa,usa,canada,usa,india,usa
usa,japan,s. korea,japan,japan,japan,poland
china,usa,usa,sweden,usa,usa,germany
canada,australia,india,japan,usa,japan,south korea
usa,taiwan,usa,japan,usa,s. arabia,united arab emirates
germany,usa,usa,italy,taiwan,usa,usa
india,usa,usa,usa,usa,usa,poland
china,usa,usa,usa,usa,turkey,usa
germany,united-kingdom,japan,japan,china,india,japan
uk,france,poland,japan,usa,usa,
usa,india,uae,india,usa,usa,japan
usa,india,usa,australia,canada,usa,sweden
usa,usa,usa,usa,china,uk,usa
usa,china,usa,poland,usa,usa,japan
uk,belgium,canada,canada,japan,usa,switzerland
china,usa,usa,india,portugal,south africa,japan
canada,usa,india,switzerland,canada,singapore,indonesia
usa,south-africa,indonesia,turkey,usa,singapore,usa
usa,china,sweden,switzerland,usa,taiwan,brazil
usa,usa,brazil,taiwan,usa,china,canada
usa,india,usa,brazil,usa,denmark,usa
france,germany,usa,indonesia,usa,germany,indonesia
canada,usa,usa,poland,usa,usa,denmark
sweden,brazil,s. korea,usa,india,s. korea,india
usa,taiwan,usa,luxembourg,usa,usa,usa
usa,france,netherlands,usa,usa,thailand,usa
usa,usa,usa,macau,usa,usa,netherlands
india,saudi-arabia,usa,indonesia,usa,germany,india
israel,china,japan,usa,usa,germany,
uk,japan,usa,japan,germany,uk,usa
usa,japan,germany,usa,usa,luxembourg,israel
usa,israel,usa,indonesia,canada,usa,usa
india,germany,japan,usa,usa,japan,singapore
usa,brazil,turkey,japan,usa,usa,china
israel,mexico,uk,usa,germany,usa,usa
sweden,malaysia,japan,indonesia,usa,india,usa
,china,taiwan,india,usa,indonesia,usa
japan,usa,sweden,usa,usa,japan,usa
china,brazil,india,usa,usa,japan,usa
usa,south-africa,canada,usa,china,usa,usa
usa,israel,usa,usa,usa,canada,taiwan
australia,thailand,usa,usa,usa,uk,japan
usa,netherlands,usa,usa,sweden,china,usa
uk,usa,japan,usa,usa,usa,usa
canada,india,usa,canada,usa,usa,india
usa,usa,sweden,s. korea,usa,france,usa
usa,japan,usa,canada,usa,germany,taiwan
malaysia,canada,israel,india,poland,usa,usa
usa,usa,usa,usa,usa,australia,usa
cambodia,france,usa,thailand,poland,japan,usa
usa,japan,usa,india,usa,usa,usa
canada,switzerland,canada,usa,usa,sweden,usa
usa,japan,china,usa,usa,usa,usa
india,none,usa,switzerland,poland,canada,japan
usa,usa,denmark,brazil,usa,canada,south korea
usa,usa,singapore,india,cambodia,india,switzerland
china,usa,switzerland,usa,monaco,usa,sweden
usa,japan,india,japan,usa,indonesia,usa
sweden,netherlands,japan,japan,hong kong,usa,usa
usa,israel,japan,australia,usa,new zealand,usa
israel,singapore,china,usa,singapore,south africa,australia
usa,canada,australia,mexico,uk,sweden,usa
usa,usa,switzerland,usa,israel,usa,usa
usa,india,usa,japan,usa,usa,australia
usa,usa,brazil,hong kong,singapore,usa,uk
japan,usa,japan,usa,usa,ilippines,australia
usa,china,usa,s. arabia,united arab emirates,usa,usa
japan,usa,sweden,india,japan,usa,usa
usa,usa,taiwan,s. korea,usa,india,canada
usa,usa,japan,usa,japan,poland,japan
usa,sweden,macau,germany,usa,s. korea,indonesia
usa,usa,spain,usa,usa,japan,italy
usa,germany,usa,usa,usa,australia,japan
usa,china,usa,india,usa,usa,usa
united arab emirates,usa,usa,usa,turkey,usa,japan
japan,china,usa,australia,usa,usa,uk
usa,india,usa,usa,cambodia,australia,germany
usa,japan,usa,usa,usa,india,usa
usa,germany,usa,usa,brazil,s. arabia,sweden
canada,finland,usa,usa,usa,sweden,usa
usa,france,japan,usa,canada,japan,usa
usa,usa,usa,uk,usa,switzerland,canada
usa,south-korea,japan,switzerland,japan,canada,uk
usa,usa,indonesia,usa,sweden,usa,saudi arabia
usa,usa,canada,india,turkey,usa,usa
usa,usa,usa,japan,usa,s. korea,japan
india,usa,usa,sweden,usa,lombia,new zealand
australia,indonesia,usa,usa,usa,s. korea,south africa
,none,usa,germany,uk,uk,canada
usa,australia,australia,usa,usa,mexico,japan
usa,usa,s. arabia,thailand,usa,usa,usa
usa,none,france,usa,usa,italy,uk
usa,japan,switzerland,usa,usa,usa,indonesia
usa,italy,usa,taiwan,usa,india,india
israel,spain,japan,china,canada,canada,usa
usa,china,australia,singapore,japan,usa,usa
usa,japan,usa,usa,hong kong,usa,usa
usa,france,usa,usa,usa,usa,china
usa,india,uk,usa,denmark,poland,india
usa,thailand,usa,usa,india,japan,usa
usa,usa,usa,japan,china,usa,spain
