name,headquarters,number_of_employees,address,industry,website,market_cap,telephone,revenue
Medifast Inc,United States of America,984,"11445 Cronhill Dr, Owings Mills, Maryland, 21117-2270",Pharmaceuticals and Healthcare,medifastinc.com,$1.3B,1 732 7640619,$1.5B
Tan Chong International Ltd,Hong Kong,"5,105","Unit 3001, 30th Floor, Shui On Centre, 6-8 Harbour Rd.,Wanchai, Hong Kong",Automotive,www.tanchong.com,$463.7M,852  28244473,$1.5B
Dalmia Bharat Ltd,India,"8,500","11th & 12th Floors, Hansalaya Building, 15,Barakhamba Road, New Delhi, 110001",Construction,www.dalmiabharat.com,$4.3B,91 11 23310121,$1.5B
DiGi.Com Bhd,Malaysia,"1,400","Lot 10, Jalan Delima 1/1, Subang Hi-Tech Industrial Park, Shah Alam, Selangor, 40000",Technology and Communications,www.digi.com.my,$11.3B,60 3 57211800,$1.5B
SPX Flow Inc,United States of America,"4,900","13320 Ballantyne Corporate Pl, Charlotte, North Carolina, 28277-3607",Industrial Goods and Machinery,www.spxflow.com,,1 704 7524400,$1.5B
Barnes & Noble Education Inc,United States of America,"3,270","120 Mountainview Blvd, Basking Ridge, New Jersey, 07920-3454",Technology and Communications,www.bned.com,$105.2M,1 908 9912665,$1.5B
Royal Caribbean Cruises Ltd,United States of America,"85,000","1050 Caribbean Way, Miami, Florida, 33132",Transport and Logistics,www.royalcaribbeangroup.com,$15.9B,1 305 5396000,$1.5B
Intertape Polymer Group Inc,Canada,"3,599","Suite 200, 9999 Cavendish Blvd, Ville Saint-Laurent, Quebec, H4M2X5",Paper and Packaging,www.itape.com,,1 514 7317591,$1.5B
Mahindra & Mahindra Financial Services Ltd,India,"19,998","4th Floor, Mahindra Towers, Dr. G.M. Bhosale Marg, P.K. Kurne Chowk,Worli, Mumbai, 400018",Financial Services,mahindrafinance.com,$3.5B,91 22 66526000,$1.5B
Whiting Holdings LLC,United States of America,356,"1700 Lincoln Street, 1700 Broadway, Suite 2300, Denver, Colorado, 80290",Energy and Utilities,www.whiting.com,$2.7B,1 303 8371661,$1.5B
Enel Distribucion Chile SA,Chile,569,"Santa Rosa 76 Piso 2, Santiago",Power,www.enel.cl/es/conoce-enel/enel-distribucion-chile,$587.8M,56 2 23534680,$1.5B
HSBC Trinkaus & Burkhardt AG,Germany,"3,017","Hansaallee 3, Duesseldorf, 40549",Financial Services,www.about.hsbc.de,,49 211 9100,$1.5B
Bendigo and Adelaide Bank Ltd,Australia,"4,652","The Bendigo Ctr, 22-44 Bath Lane, Victoria, 3550",Financial Services,www.bendigoadelaide.com.au/public,$4.0B,61 3 00361911,$1.5B
Glory Health Industry Ltd,China,537,"No.15, Zhushikou East Street, Dongcheng District, Beijing, 100050",Construction,www.glorypty.com,$124.5M,,$1.5B
Euronext NV,Netherlands,"2,108","Beursplein 5, Amsterdam, 1012JW",Financial Services,www.euronext.com,$8.7B,31 20 5504444,$1.5B
Xinyuan Real Estate Co Ltd,China,"1,701","27f, China Central Place, Tower Ii, 79 Jianguo Road, Chaoyang District, Beijing, 100025",Construction,ir.xyre.com,$24.8M,86 10 85889200,$1.5B
Varian Medical Systems Inc,United States of America,"10,613","3120 Hansen Way, M/S G100, Palo Alto, California, 94304-1038",Medical Equipment,www.varian.com,,1 650 4934000,$1.5B
Mizuno Corp,Japan,"3,782","1-12-35, Nanko Kita, Suminoe-Ku, Osaka-Shi, 559-8510",Consumer Packaged Goods,corp.mizuno.com,$562.6M,81 6 66148110,$1.5B
Okuma Corp,Japan,"3,953","5-25-1, Shimo-Oguchi, Oguchi-Cho, Niwa-Gun, Aichi, 480-0193",Industrial Goods and Machinery,www.okuma.co.jp,$1.3B,81 587 957823,$1.5B
Wacoal Holdings Corp,Japan,"19,717","29 Nakajima-cho, Kisshoin, Kyoto-Shi, 6018530",Consumer Packaged Goods,www.wacoalholdings.jp,$1.2B,81 75 6943111,$1.5B
Jiangsu Hansoh Pharmaceutical Group Co Ltd,China,"10,783","287 Xiangke Road, Pudong New District, Shanghai, 201210",Pharmaceuticals and Healthcare,www.hspharm.com,$13.0B,,$1.5B
Stella International Holdings Ltd,Hong Kong,"43,360","Suites 3003-04, 30/F,Tower 2,The Gateway, 25 Canton Road, Tsimshatsui, Kowloon, Hong Kong",Consumer Packaged Goods,www.stella.com.hk,$782.2M,852  29561339,$1.5B
Palantir Technologies Inc,United States of America,"3,712","1200 17th Street, Floor 15, Denver, Colorado, 80202",Technology and Communications,www.palantir.com,$14.4B,1 720 3583679,$1.5B
Moelis & Co,United States of America,990,"399 Park Avenue, 5th Floor, New York, 10022",Financial Services,www.moelis.com,$3.1B,1 212 8833800,$1.5B
Integra LifeSciences Holdings Corp,United States of America,"3,800","1100 Campus Road, Princeton, New Jersey, 08540",Medical Equipment,www.integralife.com,$4.6B,1 609 2750500,$1.5B
Cancom SE,Germany,"3,698","Erika-Mann-Str. 69, Muenchen, 80636",Technology and Communications,www.cancom.com,$1.3B,49 89 540540,$1.5B
FBN Holdings Plc,Nigeria,"8,178","Samuel Asabia House, 35 Marina, P.O. Box 5216, Lagos",Financial Services,www.fbnholdings.com,$919.0M,234 9 052000,$1.5B
Kyoritsu Maintenance Co Ltd,Japan,"5,639","2-18-8, Sotokanda, Chiyoda-Ku, Tokyo, 101-8621",Leisure and Arts,www.kyoritsugroup.co.jp,$1.7B,81 3 52957777,$1.5B
Nippon Densetsu Kogyo Co Ltd,Japan,"4,706","Ndk Daini Ikenohata Bldg., 1-2-23, Ikenohata, Taito-Ku, Tokyo, 110-8706",Construction,www.densetsuko.co.jp,$746.8M,81 3 38228811,$1.5B
Medical Properties Trust Inc,United States of America,112,"1000 Urban Center Drive, Suite 501, Birmingham, Alabama, 35242",Construction,medicalpropertiestrust.com,$8.1B,1 205 9693755,$1.5B
Himax Technologies Inc,Taiwan,"2,083","No.26, Zilian Road, Xinshi District, Tainan, 741",Technology and Communications,www.himax.com.tw,$1.3B,886 6 5050880,$1.5B
Mercury NZ Ltd,New Zealand,"1,335","33 Broadway, Newmarket, Auckland, 1023",Power,www.mercury.co.nz,$5.2B,64 9 3088200,$1.5B
Welbilt Inc,United States of America,"4,800","2227 Welbilt Blvd, New Port Richey, Florida, 34655-5130",Industrial Goods and Machinery,www.welbilt.com,$3.4B,1 727 3757010,$1.5B
PT Bank Danamon Indonesia Tbk,Indonesia,"22,447","Menara Bank Danamonjl. Hr. Rasuna Said, Blok C No 10kel. Karet, Kec. Setiabudi, Jakarta Selatan, 12920",Financial Services,www.danamon.co.id,$1.6B,62 21 80645000,$1.5B
Evolution Mining Ltd,Australia,"2,689","L 24 175 Liverpool Street, Sydney, New South Wales, 2000",Metals and Mining,evolutionmining.com.au,$4.2B,61 2 96962900,$1.6B
Xtep International Holdings Ltd,China,"8,500","Xiamen Xtep Tower, No. 89 Jiayi Road, Guanyinshan, Fujian, 361008",Consumer Packaged Goods,www.xtep.com.hk,$3.3B,,$1.6B
Remy Cointreau SA,France,"1,924","Rue Joseph Pata, Cognac, 16100",Consumer Packaged Goods,www.remy-cointreau.com,$9.5B,33 1 44134413,$1.6B
Uponor Oyj,Finland,"4,326","Ayritie 20, Vantaa, 01510",Construction,www.uponor.com,$1.3B,358 2 0129211,$1.6B
ICF International Inc,United States of America,"8,000","9300 Lee Hwy, Fairfax, Virginia, 22031-6050",Technology and Communications,www.icf.com,$1.8B,1 703 9343000,$1.6B
Zhongshan Broad-Ocean Motor Co Ltd,China,"12,704","No. 1 Guangfeng Industrial Avenue, West District, Zhongshan, Guangdong, 528411",Industrial Goods and Machinery,www.broad-ocean.com,$1.9B,86 760 88555306,$1.6B
FPT Corp,Vietnam,"41,124","Fpt Building, Lot B2, Duy Tan Road, Pham Hung Street, Cau Giay District, Hanoi",Technology and Communications,www.fpt.com.vn,$3.9B,84 4 73007300,$1.6B
LOTTE Fine Chemical Co Ltd,South Korea,810,"19, Yeocheon-Ro 217beon-Gil, Nam-Gu, Ulsan, 44714",Chemicals,www.lottefinechem.com,$1.2B,82 52 2706114,$1.6B
Malakoff Corporation Bhd,Malaysia,"3,922","Level 13, Block 4, Plaza Sentrl, Jalan Stesen Sentral 5, Kuala Lumpur, 50470",Power,www.malakoff.com.my,$791.9M,60 3 22633388,$1.6B
Costain Group Plc,United Kingdom,"3,311","Costain House, Vanwall Business Park, Maidenhead, SL64UB",Construction,www.costain.com,$142.6M,44 1628 842444,$1.6B
Rosbank PAO,Russia,,"Moskva, Ul. Mashi Poryvaevoy, 34, Moscow, 107078",Financial Services,www.rosbank.ru,$2.5B,7 495 7898877,$1.6B
Colowide Co Ltd,Japan,"5,319","12f, Landmark Tower, 2-2-1, Minatomirai, Nishi-Ku, Yokohama-Shi, Kanagawa, 220-8112",Retailing,www.colowide.co.jp,$1.2B,81 45 2745970,$1.6B
Sanken Electric Co Ltd,Japan,"8,101","3-6-3, Kitano, Niiza-Shi, Saitama, 352-8666",Technology and Communications,www.sanken-ele.co.jp,$1.4B,81 48 4721111,$1.6B
Close Brothers Group Plc,United Kingdom,"3,823","10 Crown Place, London, EC2A4FT",Financial Services,www.closebrothers.com,$2.0B,44 20 76553879,$1.6B
Wyndham Hotels & Resorts Inc,United States of America,"8,000","22 Sylvan Way, Parsippany, New Jersey, 07054-3801",Leisure and Arts,corporate.wyndhamhotels.com,$6.4B,1 973 7537791,$1.6B
iRobot Corp,United States of America,"1,316","8 Crosby Dr, Bedford, Massachusetts, 01730-1402",Consumer Packaged Goods,www.irobot.com,$1.3B,1 781 4303000,$1.6B
"Test Rite International Co., Ltd.",Taiwan,"4,713","6f, No.23, Hsin Hu 3rd Road, Neihu District, Taipei, 114",Consumer Packaged Goods,www.testritegroup.com,$334.6M,886 2 87915888,$1.6B
Shijiazhuang Yiling Pharmaceutical Co Ltd,China,"15,155","No. 238, Tianshan Avenue, High-Tech Industrial Development Zone, Shijiazhuang, Hebei, 050035",Pharmaceuticals and Healthcare,www.yiling.cn/en,$7.1B,86 311 85901311,$1.6B
Okinawa Electric Power Co Inc,Japan,"2,806","5-2-1, Makiminato, Urasoe-Shi, Okinawa, 901-2602",Power,www.okiden.co.jp,$450.1M,81 98 8772341,$1.6B
Alliance Resource Partners LP,United States of America,"2,990","1717 S Boulder Ave, Tulsa, Oklahoma, 74119",Metals and Mining,www.arlp.com,$2.6B,1 918 2957600,$1.6B
Goodman Group,Australia,"1,100","The Hayesbery, 1-11 Hayes Road, Rosebery, New South Wales, 2018",Construction,www.goodman.com,$25.1B,61 2 92307400,$1.6B
Topcon Corp,Japan,"5,248","75-1, Hasunuma-Cho, Itabashi-Ku, Tokyo, 174-8580",Metals and Mining,www.topcon.co.jp,$1.3B,81 3 35582536,$1.6B
SerComm Corp,Taiwan,"4,172","8f, No.3-1, Yuan Qu Strt,San Chong Li, Nangang Dst., Taipei, 115",Technology and Communications,www.sercomm.com,$675.8M,886 2 26553988,$1.6B
Hangzhou Robam Appliances Co Ltd,China,"4,879","No. 592, Linping Avenue, Yuhang Economic Development Zone, Hangzhou, Zhejiang, 311100",Consumer Packaged Goods,www.robam.com,$4.4B,86 571 86187810,$1.6B
Simpson Manufacturing Co Inc,United States of America,"3,971","5956 W Las Positas Blvd, Pleasanton, California, 94588-8540",Construction,www.simpsonmfg.com,$4.1B,1 925 5609000,$1.6B
Vanguard International Semiconductor Corp,Taiwan,"3,564","No.123 Park 3rd Avenue, Hsinchu Science-Based Industrial Park, Baoshan, 300",Technology and Communications,www.vis.com.tw,$5.0B,886 3 5770355,$1.6B
OZ Minerals Ltd,Australia,"1,037","2 Hamra Dr, Adelaide, South Australia, 5950",Metals and Mining,www.ozminerals.com,$6.5B,61 8 82296600,$1.6B
Seagen Inc,United States of America,"2,675","21823 30th Drive Se, Suite, Bothell, Washington, 98021",Pharmaceuticals and Healthcare,www.seagen.com,$24.2B,1 425 5274000,$1.6B
Chord Energy Corporation,United States of America,255,"1001 Fannin Street, Suite 1500, Houston, Texas, 77002",Energy and Utilities,www.chordenergy.com,$5.7B,1 281 4049500,$1.6B
Greggs Plc,United Kingdom,"22,883","Greggs House, Quorum Business Park, Newcastle Upon Tyne, NE128BU",Retailing,corporate.greggs.co.uk,$3.3B,44 191 2817721,$1.6B
Celltrion Healthcare Co Ltd,South Korea,,"4f, 19, Academy-Ro 51beon-Gil, Yeonsu-Gu, Incheon, 22014",Pharmaceuticals and Healthcare,www.celltrionhealthcare.com,$7.7B,82 32 8506400,$1.6B
Extra Space Storage Inc,United States of America,"4,309","2795 Cottonwood Parkway, Suite 400, Salt Lake City, Utah, 84121",Construction,www.extraspace.com,$20.2B,1 801 5625556,$1.6B
Nutanix Inc,United States of America,"6,450","1740 Technology Dr Ste 150, San Jose, California, 95110-1348",Technology and Communications,www.nutanix.com,$6.1B,1 408 2168360,$1.6B
DFS Furniture plc,United Kingdom,"5,048","1 Rockingham Way, Redhouse Interchange, Adwick-Le-Street, Doncaster, DN67NA",Retailing,www.dfscorporate.co.uk,$472.1M,44 1302 330365,$1.6B
Sterling Infrastructure Inc,United States of America,"2,900","Suite 250, 1800 Hughes Landing Blvd, The Woodlands, Texas, 77380",Construction,www.strlco.com,$966.0M,1 281 2140800,$1.6B
ALS Ltd,Australia,"18,500","Level 2, 299 Coronation Drive, Milton, Brisbane, Queensland, 4064",Business and Consumer Services,www.alsglobal.com,$4.4B,61733677900,$1.6B
Kontron AG,Austria,"5,991","Industriezeile 35, Linz, 4020",Technology and Communications,www.snt-systemhaus.at,$1.3B,43 732 76640,$1.6B
Capital Power Corp,Canada,827,"1200-10423 101 St Nw, Edmonton, Alberta, T5H0E9",Power,www.capitalpower.com,$4.0B,1 780 3925100,$1.6B
Alviva Holdings Ltd,South Africa,"3,800","International Business Gateway Park, Corner Of New Road And 6th Street, Johannesburg, 1685",Technology and Communications,alvivaholdings.com,$189.3M,27 11 2377000,$1.6B
Conn's Inc,United States of America,"4,000","Suite 800, 2445 Technology Forest Boulevard, The Woodlands, Texas, 77381",Retailing,www.conns.com,$253.1M,1 936 2305899,$1.6B
Vornado Realty Trust,United States of America,"3,224","888 7th Ave, New York, 10106-0001",Construction,www.vno.com,$4.4B,1 212 8947000,$1.6B
POLA Orbis Holdings Inc,Japan,"4,261","5-8f, Pola Ginza Bldg., 1-7-7, Ginza, Chuo-Ku, Tokyo, 104-0061",Consumer Packaged Goods,www.po-holdings.co.jp,$3.1B,81 3 35635517,$1.6B
Tyler Technologies Inc,United States of America,"7,176","5101 Tennyson Parkway, Plano, Texas, 75024",Technology and Communications,www.tylertech.com,$12.7B,1 972 7133700,$1.6B
China TransInfo Technology Co Ltd,China,"7,090","No.10 Building, Guangqu Home, Dongcheng District, Beijing, 100085",Technology and Communications,www.ctfo.com,$2.3B,86 10 50821818,$1.6B
Nichi-Iko Pharmaceutical Co Ltd,Japan,"2,656","1-6-21, Sogawa, Toyama-Shi, 930-8583",Pharmaceuticals and Healthcare,www.nichiiko.co.jp,$41.2M,81 76 4322121,$1.6B
Founder Securities Co Ltd,China,"6,818","22-24f, Huaqiao International Mansion, Section 2, Furong Middle Road, Furong District, Changsha, Hunan, 410002",Financial Services,www.foundersc.com,$8.2B,86 731 85832367,$1.6B
RingCentral Inc,United States of America,"3,919","20 Davis Drive, Belmont, California, 94002-3002",Technology and Communications,www.ringcentral.com,$3.5B,1 650 4724100,$1.6B
WuXi Biologics Cayman Inc,China,"10,593","No. 108, Meiliang Road, Mashan, Wuxi, Jiangsu",Pharmaceuticals and Healthcare,www.wuxibiologics.com,$37.5B,,$1.6B
Hawaiian Holdings Inc,United States of America,"6,932","Suite G-350, 3375 Koapaka Street, Honolulu, Hawaii, 96819-1804",Transport and Logistics,www.hawaiianairlines.com,$626.7M,1 808 8353700,$1.6B
Bosch Ltd,India,"6,041","Post Box No. 3000, Hosur Road, Adugodi, Bangalore, 560030",Automotive,www.bosch.in,$6.2B,91 80 22220088,$1.6B
Churchill Downs Incorporated,United States of America,"5,000","600 N Hurstbourne Pkwy Ste 400, Louisville, Kentucky, 40222-5389",Leisure and Arts,www.churchilldownsincorporated.com,$8.6B,1 502 6364400,$1.6B
MMTC Ltd,India,702,"Core -1, Scope Complex, Lodhi Road, 7 Institutional Area, New Delhi, 110003",Metals and Mining,mmtclimited.com,$656.9M,91 11 24362200,$1.6B
Excelpoint Technology Ltd,Singapore,700,"15 Changi Business Park Central 1, #06-00, Singapore, 486057",Industrial Goods and Machinery,www.excelpoint.com,,65 6 7418966,$1.6B
Nobia AB,Sweden,"6,199","Blekholmstorget 30 E7, Stockholm, 11164",Construction,www.nobia.com,$379.4M,46 8 4401600,$1.6B
Kossan Rubber Industries Berhad,Malaysia,"7,000","Wisma Kossan, Lot 782, Off Batu 3 3/4 Jalan Kapar, Jalan Sungai Putus, Klang, 42100",Industrial Goods and Machinery,www.kossan.com,$638.7M,60 3 32912657,$1.6B
Spectris Plc,United Kingdom,"7,788","5th Floor Melbourne House, 44-46 Aldwych, London, WC2B4LL",Industrial Goods and Machinery,www.spectris.com,$4.2B,,$1.6B
Tokyo Electron Device Ltd,Japan,"1,279","No.1 Higashikata-Cho, Tsuzuki-Ku, Yokohama-Shi, Kanagawa, 221-0056",Technology and Communications,www.teldevice.co.jp,$583.7M,81 45 4434000,$1.6B
Frontdoor Inc,United States of America,"2,081","150 Peabody Pl, Memphis, Tennessee, 38103",Business and Consumer Services,www.frontdoorhome.com,$1.9B,1 901 7015000,$1.6B
China National Software & Service Co Ltd,China,"11,892","No. 18, Changsheng Road, Changping District, Beijing, 102200",Technology and Communications,www.css.com.cn,$6.4B,86 10 62158879,$1.6B
Tupperware Brands Corp,United States of America,"10,000","14901 South Orange Blossom Trail, Orlando, Florida, 32837",Consumer Packaged Goods,www.tupperwarebrands.com,$193.0M,1 407 8265050,$1.6B
Cable One Inc,United States of America,"3,628","210 E Earll Dr, Phoenix, Arizona, 85012-2626",Technology and Communications,www.cableone.biz,$4.4B,1 602 3646000,$1.6B
Xi'An Shaangu Power Co Ltd,China,"3,430","No.8 Fenghui South Road, High-Tech Zone, Xi'An, Shaanxi, 710075",Industrial Goods and Machinery,www.shaangu.com,$3.3B,86 29 81871035,$1.6B
Ahli United Bank BSc,Bahrain,"3,294","Building 2495, Road 2832, P.O. Box 2424, Al Seef, 428",Financial Services,www.ahliunited.com,$10.9B,973 1 7585858,$1.6B
Vestas Offshore Wind AS,Denmark,"3,000","Dusager 4, Aarhus N, 8200",Alternative Energy,www.mhivestasoffshore.com,,45 88 448900,$1.6B
Cementir Holding NV,Italy,"3,104","Corso Di Francia 200, Roma, 00191",Construction,www.cementirholding.it,$1.1B,,$1.6B
GC Corp,South Korea,170,"107, Ihyeon-Ro 30beon-Gil, Giheung-Gu, Yongin, 16924",Pharmaceuticals and Healthcare,www.greencross.com,$654.1M,82 31 2609300,$1.6B
Marel hf,Iceland,"6,645","Austurhraun 9, Gardabaer, 210",Industrial Goods and Machinery,marel.com,$3.1B,354 5 638000,$1.6B
Vivint Solar Inc,United States of America,"1,200","1800 W Ashton Blvd, Lehi, Utah, 84043-5490",Alternative Energy,www.vivintsolar.com,,1 801 3779111,$1.6B
Sunrun Inc,United States of America,"11,383","225 Bush St Ste 1400, San Francisco, California, 94104-4249",Alternative Energy,www.sunrun.com,$6.1B,1 415 5806900,$1.6B
Uni-Select Inc.,Canada,"1,321","170 Industriel Blvd, Boucherville, Quebec, J4B2X3",Retailing,www.uniselect.com,$1.3B,1 450 6412440,$1.6B
Orange Belgium SA,Belgium,"1,321","Avenue Du Bourget 3, Bruxelles, 1140",Technology and Communications,www.orange.be,$1.0B,32 2 7457111,$1.6B
Cheng Loong Corp,Taiwan,"9,680","No. 1, Section 1, Minsheng Road, Banqiao District, New Taipei, 220",Paper and Packaging,www.clc.com.tw,$1.0B,886 2 22225131,$1.6B
North China Pharmaceutical Co Ltd,China,"11,501","No. 388, Heping East Road, Shijiazhuang, Hebei, 050015",Pharmaceuticals and Healthcare,www.ncpc.com,$1.6B,86 311 85992839,$1.6B
Morinaga & Co Ltd,Japan,"2,937","2f, Morinaga Plaza Bldg., 5-33-1, Shiba, Minato-Ku, Tokyo, 108-8403",Consumer Packaged Goods,www.morinaga.co.jp,$1.4B,81 3 34560115,$1.6B
ADENTRA Inc,Canada,"2,734","306-9440 202 St, Langley, British Columbia, V1M4A6",Construction,www.hardwoods-inc.com,$500.0M,1 604 8811982,$1.6B
Agility Public Warehousing Co,Kuwait,"5,005","Sulbia Bsde Lnd Cstms Clrng Area Saft, P.O. Box 25418, Safat, 13115",Transport and Logistics,www.agility.com,$5.1B,965 1 809222,$1.6B
"Red Rock Resorts, Inc.",United States of America,"7,800","1505 S Pavilion Center Dr, Las Vegas, Nevada, 89135-1403",Leisure and Arts,www.redrockresorts.com,$4.5B,1 702 4953000,$1.6B
Hokuhoku Financial Group Inc,Japan,"4,670","1-2-26, Tsutsumicho-Dori, Toyama-Shi, 930-8637",Financial Services,www.hokuhoku-fg.co.jp,$997.0M,81 76 4237331,$1.6B
NLC India Ltd,India,"11,246","Block - 1, Neyveli, Cuddalore, 607801",Power,www.nlcindia.in/new_website/index.htm,$1.4B,91 4142 252205,$1.6B
Insignia Financial Ltd,Australia,"1,300","L 6 161 Collins St, Melbourne, Victoria, 3000",Financial Services,www.insigniafinancial.com.au,$1.7B,61 3 86144400,$1.6B
NuStar Energy LP,United States of America,"1,267","19003 Ih-10 West, San Antonio, Texas, 78257",Energy and Utilities,www.nustarenergy.com,$1.8B,1 210 9182000,$1.6B
Mitsubishi Paper Mills Ltd,Japan,"3,384","Ryogoku City Core, 2-10-14, Ryogoku, Sumida-Ku, Tokyo, 130-0026",Paper and Packaging,www.mpm.co.jp,$96.0M,81 3 56001488,$1.6B
Razer Inc,United States of America,"1,576","Suite 100, 9 Pasteur, Irvine, California, 92618",Technology and Communications,www.razer.com,,,$1.6B
MphasiS Ltd,India,"14,098","Bagmane Technology Park, Byrasandra, C V Raman Nagar, Bangalore, 560095",Technology and Communications,www.mphasis.com,$4.7B,91 80 67504613,$1.6B
Xinhua Winshare Publishing and Media Co Ltd,China,"7,481","Xinhua Star Tower A, 238 Sanse Road, Jinjiang District, Chengdu, Sichuan, 610063",Retailing,www.winshare.com.cn,$1.5B,86 28 86361022,$1.6B
JK Tyre & Industries Ltd,India,"5,904","Gulab Bhawan, 6a, Bahadur Shah Zafar Marg, New Delhi, 110002",Automotive,www.jktyre.com,$549.3M,91 11 30179260,$1.6B
Boryszew SA,Poland,"9,000","Aleje Jerozolimskie 92, Warszawa, 00-807",Metals and Mining,www.boryszew.com.pl,$279.0M,48 22 6586886,$1.6B
ABN AMRO Private Banking,Netherlands,"2,848","Gustav Mahlerlaan 10, Amsterdam, Noord-Holland, 1082",Financial Services,www.abnamroprivatebanking.com,,31 20 6282400,$1.6B
Bunka Shutter Co Ltd,Japan,"4,794","2f, Bx Hall, 1-17-3, Nishi-Kata, Bunkyo-Ku, Tokyo, 113-8535",Construction,www.bunka-s.co.jp,$636.2M,81 3 58447200,$1.6B
Kazatomprom,Kazakhstan,"21,000","Rayon Yesil', Ul. Ye-10, 17/12, Astana, 010000",Metals and Mining,www.kazatomprom.kz,$7.9B,7 717 2458101,$1.6B
Cavco Industries Inc,United States of America,"6,300","3636 North Central Ave, Ste 1200, Phoenix, Arizona, 85012",Construction,www.cavco.com,$2.3B,1 602 2566263,$1.6B
Vermilion Energy Inc,Canada,716,"3500, 520 - 3rd Avenue S.W., Calgary, Alberta, T2P0R3",Energy and Utilities,www.vermilionenergy.com,$2.5B,1 403 2694884,$1.6B
Accell Group N.V.,Netherlands,"3,763","P.O. Box 435, Heerenveen, 8440AK",Consumer Packaged Goods,www.accell-group.com,,31 513 638703,$1.6B
Taiji Computer Corp Ltd,China,"4,760","No. 7, Rongda Road, Chaoyang District, Beijing, 100102",Technology and Communications,www.taiji.com.cn,$3.1B,86 10 57702596,$1.6B
Pan American Silver Corp,Canada,"7,100","1500-625 Howe Street, Vancouver, British Columbia, V6C2T6",Metals and Mining,www.panamericansilver.com,$3.8B,1 604 6841175,$1.6B
Canaccord Genuity Group Inc,Canada,"2,615","Suite 3000, 161 Bay Street, Toronto, Ontario, M5J2S1",Financial Services,www.cgf.com,$828.7M,1 416 8676078,$1.6B
AVEVA Group Plc,United Kingdom,"6,319","High Cross, Madingley Road, Cambridge, CB30HB",Technology and Communications,www.aveva.com,$11.9B,44 1223 556655,$1.6B
Joyoung Co Ltd,China,"2,915","No.999 Meili Road, Huaiyin District, Ji'Nan, Shandong , 250018",Consumer Packaged Goods,www.joyoung.com,$2.2B,86 571 81639093,$1.6B
Addtech AB,Sweden,"3,805","Birger Jarlsgatan 43, Box 5112, Stockholm, 10243",Industrial Goods and Machinery,www.addtech.com,$4.1B,46 8 4704900,$1.6B
Lands' End Inc,United States of America,"5,000","One Lands' End Ln, Dodgeville, Wisconsin, 53595",Retailing,www.landsend.com,$265.0M,1 608 9359341,$1.6B
Air India Ltd,India,,"Airlines House, 113 Gurudwara Rakabganj Road, New Delhi, 110001",Transport and Logistics,www.airindia.in,,91 11 24624074,$1.6B
Sumitomo Osaka Cement Co Ltd,Japan,"3,068","6-28, Rokuban-Cho, Chiyoda-Ku, Tokyo, 102-8465",Construction,www.soc.co.jp,$869.4M,81 3 52114500,$1.6B
Baoviet Holdings,Vietnam,"5,180","So 72 Pho Tran Hung Dao, Phuong Tran Hung Dao, Quan Hoan Kiem, Hanoi",Financial Services,www.baoviet.com.vn,$1.5B,84 4 39289898,$1.6B
Healthcare Services Group Inc,United States of America,"39,200","Suite 300, 3220 Tillman Drive, Bensalem, Pennsylvania, 19020",Business and Consumer Services,www.hcsgcorp.com,$992.8M,1 215 9381661,$1.6B
Korea National Oil Corp,South Korea,,"305, Jongga-Ro, Jung-Gu, Ulsan, 44538",Energy and Utilities,www.knoc.co.kr,,82 52 2162114,$1.6B
CoreLogic Inc,United States of America,"5,300","Suite 900, 40 Pacifica, Irvine, California, 92618",Construction,www.corelogic.com,,1 866 8733651,$1.6B
PT Bank CIMB Niaga Tbk,Indonesia,"10,786","Graha Cimb Niaga, Jl. Jend. Sudirman Kav. 58, Jakarta, 12190",Financial Services,www.cimbniaga.com,$1.9B,62 25 05252,$1.6B
Scholastic Corp,United States of America,"5,160","555 Broadway, New York, 10012-3919",Media,www.scholastic.com,$1.4B,1 212 3436100,$1.6B
Muthoot Finance Ltd,India,"26,716","2 Nd Floor Muthootchambers, Opp Saritha, Kochi, 682018",Financial Services,www.muthootfinance.com,$5.2B,91 484 2394712,$1.6B
Data#3 Ltd,Australia,"1,378","Level 1, 555 Coronation Drive, Toowong, Queensland, 4066",Technology and Communications,www.data3.com,$723.7M,61 3 00232823,$1.6B
Metropole Television SA,France,"2,240","89 Avenue Charles De Gaulle, Neuilly-Sur-Seine, 92200",Media,www.groupem6.fr,$2.1B,33 1 41926666,$1.6B
Xingda International Holdings Limited,China,"8,000","Room 03-07, 30th Floor, Shanghai Mart, 2299 Yanan Road West, 200062",Automotive,www.xingda.com.cn,$338.2M,,$1.7B
Nippon Kayaku Co Ltd,Japan,"5,703","Tokyo Fujimi Bldg., 1-11-2, Fujimi, Chiyoda-Ku, 100-0005",Chemicals,www.nipponkayaku.co.jp,$1.5B,81 3 67315200,$1.6B
GHD Group Pty Ltd,Australia,"10,000","Level 15, 133 Castlereagh Street, Sydney, New South Wales, 2000",Construction,www.ghd.com,,61 2923 97100,$1.6B
Carrols Restaurant Group Inc,United States of America,"25,500","968 James St, Syracuse, New York, 13203-2503",Leisure and Arts,www.carrols.com,$116.7M,1 315 4240513,$1.7B
Aramex,United Arab Emirates,"18,000","Business Central Towers, 2302 A, Ofc 5, Sheikh Zayed Road, P.O. Box 95946 Dubai Media City",Transport and Logistics,www.aramex.com,$1.4B,971 4 2833944,$1.7B
