,country,employees_2017,employees_2020,founding_year,name,revenue_2017,revenue_2020,sector
388,the netherlands,10,21.0,2015,goboony,"340,309","1,718,442",travel & leisure
389,italy,60,180.0,2016,multiservice ambrosiana,"846,360","4,266,770",support services
390,germany,16,65.0,2016,b&c systems,"1,061,327","5,339,538",construction
391,bulgaria,31,10.0,2014,s&g solar,"792,093","3,980,920",energy
392,romania,40,120.0,2007,bittnet,"4,641,712","22,436,395",management consulting
393,belgium,47,204.0,2013,ibanfirst,"2,408,187","12,062,697",fintech
394,germany,20,46.0,2013,uplink network,"5,629,906","28,140,196",telecoms
395,france,6,25.0,2015,base organic food,"2,163,006","10,802,997",agricultural commodities
396,uk,20,74.0,2009,currentbody,"7,671,961","38,002,441",ecommerce
397,uk,1,6.0,2016,apex aero,"770,031","3,812,785",aerospace & defence
398,poland,25,59.0,2016,startup development house,"303,615","1,514,111",technology
399,italy,8,806.0,2010,gruppo gheron,"11,728,040","58,422,800",health
400,italy,5,30.0,2016,dyflowing,"341,370","1,696,320",technology
401,germany,22,40.0,2016,digital masters,"608,053","3,019,110",advertising
402,germany,3,17.0,2017,prusseit auto-outlet,"520,998","2,576,602",automobiles
403,norway,30,72.0,2002,techouse,"6,863,940","31,852,584",energy
404,italy,3,8.0,2016,svs,"1,965,560","9,694,310",construction
405,uk,18,86.0,2017,telcoswitch group,"1,543,824","7,519,236",telecoms
406,germany,3,8.0,2017,bothe-reimann tortechnik,"464,354","2,277,791",construction
407,italy,8,12.0,2012,e-pol / personalizzalo,"3,284,400","16,089,160",ecommerce
408,spain,3,18.0,2016,riluxa,"700,007","3,428,464",interiors
409,france,6,8.0,2002,modalis,"3,915,724","19,169,652",transport
410,france,8,27.0,2016,olympp,"1,127,652","5,512,134",technology
411,germany,4,25.0,2013,zeck fishing,"1,401,463","6,806,664",retail
412,bulgaria,16,25.0,2011,storpool storage,"681,460","3,306,191",technology
413,germany,72,164.0,2013,vimcar,"3,035,269","14,674,011",technology
414,france,5,8.0,2011,joannes distribution sas,"1,468,200","7,064,900",retail
415,france,8,30.0,2011,sourcing force,"2,663,699","12,806,965",technology
416,germany,16,60.0,2000,schalttechnik nord,"2,601,157","12,489,032",technology
417,germany,5,27.0,2015,dgc,"329,298","1,577,296",cyber security
418,france,28,202.0,2013,superprof,"2,136,626","10,168,214",education
419,uk,12,48.0,2011,improveasy,"5,602,132","26,446,798",management consulting
420,france,8,30.0,2014,viarã©no,"1,459,655","6,937,737",construction
421,slovakia,10,19.0,2013,cmt,"411,858","1,951,232",waste management & recycling
422,poland,31,97.0,2014,rets,"1,201,964","5,206,032",property
423,uk,33,104.0,2007,mubi,"3,954,351","18,356,623",media
424,italy,3,27.0,2001,dynamicom education,"1,906,790","9,018,160",education
425,slovakia,25,47.0,2015,touch4it,"437,747","2,064,141",technology
426,italy,4,8.0,1986,tattahome.com,"595,800","2,800,000",interiors
427,uk,37,90.0,2006,speechmatics,"1,541,070","7,161,145",technology
428,spain,20,118.0,2012,samy road,"4,163,750","19,458,114",advertising
429,italy,6,9.0,2006,prometeo,"766,510","3,580,500",support services
430,uk,65,260.0,2015,dialectica,"3,688,264","17,078,846",management consulting
431,uk,32,62.0,2009,wolf & badger,"2,508,842","11,604,670",ecommerce
432,france,28,94.0,2009,eco co2,"1,982,251","9,220,216",support services
433,hungary,3,20.0,2011,lakã³gã©p kft.,"6,328,462","25,335,854",construction
434,germany,9,20.0,2017,beyer betonwaren,"443,694","2,062,749",construction
435,france,12,42.0,2011,fill up mã©dia,"1,081,079","4,999,802",media
436,italy,4,6.0,1984,zara imballaggi fabriano,"496,790","2,297,210",industrial goods
437,poland,744,1177.0,1994,cd projekt,"110,835,763","468,257,487",games industry
438,germany,1,10.0,2015,vpace bikes,"573,145","2,643,580",retail
439,spain,0,6.0,2014,tooltester,"790,712","3,646,507",sales & marketing
440,estonia,2,7.0,2015,bunker partner,"22,060,642","101,726,265",energy
441,france,40,130.0,2006,tikamoon,"12,200,275","56,122,322",ecommerce
442,croatia,10,8.0,2013,s.t.a.r. digital,"699,907","3,211,868",advertising
443,uk,29,62.0,2011,funding options,"1,297,717","5,922,043",fintech
444,italy,8,14.0,2014,isimed,"1,050,660","4,828,920",health
445,switzerland,50,195.0,2008,"sonar, sonarqube, sonarcloud, sonarlint","16,861,349","83,632,640",technology
446,germany,4,30.0,2016,scherer,"934,994","4,285,766",support services
447,italy,14,24.0,2002,mycroclean italia,"736,000","3,366,730",support services
448,italy,8,16.0,2015,piscor,"1,061,360","4,842,410",ecommerce
449,italy,1,3.0,2016,marwincar,"1,114,200","5,083,140",automobiles
450,uk,288,1038.0,1993,brighton & hove albion football club,"32,824,451","148,505,285",travel & leisure
451,bulgaria,5,60.0,2015,inpe transport,"398,676","1,816,274",transport
452,poland,266,773.0,2013,rtb house,"45,981,552","191,601,076",technology
453,france,27,38.0,2010,obiz,"3,389,300","15,377,000",media
454,italy,33,70.0,2012,vmway,"3,525,720","15,901,220",technology
455,poland,8,12.0,2009,legimi,"1,698,358","7,007,093",media
456,germany,5,11.0,2011,msg beauty,"645,633","2,910,737",retail
457,germany,4,11.0,2014,leogra trading,"1,128,243","5,078,464",retail
458,italy,10,32.0,2012,benefind,"505,520","2,262,490",technology
459,italy,5,13.0,2017,ab oil & gas service,"516,640","2,310,000",support services
460,spain,14,23.0,2013,mailtrack,"775,341","3,445,698",technology
461,uk,15,33.0,2013,bumper,"771,504","3,394,214",fintech
462,germany,22,46.0,2015,otl - online trainer,"1,492,190","6,607,564",health
463,italy,9,17.0,2014,macingo technologies,"361,790","1,601,000",support services
464,germany,120,210.0,2014,mycs,"8,935,361","39,355,846",retail
465,germany,23,92.0,2008,audience serv,"1,389,534","6,107,018",advertising
466,italy,4,8.0,2012,start,"857,590","3,769,100",telecoms
467,the netherlands,8,29.0,2010,mvh media,"544,943","2,391,654",sales & marketing
468,france,1,2.0,2010,pure gaming,"1,593,667","6,984,956",ecommerce
469,uk,4,8.0,1998,parcel compare,"2,091,995","9,085,936",transport
470,italy,71,81.0,1979,ames centro polidiagnostico strumentale,"9,235,130","40,391,360",health
471,italy,1,6.0,2016,arcadia italia,"743,130","3,249,140",energy
472,uk,16,43.0,2016,zia lucia,"1,119,494","4,853,930",restaurants
473,italy,16,37.0,1952,travaglini costruzioni,"1,062,010","4,603,740",construction
474,spain,10,81.0,2008,versa design zycle,"2,199,640","9,501,888",technology
475,germany,5,15.0,2016,maucher consult,"452,091","1,952,000",construction
476,italy,51,137.0,2015,ayes,"2,510,930","10,827,070",technology
477,italy,1,5.0,2016,brandup group,"630,660","2,718,640",advertising
478,italy,11,19.0,2012,opyn,"969,930","4,168,220",financial services
479,uk,4,8.0,2014,var capital,"499,815","2,132,001",financial services
480,uk,9,25.0,2017,storyterrace,"667,467","2,843,048",technology
481,slovenia,8,22.0,2009,blubit,"691,140","2,964,852",technology
482,france,9,9.0,2014,zenâup,"441,271","1,891,361",insurance
483,germany,17,25.0,2001,lã¶rcher bauunternehmen,"917,735","3,932,792",construction
484,the netherlands,23,62.0,2010,barcode architects,"1,134,256","4,851,997",architecture
485,france,9,27.0,2002,top chaleur,"1,702,165","7,260,096",retail
486,italy,52,160.0,1999,seingim,"3,163,540","13,479,380",construction
487,uk,21,49.0,2008,amphibian scaffolding,"948,813","4,011,415",construction
488,liechtenstein,205,551.0,2009,beliani,"20,298,288","93,438,770",ecommerce
489,sweden,17,45.0,2011,hatstore,"4,195,789","17,453,187",ecommerce
490,italy,19,27.0,2006,carpenteria martino,"2,286,000","9,719,750",construction
491,uk,61,147.0,2012,capitalontap,"19,489,369","82,238,372",fintech
492,poland,199,637.0,2008,netguru,"8,933,769","34,677,235",technology
493,italy,6,7.0,2014,fazio,"799,170","3,375,810",retail
494,germany,37,84.0,2010,grillfã¼rst,"9,145,411","38,599,408",retail
495,italy,14,18.0,2017,dealernet,"5,394,020","22,704,300",automobiles
496,germany,14,57.0,2013,alpha real estate,"28,378,990","119,161,137",property
497,belgium,12,74.0,2013,appwise,"1,084,812","4,546,110",technology
498,greece,17,55.0,2014,convert group,"666,118","2,789,489",technology
499,sweden,17,65.0,2013,revolution race,"21,841,341","89,332,521",ecommerce
500,france,11,40.0,2009,gong galaxy,"2,708,258","11,320,706",retail
501,italy,8,8.0,2011,gdr costruzioni,"376,440","1,573,480",construction
502,italy,1,4.0,2015,emporio elettrico,"473,640","1,979,050",ecommerce
503,uk,15,87.0,2012,exscientia ai,"2,606,296","10,807,048",technology
504,uk,128,324.0,2005,featurespace,"5,688,822","23,501,473",fintech
505,france,3,11.0,2016,xl energies,"2,013,403","8,358,760",energy
506,spain,20,43.0,2015,claveria,"1,137,450","4,715,363",support services
507,germany,3,4.0,2010,timberagents,"1,280,989","5,302,985",retail
508,france,2,30.0,2012,fermeture econâhome,"451,196","1,862,632",construction
509,sweden,20,70.0,2014,nrse,"815,449","3,268,813",management consulting
510,germany,16,21.0,2011,simwert,"6,450,759","26,386,701",telecoms
511,uk,2,24.0,2015,flex legal,"1,064,498","4,319,146",law
512,norway,15,41.0,2010,documaster,"868,552","3,328,791",technology
513,germany,1,4.0,2014,immo-team allgã¤u,"5,381,108","21,974,565",construction
514,germany,17,57.0,2014,creditshelf,"1,201,900","4,899,200",financial services
515,italy,7,10.0,2016,blife,"1,016,480","4,133,980",food & beverage
516,italy,9,18.0,2004,nohup,"1,177,860","4,785,480",technology
517,poland,17,56.0,2012,noctuai,"657,377","2,443,117",technology
518,germany,47,96.0,2013,ares,"3,450,000","14,000,000",industrial goods
519,uk,242,399.0,2000,moonpig group,"102,139,979","411,390,748",ecommerce
520,uk,15,22.0,2016,wealth club,"1,685,348","6,774,867",financial services
521,france,4,25.0,2016,factory,"3,119,000","12,609,000",property
522,spain,2,6.0,2016,beck ingredients,"1,865,319","7,532,293",health
523,hungary,3,3.0,2010,mentors & partners group,"524,552","1,822,227",management consulting
524,the netherlands,4,9.0,2011,sb supply,"1,081,844","4,363,977",ecommerce
525,czech republic,8,24.0,2015,mediaboard,"572,798","2,243,594",media
526,france,20,80.0,2012,dw trans,"2,357,096","9,485,173",transport
527,france,2,4.0,2006,nacelexpert,"679,247","2,727,392",industrial goods
528,germany,14,31.0,2015,keylight,"871,779","3,499,555",technology
529,italy,3,13.0,2011,technacy,"762,200","3,059,440",technology
530,france,12,25.0,2011,genoskin,"700,823","2,810,120",chemicals & pharmaceuticals
531,uk,12,21.0,2013,payment assist,"1,518,678","5,993,895",fintech
532,germany,14,65.0,2013,my boo,"1,184,000","4,706,000",retail
533,sweden,11,25.0,2012,84codes.com,"3,118,698","12,120,207",technology
534,germany,6,20.0,2013,klg liquida,"1,267,224","5,034,595",chemicals & pharmaceuticals
535,france,8,35.0,2011,ignimission,"574,323","2,280,542",technology
536,italy,4,7.0,2013,adamant bionrg,"29,718,000","117,997,000",energy
537,uk,2,5.0,2015,xplort,"571,513","2,252,358",interiors
538,uk,7,12.0,2010,bambridge accountants,"855,283","3,368,822",financial services
539,slovakia,7,13.0,2016,g2park,"732,924","2,902,148",property
540,italy,2,5.0,2014,pelizzari studio,"663,100","2,625,660",architecture
541,the netherlands,4,9.0,2014,postex,"1,334,213","5,248,908",technology
542,italy,5,5.0,2013,consorzio stabile ambientemilia,"2,492,730","9,752,760",waste management & recycling
543,italy,6,12.0,2016,yocabeâ,"842,600","3,293,860",ecommerce
544,france,19,33.0,2012,chez nestor,"2,189,720","8,559,263",property
545,italy,2,9.0,2016,mint italia,"621,500","2,415,110",transport
546,the netherlands,27,233.0,2012,sendcloud,"21,052,232","81,775,452",ecommerce
547,italy,6,10.0,2008,datakey software engineering,"488,940","1,898,000",technology
548,romania,21,41.0,2015,metaminds,"8,605,113","32,103,084",cyber security
549,italy,11,29.0,2012,time vision,"721,090","2,793,340",education
550,germany,16,36.0,2013,werksrã¤der24,"3,847,000","14,896,000",automobiles
551,uk,35,70.0,2008,fod mobility group,"3,465,675","13,309,945",technology
552,italy,10,60.0,2007,selferg,"531,960","2,050,130",energy
553,lithuania,45,94.0,2012,poppri fashion auctions,"3,386,414","13,028,856",ecommerce
554,uk,156,194.0,2008,vizion network,"30,862,156","117,817,156",automobiles
555,uk,27,66.0,2017,beyond law group*,"2,159,010","8,233,616",law
556,germany,13,14.0,2014,eda warehousing,"1,190,000","4,570,000",transport
557,germany,45,90.0,2013,bpv,"5,923,571","22,704,275",telecoms
558,france,29,81.0,2013,ultra premium direct,"5,422,583","20,779,890",agricultural commodities
559,spain,12,24.0,2013,afr-ix telecom,"2,593,649","9,933,867",telecoms
560,poland,28,44.0,2010,blue energy,"1,293,181","4,527,970",cyber security
561,france,5,15.0,2013,câjuste paris,"628,388","2,404,398",retail
562,france,13,44.0,2007,sos-accessoire,"3,848,262","14,690,408",ecommerce
563,germany,18,27.0,2017,hannes kã¶nig,"2,295,632","8,750,671",construction
564,germany,6,9.0,2007,zanatta media group,"2,202,906","8,383,859",advertising
565,uk,18,20.0,1997,wastepack,"5,924,389","22,373,295",waste management & recycling
566,italy,7,17.0,2010,radar consulting italia,"416,960","1,580,450",support services
567,france,32,53.0,2014,agriconomie,"9,838,779","37,248,117",agricultural commodities
568,spain,187,364.0,2014,anytech365,"4,985,758","18,743,704",technology
569,uk,4,12.0,2013,cladspray solutions,"499,484","1,863,819",construction
570,france,10,50.0,2015,im global partner,"8,392,541","31,463,692",financial services
571,italy,2,6.0,1983,confinvest,"10,982,110","41,130,000",precious metals
572,france,2,3.0,2012,ethic technology,"2,229,273","8,340,824",technology
573,italy,6,7.0,2001,bomax,"19,088,830","71,290,680",telecoms
574,germany,4,15.0,2017,kk-trade,"1,174,770","4,383,254",retail
575,germany,4,26.0,2015,marsapet,"1,061,642","3,960,200",retail
576,italy,8,16.0,2015,gruppo tera,"5,428,300","20,222,750",ecommerce
577,italy,7,14.0,2009,codiceplastico,"824,450","3,068,430",technology
578,romania,185,426.0,2005,tremend,"5,772,716","20,679,155",technology
579,spain,17,61.0,2010,doofinder,"1,771,758","6,590,434",technology
580,lithuania,80,780.0,2004,hostinger,"6,955,394","25,860,664",technology
581,switzerland,9,39.0,2013,catalyx,"1,627,160","6,540,543",sales & marketing
582,bulgaria,6,9.0,2016,harness code,"599,612","2,223,308",sales & marketing
583,italy,5,17.0,2014,nanoprom chemicals,"749,940","2,779,910",chemicals & pharmaceuticals
584,spain,27,49.0,2012,elite,"2,716,240","10,060,550",construction
585,poland,26,119.0,2012,appunite,"1,310,532","4,424,063",technology
586,france,2,7.0,2006,eskalia et nakupenda,"410,775","1,515,414",retail
587,germany,3,12.0,2006,lgx logistics,"2,191,733","8,070,059",transport
588,portugal,11,22.0,2015,polipop,"910,392","3,351,671",industrial goods
589,italy,1,10.0,2016,stampasi,"691,110","2,543,820",ecommerce
590,italy,45,67.0,1984,cam,"3,336,600","12,280,490",industrial goods
591,france,12,37.0,2012,plug in digital,"3,743,740","13,767,602",media
592,poland,82,241.0,2009,predica,"5,233,937","17,589,082",technology
593,spain,2,19.0,2009,ocean transport,"1,304,073","4,783,846",transport
594,uk,103,75.0,1997,serinus,"5,474,802","19,651,446",energy
595,germany,20,50.0,2009,demv deutscher maklerverbund,"1,375,943","5,012,841",financial services
596,spain,53,221.0,1996,sti norland,"54,990,779","199,822,150",energy
597,germany,27,76.0,2011,hd elektrotechnik,"1,158,042","4,207,672",technology
598,italy,1,9.0,2017,engenie group,"558,480","2,025,040",technology
599,france,25,64.0,2016,groupe n.a.t,"1,156,596","4,180,122",support services
600,italy,2,5.0,2015,la sarraz pictures,"419,430","1,513,710",media
601,germany,5,9.0,2016,smart-planet,"1,276,483","4,598,207",retail
602,italy,8,49.0,2015,sidea group,"674,560","2,429,590",management consulting
603,france,5,17.0,2004,couteaujaponais.com,"1,272,558","4,579,102",retail
604,france,20,58.0,2010,physidia,"4,656,191","16,746,545",health
605,germany,2,3.0,2013,horando deutschland,"2,257,390","8,111,269",retail
606,poland,22,79.0,2004,"diablochairs, jan nowak","6,549,376","21,520,495",ecommerce
607,sweden,16,28.0,2011,parkster,"15,711,602","55,139,984",technology
608,france,5,13.0,2015,biotyfull,"5,642,145","20,248,436",ecommerce
609,spain,14,51.0,2014,bioksan,"1,650,756","5,914,732",food & beverage
610,norway,37,118.0,1999,trippel,"910,070","3,057,807",support services
611,uk,15,32.0,2013,yourparkingspace limited,"3,904,618","13,863,431",technology
612,france,1,35.0,2012,carslift,"622,989","2,226,659",automobiles
613,germany,5,11.0,2009,zimmerei nordmann,"580,537","2,074,577",construction
614,germany,20,40.0,2015,si silicone innovation,"1,018,843","3,640,511",industrial goods
615,germany,8,12.0,2010,a.u.e. genc warenhandels-ug,"5,573,000","19,890,000",retail
616,italy,10,18.0,2010,mgvision,"1,127,170","4,010,560",advertising
617,italy,13,26.0,2015,new general service,"433,540","1,539,360",support services
618,france,15,41.0,2010,andre renovation,"3,266,703","11,594,389",construction
619,italy,10,14.0,2017,m.d.g. components unipersonale,"644,440","2,283,970",industrial goods
620,bulgaria,5,22.0,2011,amco-bulgaria,"1,778,274","6,298,606",retail
621,uk,16,39.0,2005,symprove,"3,498,275","12,298,843",personal & household goods
622,uk,10,22.0,2015,tecknuovo,"7,477,852","26,273,556",technology
623,france,62,217.0,2010,platform.sh,"6,242,232","22,077,678",technology
624,germany,5,46.0,2011,isg express logistik,"1,646,307","5,822,692",transport
625,italy,55,173.0,2008,manelli impresa,"12,259,540","43,355,980",construction
626,portugal,22,53.0,2009,sa formaã§ãster_o,"1,031,733","3,647,652",education
627,germany,3,14.0,2015,sm sektmanufaktur,"681,652","2,408,586",industrial goods
628,germany,8,31.0,2011,beauty consult deutschland,"1,055,100","3,725,665",health
629,italy,5,8.0,1977,finauto,"3,350,270","11,789,870",automobiles
630,france,18,21.0,2009,aucoffre.com,"32,428,296","114,037,838",financial services
631,uk,37,46.0,2014,divido,"1,084,616","3,786,036",fintech
632,germany,6,17.0,2016,r&k ingenieure,"1,482,100","5,210,500",construction
633,uk,11,25.0,2011,nephos technologies,"5,031,697","17,559,447",technology
634,uk,8,15.0,2002,la vida,"2,178,629","7,572,128",support services
635,uk,4,12.0,2012,midstream lighting,"2,363,526","8,204,844",technology
636,france,2,2.0,2014,propulse it,"1,809,858","6,326,861",technology
637,spain,25,30.0,2012,additius santa maria,"9,100,083","31,757,362",agricultural commodities
638,france,3,15.0,2017,conexio telecom,"547,084","1,908,640",telecoms
639,germany,5,9.0,2012,tripin,"1,568,506","5,465,080",retail
640,hungary,4,9.0,1996,continental wood kft.,"910,973","2,724,073",industrial goods
641,italy,71,120.0,2008,geoteam,"2,195,780","7,623,730",energy
642,france,4,7.0,2014,leascorp,"5,325,214","18,481,247",financial services
643,uk,3,19.0,2014,positive healthcare,"1,954,609","6,731,831",management consulting
644,germany,4,8.0,2010,ralph schmolke,"658,317","2,281,929",retail
645,italy,2,10.0,2016,roomie milano,"1,079,340","3,728,920",property
646,romania,40,89.0,2007,trencadis corp,"6,137,755","20,410,511",technology
647,france,4,11.0,2016,worteks,"541,582","1,870,845",technology
648,france,27,74.0,2015,remove,"2,608,093","8,988,475",construction
649,czech republic,15,27.0,2006,citadelo,"452,557","1,556,521",cyber security
650,germany,13,26.0,2017,grill autoservice,"5,283,415","18,141,216",automobiles
651,spain,8,15.0,2013,inbrooll,"776,268","2,663,110",industrial goods
652,germany,3,4.0,2010,cross,"25,858,983","88,590,000",retail
653,italy,2,6.0,2010,b1gas s.p.a,"12,106,480","41,474,660",energy
654,italy,8,10.0,2009,filva,"1,808,710","6,188,900",construction
655,italy,2,6.0,2005,archingest,"1,030,000","3,515,000",construction
656,uk,51,124.0,2009,alpha fx group,"15,241,075","51,640,733",financial services
657,switzerland,7,50.0,2012,lemonads,"1,451,770","4,952,255",advertising
658,norway,71,213.0,2007,signicat,"13,309,441","42,514,150",technology
659,germany,41,55.0,1965,alfred dã¶pker,"22,730,529","77,358,225",construction
660,germany,42,88.0,2001,bavaria-ei,"3,842,670","13,067,279",retail
661,lithuania,57,245.0,2015,oxylabs.io,"7,381,686","25,040,954",technology
662,germany,2,5.0,2014,a.s.h. automobile,"687,958","2,333,452",automobiles
663,hungary,18,57.0,2007,vascular,"9,987,236","29,099,679",health
664,france,30,57.0,2015,andjaro,"943,718","3,189,298",support services
665,germany,22,34.0,2013,rã¶hrtaler wertstoff,"973,460","3,286,187",waste management & recycling
666,uk,6,7.0,2016,autel karnetic,"2,543,343","8,520,830",technology
667,italy,8,10.0,2013,discoup.com,"616,520","2,075,110",advertising
668,cyprus,52,85.0,2011,hellas direct,"10,247,832","34,488,971",insurance
669,germany,30,45.0,2009,herrles,"3,044,054","10,242,075",automobiles
670,austria,6,12.0,2016,investmentpunk academy,"947,000","3,179,000",education
671,germany,6,13.0,2015,born stahlbau,"1,351,164","4,527,093",industrial goods
672,germany,5,7.0,2016,rettel projektbau,"2,410,212","8,073,458",construction
673,italy,2,4.0,2005,suntronic,"700,960","2,347,320",energy
674,italy,6,42.0,2014,tmt,"3,811,838","12,763,524",industrial goods
675,germany,2,5.0,2015,gedankenburg,"881,275","2,950,010",advertising
676,sweden,6,16.0,2013,svop special vehicle operation,"1,385,662","4,526,309",automobiles
677,uk,132,415.0,2011,glenholme healthcare group,"4,476,517","14,845,073",health
678,france,230,720.0,2013,audensiel,"17,203,160","57,451,279",technology
679,spain,34,106.0,2011,ivnosys,"2,618,069","8,743,069",technology
680,spain,30,45.0,2012,mulconsa,"2,002,982","6,687,402",construction
681,germany,14,54.0,2004,50nrth,"10,518,963","35,107,348",retail
682,croatia,6,10.0,2008,delecto,"793,957","2,649,288",retail
683,poland,7,47.0,2015,mardruk opakowania,"1,058,063","3,226,645",industrial goods
684,france,15,40.0,2012,manang,"1,862,272","6,205,559",construction
685,germany,21,27.0,2011,bestbion dx,"4,461,170","14,863,628",health
686,uk,7,21.0,2015,avamore capital,"772,943","2,552,248",financial services
687,germany,13,30.0,2011,solaris and more,"1,414,501","4,692,660",energy
688,uk,8,11.0,2015,clearcycle,"660,767","2,176,368",retail
689,france,12,35.0,2005,opteamis,"4,180,523","13,856,500",support services
690,spain,10,20.0,2010,codenor,"1,926,967","6,385,196",construction
691,france,8,18.0,2015,happybulle,"1,271,353","4,209,975",ecommerce
692,uk,46,158.0,2013,aurora energy research,"4,587,687","15,079,425",energy
693,spain,19,14.0,2003,bacci,"7,265,350","24,048,302",fashion
694,italy,8,25.0,2013,emilia foods,"8,110,160","26,824,140",food & beverage
695,italy,82,211.0,2001,t.e.a.m. - ti educa a migliorare,"1,020,690","3,370,490",health
696,poland,30,75.0,2016,brainhub,"1,163,241","3,513,741",technology
697,italy,10,9.0,2016,assitech,"810,750","2,675,750",construction
698,uk,4,11.0,2016,schott packaging,"694,501","2,272,847",ecommerce
699,italy,12,30.0,2010,alba,"1,001,740","3,299,330",energy
700,uk,219,740.0,2013,fintru,"9,915,609","32,392,546",financial services
701,italy,4,5.0,2011,global edilizia,"1,226,000","4,028,000",construction
702,uk,2,381.0,2016,tpximpact,"17,515,305","57,093,437",management consulting
703,italy,6,9.0,2010,lgs sportlab,"1,222,870","4,014,220",advertising
704,germany,4,45.0,2005,weiser brandschutz & technik,"1,825,769","5,986,199",construction
705,uk,13,47.0,2013,fairfax and favor,"5,602,279","18,178,322",fashion
706,france,39,85.0,2014,fao consulting,"2,384,156","7,781,600",technology
707,italy,8,37.0,2010,gruppo del barba consulting,"1,794,120","5,855,040",financial services
708,uk,62,109.0,2003,exclaimer,"8,075,796","26,143,857",technology
709,italy,25,77.0,2013,join business management consulting,"3,128,700","10,189,790",management consulting
710,germany,27,57.0,2003,vennes,"5,244,000","17,048,000",construction
711,the netherlands,7,31.0,2013,piggy,"906,341","2,946,126",technology
712,finland,40,130.0,2007,epassi,"63,207,258","205,312,456",fintech
713,germany,150,315.0,2010,atheneum partners,"10,300,000","33,400,000",technology
714,uk,211,454.0,1999,pharmacy2u,"48,580,102","156,232,906",technology
715,france,6,18.0,2011,phoenix developpement,"556,159","1,797,294",support services
716,germany,10,25.0,2016,wiwie transport,"1,300,000","4,200,000",transport
717,romania,23,31.0,2003,mevas auto center,"834,708","2,595,034",automobiles
718,germany,21,35.0,2015,bk beachhouse mode,"1,602,458","5,172,479",retail
719,italy,3,9.0,2015,f.lli urso,"622,800","2,009,090",construction
720,uk,61,166.0,2011,gohenry,"6,882,489","22,020,382",financial services
721,italy,634,816.0,2014,adrilog,"17,727,950","57,057,180",transport
722,uk,2,6.0,2015,attachment,"2,250,946","7,191,249",advertising
723,france,15,25.0,2015,paris herbes,"4,020,469","12,934,943",agricultural commodities
724,france,37,28.0,2015,interlog logistic,"1,703,819","5,480,946",transport
725,italy,34,75.0,1975,conglomerati bituminosi,"10,393,680","33,371,870",construction
726,belgium,5,26.0,2010,nikkel art,"1,172,617","3,762,160",ecommerce
727,italy,9,25.0,2011,esyen,"1,206,770","3,868,940",technology
728,uk,104,165.0,2014,sav-eco packaging ltd,"5,322,238","16,923,940",industrial goods
729,germany,8,19.0,2016,elmar mair tiefbau,"719,638","2,302,685",construction
730,spain,12,15.0,2014,atlas innovative engineering,"1,094,666","3,495,981",energy
731,france,48,76.0,2010,secure-ic,"2,171,492","6,934,182",technology
732,france,16,36.0,2014,datalyo,"1,111,687","3,544,255",technology
733,uk,14,29.0,2016,signify technology,"805,029","2,547,992",management consulting
734,uk,20,59.0,2017,boxt,"12,127,395","38,373,430",ecommerce
735,uk,55,158.0,2010,james and james fulfilment,"9,762,332","30,887,883",ecommerce
736,italy,5,9.0,2014,armonie,"879,670","2,803,150",food & beverage
737,italy,1,5.0,2017,maverick group,"1,674,690","5,313,290",technology
738,italy,10,29.0,2012,brainpull,"1,344,240","4,264,120",advertising
739,france,4,15.0,2014,wiseband,"516,164","1,636,674",media
740,france,4,15.0,2013,groupe ezdo la boulangerie des gourmets,"12,867,410","40,777,823",agricultural commodities
741,poland,257,396.0,2010,pakar service,"3,363,800","9,729,642",support services
742,france,62,117.0,2000,bio-uv,"10,181,000","32,175,000",industrial goods
743,italy,2,14.0,2015,f.g. service,"809,450","2,554,140",construction
744,italy,2,125.0,2012,allways logistics system,"3,033,150","9,569,120",transport
745,sweden,75,164.0,2013,matsmart,"16,075,963","49,576,899",ecommerce
746,germany,2,5.0,2016,autargo,"573,070","1,807,173",construction
747,norway,7,9.0,2015,brewshop.no,"1,484,883","4,392,988",food & beverage
748,italy,3,15.0,2016,visualitics,"676,000","2,131,000",technology
749,germany,14,32.0,2016,hifi extra,"15,610,826","49,190,436",retail
750,germany,70,150.0,2013,ankerkraut,"8,271,702","26,010,474",food & beverage
751,italy,98,205.0,2008,gda,"6,615,000","20,745,690",fashion
752,italy,9,25.0,2006,nexid,"859,960","2,696,270",technology
753,italy,7,16.0,2013,gs studio & service,"666,210","2,087,000",energy
754,italy,60,160.0,2006,neosperience,"5,229,000","16,367,000",technology
755,slovenia,11,16.0,2010,lunos,"2,031,522","6,356,404",technology
756,italy,39,71.0,2013,meic costruzioni,"3,342,120","10,456,300",construction
757,uk,12,14.0,2016,trident lifting solutions ltd,"5,105,700","15,846,632",construction
758,germany,28,69.0,2010,smart battery solutions,"3,264,000","10,203,000",technology
759,germany,10,20.0,2003,eu-bay commerce,"2,601,485","8,122,686",retail
760,germany,6,20.0,2009,jens rabe academy,"1,171,373","3,655,345",education
761,uk,407,1251.0,2010,hyperoptic,"18,649,681","57,766,084",telecoms
762,france,2,21.0,2009,sepale,"2,531,055","7,879,983",energy
763,italy,19,33.0,2005,3a informatica,"633,990","1,970,000",telecoms
764,france,10,22.0,2014,emsproto,"1,009,846","3,136,947",ecommerce
765,france,9,13.0,2011,laboratoires dermosun,"1,815,835","5,626,849",chemicals & pharmaceuticals
766,italy,13,23.0,2013,saico,"2,177,950","6,737,600",construction
