,name,country,sector,revenue_2020_eu,revenue_2017_eu,employees_number_2020,employees_number_2017,founding_year
382,skalhuset.se,sweden,ecommerce,doll_7.34 m,1454711,16.0,5,2012
383,vipino,germany,retail,doll_11.07 m,2148122,26.0,6,2013
384,gea service,italy,waste management & recycling,doll_6.67 m,1304060,133.0,30,2015
385,gellify,italy,technology,doll_5.58 m,1090920,62.0,12,2016
386,billion dollar boy,uk,advertising,doll_13.09 m,2577297,92.0,42,2014
387,westrafo,italy,energy,doll_22.07 m,4356500,58.0,19,2014
388,goboony,the netherlands,travel & leisure,doll_1.72 m,340309,21.0,10,2015
389,multiservice ambrosiana,italy,support services,doll_4.27 m,846360,180.0,60,2016
390,b&c systems,germany,construction,doll_5.34 m,1061327,65.0,16,2016
391,s&g solar,bulgaria,energy,doll_3.98 m,792093,10.0,31,2014
392,bittnet,romania,management consulting,doll_22.44 m,4641712,120.0,40,2007
393,ibanfirst,belgium,fintech,doll_12.06 m,2408187,204.0,47,2013
394,uplink network,germany,telecoms,doll_28.14 m,5629906,46.0,20,2013
395,base organic food,france,agricultural commodities,doll_10.8 m,2163006,25.0,6,2015
396,currentbody,uk,ecommerce,doll_38.0 m,7671961,74.0,20,2009
397,apex aero,uk,aerospace & defence,doll_3.81 m,770031,6.0,1,2016
398,startup development house,poland,technology,doll_1.51 m,303615,59.0,25,2016
399,gruppo gheron,italy,health,doll_58.42 m,11728040,806.0,8,2010
400,dyflowing,italy,technology,doll_1.7 m,341370,30.0,5,2016
401,digital masters,germany,advertising,doll_3.02 m,608053,40.0,22,2016
402,prusseit auto-outlet,germany,automobiles,doll_2.58 m,520998,17.0,3,2017
403,techouse,norway,energy,doll_31.85 m,6863940,72.0,30,2002
404,svs,italy,construction,doll_9.69 m,1965560,8.0,3,2016
405,telcoswitch group,uk,telecoms,doll_7.52 m,1543824,86.0,18,2017
406,bothe-reimann tortechnik,germany,construction,doll_2.28 m,464354,8.0,3,2017
407,e-pol / personalizzalo,italy,ecommerce,doll_16.09 m,3284400,12.0,8,2012
408,riluxa,spain,interiors,doll_3.43 m,700007,18.0,3,2016
409,modalis,france,transport,doll_19.17 m,3915724,8.0,6,2002
410,olympp,france,technology,doll_5.51 m,1127652,27.0,8,2016
411,zeck fishing,germany,retail,doll_6.81 m,1401463,25.0,4,2013
412,storpool storage,bulgaria,technology,doll_3.31 m,681460,25.0,16,2011
413,vimcar,germany,technology,doll_14.67 m,3035269,164.0,72,2013
414,joannes distribution sas,france,retail,doll_7.06 m,1468200,8.0,5,2011
415,sourcing force,france,technology,doll_12.81 m,2663699,30.0,8,2011
416,schalttechnik nord,germany,technology,doll_12.49 m,2601157,60.0,16,2000
417,dgc,germany,cyber security,doll_1.58 m,329298,27.0,5,2015
418,superprof,france,education,doll_10.17 m,2136626,202.0,28,2013
419,improveasy,uk,management consulting,doll_26.45 m,5602132,48.0,12,2011
420,viaréno,france,construction,doll_6.94 m,1459655,30.0,8,2014
421,cmt,slovakia,waste management & recycling,doll_1.95 m,411858,19.0,10,2013
422,rets,poland,property,doll_5.21 m,1201964,97.0,31,2014
423,mubi,uk,media,doll_18.36 m,3954351,104.0,33,2007
424,dynamicom education,italy,education,doll_9.02 m,1906790,27.0,3,2001
425,touch4it,slovakia,technology,doll_2.06 m,437747,47.0,25,2015
426,tattahome.com,italy,interiors,doll_2.8 m,595800,8.0,4,1986
427,speechmatics,uk,technology,doll_7.16 m,1541070,90.0,37,2006
428,samy road,spain,advertising,doll_19.46 m,4163750,118.0,20,2012
429,prometeo,italy,support services,doll_3.58 m,766510,9.0,6,2006
430,dialectica,uk,management consulting,doll_17.08 m,3688264,260.0,65,2015
431,wolf & badger,uk,ecommerce,doll_11.6 m,2508842,62.0,32,2009
432,eco co2,france,support services,doll_9.22 m,1982251,94.0,28,2009
433,lakógép kft.,hungary,construction,doll_25.34 m,6328462,20.0,3,2011
434,beyer betonwaren,germany,construction,doll_2.06 m,443694,20.0,9,2017
435,fill up média,france,media,doll_5.0 m,1081079,42.0,12,2011
436,zara imballaggi fabriano,italy,industrial goods,doll_2.3 m,496790,6.0,4,1984
437,cd projekt,poland,games industry,doll_468.26 m,110835763,1177.0,744,1994
438,vpace bikes,germany,retail,doll_2.64 m,573145,10.0,1,2015
439,tooltester,spain,sales & marketing,doll_3.65 m,790712,6.0,0,2014
440,bunker partner,estonia,energy,doll_101.73 m,22060642,7.0,2,2015
441,tikamoon,france,ecommerce,doll_56.12 m,12200275,130.0,40,2006
442,s.t.a.r. digital,croatia,advertising,doll_3.21 m,699907,8.0,10,2013
443,funding options,uk,fintech,doll_5.92 m,1297717,62.0,29,2011
444,isimed,italy,health,doll_4.83 m,1050660,14.0,8,2014
445,"sonar, sonarqube, sonarcloud, sonarlint",switzerland,technology,doll_83.63 m,16861349,195.0,50,2008
446,scherer,germany,support services,doll_4.29 m,934994,30.0,4,2016
447,mycroclean italia,italy,support services,doll_3.37 m,736000,24.0,14,2002
448,piscor,italy,ecommerce,doll_4.84 m,1061360,16.0,8,2015
449,marwincar,italy,automobiles,doll_5.08 m,1114200,3.0,1,2016
450,brighton & hove albion football club,uk,travel & leisure,doll_148.51 m,32824451,1038.0,288,1993
451,inpe transport,bulgaria,transport,doll_1.82 m,398676,60.0,5,2015
452,rtb house,poland,technology,doll_191.6 m,45981552,773.0,266,2013
453,obiz,france,media,doll_15.38 m,3389300,38.0,27,2010
454,vmway,italy,technology,doll_15.9 m,3525720,70.0,33,2012
455,legimi,poland,media,doll_7.01 m,1698358,12.0,8,2009
456,msg beauty,germany,retail,doll_2.91 m,645633,11.0,5,2011
457,leogra trading,germany,retail,doll_5.08 m,1128243,11.0,4,2014
458,benefind,italy,technology,doll_2.26 m,505520,32.0,10,2012
459,ab oil & gas service,italy,support services,doll_2.31 m,516640,13.0,5,2017
460,mailtrack,spain,technology,doll_3.45 m,775341,23.0,14,2013
461,bumper,uk,fintech,doll_3.39 m,771504,33.0,15,2013
462,otl - online trainer,germany,health,doll_6.61 m,1492190,46.0,22,2015
463,macingo technologies,italy,support services,doll_1.6 m,361790,17.0,9,2014
464,mycs,germany,retail,doll_39.36 m,8935361,210.0,120,2014
465,audience serv,germany,advertising,doll_6.11 m,1389534,92.0,23,2008
466,start,italy,telecoms,doll_3.77 m,857590,8.0,4,2012
467,mvh media,the netherlands,sales & marketing,doll_2.39 m,544943,29.0,8,2010
468,pure gaming,france,ecommerce,doll_6.98 m,1593667,2.0,1,2010
469,parcel compare,uk,transport,doll_9.09 m,2091995,8.0,4,1998
470,ames centro polidiagnostico strumentale,italy,health,doll_40.39 m,9235130,81.0,71,1979
471,arcadia italia,italy,energy,doll_3.25 m,743130,6.0,1,2016
472,zia lucia,uk,restaurants,doll_4.85 m,1119494,43.0,16,2016
473,travaglini costruzioni,italy,construction,doll_4.6 m,1062010,37.0,16,1952
474,versa design zycle,spain,technology,doll_9.5 m,2199640,81.0,10,2008
475,maucher consult,germany,construction,doll_1.95 m,452091,15.0,5,2016
476,ayes,italy,technology,doll_10.83 m,2510930,137.0,51,2015
477,brandup group,italy,advertising,doll_2.72 m,630660,5.0,1,2016
478,opyn,italy,financial services,doll_4.17 m,969930,19.0,11,2012
479,var capital,uk,financial services,doll_2.13 m,499815,8.0,4,2014
480,storyterrace,uk,technology,doll_2.84 m,667467,25.0,9,2017
481,blubit,slovenia,technology,doll_2.96 m,691140,22.0,8,2009
482,zen’up,france,insurance,doll_1.89 m,441271,9.0,9,2014
483,lörcher bauunternehmen,germany,construction,doll_3.93 m,917735,25.0,17,2001
484,barcode architects,the netherlands,architecture,doll_4.85 m,1134256,62.0,23,2010
485,top chaleur,france,retail,doll_7.26 m,1702165,27.0,9,2002
486,seingim,italy,construction,doll_13.48 m,3163540,160.0,52,1999
487,amphibian scaffolding,uk,construction,doll_4.01 m,948813,49.0,21,2008
488,beliani,liechtenstein,ecommerce,doll_93.44 m,20298288,551.0,205,2009
489,hatstore,sweden,ecommerce,doll_17.45 m,4195789,45.0,17,2011
490,carpenteria martino,italy,construction,doll_9.72 m,2286000,27.0,19,2006
491,capitalontap,uk,fintech,doll_82.24 m,19489369,147.0,61,2012
492,netguru,poland,technology,doll_34.68 m,8933769,637.0,199,2008
493,fazio,italy,retail,doll_3.38 m,799170,7.0,6,2014
494,grillfürst,germany,retail,doll_38.6 m,9145411,84.0,37,2010
495,dealernet,italy,automobiles,doll_22.7 m,5394020,18.0,14,2017
496,alpha real estate,germany,property,doll_119.16 m,28378990,57.0,14,2013
497,appwise,belgium,technology,doll_4.55 m,1084812,74.0,12,2013
498,convert group,greece,technology,doll_2.79 m,666118,55.0,17,2014
499,revolution race,sweden,ecommerce,doll_89.33 m,21841341,65.0,17,2013
500,gong galaxy,france,retail,doll_11.32 m,2708258,40.0,11,2009
501,gdr costruzioni,italy,construction,doll_1.57 m,376440,8.0,8,2011
502,emporio elettrico,italy,ecommerce,doll_1.98 m,473640,4.0,1,2015
503,exscientia ai,uk,technology,doll_10.81 m,2606296,87.0,15,2012
504,featurespace,uk,fintech,doll_23.5 m,5688822,324.0,128,2005
505,xl energies,france,energy,doll_8.36 m,2013403,11.0,3,2016
506,claveria,spain,support services,doll_4.72 m,1137450,43.0,20,2015
507,timberagents,germany,retail,doll_5.3 m,1280989,4.0,3,2010
508,fermeture econ’home,france,construction,doll_1.86 m,451196,30.0,2,2012
509,nrse,sweden,management consulting,doll_3.27 m,815449,70.0,20,2014
510,simwert,germany,telecoms,doll_26.39 m,6450759,21.0,16,2011
511,flex legal,uk,law,doll_4.32 m,1064498,24.0,2,2015
512,documaster,norway,technology,doll_3.33 m,868552,41.0,15,2010
513,immo-team allgäu,germany,construction,doll_21.97 m,5381108,4.0,1,2014
514,creditshelf,germany,financial services,doll_4.9 m,1201900,57.0,17,2014
515,blife,italy,food & beverage,doll_4.13 m,1016480,10.0,7,2016
516,nohup,italy,technology,doll_4.79 m,1177860,18.0,9,2004
517,noctuai,poland,technology,doll_2.44 m,657377,56.0,17,2012
518,ares,germany,industrial goods,doll_14.0 m,3450000,96.0,47,2013
519,moonpig group,uk,ecommerce,doll_411.39 m,102139979,399.0,242,2000
520,wealth club,uk,financial services,doll_6.77 m,1685348,22.0,15,2016
521,factory,france,property,doll_12.61 m,3119000,25.0,4,2016
522,beck ingredients,spain,health,doll_7.53 m,1865319,6.0,2,2016
523,mentors & partners group,hungary,management consulting,doll_1.82 m,524552,3.0,3,2010
524,sb supply,the netherlands,ecommerce,doll_4.36 m,1081844,9.0,4,2011
525,mediaboard,czech republic,media,doll_2.24 m,572798,24.0,8,2015
526,dw trans,france,transport,doll_9.49 m,2357096,80.0,20,2012
527,nacelexpert,france,industrial goods,doll_2.73 m,679247,4.0,2,2006
528,keylight,germany,technology,doll_3.5 m,871779,31.0,14,2015
529,technacy,italy,technology,doll_3.06 m,762200,13.0,3,2011
530,genoskin,france,chemicals & pharmaceuticals,doll_2.81 m,700823,25.0,12,2011
531,payment assist,uk,fintech,doll_5.99 m,1518678,21.0,12,2013
532,my boo,germany,retail,doll_4.71 m,1184000,65.0,14,2013
533,84codes.com,sweden,technology,doll_12.12 m,3118698,25.0,11,2012
534,klg liquida,germany,chemicals & pharmaceuticals,doll_5.03 m,1267224,20.0,6,2013
535,ignimission,france,technology,doll_2.28 m,574323,35.0,8,2011
536,adamant bionrg,italy,energy,doll_118.0 m,29718000,7.0,4,2013
537,xplort,uk,interiors,doll_2.25 m,571513,5.0,2,2015
538,bambridge accountants,uk,financial services,doll_3.37 m,855283,12.0,7,2010
539,g2park,slovakia,property,doll_2.9 m,732924,13.0,7,2016
540,pelizzari studio,italy,architecture,doll_2.63 m,663100,5.0,2,2014
541,postex,the netherlands,technology,doll_5.25 m,1334213,9.0,4,2014
542,consorzio stabile ambientemilia,italy,waste management & recycling,doll_9.75 m,2492730,5.0,5,2013
543,yocabe’,italy,ecommerce,doll_3.29 m,842600,12.0,6,2016
544,chez nestor,france,property,doll_8.56 m,2189720,33.0,19,2012
545,mint italia,italy,transport,doll_2.42 m,621500,9.0,2,2016
546,sendcloud,the netherlands,ecommerce,doll_81.78 m,21052232,233.0,27,2012
547,datakey software engineering,italy,technology,doll_1.9 m,488940,10.0,6,2008
548,metaminds,romania,cyber security,doll_32.1 m,8605113,41.0,21,2015
549,time vision,italy,education,doll_2.79 m,721090,29.0,11,2012
550,werksräder24,germany,automobiles,doll_14.9 m,3847000,36.0,16,2013
551,fod mobility group,uk,technology,doll_13.31 m,3465675,70.0,35,2008
552,selferg,italy,energy,doll_2.05 m,531960,60.0,10,2007
553,poppri fashion auctions,lithuania,ecommerce,doll_13.03 m,3386414,94.0,45,2012
554,vizion network,uk,automobiles,doll_117.82 m,30862156,194.0,156,2008
555,beyond law group*,uk,law,doll_8.23 m,2159010,66.0,27,2017
556,eda warehousing,germany,transport,doll_4.57 m,1190000,14.0,13,2014
557,bpv,germany,telecoms,doll_22.7 m,5923571,90.0,45,2013
558,ultra premium direct,france,agricultural commodities,doll_20.78 m,5422583,81.0,29,2013
559,afr-ix telecom,spain,telecoms,doll_9.93 m,2593649,24.0,12,2013
560,blue energy,poland,cyber security,doll_4.53 m,1293181,44.0,28,2010
561,c’juste paris,france,retail,doll_2.4 m,628388,15.0,5,2013
562,sos-accessoire,france,ecommerce,doll_14.69 m,3848262,44.0,13,2007
563,hannes könig,germany,construction,doll_8.75 m,2295632,27.0,18,2017
564,zanatta media group,germany,advertising,doll_8.38 m,2202906,9.0,6,2007
565,wastepack,uk,waste management & recycling,doll_22.37 m,5924389,20.0,18,1997
566,radar consulting italia,italy,support services,doll_1.58 m,416960,17.0,7,2010
567,agriconomie,france,agricultural commodities,doll_37.25 m,9838779,53.0,32,2014
568,anytech365,spain,technology,doll_18.74 m,4985758,364.0,187,2014
569,cladspray solutions,uk,construction,doll_1.86 m,499484,12.0,4,2013
570,im global partner,france,financial services,doll_31.46 m,8392541,50.0,10,2015
571,confinvest,italy,precious metals,doll_41.13 m,10982110,6.0,2,1983
572,ethic technology,france,technology,doll_8.34 m,2229273,3.0,2,2012
573,bomax,italy,telecoms,doll_71.29 m,19088830,7.0,6,2001
574,kk-trade,germany,retail,doll_4.38 m,1174770,15.0,4,2017
575,marsapet,germany,retail,doll_3.96 m,1061642,26.0,4,2015
576,gruppo tera,italy,ecommerce,doll_20.22 m,5428300,16.0,8,2015
577,codiceplastico,italy,technology,doll_3.07 m,824450,14.0,7,2009
578,tremend,romania,technology,doll_20.68 m,5772716,426.0,185,2005
579,doofinder,spain,technology,doll_6.59 m,1771758,61.0,17,2010
580,hostinger,lithuania,technology,doll_25.86 m,6955394,780.0,80,2004
581,catalyx,switzerland,sales & marketing,doll_6.54 m,1627160,39.0,9,2013
582,harness code,bulgaria,sales & marketing,doll_2.22 m,599612,9.0,6,2016
583,nanoprom chemicals,italy,chemicals & pharmaceuticals,doll_2.78 m,749940,17.0,5,2014
584,elite,spain,construction,doll_10.06 m,2716240,49.0,27,2012
585,appunite,poland,technology,doll_4.42 m,1310532,119.0,26,2012
586,eskalia et nakupenda,france,retail,doll_1.52 m,410775,7.0,2,2006
587,lgx logistics,germany,transport,doll_8.07 m,2191733,12.0,3,2006
588,polipop,portugal,industrial goods,doll_3.35 m,910392,22.0,11,2015
589,stampasi,italy,ecommerce,doll_2.54 m,691110,10.0,1,2016
590,cam,italy,industrial goods,doll_12.28 m,3336600,67.0,45,1984
591,plug in digital,france,media,doll_13.77 m,3743740,37.0,12,2012
592,predica,poland,technology,doll_17.59 m,5233937,241.0,82,2009
593,ocean transport,spain,transport,doll_4.78 m,1304073,19.0,2,2009
594,serinus,uk,energy,doll_19.65 m,5474802,75.0,103,1997
595,demv deutscher maklerverbund,germany,financial services,doll_5.01 m,1375943,50.0,20,2009
596,sti norland,spain,energy,doll_199.82 m,54990779,221.0,53,1996
597,hd elektrotechnik,germany,technology,doll_4.21 m,1158042,76.0,27,2011
598,engenie group,italy,technology,doll_2.03 m,558480,9.0,1,2017
599,groupe n.a.t,france,support services,doll_4.18 m,1156596,64.0,25,2016
600,la sarraz pictures,italy,media,doll_1.51 m,419430,5.0,2,2015
601,smart-planet,germany,retail,doll_4.6 m,1276483,9.0,5,2016
602,sidea group,italy,management consulting,doll_2.43 m,674560,49.0,8,2015
603,couteaujaponais.com,france,retail,doll_4.58 m,1272558,17.0,5,2004
604,physidia,france,health,doll_16.75 m,4656191,58.0,20,2010
605,horando deutschland,germany,retail,doll_8.11 m,2257390,3.0,2,2013
606,"diablochairs, jan nowak",poland,ecommerce,doll_21.52 m,6549376,79.0,22,2004
607,parkster,sweden,technology,doll_55.14 m,15711602,28.0,16,2011
608,biotyfull,france,ecommerce,doll_20.25 m,5642145,13.0,5,2015
609,bioksan,spain,food & beverage,doll_5.91 m,1650756,51.0,14,2014
610,trippel,norway,support services,doll_3.06 m,910070,118.0,37,1999
611,yourparkingspace limited,uk,technology,doll_13.86 m,3904618,32.0,15,2013
612,carslift,france,automobiles,doll_2.23 m,622989,35.0,1,2012
613,zimmerei nordmann,germany,construction,doll_2.07 m,580537,11.0,5,2009
614,si silicone innovation,germany,industrial goods,doll_3.64 m,1018843,40.0,20,2015
615,a.u.e. genc warenhandels-ug,germany,retail,doll_19.89 m,5573000,12.0,8,2010
616,mgvision,italy,advertising,doll_4.01 m,1127170,18.0,10,2010
617,new general service,italy,support services,doll_1.54 m,433540,26.0,13,2015
618,andre renovation,france,construction,doll_11.59 m,3266703,41.0,15,2010
619,m.d.g. components unipersonale,italy,industrial goods,doll_2.28 m,644440,14.0,10,2017
620,amco-bulgaria,bulgaria,retail,doll_6.3 m,1778274,22.0,5,2011
621,symprove,uk,personal & household goods,doll_12.3 m,3498275,39.0,16,2005
622,tecknuovo,uk,technology,doll_26.27 m,7477852,22.0,10,2015
623,platform.sh,france,technology,doll_22.08 m,6242232,217.0,62,2010
624,isg express logistik,germany,transport,doll_5.82 m,1646307,46.0,5,2011
625,manelli impresa,italy,construction,doll_43.36 m,12259540,173.0,55,2008
626,sa formação,portugal,education,doll_3.65 m,1031733,53.0,22,2009
627,sm sektmanufaktur,germany,industrial goods,doll_2.41 m,681652,14.0,3,2015
628,beauty consult deutschland,germany,health,doll_3.73 m,1055100,31.0,8,2011
629,finauto,italy,automobiles,doll_11.79 m,3350270,8.0,5,1977
630,aucoffre.com,france,financial services,doll_114.04 m,32428296,21.0,18,2009
631,divido,uk,fintech,doll_3.79 m,1084616,46.0,37,2014
632,r&k ingenieure,germany,construction,doll_5.21 m,1482100,17.0,6,2016
633,nephos technologies,uk,technology,doll_17.56 m,5031697,25.0,11,2011
634,la vida,uk,support services,doll_7.57 m,2178629,15.0,8,2002
635,midstream lighting,uk,technology,doll_8.2 m,2363526,12.0,4,2012
636,propulse it,france,technology,doll_6.33 m,1809858,2.0,2,2014
637,additius santa maria,spain,agricultural commodities,doll_31.76 m,9100083,30.0,25,2012
638,conexio telecom,france,telecoms,doll_1.91 m,547084,15.0,3,2017
639,tripin,germany,retail,doll_5.47 m,1568506,9.0,5,2012
640,continental wood kft.,hungary,industrial goods,doll_2.72 m,910973,9.0,4,1996
641,geoteam,italy,energy,doll_7.62 m,2195780,120.0,71,2008
642,leascorp,france,financial services,doll_18.48 m,5325214,7.0,4,2014
643,positive healthcare,uk,management consulting,doll_6.73 m,1954609,19.0,3,2014
644,ralph schmolke,germany,retail,doll_2.28 m,658317,8.0,4,2010
645,roomie milano,italy,property,doll_3.73 m,1079340,10.0,2,2016
646,trencadis corp,romania,technology,doll_20.41 m,6137755,89.0,40,2007
647,worteks,france,technology,doll_1.87 m,541582,11.0,4,2016
648,remove,france,construction,doll_8.99 m,2608093,74.0,27,2015
649,citadelo,czech republic,cyber security,doll_1.56 m,452557,27.0,15,2006
650,grill autoservice,germany,automobiles,doll_18.14 m,5283415,26.0,13,2017
651,inbrooll,spain,industrial goods,doll_2.66 m,776268,15.0,8,2013
652,cross,germany,retail,doll_88.59 m,25858983,4.0,3,2010
653,b1gas s.p.a,italy,energy,doll_41.47 m,12106480,6.0,2,2010
654,filva,italy,construction,doll_6.19 m,1808710,10.0,8,2009
655,archingest,italy,construction,doll_3.52 m,1030000,6.0,2,2005
656,alpha fx group,uk,financial services,doll_51.64 m,15241075,124.0,51,2009
657,lemonads,switzerland,advertising,doll_4.95 m,1451770,50.0,7,2012
658,signicat,norway,technology,doll_42.51 m,13309441,213.0,71,2007
659,alfred döpker,germany,construction,doll_77.36 m,22730529,55.0,41,1965
660,bavaria-ei,germany,retail,doll_13.07 m,3842670,88.0,42,2001
661,oxylabs.io,lithuania,technology,doll_25.04 m,7381686,245.0,57,2015
662,a.s.h. automobile,germany,automobiles,doll_2.33 m,687958,5.0,2,2014
663,vascular,hungary,health,doll_29.1 m,9987236,57.0,18,2007
664,andjaro,france,support services,doll_3.19 m,943718,57.0,30,2015
665,röhrtaler wertstoff,germany,waste management & recycling,doll_3.29 m,973460,34.0,22,2013
666,autel karnetic,uk,technology,doll_8.52 m,2543343,7.0,6,2016
667,discoup.com,italy,advertising,doll_2.08 m,616520,10.0,8,2013
668,hellas direct,cyprus,insurance,doll_34.49 m,10247832,85.0,52,2011
669,herrles,germany,automobiles,doll_10.24 m,3044054,45.0,30,2009
670,investmentpunk academy,austria,education,doll_3.18 m,947000,12.0,6,2016
671,born stahlbau,germany,industrial goods,doll_4.53 m,1351164,13.0,6,2015
672,rettel projektbau,germany,construction,doll_8.07 m,2410212,7.0,5,2016
673,suntronic,italy,energy,doll_2.35 m,700960,4.0,2,2005
674,tmt,italy,industrial goods,doll_12.76 m,3811838,42.0,6,2014
675,gedankenburg,germany,advertising,doll_2.95 m,881275,5.0,2,2015
676,svop special vehicle operation,sweden,automobiles,doll_4.53 m,1385662,16.0,6,2013
677,glenholme healthcare group,uk,health,doll_14.85 m,4476517,415.0,132,2011
678,audensiel,france,technology,doll_57.45 m,17203160,720.0,230,2013
679,ivnosys,spain,technology,doll_8.74 m,2618069,106.0,34,2011
680,mulconsa,spain,construction,doll_6.69 m,2002982,45.0,30,2012
681,50nrth,germany,retail,doll_35.11 m,10518963,54.0,14,2004
682,delecto,croatia,retail,doll_2.65 m,793957,10.0,6,2008
683,mardruk opakowania,poland,industrial goods,doll_3.23 m,1058063,47.0,7,2015
684,manang,france,construction,doll_6.21 m,1862272,40.0,15,2012
685,bestbion dx,germany,health,doll_14.86 m,4461170,27.0,21,2011
686,avamore capital,uk,financial services,doll_2.55 m,772943,21.0,7,2015
687,solaris and more,germany,energy,doll_4.69 m,1414501,30.0,13,2011
688,clearcycle,uk,retail,doll_2.18 m,660767,11.0,8,2015
689,opteamis,france,support services,doll_13.86 m,4180523,35.0,12,2005
690,codenor,spain,construction,doll_6.39 m,1926967,20.0,10,2010
691,happybulle,france,ecommerce,doll_4.21 m,1271353,18.0,8,2015
692,aurora energy research,uk,energy,doll_15.08 m,4587687,158.0,46,2013
693,bacci,spain,fashion,doll_24.05 m,7265350,14.0,19,2003
694,emilia foods,italy,food & beverage,doll_26.82 m,8110160,25.0,8,2013
695,t.e.a.m. - ti educa a migliorare,italy,health,doll_3.37 m,1020690,211.0,82,2001
696,brainhub,poland,technology,doll_3.51 m,1163241,75.0,30,2016
697,assitech,italy,construction,doll_2.68 m,810750,9.0,10,2016
698,schott packaging,uk,ecommerce,doll_2.27 m,694501,11.0,4,2016
699,alba,italy,energy,doll_3.3 m,1001740,30.0,12,2010
700,fintru,uk,financial services,doll_32.39 m,9915609,740.0,219,2013
701,global edilizia,italy,construction,doll_4.03 m,1226000,5.0,4,2011
702,tpximpact,uk,management consulting,doll_57.09 m,17515305,381.0,2,2016
703,lgs sportlab,italy,advertising,doll_4.01 m,1222870,9.0,6,2010
704,weiser brandschutz & technik,germany,construction,doll_5.99 m,1825769,45.0,4,2005
705,fairfax and favor,uk,fashion,doll_18.18 m,5602279,47.0,13,2013
706,fao consulting,france,technology,doll_7.78 m,2384156,85.0,39,2014
707,gruppo del barba consulting,italy,financial services,doll_5.86 m,1794120,37.0,8,2010
708,exclaimer,uk,technology,doll_26.14 m,8075796,109.0,62,2003
709,join business management consulting,italy,management consulting,doll_10.19 m,3128700,77.0,25,2013
710,vennes,germany,construction,doll_17.05 m,5244000,57.0,27,2003
711,piggy,the netherlands,technology,doll_2.95 m,906341,31.0,7,2013
712,epassi,finland,fintech,doll_205.31 m,63207258,130.0,40,2007
713,atheneum partners,germany,technology,doll_33.4 m,10300000,315.0,150,2010
714,pharmacy2u,uk,technology,doll_156.23 m,48580102,454.0,211,1999
715,phoenix developpement,france,support services,doll_1.8 m,556159,18.0,6,2011
716,wiwie transport,germany,transport,doll_4.2 m,1300000,25.0,10,2016
717,mevas auto center,romania,automobiles,doll_2.6 m,834708,31.0,23,2003
718,bk beachhouse mode,germany,retail,doll_5.17 m,1602458,35.0,21,2015
719,f.lli urso,italy,construction,doll_2.01 m,622800,9.0,3,2015
720,gohenry,uk,financial services,doll_22.02 m,6882489,166.0,61,2011
721,adrilog,italy,transport,doll_57.06 m,17727950,816.0,634,2014
722,attachment,uk,advertising,doll_7.19 m,2250946,6.0,2,2015
723,paris herbes,france,agricultural commodities,doll_12.93 m,4020469,25.0,15,2015
724,interlog logistic,france,transport,doll_5.48 m,1703819,28.0,37,2015
725,conglomerati bituminosi,italy,construction,doll_33.37 m,10393680,75.0,34,1975
726,nikkel art,belgium,ecommerce,doll_3.76 m,1172617,26.0,5,2010
727,esyen,italy,technology,doll_3.87 m,1206770,25.0,9,2011
728,sav-eco packaging ltd,uk,industrial goods,doll_16.92 m,5322238,165.0,104,2014
729,elmar mair tiefbau,germany,construction,doll_2.3 m,719638,19.0,8,2016
730,atlas innovative engineering,spain,energy,doll_3.5 m,1094666,15.0,12,2014
731,secure-ic,france,technology,doll_6.93 m,2171492,76.0,48,2010
732,datalyo,france,technology,doll_3.54 m,1111687,36.0,16,2014
733,signify technology,uk,management consulting,doll_2.55 m,805029,29.0,14,2016
734,boxt,uk,ecommerce,doll_38.37 m,12127395,59.0,20,2017
735,james and james fulfilment,uk,ecommerce,doll_30.89 m,9762332,158.0,55,2010
736,armonie,italy,food & beverage,doll_2.8 m,879670,9.0,5,2014
737,maverick group,italy,technology,doll_5.31 m,1674690,5.0,1,2017
738,brainpull,italy,advertising,doll_4.26 m,1344240,29.0,10,2012
739,wiseband,france,media,doll_1.64 m,516164,15.0,4,2014
740,groupe ezdo la boulangerie des gourmets,france,agricultural commodities,doll_40.78 m,12867410,15.0,4,2013
741,pakar service,poland,support services,doll_9.73 m,3363800,396.0,257,2010
742,bio-uv,france,industrial goods,doll_32.17 m,10181000,117.0,62,2000
743,f.g. service,italy,construction,doll_2.55 m,809450,14.0,2,2015
744,allways logistics system,italy,transport,doll_9.57 m,3033150,125.0,2,2012
745,matsmart,sweden,ecommerce,doll_49.58 m,16075963,164.0,75,2013
746,autargo,germany,construction,doll_1.81 m,573070,5.0,2,2016
747,brewshop.no,norway,food & beverage,doll_4.39 m,1484883,9.0,7,2015
748,visualitics,italy,technology,doll_2.13 m,676000,15.0,3,2016
749,hifi extra,germany,retail,doll_49.19 m,15610826,32.0,14,2016
750,ankerkraut,germany,food & beverage,doll_26.01 m,8271702,150.0,70,2013
751,gda,italy,fashion,doll_20.75 m,6615000,205.0,98,2008
752,nexid,italy,technology,doll_2.7 m,859960,25.0,9,2006
753,gs studio & service,italy,energy,doll_2.09 m,666210,16.0,7,2013
754,neosperience,italy,technology,doll_16.37 m,5229000,160.0,60,2006
755,lunos,slovenia,technology,doll_6.36 m,2031522,16.0,11,2010
756,meic costruzioni,italy,construction,doll_10.46 m,3342120,71.0,39,2013
757,trident lifting solutions ltd,uk,construction,doll_15.85 m,5105700,14.0,12,2016
