name,world_rank,marketValue,marketCap,CEO,country
FLEETCOR TECHNOLOGIES,"1,051",19.734 Billion USD,21.748 Billion USD,Ronald F. Clarke,USA
TELEDYNE TECHNOLOGIES,"1,052",19.689 Billion USD,21.597 Billion USD,Robert Mehrabian,USA
CHARTER HALL GROUP,"1,053",19.685 Billion USD,18.540 Billion USD,,Australia
ENN ENERGY HOLDINGS,"1,054",19.675 Billion USD,22.605 Billion USD,,China
AEON CO LTD,"1,055",19.630 Billion USD,22.823 Billion USD,Motoya Okada,Japan
BOSTON PROPERTIES,"1,056",19.624 Billion USD,17.750 Billion USD,Owen D. Thomas,USA
LG ELECTRONICS,"1,057",19.602 Billion USD,22.861 Billion USD,Koo Kwang-mo,South Korea
CARMAX,"1,058",19.599 Billion USD,20.401 Billion USD,William D. Nash,USA
YANDEX,"1,059",19.592 Billion USD,27.483 Billion USD,Arkady Volozh,Russia
ENPHASE ENERGY,"1,060",19.580 Billion USD,23.388 Billion USD,Badri Kothandaraman,USA
NINGXIA BAOFENG ENERGY GROUP,"1,061",19.524 Billion USD,17.270 Billion USD,,China
ADVANCED INFO SERVICE PUBLIC COMPANY,"1,062",19.520 Billion USD,17.194 Billion USD,Somchai Loetsuthiwong,Thailand
CHINA STEEL CORPORATION,"1,063",19.491 Billion USD,21.021 Billion USD,J.C. Tsou,Taiwan
SUZUKI MOTOR CORPORATION,"1,064",19.482 Billion USD,21.003 Billion USD,Osamu Suzuki,Japan
HOSHINE SILICON INDUSTRY,"1,065",19.455 Billion USD,35.752 Billion USD,,China
AVANGRID,"1,066",19.414 Billion USD,21.161 Billion USD,Wesley W. von Schack,USA
HEALTHPEAK PROPERTIES,"1,067",19.390 Billion USD,19.570 Billion USD,Thomas M Herzog,USA
CHINA UNITED NETWORK COMMUNICATIONS,"1,068",19.377 Billion USD,19.863 Billion USD,,Hong Kong
BROWN & BROWN,"1,069",19.374 Billion USD,16.347 Billion USD,J Powell Brown,USA
MTN GROUP,"1,070",19.299 Billion USD,16.423 Billion USD,Mcebisi Jonas,South Africa
PUBLIC BANK BERHAD,"1,071",19.249 Billion USD,19.040 Billion USD,Tan Sri Dato Sri Tay Ah Lek,Malaysia
CHINA COMMUNICATIONS CONSTRUCTION COMPANY,"1,072",19.246 Billion USD,16.602 Billion USD,,China
SNAM,"1,073",19.225 Billion USD,19.479 Billion USD,Nicola Bedin,Italy
SHENZHEN TRANSSION HOLDINGS,"1,074",19.226 Billion USD,18.038 Billion USD,,China
POSCO,"1,075",19.203 Billion USD,21.829 Billion USD,Park Tae-Joon,South Korea
CAESARS ENTERTAINMENT CORPORATION,"1,076",19.167 Billion USD,21.691 Billion USD,Gary L. Carano,USA
MITSUI FUDOSAN,"1,077",19.119 Billion USD,22.331 Billion USD,Hiromichi Iwasa,Japan
CINCINNATI FINANCIAL CORPORATION,"1,078",19.118 Billion USD,19.890 Billion USD,Bahl,USA
QUEST DIAGNOSTICS,"1,079",19.121 Billion USD,18.673 Billion USD,Steve Rusckowski,USA
EDWARDS JONES INVESTMENTS,"1,079","1,079",,,USA
TIANJIN ZHONGHUAN SEMICONDUCTOR,"1,080",19.112 Billion USD,22.715 Billion USD,,China
NIAGARA MOHAWK POWER CORPORATION PFD 3.90%,"1,081",19.111 Billion USD,19.287 Billion USD,,USA
ZALANDO SE,"1,082",19.103 Billion USD,27.862 Billion USD,,Germany
JD LOGISTICS,"1,083",19.104 Billion USD,26.686 Billion USD,,China
FOCUS MEDIA INFORMATION TECHNOLOGY,"1,084",19.100 Billion USD,16.094 Billion USD,,China
WANTAI BIOLOGICAL PHARMACY,"1,085",19.087 Billion USD,19.838 Billion USD,,China
AVIC SHENYANG AIRCRAFT COMPANY,"1,086",19.081 Billion USD,23.468 Billion USD,,China
DAIWA HOUSE INDUSTRY,"1,087",19.050 Billion USD,20.439 Billion USD,Keiichi Yoshii,Japan
TAKE-TWO INTERACTIVE SOFTWARE,"1,088",18.978 Billion USD,18.785 Billion USD,Strauss Zelnick,USA
NVR,"1,089",18.942 Billion USD,18.469 Billion USD,Dwight Schar,USA
INTERNATIONAL PAPER COMPANY,"1,090",18.926 Billion USD,23.485 Billion USD,Mark S. Sutton,USA
HEICO CORPORATION,"1,091",18.903 Billion USD,16.148 Billion USD,Laurans A Mendelson,USA
ZHONGSHENG GROUP HOLDINGS,"1,092",18.871 Billion USD,20.287 Billion USD,,China
HINDUSTAN ZINC,"1,093",18.854 Billion USD,19.096 Billion USD,,India
CONSTELLATION ENERGY CORPORATION,"1,093",,,,USA
SAUDI BRITISH BANK,"1,094",18.849 Billion USD,19.057 Billion USD,Lubna Olayan,Saudi Arabia
CMS ENERGY CORPORATION,"1,095",18.853 Billion USD,18.790 Billion USD,John G. Russell,USA
WAYFAIR,"1,096",18.826 Billion USD,29.170 Billion USD,Niraj Shah,USA
FRESENIUS MEDICAL CARE AG & CO. KGAA,"1,097",18.809 Billion USD,22.644 Billion USD,Wolfgang Kirsch,Germany
OMRON CORPORATION,"1,098",18.781 Billion USD,19.729 Billion USD,,Japan
THALES,"1,099",18.756 Billion USD,21.917 Billion USD,,France
MONCLER,"1,100",18.758 Billion USD,17.502 Billion USD,Remo Ruffini,Italy
TATA STEEL,"1,101",18.733 Billion USD,23.884 Billion USD,,India
CELANESE CORPORATION,"1,102",18.733 Billion USD,17.623 Billion USD,Lori J. Ryerkerk,USA
CHONGQING CHANGAN AUTOMOBILE COMPANY,"1,103",18.664 Billion USD,23.791 Billion USD,,China
SHENWAN HONGYUAN GROUP,"1,104",18.662 Billion USD,17.626 Billion USD,,China
ZHEJIANG HUAYOU COBALT CO. LTD,"1,105",18.597 Billion USD,23.088 Billion USD,,China
DARDEN RESTAURANTS,"1,106",18.604 Billion USD,19.633 Billion USD,Eugene I. Lee Jr.,USA
JDE PEET'S N.V.,"1,107",18.578 Billion USD,20.140 Billion USD,Peter Harf,Netherlands
CRODA INTERNATIONAL,"1,108",18.577 Billion USD,17.447 Billion USD,,UK
PIDILITE INDUSTRIES,"1,109",18.559 Billion USD,16.520 Billion USD,,India
CTBC FINANCIAL HOLDING,"1,110",18.562 Billion USD,16.144 Billion USD,Wen Long Yen,Taiwan
MITSUBISHI ESTATE,"1,111",18.548 Billion USD,21.012 Billion USD,Hirotaka Sugiyama,Japan
UBIQUITI,"1,112",18.512 Billion USD,20.335 Billion USD,Robert Pera,USA
SIEMENS ENERGY,"1,113",18.494 Billion USD,21.078 Billion USD,Joe Kaeser,Germany
DOMINO'S PIZZA,"1,114",18.487 Billion USD,19.050 Billion USD,David A. Brandon,USA
SUMITOMO CORPORATION,"1,115",18.478 Billion USD,17.672 Billion USD,Masayuki Hyodo,Japan
GUANGDONG HAID GROUP,"1,116",18.469 Billion USD,16.102 Billion USD,,China
AMCOR,"1,117",18.460 Billion USD,19.842 Billion USD,,Australia
SHAANXI COAL INDUSTRY COMPANY,"1,118",18.443 Billion USD,19.865 Billion USD,,China
SURGUTNEFTEGAS,"1,119",18.439 Billion USD,16.996 Billion USD,Vladimir Bogdanov,Russia
KB FINANCIAL GROUP,"1,120",18.406 Billion USD,17.862 Billion USD,Jong Gyu Yoon,South Korea
RESTAURANT BRANDS INTERNATIONAL,"1,121",18.369 Billion USD,19.806 Billion USD,Alexandre Behring,Canada
LINK REAL ESTATE INVESTMENT TRUST,"1,122",18.369 Billion USD,19.390 Billion USD,,Hong Kong
WPP PLC,"1,123",18.269 Billion USD,16.339 Billion USD,,UK
PT BANK ARTOS INDONESIA TBK,"1,124",18.235 Billion USD,14.064 Billion USD,,Indonesia
SAFRA GROUP,"1,124","1,124",,,Brazil
DIRECTV,"1,124","1,124",,,USA
SPLUNK,"1,125",18.227 Billion USD,25.058 Billion USD,Graham Smith,USA
YONYOU NETWORK TECHNOLOGY,"1,126",18.226 Billion USD,16.361 Billion USD,,China
CITIC PACIFIC SPECIAL STEEL GROUP,"1,127",18.222 Billion USD,19.207 Billion USD,,China
LIBERTY SIRIUSXM GROUP,"1,128",18.192 Billion USD,18.413 Billion USD,,USA
THE CARLYLE GROUP,"1,129",18.187 Billion USD,17.636 Billion USD,Kewsong Lee,USA
DISH NETWORK CORPORATION,"1,130",18.180 Billion USD,23.011 Billion USD,Charlie Ergen,USA
MS&AD INSURANCE GROUP HOLDINGS,"1,131",18.167 Billion USD,18.318 Billion USD,Noriyuki Hara,Japan
VANTAGE TOWERS AG,"1,132",18.162 Billion USD,18.639 Billion USD,Vivek Badrinath,Germany
REPSOL,"1,133",18.162 Billion USD,16.935 Billion USD,Antonio Brufau Niubo,Spain
ANTOFAGASTA,"1,134",18.128 Billion USD,19.509 Billion USD,,UK
TOSHIBA CORPORATION,"1,135",18.132 Billion USD,19.165 Billion USD,Satoshi Tsunakawa,Japan
POWER FINANCIAL CORPORATION,"1,136",18.115 Billion USD,18.582 Billion USD,,Canada
IFLYTEK,"1,137",18.102 Billion USD,17.879 Billion USD,,China
CONTINENTAL RESOURCES,"1,138",18.063 Billion USD,14.437 Billion USD,William B. Berry,USA
UDR,"1,139",17.998 Billion USD,16.131 Billion USD,Thomas W Toomey,USA
MENARDS,"1,139",,,,USA
AIR CHINA,"1,140",17.999 Billion USD,14.480 Billion USD,,China
BROOKFIELD INFRASTRUCTURE PARTNERS,"1,141",17.973 Billion USD,16.689 Billion USD,Sam Pollock,Canada
AKAMAI TECHNOLOGIES,"1,142",17.961 Billion USD,18.440 Billion USD,Frank Thomson Leighton,USA
VICI PROPERTIES,"1,143",17.956 Billion USD,16.857 Billion USD,Edward B. Pitoniak,USA
FUYAO GLASS INDUSTRY GROUP,"1,144",17.928 Billion USD,18.296 Billion USD,,China
ADVANTEST CORPORATION,"1,145",17.925 Billion USD,17.235 Billion USD,Yoshiaki Yoshida,Japan
"XINJIANG DAQO NEW ENERGY CO.,LTD.","1,146",17.918 Billion USD,23.533 Billion USD,,China
SANDS CHINA,"1,147",17.908 Billion USD,26.724 Billion USD,Robert Glen Goldstein,Macao
JIANGSU HENGLI HYDRAULIC,"1,148",17.878 Billion USD,19.424 Billion USD,,China
ENTEGRIS,"1,149",17.884 Billion USD,16.291 Billion USD,Bertrand Loy,USA
HDFC LIFE INSURANCE COMPANY,"1,150",17.862 Billion USD,20.342 Billion USD,,India
VIATRIS INC,"1,151",17.826 Billion USD,17.692 Billion USD,Michael Goettler,USA
MEGA FINANCIAL HOLDING,"1,152",17.822 Billion USD,15.936 Billion USD,Chao-Shun Chang,Taiwan
WABTEC CORPORATION,"1,153",17.767 Billion USD,16.973 Billion USD,Albert J. Neupaver,USA
JACOBS ENGINEERING GROUP,"1,154",17.760 Billion USD,17.587 Billion USD,Steven J. Demetriou,USA
CONFLUENT INC,"1,155",17.749 Billion USD,14.560 Billion USD,Jay Kreps,USA
ALNYLAM PHARMACEUTICALS,"1,156",17.716 Billion USD,24.239 Billion USD,John Maraganore,USA
NICE,"1,157",17.701 Billion USD,18.349 Billion USD,Sharmila Nebhrajani OBE,Israel
HENAN SHUANGHUI INVESTMENT & DEVELOPMENT,"1,158",17.688 Billion USD,13.117 Billion USD,,China
HOLOGIC,"1,159",17.677 Billion USD,20.188 Billion USD,Stephen P. MacMillan,USA
PIMCO,"1,159","1,159",,,USA
AVERY DENNISON CORPORATION,"1,160",17.655 Billion USD,18.681 Billion USD,Mitchell R. Butier,USA
FRANKLIN RESOURCES,"1,161",17.643 Billion USD,16.313 Billion USD,Jennifer M. Johnson,USA
NUANCE COMMUNICATIONS,"1,162",17.589 Billion USD,17.314 Billion USD,Mark D. Benjamin,USA
PAO SEVERSTAL,"1,163",17.528 Billion USD,19.124 Billion USD,Aleksandr Shevelev,Russia
CHINA MERCHANTS SHEKOU INDUSTRIAL ZONE HOLDINGS,"1,164",17.531 Billion USD,12.360 Billion USD,,China
CONTURA ENERGY,"1,165",17.533 Billion USD,"15,331",,USA
PUMA SE,"1,166",17.486 Billion USD,18.593 Billion USD,,Germany
HUANENG LANCANG RIVER HYDROPOWER,"1,167",17.488 Billion USD,15.984 Billion USD,,China
BEIJING KINGSOFT OFFICE SOFTWARE,"1,168",17.474 Billion USD,16.687 Billion USD,,China
NTPC,"1,169",17.433 Billion USD,15.974 Billion USD,,India
COUNTRY GARDEN SERVICES HOLDINGS COMPANY,"1,170",17.412 Billion USD,25.399 Billion USD,,China
ARCH CAPITAL GROUP,"1,171",17.403 Billion USD,16.277 Billion USD,Marc Grandisson,Bermuda
"PPD, INC.","1,172",17.400 Billion USD,16.269 Billion USD,David Simmons,USA
CENTERPOINT ENERGY,"1,173",17.394 Billion USD,14.876 Billion USD,John W Somerhalder,USA
WHEATON PRECIOUS METALS,"1,174",17.372 Billion USD,20.300 Billion USD,Randy V. J. Smallwood,Canada
CHINA CSSC HOLDINGS,"1,175",17.331 Billion USD,17.630 Billion USD,,China
CARL ZEISS MEDITEC AG,"1,176",17.301 Billion USD,19.942 Billion USD,,Germany
IDEX CORPORATION,"1,177",17.302 Billion USD,17.024 Billion USD,Eric D. Ashleman,USA
ROYALTY PHARMA PLC,"1,178",17.292 Billion USD,23.467 Billion USD,Riggs,USA
ALLY FINANCIAL,"1,179",17.291 Billion USD,19.073 Billion USD,Jeffrey J. Brown,USA
INSULET CORPORATION,"1,180",17.247 Billion USD,20.511 Billion USD,Shacey Petrovic,USA
TEXTRON,"1,181",17.248 Billion USD,16.288 Billion USD,Scott C. Donnelly,USA
PUBLICIS GROUPE,"1,182",17.224 Billion USD,16.623 Billion USD,,France
SK INNOVATION,"1,183",17.206 Billion USD,17.478 Billion USD,Kim Jun,South Korea
PEMBINA PIPELINE CORPORATION,"1,184",17.210 Billion USD,16.709 Billion USD,,Canada
SHANGHAI FOSUN PHARMACEUTICAL (GROUP),"1,185",17.177 Billion USD,22.658 Billion USD,,China
GUOSEN SECURITIES,"1,186",17.171 Billion USD,18.240 Billion USD,,China
MARKEL CORPORATION,"1,187",17.150 Billion USD,17.434 Billion USD,Alan I. Kirshner,USA
AYALA CORPORATION,"1,188",17.131 Billion USD,16.206 Billion USD,Jaime Augusto Zobel de Ayala,Philippines
NN GROUP,"1,189",17.104 Billion USD,16.420 Billion USD,,Netherlands
POSTE ITALIANE SPA,"1,190",17.079 Billion USD,17.784 Billion USD,Farina Maria Bianca,Italy
HAIER ELECTRONICS GROUP,"1,190","1,190",14.985 Billion USD,,Hong Kong
BYJUS,"1,190","1,190","1,859",Byju Raveendran,India
FORMOSA CHEMICALS & FIBRE CORPORATION,"1,191",17.066 Billion USD,17.498 Billion USD,,Taiwan
CAMDEN PROPERTY TRUST,"1,192",17.056 Billion USD,15.182 Billion USD,Richard J Campo,USA
NITORI HOLDINGS,"1,193",17.050 Billion USD,21.276 Billion USD,Akio Nitori,Japan
QORVO,"1,194",17.050 Billion USD,20.898 Billion USD,Robert A Bruggeworth,USA
CNP ASSURANCES SA,"1,195",17.021 Billion USD,11.991 Billion USD,Stephane Dedeyan,France
LKQ CORPORATION,"1,196",16.985 Billion USD,15.484 Billion USD,Dominick Zarcone,USA
NOVOLIPETSK STEEL,"1,197",16.921 Billion USD,20.398 Billion USD,Grigory Vitalevich Fedorishin,Russia
BURLINGTON STORES,"1,198",16.924 Billion USD,19.983 Billion USD,Michael O Sullivan,USA
MOLINA HEALTHCARE,"1,199",16.923 Billion USD,15.696 Billion USD,Joseph M. Zubretsky,USA
LENS TECHNOLOGY,"1,200",16.912 Billion USD,18.024 Billion USD,,China
UNIPER SE,"1,201",16.886 Billion USD,14.605 Billion USD,,Germany
ZHEJIANG CHINT ELECTRICS,"1,202",16.882 Billion USD,18.411 Billion USD,,China
NEXON,"1,203",16.869 Billion USD,17.081 Billion USD,Kim Jung-ju,Japan
GEORGE WESTON,"1,204",16.871 Billion USD,16.181 Billion USD,Galen Weston Jr.,Canada
MAXSCEND MICROELECTRONICS COMPANY,"1,205",16.841 Billion USD,19.616 Billion USD,,China
LARSEN & TOUBRO INFOTECH,"1,206",16.844 Billion USD,12.903 Billion USD,,India
VEDANTA,"1,207",16.830 Billion USD,15.526 Billion USD,,India
CHINA RAILWAY CONSTRUCTION CORPORATION,"1,208",16.820 Billion USD,15.713 Billion USD,,China
MARUBENI CORPORATION,"1,209",16.817 Billion USD,14.005 Billion USD,,Japan
GRUPO ELEKTRA,"1,210",16.802 Billion USD,19.650 Billion USD,Ricardo B. Salinas,Mexico
BROOKFIELD PROPERTY PARTNERS,"1,211",16.785 Billion USD,17.327 Billion USD,Ric Clark,Bermuda
TSINGTAO BREWERY COMPANY,"1,212",16.774 Billion USD,15.208 Billion USD,,China
QUALTRICS INTERNATIONAL INC.,"1,213",16.732 Billion USD,23.302 Billion USD,Ryan Smith,USA
FACTSET RESEARCH SYSTEMS,"1,214",16.701 Billion USD,14.457 Billion USD,Philip Snow,USA
GROUPE BRUXELLES LAMBERT SA,"1,215",16.677 Billion USD,17.508 Billion USD,Ian Gallienne,Belgium
ADEVINTA ASA,"1,216",16.683 Billion USD,13.410 Billion USD,Rolv Erik Ryssdal,Norway
CONAGRA BRANDS,"1,217",16.670 Billion USD,15.909 Billion USD,Sean Connolly,USA
OMNICOM GROUP,"1,218",16.663 Billion USD,15.699 Billion USD,John Wren,USA
CHINA SOUTHERN AIRLINES COMPANY,"1,219",16.651 Billion USD,13.758 Billion USD,,China
COLES GROUP,"1,220",16.625 Billion USD,17.858 Billion USD,,Australia
AJINOMOTO,"1,221",16.626 Billion USD,16.207 Billion USD,Takaaki Nishii,Japan
FIRST QUANTUM MINERALS,"1,222",16.614 Billion USD,14.346 Billion USD,Philip K.R. Pascall,Canada
CHARLES RIVER LABORATORIES INTERNATIONAL,"1,223",16.587 Billion USD,22.369 Billion USD,James C. Foster,USA
ROLLINS,"1,224",16.577 Billion USD,19.152 Billion USD,Randall Rollins,USA
AERCAP HOLDINGS,"1,225",16.583 Billion USD,7.193 Billion USD,Aengus Kelly,Ireland
AMUNDI,"1,226",16.574 Billion USD,19.226 Billion USD,,France
WAN HAI LINES,"1,227",16.562 Billion USD,18.767 Billion USD,,Taiwan
CHANGCHUN HIGH & NEW TECHNOLOGY INDUSTRY (GROUP),"1,228",16.555 Billion USD,15.936 Billion USD,,China
WSP GLOBAL,"1,229",16.554 Billion USD,15.266 Billion USD,Alexandre J. L Heureux,Canada
WUXI LEAD INTELLIGENT EQUIPMENT,"1,230",16.541 Billion USD,17.121 Billion USD,,China
"CHINA MOLYBDENUM CO., LTD.","1,231",16.523 Billion USD,22.116 Billion USD,,China
JAMES HARDIE INDUSTRIES,"1,232",16.505 Billion USD,17.148 Billion USD,,Ireland
SANTOS,"1,233",16.512 Billion USD,9.465 Billion USD,,Australia
ALFA LAVAL AB (PUBL),"1,234",16.501 Billion USD,17.885 Billion USD,,Sweden
ASE TECHNOLOGY HOLDING,"1,235",16.470 Billion USD,19.628 Billion USD,,Taiwan
SHINHAN FINANCIAL GROUP,"1,236",16.464 Billion USD,17.190 Billion USD,Cho Yong-byoung,South Korea
EASTMAN CHEMICAL COMPANY,"1,237",16.457 Billion USD,15.422 Billion USD,Mark J. Costa,USA
NORSK HYDRO ASA,"1,238",16.447 Billion USD,13.870 Billion USD,Dag Mejdell,Norway
TRYG A/S,"1,239",16.442 Billion USD,16.389 Billion USD,Morten Hubbe,Denmark
GIGADEVICE SEMICONDUCTOR (BEIJING),"1,240",16.420 Billion USD,15.311 Billion USD,,China
BANDAI NAMCO HOLDINGS,"1,241",16.401 Billion USD,15.652 Billion USD,Shukuo Ishikawa,Japan
WORLDLINE,"1,242",16.384 Billion USD,25.087 Billion USD,,France
MASCO CORPORATION,"1,243",16.371 Billion USD,15.008 Billion USD,Keith J. Allman,USA
BIO-TECHNE CORPORATION,"1,244",16.319 Billion USD,19.506 Billion USD,Robert V. Baumgartner,USA
SBI LIFE INSURANCE COMPANY,"1,245",16.308 Billion USD,17.080 Billion USD,,India
VARIAN MEDICAL SYSTEMS,"1,246",16.300 Billion USD,16.400 Billion USD,Dow R. Wilson,USA
ANHUI GUJING DISTILLERY,"1,247",16.291 Billion USD,15.040 Billion USD,,China
ABU DHABI COMMERCIAL BANK PJSC,"1,248",16.290 Billion USD,14.430 Billion USD,,UAE
CHINA LONGYUAN POWER GROUP CORPORATION,"1,249",16.278 Billion USD,16.172 Billion USD,,China
TOYOTA TSUSHO CORPORATION,"1,250",16.263 Billion USD,15.607 Billion USD,Ichiro Kashitani,Japan
TECK RESOURCES,"1,251",16.187 Billion USD,12.038 Billion USD,Donald R. Lindsay,Canada
BANK OF SHANGHAI,"1,252",16.184 Billion USD,15.641 Billion USD,,China
INCYTE CORPORATION,"1,253",16.167 Billion USD,16.892 Billion USD,Herve Hoppenot,USA
PT ASTRA INTERNATIONAL TBK,"1,254",16.153 Billion USD,14.665 Billion USD,Budi Setiadharma,Indonesia
ORIENT OVERSEAS (INTERNATIONAL),"1,255",16.136 Billion USD,16.360 Billion USD,,Hong Kong
KNORR-BREMSE,"1,256",16.125 Billion USD,19.574 Billion USD,Prof. Dr. Klaus Mangold,Germany
ARGENX SE,"1,257",16.128 Billion USD,17.093 Billion USD,Tim Hauwermeiren,Netherlands
EISAI,"1,258",16.116 Billion USD,24.088 Billion USD,Haruo Naito,Japan
NIPPON STEEL CORPORATION,"1,259",16.116 Billion USD,18.455 Billion USD,,Japan
GULF ENERGY DEVELOPMENT PUBLIC COMPANY,"1,260",16.117 Billion USD,15.095 Billion USD,Kasem Snidvongs,Thailand
RINGCENTRAL,"1,261",16.105 Billion USD,23.084 Billion USD,Vlad Shmunis,USA
HANGZHOU FIRST APPLIED MATERIAL,"1,262",16.111 Billion USD,20.936 Billion USD,,China
CARREFOUR SA,"1,263",16.110 Billion USD,15.011 Billion USD,,France
MANGO EXCELLENT MEDIA,"1,264",16.096 Billion USD,12.403 Billion USD,,China
DIVI'S LABORATORIES,"1,265",16.053 Billion USD,19.334 Billion USD,,India
TRIP.COM GROUP,"1,266",16.041 Billion USD,19.763 Billion USD,,China
CHOW TAI FOOK JEWELLERY GROUP,"1,267",16.025 Billion USD,21.528 Billion USD,,Hong Kong
SAMSUNG C&T CORPORATION,"1,268",16.014 Billion USD,18.860 Billion USD,Chi-Hun Choi,South Korea
BOLLORE,"1,269",16.011 Billion USD,17.472 Billion USD,,France
ATHENE HOLDING,"1,270",16.011 Billion USD,12.856 Billion USD,James Belardi,Bermuda
SOFINA SOCIETE ANONYME,"1,271",16.000 Billion USD,14.988 Billion USD,,Belgium
AVIC JONHON OPTRONIC TECHNOLOGY,"1,272",15.961 Billion USD,15.580 Billion USD,,China
OCADO GROUP,"1,273",15.933 Billion USD,21.354 Billion USD,,UK
NEW CHINA LIFE INSURANCE COMPANY,"1,274",15.920 Billion USD,16.410 Billion USD,,China
BANK LEUMI LE- ISRAEL,"1,275",15.890 Billion USD,12.082 Billion USD,Samer Haj-Yehia,Israel
CHECK POINT SOFTWARE TECHNOLOGIES,"1,276",15.869 Billion USD,16.683 Billion USD,Gil Shwed,Israel
GRASIM INDUSTRIES,"1,277",15.866 Billion USD,13.647 Billion USD,,India
"OLAPLEX HOLDINGS, INC.","1,278",15.866 Billion USD,,CEO JuE Wong,USA
GUANGZHOU TINCI MATERIALS TECHNOLOGY,"1,279",15.860 Billion USD,18.453 Billion USD,,China
TELIA COMPANY AB (PUBL),"1,280",15.857 Billion USD,18.271 Billion USD,,Sweden
AFTERPAY,"1,281",15.834 Billion USD,28.676 Billion USD,,Australia
CAPITEC BANK HOLDINGS,"1,282",15.818 Billion USD,15.055 Billion USD,Gerrie Fourie,South Africa
CHINA UNICOM (HONG KONG),"1,283",15.808 Billion USD,16.905 Billion USD,,China
CK INFRASTRUCTURE HOLDINGS,"1,284",15.795 Billion USD,16.178 Billion USD,,Hong Kong
TIFFANY & CO,"1,285",15.800 Billion USD,15.800 Billion USD,Roger Farah,USA
WOODSIDE ENERGY GROUP,"1,286",15.804 Billion USD,14.076 Billion USD,,Australia
"IMEIK TECHNOLOGY DEVELOPMENT CO.,LTD.","1,287",15.775 Billion USD,18.562 Billion USD,,China
GONGNIU GROUP,"1,288",15.775 Billion USD,15.782 Billion USD,,China
ABACUS PROPERTY GROUP,"1,289",15.762 Billion USD,14.756 Billion USD,,Australia
SMITH & NEPHEW,"1,290",15.688 Billion USD,16.950 Billion USD,,UK
CLARIVATE PLC,"1,291",15.685 Billion USD,16.323 Billion USD,Jerre Stead,UK
LENDLEASE GROUP,"1,292",15.667 Billion USD,18.508 Billion USD,,Australia
SHANGHAI PUTAILAI NEW ENERGY TECHNOLOGY,"1,293",15.666 Billion USD,15.224 Billion USD,,China
TERNA S.P.A. ,"1,294",15.647 Billion USD,16.141 Billion USD,Stefano Antonio Donnarumma,Italy
ATLANTIA,"1,296",15.611 Billion USD,15.464 Billion USD,Fabio Cerchiai,Italy
HALMA,"1,297",15.584 Billion USD,15.684 Billion USD,,UK
HUALI INDUSTRIAL GROUP COMPANY LIMITED,"1,298",15.562 Billion USD,14.977 Billion USD,,China
KIKKOMAN CORPORATION,"1,299",15.562 Billion USD,14.569 Billion USD,Yuzaburo Mogi,Japan
CP ALL PUBLIC COMPANY,"1,300",15.541 Billion USD,18.101 Billion USD,Soopakij Chearavanont,Thailand
JIANGSU EASTERN SHENGHONG,"1,301",15.532 Billion USD,22.410 Billion USD,,China
J. M. SMUCKER COMPANY,"1,302",15.534 Billion USD,13.401 Billion USD,Timothy P. Smucker,USA
XP INC.,"1,303",15.522 Billion USD,27.198 Billion USD,Guilherme Dias Fernandes Benchimol,Brazil
SIEMENS GAMESA RENEWABLE ENERGY,"1,304",15.524 Billion USD,20.776 Billion USD,Andreas Nauen,Spain
DAVIDE CAMPARI-MILANO,"1,305",15.491 Billion USD,24.726 Billion USD,Luca Garavoglia,Italy
EVERGY,"1,306",15.489 Billion USD,15.695 Billion USD,Terry D Bassham,USA
NORTONLIFELOCK,"1,307",15.481 Billion USD,15.439 Billion USD,John W. Thompson,USA
BIOMARIN PHARMACEUTICAL,"1,308",15.468 Billion USD,15.440 Billion USD,Jean-Jacques Bienaime,USA
BATH & BODY WORKS INC,"1,309",15.438 Billion USD,17.865 Billion USD,Andrew Meslow,USA
SONIC HEALTHCARE,"1,310",15.438 Billion USD,15.324 Billion USD,Colin S. Goldschmidt M.D.,Australia
LG HOUSEHOLD & HEALTH CARE,"1,311",15.428 Billion USD,22.278 Billion USD,Suk Cha,South Korea
EVONIK INDUSTRIES AG,"1,312",15.424 Billion USD,15.589 Billion USD,,Germany
LOEWS CORPORATION,"1,313",15.419 Billion USD,14.374 Billion USD,James S. Tisch,USA
DYNATRACE,"1,314",15.408 Billion USD,19.539 Billion USD,Rick M. McConnell,USA
DANSKE BANK A/S,"1,315",15.411 Billion USD,14.625 Billion USD,Carsten Rasch Egeriis,Denmark
KRAFTON INC.,"1,316",15.397 Billion USD,21.697 Billion USD,Chang Byung-gyu,South Korea
AES CORPORATION,"1,317",15.401 Billion USD,15.906 Billion USD,Andres Gluski,USA
UNITED AIRLINES HOLDINGS,"1,318",15.319 Billion USD,15.051 Billion USD,Scott Kirby,USA
TRANSNEFT,"1,319",15.311 Billion USD,16.058 Billion USD,,Russia
SOMPO HOLDINGS,"1,320",15.302 Billion USD,15.643 Billion USD,Satoshi KASAI,Japan
CARDINAL HEALTH,"1,321",15.284 Billion USD,15.245 Billion USD,Mike Kaufmann,USA
BIOMERIEUX,"1,322",15.281 Billion USD,14.693 Billion USD,,France
ALLIANT ENERGY CORPORATION,"1,323",15.270 Billion USD,15.213 Billion USD,John O. Larsen,USA
KIMCO REALTY CORPORATION,"1,324",15.257 Billion USD,13.306 Billion USD,Milton Cooper,USA
DEUTSCHE WOHNEN SE,"1,325",15.251 Billion USD,21.300 Billion USD,,Germany
SPIRAX-SARCO ENGINEERING,"1,326",15.248 Billion USD,16.483 Billion USD,,UK
